ID,CYM,HEB,PoS,score
1353,cyfarwyddwr,סינמטוגרפיה,nouns,1.05
1354,chwaer,אח,nouns,2.35
1355,abdomen,בטן,nouns,4.45
1356,estron,זר,nouns,2.9
1357,llyn,ביצה,nouns,1.35
1358,disgybl,נשיא,nouns,0.25
1359,yfed,לגדל,verbs,0.0
1360,llawr,תקרה,nouns,0.65
1361,mintys,מוזיאון,nouns,0.2
1362,cymysgu,להתמוסס,verbs,1.8
1363,ffa,אורז,nouns,1.15
1364,menyw,משימה,nouns,0.0
1365,heb ei ddatgelu,גלוי,adjectives,0.5
1366,llywydd,ראש,nouns,1.85
1367,gwanwyn,גייזר,nouns,0.0
1368,blodyn,סיגלית,nouns,1.8
1369,dynwared,לגלם,verbs,3.5
1370,dinistr,בנייה,nouns,0.55
1371,eira,מפולת שלגים,nouns,1.55
1372,saethydd,גשש,nouns,0.15
1373,car,צינור,nouns,0.25
1374,camera,עדשה,nouns,1.85
1375,yn gadarn,ברכות,adverbs,0.4
1376,hynafol,מודרני,adjectives,0.5
1377,drws,פעמון,nouns,0.75
1378,natur,צמחייה,nouns,2.15
1379,yn ddi-drefn,בשלווה,adverbs,0.2
1380,car,מד,nouns,0.45
1381,derbyn,לקחת,verbs,1.6
1382,cyflym,זריז,adjectives,5.2
1383,asgwrn cefn,צוואר,nouns,1.2
1384,system,אשמה,nouns,0.2
1385,twrci,תרנגולת,nouns,1.8
1386,di-fau,נקי,adjectives,3.65
1387,dweud,לבטא,verbs,4.05
1388,corn,מכונית,nouns,0.85
1389,bysellfwrdd,אור,nouns,0.0
1390,anhrefn,אנרכיה,nouns,4.4
1391,gwallgof,שמח,adjectives,0.45
1392,balŵn,אנשים,nouns,0.1
1393,bodloni,להבין,verbs,0.45
1394,siarad,להקשיב,verbs,0.85
1395,euog,מתבייש,adjectives,1.4
1396,mawr,רחב,adjectives,2.9
1397,darganfod,לנבוע,verbs,0.55
1398,arbediad,אדם חסכן,nouns,1.75
1399,lamp,שד,nouns,0.45
1400,dillad,אריג,nouns,2.0
1401,hysbysu,לאשר,verbs,1.05
1402,asid,בסיס,nouns,0.6
1403,gwybod,להאמין,verbs,1.4
1404,corff,בטן,nouns,1.5
1405,asgwrn,צוואר,nouns,0.7
1406,main,צר,adjectives,3.35
1407,dafad,טלה,nouns,3.4
1408,ymadrodd,מילה,nouns,2.25
1409,tun,מתכת,nouns,2.2
1410,holi,לדרוש,verbs,0.55
1411,steil,אופנה,nouns,4.25
1412,dilyniant,מצלמה,nouns,0.0
1413,yn ddiamynedd,בערך,adverbs,0.3
1414,yn hael,באדיבות,adverbs,2.7
1415,troed,ראש,nouns,0.75
1416,orthodontydd,רופא,nouns,4.55
1417,pêl,מחבט,nouns,1.1
1418,myfyriwr,תלמיד,nouns,5.05
1419,nawr,כאן,adverbs,2.5
1420,sanctaidd,יקר ערך,adjectives,1.85
1421,yfory,הלילה,adverbs,0.75
1422,dyrchafu,לקדם,verbs,2.05
1423,gadael,להתעלם,verbs,0.95
1424,to,תקרה,nouns,4.1
1425,cadair,מיטה,nouns,0.9
1426,yn ddelfrydol,מכנית,adverbs,0.15
1427,hongian,להניח,verbs,0.65
1428,hurt,פיקח,adjectives,0.45
1429,pelydr,שמש,nouns,1.95
1430,swyddfa,עובד,nouns,0.95
1431,cwtsh,להתחבק,verbs,3.7
1432,llawysgrif,מאמר,nouns,1.6
1433,dadlau,להסכים,verbs,0.5
1434,salwch,סרטן,nouns,2.7
1435,newydd,חדש,adjectives,3.15
1436,ufuddhau,להקשיב,verbs,2.35
1437,berwi,לטגן,verbs,1.4
1438,hanfodol,חשוב,adjectives,3.65
1439,gyrru,לעצור,verbs,0.5
1440,cyhyr,זרוע,nouns,1.0
1441,gwybod,לשכוח,verbs,0.55
1442,ffenestr,גג,nouns,0.7
1443,angel,שד,nouns,0.7
1444,derbyn,לאשר,verbs,3.45
1445,crëwr,יוצר,nouns,5.15
1446,dysgu,לשכוח,verbs,0.6
1447,planed,ירח,nouns,2.1
1448,sibrwd,לדבר,verbs,2.2
1449,presenoldeb,היעדרות,nouns,0.95
1450,ffrâm,מכה,nouns,0.0
1451,benthyg,לחוב,verbs,1.8
1452,adnewid,להתחלף,verbs,2.6
1453,cynllwyniwr,אסטרטג,nouns,3.55
1454,rheolaeth,מנהלה,nouns,2.3
1455,chwaraewr,מאמן,nouns,0.85
1456,dyn,דוד,nouns,1.25
1457,iaith,תקשורת,nouns,1.9
1458,disgyn,לצמצם,verbs,1.05
1459,miliwnydd,דולר,nouns,0.95
1460,argyhoeddi,לנסות,verbs,0.6
1461,yn oddefol,בשקט,adverbs,1.15
1462,priodol,מנומס,adjectives,1.0
1463,deall,לסלוח,verbs,0.95
1464,pêl,כפפה,nouns,0.55
1465,yn dawel,בקול רם,adverbs,0.25
1466,brenin,נסיך,nouns,1.7
1467,machlud haul,חוט,nouns,0.0
1468,troi drosodd,לפגוע,verbs,0.6
1469,llyfn,חד,adjectives,0.6
1470,brecwast,ארוחת ערב,nouns,1.75
1471,rhiant,מבוגר,nouns,1.85
1472,storm,ענן,nouns,1.55
1473,llywydd,פוליטיקאי,nouns,1.65
1474,ar hyn o bryd,לאחרונה,adverbs,1.05
1475,cymylog,תחזית,nouns,0.65
1476,tywysoges,מלך,nouns,1.45
1477,datblygiad,גיוס כספים,nouns,0.6
1478,siwr,בטוח,adjectives,5.1
1479,flwyddyn,מאה,nouns,1.8
1480,atgoffa,להגיד,verbs,1.05
1481,pathogen,חיידק,nouns,3.85
1482,canser,מחלה,nouns,2.7
1483,diflannu,להתכווץ,verbs,1.95
1484,beirniadu,לשנוא,verbs,0.7
1485,ansicr,תלותי,adjectives,1.05
1486,gohirio,לסיים,verbs,0.7
1487,priodi,להתאחד,verbs,3.5
1488,cerddorfa,להקה,nouns,3.45
1489,llygad,גבה,nouns,1.1
1490,yn lleol,בוודאי,adverbs,0.1
1491,parsel,משאית,nouns,0.7
1492,hyll,מבולגן,adjectives,1.15
1493,geiriadur,אנציקלופדיה,nouns,2.05
1494,sylfaen,כף רגל,nouns,1.15
1495,claddedigaeth,מוות,nouns,1.8
1496,yn ddarostyngedig,בעוני,adverbs,0.3
1497,bregus,נוקשה,adjectives,0.4
1498,tad,אם,nouns,2.0
1499,marw,להתפורר,verbs,0.35
1500,yn gwrtais,בחשאי,adverbs,0.1
1501,cab,טקסי,nouns,5.55
1502,dillad,כפתור,nouns,0.75
1503,penwythnos,שבוע,nouns,1.65
1504,gwybodaeth,אנטרופיה,nouns,0.9
1505,dathlu,להפתיע,verbs,0.65
1506,nodyn,משימה,nouns,0.65
1507,bwrdd,שקיעה,nouns,0.0
1508,bodloni,לרצות,verbs,3.25
1509,tebyg,זהה,adjectives,4.3
1510,amlen,קישוט,nouns,0.2
1511,main,רזה,adjectives,4.3
1512,taith,כיבוש,nouns,0.85
1513,rasio,פילוסוף,nouns,0.0
1514,cyhuddo,לשקר,verbs,0.7
1515,cynnyrch llaeth,דבש,nouns,0.35
1516,gofyn,להתעלם,verbs,0.35
1517,darllen,להבין,verbs,0.9
1518,rhoi,לנשל,verbs,0.95
1519,ffordd,אופן,nouns,4.25
1520,beibl,ספר,nouns,1.8
1521,gwregys,לולאה,nouns,0.65
1522,rhedwr,ספורטאי,nouns,2.6
1523,anghefnogi,להיכשל,verbs,0.4
1524,cydnabod,להודיע,verbs,1.05
1525,addurn,מעטפה,nouns,0.2
1526,tŷ,מפתח,nouns,0.8
1527,fitamin,ברזל,nouns,1.25
1528,rhedeg,לרכב,verbs,0.55
1529,atom,מולקולה,nouns,2.2
1530,rhoi,להניח,verbs,1.05
1531,ynys,חוף,nouns,1.2
1532,cerdded,לעמוד,verbs,1.1
1533,hebog,עיט,nouns,2.6
1534,eira,קרח,nouns,2.9
1535,chwarae,לריב,verbs,0.95
1536,cytoplasm,ספרה,nouns,0.25
1537,codi,לשתות,verbs,0.0
1538,arbed,להגן,verbs,2.55
1539,balchder,נועז,adjectives,0.9
1540,derbyn,לתפוס,verbs,1.45
1541,minc,פרווה,nouns,2.6
1542,asgwrn,קרסול,nouns,1.55
1543,hen,מעורבב,adjectives,0.1
1544,dwyn,לקחת,verbs,2.35
1545,marwolaeth,אסון,nouns,2.0
1546,curo,לשלב,verbs,0.6
1547,polyester,כותנה,nouns,1.45
1548,ymddangos,להפוך,verbs,0.7
1549,dweud,לאמת,verbs,0.55
1550,lleihau,לכווץ,verbs,3.05
1551,cyffredin,קר,adjectives,0.2
1552,uchel,חצוף,adjectives,0.35
1553,gwefus,ירך,nouns,0.8
1554,brawd,נשמה,nouns,0.1
1555,symbol,צופן,nouns,1.85
1556,malu,לרסק,verbs,5.0
1557,ci,סוס,nouns,1.1
1558,trosedd,הונאה,nouns,2.45
1559,yn weithredol,במדוייק,adverbs,1.05
1560,sychu,להתדרדר,verbs,0.3
1561,ymosodiad,בליץ,nouns,3.3
1562,handlen,חלבון,nouns,0.0
1563,niweidio,לתקוף,verbs,3.05
1564,llafn,דשא,nouns,0.55
1565,hurt,חכם,adjectives,0.5
1566,cryf,גאה,adjectives,0.5
1567,anferthedd,מידה,nouns,3.35
1568,nod,מועדון,nouns,0.0
1569,gwalch,ציפור,nouns,2.15
1570,tyfu,להתכווץ,verbs,0.7
1571,hapus,משוגע,adjectives,0.45
1572,gair,ביטוי,nouns,2.25
1573,amgylchiad,מצב,nouns,4.8
1574,cylchfordaith,מטען,nouns,0.1
1575,cludo,להרים,verbs,1.4
1576,gwirod,מאה,nouns,0.0
1577,ailadrodd,להתאמן,verbs,0.75
1578,cul,ארוך,adjectives,1.1
1579,atgyweirio,לשקם,verbs,3.95
1580,cnoi,לריב,verbs,0.65
1581,ysgol,ציון,nouns,1.2
1582,torri,לנתץ,verbs,5.05
1583,gorffennol,קודם,nouns,1.6
1584,disg,מחשב,nouns,0.9
1585,protein,ידית,nouns,0.0
1586,glaw,סופת שלגים,nouns,1.25
1587,stori,נושא,nouns,1.2
1588,tynnu'n ôl,לספוג,verbs,0.6
1589,doniol,רציני,adjectives,0.45
1590,braich,ברך,nouns,1.1
1591,actor,שחקנית,nouns,3.7
1592,pwyntydd,שקופית,nouns,0.2
1593,crebachu,לצמוח,verbs,0.7
1594,iselder,עמק,nouns,0.3
1595,adfer,לתקן,verbs,3.95
1596,golau,מקלדת,nouns,0.0
1597,eira,סערה,nouns,1.6
1598,atom,פחמן,nouns,1.25
1599,dwyn,לתת,verbs,0.45
1600,gwefrydd,דיסק,nouns,0.15
1601,lefel,ניקוד,nouns,1.65
1602,gwrthod,להימנע,verbs,1.5
1603,byd,גלובוס,nouns,4.35
1604,perygl,מחלה,nouns,0.7
1605,deffro,לנחור,verbs,0.5
1606,bydiaeth,ויזה,nouns,0.45
1607,gwaelod,צד,nouns,1.35
1608,fel arfer,באופן חריג,adverbs,0.6
1609,arian,משכורת,nouns,3.25
1610,gafr,פרה,nouns,1.45
1611,maneg,כדור,nouns,0.55
1612,gwybod,להבין,verbs,2.1
1613,ymuno,להשתתף,verbs,3.2
1614,twyn,מדבר,nouns,1.45
1615,dosbarth,כאוס,nouns,0.15
1616,dwyn,לחטוף,verbs,2.8
1617,aseiniad,הערה,nouns,0.65
1618,torf,המון,nouns,4.55
1619,gwaelod,פסגה,nouns,0.65
1620,twll,הסכם,nouns,0.0
1621,cerbyd,עגלה,nouns,3.85
1622,wisgi,יין,nouns,2.65
1623,cynorthwy-ydd,מורה,nouns,1.85
1624,arf,קסדה,nouns,1.15
1625,cyfarfod,לשחות,verbs,0.05
1626,perfformio,להצדיע,verbs,0.3
1627,anobaith,אומללות,nouns,3.1
1628,cas,חשמל,nouns,0.2
1629,cath,כלב,nouns,1.3
1630,drachtio,לבלוע,verbs,2.3
1631,erydu,לדהות,verbs,2.55
1632,cymryd,לקבל,verbs,1.6
1633,canu,לרחף,verbs,0.2
1634,yn llachar,בקלות,adverbs,0.4
1635,miniog,מתון,adjectives,0.5
1636,adref,הרחק,adverbs,0.75
1637,anghofio,ללמוד,verbs,0.6
1638,dimai,אנשים,nouns,0.65
1639,ymennydd,עצם,nouns,0.8
1640,dant,פה,nouns,1.3
1641,awdur,מלחין,nouns,2.6
1642,gwrando,להבין,verbs,1.45
1643,coeden,סירה,nouns,0.55
1644,onest,אשם,adjectives,0.35
1645,ewin,יד,nouns,1.0
1646,deallusrwydd,היגיון,nouns,2.35
1647,anghofio,לדעת,verbs,0.55
1648,geiriadur,הגדרה,nouns,1.7
1649,rheiddiadur,חיישן,nouns,0.5
1650,pwffian chwerthin,לצחוק,verbs,4.6
1651,cymryd rhan,להצטרף,verbs,3.2
1652,corff,דם,nouns,1.05
1653,yn fawr,באופן מדהים,adverbs,0.55
1654,rhif,ספרה,nouns,5.3
1655,anatomeg,ביולוגיה,nouns,2.9
1656,gallu,כשירות,nouns,4.5
1657,gweinidogaeth,סולטן,nouns,0.7
1658,top,צד,nouns,0.45
1659,gweinyddiaeth,הנהלה,nouns,2.3
1660,trafod syniadau,טלסקופ,nouns,0.0
1661,gorffen,לסיים לימודים,verbs,1.45
1662,bàth,תעלול,nouns,0.0
1663,dinistrio,ליצור,verbs,0.55
1664,llenwi,לתעב,verbs,0.4
1665,yn debygol,בהחלט,adverbs,1.2
1666,môr,חוף,nouns,2.05
1667,rhwystredigaeth,כעס,nouns,2.35
1668,llosgi,לחנוק,verbs,1.2
1669,dwyn,לקנות,verbs,0.4
1670,gwartheg,פרה,nouns,4.35
1671,archesgob,בישוף,nouns,3.05
1672,dôl,ערבה,nouns,2.4
1673,dicter,זעם,nouns,4.45
1674,lifft,מכונית,nouns,0.5
1675,ffôl,ילדותי,adjectives,2.0
1676,anghefnogi,לעודד,verbs,0.5
1677,anghefnogi,לתסכל,verbs,2.4
1678,yn sicr,עצבני,adjectives,0.15
1679,newydd,ישן,adjectives,0.5
1680,gweddïo,לבקש,verbs,1.95
1681,asgwrn,שיניים,nouns,1.2
1682,oedolyn,תינוק,nouns,0.8
1683,cryndod,רעידת אדמה,nouns,2.85
1684,storm,הוריקן,nouns,3.4
1685,priodferch,נסיכה,nouns,1.1
1686,indrawn, דגן,nouns,1.45
1687,tric,אקדח,nouns,0.1
1688,dod â,להחזיר,verbs,0.6
1689,gwallgof,מעולה,adjectives,0.35
1690,rhannu,לאחד,verbs,0.55
1691,cwt,ביתן,nouns,3.85
1692,busnes,תעשייה,nouns,1.95
1693,go iawn,מזוייף,adjectives,0.55
1694,yn dynn,בנחישות,adverbs,1.7
1695,dec,סירה,nouns,1.45
1696,uno,לחלק,verbs,0.55
1697,teledu,שחקן,nouns,1.15
1698,dibynnu,להיכשל,verbs,0.35
1699,parth,שטח,nouns,5.1
1700,llew,חתול,nouns,2.15
1701,ffwr,מינק,nouns,2.6
1702,pen-blwydd,תאריך,nouns,1.4
1703,jîns,אישה,nouns,0.35
1704,lluosiad,חילוק,nouns,1.35
1705,llys,שופט,nouns,1.3
1706,gwahaniaethu,להסכים,verbs,0.55
1707,llaw,רגל,nouns,0.85
1708,cwympo,להיפצע,verbs,1.55
1709,dal,לחקות,verbs,0.15
1710,yn fras,באופן שולי,adverbs,0.45
1711,caffael,לגנוב,verbs,1.2
1712,cau,להקיא,verbs,0.05
1713,stumog,מותן,nouns,0.9
1714,mwsogl,דשא,nouns,1.6
1715,tanc,מכונית,nouns,1.15
1716,siocled,פאי,nouns,0.65
1717,rhyfedd,רגיל,adjectives,0.5
1718,losin,קינמון,nouns,1.0
1719,allanfa,כניסה,nouns,1.7
1720,yn ysgafn,בבהירות,adverbs,0.4
1721,ysgubell,אבק,nouns,0.75
1722,corfforaeth,עסק,nouns,2.6
1723,barnu,להאשים,verbs,2.6
1724,mêl,מחלבה,nouns,0.35
1725,talu,לטפל,verbs,0.2
1726,gwaed,מוח,nouns,1.0
1727,hwyl,משחק,nouns,1.25
1728,amsugno,להחזיק,verbs,0.25
1729,nenfwd,רצפה,nouns,0.65
1730,blin,אלים,adjectives,1.2
1731,hyblyg,נייד,adjectives,1.3
1732,trwyn,גרון,nouns,0.85
1733,matrics,מולקולה,nouns,0.25
1734,ewythr,גבר,nouns,1.25
1735,cig,בייקון,nouns,2.55
1736,newid,להשתנות,verbs,2.6
1737,brawdgarwch,בייסבול,nouns,0.25
1738,offeiriad,אל,nouns,1.05
1739,ymddangos,להתחזות,verbs,0.7
1740,creu,להרוס,verbs,0.55
1741,crwydro,לחפש,verbs,1.5
1742,car,סירה,nouns,1.2
1743,creu,לצלול,verbs,0.1
1744,ardderchog,משוגע,adjectives,0.35
1745,hwyliau,רגש,nouns,2.8
1746,cwmwl,אובך,nouns,2.3
1747,llygoden,חתול,nouns,1.05
1748,rhagfarn,שוביניסט,nouns,2.65
1749,plaladdwr,מזיק,nouns,1.05
1750,tarw,עגל,nouns,2.2
1751,brenhines,דבורה,nouns,0.65
1752,trist,מצחיק,adjectives,0.5
1753,llygredd,אטמוספירה,nouns,0.9
1754,hawdd,נוקשה,adjectives,0.4
1755,clariffeio,להסביר,verbs,4.15
1756,mwstard,גרגיר,nouns,0.85
1757,onest,שקרן,adjectives,0.55
1758,harddwch,גיל,nouns,0.7
1759,yn gadarn,ברוגע,adverbs,0.75
1760,dyfalu,להרגיז,verbs,0.05
1761,rhaglen,אוכל,nouns,0.3
1762,ymgynnull,לאסוף,verbs,4.65
1763,ŷd,תירס,nouns,1.45
1764,enfawr,מטומטם,adjectives,0.1
1765,ysgwydd,ראש,nouns,1.15
1766,gwych,נפלא,adjectives,4.6
1767,tenis,סטטיסטיקה,nouns,0.1
1768,yn ddymunol,באדיבות,adverbs,3.35
1769,o ddifrif,בכנות,adverbs,1.0
1770,gwych,רע,adjectives,0.45
1771,archwilio,לגלות,verbs,2.4
1772,bioleg,ביוטופ,nouns,1.0
1773,orthodontydd,רופא,nouns,1.8
1774,llawenydd,גאווה,nouns,1.85
1775,gwraig,חור,nouns,0.0
1776,bedd,קבורה מחדש,nouns,1.25
1777,tric,גודל,nouns,0.0
1778,ciwb,צעצוע,nouns,0.8
1779,anarferol,משונה,adjectives,4.4
1780,ystafell,בניין,nouns,1.25
1781,cyfoeth,עוני,nouns,0.7
1782,anghofio,להתעלם,verbs,1.2
1783,holi,לחפש,verbs,1.3
1784,gwan,חריף,adjectives,0.1
1785,cadw,לתת,verbs,0.35
1786,opera,קולנוע,nouns,1.35
1787,methiant,פשיטת רגל,nouns,1.15
1788,band,תזמורת,nouns,3.45
1789,deallusrwydd,מיומנות,nouns,1.65
1790,ymadael,להיפרד,verbs,2.3
1791,dadl,ביקורת,nouns,1.6
1792,ffatri,מכונית,nouns,0.5
1793,ennill,להיות ראוי,verbs,0.35
1794,hyderus,ודאי,adjectives,5.1
1795,ymosodol,מעוקל,adjectives,0.05
1796,wedi'i ferwi,מבושל,adjectives,2.7
1797,golygyddol,חדשות,nouns,1.45
1798,ysgol,חוק,nouns,0.65
1799,cemeg,תיאוריה,nouns,0.25
1800,dyn,אבא,nouns,2.45
1801,anhrefnu,מסודר,verbs,0.55
1802,alwminiwm,מתכת,nouns,2.55
1803,ffisigwr,דוקטור,nouns,4.9
1804,ymddangos,לעזוב,verbs,0.35
1805,niweidio,לבעוט,verbs,1.5
1806,gwddf,אף,nouns,0.85
1807,goroesi,לחיות,verbs,3.05
1808,yn graff,בבגרות,adverbs,1.0
1809,dweud,להשתתף,verbs,0.3
1810,fioled,פרח,nouns,1.8
1811,yn agored,בעוצמה,adverbs,0.6
1812,gludedd,התזה,nouns,0.25
1813,yn bwysig,באמת,adverbs,0.65
1814,adeiladu,להרוס,verbs,0.55
1815,tŷ,שטיח,nouns,0.65
1816,fideo,פילם,nouns,3.65
1817,arbed,לבזבז,verbs,0.55
1818,gorchuddio,להסוות,verbs,2.5
1819,tasg,קש,nouns,0.0
1820,taith,טיול,nouns,3.65
1821,gaeaf,עונה,nouns,2.05
1822,pwnc,סיפור,nouns,1.2
1823,ffilm,תיאטרון,nouns,1.4
1824,erthygl,עיתון,nouns,2.35
1825,dyweddïad,טבעת,nouns,1.85
1826,anghyfreithlon,חוקי,adjectives,0.55
1827,pêl-fasged,בייסבול,nouns,2.15
1828,pêl,ספירה,nouns,3.4
1829,mathemategydd,הצגה,nouns,0.05
1830,angau,טרגדיה,nouns,1.8
1831,hanfodol,הכרחי,adjectives,4.9
1832,heno,היום,adverbs,1.5
1833,yn annheg,בהגינות,adverbs,0.55
1834,gwrthwynebydd,מתנגד,nouns,3.6
1835,darganfod,לרכוש,verbs,1.45
1836,stumog,גוף,nouns,1.5
1837,gadael,לפנות,verbs,0.7
1838,basged,כדור,nouns,0.55
1839,anghofio,לשמור,verbs,0.45
1840,amgueddfa,מינט,nouns,0.2
1841,yn weithredol,בשמחה,adverbs,0.3
1842,arwr,גיבורה,nouns,3.7
1843,yn achlysurol,בקביעות,adverbs,1.05
1844,plymio,ליצור,verbs,0.1
1845,anwybyddu,לבקש,verbs,0.35
1846,troed,בסיס,nouns,1.15
1847,syniad,תכנית,nouns,2.45
1848,yn ystyrlon,לעומק,adverbs,1.85
1849,arfordir,גדה,nouns,2.95
1850,llawlyfr,מדריך טיולים,nouns,1.45
1851,eang,טרי,adjectives,0.05
1852,amsugno,לסגת,verbs,0.6
1853,nodadwy,ברור,adjectives,3.7
1854,symbol,קוד,nouns,2.25
1855,yn syml,לכאורה,adverbs,0.5
1856,diflas,עייף,adjectives,0.85
1857,yn fras,בקלות,adverbs,0.2
1858,hurt,נדיר,adjectives,0.1
1859,anaeddfed,בוגר,adjectives,0.55
1860,cyfuno,לשלב,verbs,3.85
1861,athronydd,מרוץ,nouns,0.0
1862,duw,רוח,nouns,1.2
1863,llosgfynydd,מגמה,nouns,1.85
1864,digid,ציטופלזמה,nouns,0.25
1865,caban,צריף,nouns,3.85
1866,twyllo,לרמות,verbs,4.75
1867,yn gynnil,בקול רם,adverbs,0.2
1868,tsunami,ים,nouns,1.45
1869,ceunant,עמק,nouns,3.5
1870,hael,נחמד,adjectives,1.15
1871,bwriadu,לנסות,verbs,0.9
1872,goruchafu,לנצח,verbs,2.4
1873,cyfoeth,תהילה,nouns,1.2
1874,dec,קומה,nouns,2.1
1875,rhyddhau,לתפוס,verbs,1.05
1876,cynghori,להמליץ,verbs,3.3
1877,gwersyll,ביתן,nouns,1.1
1878,unffurf,חסר צורה,adjectives,0.1
1879,yn dawel,בטבעיות,adverbs,0.3
1880,ffaith,תובנה,nouns,1.5
1881,canrif,ליקר,nouns,0.0
1882,môr,שפך,nouns,1.3
1883,afon,ים,nouns,1.7
1884,bowlen,סמטה,nouns,0.0
1885,anfoesol,רע,adjectives,2.75
1886,da,חמישי,adjectives,0.25
1887,encilio,לעזוב,verbs,3.15
1888,diddordeb,קשב,nouns,2.3
1889,portreadu,להחליט,verbs,0.2
1890,cwt,מקלט,nouns,1.75
1891,poeni,לבזבז,verbs,0.1
1892,wedi ei orchuddio,חשוף,adjectives,0.5
1893,swltan,כהונה,nouns,0.7
1894,prawf,עובדה,nouns,1.2
1895,ynys,נסיכה,nouns,0.3
1896,tarian,באקלר,nouns,1.8
1897,log,אמבטיה,nouns,0.1
1898,arestio,לחשוד,verbs,0.45
1899,lladd,לתלות,verbs,1.95
1900,arian,יהלום,nouns,1.05
1901,sbeislyd,חלש,adjectives,0.1
1902,potel,קנקן,nouns,2.8
1903,blwch,מקור,nouns,0.0
1904,het,מעיל,nouns,1.0
1905,strwythur,טופולוגיה,nouns,2.05
1906,colli,לקבל,verbs,0.45
1907,llaeth,מיץ,nouns,1.2
1908,cynllun,רעיון,nouns,2.45
1909,siofinist,דעה קדומה,nouns,2.65
1910,prifysgol,קמפוס,nouns,1.8
1911,pryderus,חושש,adjectives,4.3
1912,llywydd,תלמיד,nouns,0.25
1913,cymryd rhan,להגיד,verbs,0.3
1914,oen,כבש,nouns,3.4
1915,cyhyrau,עצם,nouns,0.7
1916,bioleg,אנטומיה,nouns,2.9
1917,gymnasteg,סיוף,nouns,0.85
1918,pennu,לפנות,verbs,0.1
1919,diflas,בינוני,adjectives,0.65
1920,brwnt,דביק,adjectives,0.75
1921,mob,קהל,nouns,4.55
1922,bawd,יד,nouns,1.4
1923,gwario,לחסוך,verbs,0.55
1924,erthygl,כתב יד,nouns,1.6
1925,glân,מבולגן,adjectives,0.45
1926,yn oddefol,במרץ,adverbs,0.25
1927,argraffu,להתעלם,verbs,0.1
1928,actor,טלויזיה,nouns,1.15
1929,tafod,שריר,nouns,1.6
1930,gwneuthurwr,בורא,nouns,5.15
1931,sinema,פופקורן,nouns,0.85
1932,peiriant,מחשב,nouns,2.25
1933,digwyddiad codi arian,ארוע,nouns,1.75
1934,anhrefn,שיעור,nouns,0.15
1935,porth,יציאה,nouns,1.7
1936,hapus,כועס,adjectives,0.55
1937,batri,אנרגיה,nouns,2.45
1938,troseddu,להטריד,verbs,1.1
1939,drwg,מעולה,adjectives,0.45
1940,hael,חברותי,adjectives,0.85
1941,radical,אלים,adjectives,0.95
1942,bws,רכב,nouns,2.45
1943,cornel,אזור,nouns,1.1
1944,pen-glin,עצם,nouns,1.6
1945,ymosod,לעצבן,verbs,0.55
1946,brwydro,לשחק,verbs,0.95
1947,camera,נשיא,nouns,0.05
1948,yn gyfrinachgar,בוודאי,adverbs,0.1
1949,plentynaidd,טיפשי,adjectives,2.0
1950,canu,לצחוק,verbs,0.55
1951,aros,לעזוב,verbs,0.55
1952,cerdyn,ברידג',nouns,0.7
1953,yn wir,חשוב,adverbs,0.65
1954,fel arfer,בכנות,adverbs,0.25
1955,cymhwysedd,יכולת,nouns,4.5
1956,ffôn,תא,nouns,0.3
1957,llynges,צבא,nouns,3.6
1958,byddin,לגיון,nouns,3.2
1959,cyfathrebu,טלויזיה,nouns,1.45
1960,trosedd,תקיפה,nouns,2.45
1961,afal,רוטב,nouns,0.55
1962,ystafell ymolchi,חדר שינה,nouns,1.5
1963,gwybodaeth,ספר,nouns,1.1
1964,buwch,בקר,nouns,4.35
1965,wedi ei dychryn,נרגש,adjectives,1.6
1966,blanced,עץ,nouns,0.15
1967,galar,ייסורים,nouns,2.85
1968,siaced,בגדים,nouns,1.65
1969,diflannu,להיכחד,verbs,5.0
1970,diafol,אל,nouns,1.3
1971,yn ansicr,מפוחד,adjectives,1.75
1972,chwilio,לבקש,verbs,0.8
1973,batri,תיאטרון,nouns,0.0
1974,cell,חדר,nouns,2.55
1975,nendwr,ארמון,nouns,0.95
1976,lens,מצלמה,nouns,1.85
1977,cyfarfod,לעזוב,verbs,0.4
1978,syniad,דעה,nouns,2.7
1979,canwr,צוות,nouns,0.05
1980,yn naturiol,באופן לא טבעי,adverbs,0.5
1981,tad,בן,nouns,1.4
1982,papur newydd,מידע,nouns,1.3
1983,oedolyn,הורה,nouns,1.85
1984,maes llafur,מבחן,nouns,0.7
1985,doler,אנשים,nouns,0.05
1986,clo,מפתח,nouns,1.3
1987,llaw,אגודל,nouns,1.4
1988,baner,מוט,nouns,1.1
1989,dychryn,לרדוף,verbs,1.1
1990,rhuthro,להזדרז,verbs,5.35
1991,trydan,תיבה,nouns,0.2
1992,biotop,ביולוגיה,nouns,1.0
1993,trosedd,גניבה,nouns,2.15
1994,cebl, קפלה,nouns,0.0
1995,canolig,משעמם,adjectives,0.65
1996,tun,אלומיניום,nouns,2.0
1997,llenyddiaeth,מילה,nouns,1.4
1998,anystwyth,קל,adjectives,0.4
1999,cael,להפסיד,verbs,0.45
2000,eil,אולם,nouns,0.6
2001,yn rhyfedd,באופן חריג,adverbs,4.3
2002,lwcus,מובך,adjectives,0.05
2003,diddanu,להנות,verbs,1.4
2004,goruchafiath,ניצחון,nouns,3.6
2005,llen,מוט,nouns,0.7
2006,gwialen,וילון,nouns,0.7
2007,blwyddyn,יום הולדת,nouns,1.15
2008,yn anarferol,באופן מוזר,adverbs,4.3
