ID,FIN,RUS,PoS,score
1404,neutraali,нерешительный,adjectives,0.65
1405,tärkeä,решающий,adjectives,3.85
1406,rouskua,щёлкать,verbs,1.55
1407,vuosi,юбилей,nouns,1.1
1408,keramiikka,керамика,nouns,3.9
1409,lippu,изучение флагов,nouns,1.45
1410,suorittaa loppuun,соревноваться,verbs,0.2
1411,huone,здание,nouns,1.05
1412,kruunu,ключ,nouns,0.0
1413,tyhmä,интеллектуальный,adjectives,0.25
1414,ylpeästi,мирно,adverbs,0.0
1415,arvomerkki,достоинство,nouns,0.3
1416,alue,угол,nouns,0.5
1417,ujo,дорогой,adjectives,0.0
1418,kiista,соглашение,nouns,0.45
1419,tarpeellinen,неотъемлемый,adjectives,3.3
1420,kunnia,почтение,nouns,3.15
1421,todistaa,объяснять,verbs,2.55
1422,rakastaja,спутник,nouns,1.95
1423,ärsyttää,угадывать,verbs,0.0
1424,lisätä,делить,verbs,0.5
1425,patikoida,лазить,verbs,1.2
1426,hotelli,квартира,nouns,1.05
1427,päivämäärä,календарь,nouns,1.5
1428,saatana,бог,nouns,0.85
1429,ampua ohi,ударять,verbs,0.2
1430,tapaus,электричество,nouns,0.3
1431,kadetraali,потолок,nouns,0.2
1432,sairaus,инфекция,nouns,2.95
1433,lahja,писатель,nouns,0.4
1434,kehto,кроватка,nouns,4.1
1435,katsoa,искать,verbs,1.4
1436,amorfinen,бесформенный,adjectives,3.65
1437,julma,милый,adjectives,0.1
1438,vyöhyke,область,nouns,4.05
1439,dominoida,выигрывать,verbs,1.35
1440,kova,простой,adjectives,0.0
1441,joustava,свободный,adjectives,0.8
1442,operaatio,алгебра,nouns,0.05
1443,oviaukko,дверь,nouns,3.2
1444,kello,дверь,nouns,0.55
1445,nopea,скоростной,adjectives,4.9
1446,aggressio,враждебность,nouns,5.05
1447,nepotismi,король,nouns,0.7
1448,tarpeellinen,ненужный,adjectives,0.25
1449,ihmiset,доллар,nouns,0.0
1450,pohjoinen,запад,nouns,0.7
1451,aavikko,дюна,nouns,1.8
1452,tohtori,профессор,nouns,1.9
1453,toiminta,курс,nouns,0.45
1454,muksu,дочь,nouns,1.7
1455,aktiviteetti,движение,nouns,2.5
1456,halveksia,ненавидеть,verbs,3.05
1457,sähkö,ящик,nouns,0.3
1458,profeetta,священник,nouns,1.25
1459,seremonia,праздник,nouns,4.05
1460,ihanteellisesti,реалистично,adverbs,0.4
1461,puhua,признавать,verbs,1.1
1462,tarina,тема,nouns,0.8
1463,ovela,странный,adjectives,0.85
1464,pormestari,глава,nouns,2.4
1465,aivot,нерв,nouns,1.45
1466,alkoholi,коктейль,nouns,2.0
1467,kamera,работник,nouns,0.3
1468,kukka,куст,nouns,1.65
1469,kana,стейк,nouns,0.95
1470,hiljattain,реалистично,adverbs,0.0
1471,numero,цифра,nouns,4.85
1472,rentoutunut,спокойный,adjectives,2.95
1473,kuulla,говорить,verbs,0.45
1474,osallistua,появляться,verbs,0.75
1475,tekijä,читатель,nouns,0.95
1476,lisko,змея,nouns,1.7
1477,tykki,ружье,nouns,2.55
1478,äiti,отец,nouns,1.35
1479,hysteria,помрачение,nouns,1.75
1480,isä,дочь,nouns,1.0
1481,valinta,мнение,nouns,0.95
1482,brandy,вино,nouns,1.45
1483,oikeudenkäynti,вердикт,nouns,1.3
1484,olkapää,рука,nouns,1.55
1485,älykkyys,логика,nouns,2.55
1486,miettiä,думать,verbs,5.2
1487,vaunut,автомобиль,nouns,1.15
1488,ottaa osaa,присоединяться,verbs,1.9
1489,sitruuna,чай,nouns,0.7
1490,tiukasti,невероятно,adverbs,0.1
1491,antaa,получать,verbs,0.3
1492,käteinen,деньги,nouns,3.6
1493,onnettomuus,авария,nouns,4.05
1494,nenä,горло,nouns,1.15
1495,perustuslaki,император,nouns,0.35
1496,tuoda,приходить,verbs,1.0
1497,käyttökelpoinen,невозможный,adjectives,0.35
1498,paikallisesti,очевидно,adverbs,0.0
1499,vaatteet,шкаф,nouns,0.55
1500,vasikka,бык,nouns,2.25
1501,odottaa,приостанавливаться,verbs,1.2
1502,hiljattain,теперь,adverbs,0.95
1503,säilyketölkki,алюминий,nouns,0.35
1504,koulu,юриспруденция,nouns,0.5
1505,onnellisesti,активно,adverbs,0.35
1506,sairaanhoitaja,ученый,nouns,0.25
1507,kuu,планета,nouns,2.35
1508,maksa,легкое,nouns,1.2
1509,jäädä,сохранять,verbs,1.0
1510,kuningas,непотизм,nouns,0.7
1511,lapsi,мальчик,nouns,2.55
1512,muodostaa,разрушать,verbs,0.2
1513,syytön,наивный,adjectives,0.45
1514,niukka,редкий,adjectives,2.05
1515,välttämätön,важный,adjectives,3.85
1516,vakavasti,искренне,adverbs,1.15
1517,hauska,скучный,adjectives,0.25
1518,sitoumus,кольцо,nouns,1.2
1519,lainaaja,кредит,nouns,1.3
1520,kaapata,ловить,verbs,2.5
1521,temppu,ванна,nouns,0.0
1522,huippu,пятый,adjectives,0.05
1523,aina,дважды,adverbs,0.45
1524,karkeasti,нетерпеливо,adverbs,0.8
1525,auringonlasku,вечер,nouns,2.15
1526,aamunkoitto,ночь,nouns,0.95
1527,tyydyttää,понимать,verbs,0.25
1528,uskomus,цветок,nouns,0.05
1529,tarkoitus,воля,nouns,1.65
1530,kärpänen,муравей,nouns,1.1
1531,aamunkoitto,ружье,nouns,0.0
1532,maksaa,лечить,verbs,0.1
1533,hyväksyä,отказывать,verbs,0.2
1534,havaita,слышать,verbs,2.0
1535,työläinen,офис,nouns,0.8
1536,korottaa,пить,verbs,0.0
1537,hammaslääkäri,полковник,nouns,0.4
1538,houkkamainen,ребячливый,adjectives,1.3
1539,linna,стена,nouns,0.55
1540,laskimo,желудок,nouns,0.8
1541,suora,изогнутый,adjectives,0.3
1542,vaivata,мешать,verbs,3.55
1543,antaa anteeksi,помиловать,verbs,4.15
1544,laatikko,лифт,nouns,0.35
1545,pohjimmiltaan,вполне,adverbs,1.0
1546,vuohi,корова,nouns,1.0
1547,kuvernööri,император,nouns,1.15
1548,johtokunta,работа,nouns,1.05
1549,säästää,тратить,verbs,0.3
1550,moottori ,лодка,nouns,0.8
1551,kirjallisuus,книга,nouns,2.35
1552,hermostunut,уверенный,adjectives,0.05
1553,lähteä,отделять,verbs,0.4
1554,väkijuoma,вино,nouns,2.55
1555,usein,редко,adverbs,0.25
1556,pohja,бок,nouns,0.45
1557,henkilö,животное,nouns,0.6
1558,hiekka,ступня,nouns,0.0
1559,lopettaa,начинать,verbs,0.25
1560,kerho,марка,nouns,0.05
1561,kurssi,действие,nouns,0.45
1562,selkäranka,шея,nouns,1.35
1563,toimisto,работник,nouns,0.8
1564,pelata uhkapeliä,сделать ставку,verbs,2.8
1565,kitara,барабан,nouns,1.3
1566,joki,поток,nouns,2.3
1567,lentokenttä,самолет,nouns,1.05
1568,pilvinen sää,прогноз,nouns,0.95
1569,vihata,критиковать,verbs,0.9
1570,kurjuus,отчаяние,nouns,2.3
1571,laukku,сумочка,nouns,4.15
1572,laulu,баллада,nouns,3.95
1573,ylimielinen,гордый,adjectives,2.5
1574,makuuhuone,ванная,nouns,1.4
1575,surullinen,ужасный,adjectives,0.75
1576,supistaa,пропитывать,verbs,0.0
1577,uskalias,гордый,adjectives,0.9
1578,aviomies,мужчина,nouns,3.15
1579,yhtenäinen,бесформенный,adjectives,0.25
1580,siemen,горчица,nouns,1.25
1581,vapaa,невинный,adjectives,0.3
1582,houkkamainen,тупой,adjectives,2.9
1583,asenne,уверенность,nouns,1.75
1584,kaaos,анархия,nouns,4.0
1585,jakkara,стул,nouns,3.6
1586,aikuinen,опекун,nouns,1.9
1587,tamma,лошадь,nouns,4.0
1588,selittää,доказывать,verbs,2.55
1589,tuhota,разлагаться,verbs,0.75
1590,karata,находить,verbs,0.2
1591,kritisoida,ненавидеть,verbs,0.9
1592,näppäimistö,свет,nouns,0.0
1593,epäaito,искусственный,adjectives,4.3
1594,raja,рубеж,nouns,3.7
1595,salaatti,уксус,nouns,0.5
1596,helposti,удобно,adverbs,1.6
1597,polttimo,цветок,nouns,0.3
1598,kihlautua,жениться,verbs,1.9
1599,runoilija,журналист,nouns,0.8
1600,mennä,позволять,verbs,0.35
1601,huokea,дешевый,adjectives,4.9
1602,essee,книга,nouns,1.8
1603,makuuhuone,кровать,nouns,1.1
1604,yhtälö,формула,nouns,3.2
1605,luuri,потерпевший,nouns,0.0
1606,peitto,шторм,nouns,0.0
1607,tieto,газета,nouns,1.65
1608,ylpeästi,смиренно,adverbs,0.3
1609,molekyyli,атом,nouns,1.7
1610,hiiri,палуба,nouns,0.4
1611,yliopisto,кампус,nouns,2.25
1612,suu,губа,nouns,1.65
1613,illallinen,завтрак,nouns,1.15
1614,testi,суд,nouns,0.4
1615,syyttää,толкать,verbs,0.0
1616,veli,отец,nouns,1.2
1617,epäillä,арестовывать,verbs,0.4
1618,vastaanottaa,достигать,verbs,0.95
1619,kartio,стакан,nouns,0.25
1620,vaahtera,дерево,nouns,3.25
1621,kriittisesti,практически,adverbs,0.9
1622,opiskelija,ученик,nouns,5.3
1623,hahmo,человек,nouns,3.1
1624,voi,картофель,nouns,0.7
1625,vauva,взрослый,nouns,0.8
1626,kokous,сбор,nouns,4.45
1627,luotettavasti,грубо,adverbs,0.1
1628,viikko,выходной,nouns,1.1
1629,käsittää,удовлетворять,verbs,0.25
1630,uskollisesti,честно говоря,adverbs,0.7
1631,kulho,тарелка,nouns,2.85
1632,menestyä,достигать,verbs,2.3
1633,piano,гармония,nouns,0.6
1634,maila,мяч,nouns,0.9
1635,kirjekuori,украшение,nouns,0.15
1636,täydellisesti,действительно,adverbs,2.1
1637,katedraali,церковь,nouns,3.95
1638,teleskooppi,стул,nouns,0.0
1639,peittää,защищать,verbs,2.9
1640,hiiri,крыса,nouns,2.5
1641,tietää,верить,verbs,1.1
1642,päivällinen,завтрак,nouns,1.0
1643,kampanja,обезьяна,nouns,0.0
1644,hengittää,задыхаться,verbs,0.5
1645,lato,дом,nouns,1.7
1646,pääkirjoitus,новости,nouns,1.05
1647,lintu,индейка,nouns,2.55
1648,liha,кровь,nouns,1.05
1649,surullisesti,эмоционально,adverbs,1.45
1650,mieli,невроз,nouns,0.45
1651,tehtävä,пустяк,nouns,0.05
1652,sana,газета,nouns,1.1
1653,halata,держать,verbs,1.0
1654,jumala,жертва,nouns,0.15
1655,kuivuus,вода,nouns,0.4
1656,tippua,наливать,verbs,0.6
1657,herkkäuskoinen,глупый,adjectives,1.05
1658,pirtelö,сок,nouns,0.9
1659,saastuminen,атмосфера,nouns,0.4
1660,suutin,жидкость,nouns,0.05
1661,heijastus,образ,nouns,1.85
1662,käsikirjoittaja,телевидение,nouns,0.75
1663,voileipä,обед,nouns,1.35
1664,löysä,гибкий,adjectives,0.8
1665,jumala,отец,nouns,0.85
1666,taimen,гитара,nouns,0.0
1667,peli,действие,nouns,1.55
1668,ajatella,пытаться,verbs,0.3
1669,uskoa,принимать,verbs,1.05
1670,nykyään,деликатно,adverbs,0.0
1671,valehdella,отрицать,verbs,1.05
1672,valtava,крошечный,adjectives,0.2
1673,ruoho,мох,nouns,1.45
1674,olut,напиток,nouns,2.5
1675,astronomi,галактика,nouns,1.1
1676,sänky,больница,nouns,0.6
1677,rannikkoalue,пляж,nouns,nan
1678,infektio,заболевание,nouns,2.95
1679,sisäistää,сжимать,verbs,0.85
1680,ottaa,воспользоваться,verbs,1.75
1681,opiskelija,профессор,nouns,0.8
1682,painaa,освобождать,verbs,0.0
1683,tappaa,защищать,verbs,0.2
1684,rikos,кража,nouns,2.8
1685,lannoite,развитие,nouns,0.5
1686,nilkka,окно,nouns,0.0
1687,huone,кровать,nouns,0.8
1688,varmistaa,говорить,verbs,0.8
1689,vartalo,нижняя одежда,nouns,0.3
1690,jakaa,умножать,verbs,0.65
1691,vatsa,курс,nouns,0.1
1692,tausta,обои,nouns,1.75
1693,pikainen,скорый,adjectives,4.9
1694,ympäristö,меч,nouns,0.2
1695,mielenkiinto,внимание,nouns,3.65
1696,uhka,опасность,nouns,5.15
1697,säästäjä,сбережения,nouns,1.1
1698,paistaa,кипятить,verbs,1.4
1699,symboli,код,nouns,1.85
1700,unelma,небо,nouns,0.25
1701,lapsellinen,безрассудный,adjectives,1.3
1702,kadottaa,получать,verbs,0.05
1703,avain,корона,nouns,0.0
1704,onnistua,достигать,verbs,3.2
1705,valehdella,притворяться,verbs,3.05
1706,opettaja,преподаватель,nouns,4.8
1707,pääasiassa,терминально,adverbs,0.3
1708,kunto,ситуация,nouns,1.85
1709,tietämättömyys,ум,nouns,0.45
1710,pallo,корзина,nouns,0.55
1711,muslimi,епископ,nouns,0.3
1712,nenä,рот,nouns,1.2
1713,yksityinen,личный,adjectives,4.15
1714,lyödä,смешивать,verbs,0.05
1715,häntä,миска,nouns,0.0
1716,koko,трюк,nouns,0.05
1717,paukkumaissi,кино,nouns,0.75
1718,suuruus,размер,nouns,5.25
1719,myydä,продаваться,verbs,0.5
1720,menestyä,становиться,verbs,0.65
1721,tila,мода,nouns,0.35
1722,ase,тетрадь,nouns,0.0
1723,riisi,боб,nouns,0.9
1724,liueta,плавиться,verbs,2.7
1725,hauta,перезахоронения,nouns,1.35
1726,ananas,смартфон,nouns,0.0
1727,setä,кузен,nouns,1.6
1728,hammaslääkäri,ортодонт,nouns,4.05
1729,neuvottelu,дипломатия,nouns,2.1
1730,toiminta,игра,nouns,1.55
1731,kaapata,подражать,verbs,0.1
1732,ystävä,гость,nouns,1.0
1733,valmistaa,строить,verbs,2.85
1734,kiista,критика,nouns,0.95
1735,ovi,звонок,nouns,0.55
1736,kirja,текст,nouns,2.35
1737,sammal,трава,nouns,1.45
1738,elokuva,нигилизм,nouns,0.0
1739,laatikko,шляпа,nouns,0.3
1740,sallia,идти,verbs,0.35
1741,käsi,ноготь,nouns,1.45
1742,niska,рука,nouns,0.85
1743,auringonpaiste,яблоко,nouns,0.0
1744,sumu,облако,nouns,2.1
1745,madaltaa,уменьшить,verbs,1.0
1746,väsynyt,голодный,adjectives,0.4
1747,tehtävä,автострада,nouns,0.1
1748,hyväksyä,доставлять,verbs,0.1
1749,levy,компьютер,nouns,0.9
1750,totella,наказывать,verbs,0.3
1751,mäntä,мотор,nouns,1.75
1752,taistelu,завоевание,nouns,1.95
1753,kouluttaa,учить,verbs,3.45
1754,aakkoset,ручка,nouns,0.3
1755,luoda,строить,verbs,3.4
1756,vatsa,тело,nouns,1.75
1757,auto,грузовик,nouns,2.85
1758,kalkkuna,курица,nouns,1.5
1759,purukumi,мята,nouns,0.6
1760,intohimo,эмоция,nouns,2.6
1761,serkku,дядя,nouns,1.6
1762,tuomioistuin,справедливость,nouns,1.6
1763,auto,шланг,nouns,0.4
1764,uskoa,знать,verbs,1.1
1765,kuningatar,пчела,nouns,1.1
1766,mehiläinen,насекомое,nouns,2.45
1767,käytös,привычка,nouns,3.15
1768,tila,эмоция,nouns,1.75
1769,vaimo,ванна,nouns,0.0
1770,himoita,хотеть,verbs,5.2
1771,merkki,клуб,nouns,0.05
1772,käsi,запястье,nouns,2.3
1773,koju,телефон,nouns,0.45
1774,terävä,мягкий,adjectives,0.0
1775,järjestää,организовывать,verbs,5.0
1776,tihkusade,дождь,nouns,4.2
1777,hevonen,бык,nouns,1.2
1778,väkijuoma,век,nouns,0.0
1779,luovasti,первоначально,adverbs,0.45
1780,pehmeä,агрессивный,adjectives,0.1
1781,päivä ,утро,nouns,1.65
1782,noppa,куб,nouns,3.05
1783,omena,солнце,nouns,0.0
1784,ystävä,парень,nouns,1.25
1785,kahdesti,множественный,adverbs,0.85
1786,laiska,занятый,adjectives,0.2
1787,meri,река,nouns,1.1
1788,auto,гудок,nouns,0.45
1789,kapea,длинный,adjectives,0.5
1790,alue,зона,nouns,4.05
1791,hyvin,известный,adjectives,0.1
1792,cocktail,алкоголь,nouns,2.0
1793,pettää,мошенничать,verbs,4.35
1794,kesä,зима,nouns,0.8
1795,hermo,мужество,nouns,1.35
1796,luu,рука,nouns,1.15
1797,paketti,грузовик,nouns,0.2
1798,voimallinen,слабый,adjectives,0.25
1799,sisäkatto,собор,nouns,0.2
1800,ekosysteemi,экономика,nouns,0.75
1801,viini,алкоголь,nouns,2.35
1802,pallo,костюм,nouns,0.5
1803,milloin tahansa,иногда,adverbs,0.6
1804,läsnäolo,дверь,nouns,0.1
1805,jättää,выселять,verbs,0.8
1806,saippuavaahto,пузырь,nouns,1.95
1807,roikkua,класть,verbs,0.3
1808,surullinen,смешной,adjectives,0.2
1809,masennus,долина,nouns,0.0
1810,raha,зарплата,nouns,2.45
1811,epävarma,испуганный,adjectives,1.1
1812,joki,море,nouns,1.1
1813,epäkypsä,взрослый,adjectives,0.25
1814,nopeus,значение,nouns,0.05
1815,sarvi,барабан,nouns,0.35
1816,todella,совершенно,adverbs,2.1
1817,kupla,пена,nouns,1.95
1818,aalto,погода,nouns,0.35
1819,vakavasti,важно,adverbs,1.6
1820,yhdistää,жениться,verbs,1.55
1821,tuskin koskaan,часто,adverbs,0.25
1822,kuolettavasti,счастливо,adverbs,0.1
1823,huonekalut,квартира,nouns,0.75
1824,hienovaraisesti,громко,adverbs,0.05
1825,paheksua,отклонять,verbs,0.9
1826,veri,вирус,nouns,0.75
1827,ruma,грубый,adjectives,0.9
1828,kappale,выбор,nouns,0.4
1829,hissi,автомобиль,nouns,0.45
1830,kovakouraisesti,легко,adverbs,0.15
1831,suuresti,ярко,adverbs,1.0
1832,loiske,вязкость,nouns,0.5
1833,vuosisata,год,nouns,1.35
1834,lounas,бутерброд,nouns,1.35
1835,kapea,тонкий,adjectives,2.85
1836,hallitus,ящерица,nouns,0.0
1837,vähäpätöinen,значительный,adjectives,0.25
1838,jalka,конечность,nouns,3.2
1839,elegantisti,красиво,adverbs,3.8
1840,musiikki,флейта,nouns,0.95
1841,omena,сладость,nouns,0.55
1842,maali,победитель,nouns,0.6
1843,tyttö,дева,nouns,2.3
1844,hermostuneesti,тревожно,adverbs,3.35
1845,valkuaisaine,ручка,nouns,0.0
1846,säästää,тонуть,verbs,0.1
1847,nieleksiä,хлебать,verbs,2.3
1848,lusikka,чашка,nouns,1.0
1849,ohjaaja,кинематография,nouns,1.0
1850,hermostunut,испуганный,adjectives,1.75
1851,kitara,форель,nouns,0.0
1852,sekoittaa,готовить,verbs,0.35
1853,joskus,равномерно,adverbs,0.1
1854,kruunajaiset,воды,nouns,0.0
1855,imeä itseensä,отделяться,verbs,0.35
1856,meteori,сила тяжести,nouns,0.2
1857,tapaaminen,обязательство,nouns,0.8
1858,pysähtyä,контролировать,verbs,0.4
1859,negatiivisesti,неестественно,adverbs,0.3
1860,poski,язык,nouns,1.25
1861,ylpeä,печальный,adjectives,0.05
1862,säästö,бережливый человек,nouns,1.1
1863,järvi,облако,nouns,0.3
1864,vuori,выступ,nouns,0.8
1865,välittömästi,один раз,adverbs,0.15
1866,jäykkä,легкий,adjectives,0.05
1867,naru,закат,nouns,0.0
1868,sänky,спальня,nouns,1.1
1869,koko,величина,nouns,5.25
1870,rannekello,юбка,nouns,0.1
1871,matkatavarat,кругосветное плавание,nouns,0.65
1872,edetä,продвигать,verbs,1.7
1873,kallio,мина,nouns,0.3
1874,menestyjä,человек,nouns,0.6
1875,päivällinen,трапеза,nouns,3.15
1876,työläinen,механик,nouns,2.2
1877,isä,мужчина,nouns,2.0
1878,rauhanomaisesti,спокойно,adverbs,4.4
1879,hohtaa,сиять,verbs,4.8
1880,termi,семестр,nouns,1.1
1881,sanomalehti,известие,nouns,1.1
1882,varastaa,приобретать,verbs,0.8
1883,suurkaupunki,городок,nouns,3.55
1884,raivostunut,нерешительный,adjectives,0.35
1885,matriisi,молекула,nouns,0.5
1886,arvo,вера,nouns,1.0
1887,jumala,дух,nouns,2.15
1888,lumi,шторм,nouns,1.0
1889,kuoro,певец,nouns,1.7
1890,karitsa,овца,nouns,3.65
1891,jättää,прибывать,verbs,0.15
1892,kuutio,игральная кость,nouns,3.05
1893,usva,облако,nouns,1.9
1894,maanjäristys,тремор,nouns,0.9
1895,avoimesti,массивно,adverbs,0.2
1896,työntekijä,работодатель,nouns,1.25
1897,väkivaltainen,пассивный,adjectives,0.15
1898,valuutta,совпадение,nouns,0.0
1899,julkinen,частный,adjectives,0.2
1900,jättää,странствовать,verbs,0.2
1901,keittiö,ванная,nouns,1.0
1902,maha,живот,nouns,5.2
1903,juhla,церемония,nouns,4.05
1904,talvi,лето,nouns,0.8
1905,sivu,слово,nouns,0.55
1906,polvi,рука,nouns,1.0
1907,tanssi,платье,nouns,0.45
1908,eri tavalla,странно,adverbs,1.8
1909,tauota,ждать,verbs,1.2
1910,pahentaa,нападать,verbs,0.2
1911,pahvi,бумага,nouns,3.0
1912,taso,гол,nouns,0.4
1913,peitto,дерево,nouns,0.0
1914,luoja,изготовитель,nouns,3.9
1915,salaa,уверенно,adverbs,0.05
1916,kuunnella,узнавать,verbs,0.65
1917,kypsästi,праведно,adverbs,0.5
1918,jänis,кот,nouns,0.8
1919,hurrikaani,буря,nouns,3.95
1920,epäilty,человек,nouns,0.25
1921,valittaa,ругаться,verbs,1.0
1922,munuainen,орган,nouns,2.35
1923,ilmestyä,посещать,verbs,0.75
1924,peitto,постель,nouns,0.9
1925,kantaa,приносить,verbs,2.0
1926,haluta,желать,verbs,5.2
1927,omituinen,странный,adjectives,4.6
1928,jäätyä,дрожать,verbs,1.05
1929,kahdesti,один раз,adverbs,0.6
1930,haittaohjelma,червяк,nouns,1.45
1931,tuore,широкий,adjectives,0.0
1932,timantti,деньги,nouns,0.6
1933,vuosisata,спиртное,nouns,0.0
1934,nainen,мужчина,nouns,0.65
1935,tuhlata,беспокоиться,verbs,0.05
1936,jäytää,увядать,verbs,0.1
1937,tulla,завершать,verbs,0.65
1938,vaimo,дыра,nouns,0.0
1939,helppo,трудный,adjectives,0.3
1940,konkurssi,провал,nouns,2.25
1941,asunto,гостиница,nouns,1.05
1942,tulo,налог,nouns,0.7
1943,mahti,сила,nouns,3.8
1944,sarvi,автомобиль,nouns,0.45
1945,gini,алкоголь,nouns,2.45
1946,sohva,стул,nouns,1.65
1947,asu,бал,nouns,0.5
1948,orivarsa,конь,nouns,2.9
1949,myrsky,ураган,nouns,3.95
1950,miekka,трон,nouns,0.15
1951,lakimies,галерея,nouns,0.0
1952,kaveri,друг,nouns,4.55
1953,tuleva,уходящий,adjectives,0.2
1954,valinta,глава,nouns,0.4
1955,heikko,мощный,adjectives,0.25
1956,moittia,судить,verbs,3.15
1957,alieni,чужеземец,nouns,3.65
1958,tasavalta,герцог,nouns,0.35
1959,vaalia,хранить,verbs,1.7
1960,maatalous,растение,nouns,0.9
1961,aikakauslehti,статья,nouns,1.4
1962,vaikea,легкий,adjectives,0.3
1963,lepakko,вампир,nouns,0.85
1964,linja-auto,автотранспорт,nouns,2.45
1965,onnellisuus,умиротворенность,nouns,1.55
1966,laulaa,плавать,verbs,0.05
1967,likainen,дешевый,adjectives,0.1
1968,väsynyt,скучный,adjectives,0.7
1969,avioliiton ulkopuolinen,неприличный,adjectives,0.05
1970,kryptogrammi,символ,nouns,1.95
1971,veli,человек,nouns,0.5
1972,vatsa,брюшко,nouns,5.2
1973,sanomalehti,информация,nouns,1.65
1974,kylmä,обычный,adjectives,0.0
1975,aito,фальшивый,adjectives,0.35
1976,sallia,разъедать,verbs,0.0
1977,kurkku,нос,nouns,1.15
1978,hiilihydraatti,сахароза,nouns,2.4
1979,hautaaminen,смерть,nouns,1.3
1980,uutiset,носитель,nouns,0.2
1981,erilainen,обычный,adjectives,0.25
1982,helppo,большой,adjectives,0.0
1983,vuosikymmen,век,nouns,0.85
1984,saari,флот,nouns,0.4
1985,tavata,собираться,verbs,3.6
1986,sade,изморось,nouns,2.0
1987,konsepti,верование,nouns,1.2
1988,haitta,боль,nouns,1.45
1989,käsikirjoitus,книга,nouns,1.75
1990,hullu,больной,adjectives,1.55
1991,laivasto,остров,nouns,0.4
1992,hämmentää,встряхивать,verbs,1.55
1993,hammas,рот,nouns,1.35
1994,kumppani,возлюбленный,nouns,1.95
1995,talous,экосистема,nouns,0.75
1996,lammas,ягненок,nouns,3.65
1997,tukki,древесина,nouns,3.05
1998,ohjaamo,штурман,nouns,0.45
1999,paita,кардиган,nouns,1.2
2000,täällä,сейчас,adverbs,0.85
2001,kalenteri,дата,nouns,1.5
2002,jumaloida,восхищаться,verbs,4.05
2003,seimi,колыбель,nouns,4.1
2004,helppo,тяжелый,adjectives,0.25
2005,kunnioitus,честь,nouns,3.15
2006,petos,коррупция,nouns,2.9
2007,kirjailija,композитор,nouns,1.05
2008,ylpeä,дерзкий,adjectives,0.9
2009,sormus,помолвка,nouns,1.2
2010,liittyä,добавлять,verbs,1.35
2011,legenda,мораль,nouns,0.3
2012,myrsky,снег,nouns,1.0
2013,kikattaa,смеяться,verbs,4.65
2014,viski,джин,nouns,1.85
2015,korkeakoulu,профессия,nouns,0.55
2016,ihmiset,шар,nouns,0.0
2017,hunaja,сахар,nouns,1.5
2018,todellisuus,иллюзия,nouns,0.5
2019,muistutus,разница,nouns,1.05
2020,napsahtaa,хрустеть,verbs,1.55
2021,kävellä,хромать,verbs,1.55
2022,laillinen,безопасный,adjectives,1.25
2023,istuin,наклон,nouns,0.0
2024,kysyä,игнорировать,verbs,0.0
2025,vakava,смешной,adjectives,0.3
2026,korruptio,мошенничество,nouns,2.9
2027,jousiampuja,следопыт,nouns,0.4
2028,keittiö,дверь,nouns,0.55
2029,mahtava,плохой,adjectives,0.05
2030,tarjous,пенни,nouns,0.2
2031,basilikakirkko,мозаика,nouns,0.4
2032,onnettomuus,книга,nouns,0.0
2033,ilma,гелий,nouns,1.25
2034,ohjelma,идея,nouns,1.1
2035,rakennus,комната,nouns,1.05
2036,epätodennäköisesti,дружелюбно,adverbs,0.0
2037,auto,мост,nouns,0.35
2038,isä,мать,nouns,1.35
2039,näyttelijä,телевидение,nouns,0.8
2040,opiskelija,учитель,nouns,1.0
2041,atomi,молекула,nouns,1.7
2042,ilma,молекула,nouns,0.75
2043,rauhallinen,нейтральный,adjectives,1.45
2044,luku,число,nouns,4.85
2045,kaupunki,город,nouns,3.55
2046,kirkkaasti,слегка,adverbs,0.6
2047,likainen,удивительный,adjectives,0.0
2048,unohtaa,прощать,verbs,1.05
2049,surullisesti,безумно,adverbs,0.3
2050,taivas,вселенная,nouns,1.05
2051,lentokone,вертолет,nouns,1.7
2052,säännöllisesti,иногда,adverbs,0.25
2053,evätä,принимать,verbs,0.2
2054,rehellisesti,лояльно,adverbs,0.7
2055,kattila,прибор,nouns,0.35
2056,sanakirja,слово,nouns,1.05
2057,nainen,жена,nouns,2.4
2058,silta,карта,nouns,0.5
2059,tytär,младенец,nouns,1.75
2060,suu,зуб,nouns,1.35
2061,torjua,избегать,verbs,1.75
2062,likainen,узкий,adjectives,0.0
2063,niukasti,полностью,adverbs,0.15
2064,läsnäolo,отсутствие,nouns,0.45
2065,tylsä,острый,adjectives,0.25
2066,selventää,объяснять,verbs,3.65
2067,happo,основание,nouns,0.05
2068,muistuttaa,забывать,verbs,0.2
2069,simulaatio,робототехника,nouns,0.8
2070,arvioida,изучать,verbs,1.55
2071,jakaa,объединять,verbs,0.35
2072,makuuhuone,желудок,nouns,0.0
2073,peli,веселье,nouns,1.1
2074,lainata,держать,verbs,0.3
2075,tieteilijä,медбрат,nouns,0.25
2076,mausteinen,слабый,adjectives,0.0
2077,lannistaa,огорчать,verbs,0.3
2078,ylpeä,бедный,adjectives,0.05
2079,tuoli,диван,nouns,1.65
2080,nopeus,пост,nouns,0.0
2081,tuuli,шквал,nouns,4.2
2082,uutiset,сплетня,nouns,1.7
2083,ottaa osaa,высказываться,verbs,0.55
2084,naistenmies,парень,nouns,1.0
