ID,EST,FIN,PoS,score
1368,häbi,murhe,nouns,1.3
1369,jagama,lisätä,verbs,0.6
1370,lihas,käsivarsi,nouns,1.3
1371,soo,järvi,nouns,1.2
1372,tolm,luuta,nouns,0.9
1373,tila,neste,nouns,0.65
1374,vaikselt,passiivisesti,adverbs,1.1
1375,takso,linja-auto,nouns,1.65
1376,taevas,aurinko,nouns,1.25
1377,vahetus,valuutta,nouns,0.75
1378,jalgpall,hauskanpito,nouns,0.55
1379,abiline,opettaja,nouns,2.0
1380,vältima,torjua,verbs,2.1
1381,loll,älykäs,adjectives,0.55
1382,puuvill,villapaita,nouns,1.05
1383,rahutu,pelokas,adjectives,2.65
1384,lubama,vannoa,verbs,4.05
1385,tee,moottoritie,nouns,4.2
1386,riided,takki,nouns,2.15
1387,lahkuma,vetäytyä,verbs,2.7
1388,tõsiselt,merkittävästi,adverbs,1.5
1389,advokaat,galleria,nouns,0.0
1390,keeglimängija,keilaaminen,nouns,1.65
1391,vähendama,rajoittaa,verbs,3.6
1392,ilmselgelt,varmasti,adverbs,3.4
1393,kogunemine,kokous,nouns,3.95
1394,sihtmärk,nuoli,nouns,0.45
1395,rändama,vaeltaa,verbs,3.15
1396,vallutus,virsi,nouns,0.15
1397,toit,ohjelma,nouns,0.15
1398,satiir,myytti,nouns,0.75
1399,pakt,kunto,nouns,0.1
1400,ebaloomulikult,negatiivisesti,adverbs,0.65
1401,nädal,viikonloppu,nouns,1.5
1402,telefon,matkapuhelin,nouns,4.35
1403,kokku hoidma,kuluttaa,verbs,0.65
1404,tsitrus,appelsiini,nouns,3.7
1405,tüdruk,lapsi,nouns,2.15
1406,avalik,julkistamaton,adjectives,0.45
1407,kohalolek,voittaja,nouns,0.35
1408,piiskop,arkkipiispa,nouns,3.75
1409,sümbol,koodi,nouns,2.2
1410,tavaliselt,harvoin,adverbs,0.5
1411,tsink,kulta,nouns,1.35
1412,põhiseadus,senaatti,nouns,0.8
1413,sportlane,juoksija,nouns,2.8
1414,kurvalt,mielettömästi,adverbs,0.45
1415,aken,nilkka,nouns,0.0
1416,ronima,patikoida,verbs,1.75
1417,šokolaad,piirakka,nouns,0.7
1418,mõtlema,päättää,verbs,2.15
1419,lamp,henkiolento,nouns,0.5
1420,järsk,hyytävä,adjectives,1.1
1421,mask,juhla,nouns,0.6
1422,surema,haudata,verbs,1.0
1423,helikopter,lentokone,nouns,1.95
1424,moodus,muoti,nouns,0.5
1425,tark,tyhmä,adjectives,0.55
1426,isa,veli,nouns,1.5
1427,mehed,veljeskunta,nouns,1.3
1428,leotama,supistaa,verbs,0.25
1429,kanjon,laakso,nouns,3.95
1430,õpetaja,opiskelija,nouns,1.2
1431,hommikusöök,pekoni,nouns,0.95
1432,ühendama,sitoa,verbs,3.1
1433,ärritunud,häpeissään oleva,adjectives,0.4
1434,osariik,koti,nouns,0.35
1435,mugavalt,helposti,adverbs,1.5
1436,heegeldus,virkapuku,nouns,0.2
1437,džinn,alkoholi,nouns,2.5
1438,tagasihoidlik,puhdashenkinen,adjectives,0.85
1439,imik,aikuinen,nouns,0.85
1440,veri,vartalo,nouns,1.1
1441,hüppamine,aita,nouns,0.55
1442,raskus,ponnistus,nouns,2.15
1443,miljardär,koditon,nouns,0.55
1444,sisenema,olla velkaa,verbs,0.05
1445,raha,kuukausipalkka,nouns,2.75
1446,hävitama,biohajota,verbs,1.4
1447,kirikutorn,kappeli,nouns,1.65
1448,biheiviorism,terapia,nouns,0.85
1449,kasutamata,uusi,adjectives,4.55
1450,allkirjastama,kellua,verbs,0.0
1451,alati,kahdesti,adverbs,0.4
1452,advokaat,pankkiiri,nouns,1.15
1453,auto,tankki,nouns,0.95
1454,depressioon,laakso,nouns,0.3
1455,katedraal,sisäkatto,nouns,0.55
1456,vaher,tammi,nouns,1.6
1457,teostatav,mahdoton,adjectives,0.5
1458,küpselt,fiksusti,adverbs,3.3
1459,maks,keuhko,nouns,1.35
1460,puhtalt,täysin,adverbs,2.5
1461,mood,tyyli,nouns,3.9
1462,vastupidavus,vahvuus,nouns,3.35
1463,refrään,laulaja,nouns,1.65
1464,viski,gini,nouns,1.7
1465,heameelt tegema,vedota,verbs,0.35
1466,tegema,tulla,verbs,0.75
1467,looma,sukeltaa,verbs,0.15
1468,siiralt,rehellisesti,adverbs,4.95
1469,assisteerima,tukea,verbs,4.45
1470,ortodont,tohtori,nouns,2.7
1471,veri,liha,nouns,0.95
1472,tundma,uskoa,verbs,1.45
1473,vähendama,madaltaa,verbs,2.2
1474,hiljem,ei koskaan,adverbs,0.65
1475,võileib,liha,nouns,0.95
1476,strateeg,juonittelija,nouns,2.85
1477,teooria,hypoteesi,nouns,3.5
1478,juust,leipä,nouns,1.3
1479,puitmaterjal,tukki,nouns,3.15
1480,kohtunik,tuomioistuin,nouns,1.45
1481,pudel,tölkki,nouns,1.55
1482,tuntud,suosittu,adjectives,3.25
1483,sümbol,merkki,nouns,5.05
1484,ruut,kartta,nouns,0.25
1485,suurus,temppu,nouns,0.05
1486,võitja,läsnäolo,nouns,0.35
1487,rahulikult,hienovaraisesti,adverbs,1.55
1488,loom,henkilö,nouns,0.95
1489,klaas,kristalli,nouns,2.5
1490,aluspesu,vartalo,nouns,0.55
1491,illusioon,todellisuus,nouns,0.7
1492,tehing,penni,nouns,0.15
1493,struktuur,topologia,nouns,2.0
1494,pilv,utu,nouns,2.6
1495,kaduma,kadota,verbs,5.2
1496,ignorantne,säännöllinen,adjectives,0.2
1497,klass,koulu,nouns,1.2
1498,kana,riisi,nouns,0.7
1499,tuli,shakki,nouns,0.75
1500,võõrastemaja,motelli,nouns,4.0
1501,mobiiltelefon,puhelin,nouns,4.35
1502,katedraal,kirkko,nouns,4.15
1503,süüdistama,tuomita,verbs,3.15
1504,auto,silta,nouns,0.45
1505,komm,kaneli,nouns,0.6
1506,ostma,maksaa,verbs,2.6
1507,ülesanne,työ,nouns,3.55
1508,molekul,atomi,nouns,1.95
1509,järv,suo,nouns,1.2
1510,laenama,antaa,verbs,2.3
1511,laviin,lumi,nouns,1.65
1512,lagunema,kuolla,verbs,1.5
1513,koer,kissa,nouns,1.4
1514,regulaarselt,satunnaisesti,adverbs,0.95
1515,amorfne,muodoton,adjectives,3.75
1516,meri,suisto,nouns,1.2
1517,ehitamine,tuho,nouns,0.65
1518,rannik,ranta,nouns,nan
1519,saama,näyttää,verbs,0.45
1520,suvi,talvi,nouns,1.1
1521,džinn,viski,nouns,1.7
1522,paratsetamol,keuhkoputkentulendus,nouns,0.6
1523,vangla,valinta,nouns,0.2
1524,looja,tekijä,nouns,4.55
1525,kerge,joustava,adjectives,1.1
1526,sild,kortti,nouns,0.15
1527,tegema,tuhota,verbs,0.6
1528,kogunema,tavata,verbs,3.0
1529,valjult,hienovaraisesti,adverbs,0.05
1530,pea,nenä,nouns,1.05
1531,alkohol,viini,nouns,2.55
1532,raamat,aihe,nouns,0.75
1533,täielikult,niukasti,adverbs,0.7
1534,pank,istuin,nouns,0.2
1535,koridor,eteishalli,nouns,3.95
1536,võtma,toimittaa,verbs,0.5
1537,raputama,hämmentää,verbs,2.05
1538,kohut mõistma,päättää,verbs,2.1
1539,ebaaus,julma,adjectives,1.95
1540,saama,ottaa,verbs,2.4
1541,pidustus,seremonia,nouns,3.9
1542,hoomama,lukea,verbs,1.0
1543,pankrot,epäonnistuminen,nouns,1.75
1544,patune,pyhimys,nouns,0.6
1545,kaklema,tappaa,verbs,1.25
1546,põhi,huippu,nouns,0.65
1547,kauss,lautanen,nouns,2.4
1548,paindlik,vaatimaton,adjectives,0.6
1549,kasv,lannoite,nouns,1.1
1550,tapma,taistella,verbs,1.25
1551,päästma,suojella,verbs,1.85
1552,keel,viestintä,nouns,1.9
1553,auto,tehdas,nouns,0.35
1554,nutma,nauraa,verbs,0.75
1555,jäik,karkea,adjectives,1.1
1556,krediit,lainaaja,nouns,1.2
1557,muutma,vaihtaa,verbs,3.2
1558,vihm,tihkusade,nouns,4.05
1559,leidma,hävitä ,verbs,0.5
1560,tihedalt,uskomattomasti,adverbs,0.3
1561,lubama,jäytää,verbs,0.1
1562,surm,tragedia,nouns,1.55
1563,käsikiri,artikkeli,nouns,1.55
1564,magma,tulivuori,nouns,1.5
1565,suund,vatsa,nouns,0.05
1566,münt,korvaus,nouns,1.0
1567,aed,raide,nouns,0.2
1568,süsteem,vika,nouns,0.4
1569,vaidlema,järkeistää,verbs,0.7
1570,trumm,sarvi,nouns,0.6
1571,andma,olla tunnustamatta,verbs,0.15
1572,põhi,länsi,nouns,1.05
1573,sisenema,mennä,verbs,1.1
1574,viha,turhautuminen,nouns,2.25
1575,ideaalselt,realistisesti,adverbs,0.65
1576,põiktänav,katu,nouns,4.05
1577,tellimus,ruokalista,nouns,0.65
1578,matmine,kuolema,nouns,1.45
1579,jumal,henki,nouns,1.5
1580,raevukas,epäröivä,adjectives,0.55
1581,poster,paperi,nouns,2.05
1582,poiss,sotilas,nouns,1.0
1583,tooma,valittaa,verbs,0.05
1584,panustama,pelata uhkapeliä,verbs,2.85
1585,tase,tulokset,nouns,1.4
1586,maasikas,kirsikka,nouns,1.35
1587,laenama,myydä,verbs,0.45
1588,äri tegema,myydä,verbs,3.4
1589,naerma,kikattaa,verbs,4.4
1590,lagi,kadetraali,nouns,0.55
1591,nakkus,taivutus,nouns,0.0
1592,vöö,silmukka,nouns,0.65
1593,tehas,auto,nouns,0.35
1594,kodutöö,essee,nouns,1.95
1595,hammas,suu,nouns,1.45
1596,riis,kana,nouns,0.7
1597,suurepärane,hirveä,adjectives,0.45
1598,relv,kersantti,nouns,0.6
1599,kahur,ase,nouns,2.75
1600,erinema,myöntyä,verbs,0.2
1601,omandama,löytää,verbs,1.3
1602,palee,pilvenpiirtäjä,nouns,1.25
1603,palk,puutavara,nouns,3.15
1604,tugevus,valmiudet,nouns,2.55
1605,muusika,huilu,nouns,1.1
1606,laadima,halveksia,verbs,0.0
1607,keha,käsivarsi,nouns,1.15
1608,arst,tohtori,nouns,5.05
1609,paber,juliste,nouns,2.05
1610,kõri,kieli,nouns,1.4
1611,samasugune,samankaltainen,adjectives,4.05
1612,eine,illallinen,nouns,3.4
1613,veok,auto,nouns,3.15
1614,läbikukkumine,konkurssi,nouns,1.75
1615,biograafia,fiktio,nouns,1.25
1616,ajakirjanik,runoilija,nouns,1.15
1617,sinine,punainen,adjectives,0.85
1618,tuba,sänky,nouns,0.8
1619,lahustama,sekoittaa,verbs,0.9
1620,klaviatuur,valo,nouns,0.1
1621,kuul,tykki,nouns,0.7
1622,saavutama,niittää,verbs,0.6
1623,ala,vyöhyke,nouns,4.55
1624,senat,perustuslaki,nouns,0.8
1625,vihane,väkivaltainen,adjectives,2.15
1626,intelligentsus,viisaus,nouns,4.25
1627,mehaaniliselt,ihanteellisesti,adverbs,0.2
1628,võti,lukko,nouns,1.2
1629,õli,minkki,nouns,0.3
1630,emaplaat,päälevy,nouns,3.75
1631,pidu,ihmiset,nouns,0.75
1632,semu,kumppani,nouns,3.85
1633,ilmselgelt,paikallisesti,adverbs,0.05
1634,metall,alumiini,nouns,2.85
1635,tass,lusikka,nouns,1.2
1636,valge,kapea,adjectives,0.1
1637,talv,kausi,nouns,2.2
1638,üritama,aikoa,verbs,2.4
1639,heameelt tegema,tyydyttää,verbs,2.85
1640,kätte toimetama,hyväksyä,verbs,0.3
1641,tekk,puumateriaali,nouns,0.05
1642,entroopia,tieto,nouns,0.85
1643,raske,iso,adjectives,1.65
1644,kirjanik,lahja,nouns,0.3
1645,selgitama,selittää,verbs,4.35
1646,tuju,tohtori,nouns,0.1
1647,ohutus,mukavuus,nouns,1.15
1648,osalema,kokoontua,verbs,1.8
1649,sotsiobioloogia,mutantti,nouns,0.35
1650,kohut mõistma,moittia,verbs,3.15
1651,magamistuba,vatsa,nouns,0.1
1652,ebaküps,vastuuton,adjectives,2.45
1653,šovinist,ennakkoluulo,nouns,1.05
1654,vargus,rikos,nouns,3.25
1655,alkohol,cocktail,nouns,2.15
1656,seeme,mylly,nouns,0.7
1657,radar,sauvaohjain,nouns,0.4
1658,riputama,laittaa,verbs,0.85
1659,peatama,odottaa,verbs,1.55
1660,ajurünnak,teleskooppi,nouns,0.0
1661,pädevus,kyky,nouns,4.1
1662,kokkulangevus,valuutta,nouns,0.05
1663,toll,metri,nouns,1.7
1664,küttekeha,sateenvarjo,nouns,0.1
1665,naksama,rouskua,verbs,1.25
1666,näpistama,lävistää,verbs,1.25
1667,surema,hajota,verbs,1.5
1668,enamasti,syvästi,adverbs,0.65
1669,maatriks,molekyyli,nouns,0.35
1670,tants,mekko,nouns,0.55
1671,kirjanik,romaani,nouns,1.0
1672,rebane,ajokoira,nouns,1.25
1673,muu,vastapäinen,adjectives,0.4
1674,imenduma,oppia,verbs,1.5
1675,uks,portti,nouns,3.3
1676,ilm,aalto,nouns,0.3
1677,kutt,naistenmies,nouns,1.3
1678,vektor,matriisi,nouns,1.3
1679,püha,kallisarvoinen,adjectives,2.55
1680,vanduma,luvata,verbs,4.05
1681,etendus,matemaatikko,nouns,0.05
1682,margniaalselt,täysin,adverbs,0.7
1683,juur,ruoho,nouns,1.05
1684,omandama,saada,verbs,3.1
1685,loogika,älykkyys,nouns,2.5
1686,kõver,aggressiivinen,adjectives,0.25
1687,raamat,käsikirjoitus,nouns,2.35
1688,õun,ruokavalio,nouns,0.65
1689,ülestunnistus,kieltäminen,nouns,0.65
1690,rääkima,kuulla,verbs,0.65
1691,sülearvuti,muistikirja,nouns,0.7
1692,kari,lehmä,nouns,2.25
1693,tõesti,merkittävästi,adverbs,1.75
1694,saama,antaa,verbs,0.65
1695,pärinema,aloittaa,verbs,1.1
1696,näitleja,televisio,nouns,0.9
1697,petma,pettää,verbs,4.75
1698,katma,salata,verbs,2.9
1699,lumetorm,sade,nouns,1.7
1700,nuga,ase,nouns,2.7
1701,teenijanna,auttaja,nouns,2.25
1702,klass,kaaos,nouns,0.15
1703,printima,sivuuttaa,verbs,0.0
1704,stsenarist,televisio,nouns,0.85
1705,ema,vaimo,nouns,2.0
1706,raha,timantti,nouns,0.8
1707,aritmeetika,rytmi,nouns,0.75
1708,kalkun,lintu,nouns,2.55
1709,korrapärane,sotkuinen,adjectives,0.4
1710,pall,sfääri,nouns,1.6
1711,poiss,lapsi,nouns,2.3
1712,luu,käsivarsi,nouns,1.35
1713,paluma,vedota,verbs,3.6
1714,saama,menestyä,verbs,0.7
1715,sein,tiili,nouns,1.0
1716,kino,ooppera,nouns,1.25
1717,õnnetus,kirja,nouns,0.05
1718,lill,kestävyys,nouns,0.15
1719,leib,jauho,nouns,1.3
1720,helde,ystävällinen,adjectives,2.2
1721,äsja,realistisesti,adverbs,0.15
1722,meel,aivot,nouns,1.6
1723,taganema,laskeutua,verbs,1.05
1724,mees,soturi,nouns,1.55
1725,nurjuma,lannistaa,verbs,1.15
1726,tuba,kylpy,nouns,0.4
1727,võtma,varastaa,verbs,1.95
1728,kaine,humalainen,adjectives,0.5
1729,räpane,tahmea,adjectives,2.4
1730,peatuma,hallita,verbs,0.5
1731,avatult,massiivisesti,adverbs,0.2
1732,ühendama,liueta,verbs,0.9
1733,valetama,moittia,verbs,0.3
1734,tekk,sänky,nouns,0.9
1735,lõik,kirje,nouns,0.4
1736,haru,käsivarsi,nouns,0.4
1737,saama,kadottaa,verbs,0.15
1738,otsustama,valita,verbs,3.15
1739,ümbrik,koriste,nouns,0.3
1740,hoone,huone,nouns,1.5
1741,peen,kypsä,adjectives,1.2
1742,käepide,valkuaisaine,nouns,0.0
1743,reis,matka,nouns,4.65
1744,osuti,dia,nouns,0.05
1745,relv,veitsi,nouns,2.7
1746,edu saavutama,yrittää,verbs,1.15
1747,kaks korda,moninkertainen,adverbs,1.6
1748,putukas,mehiläinen,nouns,2.85
1749,tool,jakkara,nouns,4.15
1750,arvamus,idea,nouns,2.3
1751,eeldama,ennustaa,verbs,2.3
1752,keha,alusvaatteet,nouns,0.55
1753,kindlalt,selvästi,adverbs,3.05
1754,võlgnema,käydä sisään,verbs,0.05
1755,võimekus,pätevyys,nouns,4.3
1756,laenama,haluta,verbs,0.7
1757,sent,koko,nouns,1.0
1758,lahendama,suorittaa loppuun,verbs,2.85
1759,halvenema,pyyhkiä,verbs,0.1
1760,lambatall,lammas,nouns,4.15
1761,antropoloogia,arkeologia,nouns,1.45
1762,jurist,lakimies,nouns,4.45
1763,torm,hurrikaani,nouns,3.6
1764,eine,päivällinen,nouns,3.2
1765,kodu,osavaltio,nouns,0.35
1766,müüma,mennä,verbs,0.25
1767,ulatus,syvyys,nouns,2.2
1768,uhke,köyhä,adjectives,0.3
1769,abielluma,kihlautua,verbs,1.75
1770,informatsioon,entropia,nouns,0.85
1771,vali,töykeä,adjectives,1.15
1772,advokaat,syyttäjä,nouns,2.35
1773,nõrk,voimallinen,adjectives,0.3
1774,võitma,lyödä,verbs,1.9
1775,rakendus,galaksi,nouns,0.1
1776,erinema,kiistellä,verbs,0.7
1777,odav,likainen,adjectives,0.75
1778,rebima,pitää päällä,verbs,0.1
1779,lööma,nipistää,verbs,1.25
1780,ala,nurkka,nouns,0.75
1781,romaan,kirjailija,nouns,1.0
1782,müüma,käydä kauppaa,verbs,3.4
1783,suurepärane,loistava,adjectives,4.5
1784,salat,ruokavalio,nouns,1.0
1785,peatuma,viheltää,verbs,0.2
1786,kaaspiloot,ohjaamo,nouns,0.8
1787,hiir,säilytysastia,nouns,0.2
1788,küsima,auttaa,verbs,0.65
1789,õpilane,presidentti,nouns,0.4
1790,metsamajake,maja,nouns,3.85
1791,liha,naudanliha,nouns,3.2
1792,kirik,kuoro,nouns,1.1
1793,odav,huokea,adjectives,5.0
1794,vein,alkoholi,nouns,2.55
1795,aus,syyllinen,adjectives,0.45
1796,kleepuv,märkä,adjectives,1.4
1797,vaatenurk,etäisyys,nouns,0.4
1798,väsinud,nälkäinen,adjectives,0.6
1799,skulptor,kartano,nouns,0.15
1800,uba,riisi,nouns,1.2
1801,meri,tsunami,nouns,1.2
1802,kokkulepe,kiista,nouns,0.7
1803,punane,sininen,adjectives,0.85
1804,käsi,vartalo,nouns,1.15
1805,mitte nõustuma,myöntyä,verbs,0.45
1806,mood,tila,nouns,0.5
1807,kokku hoidma,kerätä,verbs,2.7
1808,raiskama,murehtia,verbs,0.2
1809,mõis,kuvanveistäjä,nouns,0.15
1810,kuritegu,varkaus,nouns,3.25
1811,tark,älykäs,adjectives,5.3
1812,nööp,vaatteet,nouns,1.1
1813,vend,poika,nouns,2.15
1814,teema,tarina,nouns,1.5
1815,neer,elin,nouns,2.3
1816,aru saama,sisäistää,verbs,5.0
1817,kaootiliselt,rauhallisesti,adverbs,0.45
1818,peatuma,varoittaa,verbs,0.25
1819,looja,valmistaja,nouns,3.75
1820,fakt,todiste,nouns,3.05
1821,puu,vaahtera,nouns,2.9
1822,hematoloogia,patologia,nouns,1.55
1823,legaalne,sallittu,adjectives,4.45
1824,vastupidavus,kukka,nouns,0.15
1825,keelama,pysähtyä,verbs,0.4
1826,haamer,hampaat,nouns,0.1
1827,usaldusväärselt,passiivisesti,adverbs,0.25
1828,kümnend,aikakausi,nouns,2.15
1829,masin,moottori,nouns,2.7
1830,võitma,onnistua,verbs,3.75
1831,lõpetama,aloittaa,verbs,0.5
1832,andma,pitää,verbs,0.45
1833,anuma,miellyttää,verbs,0.35
1834,religioon,sekularisti,nouns,1.15
1835,reaalsus,illuusio,nouns,0.7
1836,sviiter,puuvilla,nouns,1.05
1837,õlg,käsivarsi,nouns,1.55
1838,telliskivi,seinä,nouns,1.0
1839,kriket,tukija,nouns,0.0
1840,hirmus,paha,adjectives,2.8
1841,raamat,kirjallisuus,nouns,2.4
1842,mitte kunagi,negatiivinen,adjectives,0.9
1843,nüri,jännittävä,adjectives,0.25
1844,lühike,pitkä,adjectives,0.45
1845,põrand,sisäkatto,nouns,1.25
1846,kohalolek,ovi,nouns,0.2
1847,hammustama,lukea,verbs,0.1
1848,loll,typerä,adjectives,5.1
1849,karp,laitteisto,nouns,0.2
1850,suurepärane,paha,adjectives,0.2
1851,segama,ravistaa,verbs,2.05
1852,põgenema,löytää,verbs,0.4
1853,forell,kitara,nouns,0.0
1854,vesi,kuivuus,nouns,0.45
1855,kurat,jumala,nouns,1.25
1856,võti,talo,nouns,0.7
1857,vajalik,tarpeeton,adjectives,0.45
1858,klaver,harmonia,nouns,0.95
1859,legend,moraali,nouns,0.35
1860,rahvuslik,iso,adjectives,0.55
1861,umbes,helposti,adverbs,0.6
1862,eitama,antaa,verbs,0.15
1863,sõna,sivu,nouns,0.5
1864,valima,nimittää,verbs,2.7
1865,vann,tukki,nouns,0.0
1866,õlu,alkoholi,nouns,2.75
1867,keetma,paistaa,verbs,1.5
1868,hing,jumala,nouns,1.5
1869,silm,kyynel,nouns,1.15
1870,looma,rakentaa,verbs,3.5
1871,kuulama,ymmärtää,verbs,1.45
1872,andma,kiistää,verbs,0.15
1873,vitamiin,rauta,nouns,0.85
1874,sfäär,pallo,nouns,1.6
1875,tramm,juna,nouns,2.15
1876,võmm,sheriffi,nouns,3.5
1877,varras,verho,nouns,0.15
1878,lai,kapea,adjectives,0.45
1879,penn,tarjous,nouns,0.15
1880,õhtusöök,ateria,nouns,3.2
1881,aatom,molekyyli,nouns,1.95
1882,puhkus,kalenteri,nouns,0.95
1883,segatud,yhdistetty,adjectives,3.05
1884,meloodia,musiikki,nouns,2.7
1885,pahkluu,kyynärpää,nouns,1.3
1886,jõgi,laakso,nouns,1.0
1887,maksma,ostaa,verbs,2.6
1888,suur,valtava,adjectives,4.35
1889,abikaasa (naine),reikä,nouns,0.05
1890,kontor,työläinen,nouns,0.7
1891,silp,lemma,nouns,1.05
1892,teesklema,kuvata,verbs,0.7
1893,õigus,oikeudenmukaisuus,nouns,3.45
1894,jakk,vaatteet,nouns,1.75
1895,lugeja,tekijä,nouns,1.05
1896,kallistama,puristaa,verbs,1.45
1897,vaidlus,sopimus,nouns,0.7
1898,hümn,valloitus,nouns,0.15
1899,viies,huippu,adjectives,0.4
1900,jäse,jalka,nouns,3.05
1901,aitama,suojella,verbs,1.85
1902,tee,sitruuna,nouns,0.55
1903,vägivaldne,vihainen,adjectives,2.15
1904,juhtkond,hallinto,nouns,3.7
1905,akustika,ääni,nouns,2.55
1906,poleerima,tiedottaa,verbs,0.0
1907,ettevaatlikult,huolellisesti,adverbs,3.9
1908,poliitik,poliisi,nouns,0.6
1909,ebaviisakas,äänekäs,adjectives,1.15
1910,avalikustamata,peittelemätön,adjectives,0.45
1911,maantee,auto ,nouns,0.85
1912,kitsas,leveä,adjectives,0.45
1913,omama,imeä itseensä,verbs,0.55
1914,saavutama,yrittää,verbs,1.1
1915,peekon,papu,nouns,0.45
1916,rahvas,ilmapallo,nouns,0.1
1917,iil,peitto,nouns,0.25
1918,nädalavahetus,rotu,nouns,0.0
1919,vihm,lumimyrsky,nouns,1.7
1920,kartul,voi,nouns,0.9
1921,orkester,bändi,nouns,4.0
1922,hobune,tamma,nouns,3.25
1923,kaunistus,kirjekuori,nouns,0.3
1924,kristall,lasi,nouns,2.5
1925,professor,opiskelija,nouns,1.0
1926,lehekülg,kohta,nouns,1.05
1927,patrull,armeija,nouns,0.95
1928,pöörane,onneton,adjectives,0.55
1929,raamat,essee,nouns,1.7
1930,surm,katastrofi,nouns,1.3
1931,hiilgav,mahtava,adjectives,4.5
1932,hobune,härkä,nouns,1.5
1933,kergelt,kovakouraisesti,adverbs,0.6
1934,iiris,asetyylikoliini,nouns,0.5
1935,vaidlus,keskustelu,nouns,2.3
1936,abiline,palvelustyttö,nouns,2.25
1937,osalema,ilmestyä,verbs,0.8
1938,suur,laaja,adjectives,4.25
1939,püüdma,sulkea,verbs,0.0
1940,teenima,valmistaa,verbs,0.45
1941,kaduma,kutistua,verbs,1.65
1942,puhas,tahraton,adjectives,4.85
1943,katteta,peitetty,adjectives,0.45
1944,avastama,tajuta,verbs,3.45
1945,abielluma,yhdistää,verbs,1.4
1946,pudel,säilytysastia,nouns,1.85
1947,luu,hampaat,nouns,2.05
1948,peatükk,jakso,nouns,3.55
1949,auk,sopimus,nouns,0.05
1950,säästja,säästö,nouns,1.6
1951,sajand,vuosi,nouns,1.75
1952,loomulikult,hiljaisesti,adverbs,0.6
1953,märk,symboli,nouns,5.05
1954,usaldusväärselt,vastuullisesti,adverbs,3.7
1955,polüester,puuvilla,nouns,1.2
1956,kogunema,osallistua,verbs,1.8
1957,varvas,sormi,nouns,1.6
1958,prognoosima,määrittää,verbs,1.25
1959,jälitama,saada kiinni,verbs,1.7
1960,võtma,jättää,verbs,0.8
1961,graafik,kaavio,nouns,3.45
1962,karastusjook,olut,nouns,2.2
1963,laskuma,pienentää,verbs,0.7
1964,seaduserikkuja,rikollinen,nouns,5.05
1965,kapp,vaatteet,nouns,0.65
1966,kahanema,hävitä,verbs,1.65
1967,teras,metalliseos,nouns,3.35
1968,ellu jääma,elää,verbs,2.35
1969,taim,maatalous,nouns,1.2
1970,tähelepanuta jätma,olla tunnustamatta,verbs,1.15
1971,viga,järjestelmä,nouns,0.4
1972,viski,shamppanja,nouns,1.4
1973,maks,tulo,nouns,0.75
1974,kaamera,presidentti,nouns,0.2
1975,rahumeelselt,kaoottisesti,adverbs,0.45
1976,hirmunud,hermostunut,adjectives,2.05
1977,stiil,muoti,nouns,3.9
1978,kohus,tuomari,nouns,1.45
1979,prognoos,pilvinen sää,nouns,0.85
1980,valetama,teeskennellä,verbs,2.85
1981,kirjandus,kirja,nouns,2.4
1982,auto,mittari,nouns,0.8
1983,klubi,merkki,nouns,0.4
1984,otsustama,tuomita,verbs,2.1
1985,õnnelik,iloinen,adjectives,3.85
1986,luu,leuka,nouns,1.2
1987,paindlik,suuri,adjectives,0.4
1988,ühing,liiketoiminta,nouns,1.9
1989,vähenema,laskeutua,verbs,0.7
1990,krokodill,lisko,nouns,2.85
1991,lõpetama,ratkaista,verbs,2.85
1992,meri,joki,nouns,1.5
1993,aasta,vuosisata,nouns,1.75
1994,kuulama,kuulla,verbs,3.0
1995,kokkulepe,reikä,nouns,0.05
1996,fotofon,homofoni,nouns,0.1
1997,televisioon,käsikirjoittaja,nouns,0.85
1998,sõitma,siirrellä,verbs,0.55
1999,lehekülg,sana,nouns,0.5
2000,mitte kunagi,myöhemmin,adverbs,0.65
2001,muda,lika,nouns,2.4
2002,peapiiskop,piispa,nouns,3.75
2003,hambaarst,ortodontti,nouns,4.2
2004,galerii,lakimies,nouns,0.0
2005,lugu,kirja,nouns,1.8
2006,hertsog,tasavalta,nouns,0.55
2007,mäng,hauskuus,nouns,1.45
2008,piparmünt,purukumi,nouns,0.85
2009,neuropsühholoogia,parapsykologia,nouns,1.55
2010,põiktänav,kulho,nouns,0.0
2011,vihkama,kritisoida,verbs,1.1
2012,öö,päivä,nouns,1.15
2013,ümber lükkama,sallia,verbs,0.25
2014,kaetud,peittämätön,adjectives,0.45
2015,õppekava,koe,nouns,0.9
2016,lill,orvokki,nouns,2.5
2017,valima,haluta,verbs,1.0
2018,poeg,isä,nouns,1.6
2019,masin,tietokone,nouns,2.6
2020,kandma,repiä,verbs,0.1
2021,traditsioon,käsityö,nouns,0.9
2022,jalg,pää,nouns,1.05
2023,voolik,puutarha,nouns,0.7
2024,konseptsioon,uskomus,nouns,1.5
2025,abieluväline,mainitsematon,adjectives,0.55
2026,naps,viini,nouns,2.35
2027,avalik,yksityinen,adjectives,0.8
2028,jooma,siemailla,verbs,4.3
2029,essee,kirja,nouns,1.7
2030,rohumaa,niitty,nouns,4.2
2031,sõnaraamat,tietosanakirja,nouns,2.65
2032,üks kord,kahdesti,adverbs,0.95
2033,idee,kuva,nouns,0.85
2034,umbes,kärsimättömästi,adverbs,0.55
