ID,FIN,FRA,PoS,score
1410,moittia,reprocher,verbs,4.4
1411,pari,couple,nouns,5.35
1412,teräs,alliage,nouns,3.45
1413,ei koskaan,rarement,adverbs,3.45
1414,välttää,rejeter,verbs,2.25
1415,paketti,camion,nouns,0.15
1416,älykkyys,sagesse,nouns,4.0
1417,rehellisesti,sincèrement,adverbs,5.45
1418,jakso,chapitre,nouns,3.65
1419,luu,mâchoire,nouns,2.05
1420,raamattu,hymne,nouns,0.8
1421,tähdätä,frapper,verbs,2.15
1422,huonekalut,lit,nouns,2.6
1423,sauvaohjain,radar,nouns,0.3
1424,sivuuttaa,demander,verbs,0.55
1425,epänormaalisti,normalement,adverbs,0.95
1426,ymmärtää,écouter,verbs,2.15
1427,hohtaa,luire,verbs,5.3
1428,sallia,aller,verbs,0.45
1429,oppia,confondre,verbs,0.5
1430,vene,moteur,nouns,1.25
1431,neuletakki,chemise,nouns,2.35
1432,tulivuori,magma,nouns,1.85
1433,taistelu,conquête,nouns,2.75
1434,syyllinen,honnête,adjectives,0.65
1435,velho,câble,nouns,0.0
1436,päättää,représenter,verbs,0.95
1437,kirjallisuus,livre,nouns,2.8
1438,kukka,croyance,nouns,0.0
1439,alkaa,commencer,verbs,5.75
1440,käsikirjoitus,article,nouns,2.1
1441,henkilö,personnage,nouns,4.2
1442,pekoni,petit déjeuner,nouns,1.35
1443,viini,liqueur,nouns,2.7
1444,erottaa,attacher,verbs,0.95
1445,ohjaamo,copilote,nouns,1.15
1446,ruoho,lame,nouns,0.1
1447,viestintä,conversation,nouns,3.75
1448,suu,dent,nouns,2.4
1449,hiiri,réceptacle,nouns,0.05
1450,sitruuna,pomme,nouns,2.05
1451,tyhmä,dense,adjectives,0.05
1452,kattila,dispositif,nouns,0.15
1453,kiistellä,exiger,verbs,1.3
1454,kummallinen,bizarre,adjectives,5.55
1455,pelästynyt,nerveux,adjectives,1.85
1456,tehtävä,travail,nouns,4.3
1457,kiistellä,hurler,verbs,1.6
1458,tekijä,créateur,nouns,4.45
1459,järvi,marais,nouns,2.25
1460,melu,raquette,nouns,0.15
1461,hienovaraisesti,manifestement,adverbs,0.65
1462,venyvä,flexible,adjectives,4.8
1463,sivuuttaa,explorer,verbs,0.3
1464,pitää sisällään,impliquer,verbs,5.25
1465,monitahokas,acteur,nouns,0.05
1466,ilmapallo,bain,nouns,0.15
1467,juhla,cérémonie,nouns,4.8
1468,himoita,vouloir,verbs,5.25
1469,pöly,balai,nouns,1.35
1470,liittyä,attacher,verbs,2.65
1471,kartio,tasse,nouns,0.3
1472,todistaa,juger,verbs,1.2
1473,halpa,abordable,adjectives,5.6
1474,museo,menthe,nouns,0.0
1475,parlamentti,congrès,nouns,4.0
1476,savuke,tabac,nouns,4.9
1477,puumateriaali,couverture,nouns,0.15
1478,köyhyys,richesse,nouns,1.25
1479,ruokavalio,salade,nouns,1.4
1480,sfääri,ballon,nouns,2.25
1481,johtaja,manager,nouns,4.0
1482,jumala,prêtre,nouns,1.5
1483,näyttää,prétendre,verbs,1.4
1484,omena,confiserie,nouns,1.05
1485,torjua,accepter,verbs,1.1
1486,helppo,gros,adjectives,0.2
1487,anoa,plaider,verbs,2.55
1488,kappeli,clocher,nouns,2.25
1489,kasvi,agriculture,nouns,1.35
1490,sulttaani,ministère,nouns,0.6
1491,ympärileikkaus,prépuce,nouns,1.65
1492,realistisesti,idéalement,adverbs,1.1
1493,jättää,rencontrer,verbs,0.35
1494,vaarallisesti,soigneusement,adverbs,0.45
1495,ihastuttava,enjoué,adjectives,1.15
1496,kuningas,népotisme,nouns,1.65
1497,tuskin koskaan,souvent,adverbs,1.05
1498,tehdä kunniaa,accomplir,verbs,0.25
1499,alkoholi,vin,nouns,3.15
1500,vartalo,estomac,nouns,2.45
1501,ihanteellisesti,concrètement,adverbs,1.1
1502,sulkea,lutter,verbs,0.4
1503,korvaus,récompense,nouns,3.1
1504,ostaa,recevoir,verbs,1.4
1505,kurkku,langue,nouns,2.0
1506,lainrikkoja,criminel,nouns,5.2
1507,ilmoittaa,reconnaître,verbs,1.45
1508,rauhanomaisesti,fièrement,adverbs,0.45
1509,kuulla,parler,verbs,1.25
1510,puutavara,rondin,nouns,3.45
1511,oksentaa,fermer,verbs,0.05
1512,raamattu,livre,nouns,3.1
1513,jäädä eläkkeelle,rétracter,verbs,1.65
1514,väsynyt,ennuyeux,adjectives,1.25
1515,mellakka,dessin,nouns,0.15
1516,sitoumus,bague,nouns,1.75
1517,demoni,monstre,nouns,4.5
1518,kirjailija,don,nouns,0.25
1519,välttää,nier,verbs,1.0
1520,kriittinen,grossier,adjectives,0.7
1521,tauota,attendre,verbs,2.3
1522,käsivarsi,corps,nouns,1.85
1523,vihainen,heureux,adjectives,0.9
1524,jäähdytin,capteur,nouns,0.55
1525,kuoro,chanteur,nouns,2.65
1526,yhtiö,affaire,nouns,2.45
1527,maailma,globe,nouns,4.45
1528,rannikkoalue,plage,nouns,nan
1529,tehtävä,paille,nouns,0.0
1530,kukka,buisson,nouns,2.5
1531,aviomies,homme,nouns,3.85
1532,keitetty,cuit,adjectives,3.75
1533,sikari,boîte,nouns,0.85
1534,vatsa,corps,nouns,2.45
1535,kappeli,câble,nouns,0.05
1536,tehtävä,autoroute,nouns,0.05
1537,uusi,inutilisé,adjectives,4.65
1538,tennis,statistique,nouns,0.25
1539,neuropsykologia,parapsychologie,nouns,2.2
1540,ylpeä,triste,adjectives,0.65
1541,syyttää,accuser,verbs,4.4
1542,ennen,après,adverbs,1.15
1543,helppo,vulnérable,adjectives,0.55
1544,katastrofi,accident,nouns,4.55
1545,luovasti,initialement,adverbs,0.6
1546,harvinainen,stupide,adjectives,0.15
1547,tiedustella,penser,verbs,0.9
1548,aurinko,ciel,nouns,1.7
1549,valtameri,mer,nouns,4.65
1550,sänky,pièce,nouns,1.0
1551,märkä,collant,adjectives,1.45
1552,työläinen,mécanicien,nouns,3.1
1553,älykäs,stupide,adjectives,1.05
1554,epäonnistua,réussir,verbs,1.1
1555,rutiininomaisesti,normalement,adverbs,3.3
1556,joustava,grand,adjectives,0.35
1557,demokratia,monarchie,nouns,2.15
1558,lainata,garder,verbs,1.15
1559,voittaja,candidat,nouns,1.85
1560,viikko,week-end,nouns,2.3
1561,kirja,dissertation,nouns,1.6
1562,luoda,plonger,verbs,0.1
1563,luokkahuone,couloir,nouns,1.15
1564,armahtaa,excuser,verbs,5.15
1565,mäki,falaise,nouns,2.35
1566,molekyyli,air,nouns,1.3
1567,sonetti,beauté,nouns,0.5
1568,sentti,femme,nouns,0.05
1569,hyväksyä,pardonner,verbs,1.8
1570,mieletön,heureux,adjectives,0.85
1571,liittää,rejoindre,verbs,2.65
1572,riisi,haricot,nouns,1.7
1573,kaareva,agressif,adjectives,0.0
1574,luonne,médecin,nouns,0.0
1575,onnettomuus,urgence,nouns,3.45
1576,uskoa,savoir,verbs,2.4
1577,temppu,bain,nouns,0.0
1578,hienovaraisesti,bruyamment,adverbs,0.7
1579,tänä iltana,demain,adverbs,1.35
1580,saippuavaahto,bulle,nouns,2.45
1581,epäonnistua,compter,verbs,0.3
1582,mausteinen,bien,adjectives,0.25
1583,pesäpallo,fraternité,nouns,0.2
1584,ateria,dîner,nouns,3.75
1585,kissa,chien,nouns,1.95
1586,saada kiinni,chasser,verbs,1.5
1587,helppo,rigide,adjectives,0.25
1588,piirtää,créer,verbs,2.35
1589,ilmiselvästi,grossièrement,adverbs,0.45
1590,meri,rivière,nouns,2.1
1591,saastuminen,président,nouns,0.25
1592,lepakko,vampire,nouns,2.25
1593,tuntea,croire,verbs,2.1
1594,polyesteri,coton,nouns,1.95
1595,viaton,libre,adjectives,1.15
1596,pyörä,revêtement,nouns,0.2
1597,keuhkoputkentulendus,paracétamol,nouns,0.85
1598,kyynärpää,cheville,nouns,2.1
1599,köyhä,fier,adjectives,0.3
1600,vaahtera,arbre,nouns,4.1
1601,omituinen,étrange,adjectives,5.55
1602,kuolettavasti,heureusement,adverbs,0.3
1603,epäreilusti,équitablement,adverbs,1.0
1604,silmä,larme,nouns,1.35
1605,antaa,voler,verbs,0.85
1606,syyttäjä,avocat,nouns,3.05
1607,ympäristö,épée,nouns,0.05
1608,kukka,longévité,nouns,0.2
1609,niska,os,nouns,1.7
1610,ohjelma,alimentation,nouns,0.55
1611,polkupyörä,voiture,nouns,1.65
1612,mieli,névrose,nouns,1.2
1613,ystävällinen,généreux,adjectives,2.05
1614,vehnä,céréale,nouns,3.65
1615,tupakka,cigarette,nouns,4.9
1616,presidentti,politicien,nouns,3.4
1617,käyttämätön,nouveau,adjectives,4.65
1618,kysyä,aider,verbs,0.8
1619,selittää,discuter,verbs,2.2
1620,kissa,souris,nouns,1.8
1621,ottaa osaa,coopérer,verbs,3.2
1622,ylpeä,pauvre,adjectives,0.3
1623,sänky,meuble,nouns,2.6
1624,hyväksyä,livrer,verbs,0.55
1625,eriskummallinen,étrange,adjectives,5.45
1626,kaataa,goutter,verbs,1.3
1627,tunteellisesti,tristement,adverbs,2.25
1628,käyttökelpoinen,impossible,adjectives,1.05
1629,linja-auto,véhicule,nouns,3.5
1630,koira,cheval,nouns,1.85
1631,mielipide,croyance,nouns,3.75
1632,lukea,saisir,verbs,1.05
1633,tukahduttaa,renoncer,verbs,1.3
1634,luostari,douche,nouns,0.1
1635,arkkipiispa,évêque,nouns,4.15
1636,kypsennetty,bouilli,adjectives,3.75
1637,kunto,garçon,nouns,0.05
1638,määrittää,évacuer,verbs,0.25
1639,kummallinen,bizarre,adjectives,5.63
1640,turhautuminen,colère,nouns,3.0
1641,lääkäri,docteur,nouns,5.45
1642,hyönteinen,abeille,nouns,3.25
1643,kylpy,femme,nouns,0.05
1644,ministeri,rabbin,nouns,0.95
1645,onnistua,essayer,verbs,1.6
1646,linssi,appareil photo,nouns,2.0
1647,oksa,bras,nouns,0.95
1648,terä,herbe,nouns,0.1
1649,pitkästynyt,terne,adjectives,1.8
1650,pidättää,suspecter,verbs,1.05
1651,pitää,retenir,verbs,4.6
1652,yhtye,alcool,nouns,0.15
1653,kerätä,organiser,verbs,1.3
1654,tuoli,canapé,nouns,2.9
1655,suututtaa,irriter,verbs,4.75
1656,lattia,plafond,nouns,1.7
1657,keilaaja,bowling,nouns,1.7
1658,uskoa,ressentir,verbs,2.1
1659,tykkivene,côte,nouns,0.35
1660,likainen,collant,adjectives,2.65
1661,voi,pomme de terre,nouns,1.25
1662,hematologia,pathologie,nouns,2.25
1663,vaara,maladie,nouns,0.85
1664,huippu,cinquième,adjectives,0.2
1665,veli,père,nouns,2.05
1666,unelma,ciel,nouns,0.45
1667,kieli,joue,nouns,1.75
1668,vaatimaton,honteux,adjectives,0.75
1669,ikkuna,porte,nouns,1.95
1670,siisti,propre,adjectives,5.35
1671,veljeskunta,porte,nouns,0.0
1672,kylpy,astuce,nouns,0.0
1673,huuli,hanche,nouns,1.2
1674,turvallisesti,tranquillement,adverbs,1.6
1675,yö,chapitre,nouns,0.1
1676,lintu,poule,nouns,3.05
1677,tulla sisään,laisser,verbs,0.2
1678,vahvuus,aptitude,nouns,2.75
1679,hame,montre,nouns,0.35
1680,tiedottaa,notifier,verbs,5.45
1681,psykologia,science,nouns,2.4
1682,opettaja,étudiant,nouns,1.85
1683,huomauttaa,critiquer,verbs,2.2
1684,maapallo,monde,nouns,4.45
1685,varastaa,acheter,verbs,1.1
1686,mieto,tranchant,adjectives,0.7
1687,avustaa,aider,verbs,5.0
1688,murtaa,casser,verbs,4.1
1689,pahvi,papier,nouns,3.65
1690,raivostunut,hésitant,adjectives,0.7
1691,lukea,mordre,verbs,0.0
1692,ei koskaan,négatif,adjectives,1.25
1693,varoittaa,arrêter,verbs,0.8
1694,kulho,ruelle,nouns,0.0
1695,kuljettaa,arrêter,verbs,0.85
1696,lato,maison,nouns,2.45
1697,tukahduttaa,brûler,verbs,0.6
1698,tiheä,difficile,adjectives,1.35
1699,säilytysastia,souris,nouns,0.05
1700,loukata,insulter,verbs,4.85
1701,soitin,violon,nouns,3.1
1702,passiivinen,violent,adjectives,0.45
1703,intiimi,personnel,adjectives,4.9
1704,kirkko,cathédrale,nouns,4.4
1705,hyväksyä,recommander,verbs,1.1
1706,väkivaltainen,fâché,adjectives,2.1
1707,sana,littérature,nouns,1.55
1708,suorittaa loppuun,rivaliser,verbs,0.3
1709,veri,corps,nouns,1.65
1710,siepata,voler,verbs,2.9
1711,kalkkuna,oiseau,nouns,3.2
1712,sekaannus,hystérie,nouns,1.95
1713,profeetta,prêtre,nouns,1.9
1714,keidas,liberté,nouns,0.2
1715,aloittaa,provenir,verbs,0.6
1716,viheltää,arrêter,verbs,0.3
1717,ihmeellinen,terrifiant,adjectives,2.35
1718,käydä sisään,devoir,verbs,0.15
1719,mieto,moyen,adjectives,0.6
1720,luuta,poussière,nouns,1.35
1721,antelias,amical,adjectives,2.05
1722,kiirastuli,au-delà,nouns,2.3
1723,tie,voie-rapide,nouns,4.0
1724,vuosi,siècle,nouns,2.35
1725,kärsimättömästi,approximativement,adverbs,0.75
1726,naistenmies,type,nouns,1.55
1727,harvinainen,rare,adjectives,3.4
1728,laittaa,pendre,verbs,0.55
1729,ottaa,porter,verbs,1.2
1730,artikkeli,livre,nouns,2.2
1731,raekuuro,pluie,nouns,3.2
1732,tukea,assister,verbs,5.0
1733,lattia,porte,nouns,0.8
1734,leipä,fromage,nouns,1.75
1735,ilmiselvästi,discrètement,adverbs,0.65
1736,teeskennellä,mentir,verbs,3.5
1737,äänekäs,grossier,adjectives,1.15
1738,surullinen,marrant,adjectives,0.8
1739,kamera,suite,nouns,0.15
1740,keinotekoinen,faux,adjectives,4.65
1741,laaja,étroit,adjectives,0.7
1742,tyttö,mec,nouns,1.55
1743,ranne,bras,nouns,2.35
1744,tanko,drapeau,nouns,1.35
1745,farkut,femme,nouns,0.05
1746,rauhallisesti,subtilement,adverbs,1.35
1747,repiä,porter,verbs,0.15
1748,puhdas,impeccable,adjectives,5.4
1749,valuutta,concours,nouns,0.65
1750,aito,faux,adjectives,1.05
1751,turkki,pistolet,nouns,0.05
1752,suo,lac,nouns,2.25
1753,pilvi,tempête,nouns,1.5
1754,kuulakärkikynä,alphabet,nouns,0.6
1755,todiste,fait,nouns,3.5
1756,tappaa,détruire,verbs,3.2
1757,kahvi,haricot,nouns,0.65
1758,keraaminen esine,poterie,nouns,4.25
1759,harmonia,piano,nouns,1.35
1760,selventää,expliquer,verbs,5.0
1761,sanomalehti,mot,nouns,1.45
1762,kunnia,estime,nouns,3.25
1763,mennä,commencer,verbs,1.0
1764,auto,usine,nouns,0.65
1765,samanaikaisuus,cours,nouns,0.65
1766,evätä,accepter,verbs,1.15
1767,avoimesti,massivement,adverbs,0.65
1768,yrittää,convaincre,verbs,0.65
1769,turkki,femme,nouns,0.25
1770,aamu,journée,nouns,2.6
1771,viha,fureur,nouns,4.95
1772,haudata,couvrir,verbs,3.55
1773,tyydyttää,saisir,verbs,0.4
1774,lintu,faucon,nouns,3.65
1775,vaunut,wagon,nouns,4.85
1776,kyky,compétence,nouns,5.1
1777,vakava,marrant,adjectives,1.1
1778,huomenna,ce soir,adverbs,1.35
1779,petos,infraction,nouns,4.05
1780,alkoholi,cognac,nouns,3.2
1781,passiivisesti,silencieusement,adverbs,1.5
1782,vyöhyke,surface,nouns,4.1
1783,käsivarsi,cou,nouns,1.6
1784,kirkua,hurler,verbs,5.1
1785,laulaa,flotter,verbs,0.1
1786,kappale,épisode,nouns,3.65
1787,veli,fils,nouns,2.35
1788,jahdata,attraper,verbs,1.5
1789,uhri,téléphone,nouns,0.1
1790,sisäkatto,toit,nouns,4.15
1791,merkittävä,mineur,adjectives,0.9
1792,kiertäminen,bagage,nouns,0.65
1793,tunnettu,national,adjectives,1.05
1794,hauskanpito,football,nouns,0.5
1795,ylpeästi,humblement,adverbs,1.1
1796,tavallinen,étrange,adjectives,1.0
1797,karkea,frigide,adjectives,0.45
1798,helppo,difficile,adjectives,1.05
1799,viestiä,prier,verbs,0.7
1800,vaatimaton,flexible,adjectives,0.45
1801,televisio,scénariste,nouns,1.1
1802,veksillologia,drapeau,nouns,2.3
1803,haavoittuvainen,impuissant,adjectives,3.55
1804,pilata,sentir,verbs,0.15
1805,minuutti,seconde,nouns,2.7
1806,laulusolisti,employé,nouns,0.2
1807,tuoda,envoyer,verbs,1.45
1808,vene,arbre,nouns,0.45
1809,haukka,oiseau,nouns,3.65
1810,ulkolainen,extraterrestre,nouns,3.8
1811,ottaa osaa,rejoindre,verbs,2.85
1812,asenne,confiance,nouns,2.1
1813,kirkontorni,chapelle,nouns,2.25
1814,ohjekirja,manuel,nouns,5.25
1815,luotettavasti,grossièrement,adverbs,0.5
1816,oikeus,justice,nouns,4.05
1817,normaali,différent,adjectives,1.1
1818,kiistää,donner,verbs,0.2
1819,kuppi,cuillère,nouns,1.55
1820,jumala,esprit,nouns,2.6
1821,logiikka,intelligence,nouns,3.3
1822,karata,trouver,verbs,0.5
1823,viikonloppu,semaine,nouns,2.3
1824,vähäpätöinen,important,adjectives,0.9
1825,presidentti,pollution,nouns,0.25
1826,työläinen,bureau,nouns,0.8
1827,osallistua,rassembler,verbs,1.35
1828,matkapuhelin,téléphone,nouns,5.15
1829,järjetön,fou,adjectives,5.1
1830,ase,casque,nouns,1.15
1831,outo,étrange,adjectives,5.75
1832,ovi,cave,nouns,0.8
1833,saada selville,comprendre,verbs,3.3
1834,teema,livre,nouns,0.95
1835,kääre,port,nouns,0.45
1836,pyhimys,pécheur,nouns,1.05
1837,itseluottamus,attitude,nouns,2.1
1838,poika,père,nouns,2.05
1839,läsnäolo,porte,nouns,0.15
1840,hävitä,rétrécir,verbs,1.7
1841,selvästi,certainement,adverbs,3.25
1842,raaja,jambe,nouns,3.55
1843,pankkiiri,avocat,nouns,1.45
1844,nyt,ici,adverbs,1.25
1845,kuuluttaa,déclarer,verbs,5.05
1846,alumiini,métal,nouns,3.15
1847,haluta,emprunter,verbs,0.9
1848,tietää,donner,verbs,0.45
1849,vetäytyä,absorber,verbs,1.35
1850,elokuva,nihilisme,nouns,0.15
1851,jäytää,porter,verbs,0.15
1852,kaliiperi,parapluie,nouns,0.05
1853,kulho,queue,nouns,0.05
1854,kapteeni,marin,nouns,3.0
1855,aloittaa,cesser,verbs,1.0
1856,kartano,sculpteur,nouns,0.35
1857,laajentaa,croître,verbs,4.0
1858,vuosisata,année,nouns,2.35
1859,tunnustaa,parler,verbs,0.95
1860,kuvitella,feindre,verbs,1.4
1861,suihkukone,avion,nouns,4.2
1862,epäluonnollisesti,naturellement,adverbs,0.95
1863,joskus,n'importe quand,adverbs,0.8
1864,erottaa,partir,verbs,1.1
1865,antaa,recevoir,verbs,1.0
1866,tahmea,humide,adjectives,1.45
1867,hevonen,jument,nouns,4.05
1868,löytää,localiser,verbs,4.7
1869,terävä,doux,adjectives,0.7
1870,antaa anteeksi,pardonner,verbs,5.15
1871,jalkaterä,tête,nouns,1.7
1872,pienehkö,nain,adjectives,3.9
1873,kuja,bol,nouns,0.0
1874,myytti,satire,nouns,1.25
1875,onnellinen,fâché,adjectives,0.9
1876,sankari,héroïne,nouns,4.25
1877,olosuhde,situation,nouns,4.9
1878,portti,porte,nouns,4.05
1879,herättää,ronfler,verbs,0.85
1880,naru,soleil couchant,nouns,0.0
1881,auttaja,servante,nouns,2.2
1882,aamiainen,bacon,nouns,1.35
1883,tyhmä,intelligent,adjectives,1.0
1884,sosiobiologia,mutant,nouns,0.25
1885,ruusu,papillon,nouns,0.5
1886,nieleksiä,siroter,verbs,2.1
1887,ylpeä,fort,adjectives,1.2
1888,oviaukko,porte,nouns,3.25
1889,läsnäolo,gagnant,nouns,0.25
1890,puhdas,soigné,adjectives,5.35
1891,turhauttaa,décourager,verbs,3.0
1892,aktiivisesti,heureusement,adverbs,0.55
1893,löyhkätä,sentir,verbs,4.75
1894,kirja,article,nouns,2.2
1895,lakimies,banquier,nouns,1.45
1896,menettää,cuisiner,verbs,0.05
1897,auto,automobile,nouns,6.0
1898,tunnettu,bon,adjectives,0.65
1899,pekoni,haricot,nouns,0.85
1900,säästäjä,épargne,nouns,2.15
1901,suostutella,poursuivre,verbs,0.7
1902,käsi,poignet,nouns,2.8
1903,elokuva,film,nouns,5.6
1904,väitellä,débattre,verbs,4.7
1905,pian,immédiatement,adverbs,3.6
1906,virallisesti,grandement,adverbs,0.65
1907,fantastisesti,incroyablement,adverbs,5.3
1908,miljonääri,dollar,nouns,1.3
1909,kirkkaus,étoile,nouns,1.05
1910,partneri,garçon,nouns,1.55
1911,tietää,croire,verbs,2.4
1912,gini,alcool,nouns,3.3
1913,vaimo,baignoire,nouns,0.05
1914,tytär,père,nouns,1.65
1915,planeetta,lune,nouns,2.35
1916,luoja,auteur,nouns,4.45
1917,lisko,crocodile,nouns,3.25
1918,aikakausi,décennie,nouns,2.6
1919,heppu,partenaire,nouns,1.4
1920,enkeli,démon,nouns,1.45
1921,päivällinen,poulet,nouns,1.5
1922,äiti,ami,nouns,1.4
1923,valmistua,terminer,verbs,3.4
1924,kiistellä,différer,verbs,0.9
1925,enimmäkseen,principalement,adverbs,5.3
1926,auringonpaiste,rayon,nouns,2.55
1927,johdin,corde,nouns,4.05
1928,tähti,intensité,nouns,1.05
1929,simulaatio,robotique,nouns,1.1
1930,saada,mettre,verbs,0.35
1931,laiton,légitime,adjectives,0.85
1932,talo,clé,nouns,0.95
1933,kursori,frites,nouns,0.1
1934,metri,yard,nouns,3.45
1935,rakenne,topologie,nouns,3.1
1936,vaatimaton,pur,adjectives,1.1
1937,nopeus,courrier,nouns,0.0
1938,viskositeetti,éclaboussure,nouns,0.6
1939,iltahämärä,soir,nouns,4.1
1940,peitetty,découvert,adjectives,1.05
1941,sykloni,typhon,nouns,5.0
1942,tavallinen,froid,adjectives,0.2
1943,laillinen,sûr,adjectives,1.7
1944,pitää,perdre,verbs,0.85
1945,ilmoittaa,informer,verbs,5.45
1946,roikkua,mettre,verbs,0.55
1947,saada,perdre,verbs,0.75
1948,hiiri,gestion,nouns,0.0
1949,kasvaa,rétrécir,verbs,1.0
1950,kersantti,pistolet,nouns,0.7
1951,kirurgia,coeur,nouns,1.2
1952,tärkeä,crucial,adjectives,5.0
1953,mahdoton,faisable,adjectives,1.05
1954,ranta,récif,nouns,1.75
1955,sivuuttaa,imprimer,verbs,0.1
1956,korkeakoulu,profession,nouns,0.8
1957,lisätä,construire,verbs,1.2
1958,ihmiset,population,nouns,3.9
1959,tuoda,se plaindre,verbs,0.1
1960,isä,fils,nouns,2.05
1961,auto,réservoir,nouns,1.15
1962,anteliaasti,gentiment,adverbs,2.0
1963,piano,harmonie,nouns,1.35
1964,pullo,pot,nouns,2.7
1965,keittiö,salle de bain,nouns,1.9
1966,oppilas,étudiant,nouns,5.45
1967,tippua,verser,verbs,1.3
1968,hunaja,sucre,nouns,2.4
1969,ikä,beauté,nouns,0.7
1970,hävitä,se dissiper,verbs,5.4
1971,puolustaa,protéger,verbs,4.9
1972,osua,viser,verbs,2.15
1973,kukka,violette,nouns,3.3
1974,järjestelmä,faute,nouns,0.3
1975,valmistaa,détruire,verbs,0.9
1976,sotilas,garçon,nouns,1.5
1977,hallitus,lézard,nouns,0.0
1978,letku,voiture,nouns,0.1
1979,pilli,femme,nouns,0.0
1980,rukoilla,communiquer,verbs,0.7
1981,suorittaa loppuun,être diplômé,verbs,3.4
1982,hiiri,rat,nouns,3.7
1983,sali,allée,nouns,1.55
1984,vahvasti,officiellement,adverbs,0.45
1985,saavuttaa,réussir,verbs,4.0
1986,pelästynyt,timide,adjectives,1.55
1987,avuton,nécessiteux,adjectives,1.5
1988,pujotella,bouger,verbs,0.7
1989,yleensä,rarement,adverbs,1.05
1990,paita,cardigan,nouns,2.35
1991,saari,princesse,nouns,0.25
1992,minkki,huile,nouns,0.2
1993,juoksija,athlète,nouns,3.35
1994,lannistaa,échouer,verbs,1.5
1995,kalliojyrkänne,colline,nouns,2.35
1996,talo,tapis,nouns,0.9
1997,auto,jauge,nouns,0.55
1998,mennä,permettre,verbs,0.45
1999,mehu,cuillère,nouns,0.6
2000,lehmä,chèvre,nouns,2.05
2001,pahentaa,déranger,verbs,0.4
2002,käsilaukku,sac,nouns,3.25
2003,näyttelijä,polyèdre,nouns,0.05
2004,pilvi,lac,nouns,0.55
2005,yhdistää,diviser,verbs,1.25
2006,veri,virus,nouns,1.4
2007,urheilija,coureur,nouns,3.35
2008,onnellinen,content,adjectives,4.6
2009,käyttäytyä,obéir,verbs,3.05
2010,ymmärrys,intelligence,nouns,3.95
2011,tulla,faire,verbs,0.55
2012,kadottaa,obtenir,verbs,0.75
2013,satiiri,mythe,nouns,1.25
2014,voimakas tuuli,couverture,nouns,0.05
2015,yhteiskunta,culture,nouns,2.7
2016,kappale,queue,nouns,0.0
2017,ovela,étrange,adjectives,1.1
2018,vahva,fier,adjectives,1.2
2019,viihdyttää,apprécier,verbs,0.85
2020,myydä,aller,verbs,0.3
2021,vuohi,vache,nouns,2.05
2022,onnellisesti,mortellement,adverbs,0.3
2023,vartalo,bras,nouns,1.85
2024,jälkeen,avant,adverbs,1.15
2025,totuudenmukainen,malhonnête,adjectives,0.7
2026,peitto,bois,nouns,0.15
2027,tietty,nerveux,adjectives,0.15
2028,likainen,bon marché,adjectives,0.25
2029,ostaa,voler,verbs,1.1
2030,tilastotiede,tennis,nouns,0.25
2031,selventää,définir,verbs,3.65
2032,luu,dent,nouns,2.45
2033,maha,abdomen,nouns,5.3
2034,mehu,lait,nouns,1.85
2035,vaalia,garder,verbs,2.1
2036,luu,genou,nouns,2.0
2037,tiedustella,exiger,verbs,0.75
2038,silkkitoukka,chenille,nouns,3.6
2039,ekosysteemi,économie,nouns,1.15
2040,uida,rencontrer,verbs,0.3
2041,kupla,mousse,nouns,2.45
2042,epäreilusti,déraisonnablement,adverbs,2.75
2043,kurssi,estomac,nouns,0.1
2044,positiivisesti,probablement,adverbs,1.1
2045,pehmeä,violent,adjectives,0.75
2046,kieleke,montagne,nouns,1.3
2047,miekka,environnement,nouns,0.05
2048,tylsä,tranchant,adjectives,0.25
2049,paperi,bois,nouns,2.05
2050,turvautua,échouer,verbs,0.3
2051,suihku,couvent,nouns,0.1
2052,rasismi,xénophobie,nouns,4.9
2053,lentokenttä,pièce,nouns,0.1
2054,ymmärrys,fait,nouns,0.9
2055,tavallinen,incroyable,adjectives,0.85
2056,rankka,facile,adjectives,0.9
2057,laskimo,choix,nouns,0.25
2058,oppilas,président,nouns,0.8
2059,lempeästi,doucement,adverbs,3.85
2060,viini,alcool,nouns,3.15
2061,valinta,prison,nouns,0.15
2062,hahmo,personne,nouns,4.2
2063,ujo,coûteux,adjectives,0.1
2064,aktiivisesti,exactement,adverbs,0.5
2065,suoni,veine,nouns,4.25
2066,lisko,serpent,nouns,2.8
2067,ärsyttää,contrarier,verbs,4.75
2068,hankkia,joindre,verbs,0.65
2069,epäillä,arrêter,verbs,1.05
2070,tappaa,se battre,verbs,1.8
2071,rauhallisesti,chaotiquement,adverbs,0.7
2072,näyttää,devenir,verbs,1.0
2073,sohva,chaise,nouns,2.9
2074,lentoperämies,flic,nouns,0.85
2075,tavata,nager,verbs,0.3
2076,yhdistys,club,nouns,3.85
2077,sanoa,participer,verbs,1.2
2078,lonkka,lèvre,nouns,1.2
2079,kulma,courbe,nouns,1.9
2080,tyyli,élégance,nouns,4.55
2081,saapua,venir,verbs,5.05
2082,juliste,papier,nouns,2.95
2083,suojella,aider,verbs,2.7
2084,huoltaja,mère,nouns,2.05
2085,orkesteri,groupe,nouns,4.15
2086,vastuullisesti,indépendamment,adverbs,1.45
2087,maksaa,acheter,verbs,3.5
2088,älykkyys,perspicacité,nouns,3.95
