ID,SPA,SWA,PoS,score
1400,pistola,kisu,nouns,0.95
1401,tela,nguo,nouns,2.85
1402,iglesia,kwaya,nouns,1.35
1403,ofender,kukosea,verbs,0.8
1404,profesión,chuo,nouns,0.85
1405,presa,mungu,nouns,0.0
1406,administración,kazi,nouns,1.0
1407,adulto,mtoto,nouns,0.4
1408,contar,kusema,verbs,0.65
1409,puerta,dirisha,nouns,1.0
1410,persuadir,kugombana,verbs,0.75
1411,papel,karatasi,nouns,1.15
1412,manzana,juisi,nouns,1.0
1413,esposa,senti,nouns,0.15
1414,cintura,tumbo,nouns,1.15
1415,canción,wimbo,nouns,0.5
1416,cerca,reli,nouns,0.4
1417,ropa,koti,nouns,2.1
1418,espada,sime,nouns,0.2
1419,amanecer,bunduki,nouns,0.0
1420,luchar,pigana,verbs,0.45
1421,cama,kiti,nouns,1.0
1422,cocinar,kupika,verbs,1.27
1423,terminar,kumaliza,verbs,1.35
1424,extraño,mwerevu,adjectives,0.15
1425,cubrir,kufunika,verbs,3.0
1426,madera,gogo,nouns,3.25
1427,campana,mnara,nouns,1.0
1428,ensalada,mpangilio wa chakula,nouns,0.75
1429,pieza,kipande,nouns,0.0
1430,cuello,uti,nouns,0.4
1431,techo,paa,nouns,2.4
1432,calina,wingu,nouns,0.75
1433,medio,habari,nouns,2.05
1434,televisión,runinga,nouns,1.55
1435,circuncisión,tohara,nouns,1.95
1436,grande,kubwa,adjectives,0.2
1437,tamaño,mbinu,nouns,0.0
1438,robar,kununua,verbs,0.1
1439,creer,kukubali,verbs,1.8
1440,tradición,utamaduni,nouns,0.75
1441,herméticamente,kwa ukakamavu,adverbs,0.55
1442,universidad,weledi,nouns,0.85
1443,evitar,kujiweka mbali,verbs,1.35
1444,difícil,rahisi,adjectives,0.3
1445,escuchar,kutii,verbs,1.4
1446,capturar,kudaka,verbs,2.05
1447,triste,wa kuchekesha,adjectives,0.1
1448,dama,bwana,nouns,0.65
1449,purgatorio,purigatori,nouns,1.9
1450,público,hadharani,adjectives,0.1
1451,reconocer,kujulisha,verbs,0.8
1452,hija,baba,nouns,0.35
1453,captura,kudaka,verbs,0.2
1454,vacilante,sitasita,adjectives,0.45
1455,asesorar,kupendekeza,verbs,4.35
1456,medio,wastani,adjectives,1.35
1457,disfraz,sherehe,nouns,0.15
1458,rodilla,mfupa,nouns,0.65
1459,mesa,meza,nouns,0.05
1460,cabra,ngombe,nouns,0.9
1461,entender,kusamehe,verbs,0.6
1462,vergüenza,huzuni,nouns,0.65
1463,probablemente,labda,adverbs,0.45
1464,jugar,kucheza,verbs,0.2
1465,acción,mchezo,nouns,1.1
1466,rabino,mchungaji,nouns,1.0
1467,aburrido,hafifu,adjectives,0.6
1468,fácil,ana shida,adjectives,0.1
1469,limpiar,kupanguza,verbs,0.2
1470,entrar,kudaiwa,verbs,0.0
1471,tronco,kanuni,nouns,0.1
1472,imagen,kioo,nouns,1.4
1473,alegre,ana hasira,adjectives,0.1
1474,leche,juisi,nouns,0.65
1475,destruir,kujenga,verbs,0.15
1476,creencia,ua,nouns,0.1
1477,ganador,mgombea wa uchaguzi,nouns,1.4
1478,tonto,mjanja,adjectives,0.2
1479,estudiante,mwanachuo,nouns,4.95
1480,alegre,mwenye furaha,adjectives,5.05
1481,bandera,bendera,nouns,1.2
1482,texto,kitabu,nouns,3.05
1483,fin de semana,wikiendi,nouns,0.0
1484,tomar,kumiliki,verbs,1.7
1485,amablemente,kiupole,adverbs,2.75
1486,presidente,uchafuzi,nouns,0.35
1487,celebracion,maadhimisho,nouns,4.75
1488,estado,nyumba,nouns,0.2
1489,ilustración,katuni,nouns,0.0
1490,casar,oa,verbs,3.15
1491,antinaturalmente,si asili,adverbs,0.35
1492,necesitado,uhitaji,adjectives,1.2
1493,hematología,hematolojia,nouns,2.25
1494,movimiento,kutoka,verbs,0.2
1495,trucha,samaki,nouns,0.0
1496,zinc,zinki,nouns,1.15
1497,río,mkondo,nouns,2.8
1498,cereza,cheri,nouns,1.6
1499,salir,kubaki,verbs,0.1
1500,estupendo,ana hasira,adjectives,0.05
1501,programa informático,kifaa,nouns,0.35
1502,ordenador,cd,nouns,0.9
1503,búsqueda,lengo,nouns,0.75
1504,árbol,mti,nouns,0.15
1505,acusar,kushtaki,verbs,2.2
1506,fraternidad,mlango,nouns,0.2
1507,responsablemente,kwa uwajibikaji,adverbs,0.8
1508,lazo,mkanda,nouns,1.35
1509,salvar,kuokoa,verbs,2.65
1510,económico,rahisi,adjectives,5.3
1511,estilo de vida,mtindo wa maisha,nouns,1.35
1512,capa,kofia,nouns,0.65
1513,sultán,sultani,nouns,0.2
1514,obtener,kuweka,verbs,0.25
1515,necesario,muhimu,adjectives,3.15
1516,a veces,muda mwingine,adverbs,0.28
1517,pistola,mbinu,nouns,0.15
1518,tirar,kuvuta,verbs,1.45
1519,pájaro,kuku,nouns,2.5
1520,trabajo,kazi,nouns,1.1
1521,empleador,mwajiriwa,nouns,0.65
1522,malo,mbaya,adjectives,0.8
1523,rama,shina,nouns,0.65
1524,campamento,kibanda,nouns,0.75
1525,modo,njia,nouns,0.85
1526,delincuente,mkosaji,nouns,4.8
1527,viaje,safari,nouns,3.55
1528,estar de acuerdo,kujipendekeza,verbs,0.6
1529,convocatoria,mkutano,nouns,4.7
1530,despierto,kuamka,verbs,0.15
1531,enojado,bila furaha,adjectives,2.6
1532,dejar,kufanya,verbs,0.25
1533,diferente,wa kawaida,adjectives,0.15
1534,autopista,jukumu,nouns,0.15
1535,hambriento,kua na njaa ,adjectives,0.8
1536,gracioso,inayochekesha,adjectives,0.0
1537,niño,mtoto wa kike,nouns,1.0
1538,innovador,bunifu,adjectives,4.05
1539,estadística,takwimu,nouns,0.25
1540,reducir,kupungua,verbs,3.95
1541,incorrecto,kosa,adjectives,0.05
1542,carretera,barabara,nouns,4.6
1543,objetivo,kulenga,verbs,0.75
1544,guitarra,gitaa,nouns,0.0
1545,daño,maumivu,nouns,2.75
1546,ignorar,kuondoka,verbs,0.25
1547,magnitud,saizi,nouns,4.95
1548,cuna,kitanda cha mtoto,nouns,2.6
1549,campaña,kampeni,nouns,0.05
1550,filósofo,mphilisophia,nouns,0.15
1551,destruir,haribu,verbs,2.5
1552,isla,jukumu,nouns,0.05
1553,nube,wingu,nouns,0.2
1554,exprimir,kujielezea,verbs,1.25
1555,débiles,dhaifu,adjectives,0.25
1556,saber,kusahau,verbs,0.15
1557,vaso,koni,nouns,0.75
1558,ignorar,kuuliza,verbs,0.15
1559,justificar,kuhakikisha,verbs,1.05
1560,información,gazeti,nouns,2.05
1561,mapa,ramani,nouns,0.2
1562,cansado,iliyochoka,adjectives,1.85
1563,sangre,damu,nouns,0.4
1564,anarquía,vurugu,nouns,4.1
1565,ligeramente,mara kwa mara,adverbs,0.3
1566,comprender,kuridhisha,verbs,0.35
1567,terapia,tiba,nouns,0.6
1568,recaudación de fondos,mchango,nouns,0.5
1569,clima,hali ya hewa,nouns,0.7
1570,vender,kukumbusha,verbs,0.0
1571,hombro,mkono,nouns,1.55
1572,generoso,wa kirafiki,adjectives,2.0
1573,mezclado,kumbakumba,adjectives,0.0
1574,cubierta,sakafu,nouns,0.45
1575,descender,kushuka,verbs,0.45
1576,arce,mti,nouns,3.4
1577,pesado,mzigo,adjectives,2.3
1578,cuenco,mkia,nouns,0.1
1579,de manera realista,kwelikweli,adverbs,0.0
1580,estrella,nyota,nouns,2.75
1581,mente,akili,nouns,1.25
1582,añadir,kuzidisha,verbs,1.0
1583,divertido,mpira wa miguu,nouns,1.05
1584,niño,mtu mzima,nouns,0.4
1585,multimillonario,bilionea,nouns,0.1
1586,libro,taarifa,nouns,0.95
1587,suelto,pwaya,adjectives,1.15
1588,seguramente,hakika,adverbs,1.65
1589,bodega,mlango,nouns,0.15
1590,paz,amani,nouns,0.25
1591,tumba,kaburi,nouns,0.9
1592,cuenco,kichochoro,nouns,0.05
1593,telescopio,darubini,nouns,0.1
1594,historia,hadithi,nouns,0.4
1595,curvo,pinda,adjectives,0.25
1596,paciente,mgonjwa,nouns,0.35
1597,playa,bahari,nouns,3.0
1598,objetivo,mshale,nouns,0.95
1599,cama,fanicha,nouns,2.2
1600,fondo,upande,nouns,0.8
1601,armada,jeshi,nouns,4.2
1602,verdaderamente,kiukweli,adverbs,0.05
1603,raíz,nyasi,nouns,0.8
1604,hacer huelga,kuchapa,verbs,0.1
1605,pulgar,ukucha,nouns,1.5
1606,diplomacia,diplomasia,nouns,2.0
1607,enorme,mdogo,adjectives,0.15
1608,beber,kunywa,verbs,1.97
1609,chapoteo,chubwi,nouns,0.45
1610,grito,kuguta,verbs,0.45
1611,niño,mvulana,nouns,4.1
1612,completamente,kwa ukamilifu,adverbs,0.93
1613,delgado,mwembamba,adjectives,4.35
1614,salvar,kuokota,verbs,0.65
1615,oler,kunusa,verbs,0.0
1616,cerebro,neva,nouns,0.65
1617,notificar,kuonyesha,verbs,1.35
1618,asistir,kusaidia,verbs,4.55
1619,preciso,uhakika,adjectives,0.05
1620,persona,mnyama,nouns,0.45
1621,coronel,daktari wa meno,nouns,0.2
1622,vaca,mbuzi,nouns,0.9
1623,permanecer,kuondoka,verbs,0.1
1624,generalmente,kawaida,adverbs,0.25
1625,aproximadamente,takribani,adverbs,0.45
1626,litoral,pwani,nouns,4.3
1627,esposa,mwanamke,nouns,3.5
1628,ojo,chozi,nouns,1.2
1629,admitir,kukubali,verbs,0.2
1630,incluir,kukuhusisha,verbs,3.1
1631,maduro,kwa utu uzima,adverbs,0.85
1632,ayudar,kusaidia,verbs,0.45
1633,palacio,nyumba,nouns,0.35
1634,fácilmente,kiurahisi,adverbs,0.15
1635,supremacía,ukuu,nouns,2.6
1636,parte superior,juu,adjectives,0.05
1637,vagón,chombo,nouns,0.0
1638,destruir,kuumba,verbs,0.1
1639,entretener,kufurahia,verbs,2.25
1640,tarea,kazi,nouns,4.3
1641,niebla,wingu,nouns,3.05
1642,gracioso,mwenye huzuni,adjectives,0.1
1643,esquina,eneo,nouns,0.55
1644,profesor,rabai,nouns,1.0
1645,cintura,chakula,nouns,0.25
1646,flor,subira,nouns,0.05
1647,mal,kwa ubaya,adverbs,0.1
1648,mes,agosti,nouns,3.05
1649,entender,kujua,verbs,3.85
1650,libro,hadithi,nouns,1.4
1651,catástrofe,ajali,nouns,2.65
1652,paz,furaha,nouns,2.0
1653,cuerno,ngoma,nouns,0.45
1654,suéter,jaketi,nouns,3.1
1655,violín,fidia,nouns,0.25
1656,factible,inawezekana,adjectives,0.2
1657,teatro,ukumbi,nouns,0.1
1658,participar,kusema,verbs,0.65
1659,olvidar,kujua,verbs,0.15
1660,tranquilamente,kwa utulivu,adverbs,2.32
1661,culpable,ana aibu,adjectives,1.05
1662,esforzarse,kujitahidi,verbs,0.35
1663,emperador,mtawala,nouns,1.95
1664,volverse,kuonekana,verbs,0.4
1665,niña,mvulana,nouns,0.7
1666,almuerzo,ugali,nouns,1.5
1667,encontrar,kupata,verbs,0.15
1668,gobernador,gavana,nouns,3.15
1669,himno,ushindi,nouns,0.2
1670,artesanía,kazi za mikono,nouns,0.75
1671,desayuno,nyama ya nguruwe,nouns,0.55
1672,cuenco,sahani,nouns,2.75
1673,bicicleta,gari,nouns,0.75
1674,aviación,safari ya angani,nouns,2.95
1675,gente,bunduki,nouns,0.1
1676,de acuerdo,kutofautiana,verbs,0.2
1677,libro,kitabu,nouns,2.35
1678,tristeza,huzuni,nouns,0.5
1679,toro,ndama,nouns,2.25
1680,necesario,sio wa lazima,adjectives,0.15
1681,racional,kueleweka,adjectives,0.7
1682,blanco,nyeupe,adjectives,0.0
1683,notificar,kufahamisha,verbs,5.05
1684,música,muziki,nouns,1.35
1685,recordatorio,baki,nouns,0.4
1686,cola,bakuli,nouns,0.1
1687,llave,funguo,nouns,1.8
1688,salir,kuondoka,verbs,0.15
1689,ganar,kufanikisha,verbs,2.65
1690,palabra,gazeti,nouns,0.65
1691,igual,sawa,adjectives,4.15
1692,insecto,nyuki,nouns,2.6
1693,organizar,kuandaa,verbs,4.3
1694,cumpleaños,tarehe,nouns,1.4
1695,seguramente,kwa hakika,adverbs,4.05
1696,espina,mwili,nouns,0.5
1697,nublado,kivuli cha mawingu,nouns,0.8
1698,guionista,mwandishi wa filamu,nouns,0.7
1699,madera,mbao,nouns,0.45
1700,entregar,kukubali,verbs,0.2
1701,nota,kumbuku,nouns,0.45
1702,barra,pazia,nouns,0.25
1703,mano,mguu,nouns,0.95
1704,cámara,lenzi,nouns,2.3
1705,presencia,mlango,nouns,0.3
1706,dios,shetani,nouns,0.3
1707,mago,mchawi,nouns,0.0
1708,zona,mkoa,nouns,4.05
1709,cielo,ulimwengu,nouns,1.0
1710,estómago,chumba cha kulala,nouns,0.1
1711,amigo,mvulana,nouns,1.05
1712,ventana,mlango,nouns,1.0
1713,cañita,jukumu,nouns,0.05
1714,diferir de,kugombana,verbs,3.15
1715,mueble,kitanda,nouns,2.2
1716,periódico,taarifa,nouns,2.05
1717,acuerdo,pambano,nouns,0.65
1718,lograr,kujaribu,verbs,0.7
1719,traer,kurudisha,verbs,0.7
1720,sucio,chafu,adjectives,0.53
1721,miseria,ukiwa,nouns,2.35
1722,hornear,kuoka,verbs,1.55
1723,ampolla,malengelenge,nouns,0.0
1724,aclarar,fafanua,verbs,4.55
1725,bolos,bowling,nouns,2.25
1726,alumno,rais,nouns,0.15
1727,banda,subira,nouns,0.05
1728,circunnavegación,mzunguko,nouns,0.55
1729,enfadado,mwenye furaha,adjectives,0.2
1730,rechazar,kukataa,verbs,1.6
1731,organizar,kuhitaji,verbs,0.25
1732,solicitud,maombi,nouns,2.0
1733,parte superior,chini,nouns,0.2
1734,molécula,hewa,nouns,0.65
1735,bien,salama,adjectives,0.2
1736,minuto,sekunde,nouns,2.65
1737,antiguo,mbivu,adjectives,0.05
1738,ancho,mkubwa,adjectives,2.55
1739,deslumbrar,kukondoa macho,verbs,0.4
1740,tren,treni,nouns,2.4
1741,luna,sayari,nouns,1.25
1742,década,karne,nouns,0.55
1743,feliz,wa ghadhabu,adjectives,0.25
1744,área,kanda,nouns,5.1
1745,lagartija,mjusi,nouns,0.38
1746,abeja,mdudu,nouns,2.6
1747,mosaico,mosaic,nouns,0.25
1748,patología,stadi ya magonjwa,nouns,2.25
1749,parte superior,upande,nouns,0.85
1750,posiblemente,inawezekana,adverbs,1.05
1751,mantener,kupa,verbs,0.45
1752,dibujar,kuchora,verbs,0.8
1753,freír,kukaanga,verbs,2.4
1754,advertir,onya,verbs,0.4
1755,mezclado,changanywa,adjectives,2.35
1756,pavo,ndege,nouns,3.2
1757,nube,mvuke,nouns,2.4
1758,ganar,shinda,verbs,0.15
1759,pasillo,mlango,nouns,0.55
1760,belleza,umri,nouns,0.35
1761,cursor,mshale,nouns,0.0
1762,a menudo,mara nyingi,adverbs,0.4
1763,calma,utulivu,adjectives,0.55
1764,de modo realista,kihalisia,adverbs,0.7
1765,centavo,peni,nouns,0.15
1766,unirse,kujipatia,verbs,0.45
1767,aceptar,kukana,verbs,0.1
1768,pellizcar,kufinya,verbs,0.35
1769,infección,maambukizo,nouns,0.85
1770,libro,biblia,nouns,2.4
1771,cuerpo,uti,nouns,0.5
1772,científico,muuguzi,nouns,0.35
1773,cadera,mdomo,nouns,0.3
1774,planeta,mwezi,nouns,1.25
1775,banco,kiti,nouns,4.05
1776,elección,uchaguzi,nouns,3.6
1777,reunir,kuhudhuria,verbs,0.7
1778,en tono rimbombante,umuhimu zaidi,adverbs,0.45
1779,canción,tuni,nouns,3.35
1780,oasis,oasisi,nouns,0.1
1781,sistema,mfumo,nouns,0.1
1782,algodón,pamba,nouns,0.45
1783,profesor,mwanafunzi,nouns,0.6
1784,molécula,atomu,nouns,2.6
1785,homófono,nyumba ya nyumbani,nouns,0.4
1786,sílaba,silabu,nouns,0.5
1787,agujero,mapatano,nouns,0.0
1788,noche,alfajiri,nouns,0.25
1789,techo,sakafu,nouns,0.45
1790,balada,wimbo,nouns,3.35
1791,una vez,mara moja,adverbs,1.4
1792,corredor,ushoroba,nouns,4.8
1793,conversión,uongofu,nouns,0.35
1794,tormenta de nieve,theluji kali,nouns,0.55
1795,lucha,kupigana,verbs,0.2
1796,fraude,uhalifu,nouns,3.05
1797,decoración,ukuta,nouns,0.55
1798,dolor,madhara,nouns,2.75
1799,casa,fleti,nouns,4.0
1800,ducha,shower,nouns,0.0
1801,manzana,peremende,nouns,0.45
1802,caña de azúcar,muwa,nouns,0.2
1803,difícil,bila jasho,adjectives,0.15
1804,repisa,mlima,nouns,1.15
1805,perejil,pasile,nouns,0.25
1806,mecánico,a kifundi,adjectives,0.6
1807,roble,mpera,nouns,1.1
1808,subrutina,subroutine,nouns,0.4
1809,erosionar,kumomonyoka,verbs,1.0
1810,cena,chakula,nouns,3.8
1811,rodela,ngao,nouns,0.75
1812,animal,mtu,nouns,0.45
1813,cono,kikombe,nouns,0.75
1814,noche,sura,nouns,0.35
1815,listo,mpumbavu,adjectives,0.2
1816,débiles,dhaifu,adjectives,0.0
1817,apropiado,rasmi,adjectives,2.3
1818,coche,teksi,nouns,4.05
1819,nube,wingu,nouns,0.35
1820,pierna,mkono,nouns,1.1
1821,genial,mbaya,adjectives,0.1
1822,aquí,papa hapa,adverbs,1.7
1823,choza,kibanda,nouns,0.75
1824,gato,mbwa,nouns,0.55
1825,ratón,chombo,nouns,0.05
1826,acústica,akustik,nouns,3.4
1827,robótica,roboti,nouns,0.45
1828,tarea,mwanamke,nouns,0.15
1829,lácteos,maziwa,nouns,0.25
1830,limón,matofaa,nouns,0.5
1831,manojo,umati,nouns,0.45
1832,entrar,kuondoka,verbs,0.1
1833,semental,mvulana,nouns,0.3
1834,luchar,kupigana,verbs,0.6
1835,región,eneo,nouns,4.05
1836,resistencia,bendi,nouns,0.05
1837,salida,mahali ya kutokea,nouns,0.05
1838,visón,manyoya,nouns,2.25
1839,robar,iba,verbs,0.45
1840,criminal,mhalifu,nouns,4.8
1841,bueno,nzuri,adjectives,0.0
1842,océano,bahari,nouns,3.5
1843,constitución,katiba,nouns,0.93
1844,regalo,zawadi,nouns,0.05
1845,gallina,batamzinga,nouns,0.85
1846,vuelo,ndege,nouns,2.95
1847,solicitante,mwombaji,nouns,2.0
1848,ir,kuuza,verbs,0.05
1849,aeropuerto,uwanja wa ndege,nouns,0.0
1850,editorial,uhariri,nouns,1.2
1851,decoración,mapambo,nouns,0.05
1852,ganar,kustahili,verbs,0.9
1853,pedir,kusihi,verbs,1.05
1854,observar,kutoa maoni,verbs,0.75
1855,significativo,muhimu,adjectives,0.1
1856,notificar,kutambua,verbs,0.8
1857,complacer,kusihi,verbs,0.55
1858,despreciar,kuchukia,verbs,0.6
1859,hoy,leo,adverbs,1.9
1860,cantar,kuimba,verbs,0.2
1861,enfado,ghadhabu,nouns,4.5
1862,cuerpo,neva,nouns,0.65
1863,secretario,mwanamke,nouns,0.5
1864,carro,mkokoteni,nouns,3.1
1865,obispo,askofu mkuu,nouns,3.75
1866,más allá,kuzimu,nouns,1.9
1867,puente,gari,nouns,0.15
1868,pie,kichwa,nouns,0.4
1869,perder,kuweka,verbs,0.05
1870,piso,sitaha,nouns,0.45
1871,amorfo,amofasi,adjectives,1.95
1872,mezcla,kuchanganya,verbs,0.3
1873,apartamento,fanicha,nouns,0.3
1874,techo,kanisa kuu,nouns,0.3
1875,tragar,meza,verbs,2.25
1876,desfile,bendi,nouns,2.0
1877,profesor,daktari,nouns,0.9
1878,autopista,gari,nouns,0.95
1879,menor,mdogo,adjectives,0.1
1880,costa,ufuko,nouns,3.67
1881,negrita,wa kujivunia,adjectives,0.15
1882,universidad,darasa,nouns,2.05
1883,península,peninsula,nouns,1.1
1884,efectivo,pesa,nouns,5.25
1885,pago,malipo,nouns,2.38
1886,inteligentemente,kwa akili,adverbs,0.85
1887,hormiga,nyuki,nouns,0.7
1888,puntero,kionyeshi,nouns,0.25
1889,controlar,kudhibiti,verbs,0.95
1890,recomendar,kushauri,verbs,4.35
1891,posiblemente,ikiwezekana,adverbs,3.85
1892,baño,chumba cha kulala,nouns,0.7
1893,pedir,kuomba,verbs,2.75
1894,capilla,mnara,nouns,0.55
1895,parcialidad,kubagua,verbs,2.4
1896,perro,paka,nouns,0.55
1897,destreza,akili,nouns,2.35
1898,administración,menejimenti,nouns,3.35
1899,quejar,kuleta,verbs,0.05
1900,bronquitis,ugonja wa bronchitis,nouns,0.55
1901,cárcel,chaguo,nouns,0.25
1902,obedecer,kutenda,verbs,2.2
1903,noche,mchana,nouns,0.7
1904,visión,ukweli,nouns,1.2
1905,moda,mtindo,nouns,2.7
1906,fresa,strouberi,nouns,1.6
1907,bar,zizi,nouns,0.65
1908,recoger,kuvuna,verbs,0.85
1909,pasión,hisia,nouns,2.95
1910,perder,kupata,verbs,0.2
1911,yo,hakika,nouns,0.75
1912,increíble,maradufu,adjectives,0.15
1913,tener éxito,kufeli,verbs,0.15
1914,espíritu,karne,nouns,0.05
1915,imprimir,kuchapisha,verbs,0.0
1916,ir,kuja,verbs,0.7
1917,relajado,kupumzika,adjectives,0.1
1918,jefe,meya,nouns,1.75
1919,diferencia,tofauti,nouns,0.4
1920,agarrar,kukamata,verbs,3.45
1921,ecosistema,mfumo wa ikolojia,nouns,0.35
1922,salir,kuingia,verbs,0.1
1923,curso,tumbo,nouns,0.1
1924,mensual,kila mwezi,adjectives,0.3
1925,detener,kusimamisha,verbs,1.63
1926,saber,kuelewa,verbs,3.85
1927,salida,mlangoni,nouns,1.75
1928,felicidad,bahati,nouns,0.45
1929,disfrutar,kufurahia,verbs,0.05
1930,ordinario,kawaida,adjectives,0.05
1931,perfectamente,kiukamilifu,adverbs,0.9
1932,pesticida,dawa ya wadudu,nouns,0.65
1933,asesorar,kushauri,verbs,3.95
1934,casa,ufunguo,nouns,0.7
1935,cerrar,kufunga,verbs,0.0
1936,gallina,ndege,nouns,2.5
1937,tarea,kazi,nouns,3.85
1938,recibir,kujipatia,verbs,2.65
1939,acetilcolina,acetylcholine,nouns,0.15
1940,increíble,kushangaza,adjectives,0.0
1941,condenar,laani,verbs,1.6
1942,pacíficamente,kwa amani,adverbs,2.1
1943,religión,dini,nouns,0.95
1944,enfadar,kuchukiza,verbs,0.65
1945,historia,kitabu,nouns,1.4
1946,irradiar,kumeremeta,verbs,3.75
1947,tristemente,kwa huzuni,adverbs,1.13
1948,cubierto,funikwa,adjectives,0.2
1949,nota,noti,nouns,0.9
1950,ven,kuhudhuria,verbs,2.5
1951,terminado,malizika,adjectives,3.3
1952,madera,karatasi,nouns,0.65
1953,exigir,kuandaa,verbs,0.25
1954,pacíficamente,kwa amani,adverbs,0.05
1955,enciclopedia,ensaiklopidia,nouns,2.6
1956,aeropuerto,ndege,nouns,1.55
1957,paraguas,mwavuli,nouns,0.1
1958,mía,machimbo,nouns,0.0
1959,cerca,uzio,nouns,0.2
1960,obvio,wa kuonekana,adjectives,4.35
1961,campo,uwanja,nouns,0.35
1962,lápiz,penseli,nouns,0.4
1963,permitir,kuruhusu,verbs,1.33
1964,a casa,nyumbani,adverbs,0.05
1965,princesa,kisiwa,nouns,0.05
1966,peligrosamente,kwa uhatari,adverbs,0.15
1967,bañera,gogo,nouns,0.0
1968,verdaderamente,kweli,adverbs,0.9
1969,servidor,mtumishi,nouns,2.95
1970,esposa,majani makavu,nouns,0.15
1971,precalentamiento,pasha kabla,nouns,0.9
1972,acción,mwendo,nouns,0.85
1973,feliz,ana hasira,adjectives,0.2
1974,ganado,ngombe,nouns,2.7
1975,polo,mlingoti,nouns,0.5
1976,flecha,lengo,nouns,0.95
1977,elección,oni,nouns,1.35
1978,censura,udhibiti,nouns,0.25
1979,participar,kujiunga,verbs,3.65
1980,estómago,kiuno,nouns,1.15
1981,harina,mkate,nouns,1.15
1982,cantante,mchezaji,nouns,0.65
1983,recoger,kuchukua,verbs,0.2
1984,últimamente,hivi majuzi,adverbs,4.4
1985,secuestrar,kuteka nyara,verbs,1.7
1986,buscar,kutazamia,verbs,1.5
1987,norte,kusini,nouns,0.3
1988,beber,kunywa,verbs,0.3
1989,agricultura,kilimo,nouns,1.2
1990,camafeo,kutokea kwenye onyesho,nouns,0.55
1991,estresado,kusisitiza,adjectives,0.1
1992,agudo,mbutu,adjectives,0.05
1993,acuerdo,makubaliano,nouns,5.3
1994,estómago,mwili,nouns,1.25
1995,muy,sana,adverbs,1.1
1996,inteligencia,mantiki,nouns,3.15
1997,ejecutar,kukuifungia,verbs,0.35
1998,vena,chombo,nouns,0.05
1999,disminuir,teremko,verbs,0.05
2000,celebrar,kusherekea,verbs,0.5
2001,brújula,dira,nouns,0.05
2002,nervio,akili,nouns,0.65
2003,vomitar,kutapika,verbs,0.0
2004,grande,mkubwa sana,adjectives,3.25
2005,rata,panya,nouns,4.1
2006,aburrido,wa kuchekesha,adjectives,0.1
2007,ansiosamente,kwa wasiwasi,adverbs,4.5
2008,profundidad,ukubwa,nouns,1.0
2009,asistir,kuja,verbs,2.5
2010,bote,sitaha,nouns,0.7
2011,escoger,kuteua,verbs,5.75
2012,pasillo,korido,nouns,4.8
2013,cabina,sanduku,nouns,0.65
2014,truco,saizi,nouns,0.0
2015,ignorante,mjinga,adjectives,0.0
2016,portón,mlango,nouns,5.0
2017,pronóstico,utabiri,nouns,0.8
2018,personaje,mhusika,nouns,2.7
2019,hija,kijana,nouns,1.0
2020,ropa,kabati,nouns,0.98
2021,cinturón,kitanzi,nouns,1.35
2022,tortuoso,njia za panya,adjectives,1.15
2023,literatura,kitabu,nouns,2.2
2024,pedir,hitaji,verbs,0.3
2025,improbable,sio rahisi,adverbs,0.0
2026,sangre,nyama,nouns,0.95
2027,comodidad,usalama,nouns,1.4
2028,aluminio,alumini,nouns,1.95
2029,belleza,uzuri,nouns,0.25
2030,pistola,bunduki,nouns,0.7
2031,carril,ua,nouns,0.4
2032,huésped,rafiki,nouns,0.85
2033,niño,mwanaume,nouns,0.55
2034,cola,jabali,nouns,0.0
2035,tambor,pembe,nouns,0.45
2036,esfera,mviringo,nouns,2.25
2037,agravar,kukuza,verbs,0.55
2038,ganador,bingwa,nouns,4.95
2039,becerro,fahali,nouns,2.25
2040,infeliz,ana hasira,adjectives,2.6
2041,gente,puto,nouns,0.25
2042,motel,hoteli,nouns,2.9
2043,sobrino,shangazi,nouns,0.4
2044,vinagre,saladi,nouns,0.65
2045,niebla,mvua,nouns,0.5
2046,maíz,nafaka,nouns,3.55
2047,cerebro,bongo,nouns,4.45
2048,teoría,kemia,nouns,0.65
2049,esmeradamente,kwa ufasaha,adverbs,1.35
2050,suave,nyororo,adjectives,0.25
2051,simplemente,kirahisi,adverbs,0.25
2052,tonto,mjinga,adjectives,4.65
2053,caramelo,peremende,nouns,0.55
2054,hidalgo,bibi,nouns,0.65
2055,espada,panga,nouns,0.05
2056,recibir,kutuma,verbs,0.45
2057,jefe,bosi,nouns,4.25
2058,diariamente,kila siku,adverbs,3.1
2059,entrenador,kocha,nouns,0.85
2060,camisa,shati,nouns,1.5
2061,fondo,mandharinyuma,nouns,1.65
2062,princesa,bibi arusi,nouns,0.55
2063,ignorar,kupuuza,verbs,0.0
2064,fuerte,wa kujivunia,adjectives,0.55
2065,guardián,mtu mzima,nouns,1.6
2066,artista,msanii,nouns,1.2
2067,gotear,dondoka,verbs,1.15
2068,reprimir,kukandamiza,verbs,0.85
2069,química,nadharia,nouns,0.65
2070,destrucción,ujenzi,nouns,0.2
2071,pago,ada,nouns,4.45
2072,tío,binamu,nouns,0.55
2073,ratón,ndezi,nouns,4.1
2074,cirugía,moyo,nouns,0.8
2075,coche,lifti,nouns,0.5
2076,encoger,kupunguza,verbs,3.95
2077,astuto,imara,adjectives,0.5
2078,biología,biolojia,nouns,0.8
