ID,CYM,YUE,PoS,score
1444,yn annibynnol,負責可靠地,adverbs,0.69
1445,teledu,溝通,nouns,0.49
1446,aseiniad,便條,nouns,0.53
1447,stêc,肉,nouns,3.64
1448,drws,鐘,nouns,0.48
1449,wedi ei dychryn,興奮,adjectives,1.18
1450,chwedl,諷刺,nouns,0.43
1451,mêl,糖,nouns,2.08
1452,dynwared,捕獲,verbs,0.0
1453,byth,否定,adjectives,0.66
1454,anhygoel,脏,adjectives,0.0
1455,digid,數,nouns,4.7
1456,afal,醬,nouns,0.38
1457,baner,旗幟學,nouns,0.76
1458,rhyddid,綠洲,nouns,0.35
1459,cadw,借,verbs,0.1
1460,twymyn,疾病,nouns,2.93
1461,syml,困難,adjectives,0.11
1462,ystafell wely,肚,nouns,0.04
1463,tlodi,財富,nouns,0.34
1464,rhagolwg,灰濛蒙,nouns,0.09
1465,gwaith celf,藝術家,nouns,1.06
1466,gwrthbrofi,允許,verbs,0.0
1467,ymbarél,品質,nouns,0.0
1468,potel,廣口瓶,nouns,3.13
1469,hwyliau,情感,nouns,2.79
1470,ymholi,想,verbs,0.64
1471,mynd i mewn,欠,verbs,0.1
1472,afal,檸檬,nouns,0.92
1473,edafedd,線,nouns,3.46
1474,estron,外國人,nouns,3.93
1475,byth,很少,adverbs,3.56
1476,benthyg,欠,verbs,1.18
1477,gwn,筆記本,nouns,0.0
1478,credu,知道,verbs,1.18
1479,dicter,狂怒,nouns,4.04
1480,ysgwyd,收集,verbs,0.0
1481,sâl,瘋,adjectives,0.2
1482,methu,打中,verbs,0.1
1483,euog,誠實,adjectives,0.18
1484,ffilm,虛無主義,nouns,0.09
1485,dadansoddi,比較,verbs,2.73
1486,yn bwysig,正式地,adverbs,1.56
1487,gwaelod,側面,nouns,0.68
1488,bathodyn,玻璃,nouns,0.09
1489,amddiffyn,冚住,verbs,0.86
1490,yn wael,謙遜地,adverbs,0.18
1491,yn gadarn,輕輕的,adverbs,0.24
1492,tafod,臉頰,nouns,0.53
1493,trychineb,意外,nouns,3.1
1494,cosbi,教,verbs,0.28
1495,tramorwr,翻譯者,nouns,0.29
1496,colli,煮,verbs,0.04
1497,miniog,溫和,adjectives,0.05
1498,mwtant,社會生物學,nouns,0.24
1499,anghwrtais,粗糙,adjectives,0.57
1500,gwn,毛,nouns,0.1
1501,yn wahanol,正常,adjectives,0.39
1502,wagen,馬車,nouns,4.09
1503,yn graff,成熟,adverbs,0.54
1504,car,街,nouns,0.67
1505,bwrw,懲罰,verbs,0.45
1506,esgus,描繪,verbs,0.39
1507,blanced,大風,nouns,0.0
1508,madfall,蛇,nouns,1.11
1509,llong ryfel,无畏舰,nouns,3.22
1510,yn ystyrlon,深度地,adverbs,1.27
1511,aros,離開,verbs,0.1
1512,anhrefnu,井井有條,verbs,0.1
1513,caled,困難,adjectives,5.32
1514,lleihau,淋透,verbs,0.04
1515,arferol,奇怪,adjectives,0.09
1516,gradd,學校,nouns,0.68
1517,erthygl,手稿,nouns,1.63
1518,swm,結合,nouns,0.28
1519,llawysgrif,書,nouns,1.16
1520,drws,地板,nouns,0.23
1521,merch,男人,nouns,0.72
1522,disg,電腦,nouns,1.04
1523,dŵr,加冕禮,nouns,0.0
1524,awyren,噴射機,nouns,3.98
1525,helmed,武器,nouns,1.22
1526,dadlau,同意,verbs,0.05
1527,dyweddïad,約定,nouns,0.55
1528,gwacáu,確定,verbs,0.0
1529,darganfod,探索,verbs,2.42
1530,ystafell wely,單車,nouns,0.0
1531,athro,學生,nouns,0.58
1532,modd,時裝,nouns,0.05
1533,cyflogwr,員工,nouns,0.53
1534,mynd i mewn,走,verbs,1.36
1535,stori,話題,nouns,0.96
1536,yn ysgafn,明亮地,adverbs,0.14
1537,gwraidd,草,nouns,0.43
1538,busnes,工業,nouns,2.27
1539,cenedlaethol,大,adjectives,0.3
1540,gwersyll,艙,nouns,0.63
1541,am ddim,無辜,adjectives,0.0
1542,siwmper,褸,nouns,2.31
1543,mae'n debyg,簡直,adverbs,0.52
1544,rhadlon,友好,adjectives,2.83
1545,wythnosol,每月,adjectives,1.18
1546,erlynydd,律師,nouns,3.27
1547,bws,車輛,nouns,2.59
1548,cafflo,欺騙,verbs,3.37
1549,mynd o'r golwg,消失,verbs,4.97
1550,siart,圖解,nouns,3.5
1551,parch,榮譽,nouns,2.71
1552,cryf,自豪,adjectives,0.53
1553,dal,收到,verbs,1.23
1554,unwaith,馬上,adverbs,0.64
1555,llawr,屋頂,nouns,0.34
1556,llyfr,資料,nouns,0.9
1557,cynghori,推介,verbs,3.45
1558,ystafell wely,廁所,nouns,1.27
1559,codi,提高,verbs,3.31
1560,reidio,拖著腳走,verbs,0.0
1561,gwerthu,交易,verbs,0.85
1562,unigryw,相反,adjectives,0.14
1563,cath,狗,nouns,0.87
1564,ffynhonnell,盒子,nouns,0.04
1565,trasiedi,死亡,nouns,1.19
1566,hyfforddwyr,獎章,nouns,0.2
1567,meddwl,嘗試,verbs,0.52
1568,dannedd,鎚,nouns,0.04
1569,galaeth,應用程式,nouns,0.0
1570,porth,門,nouns,3.96
1571,gwellt,任務,nouns,0.0
1572,yn drist,猛烈地,adverbs,0.15
1573,storm,雪,nouns,0.92
1574,bwrw,捏,verbs,0.87
1575,pen-blwydd,日期,nouns,1.55
1576,amrwd,無禮貌,adjectives,0.57
1577,llywydd,小學生,nouns,0.1
1578,hysbysu,通知,verbs,4.73
1579,brenhines,蜜蜂,nouns,0.05
1580,planhigyn,農業,nouns,0.8
1581,criced,支持者,nouns,0.1
1582,gair,頁,nouns,0.68
1583,sefyllfa,狀態,nouns,2.97
1584,llyfr,正文,nouns,1.0
1585,cyffrous,平淡,adjectives,0.23
1586,braf,開朗,adjectives,2.83
1587,byr,長,adjectives,0.18
1588,colli,得到,verbs,0.1
1589,brwydro,咬,verbs,0.28
1590,treth,收入,nouns,0.48
1591,bachgen,兒童,nouns,1.79
1592,ymaflyd,攞,verbs,2.11
1593,dewis,意見,nouns,1.01
1594,cynhwysydd,四輪貨運馬車,nouns,0.04
1595,ewythr,姨媽,nouns,1.23
1596,yn debygol,可能,adverbs,1.4
1597,ysgafn,尖,adjectives,0.05
1598,actor,電視,nouns,0.96
1599,pen,鼻子,nouns,0.54
1600,penelin,骨頭,nouns,0.83
1601,coffi,豆,nouns,0.68
1602,amaethyddiaeth,單一耕作,nouns,1.11
1603,salad,減肥,nouns,0.68
1604,mwsogl,草,nouns,1.97
1605,roboteg,模擬,nouns,0.38
1606,cleddyf,環境,nouns,0.0
1607,cylchfordaith,行李,nouns,0.23
1608,corff,手臂,nouns,0.86
1609,anghofio,知道,verbs,0.1
1610,poeni,浪費,verbs,0.0
1611,dyn,女人,nouns,0.42
1612,dathliad,儀式,nouns,2.37
1613,ffraeo,證明,verbs,0.0
1614,uno,劃分,verbs,0.05
1615,stopio,控制,verbs,0.43
1616,dweud,參與,verbs,0.0
1617,yn gyfforddus,容易地,adverbs,1.01
1618,annisgwyl,未預見到,adjectives,3.92
1619,yn achlysurol,經常地,adverbs,0.53
1620,sgwâr,地圖,nouns,0.23
1621,pennod,選擇,nouns,0.04
1622,ffôn,小亭,nouns,0.0
1623,ysgwydd,手臂,nouns,1.81
1624,diemwnt,錢,nouns,0.91
1625,yn annaturiol,負面地,adverbs,0.67
1626,mêr,血液,nouns,0.62
1627,niwrosis,頭腦,nouns,0.82
1628,pigo,選擇,verbs,4.33
1629,peilliad,蕊,nouns,1.05
1630,rhoi,偷,verbs,0.1
1631,yn annheg,公平,adverbs,0.1
1632,gwern,湖,nouns,1.92
1633,ymuno,連接,verbs,0.96
1634,cyrchwr,微晶片,nouns,0.04
1635,ale,街,nouns,2.9
1636,difetha,聞,verbs,0.0
1637,bawd,指甲,nouns,1.46
1638,collfarnu,拒絕,verbs,0.15
1639,archwilio,追求,verbs,0.6
1640,reis,豆,nouns,0.68
1641,amau,逮捕,verbs,0.23
1642,caws,麵包,nouns,0.57
1643,tymestl,毯,nouns,0.0
1644,cefn,尾巴,nouns,0.8
1645,prynu,付款,verbs,3.03
1646,mwslim,主教,nouns,0.24
1647,heulwen,蘋果,nouns,0.0
1648,chwerthin,傻笑,verbs,4.13
1649,tiwtora,教育,verbs,3.35
1650,gwyddonydd,護士,nouns,0.24
1651,ffatri,汽車,nouns,0.05
1652,dosbarthu,接受,verbs,0.05
1653,ungnwd,農業,nouns,1.11
1654,pêl,服裝,nouns,0.1
1655,gwan,強大,adjectives,0.04
1656,dinistrio,殺,verbs,2.69
1657,dadlau,不同,verbs,0.44
1658,mwnci,参加競選,nouns,0.09
1659,alltud,異族,nouns,3.93
1660,athronydd,賽跑,nouns,0.09
1661,presenoldeb,缺席,nouns,0.54
1662,diogel,乏味,adjectives,0.04
1663,llwy,果汁,nouns,0.23
1664,jet,飛機,nouns,3.98
1665,peiriannydd,工人,nouns,2.0
1666,tric,槍,nouns,0.0
1667,gweithred,遊戲,nouns,0.46
1668,braich,肌肉,nouns,0.57
1669,fel arfer,常規地,adverbs,3.87
1670,balchder,膽大,adjectives,1.38
1671,talwrn,副駕駛,nouns,0.14
1672,yn obeithiol,可能,adverbs,0.93
1673,tenis,統計資料,nouns,0.0
1674,cymdeithas,文化,nouns,0.92
1675,dan straen,輕鬆,adjectives,0.18
1676,dysgu,評估,verbs,0.34
1677,ystafell,沖涼,nouns,0.48
1678,dodrefn,床,nouns,2.27
1679,pren,石,nouns,0.37
1680,llyncu,喝,verbs,1.51
1681,preifat,個人,adjectives,3.81
1682,halen,水,nouns,0.2
1683,dryswch,歇斯底里,nouns,2.13
1684,bàth,氣球,nouns,0.0
1685,cyflwr,情況,nouns,2.97
1686,llong,靜脈,nouns,0.23
1687,ymgeisydd,申請,nouns,1.18
1688,rheolaidd,平均,adjectives,0.49
1689,jîns,女人,nouns,0.14
1690,anarchiaeth,混亂,nouns,3.74
1691,llynges,軍隊,nouns,3.58
1692,yn ddiffuant,平時,adverbs,0.43
1693,microsgop,生物學家,nouns,0.77
1694,meddu ar,吸收,verbs,0.29
1695,ymadael,分離,verbs,2.54
1696,awyrennaeth,航空電子學,nouns,3.88
1697,nôl rhywbeth,購買,verbs,0.4
1698,actor,女演員,nouns,3.77
1699,mynychu,拗撬,verbs,0.04
1700,hunan,自信,nouns,0.37
1701,afu,肺,nouns,0.73
1702,dal,捕獲,verbs,3.38
1703,yn feddal,堅固地,adverbs,0.24
1704,gwybod,給,verbs,0.04
1705,carbon,原子,nouns,0.98
1706,yn ddarostyngedig,自豪的,adverbs,0.18
1707,ymuno,合作,verbs,0.79
1708,pren,毯,nouns,0.0
1709,doniol,嚴肅,adjectives,0.09
1710,baglu,跌倒,verbs,4.44
1711,camera,總統,nouns,0.0
1712,cenllysg,雨,nouns,1.36
1713,gadael,允許,verbs,2.36
1714,anghorfforol,心靈,adjectives,0.71
1715,mynd  ,開始,verbs,0.2
1716,crwm,好鬥,adjectives,0.0
1717,wedi cyffroi,受驚,adjectives,1.18
1718,pêl,大炮,nouns,0.39
1719,sgriptiwr,電視,nouns,0.56
1720,cyfuniad,結合,nouns,2.74
1721,yn bwysig,認真地,adverbs,2.5
1722,gwawr,白天,nouns,1.82
1723,sesiwn,病人,nouns,0.32
1724,sudd,奶昔,nouns,0.87
1725,tywysog,國王,nouns,1.73
1726,yn dawel,自然地,adverbs,0.38
1727,duw,魔鬼,nouns,0.45
1728,danfon,接收,verbs,0.1
1729,glaw,薄霧,nouns,1.22
1730,blwch,小亭,nouns,0.05
1731,uchel,無禮貌,adjectives,0.38
1732,tad,兒子,nouns,1.45
1733,hurt,傻,adjectives,4.77
1734,yn fras,可靠地,adverbs,0.23
1735,ychydig,大致,adverbs,0.5
1736,trist,自豪,adjectives,0.1
1737,amhosib,可行,adjectives,0.44
1738,mawr,重,adjectives,0.82
1739,lens,相機,nouns,1.31
1740,gadael,撤退,verbs,3.45
1741,coch,藍色,adjectives,0.44
1742,côr,教堂,nouns,0.62
1743,ysbrydol,無實體,adjectives,0.71
1744,pellter,角度,nouns,0.33
1745,prin,異國情調,adjectives,0.74
1746,gwythïen,肚,nouns,0.29
1747,rhoi,斷絕父子關係,verbs,0.55
1748,cynllwyniwr,策略家,nouns,3.21
1749,goruchafiaeth,全能,nouns,1.27
1750,taith,征服,nouns,0.29
1751,deall,知道,verbs,3.26
1752,cinio,三文治,nouns,1.01
1753,gwallgof,瘋狂,adjectives,4.78
1754,ymennydd,神經,nouns,1.0
1755,menyn,土豆,nouns,0.15
1756,enillydd,冠軍,nouns,4.83
1757,cerddoriaeth,長笛,nouns,1.38
1758,gwirio,辯解,verbs,0.39
1759,cyfathrebu,電視,nouns,0.49
1760,ochr,頂,nouns,0.43
1761,cnawd,血液,nouns,0.68
1762,yn gyfeillgar,不會,adverbs,0.0
1763,bar,監獄,nouns,0.24
1764,mae'n debyg,明顯地,adverbs,1.13
1765,dant,嘴巴,nouns,0.82
1766,cysur,安全,nouns,0.55
1767,llenwi,蔑視,verbs,0.0
1768,pêl-fas,籃球,nouns,1.92
1769,geiriadur,定義,nouns,1.45
1770,coleg,職業,nouns,0.2
1771,corff,胸部,nouns,1.36
1772,gwefrydd,磁盤,nouns,0.0
1773,cywilydd,幸運,adjectives,0.04
1774,treisgar,嬲,adjectives,0.82
1775,masarnen,樹木,nouns,3.58
1776,dec,船,nouns,1.05
1777,metel,鋁,nouns,2.54
1778,ymosodol,無禮貌,adjectives,0.64
1779,menyw,任務,nouns,0.04
1780,jar,瓶子,nouns,3.13
1781,meddyg,大夫,nouns,4.8
1782,arbed,救援,verbs,5.03
1783,danfon,走,verbs,0.55
1784,yn derfynol,不同,adverbs,0.04
1785,yn deg,不公平,adverbs,0.1
1786,gwraig,一分錢,nouns,0.05
1787,gwybodaeth,熵,nouns,0.19
1788,tric,遊戲,nouns,0.68
1789,yn rheolaidd,偶然,adverbs,0.53
1790,cwrw,飲品,nouns,2.29
1791,rheiddiadur,傳感器,nouns,0.46
1792,morthwyl,牙,nouns,0.04
1793,anwybodaeth,智力,nouns,0.1
1794,ymddangos,假扮,verbs,0.33
1795,clymu,編織,verbs,1.15
1796,ymddeol,退出,verbs,0.38
1797,bwlch,雪茄,nouns,0.04
1798,cul,長,adjectives,0.52
1799,deiet,蘋果,nouns,0.63
1800,cyfreithiol,安全,adjectives,0.86
1801,llun,暴動,nouns,0.04
1802,siwgr,蜜糖,nouns,2.08
1803,fideo,戲,nouns,4.32
1804,papur newydd,字,nouns,0.8
1805,anaeddfed,不負責任,adjectives,1.31
1806,saeth,目標,nouns,0.8
1807,siryf,警察,nouns,3.06
1808,alcohol,白蘭地酒,nouns,2.97
1809,het,大褸,nouns,0.63
1810,rhesymol,清醒,adjectives,2.08
1811,rhythm,算術,nouns,0.0
1812,iâr,鳥,nouns,1.69
1813,eira,天氣,nouns,0.78
1814,nofel,作家,nouns,0.88
1815,sglodion,遊標,nouns,0.04
1816,cerbyd,巴士,nouns,2.59
1817,bacwn,肉,nouns,2.63
1818,ffabrig,衣服,nouns,1.94
1819,darllen,理解,verbs,0.67
1820,sugnwr gwaed,蝙蝠,nouns,1.0
1821,tudalen,段,nouns,0.57
1822,cebl,教堂,nouns,0.0
1823,gludedd,濺,nouns,0.0
1824,heb fod yn ddrud,便宜,adjectives,3.56
1825,tywysoges,島,nouns,0.0
1826,cael,留,verbs,0.55
1827,wedi tyfu,未成熟的,adjectives,0.1
1828,pibell,汽車,nouns,0.09
1829,doler,百萬富翁,nouns,0.53
1830,creu,賺,verbs,0.0
1831,derbyn,承認,verbs,2.9
1832,newydd,古老,adjectives,0.09
1833,anthropoleg,考古學,nouns,1.98
1834,mynach,神職人員,nouns,2.59
1835,arian,鑽石,nouns,0.91
1836,arbediad,儲蓄者,nouns,1.65
1837,caled,容易,adjectives,0.04
1838,gwn,黎明,nouns,0.0
1839,cyferbyn,獨特,adjectives,0.14
1840,cell,鎖起來,nouns,1.54
1841,estrys,果園,nouns,0.0
1842,gwerddon,自由,nouns,0.35
1843,moleciwl,基質,nouns,0.6
1844,terfysg,畫畫,nouns,0.04
1845,asgwrn,踝,nouns,0.88
1846,ffens,軌,nouns,0.05
1847,meddwl,查詢,verbs,0.64
1848,nant,河,nouns,3.74
1849,amlen,裝飾,nouns,0.0
1850,cwch,電動機,nouns,0.49
1851,wedi ei orchuddio,沒有冚住的,adjectives,0.04
1852,hyfforddwraig,播放機,nouns,0.2
1853,cymysg,舊,adjectives,0.24
1854,harddwch,十四行詩,nouns,0.15
1855,eirlithriad,雪,nouns,1.88
1856,crio,哭泣,verbs,4.54
1857,priffordd,車,nouns,0.85
1858,cyfarch,演出,verbs,0.0
1859,metel,錫,nouns,2.49
1860,balŵn,沖涼,nouns,0.0
1861,gwydr,徽章,nouns,0.09
1862,eirfwrdd,滑雪,nouns,1.31
1863,cred,印象,nouns,0.88
1864,aren,器官,nouns,3.03
1865,sobr,醉酒,adjectives,0.14
1866,anifail,野獸,nouns,3.28
1867,gadael,留,verbs,0.1
1868,rhad,不昂貴,adjectives,3.56
1869,dadlau,辯解,verbs,0.58
1870,peiriant,電腦,nouns,2.37
1871,tasg,工作,nouns,3.14
1872,môr,三角洲,nouns,0.87
1873,gwael,孤獨,adjectives,0.1
1874,ci,馬,nouns,1.18
1875,hedyn,芥末,nouns,0.7
1876,gwalch,鳥,nouns,2.78
1877,tasg,稻草,nouns,0.0
1878,porth,出口,nouns,2.73
1879,ysbyty,床,nouns,0.48
1880,ffug,真實,adjectives,0.18
1881,twp,頑固,adjectives,0.33
1882,blawd,麵包,nouns,0.82
1883,perfformiwr,歌曲,nouns,0.45
1884,bachgen,小孩,nouns,2.13
1885,band,遊行,nouns,0.68
1886,rhad,髒,adjectives,0.28
1887,ciledrych,怒視,verbs,0.04
1888,reidio,跑,verbs,0.14
1889,ailgynhesu,預熱,nouns,2.78
1890,ffôn,手提電話,nouns,4.38
1891,corff,肚,nouns,1.73
1892,basilica,馬賽克,nouns,0.35
1893,cymryd,奪取,verbs,2.11
1894,tasg,島,nouns,0.0
1895,natur,植物群,nouns,1.64
1896,dyweddïad,戒指,nouns,1.44
1897,blodyn,灌木,nouns,1.46
1898,cadw,擁有,verbs,2.08
1899,yn dawel,大聲地,adverbs,0.14
1900,hynafol,現代,adjectives,0.09
1901,dysgu,忘記,verbs,0.2
1902,plismon,政治家,nouns,0.15
1903,cynhwysydd,瓶子,nouns,2.83
1904,cyfreithiwr,銀行家,nouns,1.27
1905,caledwedd,案件,nouns,0.09
1906,car,高速公路,nouns,0.85
1907,tad,家長,nouns,2.95
1908,braich,身體,nouns,0.86
1909,dillad isaf,身體,nouns,0.46
1910,adnewid,更改,verbs,3.44
1911,claddu,死,verbs,1.05
1912,angen,安排,verbs,0.09
1913,cyfnewid,替換,nouns,3.5
1914,pêl-fasged,棒球,nouns,1.92
1915,eliffant,恐龍,nouns,0.28
1916,yn hapus,安全地,adverbs,0.41
1917,ymddangos,離開,verbs,0.1
1918,gorffen,競爭,verbs,0.09
1919,cot,衣服,nouns,1.98
1920,anhrefn,無政府,nouns,3.74
1921,brecwast,煙肉,nouns,0.57
1922,gwefus,臀部,nouns,0.19
1923,actores,演員,nouns,3.77
1924,gwarcheidwad,母親,nouns,2.65
1925,trefn,菜單,nouns,0.61
1926,post,速度,nouns,0.0
1927,rhif,數字,nouns,4.7
1928,newydd,最近,adjectives,2.5
1929,cefnogwr,蟋蟀,nouns,0.1
1930,goruchafiath,勝利,nouns,3.93
1931,aros,得到,verbs,0.55
1932,ffrio,烘烤,verbs,1.88
1933,dysgu,懲罰,verbs,0.28
1934,cicio,傷害,verbs,2.08
1935,llygoden,貓,nouns,0.43
1936,cynorthwyo,保護,verbs,1.92
1937,person,動物,nouns,0.28
1938,cwmwl,霧氣,nouns,2.63
1939,pryd bwyd,晚飯,nouns,3.0
1940,dinistr,建造,nouns,0.18
1941,cyngres,議會,nouns,2.83
1942,gofyn,祈禱,verbs,0.88
1943,sy'n dod i mewn,向外,adjectives,0.04
1944,gormesu,宣佈放棄,verbs,0.24
1945,baw,泥,nouns,5.27
1946,ffêr,骨頭,nouns,0.88
1947,oedolyn,嬰兒,nouns,0.28
1948,haul,天空,nouns,0.8
1949,dal,放走,verbs,0.78
1950,adfer,帶來,verbs,0.18
1951,car,軟管,nouns,0.09
1952,top,下面,nouns,0.15
1953,dal,模仿,verbs,0.0
1954,anghefnogi,失敗,verbs,0.33
1955,sgrîn,監控,nouns,0.53
1956,braisg,大,adjectives,3.49
1957,ebol,馬,nouns,3.63
1958,senedd,憲法,nouns,0.91
1959,llunio,做,verbs,3.44
1960,canu,大笑,verbs,0.38
1961,cyfarfod,打招呼,verbs,0.96
1962,matrics,向量,nouns,0.93
1963,busnes,公司,nouns,4.05
1964,greddf,感覺,nouns,3.94
1965,arwydd,象徵,nouns,4.11
1966,drws,地窖,nouns,0.19
1967,cartref,州,nouns,0.04
1968,difrifol,有趣,adjectives,0.09
1969,rhyfeddol,奇怪,adjectives,3.88
1970,bachgen,兒子,nouns,3.26
1971,angau,悲劇,nouns,1.19
1972,cath,兔子,nouns,1.32
1973,mawr,大規模,adjectives,3.49
1974,cywilydd,謙虛,adjectives,0.18
1975,persli,瑪芬,nouns,0.1
1976,moleciwl,原子,nouns,2.04
1977,tristwch,羞愧,nouns,1.83
1978,oedran,美人,nouns,0.24
1979,sensoriaeth,自由,nouns,0.1
1980,gwerthuso,分析,verbs,4.17
1981,yn wreiddiol,創造性地,adverbs,0.79
1982,cyw iâr,晚餐,nouns,0.54
1983,emyn,稻草,nouns,0.18
1984,bowlen,小巷,nouns,0.0
1985,ennill,成功,verbs,4.14
1986,ffrind,母親,nouns,0.78
1987,hysbysu,擦亮,verbs,0.0
1988,dianc,搵到,verbs,0.05
1989,afal,果汁,nouns,0.81
1990,myfyriwr,教授,nouns,0.58
1991,cyfaill,伴侶,nouns,3.74
1992,banereg,旗,nouns,0.76
1993,syniad,方案,nouns,3.44
1994,gwn,軍士,nouns,0.48
1995,ymdrech,困難,nouns,0.65
1996,trefnu,成為,verbs,0.09
1997,glaswellt,苔蘚,nouns,1.97
1998,pledio,乞求,verbs,3.77
1999,gwn,大炮,nouns,2.19
2000,yn gryf,正式,adverbs,0.42
2001,dirywio,抹,verbs,0.39
2002,bargen,便士,nouns,0.54
2003,mynachlog,沖涼,nouns,0.0
2004,heb ei ddatgelu,公開,adjectives,0.09
2005,prawf,判決書,nouns,2.5
2006,dydd ,晚上,nouns,0.24
2007,alwminiwm,金屬,nouns,2.54
2008,concwest,聖歌,nouns,0.0
2009,wedi ei orchuddio,穿著衣服的,adjectives,1.03
2010,baner,杆,nouns,0.71
2011,lleihau,收縮,verbs,3.0
2012,trafferthu,加劇,verbs,0.35
2013,yn syth,一次,adverbs,0.64
2014,sgleinio,通知,verbs,0.0
2015,blits,攻擊,nouns,3.19
2016,lema,音節,nouns,0.46
2017,bricsen,牆,nouns,1.01
2018,dur,合金,nouns,2.64
2019,dod,帶來,verbs,2.13
2020,sinamon,糖果,nouns,0.58
2021,yn heddychlon,冷靜地,adverbs,2.79
2022,talu,購買,verbs,3.03
2023,drwg,偉大,adjectives,0.04
2024,tywod,腳,nouns,0.1
2025,gwraig,沖涼,nouns,0.04
2026,cyflymder,郵件,nouns,0.0
2027,diog,忙碌,adjectives,0.09
2028,dis,立方體,nouns,2.85
2029,gardd,軟管,nouns,0.04
2030,cul,白色,adjectives,0.0
2031,ynad,法官,nouns,4.2
2032,hapus,瘋狂,adjectives,0.5
2033,gweddill,差數,nouns,3.06
2034,cymryd,離開,verbs,0.1
2035,calendr,假日,nouns,0.67
2036,ffonoleg,屏幕,nouns,0.0
2037,llenyddiaeth,詞,nouns,1.92
2038,yn hysbys,流行,adjectives,1.99
2039,gwybod,明白,verbs,3.26
2040,ysgwydd,頭,nouns,0.73
2041,yn agored,大規模,adverbs,0.53
2042,egni,電池,nouns,2.63
2043,llonydd,中性,adjectives,0.78
2044,yn debygol,積極地,adverbs,0.81
2045,siocled,派,nouns,0.29
2046,marwolaeth,葬禮,nouns,1.93
2047,cefnder,叔叔,nouns,1.07
2048,caffael,加入,verbs,0.1
2049,alaw,音樂,nouns,2.96
2050,brawd,姊妹,nouns,1.63
2051,cwmwl,湖,nouns,0.33
2052,encilio,降落,verbs,0.34
2053,yn drist,感情上,adverbs,1.37
2054,trychineb,死亡,nouns,1.45
2055,hyblyg,活動,adjectives,2.26
2056,cyfnewid,貨幣,nouns,0.57
2057,arestio,懷疑,verbs,0.23
2058,entropi,信息,nouns,0.19
2059,cydweithredu,參加,verbs,0.79
2060,gwerthu,提醒,verbs,0.0
2061,cyfreithlon,非法,adjectives,0.14
2062,modryb,侄子,nouns,1.04
2063,ynys,海軍,nouns,0.1
2064,tasg,女人,nouns,0.04
2065,banc,座位,nouns,0.05
2066,derwen,楓木,nouns,2.35
2067,yn gyfrinachol,信心十足地,adverbs,0.15
2068,mygu,擁抱,verbs,0.15
2069,tafod,喉,nouns,0.7
2070,cyflawni,贏得,verbs,1.65
2071,awdur,創造者,nouns,3.37
2072,nerfus,害怕,adjectives,3.3
2073,cerflun,雕塑,nouns,4.78
2074,gwrthod,承認,verbs,0.04
2075,cyfreithiwr,畫廊,nouns,0.0
2076,wal,裝飾,nouns,0.33
2077,eang,大,adjectives,3.25
2078,bioleg,解剖學,nouns,2.67
2079,chwilio,徘徊,verbs,1.08
2080,euog,壞,adjectives,0.88
2081,meddwl,神經官能症,nouns,0.82
2082,dewis,靜脈,nouns,0.04
2083,wedi ymlacio,強調,adjectives,0.18
2084,pont,卡,nouns,0.0
2085,wedi blino,無聊,adjectives,0.39
2086,teledu,演員,nouns,0.96
2087,darganfod,消失,verbs,0.05
2088,glaswelltir,草地,nouns,3.53
2089,rhifyddeg,韻律,nouns,0.0
2090,gwneuthurio,建造,verbs,3.44
2091,erydu,允許,verbs,0.0
2092,argymell,接受,verbs,0.2
2093,dwyn,購買,verbs,0.05
2094,gwrando,聽見,verbs,3.5
2095,egluro,討論,verbs,1.21
2096,cymysgu,打,verbs,0.55
2097,hiliaeth,排外主義,nouns,3.88
2098,cyfrifiadur,機器,nouns,2.37
2099,yn ofalus,目前,adverbs,0.18
2100,haf,冬天,nouns,0.49
2101,tywysogaeth,公國,nouns,1.36
2102,sefyll,步行,verbs,0.63
2103,llygredd,總統,nouns,0.0
2104,wal,城堡,nouns,0.43
2105,byw,生存,verbs,3.52
2106,terfyn,國境,nouns,3.92
2107,coroni,水,nouns,0.0
2108,yn ddiogel,高高興興地,adverbs,0.41
2109,harddwch,年齡,nouns,0.24
2110,firws,血液,nouns,0.57
2111,tynnu,創建,verbs,0.23
2112,diflas,尖,adjectives,0.19
2113,organ,腎,nouns,3.03
2114,gwythïen,選擇,nouns,0.04
2115,llyfr,手稿,nouns,1.16
2116,cymylog,預測,nouns,0.09
2117,parasetamol,支氣管炎,nouns,0.15
2118,prin,從未,adverbs,3.56
2119,pêl,球狀物,nouns,3.96
2120,yn gyfrifol,可靠,adverbs,3.4
2121,bod yn ddyledus,進入,verbs,0.1
2122,hir,狹窄,adjectives,0.52
2123,braich,腿,nouns,0.53
2124,lemwn,茶,nouns,0.48
2125,ffa,米飯,nouns,0.68
2126,hel,抓住,verbs,0.93
2127,cadair,床,nouns,1.21
2128,anodd,簡單,adjectives,0.18
2129,carreg,木,nouns,0.37
2130,ychwanegu,除,verbs,0.41
2131,ffêr,肘,nouns,0.72
2132,seren,明亮,nouns,1.82
2133,yn lleol,明顯地,adverbs,0.09
2134,y rhan fwyaf,主要,adverbs,3.0
2135,crocodeil,蜥蜴,nouns,1.5
2136,anghofio,無視,verbs,1.73
2137,curo,贏,verbs,3.92
2138,bwrdd,日落,nouns,0.0
2139,stumog,靜脈,nouns,0.29
2140,twf,肥料,nouns,0.72
