ID,EST,RUS,PoS,score
1442,säravalt,слегка,adverbs,0.3
1443,mitte kunagi,честно говоря,adverbs,0.0
1444,tõbi,инфекция,nouns,3.0
1445,korrapärane,беспорядочный,adjectives,0.4
1446,prohvet,священник,nouns,1.35
1447,tulema,прибывать,verbs,3.55
1448,armee,легион,nouns,2.55
1449,majandus,экосистема,nouns,0.95
1450,lift,автомобиль,nouns,0.75
1451,ratas,кожа,nouns,0.1
1452,realistlikult,недавно,adverbs,0.15
1453,pöial,кисть,nouns,1.25
1454,loll,редкий,adjectives,0.0
1455,meelde tuletama,забывать,verbs,0.35
1456,mänguasi,куб,nouns,0.7
1457,riided,пиджак,nouns,1.7
1458,segama,микшировать,verbs,1.5
1459,peenike,узкий,adjectives,2.7
1460,meelde tuletama,сказать,verbs,1.45
1461,motell,гостиница,nouns,4.0
1462,kandma,брать,verbs,0.7
1463,imeline,великолепный,adjectives,4.6
1464,vesi,коронация,nouns,0.1
1465,uber,такси,nouns,3.35
1466,advokaat,галерея,nouns,0.0
1467,teema,история,nouns,1.4
1468,aitama,просить,verbs,0.55
1469,lahkuma,оставаться,verbs,0.25
1470,segama,ездить,verbs,0.2
1471,toll,ярд,nouns,1.3
1472,hiir,контейнер,nouns,0.2
1473,vannituba,кухня,nouns,1.0
1474,seletama,прояснять,verbs,3.7
1475,etendus,математик,nouns,0.05
1476,päikeseloojang,строка,nouns,0.05
1477,puhas,безупречный,adjectives,3.85
1478,tsütoplasma,цифра,nouns,0.05
1479,ametlikult,сильно,adverbs,0.7
1480,abieluväline,неприличный,adjectives,0.6
1481,raha,жемчуг,nouns,0.4
1482,otsima,странствовать,verbs,1.55
1483,ignorantsus,ум,nouns,0.55
1484,lehekülg,абзац,nouns,1.3
1485,teadma,верить,verbs,1.2
1486,keel,закат,nouns,0.05
1487,korrutama,складывать,verbs,0.75
1488,teksad,женщина,nouns,0.3
1489,laps,мальчик,nouns,2.15
1490,uudised,носитель,nouns,0.9
1491,kohalolek,дверь,nouns,0.3
1492,aritmeetika,логика,nouns,1.4
1493,valik,мнение,nouns,1.1
1494,nüri,тоскливый,adjectives,3.15
1495,suur,тяжелый,adjectives,1.9
1496,imeline,потрясающий,adjectives,4.25
1497,meel,невроз,nouns,0.7
1498,vaikselt,естественно,adverbs,0.5
1499,tegema,прекращать,verbs,0.75
1500,klooster,душ,nouns,0.1
1501,kodutöö,задача,nouns,3.55
1502,olukord,состояние,nouns,3.05
1503,eine,талия,nouns,0.15
1504,rahvas,партия,nouns,1.15
1505,vaesus,богатство,nouns,0.5
1506,päev,ночь,nouns,0.65
1507,vöökoht,трапеза,nouns,0.15
1508,ennustama,полагать,verbs,2.0
1509,magus,электрический,adjectives,0.1
1510,auto,судно,nouns,0.7
1511,praadima,кипятить,verbs,0.8
1512,veri,вирус,nouns,0.95
1513,kroon,ключ,nouns,0.45
1514,koostööd tegema,участвовать,verbs,2.45
1515,sviiter,пиджак,nouns,1.4
1516,tšempion,победитель,nouns,4.95
1517,automobiil,машина,nouns,5.35
1518,taevas,солнце,nouns,1.25
1519,hambad,кость,nouns,1.7
1520,teenima,заслуживать,verbs,2.55
1521,andma,получать,verbs,0.45
1522,heegeldus,форма,nouns,0.4
1523,ebaregulaarselt,обычно,adverbs,0.25
1524,rõõmsameelne,восхитительный,adjectives,3.05
1525,hiilgav,отличный,adjectives,4.4
1526,keel,горло,nouns,1.0
1527,isa,дочь,nouns,1.0
1528,tõenäoliselt,возможно,adverbs,3.45
1529,tõesti,совершенно,adverbs,1.25
1530,ronima,путешествовать,verbs,1.25
1531,ratsionaliseerima,думать,verbs,1.9
1532,õun,лимон,nouns,0.9
1533,veiseliha,мясо,nouns,2.8
1534,jalg,голова,nouns,0.75
1535,täht,абзац,nouns,0.8
1536,usaldusväärselt,пассивно,adverbs,0.2
1537,lugema,укусить,verbs,0.1
1538,jõgi,долина,nouns,1.0
1539,leidma,исчезать,verbs,0.35
1540,kool,класс,nouns,1.25
1541,sünnipäev,год,nouns,1.25
1542,peatuma,ехать,verbs,0.35
1543,osalema,собираться,verbs,0.95
1544,korter,гостиница,nouns,0.95
1545,lihtsalt,видимо,adverbs,1.3
1546,supp,ужин,nouns,1.25
1547,arvamus,выбор,nouns,1.1
1548,katastroof,авария,nouns,4.05
1549,vähetähtis,значительный,adjectives,0.35
1550,ebaküps,взрослый,adjectives,0.25
1551,igapäevane,обычный,adjectives,5.45
1552,mõte,план,nouns,1.65
1553,rahulikult,мирно,adverbs,4.8
1554,keeruline,простой,adjectives,0.35
1555,kenasti,любезно,adverbs,3.9
1556,patoloogia,гематология,nouns,0.95
1557,ülioluline,важный,adjectives,3.65
1558,lagi,пол,nouns,0.9
1559,hotell,квартира,nouns,0.95
1560,väärima,зарабатывать,verbs,2.55
1561,puhtalt,полностью,adverbs,1.6
1562,trumm,рожок,nouns,0.95
1563,abiline,служанка,nouns,3.05
1564,peatuma,запрещать,verbs,0.75
1565,põlgama,обвинять,verbs,0.15
1566,ebamoraalne,плохой,adjectives,2.8
1567,määrama,эвакуировать,verbs,0.15
1568,vaenulikkus,агрессивность,nouns,4.45
1569,ilmuma,посещать,verbs,1.15
1570,sein,замок,nouns,1.1
1571,harva,никогда,adverbs,0.8
1572,minema,покидать,verbs,1.0
1573,vektor,матрица,nouns,1.4
1574,vein,алкоголь,nouns,2.2
1575,kallistama,выжимать,verbs,0.7
1576,näitleja,певец,nouns,1.5
1577,tsunaami,море,nouns,1.1
1578,miin,камень,nouns,0.1
1579,jooksma,ездить,verbs,0.6
1580,maatriks,вектор,nouns,1.4
1581,fonoloogia,экран,nouns,0.1
1582,sõna,словарь,nouns,1.25
1583,lonkama,ходить,verbs,1.6
1584,mõtisklema,думать,verbs,4.45
1585,kallis,стеснительный,adjectives,0.05
1586,täiskasvanud,незрелый,adjectives,0.25
1587,küps,изысканный,adjectives,0.8
1588,vaene,гордый,adjectives,0.35
1589,roos,бабочка,nouns,0.5
1590,elevant,компас,nouns,0.55
1591,osalema,приходить,verbs,2.05
1592,fakt,доказательство,nouns,3.25
1593,alustama,прекращать,verbs,0.35
1594,spirituaalne,бестелесный,adjectives,3.45
1595,vangla,пруток,nouns,0.7
1596,võrdlema,анализировать,verbs,3.25
1597,mitte nõustuma,бороться,verbs,1.15
1598,looma,представлять,verbs,1.1
1599,rahul,рассерженный,adjectives,0.35
1600,keha,нижняя одежда,nouns,0.55
1601,organ,печень,nouns,2.05
1602,globalism,виза,nouns,0.7
1603,vaba,невинный,adjectives,0.55
1604,jätma,встретить,verbs,0.0
1605,printsess,невеста,nouns,1.0
1606,jakk,свитер,nouns,1.4
1607,andma,разрешать,verbs,1.95
1608,vana,свежий,adjectives,0.15
1609,kõri,язык,nouns,1.0
1610,lahkuma,подождать,verbs,0.2
1611,rahulik,нейтральный,adjectives,2.25
1612,tõsiselt,искренне,adverbs,1.3
1613,arreteerima,подозревать,verbs,0.8
1614,kutt,девушка,nouns,0.55
1615,jää,снег,nouns,2.6
1616,mõis,скульптор,nouns,0.35
1617,lennuk,простынь,nouns,0.15
1618,varras,занавеска,nouns,0.55
1619,sinine,красный,adjectives,0.3
1620,vastupidavus,цветок,nouns,0.15
1621,õnnelik,молодой,adjectives,0.5
1622,massiivselt,открыто,adverbs,0.3
1623,alumiinium,металл,nouns,2.25
1624,tool,кровать,nouns,0.55
1625,ära tõukama,отрекаться,verbs,2.75
1626,teispoolsus,чистилище,nouns,1.6
1627,viisa,глобализм,nouns,0.7
1628,televisioon,кино,nouns,2.5
1629,meri,океан,nouns,2.45
1630,sidrun,яблоко,nouns,0.9
1631,suhkruroog,комбайн,nouns,0.55
1632,valimisõigus,выход,nouns,0.15
1633,instrument,скрипка,nouns,2.45
1634,pehmelt,громко,adverbs,0.1
1635,ümbrik,украшение,nouns,0.35
1636,loputama,мыть,verbs,2.95
1637,naps,век,nouns,0.0
1638,sõna,литература,nouns,1.35
1639,alkohol,бренди,nouns,2.3
1640,terav,гладкий,adjectives,0.45
1641,mosaiik,базилика,nouns,0.5
1642,poliitik,президент,nouns,2.75
1643,osalema,посылать,verbs,0.45
1644,saama,организовывать,verbs,0.5
1645,kaitsma,помогать,verbs,2.15
1646,lõbu,футбол,nouns,0.95
1647,molekul,воздух,nouns,0.95
1648,tooma,нести,verbs,2.15
1649,maks,орган,nouns,2.05
1650,operatsioon,сердце,nouns,0.7
1651,minema,позволять,verbs,0.35
1652,hoomama,удовлетворять,verbs,0.3
1653,uhke,высокомерный,adjectives,2.9
1654,puudumine,пристуствие,nouns,0.7
1655,auto,улица,nouns,0.8
1656,korrutama,делить,verbs,0.4
1657,kompilaator,подпрограмма,nouns,1.45
1658,sent,размер,nouns,0.65
1659,punane,синий,adjectives,0.3
1660,imelikult,иначе,adverbs,1.75
1661,hädasti,быстро,adverbs,3.25
1662,neelatama,хлебать,verbs,2.45
1663,mitte kunagi,отрицательный,adjectives,1.45
1664,süüdi,честный,adjectives,0.4
1665,ühtlaselt,иногда,adverbs,0.35
1666,sekretär,женщина,nouns,1.0
1667,elastne,гибкий,adjectives,4.25
1668,heidutama,подбодрять,verbs,0.1
1669,öö,рассвет,nouns,1.2
1670,võlgnema,входить,verbs,0.05
1671,antropoloogia,археология,nouns,1.1
1672,kaduma,пропадать,verbs,5.15
1673,ignoreerima,избегать,verbs,4.05
1674,ökosüsteem,экономика,nouns,0.95
1675,salaja,уверенно,adverbs,0.4
1676,autojuht,пилот,nouns,1.85
1677,ilmuma,становиться,verbs,0.7
1678,rannik,берег,nouns,3.55
1679,kümnend,эпоха,nouns,1.65
1680,amorfne,бесформенный,adjectives,3.9
1681,kuju,скульптура,nouns,4.3
1682,süüdistama,лгать,verbs,0.35
1683,kukkuma,ушибить,verbs,1.2
1684,suhtlus,беседа,nouns,4.3
1685,nüri,захватывающий,adjectives,0.1
1686,lõdvestunud,напряжённый,adjectives,0.35
1687,jäik,ранимый,adjectives,0.25
1688,au andma,выступать,verbs,0.7
1689,kuulama,узнавать,verbs,1.25
1690,rand,риф,nouns,0.9
1691,närv,тело,nouns,0.65
1692,kritiseerima,замечать,verbs,1.55
1693,molekul,атом,nouns,1.25
1694,karp,электричество,nouns,0.5
1695,raamat,тема,nouns,0.83
1696,keetma,жарить,verbs,0.8
1697,harva,обычно,adverbs,0.3
1698,auto,карета,nouns,1.2
1699,alumiinium,банка,nouns,0.7
1700,valge,узкий,adjectives,0.1
1701,hämmastav,грязный,adjectives,0.25
1702,valk,ручка,nouns,0.0
1703,eitama,соглашаться,verbs,0.2
1704,sigar,трубка,nouns,1.4
1705,minema,приходить,verbs,0.9
1706,lõpetama,заканчивать,verbs,2.0
1707,auto,грузовик,nouns,2.8
1708,veenma,спорить,verbs,2.7
1709,prokurör,адвокат,nouns,1.45
1710,vabastama,спасать,verbs,4.25
1711,vanem,отец,nouns,3.2
1712,agressioon,враждебность,nouns,4.45
1713,seletama,доказывать,verbs,2.65
1714,ehitamine,разрушение,nouns,0.6
1715,õhtueine,трапеза,nouns,3.25
1716,onu,тетя,nouns,1.2
1717,märkima,критиковать,verbs,1.55
1718,õudne,плохой,adjectives,3.3
1719,naine,секретарь,nouns,1.0
1720,laskuma,уменьшаться,verbs,0.75
1721,mitte nõustuma,соглашаться,verbs,0.3
1722,kandma,рвать,verbs,0.05
1723,siduma,объединять,verbs,3.4
1724,ilukirjandus,биография,nouns,1.25
1725,analüüsima,сравнивать,verbs,3.25
1726,matmine,смерть,nouns,1.55
1727,koletis,демон,nouns,4.1
1728,põud,вода,nouns,0.55
1729,vabastama,выселять,verbs,0.95
1730,rada,тоннель,nouns,0.9
1731,liha,хлеб,nouns,0.55
1732,uurima,обнаруживать,verbs,2.6
1733,kast,источник,nouns,0.0
1734,nuga,ружье,nouns,1.8
1735,videvik,вечер,nouns,3.55
1736,edu saavutama,пытаться,verbs,0.85
1737,raev,злость,nouns,4.6
1738,taotlema,искать,verbs,1.0
1739,liha,кровь,nouns,1.1
1740,mees,муж,nouns,3.1
1741,sotsiobioloogia,мутант,nouns,0.6
1742,neelama,пить,verbs,1.9
1743,ohvitser,лейтенант,nouns,1.35
1744,müüma,занимать,verbs,0.35
1745,võidusõit,философ,nouns,0.0
1746,allkirjastama,плавать,verbs,0.05
1747,valik,глава,nouns,0.7
1748,rajaleidja,лучник,nouns,0.6
1749,põõsas,цветок,nouns,1.25
1750,kino,опера,nouns,0.7
1751,nutma,рыдать,verbs,4.05
1752,kitsas,широкий,adjectives,0.2
1753,hümn,завоевание,nouns,0.15
1754,kindlustunne,самость,nouns,1.8
1755,rahu,солдат,nouns,0.5
1756,pesapall,баскетбол,nouns,1.2
1757,hüsteeria,помрачение,nouns,2.35
1758,tagasi lükkama,принимать,verbs,0.35
1759,rahulikult,решительно,adverbs,0.55
1760,hävitama,спасти,verbs,0.15
1761,hajuma,разъедать,verbs,0.85
1762,matkama,лазить,verbs,1.25
1763,kõht,спальня,nouns,0.1
1764,muru,мох,nouns,1.6
1765,õepoeg,тетя,nouns,1.0
1766,senat,конституция,nouns,0.85
1767,iil,покрывало,nouns,0.25
1768,saama,делать,verbs,1.15
1769,otsing,цель,nouns,1.2
1770,tõld,платформа,nouns,1.5
1771,ootamatu,непредвиденный,adjectives,5.35
1772,kavatsema,пытаться,verbs,2.7
1773,džinn,виски,nouns,1.65
1774,mitte kunagi,щедро,adverbs,0.1
1775,korv,мяч,nouns,0.8
1776,aktiivselt,счастливо,adverbs,0.85
1777,hing,бог,nouns,1.45
1778,raam,удар,nouns,0.25
1779,teooria,химия,nouns,0.95
1780,võti,замок,nouns,1.2
1781,tehislik,фальшивый,adjectives,4.0
1782,korraldama,организовывать,verbs,5.0
1783,rahvas,ружье,nouns,0.1
1784,süntaks,заглавное слово,nouns,0.65
1785,tööstus,предприятие,nouns,1.85
1786,lisama,умножать,verbs,0.75
1787,tõend,факт,nouns,3.25
1788,vasikas,бык,nouns,1.85
1789,häbenev,виноватый,adjectives,2.25
1790,surmavalt,иначе,adverbs,0.15
1791,kindlus,стена,nouns,1.1
1792,linnapea,глава,nouns,2.6
1793,käekott,сумка,nouns,4.0
1794,abistama,ассистировать,verbs,4.6
1795,naine,джинсы,nouns,0.3
1796,kontrollima,останавливать,verbs,0.6
1797,nautima,ненавидеть,verbs,0.05
1798,ülesanne,автострада,nouns,0.2
1799,ühtne,бесформенный,adjectives,0.3
1800,seelik,часы,nouns,0.2
1801,võti,дом,nouns,0.9
1802,võtma,получать,verbs,1.7
1803,kardin,карниз,nouns,0.55
1804,legend,мораль,nouns,0.65
1805,käsi,палец,nouns,1.25
1806,mahl,молочный коктейль,nouns,0.9
1807,põlv,кость,nouns,1.15
1808,patarei,энергия,nouns,1.8
1809,ranne,рука,nouns,1.75
1810,mõtlema,помнить,verbs,1.3
1811,lennuk,вертолет,nouns,1.75
1812,näima,приворяться,verbs,2.75
1813,positiivselt,наверное,adverbs,0.5
1814,kindlalt,тайно,adverbs,0.4
1815,tehas,автомобиль,nouns,0.45
1816,orkaan,буря,nouns,4.05
1817,turvama,защищать,verbs,4.35
1818,oluline,незначительный,adjectives,0.35
1819,vesi,засуха,nouns,0.55
1820,šovinist,предубеждение,nouns,1.25
1821,kabel,шпиль,nouns,1.4
1822,täpselt,активно,adverbs,0.25
1823,kaetud,непокрытый,adjectives,0.3
1824,hematoloogia,патология,nouns,0.95
1825,krõmpsutama,щёлкать,verbs,1.6
1826,kohv,боб,nouns,1.1
1827,uks,пол,nouns,0.9
1828,jalgpall,американский футбол,nouns,2.7
1829,tüütu,безопасный,adjectives,0.25
1830,kirjandus,слово,nouns,1.35
1831,arst,самообладание,nouns,0.25
1832,neer,орган,nouns,2.15
1833,tugevalt,официально,adverbs,0.7
1834,ebatõenäoline,дружелюбно,adverbs,0.0
1835,vihm,морось,nouns,4.15
1836,sõdur,мальчик,nouns,0.9
1837,kiire,скоростной,adjectives,4.0
1838,evakueerima,определить,verbs,0.15
1839,vägi,сила,nouns,4.0
1840,number,число,nouns,4.6
1841,loomulikult,тихо,adverbs,0.5
1842,printsess,остров,nouns,0.0
1843,saavutama,преуспевать,verbs,3.4
1844,anuma,угождать,verbs,0.6
1845,õppima,забывать,verbs,0.35
1846,ühendama,связывать,verbs,3.4
1847,õpilane,учитель,nouns,1.1
1848,parandama,восстановить,verbs,3.65
1849,märgatav,очевидный,adjectives,3.1
1850,õlu,алкоголь,nouns,2.45
1851,basiilika,мозаика,nouns,0.5
1852,viisakas,приличный,adjectives,3.1
1853,maatriks,молекула,nouns,0.85
1854,hellitama,хранить,verbs,2.15
1855,pritsess,бисквит,nouns,0.05
1856,imperaator,губернатор,nouns,1.2
1857,lammas,скот,nouns,2.5
1858,närv,мозг,nouns,1.4
1859,päästma,выручать,verbs,4.25
1860,korporatsioon,дверь,nouns,0.15
1861,karusnahk,ружье,nouns,0.35
1862,aitama,защищать,verbs,2.15
1863,jumal,отец,nouns,0.8
1864,ülesanne,задание,nouns,3.55
1865,palk,древесина,nouns,3.1
1866,põngerjas,дочь,nouns,1.15
1867,avalik,неизвестный,adjectives,0.5
1868,meierei,мед,nouns,0.25
1869,võitma,завершать,verbs,0.9
1870,preester,монах,nouns,2.7
1871,seaduserikkuja,преступник,nouns,4.75
1872,kass,мышка,nouns,0.65
1873,pakt,соглашение,nouns,4.65
1874,unustama,прощать,verbs,1.0
1875,kolonel,дантист,nouns,0.05
1876,tihedalt,твердо,adverbs,2.15
1877,otsustama,представлять,verbs,0.7
1878,uks,ворота,nouns,3.45
1879,lugu,тема,nouns,1.4
1880,kasvatama,расширяться,verbs,3.15
1881,ärkama,храпеть,verbs,0.65
1882,lubama,опровергать,verbs,0.05
1883,pilv,окно,nouns,0.35
1884,vaher,дуб,nouns,1.05
1885,heelium,воздух,nouns,1.55
1886,patsient,сессия,nouns,0.55
1887,esinema,приветствовать,verbs,0.7
1888,võrevoodi,колыбель,nouns,3.6
1889,nõustuma,различаться,verbs,0.2
1890,kodus,далеко,adverbs,0.45
1891,kirjanik,роман,nouns,1.15
1892,lükkama,тянуть,verbs,0.6
1893,leotama,уменьшить,verbs,0.25
1894,lööma,ущипнуть,verbs,1.1
1895,hertsogkond,княжество,nouns,2.4
1896,vihane,счастливый,adjectives,0.15
1897,rahvahulk,орава,nouns,4.75
1898,kindel,самоуверенный,adjectives,2.95
1899,pruut,жених,nouns,1.0
1900,lahkuma,присоединиться,verbs,0.15
1901,ühinema,покидать,verbs,0.15
1902,tass,кувшин,nouns,1.15
1903,sassis,порядоченный,adjectives,0.4
1904,mehed,братство,nouns,0.75
1905,teleskoop,стул,nouns,0.0
1906,ostma,платить,verbs,1.75
1907,hirmunud,стеснительный,adjectives,1.1
1908,sile,острый,adjectives,0.45
1909,seisma,ходить,verbs,0.35
1910,uba,бекон,nouns,0.35
1911,paindlik,эластичный,adjectives,4.25
1912,ihaldama,хотеть,verbs,5.1
1913,jõllitama,щуриться,verbs,1.0
1914,kitsas,грязный,adjectives,0.25
1915,korjandus,развитие,nouns,0.25
1916,kannatused,отчаяние,nouns,2.1
1917,puit,бумага,nouns,1.15
1918,kaaspiloot,полицейский,nouns,0.15
1919,ignorantne,обычный,adjectives,0.25
1920,hävitama,создавать,verbs,0.45
1921,suur,крупный,adjectives,4.75
1922,armee,флот,nouns,2.5
1923,tunnus,достоинство,nouns,0.2
1924,maks,легкое,nouns,0.95
1925,pall,ракетка,nouns,1.15
1926,reostus,атмосфера,nouns,0.8
1927,munk,священник,nouns,2.7
1928,tooma,посылать,verbs,0.45
1929,advokaat,прокурор,nouns,1.45
1930,erinema,спорить,verbs,0.75
1931,käelaba,запястье,nouns,2.1
1932,abikaasa (naine),солома,nouns,0.0
1933,lehm,коза,nouns,0.8
1934,kerge,гибкий,adjectives,1.6
1935,värske,новый,adjectives,3.7
1936,lihas,кость,nouns,1.05
1937,juur,трава,nouns,0.9
1938,väide,критика,nouns,1.15
1939,relv,мех,nouns,0.35
1940,kiirus,пост,nouns,0.15
1941,muusika,флейта,nouns,1.05
1942,energia,батарейка,nouns,1.8
1943,strateeg,комбинатор,nouns,2.5
1944,koor,церковь,nouns,1.45
1945,mõni,пара,nouns,4.55
1946,proovima,достигать,verbs,1.45
1947,eelarvamus,мнение,nouns,2.6
1948,hiiglasuur,тупой,adjectives,0.1
1949,õlg,голова,nouns,0.85
1950,kaos,анархия,nouns,3.75
1951,lumi,снежный обвал,nouns,1.6
1952,läbikukkumine,банкротство,nouns,2.3
1953,imepisike,огромный,adjectives,0.25
1954,algama,идти,verbs,0.45
1955,varastama,давать,verbs,0.15
1956,triivima,течь,verbs,1.35
1957,käsi,ноготь,nouns,1.2
1958,nüri,скучающий,adjectives,2.2
1959,kallama,отекать,verbs,0.65
1960,metsamajake,хижина,nouns,3.6
1961,kohane,вежливый,adjectives,3.1
1962,naerma,петь,verbs,0.3
1963,aritmeetika,ритм,nouns,0.75
1964,hobune,собака,nouns,0.6
1965,sekularist,религия,nouns,1.1
1966,maantee,дорога,nouns,4.4
1967,aasta,юбилей,nouns,1.25
1968,tolmendamine,тычинка,nouns,1.6
1969,hävitama,создавать,verbs,0.35
1970,president,мэр,nouns,1.15
1971,sihtmärk,стрела,nouns,0.9
1972,palk,дерево,nouns,2.9
1973,sõna,страница,nouns,0.75
1974,apelsin,цитрус,nouns,3.65
1975,kritiseerima,ненавидеть,verbs,1.0
1976,ebatavaline,редкий,adjectives,3.95
1977,lubama,давать,verbs,1.95
1978,tüdruk,парень,nouns,0.55
1979,karjuma,спорить,verbs,0.7
1980,lisama,делить,verbs,0.2
1981,arvamus,идея,nouns,2.3
1982,paar,чета,nouns,4.55
1983,nahkhiir,вампир,nouns,0.6
1984,vinge,плохой,adjectives,0.2
1985,segama,встряхивать,verbs,1.7
1986,luu,шея,nouns,0.6
1987,näts,мята,nouns,0.55
1988,viha,ярость,nouns,4.6
1989,mood,форма,nouns,0.85
1990,kaneel,конфеты,nouns,0.6
1991,lahustama,смешивать,verbs,1.2
1992,uudised,редакционный,nouns,0.75
1993,sõber,приятель,nouns,4.35
1994,imenduma,учиться,verbs,0.6
1995,kohtunik,суд,nouns,1.6
1996,päikesetõus,закат,nouns,0.85
1997,kuulama,подчиняться,verbs,1.25
1998,haigusetekitaja,микроб,nouns,4.15
1999,ajaleht,информация,nouns,1.85
2000,soetama,украсть,verbs,0.35
2001,sammal,трава,nouns,1.6
2002,alkohol,джин,nouns,2.15
2003,kohalolek,отсутствие,nouns,0.7
2004,või,картофель,nouns,0.8
2005,puit,камень,nouns,0.65
2006,tegu,игра,nouns,1.95
2007,kiiresti,срочно,adverbs,3.25
2008,mutant,социобиология,nouns,0.6
2009,haigus,жар,nouns,1.75
2010,autor,создатель,nouns,4.9
2011,hakk,птица,nouns,2.15
2012,päästma,тонуть,verbs,0.45
2013,mõtlema,решать,verbs,2.1
2014,tähestik,ручка,nouns,0.55
2015,tõstma,повышать,verbs,2.25
2016,sulgema,срыгивать,verbs,0.0
2017,kinnas,мяч,nouns,0.25
2018,trikk,ружье,nouns,0.25
2019,marginaalselt,грубо,adverbs,0.45
2020,klaas,хрусталь,nouns,2.35
2021,igakuine,еженедельный,adjectives,0.7
2022,liha,стейк,nouns,4.2
2023,ohutult,счастливо,adverbs,0.85
2024,ärritama,противодействовать,verbs,1.0
2025,brändi,алкоголь,nouns,2.3
2026,modernne,старинный,adjectives,0.35
2027,põhiseadus,император,nouns,0.6
2028,kana,птица,nouns,1.9
2029,selgitama,объяснять,verbs,3.7
2030,bioloog,микроскоп,nouns,1.15
2031,tamm,клен,nouns,1.05
2032,laps,девочка,nouns,1.6
2033,nina,рот,nouns,1.05
2034,veski,семя,nouns,1.05
2035,siin,сейчас,adverbs,1.45
2036,laulja,актер,nouns,1.5
2037,teater,батарейка,nouns,0.2
2038,õiglus,суд,nouns,1.75
2039,näidik,автомобиль,nouns,1.05
2040,poiss,брат,nouns,1.55
2041,jumaldama,восхищаться,verbs,4.15
2042,ekseem,дерматит,nouns,3.15
2043,õnnelikult,безопасно,adverbs,0.85
2044,varjend,хижина,nouns,1.45
2045,tabamus,рамка,nouns,0.25
2046,lill,куст,nouns,1.25
2047,rõõmustav,радостный,adjectives,3.05
2048,ebavajalik,необходимый,adjectives,0.3
2049,süüdi,плохой,adjectives,0.9
2050,tass,ложка,nouns,1.0
2051,mõistma,прощать,verbs,2.15
2052,kaotama,сохранять,verbs,0.25
2053,panema,вешать,verbs,1.05
2054,erinevus,остаток,nouns,1.05
2055,poliitik,полицейский,nouns,0.35
2056,saama,брать,verbs,1.45
2057,viga,система,nouns,0.35
2058,tunnistama,говорить,verbs,1.15
2059,vabastama,ловить,verbs,0.45
2060,president,политик,nouns,2.75
2061,kamp,толпа,nouns,3.1
2062,kaduma,сжиматься,verbs,1.3
2063,kokkukutsumine,сбор,nouns,3.9
2064,laps,мужчина,nouns,0.95
2065,mees,победитель,nouns,0.7
2066,oluliselt,серьезно,adverbs,2.2
2067,tolm,метла,nouns,1.2
2068,mast,флаг,nouns,1.1
2069,looja,изготовитель,nouns,3.95
2070,hiir,управление,nouns,0.35
2071,hõljuma,петь,verbs,0.05
2072,hoidma,занимать,verbs,0.35
2073,bioloogia,анатомия,nouns,1.75
2074,ankur,лодка,nouns,1.05
2075,hümn,солома,nouns,0.0
2076,paratsetamol,бронхит,nouns,0.9
2077,relv,народ,nouns,0.1
2078,julgustama,отговаривать,verbs,0.1
2079,lõvi,кот,nouns,1.2
2080,mõte,мнение,nouns,2.3
2081,ajastu,десятилетие,nouns,1.65
2082,kaart,бридж,nouns,0.65
2083,pudel,баллончик,nouns,1.15
2084,klaviatuur,свет,nouns,0.1
2085,klaver,гармония,nouns,0.85
2086,menüü,заказ,nouns,1.1
2087,süütu,наивный,adjectives,1.35
2088,jõgi,поток,nouns,1.35
2089,osoon,атмосфера,nouns,1.9
2090,pruut,принцесса,nouns,1.0
2091,piibel,книга,nouns,1.55
2092,omama,хранить,verbs,1.7
2093,teavitama,признавать,verbs,0.9
2094,kael,позвоночник,nouns,1.55
2095,sõjamees,мужчина,nouns,1.6
2096,kõrs,жена,nouns,0.0
2097,ülestunnistus,отрицание,nouns,0.55
2098,teemaviide,тема,nouns,2.75
2099,telefon,потерпевший,nouns,0.15
2100,otsustamata,нейтральный,adjectives,1.1
2101,alati,дважды,adverbs,0.05
2102,vann,жена,nouns,0.0
2103,teesklema,воображать,verbs,1.8
2104,peapiiskop,епископ,nouns,3.3
2105,akustika,звук,nouns,2.95
2106,flööt,музыка,nouns,1.05
2107,jakk,одежда,nouns,1.7
2108,põrand,потолок,nouns,0.9
2109,lahkuma,входить,verbs,0.25
2110,jalaga lööma,ушибить,verbs,2.1
2111,käsi,плечо,nouns,1.4
2112,võitja,кандидат,nouns,1.0
2113,mahl,ложка,nouns,0.45
2114,vann,шар,nouns,0.1
2115,putukas,пестицид,nouns,1.0
2116,müts,коробка,nouns,0.4
2117,pilv,погода,nouns,1.15
2118,pastakas,алфавит,nouns,0.55
2119,tõenäoliselt,положительно,adverbs,0.5
2120,lisama,соединять,verbs,1.45
2121,võileib,обед,nouns,1.0
2122,uhke,печальный,adjectives,0.05
2123,pall,сфера,nouns,1.65
2124,tagasi lükkama,осуждать,verbs,0.7
2125,näima,становиться,verbs,0.85
2126,aru saama,знать,verbs,2.25
2127,loom,человек,nouns,1.15
2128,uhke,бедный,adjectives,0.35
2129,tõsiselt,важно,adverbs,2.2
2130,pigistama,обнимать,verbs,0.7
2131,keskpärane,плохой,adjectives,1.45
2132,töö,инструмент,nouns,1.05
2133,põiktänav,шар,nouns,0.0
2134,sassis,уродливый,adjectives,0.9
2135,arvuti,диск,nouns,1.0
2136,räpane,липкий,adjectives,1.9
2137,miljardär,бездомный,nouns,0.45
2138,võitma,доминировать,verbs,1.85
