ID,EST,YUE,PoS,score
1470,tulemus,水平,nouns,1.32
1471,keemia,理論,nouns,0.54
1472,suur,國民,adjectives,0.45
1473,pagema,逃走,verbs,5.33
1474,mobiiltelefon,電話,nouns,4.23
1475,helde,善良,adjectives,2.15
1476,stsenarist,電視,nouns,1.01
1477,võitlus,征服,nouns,1.36
1478,raam,打,nouns,0.39
1479,moodus,時裝,nouns,0.5
1480,rahutult,緊張地,adverbs,3.99
1481,ilmselgelt,肯定地,adverbs,3.45
1482,ebaseaduslik,合法,adjectives,0.44
1483,tunnistama,判斷,verbs,0.55
1484,käsi,靜脈,nouns,0.49
1485,anuma,請,verbs,0.33
1486,orkester,樂隊,nouns,3.47
1487,otsing,目標,nouns,0.89
1488,laadija,磁盤,nouns,0.15
1489,pöörane,瘋,adjectives,5.08
1490,igakuine,每週,adjectives,1.32
1491,õpetaja,學生,nouns,1.1
1492,öö,黎明,nouns,1.07
1493,kops,肝,nouns,0.83
1494,kalts,衣服,nouns,2.28
1495,kaklema,咬,verbs,0.78
1496,raha,現金,nouns,4.79
1497,auto,坦克,nouns,0.86
1498,ära ütlema,拒絕,verbs,4.36
1499,ühendama,劃分,verbs,0.55
1500,segama,喝,verbs,0.34
1501,tool,床,nouns,1.36
1502,ajaleht,字,nouns,1.05
1503,küüs,拇指,nouns,1.5
1504,harva,平時,adverbs,0.34
1505,jooma,提高,verbs,0.4
1506,tugevus,能力,nouns,3.09
1507,haiget tegema,踢,verbs,2.22
1508,negatiivselt,非自然,adverbs,0.86
1509,paar,情侶,nouns,3.5
1510,toores,核突,adjectives,0.76
1511,ette kujutama,假扮,verbs,0.84
1512,tormama,匆忙,verbs,4.43
1513,sihtmärk,箭頭,nouns,0.9
1514,uppuma,救,verbs,0.45
1515,eksam,教學大綱,nouns,1.15
1516,kana,米飯,nouns,0.63
1517,ellu jääma,生活,verbs,2.97
1518,aktsepteerima,承認,verbs,3.15
1519,märk,俱樂部,nouns,0.39
1520,lämbuma,呼吸,verbs,0.71
1521,saavutama,嘗試,verbs,0.73
1522,kurb,可怕,adjectives,0.54
1523,hakk,鳥,nouns,2.98
1524,lahkuma,留,verbs,0.29
1525,pärima,需要,verbs,0.45
1526,saatma,接收,verbs,0.34
1527,alustama,開始,verbs,3.92
1528,relv,刀,nouns,2.21
1529,küsima,幫忙,verbs,0.45
1530,lift,汽車,nouns,0.44
1531,suur,大規模,adjectives,3.69
1532,nurjuma,失去,verbs,1.46
1533,pall,籃子,nouns,0.49
1534,juht,經理,nouns,3.65
1535,riided,抽屜,nouns,0.72
1536,poliitik,總統,nouns,3.15
1537,kurvalt,猛烈地,adverbs,0.34
1538,tsensuur,自由,nouns,0.24
1539,lõng,線,nouns,2.61
1540,külm,普通,adjectives,0.2
1541,mööbel,床,nouns,2.37
1542,poliitik,警察,nouns,0.29
1543,kolb,發動機,nouns,1.21
1544,erinevalt,終末,adverbs,0.15
1545,kallis,懶,adjectives,0.2
1546,haru,手臂,nouns,0.3
1547,nurjuma,使氣餒,verbs,0.83
1548,järgima,調查,verbs,1.15
1549,raamat,主題,nouns,0.63
1550,sigar,煙鬥,nouns,0.54
1551,süüa tegema,混合,verbs,0.63
1552,mugavus,安全,nouns,0.7
1553,vihkama,喜愛,verbs,0.14
1554,au,敬重,nouns,2.66
1555,õppekava,考試,nouns,1.15
1556,imenduma,擁有,verbs,0.58
1557,otsima,狩獵,verbs,1.47
1558,tähelepanu,意識,nouns,2.71
1559,sportlane,賽跑運動員,nouns,3.35
1560,süda,手術,nouns,0.67
1561,veok,郵包,nouns,0.74
1562,püüdma,收到,verbs,1.13
1563,lehekülg,段,nouns,1.07
1564,halvenema,抹,verbs,0.14
1565,rahvas,元,nouns,0.05
1566,plekitu,清潔,adjectives,4.65
1567,palk,錢,nouns,3.66
1568,hommikusöök,晚餐,nouns,1.75
1569,palk,沖涼,nouns,0.0
1570,akustika,聲音,nouns,3.08
1571,voolik,花園,nouns,0.49
1572,jumal,父親,nouns,0.24
1573,ilmne,明顯,adjectives,5.0
1574,magamistuba,廁所,nouns,1.02
1575,molekul,原子,nouns,1.89
1576,elevant,恐龍,nouns,0.58
1577,kino,電視,nouns,2.51
1578,kriket,支持者,nouns,0.04
1579,trikk,尺寸,nouns,0.05
1580,kole,亂,adjectives,1.17
1581,poeg,男孩子,nouns,2.76
1582,võtma,交付,verbs,0.85
1583,tooma,抱怨,verbs,0.05
1584,teesklema,想像,verbs,0.84
1585,jumal,獵物,nouns,0.1
1586,sosistama,說話,verbs,1.69
1587,sõjakus,戰鬥,nouns,1.07
1588,ohtlikult,小心地,adverbs,0.29
1589,roos,蝴蝶,nouns,0.24
1590,langetama,减少,verbs,3.22
1591,õnn,和平,nouns,2.62
1592,küpsis,公主,nouns,0.05
1593,portreteerima,假扮,verbs,0.55
1594,korraldama,收集,verbs,0.79
1595,energia,電池,nouns,2.13
1596,keha,血液,nouns,1.02
1597,takso,巴士,nouns,2.08
1598,sidrun,蘋果,nouns,0.87
1599,elektriline,甜,adjectives,0.1
1600,tööandja,工作者,nouns,0.97
1601,võmm,警長,nouns,3.62
1602,õli,貂,nouns,0.24
1603,andestama,忘記,verbs,0.39
1604,käsi,肌肉,nouns,0.97
1605,koridor,過道,nouns,4.14
1606,monarhia,民主,nouns,0.6
1607,süsteemiplaat,主機板,nouns,3.62
1608,lennujaam,片,nouns,0.0
1609,majandus,生態系統,nouns,0.73
1610,abielluma,團結,verbs,0.97
1611,tehing,便士,nouns,0.14
1612,triivima,流,verbs,1.57
1613,meri,海嘯,nouns,1.52
1614,lisama,除,verbs,0.52
1615,neer,器官,nouns,2.78
1616,rand,海滨,nouns,3.22
1617,täpselt,不準確地,adverbs,0.29
1618,kaitsma,殺,verbs,0.3
1619,töötaja,僱主,nouns,0.88
1620,lahkuma,出現,verbs,0.24
1621,üdi,血液,nouns,0.92
1622,võitja,存在,nouns,0.39
1623,trell,監獄,nouns,0.74
1624,ostma,付款,verbs,2.88
1625,vaidlema,出席,verbs,0.15
1626,sassis,井然有序,adjectives,0.34
1627,pritsess,國王,nouns,1.74
1628,unustama,知道,verbs,0.24
1629,atsetüülkoliin,鳶尾花,nouns,0.35
1630,haistma,溺愛,verbs,0.0
1631,arst,正牙醫生,nouns,3.29
1632,riided,衣櫃,nouns,0.86
1633,niit,草原,nouns,4.43
1634,usaldusväärselt,被動地,adverbs,0.2
1635,ebaviisakas,批評,adjectives,0.92
1636,mööda lööma,打中,verbs,0.45
1637,monokultuur,農業,nouns,1.76
1638,ratsionaalne,清醒,adjectives,2.88
1639,uurima,追求,verbs,1.15
1640,sinep,種子,nouns,1.1
1641,poiss,小孩,nouns,2.53
1642,preester,僧侶,nouns,2.59
1643,ehitama,加,verbs,0.77
1644,pool,下面,nouns,0.68
1645,vägivaldne,激進,adjectives,2.35
1646,liha,三明治,nouns,0.59
1647,keedetud,煮好,adjectives,0.77
1648,tüdinud,平淡,adjectives,2.36
1649,loom,人,nouns,0.93
1650,vahepeal,每當,adverbs,0.92
1651,pottsepatöö,陶瓷,nouns,3.34
1652,vana,新鮮,adjectives,0.1
1653,valjult,猛烈地,adverbs,1.86
1654,poolsaar,島,nouns,2.34
1655,püsimatu,年輕,adjectives,0.6
1656,aktsia,資產,nouns,3.08
1657,kätte toimetama,攜帶,verbs,2.34
1658,ülesanne,稻草,nouns,0.1
1659,neuroos,頭腦,nouns,0.82
1660,kalkun,母雞,nouns,1.84
1661,tegu,遊戲,nouns,1.21
1662,küpselt,正直地,adverbs,0.54
1663,kaneel,糖果,nouns,0.58
1664,ühinema,連接,verbs,0.76
1665,valvur,男人,nouns,1.15
1666,valem,等式,nouns,3.22
1667,leib,小麥粉,nouns,0.92
1668,rakendus,星系,nouns,0.1
1669,tapma,毀滅,verbs,2.54
1670,tädi,叔叔,nouns,0.97
1671,maasikas,櫻桃,nouns,1.92
1672,nutma,大笑,verbs,0.6
1673,imik,成人,nouns,0.63
1674,paat,甲板,nouns,0.76
1675,põhiseadus,參議院,nouns,0.96
1676,hõivatud,懶,adjectives,0.24
1677,veen,肚,nouns,0.29
1678,küüs,手,nouns,0.96
1679,kõrgus,換算,nouns,0.15
1680,kutt,朋友,nouns,1.3
1681,salaja,信心十足地,adverbs,0.4
1682,otseloomulikult,不顯眼地,adverbs,0.29
1683,haigutama,醒覺,verbs,0.5
1684,mõni,一對,nouns,3.5
1685,laine,天氣,nouns,0.24
1686,müüma,走,verbs,0.2
1687,täielikult,輕微,adverbs,0.65
1688,raha,鑽石,nouns,1.01
1689,miljonär,元,nouns,0.63
1690,voodi,椅子,nouns,1.36
1691,portreteerima,決定,verbs,0.2
1692,ülikool,校園,nouns,2.13
1693,raske,困難,adjectives,5.03
1694,vannituba,廚房,nouns,0.83
1695,mõnikord,肯定地,adverbs,0.1
1696,rand,海岸,nouns,3.46
1697,põletama,扼殺,verbs,0.43
1698,arutama,說明,verbs,1.56
1699,seletama,討論,verbs,1.56
1700,uus,古老,adjectives,0.29
1701,olukord,狀態,nouns,3.63
1702,loll,聰明,adjectives,0.39
1703,kõri,舌頭,nouns,1.1
1704,tegema,賺,verbs,0.35
1705,makse,獎勵,nouns,0.53
1706,kihluma,結婚,verbs,2.21
1707,mäng,戲法,nouns,1.03
1708,viiul,吉他,nouns,1.92
1709,põrand,屋頂,nouns,0.64
1710,rahutu,不耐煩,adjectives,3.58
1711,luu,牙齒,nouns,2.05
1712,sisenema,走,verbs,1.02
1713,rahvahulk,遊行,nouns,1.45
1714,kurjategija,犯罪者,nouns,5.13
1715,nakkus,詞性變化,nouns,0.09
1716,ökosüsteem,經濟,nouns,0.73
1717,kuulma,察覺,verbs,1.51
1718,vappumine,地震,nouns,3.12
1719,kalkun,鳥,nouns,2.24
1720,kast,資源,nouns,0.04
1721,õpetaja,幫手,nouns,1.13
1722,mõõk,王座,nouns,0.3
1723,konseptsioon,信念,nouns,1.45
1724,vanduma,承諾,verbs,3.47
1725,sisalik,蛇,nouns,1.41
1726,pööraselt,大聲地,adverbs,1.86
1727,kong,房間,nouns,1.13
1728,juhtuma,出現,verbs,1.97
1729,sigaret,煙草,nouns,3.27
1730,topoloogia,結構,nouns,0.8
1731,test,試驗,nouns,4.33
1732,päike,天空,nouns,1.21
1733,teema,主題標籤,nouns,3.12
1734,vöö,環,nouns,1.64
1735,rütm,算術,nouns,0.65
1736,liha,血液,nouns,0.68
1737,lind,鷹,nouns,2.98
1738,kool,法律,nouns,0.38
1739,lahendama,完成,verbs,2.76
1740,erinema,同意,verbs,0.24
1741,haigla,床,nouns,0.73
1742,võileib,肉,nouns,0.59
1743,teras,合金,nouns,3.29
1744,raamat,話題,nouns,0.45
1745,viisakas,合乎體統,adjectives,3.44
1746,kiir,陽光,nouns,1.07
1747,õpilane,老師,nouns,1.1
1748,hobune,牛,nouns,1.56
1749,vend,姊妹,nouns,1.32
1750,peekon,豆,nouns,0.25
1751,skulptor,大廈,nouns,0.1
1752,hädaline,缺乏信心,adjectives,1.07
1753,lääts,相機,nouns,1.16
1754,tapeet,背景,nouns,2.49
1755,iga,美人,nouns,0.45
1756,brändi,酒,nouns,3.02
1757,äsja,現實地,adverbs,0.47
1758,paindlik,謙虛,adjectives,0.48
1759,abiline,女僕,nouns,2.39
1760,kontrollima,調查,verbs,3.59
1761,jakk,針織套衫,nouns,2.26
1762,uba,米飯,nouns,0.88
1763,vend,父親,nouns,1.48
1764,keskkond,劍,nouns,0.0
1765,ühtne,未成形,adjectives,0.3
1766,innovatiivne,有創意,adjectives,4.13
1767,kardin,竿,nouns,0.29
1768,lõpetama,競爭,verbs,0.29
1769,sünnipäev,年,nouns,1.01
1770,kiiver,武器,nouns,1.12
1771,vana,新,adjectives,0.44
1772,segama,煮,verbs,0.63
1773,kael,骨頭,nouns,0.63
1774,sarnane,相像,adjectives,3.75
1775,edu saavutama,節約,verbs,0.3
1776,õppemaks,獎學金,nouns,1.06
1777,meri,三角洲,nouns,0.87
1778,teleskoop,椅子,nouns,0.04
1779,flööt,音樂,nouns,1.38
1780,õpilane,總統,nouns,0.24
1781,kunstiteos,藝術家,nouns,1.16
1782,töö,任務,nouns,3.19
1783,saama,抓住,verbs,1.13
1784,heldelt,從未,adverbs,0.15
1785,märgatav,明顯,adjectives,4.25
1786,kohv,豆,nouns,0.97
1787,vektor,矩陣,nouns,0.93
1788,arst,醫生,nouns,5.0
1789,seeme,芥末,nouns,1.1
1790,passiivselt,可靠地,adverbs,0.2
1791,rannik,濱,nouns,3.29
1792,male,檢查,nouns,0.75
1793,kallistama,扼殺,verbs,0.39
1794,riis,男孩,nouns,0.1
1795,tagasi lükkama,譴責,verbs,0.49
1796,üliõpilane,教授,nouns,0.69
1797,režissöör,攝影,nouns,1.33
1798,massiivselt,公開地,adverbs,0.38
1799,lumi,天氣,nouns,0.92
1800,petersell,瑪芬,nouns,0.24
1801,algama,起源,verbs,2.44
1802,pigem,可能,adverbs,1.65
1803,ruumikas,大,adjectives,3.69
1804,tavaline,難以置信,adjectives,0.3
1805,härrasmees,女士,nouns,0.91
1806,oskus,智力,nouns,1.9
1807,nisu,穀物,nouns,3.09
1808,ilm,波浪,nouns,0.24
1809,heaks kiitma,准許,verbs,3.53
1810,vali,無禮貌,adjectives,1.13
1811,meri,河流,nouns,1.89
1812,koridor,走道,nouns,4.13
1813,kohalikult,明顯地,adverbs,0.14
1814,tüdruk,小孩,nouns,2.03
1815,kokpit,副駕駛,nouns,0.69
1816,maantee,任務,nouns,0.1
1817,domineerima,克服,verbs,0.3
1818,lind,母雞,nouns,1.54
1819,korporatsioon,男人,nouns,1.55
1820,rahu,幸福,nouns,2.62
1821,viga,系統,nouns,0.34
1822,näima,變成,verbs,0.61
1823,klaaspurk,杯子,nouns,1.64
1824,sõrm,腳趾,nouns,0.97
1825,ronima,遠足,verbs,1.31
1826,tegema,發生,verbs,0.54
1827,nõustuma,不同意,verbs,0.34
1828,pall,球拍,nouns,0.92
1829,ühtlaselt,有時,adverbs,0.34
1830,organ,腎,nouns,2.78
1831,käsiraamat,指南,nouns,3.19
1832,pärinema,發現,verbs,0.48
1833,meteoor,地心吸力,nouns,0.68
1834,kaamera,鏡片,nouns,1.16
1835,lennuseadmeteadus,航空學,nouns,3.18
1836,mägi,窗台,nouns,0.55
1837,teavitama,描繪,verbs,0.1
1838,õrnalt,明亮地,adverbs,0.43
1839,rahumeelselt,自豪地,adverbs,0.63
1840,mees,武士,nouns,1.4
1841,ignorantsus,智力,nouns,0.34
1842,intelligentne,聰明,adjectives,4.63
1843,puit,紙,nouns,0.97
1844,kivi,木,nouns,0.87
1845,nutikas,笨,adjectives,0.53
1846,kergelt,舒服地,adverbs,1.21
1847,märk,象徵,nouns,4.26
1848,mitte kunagi,誠實地,adverbs,0.0
1849,liha,牛肉,nouns,3.13
1850,omandama,得到,verbs,4.12
1851,ruupor,鼓,nouns,0.88
1852,meeleolu,情感,nouns,3.49
1853,kurvalt,感情上,adverbs,1.17
1854,diivan,棒球,nouns,0.1
1855,haiget tegema,攻擊,verbs,2.75
1856,julgustama,使氣餒,verbs,0.05
1857,hambaarst,正牙醫生,nouns,4.77
1858,voodi,幼兒床,nouns,3.73
1859,pahkluu,窗口,nouns,0.09
1860,põhi,側面,nouns,0.68
1861,öö,章節,nouns,0.05
1862,meeleheide,苦難,nouns,3.07
1863,räpane,黏,adjectives,1.27
1864,ilu,十四行詩,nouns,0.35
1865,kõndima,跛行,verbs,2.47
1866,sisalik,鱷魚,nouns,2.3
1867,kindlalt,清楚地,adverbs,3.59
1868,ostma,偷,verbs,0.3
1869,legend,道德,nouns,0.39
1870,kohtuma,打招呼,verbs,1.26
1871,imlselgelt,大致,adverbs,0.65
1872,elama,生存,verbs,2.97
1873,kurv,角度,nouns,1.71
1874,kannatamatult,大致,adverbs,0.38
1875,alkohol,啤酒,nouns,3.4
1876,kaduma,收縮,verbs,1.21
1877,leebe,尖,adjectives,0.15
1878,lärm,搖鈴,nouns,2.03
1879,maantee,車,nouns,1.01
1880,tool,望遠鏡,nouns,0.04
1881,relv,毛,nouns,0.34
1882,diivan,椅子,nouns,2.4
1883,ausalt,忠誠地,adverbs,3.64
1884,päästma,淹,verbs,0.45
1885,meierei,蜜糖,nouns,0.29
1886,lahkuma,進入,verbs,0.29
1887,rikkumata,謙虛,adjectives,0.69
1888,mõistma,聽,verbs,0.74
1889,soovima,慾望,verbs,4.07
1890,arst,脾氣,nouns,0.28
1891,muretsema,浪費,verbs,0.15
1892,põud,水,nouns,0.3
1893,puur,船,nouns,0.04
1894,tuli,西洋棋,nouns,0.75
1895,taotlus,申請人,nouns,0.97
1896,laps,男孩,nouns,2.04
1897,lõbu,足球,nouns,0.58
1898,jalg,肢體,nouns,2.58
1899,ajurünnak,望遠鏡,nouns,0.04
1900,lahkuma,等待,verbs,0.1
1901,tööandja,員工,nouns,0.88
1902,unustama,保留,verbs,0.34
1903,nöör,電線,nouns,1.07
1904,radar,操縱桿,nouns,0.29
1905,compass,大象,nouns,0.6
1906,õhtu,黃昏,nouns,4.41
1907,umbes,容易地,adverbs,0.77
1908,laulja,合唱,nouns,1.06
1909,preester,天神,nouns,1.02
1910,arendus,募捐,nouns,0.34
1911,vahekäik,走廊,nouns,4.13
1912,kael,脊柱,nouns,1.98
1913,rumal,笨,adjectives,4.71
1914,rahvastik,人,nouns,3.0
1915,kenasti,仁慈地,adverbs,4.08
1916,äsja,目前,adverbs,3.63
1917,lagi,地板,nouns,0.78
1918,laps,女孩,nouns,2.03
1919,põlgama,討厭,verbs,3.32
1920,kallistama,摟抱,verbs,4.57
1921,alumiinium,金屬,nouns,2.44
1922,klubi,社會,nouns,0.45
1923,siiralt,誠實地,adverbs,4.63
1924,andma,偷,verbs,0.2
1925,õppima,忘記,verbs,0.29
1926,hool,謹慎,nouns,3.81
1927,looja,製作者,nouns,3.94
1928,segatud,舊,adjectives,0.24
1929,suvi,冬天,nouns,0.64
1930,vaidlus,討論,nouns,3.37
1931,kõht,腹部,nouns,2.19
1932,ideaalselt,現實地,adverbs,0.49
1933,kool,年級,nouns,1.08
1934,saar,海軍,nouns,0.2
1935,bronhiit,對乙酰氨基酚,nouns,0.5
1936,eitama,說謊,verbs,0.82
1937,hiiglasuur,笨,adjectives,0.19
1938,treener,播放機,nouns,0.7
1939,heameelt tegema,求情,verbs,0.33
1940,kuupäev,生日,nouns,1.96
1941,regulaarselt,偶然,adverbs,0.97
1942,abikaasa (mees),老婆,nouns,2.79
1943,ebaregulaarselt,平時,adverbs,0.38
1944,päikeseloojang,日出,nouns,0.87
1945,osoon,大氣層,nouns,2.78
1946,dollar,人,nouns,0.05
1947,siidiuss,毛毛蟲,nouns,2.58
1948,tõenäoliselt,積極地,adverbs,0.81
1949,orkester,遊行,nouns,0.68
1950,solvama,得罪,verbs,3.38
1951,vend,男孩,nouns,2.41
1952,meelt lahutama,享受,verbs,1.79
1953,avatult,大規模,adverbs,0.38
1954,varastama,給,verbs,0.2
1955,lihas,手臂,nouns,0.97
1956,selgroog,頸,nouns,1.98
1957,ignoreerima,問,verbs,0.1
1958,saavutama,收割,verbs,0.94
1959,kalender,假日,nouns,0.87
1960,tugev,自豪,adjectives,0.58
1961,põhiliselt,必然,adverbs,0.92
1962,lill,信念,nouns,0.05
1963,hümn,稻草,nouns,0.18
1964,vokalist,員工,nouns,0.58
1965,uskuma,知道,verbs,1.18
1966,põhiliselt,大多,adverbs,3.35
1967,süntaks,首詞,nouns,0.78
1968,mehaanik,工人,nouns,2.1
1969,seeme,磨坊,nouns,0.69
1970,kaduma,搵到,verbs,0.35
1971,illegaalne,不道德,adjectives,2.47
1972,korrutama,加,verbs,0.96
1973,kartmatu,自豪,adjectives,1.63
1974,karusnahk,槍,nouns,0.34
1975,organ,肝臟,nouns,2.42
1976,voolik,汽車,nouns,0.29
1977,isa,男人,nouns,2.37
1978,õun,陽光,nouns,0.2
1979,pöörane,生病,adjectives,0.7
1980,austus,榮譽,nouns,2.66
1981,andma,拒絕,verbs,0.15
1982,laskuma,減少,verbs,0.55
1983,essee,功課,nouns,1.81
1984,paat,車,nouns,0.63
1985,õde,兄弟,nouns,1.32
1986,õrnalt,冷靜地,adverbs,1.46
1987,vahekohus,正義,nouns,2.22
1988,džinn,燈,nouns,0.49
1989,vabastama,按下,verbs,0.29
1990,lõuna,三文治,nouns,0.91
1991,päikesepaiste,蘋果,nouns,0.2
1992,öö,白天,nouns,0.69
1993,luu,肌肉,nouns,0.93
1994,suur,寬廣,adjectives,3.56
1995,uskumus,價值觀,nouns,2.68
1996,jogurt,家牛,nouns,0.38
1997,kerge,靈活,adjectives,1.69
1998,küllus,許多,nouns,4.02
1999,auto,胎壓計,nouns,0.6
2000,laenaja,信用,nouns,0.98
2001,dieet,蘋果,nouns,0.57
2002,kerge,困難,adjectives,0.29
2003,rõõm,悲傷,nouns,0.59
2004,õrnalt,大聲地,adverbs,0.04
2005,puhkus,日曆,nouns,0.87
2006,näitleja,女演員,nouns,4.07
2007,relv,黎明,nouns,0.05
2008,ebatõenäoline,友好,adverbs,0.0
2009,vihje,字,nouns,0.48
2010,pesapall,籃球,nouns,1.56
2011,relv,人,nouns,0.33
2012,partner,傢伙,nouns,2.27
2013,lonkama,步行,verbs,2.47
2014,juhtuma,做,verbs,0.54
2015,omama,攞,verbs,2.41
2016,kanjon,山谷,nouns,4.03
2017,võistlema,完成,verbs,0.29
2018,dinosaurus,大象,nouns,0.58
2019,kuubik,骰子,nouns,2.66
2020,kuulama,學習,verbs,1.08
2021,dermatiit,濕疹,nouns,3.26
2022,tina,鋁,nouns,1.83
2023,kallas,沙灘,nouns,3.22
2024,kallutama,偏見,verbs,3.73
2025,kohtumine,訂婚,nouns,0.85
2026,kaabel,教堂,nouns,0.0
2027,laud,日落,nouns,0.05
2028,oletama,假扮,verbs,0.83
2029,pudel,罐,nouns,1.83
2030,õhtusöök,餐,nouns,3.0
2031,imeline,愉快,adjectives,2.46
2032,teenijanna,幫手,nouns,2.39
2033,kompilaator,子程序,nouns,0.63
2034,erinema,拗撬,verbs,0.69
2035,raev,生氣,nouns,4.49
2036,maitsetaim,大麻,nouns,1.84
2037,keegel,保齡球選手,nouns,1.61
2038,veenma,嘗試,verbs,0.74
2039,kaaspiloot,警察,nouns,0.2
2040,mulje,信念,nouns,0.88
2041,kõva,密度大,adjectives,2.6
2042,vastu võtma,謝絕,verbs,0.3
2043,peatama,等待,verbs,1.16
2044,ustavalt,誠實地,adverbs,3.64
2045,avastama,無視,verbs,0.05
2046,suhtlema,祈禱,verbs,0.43
2047,vallutus,戰役,nouns,1.36
2048,varjend,棚屋,nouns,0.97
2049,kaaspiloot,座艙,nouns,0.69
2050,lubama,反駁,verbs,0.0
2051,võlts,真實,adjectives,0.39
2052,täiskasvanud,未成熟的,adjectives,0.24
2053,tehe,代數,nouns,0.74
2054,biotoop,生物學,nouns,0.79
2055,mahl,奶昔,nouns,1.02
2056,lõikama,獲得,verbs,0.94
2057,udu,雲,nouns,2.09
2058,lihas,舌頭,nouns,0.54
2059,kontrollima,停止,verbs,0.63
2060,issi,母親,nouns,1.42
2061,müts,大褸,nouns,0.68
2062,põgenema,搵到,verbs,0.2
2063,kunstnik,藝術品,nouns,1.16
2064,hävitama,保留,verbs,0.2
2065,tüütama,得罪,verbs,0.4
2066,rünnak,閃電攻擊,nouns,3.54
2067,kallama,滴,verbs,0.92
2068,reegel,慣例,nouns,3.16
2069,iganädalane,每月,adjectives,1.32
2070,võimalikult,八成,adverbs,1.65
2071,telefon,手提電話,nouns,4.23
2072,kontor,工作者,nouns,0.53
2073,piiskop,穆斯林,nouns,0.54
2074,vaidlema,抱怨,verbs,0.64
2075,iidne,新,adjectives,0.29
2076,panema,掛,verbs,1.21
2077,hõõguma,照耀,verbs,2.88
2078,kitsas,寬廣,adjectives,0.29
2079,päikesetõus,日落,nouns,0.87
2080,amet,管理,nouns,1.07
2081,joonistama,創建,verbs,0.88
2082,laps,人,nouns,1.51
2083,räpane,淫賤,adjectives,0.93
2084,koidik,晚上,nouns,1.07
2085,valuuta,交換,nouns,0.93
2086,imiteerima,捕獲,verbs,0.45
2087,kõver,歪斜,adjectives,3.98
2088,mesi,糖,nouns,2.18
2089,robootika,模擬,nouns,0.92
2090,valitsus,蜥蜴,nouns,0.04
2091,kogunemine,大型會議,nouns,3.25
2092,laskma,允許,verbs,3.21
2093,näljane,累,adjectives,0.73
2094,president,相機,nouns,0.2
2095,talv,季節,nouns,2.63
2096,optimistlikult,可能,adverbs,0.93
2097,keha,手臂,nouns,0.91
2098,onu,男人,nouns,2.19
2099,käsi,樹枝,nouns,0.3
2100,peenike,苗條,adjectives,4.96
2101,suurepärane,精彩,adjectives,4.34
2102,võit,凱旋,nouns,4.48
2103,heidutama,失敗,verbs,0.83
2104,kuulma,聽,verbs,3.45
2105,klaver,和聲,nouns,0.92
2106,tüdruk,男人,nouns,0.82
2107,jahikoer,狐狸,nouns,1.14
2108,planeet,星星,nouns,2.15
2109,saatma,發射,verbs,1.25
2110,rünnak,犯罪,nouns,1.6
2111,kauss,尾巴,nouns,0.0
2112,poeg,父親,nouns,1.9
2113,umbes,可靠地,adverbs,0.38
2114,haigus,傳染病,nouns,2.84
2115,lagi,屋頂,nouns,3.33
2116,halb,極好,adjectives,0.1
2117,maantee,路,nouns,3.74
2118,mehed,兄弟會,nouns,1.55
2119,skeemitaja,策略家,nouns,2.92
2120,vesi,加冕禮,nouns,0.1
2121,lusikas,杯子,nouns,1.1
2122,laenama,給予,verbs,3.73
2123,tapma,防守,verbs,0.3
2124,uus,沒用過,adjectives,4.38
2125,kiiresti,紧急,adverbs,3.36
2126,häbi,悲傷,nouns,1.78
2127,täielikult,基本上,adverbs,1.27
2128,mõjutama,傾向,verbs,3.73
2129,kuritegu,盜竊,nouns,3.28
2130,võitja,目標,nouns,0.58
2131,ignoreerima,離開,verbs,0.98
2132,lisama,分離,verbs,0.15
2133,teadustama,聲明,verbs,3.41
2134,väiksevõitu,矬小,adjectives,3.81
2135,vähendama,收縮,verbs,2.8
2136,otsima,徘徊,verbs,1.03
2137,eine,腰部,nouns,0.15
2138,emotsioon,心情,nouns,3.49
2139,keha,肩,nouns,0.86
2140,teooria,化學,nouns,0.54
2141,paratsetamol,支氣管炎,nouns,0.5
2142,kõht,靜脈,nouns,0.29
2143,tugevalt,正式,adverbs,0.82
2144,sent,人,nouns,0.18
2145,taust,牆紙,nouns,2.49
2146,teadustama,宣告,verbs,3.68
2147,vedelik,噴嘴,nouns,0.73
2148,vägev,強大,adjectives,5.03
2149,alus,酸,nouns,1.32
2150,käekell,裙子,nouns,0.19
2151,masin,引擎,nouns,2.33
2152,taassoojendama,預熱,nouns,1.83
2153,tee,高速公路,nouns,3.74
2154,nööp,衣服,nouns,0.81
2155,karusnahk,女人,nouns,0.2
2156,raamat,正文,nouns,1.55
2157,pühkima,惡化,verbs,0.14
2158,kuulma,說話,verbs,0.44
2159,lugeja,作者,nouns,0.68
2160,lennuk,大薄片,nouns,0.52
2161,hoidma,給,verbs,0.34
2162,nihilism,電影,nouns,0.29
2163,kindel,自信,adjectives,3.69
2164,kirjandus,書,nouns,2.7
2165,enamasti,主要,adverbs,3.35
2166,kõver,好鬥,adjectives,0.25
2167,tramm,火車,nouns,2.32
2168,võrevoodi,搖床,nouns,3.55
2169,vein,酒,nouns,3.02
2170,osalema,發送,verbs,0.44
2171,liit,組合,nouns,2.83
2172,ärkama,打鼻鼾,verbs,0.5
2173,paljusus,豐富,nouns,4.02
2174,tsivilisatsioon,生活方式,nouns,0.87
2175,doktor,大夫,nouns,5.0
2176,sügavalt,大多,adverbs,0.76
2177,pöial,手,nouns,1.57
2178,rahulikult,巧妙的,adverbs,1.46
2179,tuginema,失敗,verbs,0.04
