ID,ENG,SPA,PoS,score
1546,speak,susurrar,verbs,1.52
1547,mouth,labio,nouns,1.92
1548,desert,duna,nouns,2.06
1549,eagle,halcón,nouns,2.39
1550,reef,playa,nouns,1.15
1551,attach,separar,verbs,0.09
1552,narrow,largo,adjectives,0.3
1553,lately,recientemente,adverbs,4.88
1554,ancient,nuevo,adjectives,0.14
1555,monk,cruzar,nouns,0.17
1556,secure,tedioso,adjectives,0.09
1557,sculptor,palacio,nouns,0.35
1558,evacuate,determinar,verbs,0.35
1559,water,sequía,nouns,0.54
1560,guy,amigo,nouns,1.36
1561,hate,criticar,verbs,0.84
1562,eye,frente,nouns,0.82
1563,lawyer,fiscal,nouns,2.75
1564,liver,órgano,nouns,2.04
1565,violet,flor,nouns,1.9
1566,easy,vulnerable,adjectives,0.94
1567,politician,policía,nouns,0.28
1568,loop,cinturón,nouns,0.94
1569,allow,ir,verbs,0.24
1570,chess,comprobar,nouns,0.17
1571,cheap,asequible,adjectives,4.18
1572,funny,aburrido,adjectives,0.05
1573,mild,medio,adjectives,1.98
1574,calm,neutral,adjectives,1.36
1575,weird,extraño,adjectives,5.46
1576,bed,silla,nouns,0.97
1577,politician,presidente,nouns,2.5
1578,disappear,esfumarse,verbs,5.27
1579,mediocre,aburrido,adjectives,1.33
1580,seldom,nunca,adverbs,2.02
1581,sincerely,generalmente,adverbs,0.4
1582,stand,caminar,verbs,0.29
1583,squall,viento,nouns,1.81
1584,page,palabra,nouns,0.52
1585,crystal,vaso,nouns,1.64
1586,victory,triunfo,nouns,5.37
1587,accident,emergencia,nouns,2.86
1588,before,después,adverbs,0.09
1589,demand,reñir,verbs,0.29
1590,ashamed,trastornado,adjectives,0.73
1591,possess,tomar,verbs,1.91
1592,field,avena,nouns,0.35
1593,never,después,adverbs,0.47
1594,absence,presencia,nouns,0.27
1595,watch,falda,nouns,0.15
1596,roughly,seguramente,adverbs,0.6
1597,ignore,imprimir,verbs,0.0
1598,explain,probar,verbs,2.3
1599,happily,activamente,adverbs,0.21
1600,collect,organizar,verbs,1.25
1601,meat,tocino,nouns,1.59
1602,floor,puerta,nouns,0.49
1603,criminal,delincuente,nouns,4.29
1604,man,padre,nouns,1.96
1605,muscle,hueso,nouns,0.33
1606,shoulder,cuerpo,nouns,0.69
1607,bone,dientes,nouns,1.89
1608,miss,hacer huelga,verbs,0.1
1609,bee,insecto,nouns,2.38
1610,wonderful,encantador,adjectives,4.0
1611,exchange,reemplazo,nouns,3.1
1612,allow,dejar,verbs,4.89
1613,son,hermano,nouns,0.83
1614,differ,de acuerdo,verbs,0.19
1615,chase,seguir,verbs,3.28
1616,cable,capilla,nouns,0.0
1617,usually,sinceramente,adverbs,0.4
1618,man,marido,nouns,1.71
1619,confuse,aprender,verbs,0.1
1620,shirt,cárdigan,nouns,1.06
1621,book,literatura,nouns,2.42
1622,class,universidad,nouns,1.06
1623,idea,opinión,nouns,3.33
1624,book,información,nouns,1.06
1625,rescue,salvar,verbs,5.21
1626,prohibit,detener,verbs,2.97
1627,cable,mago,nouns,0.0
1628,dinosaur,elefante,nouns,0.57
1629,messy,ordenado,adjectives,0.14
1630,chapel,campanario,nouns,1.22
1631,whenever,a veces,adverbs,0.77
1632,brow,ojo,nouns,0.82
1633,honestly,sinceramente,adverbs,4.95
1634,squad,ejército,nouns,1.46
1635,cinnamon,caramelo,nouns,0.52
1636,keep,apreciar,verbs,0.85
1637,actor,actriz,nouns,3.89
1638,west,norte,nouns,0.75
1639,foot,mano,nouns,1.05
1640,dairy,miel,nouns,0.41
1641,emotion,pasión,nouns,2.86
1642,weep,llorar,verbs,4.47
1643,cheat,engañar,verbs,3.66
1644,bone,músculo,nouns,0.33
1645,galaxy,astrónomo,nouns,1.07
1646,rhythm,melodía,nouns,2.53
1647,sing,reír,verbs,0.35
1648,coat,sombrero,nouns,0.56
1649,clothes,capa,nouns,1.47
1650,church,catedral,nouns,4.04
1651,moon,planeta,nouns,0.96
1652,biology,anatomía,nouns,2.49
1653,boat,coche,nouns,0.57
1654,liberty,censura,nouns,0.22
1655,convention,regla,nouns,2.54
1656,sometimes,uniformemente,adverbs,0.1
1657,deputy,oficial,nouns,1.59
1658,blanket,vendaval,nouns,0.05
1659,verify,justificar,verbs,1.4
1660,loudly,suavemente,adverbs,0.09
1661,skiing,snowboard,nouns,1.92
1662,ministry,sultán,nouns,0.35
1663,recently,de manera realista,adverbs,0.0
1664,child,niña,nouns,2.53
1665,daily,normalmente,adverbs,3.01
1666,notify,retratar,verbs,0.3
1667,create,hacer,verbs,4.15
1668,film,película,nouns,5.68
1669,immoral,malo,adjectives,3.06
1670,let,permitir,verbs,4.89
1671,cheap,económico,adjectives,5.13
1672,door,pasillo,nouns,0.34
1673,arithmetic,ritmo,nouns,0.45
1674,understand,perdonar,verbs,0.89
1675,year,cumpleaños,nouns,1.02
1676,loudly,sutilmente,adverbs,0.09
1677,self,confianza,nouns,1.06
1678,journey,conquista,nouns,0.97
1679,motor,maquinaria,nouns,2.66
1680,soup,cena,nouns,1.59
1681,independently,responsablemente,adverbs,0.65
1682,husband,esposa,nouns,1.52
1683,obviously,seguramente,adverbs,3.09
1684,foolish,infantil,adjectives,2.14
1685,chocolate,tarta,nouns,0.97
1686,cube,juguete,nouns,0.5
1687,examine,investigar,verbs,4.2
1688,foreigner,traductor,nouns,0.41
1689,finish,resolver,verbs,2.64
1690,take,salir,verbs,0.24
1691,fairly,injustamente,adverbs,0.09
1692,originate,descubrir,verbs,1.18
1693,easy,duro,adjectives,0.14
1694,race,fin de semana,nouns,0.0
1695,despise,odiar,verbs,4.86
1696,cigarette,tabaco,nouns,2.88
1697,shine,irradiar,verbs,3.86
1698,admire,adorar,verbs,3.27
1699,bargain,centavo,nouns,0.27
1700,stay,esperar,verbs,2.26
1701,task,cañita,nouns,0.05
1702,suspect,arrestar,verbs,0.48
1703,safe,legal,adjectives,1.08
1704,lightly,brillantemente,adverbs,0.57
1705,dull,gracioso,adjectives,0.05
1706,classroom,pasillo,nouns,0.19
1707,homophone,fotófono,nouns,0.44
1708,band,espíritu,nouns,0.25
1709,gold,zinc,nouns,0.96
1710,chicken,cena,nouns,1.15
1711,steal,dar,verbs,0.09
1712,car,calle,nouns,0.54
1713,bath,habitación,nouns,0.42
1714,charger,disco,nouns,0.32
1715,foot,base,nouns,2.29
1716,calm,relajado,adjectives,4.43
1717,bone,cuello,nouns,0.32
1718,terrific,malo,adjectives,0.09
1719,vanish,desaparecer,verbs,5.27
1720,crazy,enfermos,adjectives,0.85
1721,large,enorme,adjectives,4.96
1722,house,llave,nouns,0.41
1723,castle,pared,nouns,0.36
1724,send,recibir,verbs,0.34
1725,vector,matriz,nouns,1.95
1726,billionaire,indigente,nouns,0.37
1727,key,casa,nouns,0.41
1728,mostly,principalmente,adverbs,4.39
1729,separate,adjuntar,verbs,0.09
1730,action,curso,nouns,1.5
1731,jar,vaso,nouns,2.04
1732,enter,salir,verbs,0.09
1733,ceiling,catedral,nouns,0.2
1734,avoid,ignorar,verbs,3.08
1735,tell,recordar,verbs,1.21
1736,pathogen,germen,nouns,3.58
1737,narrow,ancho,adjectives,0.14
1738,pretend,imaginar,verbs,2.04
1739,virus,sangre,nouns,0.91
1740,carry,traer,verbs,1.35
1741,proud,fuerte,adjectives,0.81
1742,cricket,seguidor,nouns,0.0
1743,wife,agujero,nouns,0.0
1744,beauty,años,nouns,0.33
1745,fertilizer,crecimiento,nouns,0.59
1746,corridor,pasillo,nouns,5.46
1747,vehicle,autobús,nouns,2.21
1748,mutant,sociobiología,nouns,0.2
1749,sky,universo,nouns,0.94
1750,watch,observar,verbs,4.71
1751,breakfast,cena,nouns,1.16
1752,inaccurately,precisamente,adverbs,0.09
1753,uncovered,cubierto,adjectives,0.14
1754,presence,ganador,nouns,0.2
1755,monk,sacerdote,nouns,3.3
1756,bother,ofender,verbs,1.68
1757,mud,suciedad,nouns,3.0
1758,bacon,frijol,nouns,0.19
1759,trick,tamaño,nouns,0.0
1760,post,velocidad,nouns,0.2
1761,crucial,importante,adjectives,4.74
1762,insecure,necesitado,adjectives,1.04
1763,belief,impresión,nouns,2.35
1764,stubborn,estúpido,adjectives,0.51
1765,devil,dios,nouns,0.57
1766,recently,actualmente,adverbs,2.67
1767,purely,completamente,adverbs,2.3
1768,bone,codo,nouns,0.95
1769,fraternity,puerta,nouns,0.2
1770,disprove,permitir,verbs,0.25
1771,tail,cuenco,nouns,0.1
1772,cop,copiloto,nouns,0.19
1773,bottle,poder,nouns,0.66
1774,conquest,batalla,nouns,2.12
1775,democracy,monarquía,nouns,1.11
1776,right,justicia,nouns,1.99
1777,peace,soldado,nouns,0.15
1778,think,racionalizar,verbs,3.55
1779,understand,saber,verbs,3.2
1780,protect,defender,verbs,4.5
1781,topic,historia,nouns,0.9
1782,clever,tonto,adjectives,0.14
1783,try,lograr,verbs,0.64
1784,clothes,cajón,nouns,0.81
1785,calf,toro,nouns,1.96
1786,overcast,pronóstico,nouns,0.81
1787,confusion,histeria,nouns,1.66
1788,theatre,película,nouns,1.29
1789,passively,activamente,adverbs,0.14
1790,information,entropía,nouns,0.79
1791,shut,vomitar,verbs,0.0
1792,basically,completamente,adverbs,0.74
1793,maturely,inteligentemente,adverbs,1.73
1794,law,colegio,nouns,0.48
1795,observe,mirar,verbs,4.71
1796,portray,imitar,verbs,2.36
1797,important,necesario,adjectives,3.75
1798,music,melodía,nouns,3.27
1799,father,hombre,nouns,1.96
1800,palace,rascacielos,nouns,0.41
1801,hand,pulgar,nouns,1.27
1802,artwork,artista,nouns,1.19
1803,movement,actividad,nouns,3.04
1804,communication,televisión,nouns,0.99
1805,wealth,fama,nouns,1.46
1806,blade,hierba,nouns,0.39
1807,woman,pantalones,nouns,0.15
1808,deserve,ganar,verbs,2.07
1809,window,tobillo,nouns,0.05
1810,sofa,silla,nouns,2.65
1811,source,caja,nouns,0.1
1812,app,galaxia,nouns,0.1
1813,square,mapa,nouns,0.2
1814,play,lucha,verbs,0.2
1815,character,persona,nouns,2.67
1816,editorial,noticias,nouns,1.81
1817,happy,alegre,adjectives,5.11
1818,overcome,dominar,verbs,2.54
1819,ostrich,huerta,nouns,0.2
1820,weak,picante,adjectives,0.0
1821,originate,empezar,verbs,4.15
1822,crowd,populacho,nouns,3.87
1823,known,nacional,adjectives,0.2
1824,bar,cárcel,nouns,0.14
1825,fashion,estilo,nouns,4.05
1826,passively,seguramente,adverbs,0.0
1827,hurry,apurarse,verbs,5.2
1828,big,nacional,adjectives,0.27
1829,generous,bonito,adjectives,0.82
1830,choice,vena,nouns,0.0
1831,snow,tormenta,nouns,1.24
1832,persuade,perseguir,verbs,0.24
1833,job,tarea,nouns,4.44
1834,shore,costa,nouns,4.28
1835,pollution,presidente,nouns,0.36
1836,normally,diariamente,adverbs,3.01
1837,reject,aceptar,verbs,0.14
1838,soldier,paz,nouns,0.15
1839,reward,pago,nouns,2.99
1840,hat,capa,nouns,0.56
1841,outgoing,entrante,adjectives,0.14
1842,ball,guante,nouns,0.82
1843,unique,opuesto,adjectives,0.98
1844,meat,filete,nouns,3.49
1845,sincerely,honestamente,adverbs,4.95
1846,key,corona,nouns,0.1
1847,dance,vestir,nouns,0.15
1848,reliably,pasivamente,adverbs,0.0
1849,censorship,libertad,nouns,0.22
1850,century,año,nouns,0.92
1851,sip,beber,verbs,2.82
1852,arm,hueso,nouns,0.57
1853,purse,bolso,nouns,2.52
1854,uncle,prima,nouns,0.45
1855,choke,matar,verbs,1.0
1856,linen,tela,nouns,2.33
1857,poet,periodista,nouns,0.76
1858,illness,fiebre,nouns,2.32
1859,actor,televisión,nouns,0.34
1860,baseball,fraternidad,nouns,0.15
1861,dominate,superar,verbs,2.54
1862,routinely,normalmente,adverbs,4.68
1863,release,presionar,verbs,0.1
1864,now,aquí,adverbs,1.76
1865,juice,cuchara,nouns,0.1
1866,modest,puro,adjectives,0.57
1867,firmly,suavemente,adverbs,0.15
1868,verify,decir,verbs,0.74
1869,turkey,gallina,nouns,0.97
1870,terminally,principalmente,adverbs,0.24
1871,communication,conversacion,nouns,3.41
1872,bishop,arzobispo,nouns,3.38
1873,boy,pareja,nouns,0.28
1874,wait,salir,verbs,0.2
1875,door,portal,nouns,2.16
1876,mosaic,basílica,nouns,0.39
1877,smother,quemar,verbs,0.05
1878,bottle,envase,nouns,2.0
1879,professor,estudiante,nouns,0.41
1880,capital,dinero,nouns,3.69
1881,museum,menta,nouns,0.04
1882,camera,lente,nouns,1.7
1883,cousin,tío,nouns,0.45
1884,weather,nieve,nouns,0.91
1885,hypothesis,teoría,nouns,4.11
1886,bias,opinión,nouns,2.09
1887,value,creencia,nouns,2.31
1888,cat,perro,nouns,0.66
1889,go,salir,verbs,3.89
1890,illegal,inmoral,adjectives,1.71
1891,freeze,temblar,verbs,0.99
1892,zero,infinito,nouns,0.66
1893,elect,rechazar,verbs,0.2
1894,succeed,lograr,verbs,4.0
1895,cat,mascota,nouns,2.92
1896,weapon,casco,nouns,0.89
1897,conquest,viaje,nouns,0.97
1898,income,impuesto,nouns,0.51
1899,pineapple,teléfono inteligente,nouns,0.0
1900,bring,enviar,verbs,0.54
1901,stop,conducir,verbs,0.3
1902,sandwich,almuerzo,nouns,1.39
1903,agony,dolor,nouns,3.23
1904,disappear,encontrar,verbs,0.15
1905,harbor,envoltura,nouns,0.05
1906,please,estar de acuerdo,verbs,0.9
1907,bone,tobillo,nouns,0.86
1908,story,tema,nouns,0.9
1909,throne,espada,nouns,0.28
1910,booth,caja,nouns,1.52
1911,flexible,modesto,adjectives,0.15
1912,discreetly,cortésmente,adverbs,1.88
1913,sense,intuición,nouns,4.1
1914,word,periódico,nouns,0.63
1915,idea,esquema,nouns,3.27
1916,create,bucear,verbs,0.0
1917,men,fraternidad,nouns,0.9
1918,saint,pecador,nouns,0.07
1919,car,bicicleta,nouns,0.65
1920,kick,herir,verbs,1.11
1921,caliber,paraguas,nouns,0.1
1922,thread,ovillo,nouns,2.51
1923,elevator,caja,nouns,0.19
1924,pact,acuerdo,nouns,5.15
1925,join,casarse,verbs,2.66
1926,biscuit,princesa,nouns,0.0
1927,thumb,mano,nouns,1.27
1928,offend,insultar,verbs,4.6
1929,bag,monedero,nouns,2.52
1930,guy,semental,nouns,0.99
1931,guilty,honesto,adjectives,0.05
1932,huge,minúsculo,adjectives,0.17
1933,ugly,sucio,adjectives,0.77
1934,atom,carbón,nouns,1.31
1935,dinner,sopa,nouns,1.59
1936,add,dividir,verbs,0.3
1937,ball,voleibol,nouns,1.44
1938,cell,cárcel,nouns,1.14
1939,want,escoger,verbs,1.01
1940,pair,pareja,nouns,4.92
1941,argue,diferir de,verbs,2.52
1942,bread,carne,nouns,0.29
1943,vocalist,personal,nouns,0.25
1944,anxiously,nerviosamente,adverbs,4.71
1945,differ,discutir,verbs,2.52
1946,disintegrate,morir,verbs,0.51
1947,box,cabina,nouns,1.52
1948,throat,nariz,nouns,0.44
1949,bean,café,nouns,0.44
1950,become,hacer,verbs,0.47
1951,restless,joven,adjectives,0.14
1952,chorus,cantante,nouns,1.54
1953,pretend,parecer,verbs,1.94
1954,princess,rey,nouns,1.29
1955,alter,cambiar,verbs,4.91
1956,hate,despreciar,verbs,4.86
1957,appear,salir,verbs,0.34
1958,angel,demonio,nouns,0.61
1959,mad,feliz,adjectives,0.1
1960,teach,educar,verbs,5.32
1961,usually,raramente,adverbs,0.17
1962,cliff,colina,nouns,1.23
1963,orderly,sucio,adjectives,0.14
1964,emotion,estado animico,nouns,3.3
1965,anthropology,arqueología,nouns,0.98
1966,ozone,atmósfera,nouns,2.19
1967,bedroom,cama,nouns,1.27
1968,piano,armonía,nouns,0.27
1969,stud,chico,nouns,0.99
1970,cloth,ropa,nouns,1.73
1971,rare,exótico,adjectives,3.39
1972,crime,robo,nouns,2.67
1973,subroutine,compilador,nouns,0.71
1974,perhaps,probablemente,adverbs,3.75
1975,help,pedir,verbs,0.41
1976,molecule,matriz,nouns,0.24
1977,ball,cañón,nouns,0.51
1978,alphabet,bolígrafo,nouns,0.44
1979,orange,cítrico,nouns,2.88
1980,thumb,uña,nouns,1.23
1981,steel,aleación,nouns,1.86
1982,student,profesor,nouns,0.45
1983,butterfly,rosa,nouns,0.15
1984,humbly,orgullosamente,adverbs,0.32
1985,patient,sesión,nouns,0.42
1986,cord,cable,nouns,3.21
1987,dangerously,cuidadosamente,adverbs,0.15
1988,rice,niño,nouns,0.0
1989,encyclopedia,diccionario,nouns,2.13
1990,possibly,probable,adverbs,3.69
1991,fundraising,desarrollo,nouns,0.44
1992,hammer,dientes,nouns,0.05
1993,dominate,ganar,verbs,2.01
1994,die,enterrar,verbs,0.89
1995,butter,patata,nouns,0.46
1996,mainboard,tarjeta madre,nouns,2.4
1997,beg,pedir,verbs,2.71
1998,comfortably,fácilmente,adverbs,3.15
1999,smartphone,piña,nouns,0.0
2000,graduate,terminar,verbs,1.88
2001,judge,decidir,verbs,3.09
2002,hungry,cansado,adjectives,0.61
2003,chest,cuerpo,nouns,0.98
2004,blend,combinar,verbs,4.3
2005,ice,nieve,nouns,3.01
2006,affix,sufijo,nouns,1.81
2007,helper,mucama,nouns,2.44
2008,subtly,ruidosamente,adverbs,0.09
2009,job,administración,nouns,1.13
2010,necessarily,esencialmente,adverbs,3.88
2011,worker,empleador,nouns,1.54
2012,coast,barco de cañón,nouns,0.39
2013,light,teclado,nouns,0.25
2014,pain,daño,nouns,2.46
2015,mare,caballo,nouns,2.78
2016,deny,evitar,verbs,0.69
2017,choose,elegir,verbs,5.2
2018,parade,banda,nouns,1.27
2019,save,proteger,verbs,2.78
2020,meter,yarda,nouns,2.06
2021,man,centinela,nouns,0.83
2022,alcohol,ginebra,nouns,2.11
2023,bed,sofá,nouns,1.67
2024,earthquake,temblor,nouns,3.66
2025,join,cooperar,verbs,2.44
2026,smart,tonto,adjectives,0.14
2027,choose,decidir,verbs,4.08
2028,court,juez,nouns,0.95
2029,happiness,suerte,nouns,0.54
2030,child,adulto,nouns,0.44
2031,nail,mano,nouns,0.79
2032,president,cámara,nouns,0.45
2033,lip,cadera,nouns,0.29
2034,song,balada,nouns,3.6
2035,occur,suceder,verbs,5.17
2036,money,perla,nouns,0.61
2037,snow,clima,nouns,0.91
2038,succeed,tratar,verbs,0.64
2039,freedom,oasis,nouns,0.26
2040,retain,olvidar,verbs,0.15
2041,wait,permanecer,verbs,2.26
2042,sequel,cámara,nouns,0.1
2043,company,negocio,nouns,4.3
2044,constitution,senado,nouns,0.81
2045,conversation,comunicación,nouns,3.41
2046,investigate,examinar,verbs,4.2
2047,month,agosto,nouns,2.5
2048,horse,perro,nouns,0.33
2049,receive,enviar,verbs,0.34
2050,director,cinematografía,nouns,1.48
2051,gun,amanecer,nouns,0.0
2052,smallish,enano,adjectives,4.29
2053,sandwich,carne,nouns,0.52
2054,balloon,gente,nouns,0.25
2055,hear,hablar,verbs,0.39
2056,birthday,cita,nouns,1.54
2057,box,sombrero,nouns,0.19
2058,blend,golpear,verbs,0.15
2059,take,robar,verbs,1.54
2060,payment,nota,nouns,0.66
2061,justice,derecho,nouns,1.99
2062,sharp,suave,adjectives,0.25
2063,teacher,rabino,nouns,1.26
2064,pie,chocolate,nouns,0.97
2065,ideally,de modo realista,adverbs,0.62
2066,convince,tratar,verbs,0.92
2067,blanket,cama,nouns,0.86
2068,leaf,planta de semilla,nouns,1.09
2069,put,colgar,verbs,1.39
2070,era,década,nouns,2.23
2071,choke,respirar,verbs,0.25
2072,floor,cubierta,nouns,1.44
2073,wave,clima,nouns,0.3
2074,whisper,hablar,verbs,1.52
2075,create,construir,verbs,3.84
2076,bump,chocarse,verbs,2.13
2077,acid,base,nouns,0.77
2078,pollution,atmósfera,nouns,0.81
2079,poem,ritmo,nouns,0.61
2080,announce,proclamar,verbs,4.71
2081,paper,madera,nouns,0.96
2082,cellar,puerta,nouns,0.19
2083,fail,perder,verbs,2.44
2084,august,mes,nouns,2.5
2085,angle,curva,nouns,1.49
2086,room,cama,nouns,0.84
2087,pinch,dar un puñetazo,verbs,0.47
2088,room,edificio,nouns,0.71
2089,stomach,curso,nouns,0.05
2090,ordinary,mundano,adjectives,4.54
2091,arm,cuerpo,nouns,0.71
2092,dumb,inteligente,adjectives,0.14
2093,dumb,estúpido,adjectives,5.14
2094,gentleman,dama,nouns,0.76
2095,joy,orgullo,nouns,1.41
2096,choose,desear,verbs,1.01
2097,magnitude,tamaño,nouns,4.81
2098,beer,bebida,nouns,1.79
2099,charge,despreciar,verbs,0.3
2100,pathology,hematología,nouns,1.61
2101,modest,humilde,adjectives,4.6
2102,hit,castigar,verbs,0.96
2103,closely,localmente,adverbs,2.62
2104,wine,alcohol,nouns,1.73
2105,plate,cuenco,nouns,1.97
2106,mob,multitud,nouns,3.87
2107,gather,reunirse,verbs,2.94
2108,exam,silaba,nouns,0.61
2109,game,acción,nouns,0.81
2110,flexible,elástico,adjectives,4.03
2111,scientist,enfermera,nouns,0.32
2112,bed,hospital,nouns,0.35
2113,cry,reír,verbs,0.14
2114,course,estómago,nouns,0.05
2115,log,madera,nouns,3.09
2116,normal,diferente,adjectives,0.1
2117,star,asteroide,nouns,2.12
2118,director,jefe,nouns,3.94
2119,chair,taburete,nouns,2.99
2120,seriously,sinceramente,adverbs,2.13
2121,water,hielo,nouns,1.33
2122,begin,dejar,verbs,0.14
2123,visa,globalismo,nouns,0.59
2124,parsley,mollete,nouns,0.25
2125,dumb,inteligente,adjectives,0.34
2126,judge,corte,nouns,0.95
2127,body,hombro,nouns,0.69
2128,gauge,coche,nouns,0.2
2129,winner,presencia,nouns,0.2
2130,dishonest,malo,adjectives,1.32
2131,tennis,estadística,nouns,0.25
2132,guy,niña,nouns,0.98
2133,squeeze,abrazar,verbs,1.38
2134,prince,rey,nouns,2.06
2135,unlikely,simpático,adverbs,0.0
2136,asset,valores,nouns,3.07
2137,party,máscara,nouns,0.15
2138,course,acción,nouns,1.5
2139,computer,disco,nouns,0.99
2140,carefully,cautelosamente,adverbs,4.63
2141,advise,recomendar,verbs,4.62
2142,salute,realizar,verbs,0.15
2143,horse,potro,nouns,2.79
2144,complain,traer,verbs,0.0
2145,people,dólar,nouns,0.05
2146,tail,acantilado,nouns,0.0
2147,lemon,té,nouns,0.29
2148,slave,servidor,nouns,2.94
2149,insect,abeja,nouns,2.38
2150,hen,pájaro,nouns,1.67
2151,sound,acústica,nouns,3.4
2152,gun,truco,nouns,0.1
2153,turkey,pájaro,nouns,2.3
2154,suds,burbuja,nouns,2.39
2155,conquest,himno,nouns,0.15
2156,incoming,saliente,adjectives,0.14
2157,wonderful,hermoso,adjectives,2.71
2158,seriously,en tono rimbombante,adverbs,1.51
2159,acknowledge,notificar,verbs,1.04
2160,mechanical,eléctrico,adjectives,0.87
2161,leaf,árbol,nouns,0.96
2162,bone,mandíbula,nouns,0.82
2163,descend,retirarse,verbs,1.22
2164,afraid,ansioso,adjectives,1.67
2165,drink,sorber,verbs,2.82
2166,awful,genial,adjectives,0.14
2167,digit,número,nouns,5.03
2168,jail,bar,nouns,0.14
2169,cancer,enfermedad,nouns,2.72
2170,occasionally,regularmente,adverbs,1.46
2171,foot,cabeza,nouns,0.29
2172,fantasy,realidad,nouns,0.34
2173,intelligence,visión,nouns,1.79
2174,dictionary,palabra,nouns,0.94
2175,article,manuscrito,nouns,1.87
2176,moss,hierba,nouns,1.86
2177,repress,renunciar,verbs,0.84
2178,serious,gracioso,adjectives,0.0
2179,potato,mantequilla,nouns,0.46
2180,appoint,elegir,verbs,3.37
2181,protect,salvar,verbs,2.78
2182,sick,loco,adjectives,0.85
2183,state,casa,nouns,0.37
2184,pest,pesticida,nouns,0.56
2185,agree,diferir de,verbs,0.19
2186,bee,reina,nouns,0.74
2187,man,víctor,nouns,0.66
2188,search,preguntar,verbs,1.66
2189,wide,fresco,adjectives,0.05
2190,surely,definitivamente,adverbs,4.15
2191,hill,acantilado,nouns,1.23
2192,speak,oír,verbs,0.39
2193,intuition,sentido,nouns,4.1
2194,theory,teorema,nouns,4.41
2195,bed,cuna,nouns,3.0
2196,rain,llovizna,nouns,3.82
2197,friend,chico,nouns,1.36
2198,telephone,cabina,nouns,0.87
2199,alley,cuenco,nouns,0.04
2200,incredibly,herméticamente,adverbs,0.0
2201,happy,enojado,adjectives,0.14
2202,college,clase,nouns,1.06
2203,demand,discutir,verbs,0.49
2204,ask,mendigar,verbs,2.71
2205,lose,cocinar,verbs,0.05
2206,completely,ligeramente,adverbs,0.09
2207,instantly,una vez,adverbs,0.83
2208,argue,debate,verbs,4.13
2209,disease,infección,nouns,2.62
2210,difficult,fácil,adjectives,0.14
2211,river,mar,nouns,1.89
2212,triumph,victoria,nouns,5.37
2213,campaign,mono,nouns,0.05
2214,aviation,vuelo,nouns,2.56
2215,restore,reemplazar,verbs,2.58
2216,weather,nube,nouns,0.77
2217,aluminium,metal,nouns,1.66
2218,curved,agresivo,adjectives,0.0
2219,solve,terminar,verbs,2.64
2220,dictionary,enciclopedia,nouns,2.13
2221,princedom,ducado,nouns,2.17
2222,guitar,violín,nouns,0.64
2223,win,dominar,verbs,2.01
2224,condition,niño,nouns,0.05
2225,known,bien,adjectives,0.47
2226,journalist,poeta,nouns,0.76
2227,enjoy,odiar,verbs,0.05
2228,sticky,sucio,adjectives,1.3
2229,forgive,entender,verbs,0.89
2230,insult,ofender,verbs,4.6
2231,lonely,pobre,adjectives,0.19
2232,combine,caña de azúcar,nouns,0.2
2233,require,organizar,verbs,0.15
2234,date,calendario,nouns,1.21
2235,chase,capturar,verbs,0.82
2236,lion,gato,nouns,1.48
2237,sad,orgulloso,adjectives,0.05
2238,notify,reconocer,verbs,1.04
2239,unhappy,enojado,adjectives,1.92
2240,dentist,coronel,nouns,0.19
2241,ask,ignorar,verbs,0.1
2242,can,botella,nouns,0.66
2243,convocation,reunión,nouns,4.33
2244,maple,roble,nouns,1.17
2245,policeman,político,nouns,0.28
2246,street,coche,nouns,0.54
2247,kill,lucha,verbs,0.59
2248,dentist,ortodoncista,nouns,3.45
2249,paragraph,página,nouns,1.19
2250,rule,convención,nouns,2.54
2251,mink,piel,nouns,2.1
2252,artificial,0,adjectives,4.13
2253,spoon,vaso,nouns,0.94
2254,dumb,listo,adjectives,0.14
2255,comprehend,leer,verbs,1.64
2256,chapel,cable,nouns,0.0
2257,imitate,capturar,verbs,0.32
2258,precious,sagrado,adjectives,2.46
2259,fresh,antiguo,adjectives,0.04
2260,possess,mantener,verbs,2.84
2261,convince,discutir,verbs,1.41
2262,think,tratar,verbs,0.35
2263,restore,reparar,verbs,4.66
2264,volleyball,pelota,nouns,1.44
2265,friend,madre,nouns,0.77
2266,naturally,tranquilamente,adverbs,0.74
2267,profession,universidad,nouns,0.69
2268,administration,gestión,nouns,3.27
2269,journal,artículo,nouns,1.85
2270,laptop,cuaderno,nouns,0.81
2271,ignorant,regular,adjectives,0.07
2272,nerve,intestino,nouns,0.89
2273,paper,cartulina,nouns,3.09
2274,loud,grosero,adjectives,0.79
2275,seem,pretender,verbs,1.94
2276,lemon,manzana,nouns,0.41
2277,atmosphere,ozono,nouns,2.19
2278,belligerence,combate,nouns,2.66
2279,legal,seguro,adjectives,1.08
2280,planet,luna,nouns,0.96
2281,party,gente,nouns,0.74
2282,other,opuesto,adjectives,0.82
2283,pursue,persuadir,verbs,0.24
2284,keep,proteger,verbs,1.4
2285,gun,piel,nouns,0.05
2286,reader,autor,nouns,0.71
2287,sea,tsunami,nouns,1.4
2288,regular,ignorante,adjectives,0.07
2289,body,espina,nouns,0.49
2290,stone,madera,nouns,0.49
2291,locally,cercanamente,adverbs,2.62
2292,closet,ropa,nouns,1.11
2293,exotic,raro,adjectives,3.39
2294,proud,arrogante,adjectives,3.59
