ID,EST,SWA,PoS,score
1377,vaidlema,kukubaliana,verbs,0.5
1378,haamer,nyundo,nouns,0.1
1379,paluma,kuuliza,verbs,3.0
1380,nakkus,utapiamlo,nouns,1.75
1381,kool,sheria,nouns,0.25
1382,paat,sitaha,nouns,0.5
1383,pühak,mkosaji,nouns,0.45
1384,ignoreerima,kuondoka,verbs,0.95
1385,auto,daraja,nouns,0.35
1386,laps,msichana,nouns,1.1
1387,uurima,kugundua,verbs,2.75
1388,tunnistama,kukubali,verbs,0.45
1389,palk,kuni,nouns,3.15
1390,homofoon,nyumba ya nyumbani,nouns,0.1
1391,tagasihoidlik,pole,adjectives,0.9
1392,regulaarne,mara kwa mara,adjectives,0.2
1393,mööbel,fleti,nouns,0.6
1394,nõu andma,kupendekeza,verbs,4.35
1395,õpetama,kufundisha,verbs,2.67
1396,saama,kufanikisha,verbs,0.8
1397,jääma,kupata,verbs,0.1
1398,tüütama,kusumbua,verbs,0.45
1399,troon,kiti cha enzi,nouns,0.3
1400,uskumus,ono,nouns,0.75
1401,valimine,uchaguzi,nouns,3.05
1402,püha,takatifu,adjectives,2.0
1403,teraapia,tiba,nouns,0.65
1404,laul,wimbo,nouns,0.8
1405,äri,kampuni,nouns,3.35
1406,halb,mkubwa sana,adjectives,0.05
1407,jagama,kugawanya,verbs,0.7
1408,kohtumine,shughuli,nouns,0.6
1409,vabadus,uhuru,nouns,0.35
1410,kaval,mjanja,adjectives,4.3
1411,metall,chuma,nouns,2.7
1412,mäss,mgomo,nouns,0.05
1413,paindlik,flexibo,adjectives,1.3
1414,minema,kuenda,verbs,2.5
1415,aus,ana hatia,adjectives,0.5
1416,vihm,mvua,nouns,0.85
1417,vannituba,chumba cha kulala,nouns,0.8
1418,seaduserikkuja,mkosaji,nouns,4.9
1419,värav,mshindi,nouns,0.45
1420,rikkumine,uhalifu,nouns,3.5
1421,piire,ukingo,nouns,3.75
1422,võimatu,kutowekana,adjectives,0.4
1423,pahkluu,mfupa,nouns,2.3
1424,onu,binamu,nouns,1.2
1425,mees,mlinzi,nouns,1.0
1426,vann,chumba,nouns,0.4
1427,veider,wa kawaida,adjectives,0.45
1428,trikk,kuoga,nouns,0.0
1429,pall,mpira,nouns,1.75
1430,nool,lengo,nouns,0.75
1431,sale,mwembamba,adjectives,4.85
1432,massiivselt,kwa ukubwa,adverbs,0.25
1433,lähedaselt,kwa karibu,adverbs,0.75
1434,liit,umoja,nouns,1.8
1435,korporatsioon,wanaume,nouns,0.95
1436,suu,jino,nouns,1.15
1437,mees,mwanaume,nouns,0.45
1438,teleskoop,darubini,nouns,0.0
1439,tagasi lükkama,kuepa,verbs,1.65
1440,saama,kuonekana,verbs,0.45
1441,ülesanne,kisiwa,nouns,0.0
1442,maavärin,tetemeko la ardhi,nouns,2.5
1443,sein,tofali,nouns,1.5
1444,laps,mwanaume,nouns,0.75
1445,kauss,mkia,nouns,0.0
1446,unustama,kudumisha,verbs,0.35
1447,marginaalselt,mara kwa mara,adverbs,0.7
1448,õpetaja,rabai,nouns,0.7
1449,õun,mwanga wa jua,nouns,0.25
1450,nõu andma,kushauri,verbs,4.3
1451,mäletama,kukumbuka,verbs,1.8
1452,õppemaks,ada,nouns,1.65
1453,rütm,hesabu,nouns,0.65
1454,molekul,hewa,nouns,0.7
1455,poliitik,rais,nouns,3.1
1456,meelde tuletama,kumbusha,verbs,1.2
1457,keel,koo,nouns,1.2
1458,küsima,kusihi,verbs,2.1
1459,jänes,mwalimu,nouns,0.7
1460,härg,farasi,nouns,0.8
1461,mesilane,malkia,nouns,0.5
1462,vöö,kitanzi,nouns,1.25
1463,muu,wengine,adjectives,0.25
1464,list,orodha,nouns,1.25
1465,kaks korda,mara mbili,adverbs,0.72
1466,jumal,windo,nouns,0.1
1467,laskuma,teremka,verbs,0.95
1468,jää,maji,nouns,2.4
1469,pädevus,uelekevu,nouns,3.35
1470,onu,shangazi,nouns,0.85
1471,mesilane,mdudu,nouns,2.55
1472,elektriline,chenye umeme,adjectives,0.35
1473,lõbu,mpira wa miguu,nouns,0.85
1474,vara,mali,nouns,2.9
1475,bänd,subira,nouns,0.15
1476,käsi,mshipa,nouns,0.65
1477,joonistama,kuchora,verbs,0.7
1478,suurepärane,wa kutisha,adjectives,0.3
1479,küttekeha,kipasha joto,nouns,0.05
1480,pettus,uhalifu,nouns,3.25
1481,aktiivselt,kwa juhudi,adverbs,0.45
1482,märkima,kutoa maoni,verbs,0.85
1483,tamm,mpera,nouns,1.15
1484,lõbu,mchezo,nouns,2.8
1485,julm,mwema,adjectives,0.05
1486,sügavalt,kwa undani,adverbs,0.55
1487,kivisüsi,makaa,nouns,3.1
1488,passiivselt,kwa kutegemewa,adverbs,0.2
1489,isa,mwanaume,nouns,2.4
1490,avastama,kupuuza,verbs,0.1
1491,maamaja,kibanda,nouns,3.6
1492,alluma,kutenda,verbs,1.2
1493,oluliselt,bila masihara,adverbs,2.3
1494,taburet,kigoda,nouns,3.55
1495,sisenev,inayoingia,adjectives,0.5
1496,kohane,rasmi,adjectives,1.3
1497,haistma,kunusa,verbs,0.0
1498,kurb,huzuni,adjectives,0.0
1499,vaene,maskini,adjectives,0.3
1500,ühinema,kushirikiana,verbs,2.6
1501,täiuslik,malizika,adjectives,3.2
1502,teenijanna,msichana,nouns,1.25
1503,uhke,kujivunia,adjectives,0.3
1504,tunnistama,kushuhudia,verbs,0.75
1505,lift,gari,nouns,0.7
1506,lahkuma,kujitokeza,verbs,0.6
1507,viski,jini,nouns,2.1
1508,vabastama,kuondoka,verbs,0.5
1509,rass,mbio,nouns,0.0
1510,ilu,umri,nouns,0.5
1511,jagamine,mgawanyiko,nouns,0.8
1512,uskumatult,kwa umaradufu,adverbs,0.75
1513,suurepärane,mbaya,adjectives,0.2
1514,stiil,fesheni,nouns,4.7
1515,ortodont,mtaalamu wa meno,nouns,5.0
1516,edu saavutama,kutimiza,verbs,3.4
1517,viiul,fidia,nouns,0.65
1518,leidma,kupata,verbs,0.2
1519,ütlema,kushiriki,verbs,0.4
1520,võrkpall,mpira wa wavu,nouns,2.65
1521,apokalüpsis,siku ya mwisho,nouns,0.4
1522,loogika,akili,nouns,2.6
1523,toores,mbaya,adjectives,2.1
1524,lumi,hali ya hewa,nouns,1.0
1525,džinn,wiski,nouns,2.1
1526,õun,peremende,nouns,0.55
1527,slaid,teleza,nouns,0.05
1528,saama,kuweka,verbs,0.25
1529,masin,mashine,nouns,2.4
1530,võti,kifunguo,nouns,0.45
1531,rannik,pwani,nouns,0.45
1532,tõsiselt,kwa umakini,adverbs,1.25
1533,mõtlema,kutafakari,verbs,4.8
1534,ülesanne,mwanamke,nouns,0.1
1535,raamat,kitabu,nouns,0.05
1536,omandama,kutafuta,verbs,1.15
1537,sultan,sultani,nouns,0.1
1538,ananass,nanasi,nouns,0.05
1539,teater,ukumbi,nouns,0.2
1540,arst,daktari,nouns,5.1
1541,normaalselt,kwa kawaida,adverbs,1.13
1542,aktsepteerima,kuamini,verbs,1.8
1543,uhkelt,kwa jeuri,adverbs,0.32
1544,tugevalt,kiukakamavu,adverbs,0.45
1545,kaamera,lenzi,nouns,1.85
1546,müüma,kuazima,verbs,0.3
1547,segama,kunyanyasa,verbs,2.75
1548,harva,mara chache,adverbs,0.38
1549,ranne,mkono,nouns,1.35
1550,paat,gari,nouns,0.75
1551,märk,ishara,nouns,0.35
1552,minema,kuanza,verbs,0.35
1553,vargus,uhalifu,nouns,3.6
1554,pesema,kuosha,verbs,3.7
1555,rajaleidja,njia,nouns,0.3
1556,veenma,kufuatilia,verbs,0.45
1557,eraldama,kutenganisha,verbs,0.22
1558,silmus,mkanda,nouns,1.25
1559,tädi,mpwa,nouns,0.7
1560,koor,kanisa,nouns,1.55
1561,moraal,adili,nouns,0.35
1562,defineerima,kufafanua,verbs,4.6
1563,ebaviisakas,jeuri,adjectives,0.6
1564,sosistama,kunong'oneza,verbs,1.7
1565,ühiskond,jamii,nouns,2.05
1566,iidne,wa kisasa,adjectives,0.35
1567,avalik,bila siri,adjectives,0.5
1568,kaklema,kupigana,verbs,0.35
1569,summa,jumla,nouns,1.8
1570,köök,bafu,nouns,0.75
1571,alluma,kutii,verbs,0.3
1572,rahvas,puto,nouns,0.1
1573,abikaasa (naine),senti,nouns,0.05
1574,auto,njia kuu,nouns,0.8
1575,muru,mwani,nouns,1.6
1576,talv,msimu wa joto,nouns,0.7
1577,teooria,kanuni,nouns,2.3
1578,takso,teksi,nouns,3.4
1579,tõesti,kweli,adverbs,0.75
1580,õrnalt,kijanja,adverbs,0.0
1581,julgustama,kukanya,verbs,0.15
1582,ilm,theluji,nouns,1.0
1583,nurjuma,kukanya,verbs,0.7
1584,segama,koroga,verbs,2.3
1585,vaidlema,kulalamika,verbs,1.05
1586,õhtueine,chakula cha asubuhi,nouns,0.8
1587,koidik,mchana,nouns,1.4
1588,kunstnik,msanii,nouns,1.15
1589,elevant,ndovu,nouns,0.48
1590,häll,kitanda cha mtoto,nouns,3.1
1591,lusikas,kikombe,nouns,0.95
1592,koosseis,wafanyakazi,nouns,0.55
1593,müts,sanduku,nouns,0.2
1594,avatult,wazi,adverbs,0.25
1595,kogunema,kuhudhuria,verbs,1.05
1596,väljendama,kujielezea,verbs,2.7
1597,taasmatmine,zika upya,nouns,1.25
1598,hambaarst,kanali,nouns,0.1
1599,ooper,opera,nouns,1.15
1600,veiseliha,mifugo,nouns,0.6
1601,paat,meli,nouns,0.0
1602,kohtunik,hakimu,nouns,1.85
1603,sisenema,kuondoka,verbs,0.3
1604,teguriteks lahutamine,sababu,nouns,0.5
1605,rahuldama,kufahamu,verbs,0.1
1606,saatma,kuleta,verbs,0.35
1607,mänguasi,kichezeo,nouns,0.35
1608,kari,ngombe,nouns,2.15
1609,tolmukas,stameni,nouns,2.1
1610,priius,kujitawala,nouns,4.95
1611,otsima,kutafuta,verbs,1.3
1612,klaaspurk,kikombe,nouns,0.85
1613,konteiner,panya,nouns,0.2
1614,rahvas,senti,nouns,0.05
1615,hirmus,mwenye huzuni,adjectives,0.6
1616,klass,chuo,nouns,1.95
1617,seletama,kufafanua,verbs,4.45
1618,tapma,ua,verbs,0.6
1619,piiskop,askofu,nouns,0.5
1620,laadima,kutiachaji,verbs,0.3
1621,organiseerima,kuandaa,verbs,4.75
1622,jooma,kunywa,verbs,2.37
1623,põõsas,ua,nouns,0.9
1624,strateeg,mkakati,nouns,2.75
1625,ümber lükkama,kukanusha,verbs,0.0
1626,pool,chini,nouns,0.8
1627,kabel,mnara,nouns,0.85
1628,kuubik,mchemraba,nouns,1.65
1629,anne,zawadi,nouns,0.3
1630,intelligentsus,ustadi,nouns,2.05
1631,tekk,panya,nouns,0.15
1632,positiivselt,vyema,adverbs,0.45
1633,riided,kitambaa,nouns,2.7
1634,anuma,kuuliza,verbs,2.1
1635,vasikas,fahali,nouns,1.85
1636,halb,wa kutisha,adjectives,2.0
1637,vabastama,kuachilia,verbs,0.2
1638,haigutama,kung'orota,verbs,0.55
1639,skeemitaja,mweka mipango,nouns,2.75
1640,seisund,mvulana,nouns,0.05
1641,mees,mume,nouns,4.1
1642,ilmselge,wa kuona,adjectives,2.95
1643,kohutav,poa,adjectives,0.3
1644,peekon,nyama,nouns,3.55
1645,sülearvuti,kipakatio,nouns,0.45
1646,ärkama,kuamka,verbs,0.55
1647,loll,mjanja,adjectives,0.35
1648,aed,mpira wa maji,nouns,0.5
1649,uus,ya zamani,adjectives,0.4
1650,heli,sauti,nouns,2.95
1651,relv,bunduki,nouns,0.85
1652,täiskasvanu,mzazi,nouns,3.0
1653,umbes,takribani,adverbs,0.7
1654,närviline,kuoga,adjectives,0.15
1655,õpetaja,msaidizi,nouns,1.2
1656,näitlejanna,mchezaji,nouns,4.3
1657,voodi,kitanda cha mtoto,nouns,4.3
1658,unustama,kujifunza,verbs,0.4
1659,kino,sinema,nouns,1.43
1660,tagasi lükkama,kukubali,verbs,0.35
1661,näidik,gari,nouns,0.65
1662,hävitama,kujenga,verbs,0.1
1663,põlgama,kuchukia,verbs,0.3
1664,varras,pazia,nouns,0.2
1665,peegeldus,picha,nouns,1.3
1666,õhupall,kuoga,nouns,0.1
1667,sümbol,ishara,nouns,4.3
1668,käivitama,kuzindua,verbs,0.25
1669,kodu,jimbo,nouns,0.4
1670,kummaliselt,ya kustajabisha,adverbs,4.65
1671,jõukus,umaarufu,nouns,0.65
1672,teesklema,kuonyesha,verbs,0.7
1673,maantee,jukumu,nouns,0.2
1674,kenasti,kwa uzuri,adverbs,3.3
1675,väärtus,thamani,nouns,1.65
1676,pagema,kukimbia,verbs,4.8
1677,uskumatu,maradufu,adjectives,0.35
1678,ohvitser,ofisa,nouns,0.6
1679,rahvuslik,kitaifa,adjectives,0.5
1680,süsteem,mfumo,nouns,0.3
1681,rütm,mahadhi,nouns,1.05
1682,saatma,kupokea,verbs,0.45
1683,välistama,kukuifungia,verbs,0.0
1684,voodi,chumba,nouns,0.6
1685,etteaste,utendaji,nouns,0.95
1686,mugul,ua,nouns,1.2
1687,luu,mkono,nouns,0.95
1688,edu saavutama,kushinda,verbs,4.6
1689,vahe,uwazi,nouns,2.75
1690,küps,kukomaa,adjectives,0.6
1691,aktiivselt,kwa uhai,adverbs,0.2
1692,tüütu,kulivu,adjectives,0.25
1693,küsima,kuuliza,verbs,0.65
1694,printsess,bibi arusi,nouns,0.75
1695,turvaline,lindwa,adjectives,0.25
1696,pisar,jicho,nouns,1.4
1697,koostööd tegema,kushiriki,verbs,3.15
1698,ümberlõikus,tohara,nouns,1.65
1699,süüdi,mbaya,adjectives,1.6
1700,juhtkiri,uhariri,nouns,0.8
1701,stsenarist,mwandishi wa filamu,nouns,0.75
1702,abiline,mwalimu,nouns,1.2
1703,haisema,kutoa harufu,verbs,2.15
1704,heaks kiitma,kukubali,verbs,4.05
1705,ujuma,kuogelea,verbs,0.0
1706,väljuma,kuondoka,verbs,0.3
1707,raamat,biblia,nouns,2.15
1708,harima,elimisha,verbs,3.15
1709,nädal,wikendi,nouns,1.55
1710,pärast,baada ya,adverbs,0.35
1711,tabamus,pigo,nouns,0.25
1712,kitsas,mchafu,adjectives,0.25
1713,riided,kabati,nouns,0.72
1714,pilv,dhoruba,nouns,0.8
1715,tähelepanuta jätma,kupuuzia,verbs,1.65
1716,peatükk,usiku,nouns,0.05
1717,puusüsi,makaa ya mawe,nouns,3.1
1718,mees,mjomba,nouns,2.3
1719,compass,dira,nouns,0.55
1720,juhtkond,panya,nouns,0.0
1721,välja vihastama,kuongeza,verbs,0.65
1722,vanem,mtu mzima,nouns,3.0
1723,krediit,mkopo,nouns,1.35
1724,vastu võtma,kuitikia,verbs,2.8
1725,katma,kufunika,verbs,2.8
1726,noor,mwenye furaha,adjectives,0.5
1727,teleskoop,darubini,nouns,0.0
1728,fonoloogia,fonolojia,nouns,0.25
1729,päev,usiku,nouns,0.75
1730,päris,halisi,adjectives,0.35
1731,täiskasvanu,mtoto mchanga,nouns,0.55
1732,pilt,kioo,nouns,1.3
1733,hape,asidi,nouns,0.75
1734,lõikama,kuvuna,verbs,0.75
1735,vannituba,jiko,nouns,0.75
1736,poiss,mtoto,nouns,1.5
1737,komm,peremende,nouns,0.55
1738,küngas,jabali,nouns,2.6
1739,saavutama,kupata,verbs,2.45
1740,lammas,mwanakondoo,nouns,3.9
1741,teater,ukumbi,nouns,0.6
1742,bioloogia,biolojia,nouns,1.0
1743,toit,chakula,nouns,0.15
1744,sõdur,mwanajeshi,nouns,0.3
1745,kihluma,kuoa,verbs,2.25
1746,atmosfäär,uchafuzi,nouns,0.5
1747,püüdma,kudaka,verbs,0.4
1748,taust,mandharinyuma,nouns,2.25
1749,kondensaator,capacitor,nouns,1.6
1750,karjuma,kuguta,verbs,0.5
1751,sikutama,kuvuta,verbs,0.75
1752,valimisõigus,haki ya upigaji kura,nouns,0.15
1753,riie,nguo,nouns,2.7
1754,helde,wa kirafiki,adjectives,2.6
1755,haigla,kitanda,nouns,0.8
1756,teavitama,kufahamisha,verbs,5.4
1757,kahtlev,sitasita,adjectives,0.25
1758,küsima,kupuuza,verbs,0.15
1759,plärtsatus,chubwi,nouns,0.1
1760,pöial,ukucha,nouns,1.2
1761,järv,ziwa,nouns,0.25
1762,sent,saizi,nouns,0.4
1763,jääma,kubaki,verbs,1.45
1764,tütar,kijana,nouns,1.3
1765,liigutatav,inayo hamishika,adjectives,1.3
1766,tuju,daktari,nouns,0.1
1767,magamistuba,baisikeli,nouns,0.05
1768,kuhjatud,mzito,adjectives,1.5
1769,sessioon,kikao,nouns,0.4
1770,pärl,hela,nouns,0.25
1771,üliõpilane,profesa,nouns,0.85
1772,salaja,kwa siri,adverbs,0.45
1773,mobiiltelefon,simu ya mkononi,nouns,4.2
1774,andma,kujua,verbs,0.0
1775,vitamiin,chuma,nouns,0.4
1776,tsensuur,udhibiti,nouns,0.35
1777,hellitama,kuweka,verbs,2.9
1778,peekon,maharagwe,nouns,0.35
1779,vesi,maji,nouns,0.3
1780,naksama,kuvunja,verbs,0.8
1781,kaval,mgeni,adjectives,0.5
1782,rassism,ubaguzi wa rangi,nouns,3.8
1783,auto,mpira wa maji,nouns,0.2
1784,hoone,jengo,nouns,1.3
1785,lahkuma,kuingia,verbs,0.3
1786,kultuur,utamaduni,nouns,2.05
1787,intelligentsus,mantiki,nouns,2.6
1788,printsess,kisiwa,nouns,0.0
1789,erinema,kukubali,verbs,0.25
1790,film,filamu,nouns,0.6
1791,piir,mpaka,nouns,3.75
1792,kana,wali,nouns,0.5
1793,vormimata,kutobadilishwa,adjectives,0.35
1794,tita,mtoto wa kike,nouns,1.05
1795,säär,mkono,nouns,1.6
1796,kaduma,kutoweka,verbs,5.3
1797,rahvahulk,kikundi,nouns,4.85
1798,tooma,kuja,verbs,0.85
1799,meri,mto,nouns,2.0
1800,piin,huzuni,nouns,2.3
1801,oaas,oasisi,nouns,0.35
1802,negatiivne,hasi,adjectives,0.6
1803,õun,sosi,nouns,0.25
1804,lill,subira,nouns,0.15
1805,erinevalt,tofauti,adverbs,1.4
1806,arvuti,cd,nouns,0.55
1807,taim,mmea,nouns,1.55
1808,steik,kuku,nouns,0.6
1809,münt,sarafu,nouns,1.3
1810,jätma,kupuuza,verbs,0.95
1811,lugu,hadithi,nouns,0.25
1812,rand,uwanda wa bahari,nouns,2.9
1813,pehmelt,kwa ulaini,adverbs,0.3
1814,regulaarselt,mara kwa mara,adverbs,1.15
1815,vastutustundlikult,kwa uwajibikaji,adverbs,1.3
1816,raud,vitamini,nouns,0.4
1817,algvorm,lemma,nouns,0.85
1818,lind,kuku,nouns,2.6
1819,karistama,kuadhibu,verbs,0.3
1820,taevas,jua,nouns,1.3
1821,päikeseloojang,macheo,nouns,1.5
1822,sõjalaev,meli ya vita,nouns,5.3
1823,makse,ada,nouns,4.05
1824,ehitamine,uharibifu,nouns,0.5
1825,juhtkond,utawala,nouns,3.75
1826,leidma,kupotea,verbs,0.45
1827,metsamajake,kambi,nouns,0.85
1828,makse,malipo,nouns,1.2
1829,hommikusöök,chakula cha usiku,nouns,0.95
1830,episood,kutokea kwenye onyesho,nouns,0.95
1831,krokodill,mamba,nouns,2.55
1832,proovima,kufanikiwa,verbs,1.15
1833,ärritama,kuchukiza,verbs,1.2
1834,ratsionaliseerima,kugombana,verbs,0.6
1835,iga,urembo,nouns,0.5
1836,segunema,kuchanganya,verbs,2.2
1837,relv,mzinga,nouns,2.1
1838,eellane,antecedent,nouns,1.3
1839,organ,ini,nouns,2.25
1840,jahu,mkate,nouns,1.2
1841,hindama,kujifunza,verbs,0.85
1842,minema,kuja,verbs,0.35
1843,segama,kuchanganya,verbs,0.45
1844,vabastama,kukutolewa,verbs,0.4
1845,kirjutama,kuchorachora,verbs,2.45
1846,kaamera,kamera,nouns,0.05
1847,klass,darasa,nouns,0.15
1848,leib,nyama,nouns,0.45
1849,taju,kuona,nouns,2.25
1850,tähendusrikkalt,kwa maana,adverbs,1.8
1851,jogurt,mgando,nouns,0.25
1852,linnapea,mkuu,nouns,2.1
1853,kitsas,mpana,adjectives,0.2
1854,ebaregulaarselt,isivyo kawaida,adverbs,0.2
1855,geiser,chemchemi ya maji ya moto,nouns,3.15
1856,nüri,mkali,adjectives,0.4
1857,nautima,kuburudisha,verbs,2.7
1858,laul,tuni,nouns,3.0
1859,lämmatama,kuziba,verbs,0.2
1860,hümn,majani makavu,nouns,0.0
1861,abikaasa (naine),majani makavu,nouns,0.0
1862,õepoeg,shangazi,nouns,0.7
1863,viirus,kirusi,nouns,0.8
1864,lein,uchungu,nouns,2.3
1865,pigem,uwezekano,adverbs,2.8
1866,saavutama,kufanikiwa,verbs,3.4
1867,lubama,kwenda,verbs,0.25
1868,küsima,kusali,verbs,1.15
1869,eine,karamu,nouns,3.35
1870,ajurünnak,changamsha bongo,nouns,0.0
1871,liha,nyama,nouns,3.1
1872,kell,mlango,nouns,0.35
1873,saba,bakuli,nouns,0.0
1874,öö,sura,nouns,0.05
1875,õlg,kichwa,nouns,0.95
1876,lennujaam,ndege,nouns,1.55
1877,realistlikult,kwelikweli,adverbs,0.15
1878,pilt,wazo,nouns,0.9
1879,auto,honi,nouns,0.8
1880,käsi,ukucha,nouns,0.8
1881,televisioon,runinga,nouns,0.75
1882,kolledž,darasa,nouns,1.95
1883,kompilaator,mkusanyaji,nouns,0.45
1884,raamat,taarifa,nouns,0.9
1885,president,uchafuzi,nouns,0.15
1886,kommunikatsioon,televisheni,nouns,1.8
1887,laisk,mvivu,adjectives,0.17
1888,käsi,goti,nouns,0.7
1889,päästma,kuokoa,verbs,0.15
1890,artikkel,makala,nouns,1.55
1891,soodne,rahisi,adjectives,5.3
1892,nädalavahetus,wiki,nouns,1.55
1893,puuvill,pamba,nouns,0.65
1894,molekul,molekuli,nouns,0.35
1895,korv,mpira,nouns,0.55
1896,magus,tamu,adjectives,0.1
1897,polüester,pamba,nouns,0.55
1898,uus,mpya,adjectives,4.6
1899,suu,pua,nouns,0.85
1900,naarits,mafuta,nouns,0.2
1901,väljapääs,mlangoni,nouns,2.6
1902,kuningas,mtoto wa mfalme,nouns,2.15
1903,liha,ugali,nouns,0.75
1904,nõustuma,kutofautiana,verbs,0.25
1905,tee,barabara,nouns,4.6
1906,ratas,baiskeli,nouns,0.1
1907,puuvijaaed,kiunga,nouns,0.0
1908,liha,steki,nouns,4.55
1909,pöörane,safi,adjectives,0.3
1910,ümbris,kanga,nouns,0.0
1911,palvetama,kuwasiliana,verbs,0.45
1912,kohalolek,mlango,nouns,0.2
1913,pööraselt,kwa ghadhabu,adverbs,0.65
1914,frustreerima,kufadhaisha,verbs,2.35
1915,tegema,kutukia,verbs,0.6
1916,jalgpall,burudani,nouns,0.85
1917,akustika,akustik,nouns,2.95
1918,kodus,nyumbani,adverbs,0.35
1919,patsient,mgonjwa,nouns,0.4
1920,pakt,mapatano,nouns,5.05
1921,sinep,mbegu,nouns,0.6
1922,hammustama,uma,verbs,0.1
1923,reaalsus,ndoto,nouns,0.5
1924,otsustama,kuhitimisha,verbs,0.75
1925,kätte toimetama,kubeba,verbs,1.1
1926,töö,kazi,nouns,1.35
1927,tagasi võtma,kutoa,verbs,0.2
1928,õiglaselt,kwa ,adverbs,0.4
1929,kana,steki,nouns,0.6
1930,taotlema,kutazamia,verbs,1.3
1931,vajalik,sio wa lazima,adjectives,0.3
1932,kuulama,kutii,verbs,1.4
1933,reostus,rais,nouns,0.15
1934,kallis,ghali,adjectives,0.05
1935,ignoreerima,kusahau,verbs,1.7
1936,kurvalt,kwa huzuni,adverbs,1.1
1937,ohver,mwathirika,nouns,0.15
1938,kuju,kinyagu,nouns,4.55
1939,kuup,mchemraba,nouns,0.35
1940,ehitama,kujumlisha,verbs,0.55
1941,tütar,baba,nouns,0.65
1942,saavutama,kujaribu,verbs,0.8
1943,isa,kaka,nouns,0.85
1944,leotama,kulowesha,verbs,0.25
1945,põud,ukame,nouns,0.5
1946,jumal,roho,nouns,1.5
1947,närv,mwili,nouns,0.75
1948,tool,kiti,nouns,3.55
1949,loputama,kusuuza,verbs,3.7
1950,võlgnema,kuingia,verbs,0.05
1951,pesapall,mpira wa kikapu,nouns,0.8
1952,lõvi,paka,nouns,1.2
1953,puitmaterjal,gogo,nouns,2.9
1954,kõri,ulimi,nouns,1.2
1955,pistrik,kozi,nouns,1.1
1956,telliskivi,ukuta,nouns,1.5
1957,taldrik,bakuli,nouns,2.75
1958,mõtisklema,kuwaza,verbs,4.8
1959,spetsiaalselt,makusudi,adverbs,1.8
1960,tool,kiti,nouns,0.0
1961,laenama,kuweka,verbs,0.3
1962,kulutama,kumomonyoka,verbs,0.6
1963,ebanormaalselt,sikawaida,adverbs,0.3
1964,ruut,mraba,nouns,0.25
1965,tegema,kuacha,verbs,0.7
1966,suund,tendo,nouns,0.85
1967,pink,kiti,nouns,4.25
1968,raamat,kitabu,nouns,2.3
1969,võidusõit,mbio,nouns,0.0
1970,katus,sakafu,nouns,0.55
1971,ausalt,kwa kweli,adverbs,1.6
1972,kõri,pua,nouns,0.95
1973,paindlik,mkubwa sana,adjectives,0.35
1974,dinosaurus,mijusi ya kale,nouns,0.4
1975,paat,nanga,nouns,1.1
1976,vajalikult,kwa ulazima,adverbs,0.75
1977,aasta,siku ya kuzaliwa,nouns,0.8
1978,voolama,kumtiririko,verbs,0.95
1979,paraad,bendi,nouns,1.45
1980,vähenema,kupungua,verbs,0.95
1981,nõustuma,kujipendekeza,verbs,0.5
1982,värske,mpana,adjectives,0.05
1983,väetis,samadi,nouns,0.75
1984,korrutama,kujumlisha,verbs,0.95
1985,süüdi,mkweli,adjectives,0.5
1986,taevas,ulimwengu,nouns,1.3
1987,kõndima,kutembea,verbs,2.25
1988,mulje,imani,nouns,0.75
1989,tolm,vumbi,nouns,0.75
1990,ingel,malaika,nouns,0.85
1991,tihti,mara nyingi,adverbs,0.8
1992,teekond,ushindi,nouns,0.55
1993,patarei,betri,nouns,1.3
1994,kitsas,mpana,adjectives,0.3
1995,täielik,kamili,adjectives,3.2
1996,laenama,kutaka,verbs,0.6
1997,kohut mõistma,hakimu,verbs,0.75
1998,käsivars,mguu,nouns,1.6
1999,lagi,kanisa kuu,nouns,0.6
2000,kaabel,amari,nouns,0.0
2001,rahakorjamine,mfadhili,nouns,0.5
2002,võimekus,ustadi,nouns,4.2
2003,kaetud,funikwa,adjectives,0.35
2004,loominguline,mbunifu,adjectives,3.65
2005,kaval,imara,adjectives,0.65
2006,valitseja,mtawala,nouns,4.6
2007,teadma,kupa,verbs,0.0
2008,hoidma,kushindwa,verbs,0.2
2009,andma,kuiba,verbs,0.15
2010,jätma,kuondoka,verbs,0.0
2011,globalism,utandawazi,nouns,0.55
2012,pank,benki,nouns,0.2
2013,maja,ufunguo,nouns,0.9
2014,asetäitja,msaidizi,nouns,0.6
2015,sõitma,kuendesha,verbs,0.4
2016,teadma,kuamini,verbs,1.35
2017,peekon,chakula cha asubuhi,nouns,0.8
2018,kontor,ofisi,nouns,0.65
2019,küüs,kichwa,nouns,0.35
2020,mõis,nyumba,nouns,0.1
2021,seeme,mbegu,nouns,0.65
2022,ajaloolane,mtalaamu wa historia,nouns,5.5
2023,hävitama,haribu,verbs,1.85
2024,andur,sensa,nouns,0.4
2025,roos,waridi,nouns,0.25
2026,määrama,kutabiri,verbs,1.15
2027,kuritegu,wizi,nouns,3.6
2028,sisalik,mjusi,nouns,2.55
2029,unustama,kusamehe,verbs,0.65
2030,tilkuma,dondoka,verbs,0.9
2031,kogunemine,kusanyiko,nouns,4.0
2032,hirmunud,ogopa,adjectives,2.8
2033,puudumine,kuwepo,nouns,0.6
2034,võime,ustadi,nouns,3.35
2035,kotkas,tai,nouns,1.1
2036,mantel,nguo,nouns,2.4
