ID,POL,SWA,PoS,score
1358,cenny,yenye thamani,adjectives,0.6
1359,ranić,kuumia,verbs,0.55
1360,gotówka,pesa,nouns,5.8
1361,obniżać,kupungua,verbs,1.2
1362,zwycięzca,bingwa,nouns,5.0
1363,książka,kitabu,nouns,2.25
1364,wielokrotnie,nyingi zaidi,adverbs,0.65
1365,chmura,wingu,nouns,0.25
1366,brydż,kadi,nouns,0.6
1367,artysta ,msanii,nouns,0.9
1368,kupować,kuiba,verbs,0.0
1369,sprzedawać,kuazima,verbs,0.0
1370,podróżować,kusafiri,verbs,2.8
1371,obcokrajowiec,mgeni,nouns,0.2
1372,ciężki,mkubwa,adjectives,1.6
1373,uderzyć,kupiga,verbs,0.0
1374,gra,burudani,nouns,4.05
1375,jeździć,kuendesha,verbs,0.1
1376,roztrzaskać,kuvunja,verbs,4.25
1377,przemysł,biashara,nouns,2.0
1378,psychologia,sayansi,nouns,2.15
1379,uczęszczać,kuja,verbs,2.9
1380,hotel,fleti,nouns,0.9
1381,pewny,lindwa,adjectives,0.0
1382,żołądek,mwili,nouns,0.9
1383,zgadzać się,kugombana,verbs,0.15
1384,obrzezanie,tohara,nouns,1.55
1385,narciarstwo,skiing,nouns,2.05
1386,dać,kukana,verbs,0.05
1387,zaułek,mtaa,nouns,2.6
1388,gra,tendo,nouns,1.1
1389,przestępstwo,uhalifu,nouns,1.5
1390,pies,paka,nouns,0.25
1391,informować,kujulisha,verbs,5.6
1392,prezydent,uchafuzi,nouns,0.2
1393,połykać,meza,verbs,2.45
1394,egzema,uwasho,nouns,2.75
1395,akceptować,kuitikia,verbs,3.42
1396,dzień,alfajiri,nouns,1.6
1397,jechać,endesha,verbs,0.0
1398,niszczyć,kutengeneza,verbs,0.05
1399,topić,kutota,verbs,0.0
1400,starożytny,mpya,adjectives,0.1
1401,waluta,sarafu,nouns,0.1
1402,kraść,kuiba,verbs,1.75
1403,kręglarstwo,bowling,nouns,2.15
1404,skłonność,oni,nouns,0.25
1405,lekcja,darasa,nouns,0.05
1406,dentysta,kanali,nouns,0.05
1407,zakładać,kutabiri,verbs,2.75
1408,wzrosnąć,kuongeza,verbs,2.15
1409,inteligencja,hekima,nouns,4.15
1410,rytm,hesabu,nouns,0.0
1411,deszcz,mvua,nouns,0.8
1412,stal,feleji,nouns,1.5
1413,obszar,kanda,nouns,5.15
1414,przełykać,kufunda,verbs,0.5
1415,niemądry,mpumbavu,adjectives,4.75
1416,dzielić,kujumlisha,verbs,0.2
1417,sylabus,mtaala,nouns,0.25
1418,kolano,mfupa,nouns,0.9
1419,parlament,bunge,nouns,2.5
1420,odpowiedzialnie,kwa uwajibikaji,adverbs,0.9
1421,matematyk,mwanamahesabu,nouns,0.0
1422,przebiegły,mgeni,adjectives,0.0
1423,pomocnik,mwalimu,nouns,0.45
1424,bęben,pembe,nouns,0.35
1425,starożytny,wa kisasa,adjectives,0.05
1426,nienawidzić,chukia,verbs,0.43
1427,prawdomówny,enye ukweli,adjectives,0.05
1428,uczyć się,kusahau,verbs,0.15
1429,niedojrzały,kutokomaa,adjectives,0.0
1430,telewizja,runinga,nouns,0.6
1431,chłopiec,mwanajeshi,nouns,0.1
1432,zauważalny,wazi,adjectives,2.75
1433,przynieść,kurudisha,verbs,1.45
1434,ruchomy,inayo hamishika,adjectives,1.0
1435,winny,ana aibu,adjectives,0.3
1436,podnieść,kunyanyua,verbs,3.2
1437,malutki,mkubwa mno,adjectives,0.05
1438,łkać,kutoa machozi,verbs,5.15
1439,pokój,amani,nouns,0.25
1440,pisać,kuchorachora,verbs,2.55
1441,poranek,mchana,nouns,1.55
1442,krzywda,maumivu,nouns,3.1
1443,brać,kuondoka,verbs,0.0
1444,chata,kibanda,nouns,4.4
1445,nudny,kuboreka,adjectives,0.65
1446,kurs,tumbo,nouns,0.05
1447,ramię,mwili,nouns,1.7
1448,kod,alama,nouns,1.95
1449,kłócić się,kupigana,verbs,0.0
1450,iść,kuenda,verbs,2.8
1451,grawitacja,mvuto,nouns,0.15
1452,socjobiologia,jamii,nouns,0.15
1453,kondensator,capacitor,nouns,1.0
1454,nigdy,kamwe,adjectives,0.15
1455,trunek,karne,nouns,0.05
1456,spotykać,kusalimia,verbs,0.85
1457,bieda,utajiri,nouns,0.25
1458,okno,dirisha,nouns,0.0
1459,ręka,kidole gumba,nouns,1.45
1460,temat,kitabu,nouns,0.55
1461,szalenie,kwa ghadhabu,adverbs,0.35
1462,głowa,mguu,nouns,0.3
1463,miasteczko,mji,nouns,4.3
1464,ogromny,mdogo,adjectives,0.05
1465,wyrzec się,kukataliwa,verbs,1.4
1466,kupować,kupata,verbs,0.25
1467,wystraszony,wa wasiwasi,adjectives,4.0
1468,odkryć,kutambua,verbs,4.65
1469,choroba,saratani,nouns,3.8
1470,gimnastyka,mazoezi,nouns,0.4
1471,jabłko,juisi,nouns,0.8
1472,mechanik,mfanyakazi,nouns,1.9
1473,meteor,meteor,nouns,0.15
1474,drzwi,sela,nouns,0.1
1475,honor,heshima,nouns,1.5
1476,gryźć,kung'ata,verbs,0.6
1477,giętki,mkubwa sana,adjectives,0.15
1478,przyjazny,kirafiki,adjectives,0.05
1479,pijany,mlevi,adjectives,0.0
1480,klif,kilima,nouns,2.7
1481,gazeta,taarifa,nouns,1.85
1482,samolot,uwanja wa ndege,nouns,1.4
1483,bielizna,chupi,nouns,0.15
1484,garnek,kifaa,nouns,0.35
1485,ogromny,mkubwa sana,adjectives,5.75
1486,brać,kuchukua,verbs,1.55
1487,trik,bunduki,nouns,0.1
1488,żelazo,vitamini,nouns,0.55
1489,karać,kuadhibu,verbs,0.2
1490,wspomagać,kufadhili,verbs,4.85
1491,śniadanie,karamu,nouns,0.3
1492,słup,nguzo,nouns,0.0
1493,przegrać,kufeli,verbs,4.85
1494,akcja,mwendo,nouns,0.65
1495,zakryty,funikwa,adjectives,0.15
1496,gwóźdź,mkono,nouns,0.25
1497,wysokość,urefu,nouns,0.2
1498,kampania,kampeni,nouns,0.0
1499,alkohol,bia,nouns,4.35
1500,dwójka,jozi,nouns,5.45
1501,płukać,kusuuza,verbs,3.8
1502,system,mfumo,nouns,0.05
1503,gładki,nyororo,adjectives,0.15
1504,kredyt,mkopo,nouns,1.2
1505,posiłek,chakula cha usiku,nouns,3.8
1506,łódź,meli,nouns,0.1
1507,negocjacja,jadiliano,nouns,2.0
1508,kłocić się,kutofautiana,verbs,3.05
1509,hol,korido,nouns,4.85
1510,czyściec,purigatori,nouns,1.85
1511,czołg,tenki,nouns,0.55
1512,krew,damu,nouns,0.4
1513,weekend,wikiendi,nouns,0.0
1514,pojmać,kushika,verbs,0.0
1515,papier,kuni,nouns,0.6
1516,miernik,gari,nouns,0.05
1517,dach,paa,nouns,0.2
1518,policzek,ulimi,nouns,0.5
1519,zabić,kukinga,verbs,0.2
1520,kanapa,baseball,nouns,0.0
1521,nowatorski,bunifu,adjectives,3.8
1522,dojrzały,kukomaa,adjectives,0.75
1523,ludzie,dola,nouns,0.35
1524,oskarżać,laumu,verbs,4.75
1525,kamea,kutokea kwenye onyesho,nouns,0.7
1526,mit,hadithi,nouns,2.1
1527,trunek,divai,nouns,3.9
1528,płaszcz,nguo,nouns,2.7
1529,tani,mchafu,adjectives,0.1
1530,razić,kukondoa macho,verbs,0.15
1531,słowo,ishara,nouns,0.65
1532,sok,matofaa,nouns,0.8
1533,formuła,kuzidisha,nouns,0.45
1534,przybywać,kuja,verbs,3.9
1535,księżniczka,mtoto mke wa mfalme,nouns,0.0
1536,lotnisko,uwanja wa ndege,nouns,0.0
1537,arytmetyka,pigo,nouns,0.0
1538,kultura,utamaduni,nouns,1.4
1539,dać,kuweka,verbs,0.2
1540,intrygant,mweka mipango,nouns,1.7
1541,przewidywać,kudhani,verbs,2.75
1542,algebra,algebra,nouns,0.2
1543,subtelnie,kijanja,adverbs,0.0
1544,miksować,kuchanganya,verbs,0.25
1545,wół,farasi,nouns,0.95
1546,wysypka,ugonjwa wa ngozi,nouns,2.75
1547,umysł,akili,nouns,0.8
1548,zniknąć,kupungua,verbs,1.6
1549,reszta,baki,nouns,1.0
1550,niegrzeczny,jeuri,adjectives,0.38
1551,legion,jeshi,nouns,3.25
1552,szybkość,mwendo,nouns,0.0
1553,styl,fesheni,nouns,4.95
1554,talia,tumbo,nouns,0.6
1555,duży,mpana,adjectives,2.65
1556,gość,rafiki,nouns,0.65
1557,pole,uwanja,nouns,0.6
1558,samochód,mtaa,nouns,0.15
1559,różnica,tofauti,nouns,1.0
1560,krytykować,kupinga,verbs,0.63
1561,dziwny,mwerevu,adjectives,0.0
1562,mięsień,mkono,nouns,0.8
1563,nieświadomy,mjinga,adjectives,0.0
1564,zwykle,kawaida,adverbs,0.13
1565,nauczyciel,msaidizi,nouns,0.45
1566,niebo,jua,nouns,1.2
1567,agresywny,kua na hasira,adjectives,0.05
1568,pożyczkobiorca,mkopi,nouns,1.2
1569,modlić się,kuuliza,verbs,0.3
1570,język,koo,nouns,1.05
1571,rożek,kikombe,nouns,0.1
1572,samochód,gari,nouns,3.07
1573,spotykać,kupatana,verbs,0.0
1574,mnich,mtawa,nouns,0.25
1575,odchodzić,kufika,verbs,0.05
1576,zachmurzenie,kivuli cha mawingu,nouns,0.25
1577,dzieło sztuki,mchoro,nouns,0.9
1578,składnia,sintaksia,nouns,0.55
1579,wychodzić,kuingia,verbs,0.3
1580,regularny,mara kwa mara,adjectives,0.0
1581,atom,molekuli,nouns,3.05
1582,zaprzeczać,kukubali,verbs,0.05
1583,wąż ogrodowy,bustani,nouns,0.3
1584,filiżanka,kijiko,nouns,0.55
1585,doktor,tabibu,nouns,5.3
1586,chmura,mvuke,nouns,1.6
1587,hasło,nenokuu,nouns,0.55
1588,siewka,miche,nouns,0.7
1589,miło,kwa uzuri,adverbs,3.55
1590,pręt,zizi,nouns,0.75
1591,delta,delta,nouns,0.85
1592,wydarzyć się,kutukia,verbs,4.55
1593,wartościowy,yenye thamani,adjectives,2.55
1594,zniknąć,kutoweka,verbs,5.0
1595,pies,farasi,nouns,0.5
1596,bronić,kuua,verbs,0.2
1597,muzeum,jumba la makumbusho,nouns,0.05
1598,świetny,wa kutisha,adjectives,0.05
1599,hardy,mwerevu,adjectives,1.0
1600,zachować,kushindwa,verbs,0.0
1601,dom ,ufunguo,nouns,0.5
1602,mówić,kusikia,verbs,0.6
1603,wyrażać,kujielezea,verbs,2.75
1604,jaszczurka,mjusi,nouns,0.22
1605,mięso,steki,nouns,4.45
1606,twardy,nene,adjectives,0.35
1607,celować,kulenga,verbs,1.3
1608,nos,kinywa,nouns,0.5
1609,sufit,sakafu,nouns,0.15
1610,futro,mwanamke,nouns,0.0
1611,lista,orodha,nouns,1.25
1612,triumfator,mwanaume,nouns,0.15
1613,cent,watu,nouns,0.05
1614,pestycyd,dawa ya wadudu,nouns,1.15
1615,podekscytowany,sisimka,adjectives,0.5
1616,normalnie,kwa kawaida,adverbs,0.0
1617,walnąć,kukupiga ngumi,verbs,0.25
1618,próbować,kufikiria,verbs,0.25
1619,zdarzyć się,kufanya,verbs,0.4
1620,współczesny,wa kale,adjectives,0.05
1621,słoik,kikombe,nouns,1.0
1622,pan młody,bibi arusi,nouns,0.8
1623,porozumienie,tundu,nouns,0.0
1624,stopa,mkono,nouns,0.75
1625,kraść,kununua,verbs,0.0
1626,zgadzać się,kutofautiana,verbs,0.05
1627,zima,msimu wa joto,nouns,0.5
1628,liczba,nambari,nouns,5.1
1629,łóżko,hospitali,nouns,0.35
1630,ciasno,kwa mkazo,adverbs,0.35
1631,grubo,yenye kukwaruza,adverbs,0.2
1632,pozdrawiać,kukutana,verbs,0.85
1633,dziewczyna,mvulana,nouns,0.1
1634,okazja,maafikiano,nouns,0.05
1635,piękno,uzuri,nouns,0.1
1636,zrealizować,kuwa,verbs,1.3
1637,skromny,nyenyekevu,adjectives,4.45
1638,moda,mtindo,nouns,2.85
1639,siostra,dada,nouns,1.2
1640,ubrania,kabati,nouns,0.35
1641,jałowcówka,kileo,nouns,3.2
1642,obszar,kona,nouns,0.5
1643,więzienie,chaguo,nouns,0.15
1644,król,mfalme,nouns,5.1
1645,teraz,sasahivi,adverbs,1.3
1646,hymn,ushindi,nouns,0.05
1647,whisky,kileo,nouns,3.7
1648,obłąkany,mwenye furaha,adjectives,0.1
1649,skomplikowany,bila jasho,adjectives,0.05
1650,potajemnie,kwa siri,adverbs,0.05
1651,łokieć,mfupa,nouns,0.75
1652,mydliny,puto,nouns,1.6
1653,sprawiedliwość,haki,nouns,1.45
1654,król,mfalme,nouns,0.35
1655,czekać,kungoja,verbs,2.75
1656,ruszać,kutoka,verbs,0.05
1657,gniew,ghadhabu,nouns,4.6
1658,zwierzę,mtu,nouns,0.25
1659,zrealizować,kutimiza,verbs,5.25
1660,ignorować,kusahau,verbs,1.6
1661,dwukrotnie,mara mbili,adverbs,0.0
1662,otwarcie,wazi,adverbs,0.25
1663,koń,ng'ombe dume,nouns,0.95
1664,inteligentny,mpumbavu,adjectives,0.1
1665,ciało,mwili,nouns,0.28
1666,zyskać,kufaida,verbs,1.25
1667,łokieć,kifundo cha mguu,nouns,0.7
1668,dusza,kaka,nouns,0.2
1669,pewien,ana hakika,adjectives,4.35
1670,niszczyć,kuharibu,verbs,0.0
1671,książka,insha,nouns,0.65
1672,esej,kitabu,nouns,0.65
1673,nauczyciel,mwalimu,nouns,0.65
1674,śmiało,kwa kujiamini,adverbs,0.05
1675,pistolet,mbinu,nouns,0.1
1676,dziewczyna,mtoto,nouns,0.85
1677,kości,kete,nouns,1.15
1678,noc,sura,nouns,0.0
1679,pomyślny,enye bahati,adjectives,0.05
1680,odroczyć,kuhairisha,verbs,0.75
1681,głodny,kua na njaa,adjectives,0.15
1682,śnieg,theluji,nouns,2.6
1683,rodzic,mtu mzima,nouns,2.5
1684,zniknąć,kutafuta,verbs,0.1
1685,robotnik,kamera,nouns,0.15
1686,zmartwić,kuchukiza,verbs,1.05
1687,jedzenie,chakula,nouns,0.0
1688,kadencja,uharamia,nouns,0.55
1689,ludzie,puto,nouns,0.05
1690,rozumieć,kuridhisha,verbs,0.15
1691,tydzień,wikendi,nouns,1.3
1692,śledzić,kufuata,verbs,2.7
1693,piłka,glavu,nouns,0.8
1694,zapłata,malipo,nouns,4.75
1695,dostać,kuweka,verbs,0.15
1696,kalendarz,kalenda,nouns,0.55
1697,muzyka,muziki,nouns,0.85
1698,wskazówka,neno,nouns,0.65
1699,wędrować,kutangatanga,verbs,1.35
1700,poniżać,kuaibisha,verbs,0.0
1701,kurczak,wali,nouns,0.15
1702,podłoga,mlango,nouns,0.25
1703,brew,jicho,nouns,0.5
1704,czasami,mara chache,adverbs,0.7
1705,autobus,chombo cha usafiri,nouns,3.85
1706,ludzie,bunduki,nouns,0.05
1707,aktorka,mchezaji,nouns,3.3
1708,informacja,habari,nouns,0.1
1709,wanna,gogo,nouns,0.0
1710,nadgarstek,mkono,nouns,1.02
1711,opiekun,mtu mzima,nouns,2.45
1712,odrzucić,kuepa,verbs,1.65
1713,chmura,vumbi,nouns,1.1
1714,cielę,fahali,nouns,2.1
1715,powiadamiać,kuonyesha,verbs,1.7
1716,skomplikowany,rahisi,adjectives,0.2
1717,twardo,kwa kidete,adverbs,0.0
1718,wyjaśniać,kueleza,verbs,5.1
1719,ekscytujący,sisimsha,adjectives,0.0
1720,straszny,mwenye huzuni,adjectives,0.25
1721,trener,kocha,nouns,0.95
1722,drugi pilot,rubani msaidizi,nouns,0.4
1723,ziemniak,siagi,nouns,0.3
1724,uczyć się,kusikiliza,verbs,0.35
1725,drzwi,kengele,nouns,0.25
1726,iść,kutuma,verbs,0.05
1727,szczerze,kwa ukweli,adverbs,0.78
1728,budzić się,kuamka,verbs,0.1
1729,otrzymywać,kuchukua,verbs,2.95
1730,pozostać,kuondoka,verbs,0.05
1731,elektryczność,umeme,nouns,0.0
1732,hymn,majani makavu,nouns,0.0
1733,struś,mbuni,nouns,0.0
1734,książę,mfalme,nouns,2.15
1735,gospoda,hosteli,nouns,2.05
1736,fakt,umaizi,nouns,1.75
1737,wzgórze,jabali,nouns,2.7
1738,wielkość,kina,nouns,1.15
1739,pudełko,kofia,nouns,0.15
1740,mutant,jitu,nouns,0.15
1741,uparty,msumbufu,adjectives,0.75
1742,republika,jamhuri,nouns,0.0
1743,zbierać,kukusanya,verbs,2.2
1744,szczęśliwie,kwa furaha,adverbs,0.13
1745,żołnierz,mwanajeshi,nouns,0.25
1746,demon,pepo,nouns,0.25
1747,rozmiar,mbinu,nouns,0.0
1748,ręka,ukucha,nouns,0.25
1749,niszczyć,kujenga,verbs,0.05
1750,aktywnie,kwa juhudi,adverbs,0.5
1751,mięsień,mfupa,nouns,0.3
1752,podobny,sawasawa,adjectives,3.9
1753,behawioryzm,somo la tabia,nouns,0.95
1754,schowek,nguo,nouns,0.2
1755,dama,bwana,nouns,0.8
1756,braterstwo,baseball,nouns,0.0
1757,nieujawniony,haijafichuliwa,adjectives,0.15
1758,łódź,nanga,nouns,1.0
1759,tworzyć,kuharibu,verbs,0.05
1760,ponowny pochówek,zika upya,nouns,1.6
1761,rower,baiskeli,nouns,0.0
1762,dziecko,mvulana,nouns,3.65
1763,brać,kupeleka,verbs,0.3
1764,rosnąć,kupungua,verbs,0.05
1765,klon,mnazi,nouns,1.4
1766,trzeźwy,kutolewa,adjectives,0.0
1767,tulić,kukumbatia,verbs,5.2
1768,budka,simu,nouns,1.85
1769,armia,jeshi la wanamaji,nouns,3.75
1770,pomagać,kusaidia,verbs,0.2
1771,telefon,simu,nouns,2.42
1772,pokój,furaha,nouns,1.7
1773,astronom,mtaalam wa nyota,nouns,0.55
1774,ksiądz,mungu,nouns,0.55
1775,dyskretnie,kwa siri,adverbs,0.0
1776,napletek,govi,nouns,1.55
1777,pewnie,hakika,adverbs,1.88
1778,zapominać,kupuuza,verbs,1.6
1779,niemożliwy,kutowekana,adjectives,0.1
1780,konstytucja,katiba,nouns,0.5
1781,burmistrz,mkuu,nouns,1.7
1782,drzewo,mti,nouns,0.75
1783,osobliwy,si wa kawaida,adjectives,3.95
1784,dostarczać,kukubali,verbs,0.0
1785,szampan,bia,nouns,2.15
1786,chleb,nyama,nouns,0.1
1787,smażyć,kukaanga,verbs,2.68
1788,dziura,mke,nouns,0.0
1789,zasłona,nguzo,nouns,0.05
1790,dziecko,mtu mzima,nouns,0.15
1791,książka,taarifa,nouns,0.8
1792,giętki,flexibo,adjectives,1.0
1793,kanonierka,meli ya vita,nouns,0.1
1794,trawa,mzizi,nouns,0.4
1795,wyścigi,mbio,nouns,0.0
1796,osiągnąć,kufanikiwa,verbs,3.1
1797,burmistrz,rais,nouns,1.25
1798,podatny,ikawa hatarini,adjectives,0.5
1799,reżyser,mkurugenzi,nouns,0.55
1800,zachować,kuweka,verbs,2.75
1801,mysz,chombo,nouns,0.05
1802,powieść się,kujaribu,verbs,0.5
1803,pszczoła,sisimizi,nouns,0.65
1804,narzekać,kuleta,verbs,0.05
1805,rzadko,mara chache,adverbs,0.13
1806,piłka,mpira,nouns,2.1
1807,depresja,huzuni,nouns,0.7
1808,pomysł,picha,nouns,0.55
1809,kino,sinema,nouns,0.78
1810,polować,kuwinda,verbs,2.95
1811,rosnąć,kukua,verbs,2.15
1812,slajd,teleza,nouns,0.0
1813,piłka nożna,mpira wa miguu,nouns,5.7
1814,jabłko,malimau,nouns,0.45
1815,skromny,pole,adjectives,0.55
1816,szuflada,nguo,nouns,0.5
1817,piwnica,mlango,nouns,0.1
1818,irytować,kusumbua,verbs,0.15
1819,smutny,huzuni,adjectives,0.0
1820,ustalać,kutambulisha,verbs,0.0
1821,nieregularnie,isivyo kawaida,adverbs,0.05
1822,kwiat,subira,nouns,0.0
1823,galaktyka,giligili,nouns,0.0
1824,rower,gari,nouns,0.65
1825,tasować,kuchanganya,verbs,0.0
1826,krowa,mbuzi,nouns,0.8
1827,słowo,gazeti,nouns,0.3
1828,kaloryfer,radiator,nouns,0.35
1829,kolacja,supu,nouns,1.0
1830,kompetencja,uelekevu,nouns,3.5
1831,bystry,mpumbavu,adjectives,0.05
1832,kamera,kamera,nouns,0.0
1833,rok,siku ya kuzaliwa,nouns,0.6
1834,trawa,jani,nouns,2.6
1835,muzyka,tuni,nouns,4.25
1836,dać,kuweka,verbs,0.2
1837,inteligencja,ujinga,nouns,0.2
1838,sączyć,kukunywa,verbs,3.9
1839,mięsień,ulimi,nouns,0.8
1840,panna młoda,bwana arusi,nouns,0.8
1841,nawalić,kufanikiwa,verbs,0.05
1842,okrutny,mwema,adjectives,0.05
1843,pierścień,pete,nouns,0.55
1844,dzielenie,mgawanyiko,nouns,0.2
1845,stracić,kupata,verbs,0.1
1846,erodować,kumomonyoka,verbs,1.1
1847,szowinista,chauvinist,nouns,1.8
1848,uczciwy,ana hatia,adjectives,0.1
1849,niesamowity,kushangaza,adjectives,0.0
1850,zaniedbać,kupuuzia,verbs,1.4
1851,anioł,malaika,nouns,0.25
1852,świt,usiku,nouns,0.05
1853,mapa,ramani,nouns,0.0
1854,strona,aya,nouns,0.25
1855,silnie,kwa nguvu,adverbs,0.35
1856,tłok,pistoni,nouns,1.7
1857,ukazywać,kuamua,verbs,0.1
1858,leniwy,mvivu,adjectives,0.03
1859,zaprzeczać,kupa,verbs,0.05
1860,zatrzymywać,kubaki,verbs,0.55
1861,sok,juisi,nouns,0.0
1862,pogoda,theluji,nouns,0.45
1863,pieniądze,lulu,nouns,0.1
1864,półka (skalna),mlima,nouns,2.15
1865,robotyka,roboti,nouns,0.45
1866,nierozsądnie,isiyo na akili,adverbs,0.75
1867,słownik,namna,nouns,0.75
1868,gardzić,kuchukia,verbs,0.4
1869,dziwaczny,wa kigeni,adjectives,3.95
1870,edukować,elimisha,verbs,3.9
1871,zimny,baridi,adjectives,0.0
1872,dyskretnie,kwa usiri,adverbs,0.6
1873,koperta,bahasha,nouns,0.1
1874,babeczka,muffini,nouns,0.0
1875,zaświaty,kuzimu,nouns,1.85
1876,tłumaczyć,kuthibitisha,verbs,1.0
1877,nowy,mpya,adjectives,5.05
1878,wpłynąć,kubagua,verbs,2.9
1879,nastrój,hasira,nouns,0.75
1880,możlwie,ikiwezekana,adverbs,4.05
1881,osobliwy,mgeni,adjectives,4.4
1882,zamieszki,mgomo,nouns,0.0
1883,dziecko,mwanaume,nouns,0.2
1884,dowiadywać się,kuhitaji,verbs,0.25
1885,armia,kikosi,nouns,3.25
1886,rzeka,mkondo,nouns,2.95
1887,zaczynać,kwenda,verbs,0.05
1888,nieprawdopodobny,sio rahisi,adjectives,0.05
1889,spalić,kuunguza,verbs,0.1
1890,przyjść,kufika,verbs,3.9
1891,ustalać,kupanga,verbs,3.8
1892,telefon,kibanda cha simu,nouns,1.85
1893,wyznanie,kanusho,nouns,0.25
1894,niebezpieczeństwo,ugonjwa,nouns,0.5
1895,biedny,masikini,adjectives,1.4
1896,szał,hasira,nouns,4.6
1897,twardy,imara,adjectives,2.8
1898,urządzenie,chungu,nouns,0.35
1899,włóczyć się,kuzurura,verbs,4.8
1900,lojalnie,kwa uaminifu,adverbs,3.0
1901,otrzymywać,kupa,verbs,0.5
1902,chaotycznie,kwa vurugu,adverbs,0.0
1903,trzcina cukrowa,muwa,nouns,0.05
1904,dziennikarz,mwanahabari,nouns,0.45
1905,armia,kundi,nouns,2.6
1906,fiołek,ua,nouns,3.75
1907,nos,pua,nouns,0.9
1908,pasywnie,pasipo tu,adverbs,0.25
1909,kręgosłup,shingo,nouns,0.4
1910,dolina,mto,nouns,0.55
1911,paznokieć,kidole gumba,nouns,1.2
1912,szczęśliwy,mchangamfu,adjectives,4.7
1913,sypialnia,baisikeli,nouns,0.0
1914,komunikować,kusali,verbs,0.35
1915,ciągnąć,kuvuta,verbs,0.75
1916,weekend,wiki,nouns,1.3
1917,skończyć,kumaliza,verbs,4.7
1918,tworzyć,kutengeneza,verbs,2.05
1919,polecić,kushauri,verbs,3.7
1920,kłaść,kupata,verbs,0.15
1921,normalny,tofauti,adjectives,0.15
1922,mięso,nyama ya nguruwe,nouns,4.5
1923,morze,mto,nouns,1.9
1924,mech,nyasi,nouns,1.3
1925,wąski,mchafu,adjectives,0.0
1926,mężczyźni,undugu,nouns,0.95
1927,nielegalny,haramu,adjectives,0.1
1928,brać,kurithi,verbs,1.15
1929,pakt,mapatano,nouns,5.05
1930,miska,sahani,nouns,3.1
1931,występ,utendaji,nouns,0.7
1932,profesor,mwanafunzi,nouns,0.55
1933,chrapać,kung'orota,verbs,0.1
1934,smutno,kwa huzuni,adverbs,0.75
1935,długopis,kalamu,nouns,0.05
1936,znaleźć,kupotea,verbs,0.1
1937,winny,mbaya,adjectives,1.9
1938,wino,pombe,nouns,3.9
1939,wygięty,pinda,adjectives,5.05
1940,rozzłoszczony,mjeuri,adjectives,1.85
1941,praca,jukumu,nouns,3.1
1942,wąż (ogrodowy),gari,nouns,0.25
1943,półwysep,peninsula,nouns,1.05
1944,szyja,mkono,nouns,0.35
1945,zwierzę,nunda,nouns,2.05
1946,zabić,kuharibu,verbs,1.75
1947,sypialnia,kitanda,nouns,1.35
1948,klub,klabu,nouns,0.0
1949,kość,goti,nouns,0.9
1950,kolacja,chakula cha asubuhi,nouns,0.4
1951,piłka,mpira,nouns,1.32
1952,przypominać,kusahau,verbs,0.05
1953,miecz,panga,nouns,0.0
1954,życzliwie,kiupole,adverbs,2.2
1955,płyn,majimaji,nouns,0.0
1956,znacząco,bila masihara,adverbs,2.85
1957,oskarżać,kushtaki,verbs,0.0
1958,biskup,askofu,nouns,0.1
1959,trząść,kutikisa,verbs,1.13
1960,wyrzekać się,kukataa,verbs,1.15
1961,akceptować,kupendekeza,verbs,0.45
1962,błagać,kusihi,verbs,4.7
1963,tenis,tenisi,nouns,0.05
1964,unikać,kukataa,verbs,1.65
1965,ignorować,kupuuza,verbs,0.0
1966,rozpadać się,kutenganisha,verbs,0.4
1967,świetny,mbaya,adjectives,0.05
1968,drednot,meli ya vita,nouns,4.85
1969,ogród,mpira wa maji,nouns,0.3
1970,piwo,kileo,nouns,4.35
1971,aktywnie,kikamilifu,adverbs,0.25
1972,lekarz,daktari,nouns,5.3
1973,niemowlę,mtu mzima,nouns,0.1
1974,północ,kusini,nouns,0.15
1975,arytmetyka,mantiki,nouns,0.45
1976,książka,dhima,nouns,0.0
1977,ojciec,mungu,nouns,2.2
1978,delikatnie,kwa uangalifu,adverbs,0.0
1979,informować,arifu,verbs,0.0
1980,przemoczyć,kulowesha,verbs,0.0
1981,złapać,kudaka,verbs,0.28
1982,medium,habari,nouns,1.6
1983,gryźć,uma,verbs,0.0
1984,olej,ngozi,nouns,0.0
1985,nieskazitelny,bila doa,adjectives,5.35
1986,światło słoneczne,matofaa,nouns,0.1
1987,emocja,hamu,nouns,2.55
1988,mięta,mti wa minti,nouns,0.15
1989,koniak,kileo,nouns,3.15
1990,pewien,uhakika,adjectives,0.0
1991,wysyłać,kupokea,verbs,0.4
1992,sypialnia,tumbo,nouns,0.0
1993,robić,kuacha,verbs,0.05
1994,nie zgadzać się,kataa,verbs,0.1
1995,stary,zamani,adjectives,0.05
1996,ludzie,senti,nouns,0.05
1997,biblia,kitabu,nouns,3.0
1998,koc,blanketi,nouns,0.0
1999,burza,theluji,nouns,0.55
2000,decydować,kuamua,verbs,2.05
2001,szczęśliwy,mchanga,adjectives,0.25
2002,smutek,huzuni,nouns,0.1
2003,niezawodnie,kwa kuaminika,adverbs,1.65
2004,jabłko,peremende,nouns,0.4
2005,bestia,mnyama,nouns,2.05
2006,śmieszny,inayochekesha,adjectives,0.0
2007,pojętny,mpumbavu,adjectives,0.1
2008,robić,kutukia,verbs,0.4
2009,pamiętać,kukumbuka,verbs,1.15
