ID,CMN,RUS,PoS,score
1514,母鸡,птица,nouns,1.72
1515,合法,допущенный,adjectives,2.77
1516,父亲,бог,nouns,0.7
1517,农业,растение,nouns,1.04
1518,正常,ненормальный,adjectives,0.14
1519,足球,развлечение,nouns,0.6
1520,允许,идти,verbs,0.1
1521,圣人,грешник,nouns,0.2
1522,读,понимать,verbs,0.77
1523,悲伤,стыд,nouns,0.85
1524,国王,принцесса,nouns,0.45
1525,出现,происходить,verbs,2.58
1526,湖,болото,nouns,0.47
1527,小,огромный,adjectives,0.09
1528,稻草,псалом,nouns,0.0
1529,状态,мальчик,nouns,0.14
1530,保持,владеть,verbs,0.92
1531,眼睛,слеза,nouns,0.72
1532,花朵,луковица,nouns,0.3
1533,制服,душить,verbs,0.39
1534,态度,уверенность,nouns,1.44
1535,嘴巴,нос,nouns,0.45
1536,吞,пить,verbs,1.35
1537,争论,различаться,verbs,0.29
1538,拿,оставлять,verbs,0.05
1539,潜水,создавать,verbs,0.0
1540,电车,поезд,nouns,1.86
1541,大规模,большой,adjectives,4.56
1542,拥有,поглощать,verbs,0.43
1543,钱,жемчуг,nouns,0.15
1544,军队,отряд,nouns,1.17
1545,撤退,покидать,verbs,3.03
1546,停止,контролировать,verbs,0.39
1547,卧室,желудок,nouns,0.0
1548,苹果,солнце,nouns,0.09
1549,雕塑家,особняк,nouns,0.25
1550,离开,подождать,verbs,0.28
1551,死亡,трагедия,nouns,2.08
1552,逻辑,интеллект,nouns,2.75
1553,重新安葬,гробница,nouns,1.07
1554,岛,флот,nouns,0.39
1555,花,куст,nouns,0.87
1556,募捐活动,event,nouns,1.03
1557,杯子,ложка,nouns,0.45
1558,电视,кино,nouns,2.63
1559,严肃,смешной,adjectives,0.05
1560,杀,уничтожать,verbs,3.88
1561,检查,осматривать,verbs,4.12
1562,肌肉,рука,nouns,1.14
1563,教育,учиться,verbs,1.64
1564,谈判,дипломатия,nouns,1.86
1565,裙子,танец,nouns,0.44
1566,游行,оркестр,nouns,0.68
1567,农业,монокультура,nouns,0.84
1568,饮品,пиво,nouns,2.42
1569,建造,разрушать,verbs,0.18
1570,来,прибывать,verbs,2.96
1571,协议,спор,nouns,0.47
1572,喝,выращивать,verbs,0.0
1573,电影,кинолента,nouns,4.19
1574,累,скучный,adjectives,0.34
1575,监狱,пруток,nouns,0.18
1576,大方,приятный,adjectives,1.9
1577,过道,коридор,nouns,4.08
1578,订婚,назначение,nouns,1.69
1579,交流,язык,nouns,0.92
1580,完成,достигать,verbs,2.54
1581,天花板,крыша,nouns,2.74
1582,连接,соединять,verbs,0.96
1583,神经心理学,парапсихология,nouns,1.07
1584,射线,солнце,nouns,1.33
1585,制服,бесформенный,adjectives,0.0
1586,贫困,богатство,nouns,0.1
1587,遇见,приветствовать,verbs,1.27
1588,打算,пытаться,verbs,2.31
1589,犯罪,кража,nouns,2.83
1590,给,знать,verbs,0.2
1591,不经常,часто,adverbs,0.23
1592,选择,выборы,nouns,2.62
1593,混合,растворять,verbs,1.18
1594,想要,желать,verbs,4.89
1595,易损坏,бесстрастный,adjectives,0.0
1596,容易地,грубо,adverbs,0.0
1597,家伙,товарищ,nouns,1.98
1598,合法,нелегальный,adjectives,0.19
1599,想像,создавать,verbs,0.61
1600,驱逐,освобождать,verbs,0.68
1601,内疚,плохой,adjectives,0.24
1602,牛,скот,nouns,3.02
1603,港口,обертка,nouns,0.1
1604,安全,утомительный,adjectives,0.0
1605,锁匙,корона,nouns,0.0
1606,乙酰胆碱,ирис,nouns,0.0
1607,建立,создавать,verbs,3.97
1608,强大,могущественный,adjectives,4.08
1609,弱,пряный,adjectives,0.0
1610,保持,давать,verbs,0.19
1611,剑,трон,nouns,0.33
1612,和蔼,жестокий,adjectives,0.0
1613,地心引力,метеор,nouns,0.1
1614,正式,сильно,adverbs,0.52
1615,进入,идти,verbs,1.0
1616,被动,агрессивный,adjectives,0.05
1617,脖子,позвоночник,nouns,0.97
1618,小麦粉,хлеб,nouns,1.52
1619,否定,никогда,adjectives,1.96
1620,浪费,беспокоиться,verbs,0.0
1621,听,узнавать,verbs,0.63
1622,海滩,остров,nouns,0.98
1623,梦想,небо,nouns,0.29
1624,伤害,пинать,verbs,1.56
1625,联合,комбинация,nouns,2.58
1626,帝制,демократия,nouns,0.1
1627,电视,сценарист,nouns,0.78
1628,出租车,автобус,nouns,1.44
1629,安全地,счастливо,adverbs,0.28
1630,晚上,глава,nouns,0.0
1631,搜索,смотреть,verbs,1.15
1632,拇指,кисть,nouns,0.68
1633,笔记本,лаптоп,nouns,4.74
1634,谦虚,покладистый,adjectives,1.27
1635,城堡,стена,nouns,0.57
1636,文明,образ жизни,nouns,1.27
1637,坏,великолепный,adjectives,0.0
1638,懒,драгоценный,adjectives,0.04
1639,手稿,статья,nouns,3.29
1640,电梯,коробка,nouns,0.35
1641,批评,грубый,adjectives,0.57
1642,在场,отсутствие,nouns,0.34
1643,带来,приходить,verbs,1.17
1644,年轻,неугомонный,adjectives,0.45
1645,检查,изучать,verbs,4.12
1646,实质上,обязательно,adverbs,0.58
1647,偶然,регулярно,adverbs,0.37
1648,意外,авария,nouns,4.15
1649,枪,народ,nouns,0.05
1650,葬礼,смерть,nouns,0.92
1651,说服,спорить,verbs,2.79
1652,带来,посылать,verbs,0.2
1653,忽略,забывать,verbs,2.69
1654,熵,информация,nouns,0.33
1655,内衣褲,тело,nouns,0.15
1656,闻名,популярный,adjectives,4.02
1657,争论,критика,nouns,1.1
1658,伤心地,эмоционально,adverbs,0.85
1659,季节,зима,nouns,1.98
1660,钥匙,замок,nouns,0.86
1661,运送,принимать,verbs,0.1
1662,骑,бежать,verbs,0.38
1663,保护,отстаивать,verbs,4.05
1664,跑,ездить,verbs,0.38
1665,拖着脚走,ездить,verbs,0.1
1666,概念,верование,nouns,1.29
1667,帮手,служанка,nouns,3.02
1668,分界线,граница,nouns,3.79
1669,牛扒,курятина,nouns,0.64
1670,球,костюм,nouns,0.55
1671,大声地,тонко,adverbs,0.0
1672,现实,фантазия,nouns,0.8
1673,了解,слушать,verbs,0.98
1674,可靠地,грубо,adverbs,0.14
1675,离开,появляться,verbs,0.05
1676,异族,чужеземец,nouns,3.42
1677,人,шар,nouns,0.0
1678,年,юбилей,nouns,1.06
1679,精灵,фонарь,nouns,0.1
1680,获得,находить,verbs,1.44
1681,等待,оставаться,verbs,0.94
1682,章节,ночь,nouns,0.0
1683,戏法,размер,nouns,0.05
1684,不道德,плохой,adjectives,2.51
1685,云,дымка,nouns,2.15
1686,笨,умный,adjectives,0.14
1687,酒,вино,nouns,3.25
1688,收到,давать,verbs,0.05
1689,通常,редко,adverbs,0.18
1690,臀部,губа,nouns,0.3
1691,肌肉,кость,nouns,0.48
1692,锥形蛋筒,стакан,nouns,0.66
1693,参与,высказываться,verbs,0.3
1694,正直地,зрело,adverbs,0.84
1695,疯狂,счастливый,adjectives,0.51
1696,本地,очевидно,adverbs,0.0
1697,恢复,приносить,verbs,0.1
1698,有礼貌,приличный,adjectives,3.21
1699,血液,плоть,nouns,0.78
1700,晚上,рассвет,nouns,0.39
1701,安排,нуждаться,verbs,0.0
1702,分离,прикреплять,verbs,0.18
1703,确定,эвакуировать,verbs,0.1
1704,日历,дата,nouns,2.21
1705,笔记本,пистолет,nouns,0.0
1706,拥抱,держать,verbs,0.2
1707,焦虑,нетерпеливый,adjectives,3.17
1708,拒绝,избирать,verbs,0.1
1709,摇动,собирать,verbs,0.04
1710,摇床,кроватка,nouns,3.55
1711,签证,глобализм,nouns,0.56
1712,做,разрушать,verbs,0.14
1713,罐子,чашка,nouns,1.6
1714,纸币,оплата,nouns,0.55
1715,救,защищать,verbs,1.78
1716,培根,завтрак,nouns,0.63
1717,镜片,фотоаппарат,nouns,0.72
1718,手,запястье,nouns,2.15
1719,人口,народ,nouns,2.67
1720,种子,горчица,nouns,0.97
1721,尝试,преуспевать,verbs,0.29
1722,跳跃,забор,nouns,0.3
1723,碳,атом,nouns,1.03
1724,给予,отказывать,verbs,0.05
1725,显然,локально,adverbs,0.0
1726,批评,замечать,verbs,1.57
1727,失去,вычитать,verbs,1.11
1728,原子,углерод,nouns,1.03
1729,车,машина,nouns,5.76
1730,迅速,быстрый,adjectives,4.6
1731,座舱,штурман,nouns,0.52
1732,说服,добиваться,verbs,0.64
1733,电脑,машина,nouns,2.02
1734,合乎体统,вежливый,adjectives,3.21
1735,组合,соединение,nouns,2.58
1736,音乐,мелодия,nouns,3.87
1737,朋友,парень,nouns,1.39
1738,段,страница,nouns,0.95
1739,安慰,безопасность,nouns,0.34
1740,开始,прекращать,verbs,0.05
1741,相机,продолжение,nouns,0.04
1742,分钟,секунда,nouns,1.59
1743,小麦,злак,nouns,3.13
1744,拿,красть,verbs,0.75
1745,大致,нетерпеливо,adverbs,0.45
1746,懊恼,злость,nouns,2.18
1747,不耐烦地,грубо,adverbs,0.45
1748,存在,победитель,nouns,0.05
1749,矩阵,вектор,nouns,1.29
1750,球,ракетка,nouns,0.78
1751,望远镜,мозговой штурм,nouns,0.0
1752,并发,валюта,nouns,0.04
1753,提醒,продавать,verbs,0.05
1754,大麻,трава,nouns,2.47
1755,弯曲,агрессивный,adjectives,0.09
1756,自由,оазис,nouns,0.15
1757,大厦,комната,nouns,0.49
1758,描绘,уведомлять,verbs,0.0
1759,男孩子,сын,nouns,2.5
1760,悲伤,счастье,nouns,0.05
1761,大规模,открыто,adverbs,0.65
1762,高速公路,задача,nouns,0.1
1763,尝试,достигать,verbs,1.31
1764,发射,отправить,verbs,2.71
1765,手稿,книга,nouns,1.3
1766,一般,ненормально,adverbs,0.0
1767,狮子,кот,nouns,0.76
1768,保留,забывать,verbs,0.14
1769,坚固,ловкий,adjectives,0.7
1770,搏斗,убивать,verbs,0.79
1771,搜索,охотиться,verbs,1.11
1772,故事,карандаш,nouns,0.14
1773,枯燥,тоскливый,adjectives,3.81
1774,疯狂,ужасный,adjectives,0.43
1775,皮炎,экзема,nouns,3.48
1776,井然有序,беспорядочный,adjectives,0.29
1777,复杂,зрелый,adjectives,0.43
1778,糖果,яблоко,nouns,0.45
1779,愤怒,нерешительный,adjectives,0.28
1780,手术,алгебра,nouns,0.0
1781,强度,выносливость,nouns,2.67
1782,艺术家,искусства,nouns,1.01
1783,董事,босс,nouns,4.38
1784,喝,перемешать,verbs,0.05
1785,土豆,масло,nouns,0.43
1786,任务,задание,nouns,3.22
1787,污染,президент,nouns,0.0
1788,年,век,nouns,1.4
1789,手工业,традиция,nouns,1.44
1790,长,узкий,adjectives,0.29
1791,古老,новый,adjectives,0.09
1792,鸟,индейка,nouns,1.92
1793,门,подвал,nouns,0.48
1794,云,погода,nouns,1.49
1795,骨头,рука,nouns,0.68
1796,植物群,природа,nouns,2.36
1797,吵闹,шум,nouns,4.58
1798,决定,думать,verbs,1.13
1799,协议,пакт,nouns,4.57
1800,狩猎,искать,verbs,1.11
1801,火鸡,курица,nouns,1.64
1802,不诚实,плохой,adjectives,0.96
1803,昆虫,пчела,nouns,2.5
1804,喝,глотать,verbs,1.35
1805,雪茄,пачка,nouns,0.49
1806,西洋棋,шах,nouns,0.89
1807,甘蔗,комбайн,nouns,0.1
1808,广场,карта,nouns,0.48
1809,火山,магма,nouns,1.63
1810,汽车,карета,nouns,1.41
1811,报纸,информация,nouns,1.97
1812,成熟,изысканный,adjectives,0.43
1813,好,пряный,adjectives,0.35
1814,争论,убеждать,verbs,2.03
1815,平凡,обычный,adjectives,5.46
1816,观看,наблюдать,verbs,3.88
1817,煮,микшировать,verbs,0.29
1818,速度,пост,nouns,0.0
1819,实际地,идеально,adverbs,0.29
1820,警告,останавливаться,verbs,0.2
1821,病人,сессия,nouns,0.33
1822,宗教,секулярист,nouns,0.2
1823,困难,легкий,adjectives,0.17
1824,警察,политик,nouns,0.15
1825,能量,батарейка,nouns,1.77
1826,门,коридор,nouns,0.53
1827,空气,молекула,nouns,0.68
1828,贡献,приношение,nouns,3.46
1829,咬,читать,verbs,0.0
1830,书,информация,nouns,1.7
1831,食物,программа,nouns,0.25
1832,传统,ремесло,nouns,1.44
1833,资料,газета,nouns,1.97
1834,陷害,удар,nouns,0.04
1835,剑,окружение,nouns,0.38
1836,创造性地,первоначально,adverbs,0.0
1837,灌木,цветок,nouns,0.87
1838,背景,обои,nouns,2.45
1839,成为,делать,verbs,1.54
1840,卧室,кровать,nouns,1.06
1841,屋顶,потолок,nouns,2.74
1842,星,яркость,nouns,0.83
1843,秒,минута,nouns,1.59
1844,嘴巴,зуб,nouns,0.77
1845,忙碌,ленивый,adjectives,0.1
1846,实现,преуспевать,verbs,2.4
1847,火车,трамвай,nouns,1.86
1848,蔗糖,углевод,nouns,2.63
1849,蚂蚁,муха,nouns,0.62
1850,肩,тело,nouns,1.06
1851,门口,дверь,nouns,3.32
1852,瞇,пялиться,verbs,0.53
1853,北,юг,nouns,0.29
1854,减少,пропитывать,verbs,0.0
1855,毛,ружье,nouns,0.05
1856,白色,узкий,adjectives,0.18
1857,地毯,дом,nouns,0.45
1858,黎明,ночь,nouns,0.39
1859,风尚,мода,nouns,2.73
1860,说话,слышать,verbs,0.38
1861,给予,пожертвование,nouns,3.46
1862,门,присутствие,nouns,0.1
1863,名单,матрица,nouns,0.73
1864,创建,представлять,verbs,0.61
1865,饥饿,иссохший,adjectives,1.46
1866,裙带关系,король,nouns,0.33
1867,合唱,певец,nouns,1.57
1868,精确地,неаккуратно,adverbs,0.18
1869,得到,назначать,verbs,0.15
1870,牙,молоток,nouns,0.05
1871,分析,оценивать,verbs,4.03
1872,步行,стоять,verbs,0.28
1873,电缆,часовня,nouns,0.0
1874,民主,монархия,nouns,0.1
1875,黏,грязный,adjectives,1.22
1876,悄悄地,естественно,adverbs,0.33
1877,一分钱,народ,nouns,0.0
1878,汽车,автомобиль,nouns,5.76
1879,鳟鱼,гитара,nouns,0.0
1880,疏忽,отрекаться,verbs,0.0
1881,狗,кошка,nouns,0.43
1882,成为,казаться,verbs,0.53
1883,大气层,озон,nouns,2.12
1884,短,длинный,adjectives,0.14
1885,蠕虫,вредоносные программы,nouns,0.96
1886,被动地,молча,adverbs,1.17
1887,学院,профессия,nouns,0.39
1888,谢绝,принимать,verbs,0.18
1889,表哥,дядя,nouns,0.93
1890,控制,останавливать,verbs,0.39
1891,踝,кость,nouns,0.82
1892,衣服,пуговица,nouns,0.88
1893,失去,сохранять,verbs,0.14
1894,床,стул,nouns,0.28
1895,篱笆,прыжки,nouns,0.3
1896,人类学,археология,nouns,0.85
1897,节约,тратить,verbs,0.37
1898,尖顶,часовня,nouns,1.02
1899,智力,мудрость,nouns,3.75
1900,煮,жарить,verbs,0.88
1901,危险,болезнь,nouns,0.53
1902,机器人技术,симуляция,nouns,0.73
1903,画廊,адвокат,nouns,0.0
1904,字,словарь,nouns,0.63
1905,家长,взрослый,nouns,2.44
1906,总统,политик,nouns,2.69
1907,坚固地,плотно,adverbs,2.78
1908,任务,остров,nouns,0.0
1909,穿,рвать,verbs,0.09
1910,蚕,гусеница,nouns,2.4
1911,手术,сердце,nouns,0.49
1912,付款,монета,nouns,1.15
1913,承认,говорить,verbs,0.68
1914,静脉,желудок,nouns,0.43
1915,明天,сегодня ночью,adverbs,0.34
1916,简单,жесткий,adjectives,0.09
1917,说明,обсуждать,verbs,1.55
1918,床,спальня,nouns,1.06
1919,寻求,цель,nouns,0.95
1920,故事,книга,nouns,1.82
1921,考古学,антропология,nouns,0.85
1922,宇宙,небо,nouns,1.88
1923,电话,будка,nouns,0.45
1924,果园,страус,nouns,0.0
1925,死亡,бедствие,nouns,1.79
1926,乞求,просить,verbs,3.95
1927,人,доллар,nouns,0.0
1928,聪明,тупой,adjectives,0.2
1929,伤心,смешной,adjectives,0.04
1930,皇帝,губернатор,nouns,0.73
1931,指南,справочник,nouns,3.56
1932,女孩,дева,nouns,2.35
1933,不合理,несправедливо,adverbs,2.3
1934,男人,девушка,nouns,0.18
1935,树木,клен,nouns,3.63
1936,决定,представлять,verbs,0.5
1937,天花板,собор,nouns,0.2
1938,布,одежда,nouns,1.98
1939,练习,повторять,verbs,1.77
1940,音系学,экран,nouns,0.0
1941,乐观地,возможно,adverbs,0.53
1942,联合,сахарный тростник,nouns,0.1
1943,沟通,молиться,verbs,0.47
1944,死,закапывать,verbs,1.44
1945,无穷,ноль,nouns,0.2
1946,蚂蚁,пчела,nouns,0.43
1947,窗台,гора,nouns,0.5
1948,原木,древесина,nouns,3.54
1949,章节,эпизод,nouns,1.26
1950,红色,синий,adjectives,0.14
1951,离开,отходить,verbs,3.03
1952,鼻子,голова,nouns,0.49
1953,赢,доминировать,verbs,0.93
1954,两次,один раз,adverbs,0.37
1955,支持者,крикет,nouns,0.0
1956,察觉,слышать,verbs,1.54
1957,书,литература,nouns,2.15
1958,巫师,кабель,nouns,0.0
1959,残忍,несправедливый,adjectives,1.13
1960,愤怒,настроение,nouns,1.88
1961,柠檬,чай,nouns,0.49
1962,戒除,начинать,verbs,0.05
1963,匆匆地写,записывать,verbs,2.73
1964,前情,прошлое,nouns,4.0
1965,日历,праздник,nouns,0.68
1966,容易,большой,adjectives,0.0
1967,稻草,задача,nouns,0.05
1968,香芹,маффин,nouns,0.1
1969,每当,иногда,adverbs,0.33
1970,小学生,президент,nouns,0.15
1971,雪,погода,nouns,1.42
1972,毛,женщина,nouns,0.2
1973,吉他,барабан,nouns,0.63
1974,四轮货运马车,контейнер,nouns,0.14
1975,胎压计,автомобиль,nouns,0.58
1976,接受,признавать,verbs,3.04
1977,风暴,снег,nouns,0.91
1978,政治家,полицейский,nouns,0.15
1979,困难,тяжелый,adjectives,4.38
1980,小亭,телефон,nouns,0.45
1981,杂乱无章,организованный,verbs,0.18
1982,哥哥,мальчик,nouns,1.69
1983,糟糕,плохой,adjectives,3.77
1984,推,обвинять,verbs,0.18
1985,失去,проваливать,verbs,1.27
1986,智力,невежество,nouns,0.25
1987,水,лед,nouns,2.24
1988,两次,всегда,adverbs,0.05
1989,否认,признание,nouns,0.05
1990,有时候,часто,adverbs,1.49
1991,关键,важный,adjectives,4.07
1992,宽广,узкий,adjectives,0.14
1993,观察,смотреть,verbs,3.88
1994,果汁,молочный коктейль,nouns,0.38
1995,真实,фальшивый,adjectives,0.29
1996,相反,уникальный,adjectives,0.65
1997,游戏,веселье,nouns,0.92
1998,代替,восстанавливать,verbs,0.65
1999,出席,собираться,verbs,0.43
2000,胜利者,человек,nouns,0.63
2001,南,север,nouns,0.29
2002,欠,входить,verbs,0.0
2003,走,посылать,verbs,0.1
2004,不同,спорить,verbs,0.29
2005,奖章,тренери,nouns,0.2
2006,马,кобыла,nouns,3.98
2007,状态,ситуация,nouns,3.11
2008,泥,грязь,nouns,4.95
2009,紧紧地,невероятно,adverbs,0.0
2010,头脑,невроз,nouns,0.19
2011,发生,случаться,verbs,2.58
2012,塔,колокол,nouns,0.72
2013,副驾驶,кокпит,nouns,0.52
2014,手提电脑,портативный компьютер,nouns,4.74
2015,羞辱,утешать,verbs,0.14
2016,解决,заканчивать,verbs,1.62
2017,长大,незрелый,adjectives,0.23
2018,无家可归,миллиардер,nouns,0.05
2019,鼻子,горло,nouns,0.49
2020,貂,масло,nouns,0.2
2021,上衣,шляпа,nouns,0.98
2022,提高,поднимать,verbs,2.92
2023,训斥,требовать,verbs,0.34
2024,地区,зона,nouns,4.12
2025,安慰,унижать,verbs,0.14
2026,开心,радостный,adjectives,5.02
2027,教练,игрок,nouns,0.3
2028,戏法,игра,nouns,0.77
2029,暴力,мягкий,adjectives,0.0
2030,乘,складывать,verbs,0.38
2031,弯曲,прямой,adjectives,0.14
2032,骨头,зубы,nouns,0.97
2033,断绝亲子关系,запускать,verbs,0.0
2034,重,большой,adjectives,1.07
2035,餐,ужин,nouns,2.96
2036,叶,дерево,nouns,0.64
2037,大,легкий,adjectives,0.0
2038,意图,воля,nouns,1.36
2039,公开地,массивно,adverbs,0.65
2040,接受,прощать,verbs,1.92
2041,抓住,выпускать,verbs,0.18
2042,舞蹈,платье,nouns,0.44
2043,家牛,бык,nouns,2.91
2044,给,вкладывать,verbs,0.48
2045,培根,боб,nouns,0.1
2046,飞行员,водитель,nouns,1.57
2047,自豪,дерзкий,adjectives,1.02
2048,新,недавний,adjectives,2.37
2049,尖,гладкий,adjectives,0.14
2050,在别处,домой,adverbs,0.28
2051,合作伙伴,мальчик,nouns,0.63
2052,从不,щедро,adverbs,0.0
2053,自信,уверенный,adjectives,2.8
2054,指甲,шляпка,nouns,0.6
2055,水煮,варёный,adjectives,2.58
2056,密度大,твердый,adjectives,2.72
2057,困难,усилие,nouns,0.79
2058,工业,предприятие,nouns,1.26
2059,忘记,напоминать,verbs,0.18
2060,衣服,ткань,nouns,1.7
2061,作者,читатель,nouns,0.58
2062,现金,деньги,nouns,4.04
2063,宣告,объявлять,verbs,4.87
2064,追求,убеждать,verbs,0.64
2065,案件,аппара́тное обеспече́ние,nouns,0.24
2066,说,участвовать,verbs,0.3
2067,减少,ограничивать,verbs,2.48
2068,毯,дерево,nouns,0.0
2069,错误,точный,adjectives,0.09
2070,石,дерево,nouns,0.15
2071,圣经,псалом,nouns,2.19
2072,总统,ученик,nouns,0.15
2073,猎狗,лиса,nouns,0.52
2074,拒绝,избежать,verbs,0.38
2075,洞,соглашение,nouns,0.0
2076,带来,нести,verbs,2.6
2077,发展,удобрение,nouns,0.38
2078,香槟酒,пиво,nouns,1.78
2079,重复,практиковаться,verbs,1.77
2080,手,ноготь,nouns,0.93
2081,承诺,клясться,verbs,3.46
2082,身体,позвоночник,nouns,1.33
2083,行星,луна,nouns,2.62
2084,拉,толкать,verbs,0.53
2085,进来,уходящий,adjectives,0.1
2086,自行车,автомобиль,nouns,0.57
2087,警察,штурман,nouns,0.04
2088,带来,восстанавливать,verbs,0.1
2089,程序,питание,nouns,0.25
2090,一次,немедленно,adverbs,0.05
2091,真诚地,обычно,adverbs,0.05
2092,完成,выпуститься,verbs,2.28
2093,坚硬,плотный,adjectives,2.72
2094,篮子,мяч,nouns,0.45
2095,游戏,сноровка,nouns,0.77
2096,家伙,бабник,nouns,0.86
2097,自豪,высокомерный,adjectives,2.81
2098,果汁,ложка,nouns,0.15
2099,学生,учитель,nouns,0.68
2100,扼杀,обнимать,verbs,0.3
2101,存在,дверь,nouns,0.1
2102,多面体,актер,nouns,0.0
2103,旗,столб,nouns,0.98
2104,远足,лазить,verbs,0.63
2105,装饰,конверт,nouns,0.42
2106,优雅地,красиво,adverbs,3.19
2107,频繁,невежественный,adjectives,0.1
2108,活塞,мотор,nouns,1.49
2109,公平,несправедливо,adverbs,0.28
2110,田,овёс,nouns,0.72
2111,线索,слово,nouns,0.14
2112,大风,покрывало,nouns,0.0
2113,发炎,болезнь,nouns,3.0
2114,公共汽车,автотранспорт,nouns,2.45
2115,军士,пистолет,nouns,0.44
2116,水平,гол,nouns,0.36
2117,窗口,облако,nouns,0.2
2118,起泡,иллюстрация,nouns,0.0
2119,果汁,яблоко,nouns,1.23
2120,大多,в основном,adverbs,3.3
2121,杆,флаг,nouns,0.98
2122,模糊,неясный,adjectives,4.24
2123,兔子,кот,nouns,0.43
2124,歇斯底里,помрачение,nouns,2.27
2125,冷静地,тонко,adverbs,0.28
2126,留,достигать,verbs,0.04
2127,有趣,серьезный,adjectives,0.05
2128,穆斯林,епископ,nouns,0.52
2129,俱乐部,марка,nouns,0.0
2130,地板,палуба,nouns,1.83
2131,有时,равномерно,adverbs,0.05
2132,瘦,стройный,adjectives,3.92
2133,作者,создатель,nouns,4.25
2134,诗,ритм,nouns,0.88
2135,电脑,диск,nouns,0.97
2136,追逐,ловить,verbs,2.04
2137,喉咙,нос,nouns,0.49
2138,壁,замок,nouns,0.57
2139,小旅馆,мотель,nouns,3.73
2140,午饭,бутерброд,nouns,0.64
2141,和平,солдат,nouns,0.34
2142,授粉,тычинка,nouns,1.02
2143,功课,сочинение,nouns,1.51
2144,本地,тесно,adverbs,0.19
2145,手臂,запястье,nouns,0.7
2146,海岸,канонерская лодка,nouns,0.15
2147,医生,самообладание,nouns,0.15
2148,苦难,отчаяние,nouns,2.03
2149,杀,бороться,verbs,0.79
2150,骑,шаркать,verbs,0.1
2151,歌手,актер,nouns,1.73
2152,巨大,тупой,adjectives,0.04
2153,通知,изображать,verbs,0.0
2154,家牛,корова,nouns,3.02
2155,真实,нечестный,adjectives,0.04
2156,日出,закат,nouns,0.57
2157,一餐,талия,nouns,0.0
2158,小巷,шар,nouns,0.0
2159,汽车,грузовик,nouns,2.66
2160,给,держать,verbs,0.19
2161,猫,кролик,nouns,0.43
2162,成功,пытаться,verbs,0.29
2163,契约,соглашение,nouns,4.57
2164,惩罚,ударять,verbs,0.45
2165,桥,автомобиль,nouns,0.29
2166,优胜者,чемпион,nouns,5.17
2167,蜥蜴,змея,nouns,0.96
2168,目标,победитель,nouns,0.15
2169,成年人,опекун,nouns,2.02
2170,信封,украшение,nouns,0.42
2171,天使,демон,nouns,0.24
2172,肥料,развитие,nouns,0.38
2173,也许,наверное,adverbs,3.72
2174,空出,выселять,verbs,0.68
2175,侮辱,обижать,verbs,2.96
2176,主机板,главная плата,nouns,3.44
2177,保持,лелеять,verbs,0.97
2178,哭,смеяться,verbs,0.18
2179,孩子,мальчик,nouns,3.08
2180,吸收,иметь,verbs,0.43
2181,下面,бок,nouns,0.29
2182,磁盘,зарядное устройство,nouns,0.65
2183,饮食,яблоко,nouns,0.67
2184,油,норка,nouns,0.2
2185,自豪,печальный,adjectives,0.18
2186,妻子,муж,nouns,0.48
2187,新,неиспользуемый,adjectives,3.22
2188,击中,наказать,verbs,0.45
2189,车,гудок,nouns,0.54
2190,负责任,надежно,adverbs,3.17
2191,副驾驶,полицейский,nouns,0.04
2192,酒,виски,nouns,2.97
2193,不耐烦,беспокойный,adjectives,3.17
2194,气球,ванна,nouns,0.0
2195,威力,сила,nouns,3.79
2196,救援,спасать,verbs,4.52
2197,鹰,птица,nouns,1.94
2198,辣,слабый,adjectives,0.0
2199,贫穷,гордый,adjectives,0.1
2200,晚餐,завтрак,nouns,0.71
2201,放,получать,verbs,0.15
2202,咖啡,боб,nouns,0.58
2203,窗,дверь,nouns,0.53
2204,类别,беспорядок,nouns,0.1
2205,帽子,пальто,nouns,0.98
2206,体操,фехтование,nouns,0.66
2207,汽车旅馆,гостиница,nouns,3.73
2208,紫罗兰,цветок,nouns,2.88
2209,剧院,батарейка,nouns,0.0
2210,毁灭,строить,verbs,0.18
2211,城市,городок,nouns,3.61
2212,游行,толпа,nouns,0.94
2213,房间,камера,nouns,1.73
2214,发现,осознавать,verbs,3.21
2215,蕊,опыление,nouns,1.02
2216,订婚,жениться,verbs,2.08
2217,唇,бедро,nouns,0.3
2218,卧室,велосипед,nouns,0.0
2219,作家,дар,nouns,0.4
2220,尝试,убеждать,verbs,0.57
2221,通常,искренне,adverbs,0.05
2222,总统,мэр,nouns,1.5
2223,奇怪,скрытный,adjectives,0.97
2224,脖子,кость,nouns,0.34
2225,布料,одежда,nouns,1.42
2226,允许,опровергать,verbs,0.05
2227,幻想,реальность,nouns,0.8
2228,降落,отходить,verbs,0.24
2229,汽车,улица,nouns,0.54
2230,流体,сопло,nouns,0.0
2231,水,соль,nouns,0.38
2232,诚实地,никогда,adverbs,0.0
2233,班级,колледж,nouns,0.54
2234,课程,желудок,nouns,0.1
2235,粗糙,уродливый,adjectives,0.88
2236,胸部,тело,nouns,1.7
2237,圣歌,солома,nouns,0.0
2238,显然,грубо,adverbs,0.28
2239,英寸,метр,nouns,1.78
2240,木炭,уголь,nouns,1.4
2241,货车,автомобиль,nouns,2.66
2242,承认,отрицать,verbs,0.23
2243,手臂,ветка,nouns,0.2
2244,多,дважды,adverbs,0.29
2245,纽扣,одежда,nouns,0.88
