ID,CMN,SWA,PoS,score
1429,篮子,mpira,nouns,0.2
1430,知道,kusahau,verbs,0.05
1431,走,kuja,verbs,0.28
1432,商业,kampuni,nouns,2.3
1433,拒绝,kukana,verbs,1.13
1434,呛,kupumua,verbs,0.37
1435,显然,ni dhahiri,adverbs,3.01
1436,船,gari,nouns,0.53
1437,凯旋,ushindi,nouns,4.07
1438,兴奋,sisimka,adjectives,0.57
1439,警长,polisi,nouns,4.56
1440,理解,kujua,verbs,4.46
1441,新郎,bibi arusi,nouns,0.57
1442,巨大,mdogo,adjectives,0.14
1443,屏蔽,mwepesi,nouns,0.14
1444,球,mavazi,nouns,0.1
1445,苹果,mpangilio wa chakula,nouns,0.41
1446,发抖,kutetemeka,verbs,0.18
1447,时装,mtindo,nouns,0.74
1448,骨头,mkono,nouns,0.53
1449,插曲,sehemu,nouns,1.3
1450,公式,kuzidisha,nouns,0.0
1451,生日,mwaka,nouns,0.61
1452,鸡,chakula cha usiku,nouns,0.39
1453,壁橱,nguo,nouns,0.43
1454,原木,mbao,nouns,3.34
1455,进来,inayoingia,adjectives,0.2
1456,历史学家,mtalaamu wa historia,nouns,5.63
1457,梦想,ndoto,nouns,0.14
1458,发送,kwenda,verbs,0.1
1459,喇叭,gari,nouns,0.39
1460,保护,kukinga,verbs,4.35
1461,打,kupiga,verbs,0.0
1462,紧张地,kwa woga,adverbs,4.36
1463,赢,kufanikiwa,verbs,4.37
1464,牛肉,nyama ya ng'ombe,nouns,3.42
1465,进入,kuondoka,verbs,0.23
1466,来,kufika,verbs,3.06
1467,偷,iba,verbs,0.73
1468,心脏,upasuaji,nouns,0.39
1469,谦虚,pole,adjectives,0.87
1470,小说,simulizi,nouns,0.24
1471,戏法,bunduki,nouns,0.1
1472,演员,mwigaji,nouns,0.26
1473,原谅,samehea,verbs,4.36
1474,脏,chafu,adjectives,0.0
1475,鼻子,kinywa,nouns,0.24
1476,戒除,kuanza,verbs,0.05
1477,迅速,wa haraka,adjectives,4.9
1478,大多,zaidi,adverbs,0.38
1479,保龄,bowling,nouns,1.75
1480,表达,kujielezea,verbs,2.63
1481,杜松子酒,wiski,nouns,2.17
1482,大规模,kubwa,adjectives,0.04
1483,孩子,mtoto wa kike,nouns,2.25
1484,米饭,maharagwe,nouns,0.47
1485,学生,mwanachuo,nouns,4.2
1486,打碎,kuvunja,verbs,3.71
1487,枪,manyoya,nouns,0.0
1488,菠萝,nanasi,nouns,0.0
1489,欠,kukopesha,verbs,0.43
1490,运动鞋,wakufunzi,nouns,0.34
1491,离开,kuondoka,verbs,0.18
1492,建立,kujumlisha,verbs,0.6
1493,乘,kugawanya,verbs,0.33
1494,心烦,kasirika,adjectives,0.14
1495,报纸,neno,nouns,0.92
1496,管理,utawala,nouns,3.51
1497,阻碍,kukuifungia,verbs,0.0
1498,写,kuchorachora,verbs,2.88
1499,想像,kuumba,verbs,0.36
1500,羞耻,jisikia aibu,adjectives,0.14
1501,断绝亲子关系,kutelekeza,verbs,1.04
1502,稻草,nyimbo,nouns,0.0
1503,吸血鬼,vampire,nouns,0.73
1504,走,kuanza,verbs,0.14
1505,头,msumari,nouns,0.1
1506,平滑,nyororo,adjectives,0.09
1507,大主教,askofu,nouns,4.38
1508,同音词,nyumba ya nyumbani,nouns,0.0
1509,书,taarifa,nouns,1.35
1510,定位,kutafuta,verbs,0.51
1511,貂,mafuta,nouns,0.0
1512,钥匙,funguo,nouns,1.01
1513,白兰地,divai,nouns,3.06
1514,演员,mchezaji wa kike,nouns,3.68
1515,气旋,kimbunga,nouns,3.89
1516,坦白,kanusho,nouns,0.1
1517,礼物,zawadi,nouns,0.0
1518,晚上,sura,nouns,0.0
1519,云,hali ya hewa,nouns,1.84
1520,世纪,muongo,nouns,1.4
1521,运输,gari,nouns,1.46
1522,鸵鸟,mbuni,nouns,0.0
1523,河,bonde,nouns,1.11
1524,帮手,mfanyakazi wa nyumbani,nouns,2.97
1525,烘烤,kuoka,verbs,1.35
1526,忘记,kusamehe,verbs,0.57
1527,绑架,kuteka nyara,verbs,1.18
1528,摇床,kitanda cha mtoto,nouns,3.05
1529,页,neno,nouns,0.05
1530,面包,unga,nouns,1.46
1531,艺术家,msanii,nouns,0.81
1532,有攻击性的,kwa mabavu,adjectives,0.83
1533,紧张,wasiwasi,adjectives,2.75
1534,饼干,biskuti,nouns,0.0
1535,草莓,strouberi,nouns,1.67
1536,八月,mwezi,nouns,2.8
1537,飞行员,dereva,nouns,1.92
1538,茶,limau,nouns,0.15
1539,朋友,mvulana,nouns,0.74
1540,传感器,sensa,nouns,0.48
1541,山羊,ngombe,nouns,0.47
1542,播放机,mchezaji,nouns,0.6
1543,庆祝,kusherekea,verbs,0.23
1544,意图,nia,nouns,1.26
1545,徽章,baji,nouns,0.04
1546,电车,tramu,nouns,1.86
1547,高速公路,barabara kuu,nouns,4.37
1548,大门,mlango,nouns,5.32
1549,牧师,mungu,nouns,0.39
1550,女儿,kijana,nouns,2.25
1551,使气馁,kutia moyo,verbs,0.28
1552,洗澡,shower,nouns,0.0
1553,装作,kuwazia,verbs,0.14
1554,戒指,pete,nouns,0.79
1555,贫穷,maskini,adjectives,0.04
1556,静脉,mkono,nouns,0.29
1557,冬天,msimu,nouns,2.58
1558,床,fanicha,nouns,3.22
1559,百科全书,ensaiklopidia,nouns,2.21
1560,圣歌,majani makavu,nouns,0.0
1561,奇怪,wa kawaida,adjectives,0.24
1562,音系学,fonolojia,nouns,0.15
1563,逃走,kutoroka,verbs,4.92
1564,抱怨,kuleta,verbs,0.14
1565,累,choka,adjectives,0.23
1566,公平,kwa haki,adverbs,0.23
1567,白色,nyeupe,adjectives,0.18
1568,芝士,mkate,nouns,0.24
1569,原木,kuoga,nouns,0.0
1570,地板,mlango,nouns,0.05
1571,法庭,mahakama,nouns,1.41
1572,肯定地,hakika,adverbs,3.88
1573,走廊,mlango,nouns,0.43
1574,从不,kamwe,adverbs,0.04
1575,苹果,peremende,nouns,0.24
1576,懒,mvivu,adjectives,0.07
1577,主要地,haswa,adverbs,0.1
1578,社会生物学,jamii,nouns,0.23
1579,牙医,daktari wa meno,nouns,4.59
1580,自行车,baiskeli,nouns,0.0
1581,云,ukungu,nouns,3.17
1582,争论,kujadili,verbs,0.14
1583,作家,muandishi,nouns,0.0
1584,大,kubwa,adjectives,0.05
1585,提高,kulea,verbs,0.0
1586,实现,kufanikiwa,verbs,2.4
1587,说话,kutambua,verbs,0.38
1588,重大,muhimu,adjectives,0.09
1589,竿,pazia,nouns,0.18
1590,罐,kopo,nouns,2.22
1591,疾病,saratani,nouns,3.75
1592,宠物,paka,nouns,3.28
1593,提醒,kusahau,verbs,0.23
1594,电缆,amari,nouns,0.0
1595,雪崩,maporomoko ya theluji,nouns,2.46
1596,章节,sura,nouns,1.3
1597,开襟毛衣,fulana,nouns,1.58
1598,花园,mpira wa maji,nouns,0.05
1599,尝试,kufikiria,verbs,0.28
1600,分界线,ukingo,nouns,3.64
1601,肩,mwili,nouns,0.71
1602,击剑,uzio,nouns,0.46
1603,奇怪,si wa kawaida,adjectives,3.73
1604,承认,kukubali,verbs,0.28
1605,装饰,mapambo,nouns,0.32
1606,似乎,kuwa,verbs,0.34
1607,技巧,akili,nouns,2.42
1608,信心十足地,kwa kujiamini,adverbs,0.05
1609,制服,kuzidiwa,verbs,0.04
1610,浪费,takataka,verbs,0.0
1611,外套,sweta,nouns,3.34
1612,疯,mgonjwa,adjectives,0.66
1613,花,imani,nouns,0.14
1614,想要,kutaka,verbs,4.14
1615,发现,kutokana,verbs,0.24
1616,优胜者,uwepo,nouns,0.05
1617,查询,kuwaza,verbs,0.29
1618,鼓,pembe,nouns,0.15
1619,许多,wingi,nouns,3.44
1620,电,umeme,nouns,0.04
1621,联合,umoja,nouns,1.07
1622,降落,teremka,verbs,0.49
1623,知觉,kuona,nouns,1.23
1624,文学,kitabu,nouns,2.05
1625,轻松,kupumzika,adjectives,0.55
1626,羊,mwanakondoo,nouns,4.08
1627,毁灭,ujenzi,nouns,0.18
1628,幻想,uhalisi,nouns,0.6
1629,卧室,baisikeli,nouns,0.0
1630,天花板,kanisa kuu,nouns,0.15
1631,公国,dukedom,nouns,1.83
1632,病菌,vijidudu,nouns,2.68
1633,自信,ana hakika,adjectives,3.2
1634,很可能,uwezekano,adverbs,3.83
1635,电池,betri,nouns,1.27
1636,狡猾,mgeni,adjectives,0.32
1637,能量,nishati,nouns,1.27
1638,天空,anga,nouns,0.14
1639,协议,tundu,nouns,0.0
1640,器官,ini,nouns,2.47
1641,管理,panya,nouns,0.0
1642,新鲜,mzee,adjectives,0.14
1643,被动地,kwa kutegemewa,adverbs,0.0
1644,选择,jela,nouns,0.15
1645,未成形,kutobadilishwa,adjectives,0.05
1646,不同意,kataa,verbs,0.28
1647,冷淡,wa kukwaruza,adjectives,0.04
1648,经济,uchumi,nouns,0.15
1649,课程,tendo,nouns,0.38
1650,说,kuhakikisha,verbs,0.05
1651,情人,mwenzi,nouns,4.74
1652,天气,hali ya hewa,nouns,0.45
1653,跳跃,kuruka,nouns,0.0
1654,苹果,malimau,nouns,0.34
1655,判断,hakimu,verbs,0.29
1656,现实地,kwelikweli,adverbs,0.0
1657,频繁,mara kwa mara,adjectives,0.47
1658,掩盖,kufunika,verbs,1.81
1659,男孩,kijana,nouns,3.58
1660,扼杀,kuwa nyororo,verbs,0.0
1661,贫困,utajiri,nouns,0.15
1662,抖动,kutikisa,verbs,2.15
1663,弯曲,pinda,adjectives,0.19
1664,演员,mwigizaji,nouns,0.43
1665,冷静地,kwa utulivu,adverbs,1.97
1666,金属,chuma,nouns,2.85
1667,搏斗,kupigana,verbs,0.18
1668,便条,kumbuku,nouns,0.33
1669,自豪,mjasiri,adjectives,0.52
1670,不需要,lazima,adjectives,0.14
1671,稍后,baadae,adverbs,0.09
1672,给予,kukana,verbs,0.05
1673,抱怨,kugombana,verbs,1.54
1674,腿,kiungo,nouns,1.6
1675,毁灭,kutengeneza,verbs,0.14
1676,字母,alphabeti,nouns,0.0
1677,精确地,kwa usahihi,adverbs,0.18
1678,智力,mantiki,nouns,3.0
1679,日历,kalenda,nouns,0.33
1680,广场,mraba,nouns,0.14
1681,赚,kustahili,verbs,0.73
1682,容器,panya,nouns,0.0
1683,大海,mto,nouns,2.25
1684,指控,kushtaki,verbs,0.14
1685,降落,kushuka,verbs,0.04
1686,读者,mtunzi,nouns,0.28
1687,正常,tofauti,adjectives,0.05
1688,容器,mshipa,nouns,0.05
1689,发动机,mashine,nouns,3.08
1690,教堂,kanisa ,nouns,0.0
1691,主机板,bodi mama(mama as central),nouns,3.93
1692,想要,kuazima,verbs,0.43
1693,选择,oni,nouns,1.35
1694,黎明,mchana,nouns,1.92
1695,容易,imara,adjectives,0.1
1696,批评,kupinga,verbs,0.28
1697,撤退,kurudia,verbs,0.04
1698,需要,kuandaa,verbs,0.1
1699,窗口,dirisha,nouns,0.14
1700,侵蚀,kumomonyoka,verbs,0.82
1701,幸运,enye bahati,adjectives,0.04
1702,满足,kufahamu,verbs,0.23
1703,洗手间,jiko,nouns,0.19
1704,保持,kumiliki,verbs,0.53
1705,紧张,kuoga,adjectives,0.0
1706,从不,kamwe,adverbs,0.0
1707,胎压计,gari,nouns,0.18
1708,线,uzi,nouns,0.0
1709,开心,ana hasira,adjectives,0.56
1710,汽车,gari,nouns,3.36
1711,沙发,baseball,nouns,0.0
1712,衣服,kifungo,nouns,0.53
1713,不同,kukubali,verbs,0.05
1714,白天,usiku,nouns,0.2
1715,男子,baba,nouns,2.58
1716,秒,dakika,nouns,2.44
1717,孩子,mvulana,nouns,3.58
1718,赞成,kukubali,verbs,4.11
1719,女孩,mvulana,nouns,0.24
1720,显微镜,darubini,nouns,0.34
1721,生日,tarehe,nouns,1.42
1722,模拟,onyesho,nouns,0.28
1723,小麦,nafaka,nouns,2.79
1724,顶,upande,nouns,0.39
1725,宽广,mkubwa,adjectives,3.24
1726,征服,mapigano,nouns,0.38
1727,鼓励,kukanya,verbs,0.28
1728,目标,jitihada,nouns,0.65
1729,衣服,koti,nouns,3.49
1730,管弦乐队,bendi,nouns,4.41
1731,男人,mshindi,nouns,0.18
1732,撕开,kuchana,verbs,0.14
1733,信封,bahasha,nouns,0.32
1734,和平地,kwa amani,adverbs,0.0
1735,否认,kukiri,nouns,0.1
1736,成长,kupungua,verbs,0.14
1737,摇动,kutikisa,verbs,0.04
1738,傻,wa kitoto,adjectives,3.35
1739,公开地,wazi,adverbs,0.6
1740,猫,panya,nouns,0.29
1741,家具,fleti,nouns,0.1
1742,女人,sekretari,nouns,0.67
1743,俱乐部,klabu,nouns,0.0
1744,断绝亲子关系 or...,kutelekeza,verbs,0.05
1745,枪,watu,nouns,0.05
1746,向量,vector,nouns,1.25
1747,考试,mtihani,nouns,0.43
1748,发送,kupokea,verbs,0.47
1749,借款人,mkopi,nouns,0.91
1750,酒店,fleti,nouns,0.67
1751,印象,imani,nouns,0.24
1752,白天,alfajiri,nouns,1.92
1753,博物馆,jumba la makumbusho,nouns,0.0
1754,捏,kufinya,verbs,0.33
1755,绊倒,kujikwaa,verbs,2.45
1756,音乐,muziki,nouns,1.04
1757,马,mbwa,nouns,0.61
1758,军团,jeshi,nouns,3.98
1759,戏弄,kutania,verbs,0.32
1760,面包,chizi,nouns,0.24
1761,男人,mpiganaji,nouns,0.73
1762,手指,kidole cha mguu,nouns,0.89
1763,爸爸,mama,nouns,0.53
1764,稻草,mke,nouns,0.09
1765,脊柱,shingo,nouns,0.38
1766,奇怪,mwerevu,adjectives,0.32
1767,女仆,msaidizi,nouns,2.97
1768,出现,kuhudhuria,verbs,3.34
1769,巫师,mchawi,nouns,0.0
1770,开口,kufungua,nouns,3.17
1771,碟,bakuli,nouns,2.46
1772,手臂,mshipa,nouns,0.29
1773,需求,kutaka,verbs,0.09
1774,肩,kichwa,nouns,0.49
1775,基质,matriksi,nouns,0.41
1776,可悲的是,kwa huzuni,adverbs,0.44
1777,娱乐,kujipendekeza,verbs,0.36
1778,距离,umbali,nouns,0.14
1779,毛线衣,fulana,nouns,0.46
1780,气球,watu,nouns,0.0
1781,杂,kumbakumba,adjectives,0.0
1782,协议,makubaliano,nouns,4.97
1783,服从,kusikiliza,verbs,2.41
1784,知道,kuamini,verbs,0.85
1785,知道,kuelewa,verbs,3.74
1786,身体,uti,nouns,0.88
1787,实质上,kimsingi,adverbs,0.45
1788,狭窄,mpana,adjectives,0.14
1789,给,kutoa,verbs,0.05
1790,对抗,kubuni,verbs,0.04
1791,手臂,mfupa,nouns,0.53
1792,鸡,wali,nouns,0.1
1793,车,motokaa,nouns,5.81
1794,车,honi,nouns,0.39
1795,笼子,kizuizi,nouns,1.36
1796,宽,mbivu,adjectives,0.0
1797,拿,kuondoka,verbs,0.0
1798,烟草,sigara,nouns,4.61
1799,树枝,shina,nouns,0.04
1800,谦逊地,kwa unyenyekevu,adverbs,0.0
1801,连接,kubandika,verbs,0.18
1802,皮肤,ngozi,nouns,0.0
1803,手掌,kidole,nouns,1.51
1804,得到,kununua,verbs,0.56
1805,红酒,kileo,nouns,3.96
1806,身体,kifua,nouns,1.95
1807,船,nanga,nouns,0.78
1808,污染,rais,nouns,0.1
1809,脖子,uti,nouns,0.38
1810,协议,pambano,nouns,0.28
1811,私人,faragha,adjectives,3.73
1812,帽子,koti,nouns,0.89
1813,作业,jukumu,nouns,3.13
1814,叔叔,shangazi,nouns,0.47
1815,脖子,mkono,nouns,0.24
1816,侮辱,kutukana,verbs,3.01
1817,汽车,gari la farasi,nouns,1.46
1818,保持,kupa,verbs,0.19
1819,消失,kupungua,verbs,0.58
1820,真实,halisi,adjectives,0.24
1821,不开心,ana hasira,adjectives,3.08
1822,女人,manyoya,nouns,0.0
1823,正式,rasmi,adverbs,0.32
1824,目前,kwa sasa,adverbs,2.54
1825,听,kusikia,verbs,0.89
1826,作家,mwandishi,nouns,0.24
1827,球拍,raketi,nouns,0.48
1828,偏见,kubagua,verbs,2.63
1829,厂,gari,nouns,0.14
1830,糖果,peremende,nouns,0.24
1831,弱,dhaifu,adjectives,0.1
1832,出现,kuondoka,verbs,0.4
1833,拒绝,kuepa,verbs,1.43
1834,淋透,kulowesha,verbs,0.0
1835,澄清,kueleza,verbs,4.03
1836,灾难,kifo,nouns,2.04
1837,暴风雪,theluji kali,nouns,0.61
1838,奇怪,ya kushangaza,adjectives,0.15
1839,电容器,capacitor,nouns,0.93
1840,得到,kubaki,verbs,0.15
1841,总是,mara kwa mara,adverbs,0.25
1842,裙子,sketi,nouns,0.0
1843,经常,mara nyingi,adverbs,1.54
1844,罕见,mpumbavu,adjectives,0.0
1845,想,kutafiti,verbs,0.29
1846,岛,mtoto wa mfalme,nouns,0.0
1847,不显眼地,kwa siri,adverbs,0.18
1848,总统,kamera,nouns,0.0
1849,猫,mnyama,nouns,3.28
1850,河,mkondo,nouns,3.47
1851,赢,kutawala,verbs,0.43
1852,危险,ugonjwa,nouns,0.57
1853,长,mwembamba,adjectives,0.24
1854,大教堂,dari,nouns,0.15
1855,按下,kuvyombo vya habari,verbs,0.0
1856,棉,pamba,nouns,0.46
1857,装作,kuonekana,verbs,0.29
1858,米饭,kuku,nouns,0.1
1859,游标,mshale,nouns,0.04
1860,日常,kila siku,adverbs,2.99
1861,玻璃,glasi,nouns,0.04
1862,移动,kutoka,verbs,0.05
1863,声明放弃,kukataa,verbs,0.69
1864,门,mlangoni,nouns,3.57
1865,台风,dhoruba,nouns,3.89
1866,尝试,kutimiza,verbs,0.66
1867,尖,ncha kali,adjectives,0.09
1868,球,mpira,nouns,1.9
1869,港口,bandari,nouns,0.0
1870,僵硬,ngumu,adjectives,0.24
1871,刺激,kusumbua,verbs,0.04
1872,拉比,mwalimu,nouns,1.06
1873,跟随,kufuata,verbs,2.46
1874,分子,hewa,nouns,0.43
1875,缺口,uwazi,nouns,3.17
1876,神经官能症,ugonjwa wa neurosis,nouns,0.59
1877,自信,mtazamo,nouns,0.64
1878,肯定,bila shaka,adjectives,4.89
1879,汽车,mpira wa maji,nouns,0.04
1880,日落,jioni,nouns,5.38
1881,威士忌酒,shampeni,nouns,2.98
1882,红色,nyekundu,adjectives,0.39
1883,老师,rabai,nouns,1.06
1884,得到,kushindwa,verbs,0.28
1885,桥,gari,nouns,0.14
1886,日期,kalenda,nouns,3.12
1887,房间,kuoga,nouns,0.1
1888,找到,kuonyesha mahali pa,verbs,0.51
1889,大灾变,siku ya mwisho,nouns,0.41
1890,友善,mkarimu,adjectives,2.6
1891,臀部,mdomo,nouns,0.05
1892,出席,kutuma,verbs,0.0
1893,活塞,pistoni,nouns,1.29
1894,飞行,ndege,nouns,3.35
1895,救,kulinda,verbs,1.73
1896,侵略,uadui,nouns,0.97
1897,交付,kuchukua,verbs,0.24
1898,灵活,mwenye kiasi,adjectives,0.87
1899,段,herufi,nouns,0.34
1900,鼻子,pua,nouns,0.54
1901,除,kuzidisha,verbs,0.33
1902,诚实地,kwa kweli,adverbs,1.94
1903,油,ngozi,nouns,0.0
1904,洗,kuosha,verbs,4.37
1905,跛行,kuchechemea,verbs,2.38
1906,弯曲,pembe,nouns,1.2
1907,赚,kutengeneza,verbs,0.38
1908,担心,kuwa na wasiwasi,verbs,0.0
1909,注意,masilahi,nouns,0.43
1910,不同,kitofauti,adverbs,0.0
1911,治疗,tiba,nouns,0.15
1912,硬币,sarafu,nouns,1.15
1913,昂贵,ghali,adjectives,0.0
1914,蜜蜂,malkia,nouns,0.1
1915,完成,kushinda,verbs,2.69
1916,接受,kupendekeza,verbs,0.39
1917,陷害,fremu,nouns,0.04
1918,幸福,furaha,nouns,0.1
1919,手,mguu,nouns,0.63
1920,允许,kupa,verbs,0.9
1921,课程,tumbo,nouns,0.05
1922,海军,jeshi la wanamaji,nouns,0.04
1923,乏味,kulivu,adjectives,0.0
1924,舌头,misuli,nouns,0.49
1925,记者,mwanahabari,nouns,0.2
1926,争论,ukosoaji,nouns,0.9
1927,画廊,nyumba ya sanaa,nouns,0.0
1928,阿姨,mpwa,nouns,0.24
1929,能力,ustadi,nouns,3.54
1930,章,chaguo,nouns,0.1
1931,活动,inayo hamishika,adjectives,0.53
1932,自然地,kwa uhalisia,adverbs,0.48
1933,打算,kuania,verbs,1.46
1934,发出恶臭,kutoa harufu,verbs,2.13
1935,门,sela,nouns,0.18
1936,沙漠,jangwa,nouns,2.51
1937,完全地,kwa ukamilifu,adverbs,0.1
1938,捕获,kudaka,verbs,3.75
1939,日志,kanuni,nouns,0.0
1940,假日,likizo,nouns,0.33
1941,屋顶,paa,nouns,0.14
1942,普通,kawaida,adjectives,0.0
1943,泉,kisima,nouns,3.26
1944,理想地,walau,adverbs,0.39
1945,不可能,kutowekana,adjectives,0.24
1946,逮捕,kukamatwa,verbs,0.18
1947,严肃,makini,adjectives,0.0
1948,汽车,kiwanda,nouns,0.14
1949,煮,kupika,verbs,0.07
1950,大厦,jengo,nouns,0.54
1951,地心引力,mvuto,nouns,0.0
1952,收到,kupa,verbs,0.3
1953,不经常,mara chache,adverbs,0.18
1954,水煮,chemshwa,adjectives,3.27
1955,矩阵,matriksi,nouns,1.25
1956,可行,inawezekana,adjectives,0.24
1957,窄小,mpana,adjectives,0.18
1958,观看,kuangalia,verbs,4.93
1959,吸收,kumiliki,verbs,0.28
1960,父亲,mwanaume,nouns,2.58
1961,虫害,wadudu,nouns,0.58
1962,杀,ua,verbs,0.73
1963,听,kutii,verbs,2.41
1964,米,inchi,nouns,2.23
1965,岛,kisiwa,nouns,0.04
1966,安全,starehe,nouns,0.49
1967,冷静,utulivu,adjectives,0.6
1968,无知,mjinga,adjectives,0.04
1969,高度,urefu,nouns,0.04
1970,地毯,nyumba,nouns,0.15
1971,平均,wastani,adjectives,0.47
1972,银行,benki,nouns,0.09
1973,道德,adili,nouns,0.0
1974,大教堂,kanisa kuu,nouns,4.92
1975,机灵,mpumbavu,adjectives,0.19
1976,清醒,kuamka,verbs,0.23
1977,审判,wamuzi,nouns,1.46
1978,友好,nzuri,adjectives,0.59
1979,老鼠,sitaha,nouns,0.0
1980,批评,muhimu,adjectives,0.32
1981,科学,saikolojia,nouns,2.6
1982,尾巴,sura,nouns,0.0
1983,高速公路,jukumu,nouns,0.1
1984,毛,bunduki,nouns,0.0
1985,加入,kuambatisha,verbs,0.91
1986,大,mkubwa sana,adjectives,3.81
1987,车,geji,nouns,0.18
1988,和声,umoja,nouns,0.28
1989,叶,jani,nouns,0.77
1990,教堂,kanisa,nouns,4.92
1991,窗,mlango,nouns,0.78
1992,听见,kuzungumza,verbs,0.43
1993,承认,kujulisha,verbs,0.3
1994,机器人技术,roboti,nouns,0.28
1995,便宜货,maafikiano,nouns,0.04
1996,允许,kuruhusu,verbs,0.0
1997,薪水,ada,nouns,0.6
1998,街,kichochoro,nouns,2.63
1999,浮动,kuelea,verbs,0.0
2000,四轮货运马车,chombo,nouns,0.09
2001,樱桃,cheri,nouns,1.67
2002,瞄准,kulenga,verbs,1.5
2003,母鸡,batamzinga,nouns,1.58
2004,猴子,nyani,nouns,0.0
2005,坚强,wa kujivunia,adjectives,0.33
2006,首领,meya,nouns,2.68
2007,啜,kuonja,verbs,0.23
2008,标识,ishara,nouns,0.0
2009,纸,kuni,nouns,0.38
2010,岛,ufuko,nouns,0.98
2011,承诺,kuweka ahadi,verbs,4.11
2012,种族主义,ubaguzi wa rangi,nouns,3.59
2013,宽广,mwembamba,adjectives,0.14
2014,神经,mwili,nouns,1.31
2015,有趣,inayochekesha,adjectives,0.0
2016,苗条,mwembamba,adjectives,4.53
2017,砖,ukuta,nouns,1.22
2018,雇主,mwajiriwa,nouns,0.2
2019,拒绝,kukataa,verbs,0.59
2020,唇,nyonga,nouns,0.05
2021,船,meli,nouns,0.0
2022,家伙,rafiki,nouns,0.74
2023,床,kochi,nouns,1.11
2024,手指,kiganja,nouns,1.51
2025,出席,kuhudhuria,verbs,0.09
2026,可能,ikiwezekana,adverbs,3.83
2027,划分,kugawanya,verbs,0.33
2028,胸部,mwili,nouns,1.95
2029,奇怪地,kiajabu,adverbs,0.53
2030,之后,baada ya,adverbs,0.23
2031,钢琴,kinanda,nouns,0.28
2032,公共汽车,chombo cha usafiri,nouns,3.65
2033,肝,pafu,nouns,0.52
2034,订婚,uchumba,nouns,0.79
2035,媒介,habari,nouns,2.09
2036,工作,jukumu,nouns,3.28
2037,市长,rais,nouns,1.4
2038,歌曲,wimbo,nouns,0.43
2039,检查,kuchunguza,verbs,4.32
2040,联合,shirikisho,nouns,2.33
2041,天文学家,mtaalam wa nyota,nouns,0.09
2042,犹豫,sitasita,adjectives,0.23
2043,环球航行,mzunguko,nouns,0.0
2044,可怕,mwenye huzuni,adjectives,0.43
2045,忘记,kukumbusha,verbs,0.23
2046,人,mnyama,nouns,1.25
2047,摔倒,kuanguka,verbs,2.45
2048,责怪,kulaumu,verbs,0.18
2049,说服,kushawishi,verbs,0.32
2050,人群,gwaride,nouns,0.34
2051,拉,kuvuta,verbs,0.72
2052,公开,bila siri,adjectives,0.24
2053,雨,mvuke,nouns,0.51
2054,锁起来,funga,nouns,1.25
2055,房间,chumba,nouns,0.54
2056,冰,barafu,nouns,3.17
2057,粗糙,mbaya,adjectives,1.07
2058,发光,kumeremeta,verbs,3.56
2059,逃跑,kukimbia,verbs,4.92
2060,酸奶,mgando,nouns,0.33
2061,符号,msimbo,nouns,2.41
2062,说谎,kudanganya,verbs,0.23
2063,看来,inaonekana,adverbs,0.55
2064,学习,kujifunza,verbs,1.44
2065,羞耻,kua na aibu,adjectives,0.04
2066,发展,ukuaji,nouns,0.33
2067,腰,tumbo,nouns,1.54
2068,杯子,kijiko,nouns,0.39
2069,借,kudaiwa,verbs,0.43
2070,见面,kukusanya,verbs,1.32
2071,泥土,matope,nouns,4.54
2072,支气管炎,ugonja wa bronchitis,nouns,0.24
2073,冰,maji,nouns,2.34
2074,借,kupa,verbs,2.29
2075,井然有序,kwa mpangilio,adjectives,0.14
2076,果汁,maziwa,nouns,0.62
2077,乐队,wanamuziki,nouns,4.41
2078,脚,mkono,nouns,0.63
2079,相反,kinyume,adjectives,0.75
2080,威胁,hatari,nouns,4.01
2081,惩罚,kuadhibu,verbs,0.09
2082,磁盘,diski,nouns,0.04
2083,社会,jamii,nouns,1.34
2084,首词,nenokuu,nouns,0.57
2085,探路者,njia,nouns,0.14
2086,母亲,baba,nouns,0.53
2087,骑,endesha,verbs,0.0
2088,教育,elimisha,verbs,2.88
2089,手腕,mkono,nouns,0.85
2090,标志,ishara,nouns,0.29
2091,大声地,kwa sauti,adverbs,0.0
2092,成功,kushinda,verbs,4.37
2093,员工,wafanyakazi,nouns,0.33
2094,休会,kuhairisha,verbs,0.74
2095,老鼠,paka,nouns,0.29
2096,枪,bunduki,nouns,0.0
2097,圣经,kitabu,nouns,2.58
2098,诈骗,uhalifu,nouns,2.96
2099,社会,klabu,nouns,0.3
2100,成功,kujaribu,verbs,0.58
2101,简单,rahisi,adjectives,4.63
2102,新,ya zamani,adjectives,0.18
2103,谦虚,ana aibu,adjectives,0.18
2104,笨,mpumbavu,adjectives,1.31
2105,晚餐,kuku,nouns,0.39
2106,律师,mwanasheria,nouns,0.0
2107,国境,mpaka,nouns,3.64
2108,部,huduma,nouns,0.0
2109,脏,chafu,adjectives,0.47
2110,溺爱,kuharibu,verbs,0.0
2111,容易,pole,adjectives,0.23
2112,卖,kwenda,verbs,0.0
2113,代数,algebra,nouns,0.0
2114,偶然,mara chache,adverbs,0.72
2115,婴儿,mtu mzima,nouns,0.38
2116,毁灭,haribu,verbs,2.22
2117,不可能,sio rahisi,adverbs,0.09
2118,愤怒,mjeuri,adjectives,1.55
2119,获得,kujiunga,verbs,0.1
2120,接受,kupeleka,verbs,0.0
