ID,HEB,SWA,PoS,score
1341,בבטחה,kwa usalama,adverbs,0.35
1342,כלה,mtoto wa mfalme,nouns,0.65
1343,מתון,vuguvugu,adjectives,0.45
1344,כתב יד,muswada,nouns,1.65
1345,מעיל,kofia,nouns,0.8
1346,בנחישות,kiukakamavu,adverbs,0.3
1347,לחם,nyama,nouns,0.55
1348,תהילה,utajiri,nouns,0.95
1349,שחמט,chess,nouns,3.25
1350,זרע,mbegu,nouns,0.55
1351,שמחה,furaha,nouns,0.65
1352,להכחיש,kukana,verbs,1.45
1353,בור,mjinga,adjectives,0.05
1354,אל,roho,nouns,1.65
1355,רע,ana hatia,adjectives,1.35
1356,ניתוח,moyo,nouns,0.75
1357,שיר,tuni,nouns,3.45
1358,תוקפני,kwa mabavu,adjectives,0.75
1359,פיל,ndovu,nouns,0.28
1360,וירוס,kirusi,nouns,0.8
1361,מכונית,gari,nouns,1.1
1362,מיץ,juisi,nouns,0.25
1363,מחברת,daftari,nouns,0.0
1364,ענן,hali ya hewa,nouns,1.35
1365,להתארס,kuoa,verbs,2.5
1366,מבחן,mtihani,nouns,0.65
1367,באופן ידידותי,kirafiki,adverbs,0.0
1368,להריח,kunusia,verbs,1.3
1369,רע,wa dhambi,adjectives,2.25
1370,מצביע,kionyeshi,nouns,0.2
1371,לקבל,kupeleka,verbs,0.5
1372,מציאות,ndoto,nouns,0.7
1373,לנצח,kufanikisha,verbs,2.55
1374,ארוחה,nyama ya nguruwe,nouns,1.1
1375,אוטו,gari,nouns,5.85
1376,לחקות,kuiga,verbs,0.15
1377,דמעה,jicho,nouns,1.45
1378,משונה,wa kigeni,adjectives,3.75
1379,להאשים,kushtaki,verbs,0.4
1380,תסריטאי,mwandishi wa filamu,nouns,0.8
1381,מטופל,mgonjwa,nouns,0.55
1382,לקבל,kujipatia,verbs,1.85
1383,קל,ana shida,adjectives,0.45
1384,שטח,mkoa,nouns,4.45
1385,לבדר,kufurahia,verbs,2.3
1386,ערמומי,njia za panya,adjectives,1.65
1387,טרי,mpana,adjectives,0.0
1388,מורה,msaidizi,nouns,1.1
1389,תקרה,paa,nouns,4.05
1390,עבד,falahi,nouns,3.8
1391,עצם,meno,nouns,0.9
1392,נורא,kwa hasira,adverbs,0.45
1393,מצעד,umati,nouns,1.0
1394,לקבל,kununua,verbs,0.75
1395,בצורת,ukame,nouns,0.55
1396,אחרת,tofauti,adverbs,0.5
1397,עיתון,neno,nouns,0.85
1398,להתייפח,kutoa machozi,verbs,5.15
1399,בחור,patna,nouns,0.85
1400,באולינג,bowling,nouns,2.7
1401,שמיים,anga,nouns,0.45
1402,שלג,hali ya hewa,nouns,0.8
1403,צלחת,bakuli,nouns,2.95
1404,שלום,furaha,nouns,1.05
1405,מנעול,kufuli,nouns,1.35
1406,בבטחה,kwa ulinzi,adverbs,2.3
1407,מורכב,rahisi,adjectives,0.45
1408,פה,pua,nouns,0.8
1409,להסריח,kutoa harufu,verbs,1.3
1410,בשר,mkate,nouns,0.55
1411,משימה,mgawo,nouns,0.45
1412,יום הולדת,tarehe,nouns,1.5
1413,לנחש,kubuni,verbs,0.05
1414,גוף,kifua,nouns,1.75
1415,לבהות,kukondoa macho,verbs,0.9
1416,לשיר,kuimba,verbs,0.2
1417,לצבוט,kufinya,verbs,0.4
1418,למצוא,kujipatia,verbs,1.0
1419,בזהירות,kwa uangalifu,adverbs,2.3
1420,לאשר,kukubali,verbs,4.55
1421,משימה,majani makavu,nouns,0.0
1422,להתחבק,kumbatia,verbs,4.35
1423,אב,kaka,nouns,1.05
1424,מיטה,blanketi,nouns,1.35
1425,שח,saratanji,nouns,3.25
1426,לשמור,kubaki,verbs,0.4
1427,נהר,bahari,nouns,2.3
1428,קיבה,kiuno,nouns,0.95
1429,טפטוף,mvua,nouns,3.85
1430,ענן,ukungu,nouns,3.15
1431,לבדר,kujipendekeza,verbs,0.3
1432,מים,chumvi,nouns,0.7
1433,מבוהל,kua na uoga,adjectives,0.95
1434,כעס,ghadhabu,nouns,4.9
1435,פסגה,chini,nouns,0.6
1436,תובנה,ukweli,nouns,2.05
1437,טלויזיה,runinga,nouns,1.8
1438,לשון,misuli,nouns,0.85
1439,בגדים,kabati,nouns,0.8
1440,נייר,kadibodi,nouns,2.1
1441,כדורגל,burudani,nouns,0.85
1442,להקטין,kupunguza,verbs,0.25
1443,אמא,rafiki,nouns,0.7
1444,תיאוריה,kemia,nouns,0.25
1445,כשירות,uelekevu,nouns,3.55
1446,קוד,alama,nouns,2.15
1447,בקר,mifugo,nouns,0.55
1448,פול,kahawa,nouns,0.9
1449,להשאיל,kupa,verbs,2.3
1450,כריך,chakula cha mchana,nouns,1.8
1451,מושחת,haramu,adjectives,2.4
1452,ללחוש,kunong'oneza,verbs,1.7
1453,להרגיז,kuchukiza,verbs,0.8
1454,אקדח,alfajiri,nouns,0.0
1455,סימולציה,onyesho,nouns,0.6
1456,משאית,lori,nouns,3.4
1457,מחלה,saratani,nouns,2.95
1458,ללבוש,kuvaa,verbs,0.25
1459,תמוה,mgeni,adjectives,4.45
1460,לטעון,kutetea,verbs,0.85
1461,גבר,mwanamke,nouns,1.05
1462,לכאורה,inaonekana,adverbs,0.35
1463,שחר,mchana,nouns,1.65
1464,גב,shingo,nouns,0.9
1465,פוליאסטר,pamba,nouns,0.75
1466,תזמורת,bendi,nouns,4.35
1467,מקצב,mahadhi,nouns,1.45
1468,להחזיק,kushikilia,verbs,2.25
1469,לקלקל,kuharibu,verbs,0.05
1470,מכה,pigo,nouns,0.0
1471,פרוזדור,darasa,nouns,0.4
1472,סטודנט,mwanachuo,nouns,4.8
1473,קהל,kikundi,nouns,4.3
1474,מחוץ לנישואין,nje ya ndoa,adjectives,0.1
1475,טייס,rubani msaidizi,nouns,0.6
1476,אבץ,zinki,nouns,1.35
1477,ספינת תותחים,meli ya vita,nouns,0.7
1478,חוקי,halali,adjectives,0.6
1479,נשיא,mwanasiasa,nouns,2.55
1480,מטוס,ndege,nouns,0.0
1481,אך ורק,kweli,adverbs,1.45
1482,להרים,nyanyua,verbs,1.0
1483,עורלה,govi,nouns,1.8
1484,עכבר,menejimenti,nouns,0.0
1485,חתול,simba,nouns,1.35
1486,כסף,almasi,nouns,0.8
1487,לדבר,kutambua,verbs,0.5
1488,לעזור,kufadhili,verbs,5.4
1489,דק,mwembamba,adjectives,3.75
1490,לפספס,kukosa,verbs,0.5
1491,לא סביר,sio rahisi,adverbs,0.0
1492,דולר,watu,nouns,0.4
1493,מושחת,mbaya,adjectives,2.25
1494,בבית,nyumbani,adverbs,0.55
1495,לבחון,kukagua,verbs,3.45
1496,ראוי,wa heshima,adjectives,0.5
1497,אחווה,baseball,nouns,0.25
1498,ביוגרפיה,habari za kubuniwa,nouns,0.85
1499,לקבל,kupendekeza,verbs,0.8
1500,לנסות,kujaribu,verbs,0.75
1501,סכנה,tishio,nouns,4.15
1502,באופן סביל,kwa kutegemewa,adverbs,0.5
1503,ברד,mvua ya mawe,nouns,3.25
1504,לפזול,kufinya macho,verbs,0.9
1505,מוסיקה,tuni,nouns,4.1
1506,פשוט,kirahisi,adverbs,0.35
1507,בשמחה,kwa furaha,adverbs,0.32
1508,לדמיין,kujifanya,verbs,0.55
1509,מיטה,chumba cha kulala,nouns,1.35
1510,משעמם,wa kuchekesha,adjectives,0.5
1511,מייפל,mnazi,nouns,1.5
1512,דלת,uwepo,nouns,0.15
1513,להיות ראוי,kuchuma,verbs,0.15
1514,מוח,neva,nouns,0.5
1515,רך,laini,adjectives,0.35
1516,באופן מקומי,kienyeji,adverbs,0.1
1517,כניסה,mlango,nouns,3.15
1518,פופקורן,bisi,nouns,0.55
1519,לחפש,kutafuta,verbs,0.95
1520,נטייה,inflection,nouns,0.8
1521,כשירות,uwezo,nouns,4.5
1522,שחר,usiku,nouns,0.8
1523,פטרוזיליה,pasile,nouns,0.4
1524,מידע,kitabu,nouns,1.05
1525,בית,ufunguo,nouns,1.05
1526,מטאטא,ufagio,nouns,0.85
1527,מטורף,ana wazimu,adjectives,5.3
1528,להתווכח,kukubaliana,verbs,0.6
1529,מולקולה,atomu,nouns,2.65
1530,בשר,steki,nouns,4.2
1531,להפוך,kufanikisha,verbs,0.45
1532,שיר,wimbo,nouns,0.65
1533,יקר,ghali,adjectives,0.05
1534,ללגום,kukunywa,verbs,4.55
1535,להיפגש,kukutana,verbs,0.05
1536,יוצא,inayotoka,adjectives,0.7
1537,לאסוף,kuokoa,verbs,1.3
1538,לחוץ,kusisitiza,adjectives,0.5
1539,סוכר,asali,nouns,2.25
1540,לוח אם,bodi mama(mama as central),nouns,5.3
1541,מכונית,motokaa,nouns,5.85
1542,גודל,mbinu,nouns,0.0
1543,בישוף,askofu,nouns,0.7
1544,לחשוב,kutafakari,verbs,5.2
1545,הרחק,ugenini,adverbs,0.55
1546,אקדח,bunduki,nouns,0.0
1547,להאמין,kujua,verbs,0.85
1548,להעיד,kushuhudia,verbs,0.7
1549,לקבל,kutuma,verbs,0.6
1550,כבש,mifugo,nouns,2.95
1551,לקחת,kuondoka,verbs,0.15
1552,ספרות,kitabu,nouns,2.0
1553,למנוע,kukataa,verbs,1.05
1554,אחיין,shangazi,nouns,0.75
1555,עצם,misuli,nouns,0.75
1556,לעזוב,kuingia,verbs,0.5
1557,נורא,mwenye huzuni,adjectives,0.85
1558,לבלבל,kuchanganya,verbs,0.3
1559,מדהים,kushangaza,adjectives,0.15
1560,ביולוגיה,biolojia,nouns,1.15
1561,הרמוניה,umoja,nouns,0.5
1562,אמבטיה,chumba cha kulala,nouns,0.65
1563,צר,mpana,adjectives,0.55
1564,ליצור,kutengeneza,verbs,2.17
1565,מאפין,muffini,nouns,0.4
1566,להגיד,kuhakikisha,verbs,0.45
1567,להרוס,kujenga,verbs,0.55
1568,רגיל,kawaida,adjectives,0.53
1569,יין,brandi,nouns,2.85
1570,טלפון סללורי,simu mahiri,nouns,0.0
1571,זרוע,mwili,nouns,1.7
1572,מעיק,kulivu,adjectives,0.1
1573,בלבול,kichaa,nouns,1.0
1574,כישרון,zawadi,nouns,0.65
1575,חדשני,bunifu,adjectives,3.4
1576,חופש,uhuru,nouns,4.95
1577,פגישה,shughuli,nouns,0.65
1578,נוסחה,kuzidisha,nouns,0.2
1579,מלך,mfalme,nouns,4.5
1580,מייפל,mti,nouns,2.85
1581,תפריט,agizo,nouns,1.0
1582,סונטה,ushairi,nouns,0.2
1583,סולטן,sultani,nouns,0.55
1584,בקביעות,mara kwa mara,adverbs,1.15
1585,חיית מחמד,paka,nouns,2.95
1586,להגיע,kuleta,verbs,0.6
1587,במדוייק,kwa usahihi,adverbs,0.85
1588,חודשי,kila mwezi,adjectives,0.85
1589,רופא,kanali,nouns,0.35
1590,גלוי,bila siri,adjectives,0.65
1591,גבה,jicho,nouns,0.8
1592,שגוי,kosa,adjectives,0.5
1593,לצחוק,kucheka,verbs,0.4
1594,אבא,mwanaume,nouns,2.85
1595,מורה,rabai,nouns,1.8
1596,נקי,safi,adjectives,4.8
1597,אלגברה,algebra,nouns,0.5
1598,מטוס,uwanja wa ndege,nouns,1.55
1599,עליונות,ukuu,nouns,2.3
1600,עז,ngombe,nouns,1.1
1601,קשה,rahisi,adjectives,0.55
1602,עיר,jiji,nouns,4.05
1603,לעצבן,kuongeza,verbs,0.45
1604,סמל,insilia,nouns,0.65
1605,גישה,hakika,nouns,0.35
1606,להשאיל,kutaka,verbs,0.4
1607,הרבה,nyingi zaidi,adverbs,0.8
1608,המרה,uongofu,nouns,0.45
1609,דבש,sukari,nouns,2.25
1610,להכות,kupiga,verbs,2.45
1611,תלותי,mhitaji,adjectives,0.65
1612,מתבייש,ana hatia,adjectives,0.55
1613,ישר,nyooka,adjectives,0.6
1614,לתעב,kuchukia,verbs,0.7
1615,אחרת,kitofauti,adverbs,0.1
1616,רעד,kutetemeka,nouns,2.45
1617,פשע,udanganyifu,nouns,2.7
1618,מסיבה,sherehe,nouns,0.5
1619,לצלול,piga mbizi,verbs,0.1
1620,לגלות,kufanya utafiti,verbs,2.65
1621,קמע,kutokea kwenye onyesho,nouns,0.6
1622,קש,jukumu,nouns,0.0
1623,מדים,sare,nouns,0.15
1624,פחית,kopo,nouns,1.9
1625,אנשים,senti,nouns,0.65
1626,לזרוח,kuangaza,verbs,3.8
1627,מסוק,helikopta,nouns,3.3
1628,לסת,mfupa,nouns,0.95
1629,דגל,bendera,nouns,1.1
1630,פשע,kosa,nouns,2.65
1631,משפט,hukumu,nouns,0.9
1632,מלח,maji,nouns,0.7
1633,להימלט,kukimbia,verbs,4.7
1634,ללכת,kutembea,verbs,1.85
1635,דלת,mlangoni,nouns,3.15
1636,עתיק,wa kisasa,adjectives,0.55
1637,להגיע,kukusanya,verbs,1.1
1638,במאי,mkurugenzi,nouns,0.6
1639,פסיקה,kesi,nouns,1.75
1640,לגנוב,iba,verbs,0.8
1641,להזכיר,kumbusha,verbs,1.1
1642,מציאה,maafikiano,nouns,0.25
1643,תובע,mwendesha mashtaka,nouns,3.0
1644,חור,mapatano,nouns,0.0
1645,נכנס,inayoingia,adjectives,0.7
1646,קורבן,mwathirika,nouns,0.15
1647,ילדותי,kutokomaa,adjectives,0.5
1648,להתכוון,kuania,verbs,0.9
1649,באופן אמין,kwa kuaminika,adverbs,0.2
1650,הפוך,kinyume,adjectives,0.3
1651,בקלות,wepesi,adverbs,0.4
1652,תאורמה,nadharia,nouns,1.75
1653,חסר בית,wasio na makazi,nouns,0.45
1654,כנסייה,kwaya,nouns,1.5
1655,עצב,huzuni,nouns,0.65
1656,קורה,mbao,nouns,2.3
1657,סעודה,kuku,nouns,0.65
1658,הכחשה,kukiri,nouns,0.45
1659,מבוגר,mtoto mchanga,nouns,0.8
1660,עבריין,mkosaji,nouns,5.35
1661,פסגה,upande,nouns,0.5
1662,לנחור,kung'orota,verbs,0.5
1663,לסייע,kusaidia,verbs,5.4
1664,שדה תעופה,uwanja wa ndege,nouns,0.1
1665,לעצור,kukamatwa,verbs,0.4
1666,באופן פסיבי,pasipo tu,adverbs,0.4
1667,לדכא,kutia moyo,verbs,0.6
1668,משפטן,mwanasheria,nouns,4.75
1669,שותף,mvulana,nouns,0.7
1670,גדר,uzio,nouns,0.35
1671,ענן,wingu,nouns,0.3
1672,חוט,nyuzi,nouns,5.15
1673,לשכוח,kujua,verbs,0.55
1674,חדשות,vyombo vya habari,nouns,2.45
1675,רכבת,treni,nouns,2.15
1676,הכרחי,muhimu,adjectives,3.05
1677,תפוח,mpangilio wa chakula,nouns,0.55
1678,מוכר,julikana,adjectives,2.8
1679,טוב,nzuri,adjectives,0.45
1680,כחול,bluu,adjectives,1.05
1681,אוטובוס,teksi,nouns,2.35
1682,שריר,mfupa,nouns,0.75
1683,יפה,ana ajabu,adjectives,1.15
1684,שחיתות,rushwa,nouns,2.4
1685,ציפורן,mkono,nouns,0.8
1686,גשם,manyunyu,nouns,3.85
1687,נושא,hadithi,nouns,0.8
1688,תפוח,mwanga wa jua,nouns,0.05
1689,לחנוק,kuwa nyororo,verbs,0.35
1690,סעודה,supu,nouns,1.1
1691,עצום,mdogo,adjectives,0.55
1692,לברר,kuhitaji,verbs,0.6
1693,לשלוט,kushinda,verbs,1.07
1694,ישן,mbivu,adjectives,0.55
1695,רדאר,rada,nouns,0.4
1696,מורתח,chemshwa,adjectives,3.6
1697,מטומטם,mjinga,adjectives,4.6
1698,בבהירות,kwa ukali,adverbs,0.28
1699,בסיס,msingi,nouns,0.55
1700,להתחיל,kwenda,verbs,0.2
1701,בית,kapeti,nouns,0.6
1702,אבקן,stameni,nouns,2.15
1703,מעורבב,kumbakumba,adjectives,0.0
1704,להגביר,kuongeza,verbs,1.55
1705,לשלוח,kwenda,verbs,0.4
1706,סיפור,mada,nouns,0.8
1707,לשמור,kusahau,verbs,0.5
1708,בהכרח,kwa ulazima,adverbs,0.5
1709,ללכת,kuja,verbs,0.7
1710,שיר,hadithi,nouns,1.5
1711,שבועי,kwa wiki,adjectives,0.85
1712,להיכחד,kutoweka,verbs,5.1
1713,יופי,uzuri,nouns,0.2
1714,שיניים,kinywa,nouns,1.4
1715,יהלום,hela,nouns,0.8
1716,מסודר,kwa mpangilio,adjectives,0.5
1717,עקום,isiyonyooka,adjectives,4.85
1718,סיעור מוחות,changamsha bongo,nouns,0.0
1719,אינטליגנטי,mpumbavu,adjectives,0.55
1720,בורות,akili,nouns,0.65
1721,אנרכיה,vurugu,nouns,4.55
1722,כרגע,kwa sasa,adverbs,0.0
1723,ללכת,kuuza,verbs,0.05
1724,לעודד,kukanya,verbs,0.6
1725,חלק,nyororo,adjectives,0.45
1726,מצב,hasira,nouns,0.4
1727,ילד,mvulana,nouns,3.8
1728,לנדוד,kuzurura,verbs,5.05
1729,משחק,mbinu,nouns,1.0
1730,בדרך כלל,kwa kawaida,adverbs,0.45
1731,יומיומי,kila siku,adverbs,3.3
1732,לרדוף,kimbiza,verbs,2.05
1733,חדשות,porojo,nouns,1.65
1734,נוח,rahisi,adjectives,0.1
1735,ביתן,kambi,nouns,0.9
1736,נוכחות,mshindi,nouns,0.05
1737,בחשיבות,bila masihara,adverbs,2.65
1738,הצגה,onyesha,nouns,0.05
1739,ורד,waridi,nouns,0.3
1740,טרגדיה,kifo,nouns,2.1
1741,להתחזות,kuonekana,verbs,0.7
1742,תגמול,thawabu,nouns,4.35
1743,תוכנית,mradi,nouns,0.25
1744,לחנוק,kuziba,verbs,0.35
1745,שבוע,wikendi,nouns,1.7
1746,פילוסוף,mphilisophia,nouns,0.0
1747,מזל,furaha,nouns,0.65
1748,שחקן,mwigaji,nouns,0.73
1749,אמן,msanii,nouns,1.15
1750,מיכל,panya,nouns,0.0
1751,אובך,wingu,nouns,1.25
1752,מלוכלך,chafu,adjectives,0.15
1753,כביש,gari,nouns,0.95
1754,לכסות,kufunika,verbs,1.98
1755,ללמוד,kuchambua,verbs,0.7
1756,בטן,chumba cha kulala,nouns,0.05
1757,שמלה,gauni,nouns,0.35
1758,חזק,mwenye nguvu,adjectives,0.6
1759,מבוגר,mtoto,nouns,0.85
1760,יפה,kwa uzuri,adverbs,1.9
1761,לעשות,kuumba,verbs,4.25
1762,סיגר,sanduku ,nouns,0.35
1763,מגירה,nguo,nouns,0.9
1764,שלום,amani,nouns,0.5
1765,להשפיל,kuaibisha,verbs,0.35
1766,כלה,bwana arusi,nouns,1.15
1767,לרדת,teremka,verbs,1.1
1768,לבזבז,takataka,verbs,0.1
1769,לנסות,kutimiza,verbs,0.7
1770,שקיעה,machweo,nouns,0.0
1771,בפתיחות,wazi,adverbs,0.4
1772,לחשוב,kutafiti,verbs,0.8
1773,באופן מציאותי,kwelikweli,adverbs,0.1
1774,לקבל,kupa,verbs,1.2
1775,לכתוב,kuchorachora,verbs,2.65
1776,שור,farasi,nouns,1.0
1777,מטומטם,mkubwa mno,adjectives,0.1
1778,כלי,zeze,nouns,1.6
1779,לדכא,kufeli,verbs,0.3
1780,יארד,mita,nouns,3.1
1781,בר השגה,nafuu,adjectives,2.55
1782,מנורה,taa,nouns,0.45
1783,פיקח,mpumbavu,adjectives,0.55
1784,להסתכל,kuangalia,verbs,5.45
1785,להבהיר,kueleza,verbs,4.35
1786,אנשים,dola,nouns,0.4
1787,אוזון,ozoni,nouns,3.1
1788,נרגש,sisimka,adjectives,0.95
1789,חייל,mvulana,nouns,0.55
1790,כף,kijiko,nouns,0.25
1791,בישוף,askofu mkuu,nouns,3.8
1792,לשכוח,kudumisha,verbs,0.5
1793,בנדיבות,kwa fadhili,adverbs,2.35
1794,לדחות,kukataa,verbs,0.1
1795,חבר,mvulana,nouns,1.05
1796,נשמה,kaka,nouns,0.15
1797,מבולגן,chafu,adjectives,0.5
1798,עין,nyusi,nouns,0.8
1799,תקרה,kanisa kuu,nouns,0.5
1800,לצלוע,kuchechemea,verbs,1.85
1801,התזה,chubwi,nouns,0.25
1802,ברכות,kwa upole,adverbs,0.25
1803,בעוצמה,kwa ukubwa,adverbs,0.4
1804,מכללה,weledi,nouns,0.95
1805,מאמנים,wakufunzi,nouns,0.8
1806,לקחת,kuchukua,verbs,0.95
1807,צבא,jeshi la wanamaji,nouns,3.65
1808,קורס,tumbo,nouns,0.05
1809,לבלוע,meza,verbs,2.05
1810,ישן,mpya,adjectives,0.55
1811,בחוזקה,kwa ukakamavu,adverbs,1.35
1812,לוח אם,bodi kuu,nouns,5.3
1813,מוט,pazia,nouns,0.75
1814,ללכת,kuenda,verbs,2.55
1815,לגמרי,kwa ukamilifu,adverbs,1.45
1816,מעסיק,mwajiriwa,nouns,1.0
1817,לתת,kujua,verbs,0.0
1818,לקנות,kununua,verbs,2.5
1819,לאפשר,kuruhusu,verbs,0.05
1820,ענן,vumbi,nouns,1.25
1821,אצבע,kiganja,nouns,1.45
1822,דבורה,mdudu,nouns,2.1
1823,שוטר,polisi,nouns,0.47
1824,כתר,taji,nouns,0.0
1825,מפעל,gari,nouns,0.5
1826,לחנוק,kutakata,verbs,0.25
1827,מינק,mafuta,nouns,0.15
1828,תחזית,theluji,nouns,0.8
1829,לשוחח,kueleza,verbs,1.4
1830,בייסבול,undugu,nouns,0.25
1831,להתעלם,kufanya utafiti,verbs,0.3
1832,שופט,hakimu,nouns,1.9
1833,קריקט,kriketi,nouns,0.3
1834,בכנות,kwa kweli,adverbs,0.0
1835,להתעלם,kupuuza,verbs,0.1
1836,וידוי,kanusho,nouns,0.45
1837,מועסק,mwajiri,nouns,1.0
1838,ספה,kiti,nouns,2.9
1839,רשמי,sahihi,adjectives,1.2
1840,זווית,tao,nouns,2.05
1841,נורא,hatari sana,adverbs,0.15
1842,להתבונן,kutazama,verbs,5.45
1843,בטיחות,starehe,nouns,0.9
1844,כדור,mpira,nouns,2.2
1845,רגשית,kwa hisia,adverbs,1.15
1846,לדחות,kutoa,verbs,0.25
1847,צוואר,uti,nouns,0.9
1848,אגם,bwawa,nouns,2.1
1849,רהיט,kitanda,nouns,2.5
1850,רחב,mwembamba,adjectives,0.55
1851,גדול,rahisi,adjectives,0.4
1852,נשק,silaha,nouns,0.95
1853,קורא,mtunzi,nouns,0.7
1854,טיפשי,mpumbavu,adjectives,4.65
1855,סבולת,ua,nouns,0.0
1856,חלון,dirisha,nouns,0.65
1857,אנרגיה,nishati,nouns,1.45
1858,להתפלל,kuwasiliana,verbs,0.8
1859,לבנים,chupi,nouns,0.2
1860,בינוני,ya kawaida,adjectives,0.95
1861,חוף,mchanga,nouns,1.3
1862,רחב,mwembamba,adjectives,0.55
1863,לבנות,kuumba,verbs,4.15
1864,להתאחד,kuungana,verbs,3.1
1865,לשנוא,chukia,verbs,0.25
1866,לעזור,kusaidia,verbs,1.1
1867,לאבד,poteza,verbs,0.0
1868,אגודל,ukucha,nouns,1.45
1869,לעומק,kwa undani,adverbs,0.7
1870,סוף שבוע,wikiendi,nouns,0.05
1871,צוק,kilima,nouns,2.65
1872,ירח,sayari,nouns,1.6
1873,להשתכר,kustahili,verbs,0.15
1874,לסלוח,samehea,verbs,5.4
1875,מיטה,kochi,nouns,1.85
1876,להודיע,kutambua,verbs,1.0
1877,להגיע,kuondoka,verbs,0.5
1878,ציפורן,kidole gumba,nouns,1.45
1879,קיר,pambo,nouns,0.5
1880,זריז,wa haraka,adjectives,4.9
1881,זמר,mwimbaji,nouns,0.95
1882,בדרך כלל,kwa kawaida,adverbs,3.3
1883,לעזוב,kuchukua,verbs,0.15
1884,ליקר,karne,nouns,0.0
1885,חשמלית,tramu,nouns,2.15
1886,לתאר,kuamua,verbs,0.25
1887,ערמומי,imara,adjectives,0.6
1888,לדרג,kiwango,verbs,1.2
1889,לתת,kutoa,verbs,0.5
1890,חבר,mama,nouns,0.7
1891,דיפלומטיה,diplomasia,nouns,1.65
1892,לקבל,kushindwa,verbs,0.5
1893,מדוייק,uhakika,adjectives,0.5
1894,דביק,natanata,adjectives,0.8
1895,מלך,mfalme,nouns,0.6
1896,גרון,ulimi,nouns,1.15
1897,תובנה,akili,nouns,2.5
1898,שוטר,askari,nouns,4.85
1899,ידית,mpini,nouns,0.15
1900,עצבני,mchanga,adjectives,0.3
1901,ניטרלי,upande wowote,adjectives,0.7
1902,לשפוט,kuhukumu,verbs,2.13
1903,מעיל,nguo,nouns,2.4
1904,קיצוני,fikra mpya,adjectives,0.6
1905,מטומטם,ana akili,adjectives,0.55
1906,צד,chini,nouns,1.15
1907,מיטה,hospitali,nouns,0.7
1908,אלון,mpera,nouns,1.5
1909,טניס,tenisi,nouns,0.1
1910,שמיים,jua,nouns,1.25
1911,כוס,kijiko,nouns,1.1
1912,חלש,dhaifu,adjectives,0.6
1913,המנון,majani makavu,nouns,0.0
1914,להלוות,kudaiwa,verbs,1.1
1915,מנגינה,muziki,nouns,4.1
1916,קומה,paa,nouns,0.75
1917,מובך,jisikia aibu,adjectives,0.55
1918,לדחות,kukataa,verbs,1.55
1919,צר,nyembamba,adjectives,1.88
1920,מנוע,mota,nouns,5.4
1921,עובד,makanika,nouns,1.75
1922,לעיתים,mara chache,adverbs,1.15
1923,כובע,sanduku,nouns,0.1
1924,נורמלי,tofauti,adjectives,0.5
1925,חץ,lengo,nouns,1.1
1926,מאוד,kwa umaradufu,adverbs,1.35
1927,להחליט,kufikiria,verbs,1.45
1928,אח,kaka,nouns,2.3
1929,לצעוד,kutembea ,verbs,0.7
1930,ראש,kichwa,nouns,1.15
1931,אוהד,msaidizi,nouns,0.3
1932,מתוחכם,kisasa,adjectives,0.55
1933,הכרחי,sio wa lazima,adjectives,0.6
1934,עתיק,mpya,adjectives,0.6
1935,להריח,kunusa,verbs,0.05
1936,תמימות דעים,mapatano,nouns,0.6
1937,ילד,mwanajeshi,nouns,0.55
1938,הסכמה,pambano,nouns,0.55
1939,אמיתי,halisi,adjectives,0.6
1940,להטות,kupendelea,verbs,3.3
1941,קינמון,mdalasini,nouns,0.75
1942,יציאה,mahali ya kutokea,nouns,0.0
1943,כף רגל,mguu,nouns,0.55
1944,עובד,kamera,nouns,0.1
1945,מלגה,ufadhili wa elimu,nouns,1.6
1946,פלילי,wa dhambi,adjectives,2.4
1947,ילד,wali,nouns,0.2
1948,להפוך,kujitokeza,verbs,0.65
1949,עורך דין,mwanasheria,nouns,0.0
1950,חדשות,habari,nouns,1.4
1951,חשוב,umuhimu zaidi,adverbs,0.7
1952,טלה,kondoo,nouns,3.65
1953,להעניש,kuadhibu,verbs,0.7
1954,אנושות,kwa uweledi,adverbs,0.3
1955,כתף,kichwa,nouns,1.1
1956,נץ,ndege,nouns,2.9
1957,אשליה,uhalisi,nouns,0.55
1958,להתלונן,kuleta,verbs,0.05
1959,להחמיר,kukuza,verbs,0.1
1960,רחב,mbivu,adjectives,0.0
1961,ציקלון,kimbunga,nouns,4.5
1962,חזק,wa kujivunia,adjectives,0.2
1963,להתווכח,kujadili,verbs,0.4
1964,מכנית,kwa ustadi,adverbs,0.45
1965,חג,likizo,nouns,0.8
1966,שדה תעופה,ndege,nouns,1.55
1967,אמבטיה,puto,nouns,0.05
1968,באופן לא מדויק,si kwa usahihi,adverbs,0.5
1969,מנטה,mti wa minti,nouns,0.6
1970,נוכחות,kutokuwepo,nouns,0.65
1971,סנוברד,ubao wa theluji,nouns,2.55
1972,צמיחה,ukuaji,nouns,0.7
1973,רוח,mungu,nouns,1.65
1974,מנהלה,menejimenti,nouns,2.8
1975,מכונית,honi,nouns,0.95
1976,בשקט,kwa ukimya,adverbs,0.2
1977,לאמת,kusema,verbs,0.45
1978,בנימוס,kwa unyenyekevu,adverbs,0.1
1979,קומבינציה,mjumuiko,nouns,2.5
1980,דלת,undugu,nouns,0.0
1981,פרה,mbuzi,nouns,1.1
1982,עליון,juu,adjectives,0.25
1983,צנזורה,udhibiti,nouns,0.65
