ID,CMN,YUE,PoS,score
1548,豆,煙肉,nouns,0.0
1549,有时候,經常,adverbs,2.68
1550,负面地,非自然,adverbs,0.45
1551,文章,功課,nouns,1.32
1552,鼻子,喉嚨,nouns,0.27
1553,盗窃,犯罪,nouns,3.45
1554,胸部,身體,nouns,1.86
1555,声明放弃,壓抑,verbs,0.14
1556,最近,新,adjectives,2.41
1557,女人,任務,nouns,0.04
1558,圣歌,稻草,nouns,0.18
1559,加入,參與,verbs,4.77
1560,赦免,原諒,verbs,3.46
1561,器具,鍋,nouns,2.36
1562,纸,海報,nouns,2.18
1563,米饭,雞,nouns,0.23
1564,卧室,單車,nouns,0.0
1565,爸爸,母親,nouns,1.14
1566,社会,文化,nouns,0.95
1567,慷慨地,從未,adverbs,0.04
1568,炼狱,後世,nouns,0.09
1569,身体,胸部,nouns,1.86
1570,女儿,父親,nouns,0.41
1571,新鲜,寬,adjectives,0.0
1572,校验,說,verbs,0.0
1573,故事,書,nouns,2.77
1574,两次,一次,adverbs,0.41
1575,骨头,顎,nouns,1.77
1576,手机,菠蘿,nouns,0.0
1577,拒绝,避免,verbs,0.91
1578,观察,觀看,verbs,4.36
1579,怪诞,奇怪,adjectives,4.5
1580,剧院,電影,nouns,2.04
1581,松动,靈活,adjectives,1.46
1582,获得,取得,verbs,4.41
1583,海军,島,nouns,0.04
1584,船,樹,nouns,0.04
1585,羞耻,幸運,adjectives,0.09
1586,酒,世紀,nouns,0.04
1587,牧师,預言家,nouns,0.41
1588,平凡,普通,adjectives,4.96
1589,鞭打,擊敗,verbs,0.54
1590,男人,哨兵,nouns,1.5
1591,裙子,手錶,nouns,0.09
1592,流,漂移,verbs,1.73
1593,工作,任務,nouns,3.27
1594,收集,搖動,verbs,0.04
1595,狭窄,長,adjectives,0.46
1596,拒绝,謝絕,verbs,4.13
1597,国民,大,adjectives,0.0
1598,上衣,帽子,nouns,0.81
1599,剑,王座,nouns,0.23
1600,衣服,抽屜,nouns,0.27
1601,借,保持,verbs,0.0
1602,包含,包括,verbs,5.04
1603,沉闷,平淡,adjectives,2.5
1604,歌谣,歌曲,nouns,3.68
1605,紧张,某些,adjectives,0.04
1606,显然,明顯,adjectives,5.0
1607,前情,過去,nouns,3.54
1608,派,巧克力,nouns,0.36
1609,韵律,韻律,nouns,4.5
1610,开心,瘋狂,adjectives,0.96
1611,吸血鬼,蝙蝠,nouns,0.78
1612,罐,瓶子,nouns,2.46
1613,叔叔,姨媽,nouns,0.59
1614,顶,側面,nouns,0.36
1615,翻译者,外國人,nouns,0.32
1616,尾巴,章,nouns,0.04
1617,激进,暴力,adjectives,2.77
1618,作业,任務,nouns,2.46
1619,地区,區城,nouns,4.68
1620,担心,浪費,verbs,0.0
1621,开始,戒除,verbs,0.04
1622,合唱团,教堂,nouns,0.41
1623,怪异,奇怪,adjectives,4.04
1624,空出,驅逐,verbs,0.32
1625,发送,帶來,verbs,0.14
1626,床,椅子,nouns,1.09
1627,便条,作業,nouns,0.45
1628,意外,緊急情況,nouns,3.63
1629,内衣褲,身體,nouns,0.36
1630,加,除,verbs,0.59
1631,轻信,蠢,adjectives,0.68
1632,候选人,獲勝者,nouns,1.5
1633,非法,不道德,adjectives,2.41
1634,终末,不同,adverbs,0.04
1635,乐队,耐力,nouns,0.0
1636,酒,雞尾酒,nouns,3.73
1637,自豪,喜悅,nouns,2.09
1638,火鸡,鳥,nouns,1.87
1639,尖,平滑,adjectives,0.09
1640,交付,攞,verbs,0.59
1641,草莓,櫻桃,nouns,2.04
1642,钢琴,和聲,nouns,0.59
1643,红酒,白蘭地,nouns,2.96
1644,问,求情,verbs,0.14
1645,费用,工資,nouns,1.04
1646,全然地,完全地,adverbs,4.37
1647,家伙,朋友,nouns,1.04
1648,滑雪,滑雪板,nouns,1.14
1649,矩阵,向量,nouns,0.82
1650,一分钱,妻子,nouns,0.18
1651,长大,未成熟的,adjectives,0.22
1652,参议院,憲法,nouns,0.82
1653,开口,缺口,nouns,3.77
1654,疾病,癌症,nouns,3.78
1655,夺取,攞,verbs,2.77
1656,手臂,肌肉,nouns,0.86
1657,教练,老師,nouns,2.73
1658,打败,贏,verbs,4.04
1659,小木屋,茅屋,nouns,3.0
1660,唇,嘴巴,nouns,3.04
1661,天神,牧師,nouns,0.46
1662,服装,球,nouns,0.09
1663,重要的,正式地,adverbs,0.91
1664,高兴,瘋狂,adjectives,0.55
1665,教,懲罰,verbs,0.5
1666,门口,門,nouns,3.73
1667,黏,濕,adjectives,1.77
1668,蜜蜂,螞蟻,nouns,1.04
1669,疾病,發燒,nouns,2.31
1670,奇怪,正常,adjectives,0.18
1671,马赛克,教堂,nouns,0.0
1672,有时,肯定地,adverbs,0.0
1673,惩罚,擊中,verbs,0.0
1674,硬纸板,紙,nouns,2.77
1675,白天,朝早,nouns,5.37
1676,必须,不需要,adjectives,0.14
1677,棉,聚酯纖維,nouns,0.72
1678,夏天,冬天,nouns,0.14
1679,走,來,verbs,0.36
1680,信,段,nouns,0.09
1681,诗,韻律,nouns,0.54
1682,老鹰,獵鷹,nouns,3.87
1683,稍微地,大致,adverbs,1.5
1684,不公平,公平,adverbs,0.22
1685,旅行,旅程,nouns,4.5
1686,伴侣,夥伴,nouns,2.96
1687,力量,威力,nouns,3.32
1688,狗,馬,nouns,1.14
1689,付款,購買,verbs,3.09
1690,撤退,離開,verbs,3.73
1691,怒视,瞇,verbs,0.22
1692,故障,系統,nouns,0.04
1693,尖顶,教堂,nouns,0.69
1694,航空电子学,航空學,nouns,3.22
1695,群落生境,生物學,nouns,0.72
1696,毁灭,創建,verbs,0.22
1697,电话,小亭,nouns,0.0
1698,马,母馬,nouns,3.55
1699,摇床,幼兒床,nouns,3.5
1700,目标,赢家,nouns,0.18
1701,踝,肘,nouns,0.59
1702,阳光,射線,nouns,0.96
1703,寻求,目標,nouns,0.64
1704,客串角色,性能,nouns,0.04
1705,小心地,謹慎地,adverbs,4.59
1706,薄荷,博物館,nouns,0.04
1707,新,舊,adjectives,0.23
1708,喝,提高,verbs,0.0
1709,肝,肺,nouns,0.59
1710,焦躁不安,年輕,adjectives,0.04
1711,判断,決定,verbs,3.0
1712,国王,統治者,nouns,4.68
1713,作家,小說,nouns,0.27
1714,不显眼地,明顯地,adverbs,0.22
1715,绿洲,自由,nouns,0.04
1716,页,詞,nouns,0.28
1717,柔韧,大,adjectives,0.18
1718,非法,合法,adjectives,0.18
1719,猎鹰,老鷹,nouns,3.87
1720,首领,市長,nouns,3.09
1721,球,球狀物,nouns,3.91
1722,钱,工資,nouns,4.09
1723,下面,上面,nouns,0.04
1724,礼物,作家,nouns,0.04
1725,医生,大夫,nouns,4.91
1726,停止,控制,verbs,0.41
1727,换算,高度,nouns,0.09
1728,给予,拒絕,verbs,0.0
1729,社论,新聞,nouns,2.64
1730,州,家,nouns,0.04
1731,雷达,操縱桿,nouns,0.14
1732,撕开,穿,verbs,0.09
1733,章节,晚上,nouns,0.0
1734,蜜糖,乳製品,nouns,0.32
1735,走道,走廊,nouns,4.68
1736,小炮舰,海岸,nouns,0.09
1737,水,冰,nouns,2.18
1738,邮件,速度,nouns,0.0
1739,哭,哭泣,verbs,5.54
1740,羞辱,安慰,verbs,0.09
1741,古怪,奇怪,adjectives,5.57
1742,作家,禮物,nouns,0.04
1743,信用,借款人,nouns,0.54
1744,雪崩,雪,nouns,2.09
1745,苹果,果汁,nouns,1.09
1746,草原,草地,nouns,4.04
1747,乳制品,蜜糖,nouns,0.32
1748,男人,叔叔,nouns,2.27
1749,完成,完結,adjectives,4.68
1750,诚实地,忠誠地,adverbs,4.31
1751,新,新鮮,adjectives,3.32
1752,房子,公寓,nouns,4.22
1753,费用,付款,nouns,2.37
1754,白色,狹窄,adjectives,0.18
1755,紫罗兰,花朵,nouns,3.54
1756,连接,加入,verbs,0.86
1757,记得,想,verbs,0.22
1758,不需要,必須,adjectives,0.14
1759,码,米,nouns,2.23
1760,承认,否認,verbs,0.22
1761,防御,保護,verbs,3.73
1762,订婚,約定,nouns,1.59
1763,血液,肉,nouns,0.36
1764,总统,市長,nouns,2.5
1765,拥有,吸收,verbs,0.36
1766,强调,輕鬆,adjectives,0.18
1767,放,得到,verbs,0.0
1768,拒绝,避免,verbs,0.41
1769,身体,底衫褲,nouns,0.36
1770,基督教,新教,nouns,3.64
1771,逃跑,逃走,verbs,5.46
1772,石,木,nouns,0.36
1773,卖,借,verbs,0.32
1774,解释,證明,verbs,3.13
1775,主题,主題標籤,nouns,3.32
1776,烧伤,扼殺,verbs,0.36
1777,巨大,大規模,adjectives,3.46
1778,文章,雜誌,nouns,2.22
1779,电动,甜,adjectives,0.0
1780,呕吐,關閉,verbs,0.0
1781,狡猾,堅固,adjectives,0.04
1782,女儿,嬰兒,nouns,2.32
1783,暴力,嬲,adjectives,1.27
1784,农业,單一耕作,nouns,1.5
1785,云,湖,nouns,0.22
1786,最近,最近,adverbs,5.5
1787,最近,現實地,adverbs,0.32
1788,舌头,喉,nouns,0.91
1789,谦虚,謙遜,adjectives,5.31
1790,日出,日落,nouns,0.59
1791,飞机场,片,nouns,0.0
1792,纽扣,衣服,nouns,0.64
1793,市长,首領,nouns,3.09
1794,保持,擁有,verbs,0.91
1795,钩针编织,制服,nouns,0.23
1796,乐观地,可能,adverbs,0.46
1797,消失,搵到,verbs,0.0
1798,知道,理解,verbs,3.46
1799,发动机,機器,nouns,2.36
1800,人口,人,nouns,2.77
1801,主题,故事,nouns,0.78
1802,拿,攜帶,verbs,3.23
1803,运输,汽車,nouns,1.54
1804,侵蚀,褪色,verbs,0.96
1805,出租车,車,nouns,3.81
1806,因式分解,分解,nouns,2.87
1807,大规模,公開地,adverbs,0.72
1808,文明,生活方式,nouns,1.19
1809,钢,合金,nouns,3.5
1810,小,巨大,adjectives,0.14
1811,薪水,錢,nouns,4.09
1812,灵活的,有彈性,adjectives,3.81
1813,章,選擇,nouns,0.09
1814,自豪,膽大,adjectives,1.14
1815,扼杀,擁抱,verbs,0.04
1816,稻草,任務,nouns,0.0
1817,坟墓,重新安葬,nouns,0.82
1818,眼睛,眼淚,nouns,0.55
1819,冷静地,堅固地,adverbs,0.59
1820,紧张地,焦急地,adverbs,3.54
1821,描绘,決定,verbs,0.0
1822,有弹性,靈活的,adjectives,3.81
1823,哨兵,男人,nouns,1.5
1824,聚集,出席,verbs,0.5
1825,大教堂,天花板,nouns,0.09
1826,退出,吸收,verbs,0.04
1827,成功,贏,verbs,3.96
1828,金属,鋁,nouns,2.59
1829,年龄,美人,nouns,0.22
1830,捕获,抓住,verbs,3.68
1831,坚强,自豪,adjectives,0.46
1832,课程,肚,nouns,0.0
1833,流星,地心吸力,nouns,0.28
1834,需要,查詢,verbs,0.18
1835,校验,辯解,verbs,0.27
1836,奇怪地,異常,adverbs,3.41
1837,汤,晚餐,nouns,0.81
1838,驾驶,停,verbs,0.09
1839,难看,亂,adjectives,0.69
1840,失败,失去,verbs,0.73
1841,付款,紙幣,nouns,0.82
1842,悬崖,尾巴,nouns,0.04
1843,理解,知道,verbs,3.5
1844,粗糙地,大致,adverbs,1.18
1845,哭,大笑,verbs,0.22
1846,信念,意見,nouns,0.72
1847,冷淡,粗暴,adjectives,0.09
1848,可悲的是,猛烈地,adverbs,0.14
1849,母鸡,鳥,nouns,1.36
1850,简直,看來,adverbs,0.91
1851,存在,優勝者,nouns,0.04
1852,生气,狂怒,nouns,4.09
1853,股票,資產,nouns,2.91
1854,肥皂泡沫,泡,nouns,3.82
1855,酒,白蘭地酒,nouns,3.64
1856,一次,馬上,adverbs,0.09
1857,风暴,雪,nouns,0.77
1858,女儿,孩子,nouns,2.41
1859,喇叭,鼓,nouns,0.32
1860,成长,擴大,verbs,1.41
1861,晚餐,湯,nouns,0.81
1862,当然,有時,adverbs,0.0
1863,篱笆,跳躍,nouns,0.0
1864,单身牢房,鎖起來,nouns,1.09
1865,高速公路,任務,nouns,0.0
1866,布,麻布,nouns,2.96
1867,苏丹,部,nouns,0.04
1868,被动地,靜靜地,adverbs,0.64
1869,数字,數,nouns,4.28
1870,容易,困難,adjectives,0.25
1871,疯狂,開心,adjectives,0.96
1872,山,窗台,nouns,0.0
1873,戏法,遊戲,nouns,0.5
1874,财富,聲望,nouns,0.36
1875,王座,劍,nouns,0.23
1876,追求,調查,verbs,0.68
1877,强大,強大,adjectives,4.86
1878,确定,預測,verbs,0.14
1879,沙拉,減肥,nouns,0.55
1880,诗人,記者,nouns,0.04
1881,图像,映像,nouns,3.37
1882,锅,器具,nouns,2.36
1883,辣,好,adjectives,0.04
1884,日历,日期,nouns,3.32
1885,家牛,牛,nouns,3.82
1886,陶瓷,陶藝,nouns,2.77
1887,自豪,貧窮,adjectives,0.04
1888,脸颊,舌頭,nouns,0.18
1889,董事,老闆,nouns,4.09
1890,残酷,嚴酷,adjectives,4.04
1891,显然,肯定地,adverbs,3.41
1892,壁,城堡,nouns,0.41
1893,来,到達,verbs,2.59
1894,书,資料,nouns,1.5
1895,刀,槍,nouns,2.0
1896,男孩,哥哥,nouns,2.54
1897,风格,優雅,nouns,1.27
1898,规则,慣例,nouns,2.73
1899,实现,嘗試,verbs,0.59
1900,雪,雪崩,nouns,2.09
1901,朋友,母親,nouns,0.32
1902,肚子,身體,nouns,2.04
1903,保持,保留,verbs,3.54
1904,书,意外,nouns,0.0
1905,遇见,游泳,verbs,0.04
1906,不确定,害怕,adjectives,0.69
1907,怀疑,逮捕,verbs,0.36
1908,必须,完全必要,adjectives,5.46
1909,限定,澄清,verbs,0.0
1910,肥料,發展,nouns,0.59
1911,谷,凹地,nouns,2.54
1912,自信,自己,nouns,0.59
1913,抓住,捕獲,verbs,3.68
1914,欠,進入,verbs,0.0
1915,读者,作者,nouns,0.36
1916,编织,移動,verbs,0.0
1917,大小,深度,nouns,0.54
1918,伟大,壞,adjectives,0.04
1919,说服,追求,verbs,0.23
1920,头,肩,nouns,0.36
1921,注意,謹慎,nouns,3.63
1922,抽屉,衣服,nouns,0.27
1923,球拍,球,nouns,0.54
1924,大主教,主教,nouns,4.18
1925,科学家,護士,nouns,0.14
1926,詞,頁,nouns,0.28
1927,新闻,媒介,nouns,2.54
1928,零,無窮,nouns,0.23
1929,有攻击性的,無禮貌,adjectives,0.72
1930,自豪,傷心,adjectives,0.14
1931,拿,離開,verbs,0.04
1932,管理,管理,nouns,3.5
1933,老师,教練,nouns,2.73
1934,无家可归,億萬富翁,nouns,0.04
1935,大,國民,adjectives,0.0
1936,伤害,戲弄,verbs,0.46
1937,果汁,匙羹,nouns,0.18
1938,评估,學習,verbs,0.32
1939,流言蜚语,新聞,nouns,1.55
1940,拉,推,verbs,0.36
1941,星,小行星,nouns,3.59
1942,类别,混亂,nouns,0.0
1943,模糊,不清楚,adjectives,4.31
1944,显然,本地,adverbs,0.09
1945,常规地,一般,adverbs,3.91
1946,神职人员,僧侶,nouns,2.87
1947,歇斯底里,混亂,nouns,2.5
1948,遇见,離開,verbs,0.18
1949,钟,塔,nouns,0.5
1950,老师,朋友,nouns,0.86
1951,海岸,濱,nouns,2.96
1952,脊柱,身體,nouns,0.96
1953,句法,首詞,nouns,0.5
1954,沐浴,氣球,nouns,0.0
1955,分析,評估,verbs,4.45
1956,踝,窗口,nouns,0.09
1957,生日,年,nouns,0.82
1958,失去,減去,verbs,2.19
1959,自由,審查,nouns,0.09
1960,微晶片,遊標,nouns,0.09
1961,搏斗,咬,verbs,1.09
1962,值得,賺,verbs,0.72
1963,真实,不誠實,adjectives,0.09
1964,需求,拗撬,verbs,0.18
1965,演员,多面體,nouns,0.28
1966,牧师,天神,nouns,0.46
1967,汽车,電梯,nouns,0.09
1968,行动,遊戲,nouns,0.36
1969,军官,副手,nouns,0.77
1970,借,想要,verbs,0.23
1971,真诚地,認真地,adverbs,2.96
1972,衣服,褸,nouns,3.59
1973,伤心地,感情上,adverbs,0.78
1974,从不,否定,adjectives,1.41
1975,分数,評分,verbs,3.18
1976,打扰,加劇,verbs,0.0
1977,面包,肉,nouns,0.27
1978,获得,偷,verbs,0.86
1979,员工,僱主,nouns,0.18
1980,无知,頻繁,adjectives,0.09
1981,球,服裝,nouns,0.09
1982,北,南,nouns,0.72
1983,人类学,考古學,nouns,1.64
1984,撞击,碰撞,verbs,3.72
1985,逻辑,算術,nouns,2.32
1986,恐吓,困擾,verbs,0.32
1987,钢笔,字母,nouns,0.0
1988,植物群,大自然,nouns,1.54
1989,音乐,長笛,nouns,1.32
1990,描绘,通知,verbs,0.0
1991,银行,座位,nouns,0.09
1992,学校,年級,nouns,0.82
1993,排球,球,nouns,3.41
1994,王子,國王,nouns,2.18
1995,魔鬼,天神,nouns,0.09
1996,冲洗,洗,verbs,4.32
1997,携带,運送,verbs,2.72
1998,眉头,眼睛,nouns,0.55
1999,减少,淋透,verbs,0.04
2000,能力,才能,nouns,4.04
2001,找到,逃逸,verbs,0.0
2002,员工,歌手,nouns,0.36
2003,撤离,確定,verbs,0.0
2004,灵活,謙虛,adjectives,0.46
2005,笨,頑固,adjectives,1.09
2006,大笑,唱,verbs,0.18
2007,护士,科學家,nouns,0.14
2008,头脑,神經官能症,nouns,0.32
2009,声明,宣告,verbs,3.5
2010,付款,獎勵,nouns,0.22
2011,蛋白质,柄,nouns,0.04
2012,薄雾,雲,nouns,2.68
2013,武士,男人,nouns,0.78
2014,文章,書,nouns,3.91
2015,财富,名譽,nouns,0.82
2016,离开,撤退,verbs,3.73
2017,踝,骨頭,nouns,0.45
2018,大概,積極地,adverbs,0.36
2019,牛,羊,nouns,1.64
2020,戒指,訂婚,nouns,1.23
2021,简单,脆弱,adjectives,0.27
2022,降低,减少,verbs,3.73
2023,离开,參加,verbs,0.18
2024,非常,极其,adverbs,4.18
2025,笼子,柵欄,nouns,1.09
2026,建立,加,verbs,0.82
2027,合乎体统,有禮貌,adjectives,3.54
2028,鸟,火雞,nouns,1.87
2029,粗鲁,好鬥,adjectives,0.72
2030,价值,價格,nouns,4.0
2031,上面,下面,nouns,0.04
2032,种族,週末,nouns,0.0
2033,推荐,建議,verbs,3.46
2034,绝望,苦難,nouns,3.0
2035,特别,有價值,adjectives,0.64
2036,细胞质,數字,nouns,0.0
2037,柠檬,蘋果,nouns,0.41
2038,原木,木,nouns,4.41
2039,蠕虫,惡意軟件,nouns,0.55
2040,原谅,赦免,verbs,3.46
2041,优雅地,美麗地,adverbs,3.32
2042,父亲,男人,nouns,2.54
2043,扭曲,彎曲,adjectives,3.45
2044,蝴蝶,玫瑰,nouns,0.32
2045,狡猾,奇怪,adjectives,0.73
2046,暴民,人群,nouns,0.68
2047,不定期地,平時,adverbs,0.41
2048,侧面,下面,nouns,0.27
2049,精确,錯誤,adjectives,0.23
2050,资料,報紙,nouns,2.19
2051,主意,形象,nouns,0.04
2052,理性的,清醒,adjectives,3.18
2053,离开,留,verbs,0.14
2054,竿,窗帘,nouns,0.27
2055,粗暴,冷淡,adjectives,0.09
2056,人,元,nouns,0.0
2057,似乎,假扮,verbs,0.32
2058,自豪地,和平地,adverbs,0.36
2059,原子,碳,nouns,0.86
2060,逻辑,智力,nouns,2.96
2061,代数,手術,nouns,0.04
2062,工作者,相機,nouns,0.22
2063,承认,說話,verbs,0.55
2064,清醒,打鼻鼾,verbs,0.18
2065,红色,藍色,adjectives,0.18
2066,乞求,問,verbs,0.64
2067,做,毀滅,verbs,0.23
2068,知会,擦亮,verbs,0.0
2069,信念,概念,nouns,1.14
2070,财富,貧困,nouns,0.14
2071,豆,米飯,nouns,0.5
2072,大致,可靠地,adverbs,0.32
2073,三角洲,海,nouns,0.46
2074,签证,全球化,nouns,0.54
2075,授粉,蕊,nouns,0.82
2076,政治家,總統,nouns,3.09
2077,惯例,規則,nouns,2.73
2078,穿,侵蝕,verbs,0.27
2079,重要,關鍵,adjectives,4.46
2080,挤压,擁抱,verbs,0.27
2081,段,信,nouns,0.09
2082,肯定,自信,adjectives,3.54
2083,保护,冚住,verbs,0.95
2084,做,發生,verbs,0.09
2085,小旅馆,汽車旅館,nouns,3.13
2086,现实,幻想,nouns,2.71
2087,习语,字,nouns,0.86
2088,独特,相反,adjectives,0.64
2089,发展,肥料,nouns,0.59
2090,鸢尾花,乙酰膽鹼,nouns,0.0
2091,粘性,濺,nouns,0.04
2092,赚,做,verbs,0.18
2093,轻轻的,大聲地,adverbs,0.14
2094,教育,教,verbs,3.59
2095,喉咙,鼻子,nouns,0.27
2096,重复,練習,verbs,2.32
2097,活动,運動,nouns,2.73
2098,打,吸引,verbs,0.0
2099,酸,鹼,nouns,0.95
2100,蔗糖,醣類,nouns,2.72
2101,欠,借,verbs,0.41
2102,生活方式,文明,nouns,1.19
2103,偷,獲得,verbs,0.86
2104,想,沉思,verbs,3.5
2105,轻微,十足地,adverbs,0.04
2106,洗手间,廚房,nouns,0.27
2107,公开,未公開,adjectives,0.18
2108,相信,感覺到,verbs,0.59
2109,煤,木炭,nouns,2.72
2110,资本,錢,nouns,3.64
2111,发出气味,發出惡臭,verbs,2.55
2112,笨,蠢,adjectives,5.54
2113,灰尘,掃帚,nouns,0.64
2114,结婚,加入,verbs,0.14
2115,监狱,酒吧,nouns,0.22
2116,罪犯,犯罪者,nouns,5.19
2117,雨,冰雹,nouns,1.14
2118,偶然,經常地,adverbs,0.55
2119,狭窄,寬廣,adjectives,0.23
2120,击中,瞄准,verbs,1.5
2121,悄悄地,自然地,adverbs,0.55
2122,章节,插曲,nouns,0.96
2123,带来,恢復,verbs,0.22
2124,兴趣,注意,nouns,0.59
2125,在家里,在別處,adverbs,0.27
2126,警告,停,verbs,0.14
2127,大笑,哭,verbs,0.22
2128,盒子,帽子,nouns,0.0
2129,貂,油,nouns,0.04
2130,折断,捏碎,verbs,2.5
2131,节目,數學家,nouns,0.04
2132,焦急地,緊張地,adverbs,3.54
2133,退出,拒絕,verbs,0.41
2134,老鼠,容器,nouns,0.0
2135,滨,海岸,nouns,2.96
2136,搂抱,擁抱,verbs,4.96
2137,大,寬廣,adjectives,3.09
2138,白兰地酒,酒,nouns,3.64
2139,批评,評論說,verbs,2.23
2140,判断,作證,verbs,0.09
2141,摔碎,打碎,verbs,3.96
2142,恢复,修理,verbs,1.73
2143,故事,鉛筆,nouns,0.14
2144,交流,語言,nouns,1.0
2145,危险,疾病,nouns,0.59
2146,欺骗,作弊,verbs,2.73
2147,蜜糖,糖,nouns,2.46
2148,容易,簡單,adjectives,4.91
2149,描绘,模仿,verbs,0.77
2150,步行,站立,verbs,0.36
2151,一般,異常地,adverbs,0.0
2152,责怪,推,verbs,0.41
2153,作证,判斷,verbs,0.09
2154,协议,爭論,nouns,0.32
2155,平面,大薄片,nouns,0.5
2156,提高,舉起,verbs,3.14
2157,减少,收縮,verbs,3.13
2158,大声地,猛烈地,adverbs,2.27
2159,沐浴,戲法,nouns,0.04
2160,立方体,玩具,nouns,0.18
2161,不定形,無形,adjectives,2.96
2162,收集,组织,verbs,1.18
2163,港口,包裝紙,nouns,0.04
2164,出口,選舉權,nouns,0.22
2165,篱笆,軌,nouns,0.0
2166,功课,文章,nouns,1.32
2167,不公平地,不合理,adverbs,3.68
2168,今天晚上,明天,adverbs,0.27
2169,望远镜,頭腦風暴,nouns,0.04
2170,笨,醒目,adjectives,0.36
2171,震,地震,nouns,3.87
2172,工作,管理,nouns,0.55
2173,白兰地,紅酒,nouns,2.96
2174,帮忙,問,verbs,0.09
2175,不久,立即,adverbs,1.23
2176,次要,重大,adjectives,0.23
2177,盒子,雪茄,nouns,0.09
2178,订婚,戒指,nouns,1.23
2179,探索,無視,verbs,0.0
2180,灯,精靈,nouns,0.09
2181,座舱,副駕駛,nouns,0.46
2182,平庸,好的,adjectives,0.27
2183,狩猎,搜索,verbs,0.73
2184,湿疹,皮炎,nouns,3.59
2185,俱乐部,標識,nouns,0.04
2186,借,賣,verbs,0.32
2187,社会生物学,突變體,nouns,0.36
2188,愤怒,猶豫,adjectives,0.41
2189,依赖,依靠,verbs,4.37
2190,兄弟会,男人,nouns,1.68
2191,机器,引擎,nouns,2.36
2192,才能,能力,nouns,4.59
2193,电影,爆谷,nouns,0.55
2194,男孩,兒童,nouns,2.63
2195,虚无主义,電影,nouns,0.36
2196,神经心理学,通靈研究,nouns,0.36
2197,坏,極好,adjectives,0.14
2198,表,日落,nouns,0.0
2199,承诺,發誓,verbs,3.78
2200,枪,毛,nouns,0.04
2201,悲伤,幸福,nouns,0.09
2202,苦难,絕望,nouns,3.0
2203,肯定地,肯定地,adverbs,3.86
2204,给,偷,verbs,0.22
2205,旗帜学,旗,nouns,0.82
2206,飞机,噴射機,nouns,3.46
2207,孩子,男孩子,nouns,2.86
2208,老师,學生,nouns,0.68
2209,碰撞,撞擊,verbs,3.72
2210,算术,韻律,nouns,0.04
2211,决定,判斷,verbs,3.0
2212,查询,搜索,verbs,3.78
2213,公寓,家具,nouns,0.22
2214,小说,傳記,nouns,2.14
2215,煮,失去,verbs,0.04
2216,武器,頭盔,nouns,0.95
2217,混合,喝,verbs,0.04
2218,甜,電動,adjectives,0.0
2219,完美地,真實地,adverbs,0.32
2220,矬小,短小,adjectives,3.19
2221,白天,晚上,nouns,0.14
2222,主板,主機板,nouns,3.5
2223,肩膀,手臂,nouns,1.0
2224,胆大,自豪,adjectives,1.14
2225,愤怒,暴力,adjectives,1.27
2226,前进,促進,verbs,1.32
2227,车,船,nouns,0.41
2228,匆匆地写,寫,verbs,3.5
2229,病毒,血液,nouns,0.36
2230,传记,小說,nouns,2.14
2231,简单,生硬,adjectives,0.09
2232,假设,預測,verbs,4.84
2233,外交,談判,nouns,2.04
2234,粘人,缺乏信心,adjectives,0.27
2235,溅,粘性,nouns,0.04
2236,幸福,悲傷,nouns,0.09
2237,爬,遠足,verbs,0.69
2238,进入,走,verbs,0.86
2239,混乱,和平地,adverbs,0.0
2240,臭氧,大氣層,nouns,3.0
2241,大象,恐龍,nouns,0.27
2242,啜,喝,verbs,1.32
2243,总统,小學生,nouns,0.04
2244,组合,結合,nouns,2.91
2245,甲板,老鼠,nouns,0.04
2246,奶昔,果汁,nouns,0.5
2247,轻轻地,明亮地,adverbs,0.14
2248,酒,杜松子酒,nouns,3.91
2249,汽车,橋,nouns,0.23
2250,玉米,玉米,nouns,5.96
2251,留,保留,verbs,4.0
2252,悬崖,小山,nouns,0.32
2253,裁判官,法官,nouns,3.82
2254,不清楚,模糊,adjectives,4.31
2255,电影,戲,nouns,4.41
2256,木材,原木,nouns,3.72
2257,完成,休會,verbs,0.14
2258,汽车旅馆,小旅館,nouns,3.13
2259,上校,牙醫,nouns,0.14
2260,年级,學校,nouns,0.82
2261,日落,傍晚,nouns,4.77
2262,枪,刀,nouns,2.0
2263,冷静地,巧妙的,adverbs,0.73
2264,通常,日常,adverbs,3.18
2265,收割,獲得,verbs,1.91
2266,亿万富翁,無家可歸,nouns,0.04
2267,修道院,沖涼,nouns,0.0
2268,伤心,自豪,adjectives,0.14
2269,沙漠,沙丘,nouns,2.59
2270,收到,實現,verbs,0.14
2271,掩饰,偽裝,verbs,3.77
2272,人,一分錢,nouns,0.14
2273,亲密,個人,adjectives,0.0
2274,树,葉,nouns,0.5
2275,容器,老鼠,nouns,0.0
2276,黎明,晚上,nouns,0.27
2277,组织,成為,verbs,0.09
2278,云,風暴,nouns,1.23
2279,大致,粗糙地,adverbs,1.18
2280,背景,牆紙,nouns,2.59
2281,获得,攞,verbs,3.63
2282,不昂贵,便宜,adjectives,3.41
2283,宪法,皇帝,nouns,0.22
2284,承认,通知,verbs,0.28
2285,包装纸,港口,nouns,0.04
2286,进来,向外,adjectives,0.09
2287,调查,追求,verbs,0.68
2288,给,知道,verbs,0.04
2289,饥饿,累,adjectives,0.5
2290,人,兒童,nouns,2.09
2291,容易地,大致地,adverbs,0.32
