ID,CYM,SWA,PoS,score
1337,yn fras,yenye kukwaruza,adverbs,0.15
1338,gofyn,kusihi,verbs,1.75
1339,dyffryn,bonde,nouns,0.3
1340,canol,chakula,nouns,0.0
1341,preifat,faragha,adjectives,3.5
1342,bwrdd,meza,nouns,0.0
1343,llenwi,kutiachaji,verbs,0.3
1344,arestio,kukamatwa,verbs,0.05
1345,chwaraewr,mchezaji,nouns,0.8
1346,geiriadur,neno,nouns,1.7
1347,anifail anwes,paka,nouns,2.95
1348,yn hysbys,julikana,adjectives,0.0
1349,gadael,kufika,verbs,0.1
1350,eliffant,ndovu,nouns,0.05
1351,llyfr,hadithi,nouns,1.95
1352,y rhan fwyaf,zaidi,adverbs,2.4
1353,dodrefn,kitanda,nouns,2.35
1354,darganfod,kujipatia,verbs,1.15
1355,gwybod,kusahau,verbs,0.1
1356,anghorfforol,nje ya mwili,adjectives,0.8
1357,tasg,majani makavu,nouns,0.0
1358,diflannu,kutafuta,verbs,0.15
1359,adeilad,jengo,nouns,1.0
1360,dwyn,kununua,verbs,0.05
1361,yn gyfrifol,kwa uwajibikaji,adverbs,0.55
1362,cul,nyembamba,adjectives,2.0
1363,llythyr,aya,nouns,0.7
1364,perswadio,kufuatilia,verbs,0.5
1365,rheiddiadur,radiator,nouns,0.4
1366,cynorthwyo,saidia,verbs,1.0
1367,derbyn,kuamini,verbs,1.8
1368,rabi,mwalimu,nouns,2.15
1369,cytuno,kutofautiana,verbs,0.05
1370,corff,mwili,nouns,0.38
1371,pen,bega,nouns,0.85
1372,ffantasi,uhalisi,nouns,0.35
1373,dygnwch,bendi,nouns,0.0
1374,myfyrdod,picha,nouns,1.0
1375,popcorn,bisi,nouns,0.4
1376,planed,mwezi,nouns,1.7
1377,cythruddo,kusumbua,verbs,0.0
1378,yn aml,mara nyingi,adverbs,0.65
1379,gwael,maskini,adjectives,0.05
1380,gofyn,kusali,verbs,0.95
1381,bywyd wedi marwolaeth,kuzimu,nouns,1.6
1382,anwybyddu,kusahau,verbs,1.4
1383,crëwr,mtunzi,nouns,2.75
1384,asgwrn,meno,nouns,0.5
1385,gwaethygu,kuongeza,verbs,0.1
1386,dod â,kubeba,verbs,2.1
1387,cred,maadili,nouns,0.5
1388,cymhwysedd,uelekevu,nouns,3.6
1389,crio,kulia,verbs,2.67
1390,awyren,ndege,nouns,3.45
1391,banereg,elimu ya bendera,nouns,0.85
1392,ale,bakuli,nouns,0.05
1393,cyfuniad,mjumuiko,nouns,2.15
1394,heulwen,matofaa,nouns,0.05
1395,dŵr,barafu,nouns,2.2
1396,tystio,kushuhudia,verbs,0.6
1397,symud,kutoka,verbs,0.05
1398,soffa,baseball,nouns,0.0
1399,llym,mkorofi,adjectives,1.15
1400,morthwyl,nyundo,nouns,0.0
1401,preifat,binafsi,adjectives,0.05
1402,papur newydd,neno,nouns,0.4
1403,symbol,msimbo,nouns,2.0
1404,hysbysu,kutambua,verbs,0.65
1405,hen,mbivu,adjectives,0.05
1406,beirniadaeth,hoja,nouns,1.15
1407,braich,shingo,nouns,0.3
1408,nerfus,kuoga,adjectives,0.0
1409,sylfaen,msingi,nouns,0.6
1410,dichonadwy,inawezekana,adjectives,0.45
1411,cartref,jimbo,nouns,0.1
1412,hen,mpya,adjectives,0.05
1413,yn fras,takriban,adverbs,0.12
1414,cysur,usalama,nouns,1.0
1415,cyflawni,kuwa,verbs,0.7
1416,gwallgof,safi,adjectives,0.0
1417,caled,imara,adjectives,2.5
1418,rhoi,kuiba,verbs,0.05
1419,dyn,mpiganaji,nouns,0.6
1420,cyffredin,kawaida,adjectives,0.08
1421,lindys,kiwavi,nouns,1.4
1422,yn llawn,kwa uzima,adverbs,0.0
1423,cefndir,mandharinyuma,nouns,1.35
1424,pêl,mpira,nouns,1.73
1425,siarad,kusikia,verbs,0.55
1426,diangen,lazima,adjectives,0.05
1427,morgrugyn,nyuki,nouns,0.75
1428,gair,sentensi,nouns,2.05
1429,cymylog,kivuli cha mawingu,nouns,0.15
1430,ynys,jukumu,nouns,0.0
1431,cymryd,kukubali,verbs,0.15
1432,llawysgrif,muswada,nouns,1.25
1433,meddwl,kujaribu,verbs,0.15
1434,meddwl,akili,nouns,4.6
1435,anwybyddu,kuepa,verbs,2.7
1436,planhigyn,mmea,nouns,1.15
1437,dwys,ngumu,adjectives,0.45
1438,blodyn,kichaka,nouns,0.75
1439,dyffryn,mto,nouns,0.7
1440,adeiladwaith,uharibifu,nouns,0.1
1441,cyntedd,korido,nouns,4.2
1442,diogelwch,starehe,nouns,1.0
1443,troi allan,kufukuza,verbs,0.2
1444,flwyddyn,mwaka,nouns,1.0
1445,menyw,mwanaume,nouns,0.35
1446,torri,kuharibu,verbs,3.95
1447,gwaith celf,mchoro,nouns,1.05
1448,deilen,jani,nouns,1.15
1449,darn,kipande,nouns,0.0
1450,cydnabod,kuzungumza,verbs,0.2
1451,gorffennol,zamani,nouns,1.0
1452,gallu,ustadi,nouns,3.6
1453,bwystfil,mnyama,nouns,2.35
1454,tad,kaka,nouns,0.65
1455,uchder,urefu,nouns,0.0
1456,meddwl,kutafakari,verbs,4.85
1457,duw,roho,nouns,1.75
1458,babi,mtu mzima,nouns,0.2
1459,modern,wa kale,adjectives,0.05
1460,mariwana,mitishamba,nouns,1.3
1461,duw,windo,nouns,0.0
1462,edmygu,kuhusudu,verbs,1.55
1463,concwest,nyimbo,nouns,0.05
1464,yn wreiddiol,ya uhalisia,adverbs,1.35
1465,maes awyr,uwanja wa ndege,nouns,0.0
1466,gwersyll,kibanda,nouns,0.7
1467,beddrod,zika upya,nouns,1.25
1468,traddodiad,utamaduni,nouns,0.05
1469,dyn,baba,nouns,2.3
1470,nofel,simulizi,nouns,0.85
1471,cymryd,kupokea,verbs,2.95
1472,daeargryn,tetemeko la ardhi,nouns,2.8
1473,anhrefn,mchafuko,nouns,4.45
1474,derbyn,kukataa,verbs,0.1
1475,blaengau,kukuifungia,verbs,0.15
1476,gwellt,nyimbo,nouns,0.0
1477,edau,uzi,nouns,4.85
1478,sant,mkosaji,nouns,0.4
1479,croen,ngozi,nouns,0.0
1480,mynd  ,kuruhusu,verbs,0.0
1481,beio,kulaumu,verbs,2.55
1482,biliwnydd,bilionea,nouns,0.05
1483,anghywir,kosa,adjectives,0.05
1484,ofnus,ogopa,adjectives,1.25
1485,ffens,uzio,nouns,0.0
1486,ochr,chini,nouns,0.8
1487,tarfu,kunyanyasa,verbs,1.65
1488,rhybuddio,onya,verbs,0.7
1489,maddau,kukubali,verbs,0.75
1490,ffôl,mpumbavu,adjectives,4.8
1491,gwneud,kutukia,verbs,0.5
1492,yn annaturiol,si asili,adverbs,0.35
1493,ffensio,uzio,nouns,0.2
1494,esgob,askofu mkuu,nouns,3.75
1495,cyflogwr,mfanyakazi,nouns,0.6
1496,pensil,penseli,nouns,0.15
1497,braich,mguu,nouns,1.15
1498,menyw,manyoya,nouns,0.05
1499,rhoi,kuning'inia,verbs,0.15
1500,rhedeg,kimbia,verbs,0.05
1501,sbeislyd,pilipili,adjectives,0.0
1502,yn heddychlon,kwa amani,adverbs,0.0
1503,hel,kukimbiza,verbs,0.75
1504,deallusrwydd,umaizi,nouns,2.6
1505,ceffyl,farasi wa kike,nouns,4.3
1506,nerf,mwili,nouns,0.55
1507,yn ddymunol,kwa uzuri,adverbs,2.8
1508,band,gwaride,nouns,1.45
1509,biotop,ekolojia,nouns,0.55
1510,siart,chati,nouns,3.65
1511,marw,kufariki,verbs,0.05
1512,mewnwelediad,akili,nouns,2.6
1513,efallai,labda,adverbs,2.25
1514,cefnogwr,msaidizi,nouns,0.05
1515,swigen,mapovu,nouns,0.95
1516,braich,mkono,nouns,0.6
1517,osgoi,kupuuza,verbs,2.7
1518,yn dawel,kwa ukimya,adverbs,0.6
1519,dodrefn,fleti,nouns,0.35
1520,minc,mafuta,nouns,0.0
1521,canu,kuimba,verbs,0.0
1522,dwywaith,mara mbili,adverbs,0.3
1523,yn hyfryd,kwa uzuri,adverbs,2.1
1524,doler,dola,nouns,1.1
1525,rhoi,kuruhusu,verbs,0.95
1526,dod,kwenda,verbs,0.45
1527,rhannu,kuzidisha,verbs,0.35
1528,tywydd,hali ya hewa,nouns,0.4
1529,therapi,tiba,nouns,1.05
1530,perlysieuyn,bangi,nouns,1.3
1531,anghofio,kukumbusha,verbs,0.1
1532,delta,delta,nouns,0.95
1533,offeiriad,mungu,nouns,0.65
1534,sbeislyd,pilipili,adjectives,0.0
1535,bowlen,kichochoro,nouns,0.05
1536,gorffwyll,mgonjwa,adjectives,0.35
1537,amau,kushukia,verbs,0.05
1538,sgwâr,mraba,nouns,0.05
1539,ffa,kahawa,nouns,0.6
1540,tribiwnlys,mahakama,nouns,1.35
1541,clywed,kusikia,verbs,0.4
1542,crwm,yenye pindo,adjectives,0.05
1543,yn falch,kwa jeuri,adverbs,0.05
1544,maer,rais,nouns,1.3
1545,casglu,kuhudhuria,verbs,0.35
1546,rhannu,kugawanya,verbs,0.2
1547,gêm,tendo,nouns,0.5
1548,deuod,diode,nouns,0.9
1549,gair,ukurasa,nouns,0.45
1550,polyhedron,pembe zaidi ya sita,nouns,0.0
1551,gwrthbrofi,kukanusha,verbs,0.0
1552,synhwyrydd,sensa,nouns,0.4
1553,dyweddïad,uchumba,nouns,1.0
1554,cyfeiliornus,njia za panya,adjectives,1.25
1555,derbyn,kupa,verbs,0.35
1556,hurt,mjanja,adjectives,0.1
1557,partner,mvulana,nouns,0.38
1558,theatr,ukumbi,nouns,0.0
1559,hapus,mchangamfu,adjectives,5.0
1560,llygad,nyusi,nouns,0.7
1561,hyfforddwr,mwalimu,nouns,4.1
1562,ffwr,ngozi,nouns,2.5
1563,afal,peremende,nouns,0.35
1564,drwg  ,mkubwa sana,adjectives,0.0
1565,golchi,kuosha,verbs,3.55
1566,camera,lenzi,nouns,2.0
1567,brifo ,kuumia,verbs,1.05
1568,yn wir,kiukweli,adverbs,0.35
1569,calon,upasuaji,nouns,0.4
1570,yn ofalus,kwa uangalifu,adverbs,1.13
1571,codi arian,mchango,nouns,0.3
1572,rhestr,orodha,nouns,0.9
1573,coridor,ushoroba,nouns,4.2
1574,parêd,bendi,nouns,1.45
1575,lloches,kibanda,nouns,1.25
1576,gofyn,kuuliza,verbs,0.35
1577,wedi cyffroi,sisimka,adjectives,1.25
1578,pwffian chwerthin,kukenua,verbs,4.05
1579,troseddu,kukosea,verbs,0.25
1580,beibl,kitabu,nouns,2.4
1581,traeth,uwanda wa bahari,nouns,2.25
1582,stryd,kichochoro,nouns,2.4
1583,yn dynn,kwa ukakamavu,adverbs,0.55
1584,dwyn,iba,verbs,0.6
1585,tarddu,kugundua,verbs,0.3
1586,yn emosiynol,kwa hisia,adverbs,1.75
1587,gweriniaeth,jamhuri,nouns,0.05
1588,gwraig,kuoga,nouns,0.0
1589,athro,daktari,nouns,0.8
1590,meddwl,kutafiti,verbs,0.75
1591,pen-blwydd,mwaka,nouns,0.75
1592,amgylchedd,mazingira,nouns,0.0
1593,dirmygu,kuchukia,verbs,1.05
1594,derbyn,kupendekeza,verbs,0.45
1595,hurt,wa upuzi,adjectives,4.8
1596,cab,gari,nouns,4.2
1597,llyfr,makala,nouns,1.0
1598,esgus,kudhani,verbs,0.35
1599,sylweddoli,kugundua,verbs,4.45
1600,allanfa,mlangoni,nouns,1.95
1601,pleidlais,haki ya upigaji kura,nouns,0.05
1602,yn bennaf,zaidi,adverbs,0.35
1603,cyfarfod,kusalimia,verbs,1.0
1604,swper,chakula cha asubuhi,nouns,0.75
1605,llwy,kikombe,nouns,0.85
1606,cyfarfod,kukusanya,verbs,1.4
1607,cryfder,makadara,nouns,4.0
1608,llygredd,rushwa,nouns,1.45
1609,geiriadur,kamusi,nouns,2.2
1610,brwnt,mwembamba,adjectives,0.0
1611,awyren,jeti,nouns,4.95
1612,ymadrodd,neno,nouns,2.05
1613,hyfforddi,elimisha,verbs,3.95
1614,pennod,mkia,nouns,0.0
1615,cefnder,mjomba,nouns,0.55
1616,telesgop,darubini,nouns,0.0
1617,yn angheuol,hatari sana,adverbs,0.0
1618,meddwl,kufikiria,verbs,1.25
1619,cwpan,kopo,nouns,0.9
1620,metr,inchi,nouns,1.5
1621,pren,karatasi,nouns,0.35
1622,trychineb,ajali,nouns,2.6
1623,yn ddibynadwy,pasipo tu,adverbs,0.1
1624,yn ddelfrydol,walau,adverbs,0.3
1625,gitâr,gitaa,nouns,0.0
1626,yn sylfaenol,kimsingi,adverbs,0.0
1627,democratiaeth,demokrasia,nouns,0.65
1628,hashnod,reli,nouns,0.3
1629,estrys,mbuni,nouns,0.0
1630,coroni,kusimikwa ufalme,nouns,0.0
1631,hongian,kuweka,verbs,0.15
1632,bys,kiganja,nouns,0.6
1633,yn derfynol,mwishoni,adverbs,0.0
1634,top,upande,nouns,0.45
1635,siarcol,makaa ya mawe,nouns,3.4
1636,hysbysu,kujulisha,verbs,4.75
1637,gwely,hospitali,nouns,0.55
1638,hiliaeth,ubaguzi wa rangi,nouns,3.7
1639,creulon,mkali,adjectives,1.15
1640,terfysg,mgomo,nouns,0.0
1641,brenhines,nyuki,nouns,0.15
1642,cwmni,biashara,nouns,3.35
1643,diwylliant,utamaduni,nouns,1.3
1644,mêl,asali,nouns,0.1
1645,cyflog,hela,nouns,2.95
1646,cwch,sitaha,nouns,0.8
1647,portreadu,kuiga,verbs,2.35
1648,ennill,kufanikiwa,verbs,4.55
1649,person dan amheuaeth,mshukiwa,nouns,0.35
1650,cadair,kiti,nouns,0.0
1651,ymosodol,kwa mabavu,adjectives,0.75
1652,mob,umati,nouns,4.45
1653,balch ,ana hasira,adjectives,0.0
1654,llwyn,ua,nouns,0.75
1655,cerdyn,daraja,nouns,0.1
1656,rhyddid,uhuru,nouns,0.28
1657,cymysgu,kuchanganya,verbs,0.5
1658,absenoldeb,kuwepo,nouns,0.6
1659,stoc,akiba,nouns,3.15
1660,piano,kinanda,nouns,0.5
1661,rhyfedd,mwerevu,adjectives,0.0
1662,dyn,mjomba,nouns,1.75
1663,entropi,kuzorota,nouns,0.1
1664,cyngres,mkutano,nouns,2.5
1665,arwyddluniau,insilia,nouns,0.0
1666,ergyd,pigo,nouns,0.0
1667,dec,boti,nouns,0.8
1668,sgleinio,kung'arisha,verbs,0.0
1669,yma,papa hapa,adverbs,1.8
1670,colli,kuweka,verbs,0.2
1671,cyd-beilot,rubani msaidizi,nouns,0.05
1672,mynychu,kuhudhuria,verbs,0.0
1673,capten,mwanamaji,nouns,1.7
1674,plentyn,mvulana,nouns,1.25
1675,chwarae,kucheza,verbs,0.1
1676,rhesymeg,akili,nouns,2.45
1677,cyfradd,kiwango,nouns,1.55
1678,anwybyddu,kupuuza,verbs,0.0
1679,byth,kamwe,adverbs,0.0
1680,dechrau,kuacha,verbs,0.05
1681,cystadlu,kushindana,verbs,0.1
1682,chwilio,tafuta,verbs,1.6
1683,het,koti,nouns,0.7
1684,ongl,tao,nouns,1.35
1685,dan straen,kusisitiza,adjectives,0.0
1686,cwmpawd,dira,nouns,0.0
1687,dwyn,kupa,verbs,0.05
1688,cwt,makao,nouns,1.25
1689,digartref,wasio na makazi,nouns,0.05
1690,cadernid,nguvu,nouns,4.0
1691,erlynydd,mwendesha mashtaka,nouns,3.25
1692,yn annibynnol,kwa kujitegemea,adverbs,0.55
1693,gwerthfawr,yenye thamani,adjectives,1.28
1694,diflas,wa kuchekesha,adjectives,0.1
1695,lladd,ua,verbs,0.55
1696,bys,kidole cha mguu,nouns,0.8
1697,diogel,lindwa,adjectives,0.0
1698,radar,rada,nouns,0.35
1699,caniatáu,kuruhusu,verbs,1.45
1700,maddau,kusahau,verbs,0.9
1701,patholeg,stadi ya magonjwa,nouns,2.3
1702,cymryd,kumiliki,verbs,1.1
1703,llys,korti,nouns,1.5
1704,o ychydig,mara kwa mara,adverbs,0.15
1705,athro,rabai,nouns,2.15
1706,pêl-droed,burudani,nouns,0.6
1707,seler,mlango,nouns,0.1
1708,cnawd,damu,nouns,1.15
1709,tlodi,utajiri,nouns,0.35
1710,moleciwl,atomu,nouns,2.25
1711,dilyniant,mwendelezo,nouns,0.0
1712,ymholi,kuwaza,verbs,0.75
1713,rhagolwg,utabiri,nouns,0.15
1714,ystafell ymolchi,jiko,nouns,0.55
1715,sy'n dod i mewn,inayoingia,adjectives,0.15
1716,graff,jedwali,nouns,3.65
1717,casglu,kuamua,verbs,0.65
1718,coeden,mti,nouns,0.0
1719,moleciwl,molekuli,nouns,0.15
1720,pinsio,kufinya,verbs,0.7
1721,atgoffa,kuuza,verbs,0.0
1722,methu,kufanikiwa,verbs,0.1
1723,edafedd,nyuzi,nouns,4.85
1724,staff,wafanyakazi,nouns,0.15
1725,cais,maombi,nouns,2.05
1726,ennill,kutengeneza,verbs,0.2
1727,canolig,mtumba,adjectives,0.15
1728,braf,mkorofi,adjectives,0.05
1729,cyfarfod,kupatana,verbs,0.05
1730,caledwedd,kifaa,nouns,0.05
1731,gwybodaeth,kitabu,nouns,0.75
1732,talwrn,chumba cha rubani,nouns,0.3
1733,doethineb,akili,nouns,3.6
1734,cloch,mlango,nouns,0.35
1735,taro,kupiga,verbs,0.0
1736,teledu,runinga,nouns,0.7
1737,dygnwch,ua,nouns,0.1
1738,caets,kizuizi,nouns,0.6
1739,poeni,kuwa na wasiwasi,verbs,0.0
1740,coch,nyekundu,adjectives,0.65
1741,car,lifti,nouns,0.45
1742,atom,molekuli,nouns,2.25
1743,gwenynen,malkia,nouns,0.15
1744,ewin,kidole gumba,nouns,1.15
1745,nerf,akili,nouns,0.6
1746,plisman,polisi,nouns,0.05
1747,gwydn,mwerevu,adjectives,0.35
1748,dicter,ghadhabu,nouns,4.35
1749,derbyn,kupeleka,verbs,0.05
1750,gorchuddio,kufunika,verbs,2.55
1751,senoffobia,ubaguzi,nouns,3.7
1752,theatr,ukumbi,nouns,0.55
1753,cemeg,nadharia,nouns,0.3
1754,baled,wimbo,nouns,3.5
1755,gwraig,majani makavu,nouns,0.0
1756,crybwyll,kutoa maoni,verbs,0.35
1757,gair,kamusi,nouns,1.7
1758,agos,kwa ukaribu,adjectives,0.65
1759,uno,kuungana,verbs,3.6
1760,digio,kukashifu,verbs,2.95
1761,halen,maji,nouns,0.35
1762,trefn,menyu,nouns,0.6
1763,masarnen,mti,nouns,3.0
1764,sawl,nyingi zaidi,adverbs,0.45
1765,bachgen,mtoto,nouns,1.25
1766,perfformio,kutumbuiza,verbs,0.05
1767,ffrind,mwalimu,nouns,0.5
1768,damwain,ajali,nouns,0.0
1769,dod yn,kujitokeza,verbs,1.25
1770,deall,kusamehe,verbs,0.45
1771,haul,anga,nouns,0.9
1772,cyhoeddi,kufahamisha,verbs,4.75
1773,corff,neva,nouns,0.55
1774,ymennydd,neva,nouns,0.6
1775,stori,mada,nouns,0.6
1776,ysgubell,ufagio,nouns,0.3
1777,yn hanfodol,kimsingi,adverbs,0.3
1778,bwlch,uwazi,nouns,2.0
1779,myfyriwr,mwanafunzi,nouns,0.9
1780,alaw,muziki,nouns,3.85
1781,oriel,nyumba ya sanaa,nouns,0.0
1782,byd,ulimwengu,nouns,5.35
1783,lifft,gari,nouns,0.45
1784,perfformiwr,mwigizaji,nouns,0.7
1785,swydd,menejimenti,nouns,0.5
1786,asteroid,kimondo,nouns,2.7
1787,awdur,muandishi,nouns,0.0
1788,adref,nyumbani,adverbs,0.2
1789,cefnfor,bahari,nouns,3.4
1790,mawr,rahisi,adjectives,0.05
1791,cyd-beilot,rubani msaidizi,nouns,0.3
1792,stumog,kiuno,nouns,0.95
1793,gwestai,rafiki,nouns,0.35
1794,moleciwl,hewa,nouns,0.4
1795,bisged,biskuti,nouns,0.0
1796,llaw,kifundo,nouns,1.05
1797,drws,uwepo,nouns,0.0
1798,fector,vector,nouns,1.35
1799,sgriblo,kuandika,verbs,2.75
1800,papur,karatasi,nouns,0.8
1801,calibr,kaliba,nouns,0.0
1802,roboteg,roboti,nouns,0.15
1803,llenyddiaeth,neno,nouns,0.95
1804,doniol,mwenye huzuni,adjectives,0.05
1805,niwed,maumivu,nouns,2.55
1806,hela,kuwinda,verbs,2.85
1807,caled,rahisi,adjectives,0.2
1808,llawr,dari,nouns,0.15
1809,yn achlysurol,mara chache,adverbs,0.7
1810,symbol,ishara,nouns,4.15
1811,gadael,kuingia,verbs,0.15
1812,ystafell,kitanda,nouns,0.4
1813,llwy,kijiko,nouns,0.05
1814,prynu,kununua,verbs,2.6
1815,yn uchel,kwa sauti,adverbs,0.12
1816,de,kaskazini,nouns,0.45
1817,dinistr,ujenzi,nouns,0.1
1818,adeiladu,kujumlisha,verbs,0.65
1819,yn weithredol,kwa juhudi,adverbs,0.6
1820,reis,kuku,nouns,0.2
1821,neigaredd,undugu,nouns,0.15
1822,llyfr,biblia,nouns,2.4
1823,tafod,misuli,nouns,1.05
1824,tristwch,aibu,nouns,0.9
1825,haint,maambukizo,nouns,0.75
1826,pleserdaith,safari,nouns,3.3
1827,nerfus,wasiwasi,adjectives,3.55
1828,mefus,strouberi,nouns,1.5
1829,brawd,kaka,nouns,1.75
1830,traeth,mchanga,nouns,0.65
1831,glas,bluu,adjectives,0.65
1832,eil,ushoroba,nouns,0.65
1833,papur newydd,taarifa,nouns,1.6
1834,mwynhau,kufurahia,verbs,0.0
1835,prynu,kuiba,verbs,0.05
1836,cenedlaethol,kitaifa,adjectives,0.35
1837,dinistrio,kuharibu,verbs,0.05
1838,cyllell,bunduki,nouns,0.45
1839,liberti,uhuru,nouns,4.9
1840,rhesymol,kueleweka,adjectives,0.95
1841,gên,mfupa,nouns,0.65
1842,cael,kubaki,verbs,0.1
1843,iâ,maji,nouns,2.2
1844,cwpan,koni,nouns,0.2
1845,ystafell,kuoga,nouns,0.25
1846,ffres,mzee,adjectives,0.05
1847,yn gyfeillgar,kirafiki,adverbs,0.0
1848,dŵr,chumvi,nouns,0.35
1849,awyr,ulimwengu,nouns,0.85
1850,seiclon,kimbunga,nouns,4.25
1851,gwellt,mke,nouns,0.0
1852,pren,mbao,nouns,0.0
1853,bwriad,nia,nouns,1.95
1854,stori,kitabu,nouns,1.95
1855,anfoesol,haramu,adjectives,2.25
1856,yn wallgof,kwa ghadhabu,adverbs,0.45
1857,milwr,mvulana,nouns,0.3
1858,ased,mali,nouns,3.15
1859,gweithiwr,mwajiri,nouns,0.55
1860,petrusgar,sitasita,adjectives,0.05
1861,rhyddhau,kuachilia,verbs,0.05
1862,hir,mwembamba,adjectives,0.3
1863,pryd bynnag,kila wakati,adverbs,0.2
1864,amddiffyn,kuua,verbs,0.35
1865,yfed,kunywa,verbs,0.0
1866,dawnsio,densi,nouns,0.15
1867,anghofio,kujua,verbs,0.1
1868,eglwys gadeiriol,kanisa kuu,nouns,3.85
1869,dinistrio,kutengeneza,verbs,0.1
1870,od,mgeni,adjectives,3.65
1871,emosiwn,hamu,nouns,3.4
1872,hurt,ana akili,adjectives,0.05
1873,negyddol,hasi,adjectives,0.35
1874,ebol,farasi,nouns,3.9
1875,stopio,kusimamisha,verbs,0.6
1876,credyd,mkopo,nouns,1.1
1877,yn anhygoel,kwa umaradufu,adverbs,1.25
1878,aflonydd,mchanga,adjectives,0.25
1879,map,ramani,nouns,0.05
1880,llyn,bwawa,nouns,2.05
1881,trefnus,kwa mpangilio,adjectives,0.05
1882,bàth,puto,nouns,0.0
1883,creulon,mwema,adjectives,0.05
1884,yn hael,kwa fadhili,adverbs,2.55
1885,bathodyn,baji,nouns,0.0
1886,cwmwl,mvuke,nouns,2.55
1887,hedfan,nzi,nouns,0.2
1888,awgrymu,kupendekeza,verbs,3.35
1889,cynghori,kushauri,verbs,3.35
1890,dwyn,kuchukua,verbs,1.75
1891,corff,bega,nouns,0.7
1892,diymadferth,hoi,adjectives,1.25
1893,cofio,kukumbuka,verbs,1.25
1894,aros,kupata,verbs,0.1
1895,gwn,watu,nouns,0.1
1896,cyfarch,kukutana,verbs,1.0
1897,gwyddoniaeth,saikolojia,nouns,2.1
1898,troed,mguu,nouns,0.05
1899,dillad,kifungo,nouns,0.4
1900,heb ei ddatgelu,haijafichuliwa,adjectives,0.15
1901,parti,watu,nouns,0.7
1902,hyder,nafsi,nouns,0.2
1903,creu,kutengeneza,verbs,1.62
1904,glaswelltir,uwanda wenye majani,nouns,2.3
1905,balch ,mwenye nguvu,adjectives,0.4
1906,hapusrwydd,amani,nouns,1.25
1907,diog,mvivu,adjectives,0.03
1908,gwialen,pazia,nouns,0.05
1909,heb ei ddefnyddio,haijatumika,adjectives,4.6
1910,palmwydd,kidole,nouns,0.6
1911,pennu,kutambulisha,verbs,0.0
1912,meteor,meteor,nouns,0.3
1913,cinio,ugali,nouns,1.55
1914,gwyddonydd,muuguzi,nouns,0.35
1915,gwneuthurwr,muumbaji,nouns,5.05
1916,modfedd,mita,nouns,1.5
1917,glob,dunia,nouns,5.35
1918,ynys,kisiwa,nouns,0.1
1919,llygoden,chombo,nouns,0.0
1920,fisa,mhuri,nouns,0.15
1921,chwedl,hadithi,nouns,0.2
1922,brecwast,chakula cha usiku,nouns,0.6
1923,arholiad,mtihani,nouns,0.35
1924,rhannu,kujumlisha,verbs,0.25
1925,cadw,kulinda,verbs,0.7
1926,bwlb,ua,nouns,1.15
1927,cymysgu,koroga,verbs,2.15
1928,saws,matofaa,nouns,0.25
1929,gorffen,maliza,verbs,1.0
1930,ardal,kona,nouns,0.7
1931,mêr,damu,nouns,0.6
1932,ceiniog,sarafu,nouns,0.95
1933,trasiedi,kifo,nouns,1.5
1934,cot,kofia,nouns,0.7
1935,bacwn,nyama,nouns,3.45
1936,dyn,rafiki,nouns,0.55
1937,trefnu,kuhitaji,verbs,0.1
1938,cinio,chakula cha asubuhi,nouns,0.6
1939,car,mtaa,nouns,0.35
1940,bòs,bosi,nouns,3.45
1941,dryswch,kichaa,nouns,1.35
1942,afal,malimau,nouns,0.85
1943,dod â,kuja,verbs,1.3
1944,lluosi,kugawanya,verbs,0.35
1945,arbennig,maalumu,adjectives,2.3
1946,anhrefnu,kutopangilia,verbs,0.05
1947,cynffon,bakuli,nouns,0.0
1948,dydd ,usiku,nouns,0.3
1949,aelod,mguu,nouns,0.75
1950,saeth,lengo,nouns,0.65
1951,dyn,mwanaume,nouns,0.35
1952,te,limau,nouns,0.45
1953,terfyn,ukingo,nouns,4.1
1954,gwych,wa kutisha,adjectives,0.05
1955,glan y môr,ufuko,nouns,5.15
1956,ffraeo,kufikiria,verbs,0.35
1957,poenus,kasirika,adjectives,0.15
1958,ymgeisio,kujaribu,verbs,1.1
1959,alaw,pigo,nouns,1.15
1960,tröedigaeth,uongofu,nouns,0.0
1961,esgeuluso,kupuuzia,verbs,0.95
1962,baner,bendera,nouns,0.7
1963,i ffwrdd,ugenini,adverbs,0.2
1964,newynog,kua na njaa ,adjectives,1.0
1965,meddw,mlevi,adjectives,0.05
1966,glaswellt,mwani,nouns,1.45
1967,ffrâm,fremu,nouns,0.0
1968,socer,soka,nouns,5.95
1969,gwerth,imani,nouns,0.5
1970,traethawd,insha,nouns,1.05
1971,tatws,siagi,nouns,0.2
1972,pêl-fas,kochi,nouns,0.0
1973,creu,kuharibu,verbs,0.1
1974,gweithiwr,makanika,nouns,1.85
1975,telesgop,darubini,nouns,0.0
1976,darogan,kudhani,verbs,1.5
1977,tywydd,wingu,nouns,1.25
1978,arloeswr,njia,nouns,0.05
1979,encilio,kurudia,verbs,0.3
1980,gwenith,nafaka,nouns,2.15
1981,anniben,chafu,adjectives,0.05
1982,cymryd,kuchukua,verbs,1.3
1983,melin,koboa,nouns,0.2
1984,jin,kileo,nouns,2.25
1985,yn deg,kwa haki,adverbs,0.1
1986,cred,ono,nouns,0.75
1987,cytundeb,mazingira,nouns,0.05
