ID,CYM,RUS,PoS,score
1416,dianc,находить,verbs,0.05
1417,gwydn,легкий,adjectives,0.1
1418,danfon,получать,verbs,0.1
1419,prawf,вердикт,nouns,1.65
1420,haul,небо,nouns,0.85
1421,ased,акции,nouns,2.8
1422,eang,свежий,adjectives,0.05
1423,cath,кролик,nouns,0.65
1424,gwm,мята,nouns,0.35
1425,gwrthod,признавать,verbs,0.05
1426,iâ,вода,nouns,2.1
1427,anhapus,рассерженный,adjectives,0.8
1428,euog,пристыженный,adjectives,2.25
1429,yn gynnil,спокойно,adverbs,0.3
1430,prynu,воровать,verbs,0.05
1431,cynnyrch llaeth,мед,nouns,0.2
1432,afal,лимон,nouns,0.95
1433,yn syth,один раз,adverbs,0.6
1434,ffôl,тупой,adjectives,4.15
1435,wedi blino,скучный,adjectives,0.6
1436,siarad,шептать,verbs,1.7
1437,eisiau,желать,verbs,5.1
1438,blwyddyn,юбилей,nouns,1.2
1439,wythnosol,ежемесячный,adjectives,0.55
1440,cinio,завтрак,nouns,0.7
1441,peilot,водитель,nouns,2.35
1442,dod yn,делать,verbs,0.45
1443,pelydr,солнце,nouns,1.85
1444,presenoldeb,победитель,nouns,0.05
1445,fitamin,железо,nouns,0.8
1446,go fach,карликовый,adjectives,2.4
1447,gwrtaith,развитие,nouns,0.5
1448,rhiant,отец,nouns,3.3
1449,harmoni,пианино,nouns,0.75
1450,pennod,конец,nouns,0.1
1451,methu,преуспевать,verbs,0.05
1452,brawdgarwch,мужчины,nouns,0.75
1453,anghefnogi,подбодрять,verbs,0.05
1454,gwybod,давать,verbs,0.2
1455,madfall,правительство,nouns,0.0
1456,medrydd,автомобиль,nouns,0.5
1457,ailgynhesu,прогрев,nouns,3.4
1458,ffêr,локоть,nouns,0.65
1459,fflat,мебель,nouns,0.75
1460,oedolyn,родитель,nouns,1.75
1461,acwsteg,звук,nouns,2.95
1462,cwrw,напиток,nouns,2.3
1463,datgysylltu,раскалывать,verbs,1.3
1464,silff,гора,nouns,0.5
1465,llwyddo,завершать,verbs,2.35
1466,cadw,владеть,verbs,2.1
1467,cynffon,глава,nouns,0.1
1468,cath,собака,nouns,0.75
1469,yn dawel,громко,adverbs,0.0
1470,môr,река,nouns,1.0
1471,ceg,нос,nouns,0.7
1472,llyfr,информация,nouns,1.1
1473,asteroid,звезда,nouns,2.0
1474,fel arfer,искренне,adverbs,0.25
1475,hapus,злой,adjectives,0.05
1476,gwawr,ружье,nouns,0.0
1477,cyfarfod,плавать,verbs,0.0
1478,soned,красота,nouns,0.2
1479,ffres,широкий,adjectives,0.05
1480,benthyg,давать,verbs,1.55
1481,matrics,молекула,nouns,0.65
1482,maint,трюк,nouns,0.05
1483,allanfa,избирательное право,nouns,0.05
1484,arbed,тратить,verbs,0.1
1485,coleg,профессия,nouns,0.5
1486,yn hyfryd,элегантно,adverbs,3.0
1487,carreg,дерево,nouns,0.15
1488,prin,необычный,adjectives,3.9
1489,canrif,десятилетие,nouns,0.35
1490,gwych,ужасный,adjectives,0.0
1491,anhrefnu,организованный,verbs,0.05
1492,reidio,шаркать,verbs,0.1
1493,dyfarniad,разбирательство,nouns,1.65
1494,yn feddal,твердо,adverbs,0.25
1495,yn realistig,недавно,adverbs,0.0
1496,ciledrych,пялиться,verbs,0.35
1497,gwaith llaw,традиция,nouns,0.4
1498,gitâr,форель,nouns,0.0
1499,cyfalaf,деньги,nouns,3.55
1500,anghrybwylladwy,внебрачный,adjectives,0.05
1501,yn gain,красиво,adverbs,3.0
1502,hylif,сопло,nouns,0.0
1503,ceg,зуб,nouns,0.95
1504,mintys,музей,nouns,0.0
1505,prifysgol,кампус,nouns,1.4
1506,yn gadarn,плотно,adverbs,1.55
1507,dod,идти,verbs,1.0
1508,rhwystredigaeth,злость,nouns,1.8
1509,gwenynen,насекомое,nouns,1.6
1510,gwthio,обвинять,verbs,0.05
1511,coleddu,хранить,verbs,1.35
1512,troi allan,освобождать,verbs,0.65
1513,diafol,бог,nouns,0.6
1514,pwyll,забота,nouns,2.45
1515,tarw,теленок,nouns,2.0
1516,hir,узкий,adjectives,0.35
1517,yn drist,эмоционально,adverbs,1.45
1518,ffliwt,музыка,nouns,1.05
1519,gên,кость,nouns,1.05
1520,gwaethygu,беспокоить,verbs,0.4
1521,pêl-fas,баскетбол,nouns,1.55
1522,caffael,объединяться,verbs,0.2
1523,llaw,палец,nouns,1.05
1524,yn annibynnol,ответственно,adverbs,0.05
1525,caffael,украсть,verbs,0.6
1526,dillad,ткань,nouns,1.38
1527,priffordd,автомобиль,nouns,0.95
1528,angenrheidiol,ненужный,adjectives,0.05
1529,gwythïen,желудок,nouns,0.45
1530,newyddiadurwr,поэт,nouns,0.55
1531,salad,уксус,nouns,0.5
1532,ffêr,окно,nouns,0.0
1533,bachgen,состояние,nouns,0.0
1534,eira,погода,nouns,1.1
1535,gwalch,птица,nouns,1.95
1536,clwstwr,толпа,nouns,2.55
1537,milwr,мир,nouns,0.4
1538,enfawr,астрономический,adjectives,0.6
1539,tywysoges,невеста,nouns,0.7
1540,twyn,пустыня,nouns,1.45
1541,diogel,утомительный,adjectives,0.0
1542,breuddwyd,небо,nouns,0.3
1543,cig eidion,скот,nouns,2.95
1544,gadael,игнорировать,verbs,0.75
1545,carped,дом,nouns,0.55
1546,prin,немой,adjectives,0.0
1547,trwyn,голова,nouns,0.85
1548,glaw,град,nouns,1.55
1549,pellter,перспектива,nouns,0.45
1550,neidio,забор,nouns,0.3
1551,ebol,конь,nouns,3.15
1552,boddi,спасти,verbs,0.1
1553,adeiladwaith,разрушение,nouns,0.2
1554,pryd bwyd,ужин,nouns,3.05
1555,gwaed,плоть,nouns,1.1
1556,caban,коттедж,nouns,3.95
1557,darganfod,осознавать,verbs,3.15
1558,mab,отец,nouns,0.9
1559,cyflawni,становиться,verbs,0.85
1560,cyfuno,смешивать,verbs,3.55
1561,ymosodol,изогнутый,adjectives,0.0
1562,cyntedd,коридор,nouns,4.0
1563,deallusrwydd,мудрость,nouns,3.5
1564,asetylocolin,ирис,nouns,0.05
1565,llinyn,закат,nouns,0.0
1566,asgwrn,лодыжка,nouns,1.25
1567,llawdriniaeth,сердце,nouns,0.5
1568,ynys,принцесса,nouns,0.0
1569,taro,целиться,verbs,0.85
1570,clariffeio,объяснять,verbs,3.55
1571,nod,поиск,nouns,1.5
1572,minc,масло,nouns,0.2
1573,yn gyfrinachol,уверенно,adverbs,0.15
1574,tagu,дышать,verbs,0.8
1575,yn obeithiol,возможно,adverbs,1.0
1576,dweud celwydd,обвинять,verbs,0.4
1577,ceryddu,требовать,verbs,0.4
1578,codiad haul,закат,nouns,0.85
1579,gwyliau,календарь,nouns,0.75
1580,pathogen,микроб,nouns,4.3
1581,anghytuno,соглашаться,verbs,0.1
1582,caban,лагерь,nouns,1.05
1583,ysgol,юриспруденция,nouns,0.55
1584,braich,вена,nouns,0.6
1585,coes,рука,nouns,0.65
1586,tad,бог,nouns,1.8
1587,doethineb,ум,nouns,3.5
1588,parch,честь,nouns,3.15
1589,cynhwysydd,платформа,nouns,0.05
1590,erthygl,журнал,nouns,2.1
1591,cysur,безопасность,nouns,0.85
1592,preifat,личный,adjectives,3.95
1593,lens,фотоаппарат,nouns,1.4
1594,gwn,сержант,nouns,0.55
1595,cig,говядина,nouns,2.7
1596,cytuno,угождать,verbs,1.0
1597,cymryd,воспользоваться,verbs,1.4
1598,llawr,дверь,nouns,0.35
1599,nodyn,оплата,nouns,0.05
1600,arian cyfred,обмен,nouns,0.7
1601,medal,тренери,nouns,0.3
1602,yn gyfiawn,зрело,adverbs,0.6
1603,tynnu'n ôl,отвергать,verbs,1.85
1604,cwrtais,приличный,adjectives,1.85
1605,doniol,серьезный,adjectives,0.05
1606,protestaniaid,кристиан,nouns,1.25
1607,sgleinio,сообщить,verbs,0.0
1608,yn agored i niwed,беспомощный,adjectives,1.55
1609,agwedd,уверенность,nouns,1.4
1610,halen,вода,nouns,0.4
1611,traeth,море,nouns,1.5
1612,dilyn,гнаться,verbs,2.2
1613,sylweddoli,обнаруживать,verbs,3.15
1614,anifail,человек,nouns,0.5
1615,ymwrthod,отрицать,verbs,2.55
1616,seler,дверь,nouns,0.4
1617,creu,становиться,verbs,0.45
1618,delwedd,отражение,nouns,1.3
1619,yn aeddfed,праведно,adverbs,0.6
1620,dydd  ,рассвет,nouns,1.05
1621,myfyriwr,ученик,nouns,5.15
1622,brenhines,пчела,nouns,0.75
1623,anghofio,игнорировать,verbs,1.55
1624,di-fau,чистый,adjectives,3.25
1625,reidio,бежать,verbs,0.25
1626,cab,автомобиль,nouns,3.45
1627,yn ddiffuant,честно говоря,adverbs,4.4
1628,gaeaf,сезон,nouns,2.05
1629,o ddifrif,важно,adverbs,2.1
1630,cyfnewid,валюта,nouns,0.7
1631,car,грузовик,nouns,2.05
1632,ffenestr,облако,nouns,0.2
1633,prif fwrdd,материнская плата,nouns,3.1
1634,sylfaen,кислота,nouns,0.05
1635,cyffredin,странный,adjectives,0.05
1636,salwch,рак,nouns,2.4
1637,cyfreithiwr,банкир,nouns,0.8
1638,aros,сохранять,verbs,0.65
1639,clymu,ткать,verbs,0.65
1640,teclyn,кастрюля,nouns,0.25
1641,rhyddhau,нажимать,verbs,0.05
1642,beio,толкать,verbs,0.05
1643,gwrthod,отодвигать,verbs,1.85
1644,germ,патогенный микроорганизм,nouns,4.3
1645,afu,орган,nouns,1.75
1646,yn rhyfedd,иначе,adverbs,1.65
1647,canlyn,убеждать,verbs,0.75
1648,nawr,здесь,adverbs,1.6
1649,gorffwyll,безумный,adjectives,4.8
1650,emyn,завоевание,nouns,0.0
1651,yn garedig,щедро,adverbs,2.55
1652,troi allan,покидать,verbs,0.5
1653,trydanol,механический,adjectives,0.35
1654,gwynt,шквал,nouns,3.35
1655,basilica,мозаика,nouns,0.5
1656,fisa,глобализм,nouns,0.3
1657,deilen,саженец,nouns,1.05
1658,dydd  ,утро,nouns,1.2
1659,tywydd,волна,nouns,0.25
1660,soffa,бейсбол,nouns,0.0
1661,hedyn,горчица,nouns,0.85
1662,awyren,аэропорт,nouns,1.5
1663,jar,бутылка,nouns,2.15
1664,car,мост,nouns,0.35
1665,gwraig,солома,nouns,0.0
1666,menyw,задача,nouns,0.0
1667,de,север,nouns,0.6
1668,weithiau,часто,adverbs,0.6
1669,deintydd,полковник,nouns,0.0
1670,cyd-beilot,кокпит,nouns,0.2
1671,trwyn,рот,nouns,0.7
1672,rhythm,мелодия,nouns,2.25
1673,awyr,солнце,nouns,0.85
1674,dyn,друг,nouns,1.2
1675,gorffen,выпуститься,verbs,1.7
1676,ymosod,раздражать,verbs,0.1
1677,mawr,огромный,adjectives,4.3
1678,duw,жертва,nouns,0.15
1679,ysgrifennu,строчить,verbs,2.6
1680,eira,шторм,nouns,1.05
1681,brenin,принцесса,nouns,0.9
1682,arwr,героиня,nouns,3.2
1683,hanfodol,важный,adjectives,3.75
1684,anodd,легкий,adjectives,0.1
1685,mynychu,посылать,verbs,0.1
1686,pêl-droed,развлечение,nouns,0.7
1687,yn gryf,официально,adverbs,0.3
1688,cwmwl,буря,nouns,1.05
1689,asgwrn,локоть,nouns,1.2
1690,iaith,общение,nouns,1.55
1691,dewis,глава,nouns,0.3
1692,teledu,сценарист,nouns,0.65
1693,sy'n dod i mewn,уходящий,adjectives,0.05
1694,abdomen,брюшко,nouns,4.75
1695,yn gadarn,спокойно,adverbs,0.85
1696,caws,хлеб,nouns,0.5
1697,gymnasteg,фехтование,nouns,0.4
1698,lladd,защищать,verbs,0.3
1699,ysgwydd,рука,nouns,1.65
1700,yn ysgafn,ярко,adverbs,0.0
1701,anfeidredd,ноль,nouns,0.2
1702,twrci,курица,nouns,1.5
1703,ewyllys,намерение,nouns,2.05
1704,eang,узкий,adjectives,0.1
1705,penderfynu,представлять,verbs,0.5
1706,dal,подражать,verbs,0.0
1707,cyw iâr,ужин,nouns,0.7
1708,angenrheidiol,важный,adjectives,3.35
1709,log,формула,nouns,0.6
1710,dawnsio,платье,nouns,0.5
1711,gwaed,вирус,nouns,0.7
1712,hawdd,гибкий,adjectives,1.6
1713,papur newydd,известие,nouns,0.95
1714,carbon,атом,nouns,1.15
1715,iogwrt,коро́ва,nouns,0.2
1716,goruchafu,побеждать,verbs,2.6
1717,ffenestr,дверь,nouns,0.7
1718,oeraidd,ранимый,adjectives,0.1
1719,cyfarch,выступать,verbs,0.55
1720,llun,бунт,nouns,0.0
1721,cystrawen,заглавное слово,nouns,0.3
1722,anghefnogi,огорчать,verbs,0.4
1723,trosedd,мошенничество,nouns,2.25
1724,dôl,пастбище,nouns,2.55
1725,yn oddefol,надёжно,adverbs,0.1
1726,dyn,отец,nouns,1.65
1727,anwybyddu,избегать,verbs,3.4
1728,barnwr,суд,nouns,1.25
1729,tad,мужчина,nouns,1.65
1730,yn onest,никогда,adverbs,0.0
1731,asgwrn,рука,nouns,1.25
1732,mêl,молочные продукты,nouns,0.2
1733,gadael,присоединиться,verbs,0.05
1734,pwyntydd,слайд,nouns,0.0
1735,modryb,племянник,nouns,0.85
1736,dyweddïad,кольцо,nouns,1.45
1737,dewis,мнение,nouns,1.1
1738,delwedd,идея,nouns,1.3
1739,traeth,риф,nouns,0.8
1740,cadw,лелеять,verbs,1.35
1741,greddf,чувство,nouns,3.8
1742,llonydd,нейтральный,adjectives,1.5
1743,athro,преподаватель,nouns,4.65
1744,anwybyddu,покидать,verbs,0.75
1745,cyfoeth,бедность,nouns,0.3
1746,amrwd,уродливый,adjectives,0.7
1747,mygu,обнимать,verbs,0.4
1748,ystafell wely,ванная,nouns,1.3
1749,gwerthfawr,ленивый,adjectives,0.0
1750,trafod,объяснять,verbs,1.35
1751,nenfwd,собор,nouns,0.2
1752,brwydr,воинственность,nouns,2.0
1753,clun,губа,nouns,0.4
1754,anarferol,чудной,adjectives,4.35
1755,jîns,женщина,nouns,0.2
1756,allbriodasol,неприличный,adjectives,0.05
1757,dryswch,истерика,nouns,1.9
1758,pwysig,необходимый,adjectives,3.35
1759,oedolyn,ребенок,nouns,0.8
1760,car,такси,nouns,3.45
1761,ras,выходные,nouns,0.0
1762,pêl-fasged,бейсбол,nouns,1.55
1763,pen,ступня,nouns,0.5
1764,yn annhebygol,дружелюбно,adverbs,0.0
1765,disgleirdeb,звезда,nouns,1.25
1766,corff,плечо,nouns,1.05
1767,cydio,сжимать,verbs,1.6
1768,yn amlwg,конечно,adverbs,2.6
1769,cyfyngu,уменьшить,verbs,2.95
1770,aseiniad,примечание,nouns,0.65
1771,gwlyb,липкий,adjectives,0.55
1772,cyntedd,класс,nouns,0.55
1773,plentyn,мальчик,nouns,1.9
1774,cipio,ловить,verbs,2.7
1775,dinistrio,спасти,verbs,0.05
1776,taro,привлекать,verbs,0.0
1777,lamp,джинн,nouns,0.1
1778,aneglur,смутный,adjectives,4.5
1779,cyfieithydd,иностранец,nouns,0.5
1780,tric,игра,nouns,0.95
1781,trochion,пузырь,nouns,0.95
1782,anrhydedd,почтение,nouns,3.15
1783,yn gywir,активно,adverbs,0.4
1784,bachgen,партнер,nouns,0.45
1785,papur lapio,убежище,nouns,0.1
1786,priodi,обручаться,verbs,1.45
1787,aros,достигать,verbs,0.0
1788,ufuddhau,слушать,verbs,1.65
1789,angor,лодка,nouns,0.95
1790,batri,театр,nouns,0.0
1791,troed,голова,nouns,0.5
1792,cath,мышка,nouns,0.6
1793,pren,камень,nouns,0.15
1794,gradd,школа,nouns,0.85
1795,styfnig,глупый,adjectives,0.45
1796,modd,мода,nouns,0.4
1797,uchel,грубый,adjectives,0.75
1798,moesol,легенда,nouns,0.5
1799,tun,металл,nouns,2.15
1800,amgylchedd,меч,nouns,0.2
1801,gwahanu,отходить,verbs,1.1
1802,biolegydd,микроскоп,nouns,0.95
1803,yn hapus,смертельно,adverbs,0.1
1804,symud,ткать,verbs,0.0
1805,anystwyth,легкий,adjectives,0.0
1806,plentyn,мальчик,nouns,2.35
1807,ychwanegu,умножать,verbs,1.05
1808,gwehyddu,двигаться,verbs,0.0
1809,gweinidogaeth,султан,nouns,0.15
1810,arferol,ненормальный,adjectives,0.05
1811,yn onest,искренне,adverbs,4.4
1812,seren,часовня,nouns,0.7
1813,dadl,дискуссия,nouns,3.5
1814,rhad,недорогой,adjectives,4.55
1815,hyder,настрой,nouns,1.4
1816,morgrugyn,пчела,nouns,0.65
1817,difrifol,смешной,adjectives,0.05
1818,siaced,свитер,nouns,1.45
1819,ysgubor,дом,nouns,0.7
1820,gwddf,кость,nouns,0.35
1821,deigryn,глаз,nouns,0.95
1822,corn,барабан,nouns,0.5
1823,trefnu,беспорядочный,verbs,0.05
1824,ychwanegu,строить,verbs,0.8
1825,glofa,камень,nouns,0.25
1826,dirprwy,офицер,nouns,1.5
1827,sgriptiwr,телевидение,nouns,0.65
1828,addoli,восхищаться,verbs,3.05
1829,pwnc,история,nouns,0.85
1830,creu,разрушать,verbs,0.1
1831,main,худенький,adjectives,3.65
1832,noswaith,сумерки,nouns,3.45
1833,orthodontydd,врач,nouns,1.6
1834,cynorthwyo,ассистировать,verbs,5.25
1835,ymgeisydd,победитель,nouns,0.8
1836,adeiladu,добавлять,verbs,0.8
1837,beic,автомобиль,nouns,0.9
1838,caled,трудный,adjectives,4.7
1839,machlud haul,стол,nouns,0.0
1840,tybio,предсказывать,verbs,1.55
1841,hapusrwydd,печаль,nouns,0.25
1842,llwy,чашка,nouns,0.9
1843,pibell,сигара,nouns,1.35
1844,dysgu,слушать,verbs,0.65
1845,gorynys,остров,nouns,2.1
1846,pinsio,бить,verbs,0.9
1847,dod â,приходить,verbs,1.25
1848,trefnu,нуждаться,verbs,0.0
1849,cwpl,пара,nouns,5.55
1850,harbwr,обертка,nouns,0.1
1851,boch,язык,nouns,0.85
1852,archwilio,обнаруживать,verbs,2.2
1853,tram,поезд,nouns,2.45
1854,allwedd,дом,nouns,0.55
1855,gadael,забирать,verbs,0.1
1856,rheoli,останавливать,verbs,0.4
1857,siampên,пиво,nouns,1.2
1858,canwr,штат сотрудников,nouns,0.0
1859,papur,картон,nouns,2.55
1860,cicio,ушибить,verbs,1.95
1861,llys,судья,nouns,1.25
1862,dec,пол,nouns,1.65
1863,ofnadwy,плохой,adjectives,3.65
1864,ehangu,расти,verbs,3.65
1865,newydd,неиспользуемый,adjectives,3.55
1866,seicoleg,наука,nouns,1.85
1867,coginio,потерять,verbs,0.0
1868,gwellt,псалом,nouns,0.0
1869,methu,полагаться,verbs,0.15
1870,nos,рассвет,nouns,0.5
1871,enaid,брат,nouns,0.5
1872,disgyrchiant,метеор,nouns,0.4
1873,gwrthod,соглашаться,verbs,0.05
1874,croen,велосипед,nouns,0.0
1875,rheiddiadur,датчик,nouns,0.3
1876,milwr,мальчик,nouns,0.7
1877,gwyddonydd,медбрат,nouns,0.25
1878,dadlau,спорить,verbs,2.75
1879,dinistrio,убивать,verbs,3.8
1880,ffa,кофе,nouns,0.8
1881,seryddwr,галактика,nouns,0.9
1882,tenau,стройный,adjectives,3.65
1883,cul,грязный,adjectives,0.0
1884,llymeitio,глотать,verbs,2.6
1885,pobi,жарить,verbs,1.35
1886,barn,предубеждение,nouns,2.4
1887,dal,гнаться,verbs,1.6
1888,collfarnu,отклонять,verbs,0.35
1889,amddiffyn,хранить,verbs,1.55
1890,llwyn,цветок,nouns,1.1
1891,balchder,радость,nouns,1.6
1892,marw,распадаться,verbs,0.4
1893,siwmper,пиджак,nouns,1.45
1894,cyflymder,пост,nouns,0.0
1895,encilio,спускаться,verbs,0.5
1896,mab,брат,nouns,0.9
1897,gêm,веселье,nouns,1.3
1898,crebachu,расти,verbs,0.05
1899,gwin,бренди,nouns,1.2
1900,ergydio,упускать,verbs,0.05
1901,baco,сигарета,nouns,2.35
1902,fioled,цветок,nouns,1.8
1903,drysu,учить,verbs,0.0
1904,modur,машина,nouns,5.35
1905,ymadael,подождать,verbs,0.1
1906,cymysgu,готовить,verbs,0.6
1907,amsugno,отделяться,verbs,0.4
1908,diweddar,новый,adjectives,2.45
1909,anarferol,эксцентричный,adjectives,3.1
1910,crwydro,искать,verbs,1.6
1911,seryddol,массивный,adjectives,0.6
1912,beirniadu,ненавидеть,verbs,0.85
1913,ardderchog,рассерженный,adjectives,0.3
1914,pen,плечо,nouns,0.75
1915,blwch,лифт,nouns,0.35
1916,anghofio,напоминать,verbs,0.05
1917,codi arian,развитие,nouns,0.2
1918,yn dynn,невероятно,adverbs,0.0
1919,brwnt,удивительный,adjectives,0.0
1920,reis,мальчик,nouns,0.0
1921,rhif,цифра,nouns,5.0
1922,storm,туча,nouns,1.05
1923,tafod,щека,nouns,0.85
1924,yn dawel,естественно,adverbs,0.15
1925,yn bwysig,действительно,adverbs,0.55
1926,yn naturiol,неестественно,adverbs,0.1
1927,llesteirio,отговаривать,verbs,1.05
1928,llenwi,презирать,verbs,0.15
1929,priodol,вежливый,adjectives,1.85
1930,balch ,рассерженный,adjectives,0.05
1931,benthyg,держать,verbs,0.2
1932,yn swyddogol,важно,adverbs,1.55
1933,lladd,бороться,verbs,0.6
1934,brwydro,играть,verbs,0.15
1935,asgwrn,колено,nouns,1.45
1936,car,завод,nouns,0.25
1937,torf,орава,nouns,4.35
1938,cymysg,старый,adjectives,0.1
1939,archwilio,игнорировать,verbs,0.05
1940,pensil,сказка,nouns,0.15
1941,heb fod yn ddrud,дешевый,adjectives,4.55
1942,planed,звезда,nouns,2.4
1943,pobl,ружье,nouns,0.1
1944,rasio,философ,nouns,0.0
1945,pledio,угождать,verbs,0.5
1946,awyren,простынь,nouns,0.0
1947,chwerthin,петь,verbs,0.3
1948,drud,стеснительный,adjectives,0.0
1949,gwrthod,избирать,verbs,0.1
1950,datgan,провозглашать,verbs,4.45
1951,sylfaen,ступня,nouns,0.6
1952,llyfr,литература,nouns,2.3
1953,ymarfer,повторять,verbs,1.3
1954,afal,диета,nouns,0.65
1955,ifanc,неугомонный,adjectives,0.6
1956,gweriniaeth,герцог,nouns,0.2
1957,heddwch,солдат,nouns,0.4
1958,drwg,нечестный,adjectives,1.4
1959,deiet,салат,nouns,0.75
1960,perfformio,приветствовать,verbs,0.55
1961,dyrchafu,продвигать,verbs,1.65
1962,raced,мяч,nouns,1.05
1963,sudd,молоко,nouns,0.55
1964,yn ddwfn,значительно,adverbs,0.95
1965,rhagolwg,облачность,nouns,0.6
1966,to,окно,nouns,0.55
1967,chwarae,драться,verbs,0.15
1968,rhoi,отказывать,verbs,0.05
1969,dygnwch,повязка,nouns,0.0
1970,cadair,табуретка,nouns,2.9
1971,yn afreolaidd,обычно,adverbs,0.1
1972,credyd,заёмщик,nouns,1.55
1973,cansen siwgr,комбайн,nouns,0.1
1974,gwrthwynebydd,противник,nouns,3.15
1975,llyfr,история,nouns,1.6
1976,haematoleg,патология,nouns,1.15
1977,hen,новый,adjectives,0.1
1978,wal,отделка,nouns,0.7
1979,gwneuthurio,строить,verbs,3.45
1980,ymadrodd,слово,nouns,1.55
1981,amaethyddiaeth,растение,nouns,0.8
1982,asgwrn,челюсть,nouns,1.05
1983,beibl,книга,nouns,1.8
1984,ael,глаз,nouns,0.9
1985,polyn,флаг,nouns,0.7
1986,eirlithriad,снег,nouns,1.5
1987,ymuno,покидать,verbs,0.05
1988,dirmygus,презрительный,adjectives,3.9
1989,llywydd,загрязнение,nouns,0.0
1990,glân,аккуратный,adjectives,2.85
1991,digio,оскорблять,verbs,2.9
1992,rhifyddeg,логика,nouns,1.0
1993,arfordir,берег,nouns,3.2
1994,lladd,уничтожать,verbs,3.8
1995,talwrn,штурман,nouns,0.2
1996,derbyn,давать,verbs,0.1
1997,poster,бумага,nouns,1.6
1998,cadernid,сила,nouns,4.4
1999,hyblyg,движимый,adjectives,1.45
2000,ifanc,счастливый,adjectives,0.25
2001,yn falch,мирно,adverbs,0.05
2002,llwy,сок,nouns,0.2
2003,bar,тюрьма,nouns,0.2
2004,caniatáu,идти,verbs,0.1
2005,tad,брат,nouns,0.9
2006,yn hysbys,хороший,adjectives,0.1
2007,pont,автомобиль,nouns,0.35
2008,yn greadigol,первоначально,adverbs,0.7
2009,cyfrwys,умный,adjectives,1.1
2010,dadlau,вопить,verbs,1.1
2011,ffwr,норка,nouns,2.3
2012,gwrando,узнавать,verbs,0.65
2013,stopio,предупреждать,verbs,0.8
2014,braich,плечо,nouns,1.65
2015,alwminiwm,металл,nouns,2.35
2016,osgoi,отвергать,verbs,1.3
2017,anatomeg,биология,nouns,2.15
2018,curo,смешивать,verbs,0.6
2019,anniben,чистый,adjectives,0.0
2020,mynach,крест,nouns,1.05
2021,stumog,талия,nouns,0.7
2022,ysgoloriaeth,обучение,nouns,0.85
2023,uno,делить,verbs,0.1
2024,trefnu,устраивать,verbs,5.25
2025,tasg,остров,nouns,0.0
2026,treisgar,пассивный,adjectives,0.05
2027,cwpan,ложка,nouns,0.9
2028,orthodontydd,дантист,nouns,4.2
2029,bys,ладонь,nouns,0.5
2030,wedi eu cyfuno,смешанный,adjectives,3.65
2031,llaeth,сок,nouns,0.55
2032,sefyllfa,состояние,nouns,2.4
2033,gwn,рассвет,nouns,0.0
2034,mwtant,социобиология,nouns,0.35
2035,persli,маффин,nouns,0.15
2036,gwerthu,продаваться,verbs,0.4
2037,cadw,терять,verbs,0.25
2038,trosedd,кража,nouns,2.1
2039,fflora,природа,nouns,2.45
2040,bywgraffiad,роман,nouns,0.5
2041,dodrefn,кровать,nouns,2.15
2042,cyfiawnder,суд,nouns,1.25
2043,mwynhau,ненавидеть,verbs,0.0
2044,hyblyg,свободный,adjectives,0.8
2045,mam,отец,nouns,1.35
2046,mynd  ,посылать,verbs,0.6
2047,corff,нижняя одежда,nouns,0.25
2048,traeth,берег,nouns,2.2
2049,ewin,кисть,nouns,1.1
2050,tarddu,открывать,verbs,0.25
2051,sleid,указатель,nouns,0.0
2052,cuddwisgo,покрывать,verbs,2.5
2053,barnu,обвинять,verbs,2.85
2054,llonydd,расслабленный,adjectives,1.75
2055,nadu,отклонять,verbs,2.45
2056,nyrs,ученый,nouns,0.25
2057,ceffyl,собака,nouns,0.6
2058,gwely,спальня,nouns,1.7
2059,dinistrio,создавать,verbs,0.1
2060,tywydd,облако,nouns,0.9
2061,graff,диаграмма,nouns,3.95
2062,ceirchen,поле,nouns,0.6
2063,rhythm,каденция,nouns,0.2
2064,arloesol,творческий,adjectives,3.0
2065,ceffyl,жеребенок,nouns,3.15
2066,unig,бедный,adjectives,0.25
2067,alcohol,пиво,nouns,2.5
2068,corfforaeth,предприятие,nouns,3.05
2069,cân,исполнитель,nouns,1.0
2070,talu,лечить,verbs,0.1
2071,arian,капитал,nouns,3.55
2072,cwyno,приносить,verbs,0.1
2073,newyddion,сплетня,nouns,2.6
2074,car,судно,nouns,0.7
2075,gwefus,рот,nouns,1.95
2076,syfrdanu,праздновать,verbs,0.1
2077,petrusgar,гневный,adjectives,0.1
2078,aderyn,курица,nouns,2.05
2079,gwirod,век,nouns,0.0
2080,ceisio,думать,verbs,0.3
2081,gwael,гордый,adjectives,0.1
2082,marcio,оценивать,verbs,2.4
2083,cymeriad,человек,nouns,2.8
2084,llygredd,президент,nouns,0.0
2085,ofnadwy,прекрасный,adjectives,0.0
2086,wagen,контейнер,nouns,0.05
2087,haearn,витамин,nouns,0.8
2088,baner,изучение флагов,nouns,0.9
2089,gwythïen,выбор,nouns,0.0
2090,danfon,посещать,verbs,0.1
2091,hydwyll,глупый,adjectives,0.75
2092,cafflo,обманывать,verbs,4.15
2093,bwrw,наказать,verbs,0.9
2094,asgwrn cefn,тело,nouns,0.95
2095,absenoldeb,пристуствие,nouns,0.7
2096,car,улица,nouns,0.75
2097,bachgen,солдат,nouns,0.7
2098,tristwch,счастье,nouns,0.25
2099,anghofio,знать,verbs,0.1
