ID,POL,RUS,PoS,score
1432,szczęśliwy,довольный,adjectives,4.0
1433,katedra,церковь,nouns,3.9
1434,ratować,выручать,verbs,4.95
1435,lekcja,беспорядок,nouns,0.15
1436,żyła,желудок,nouns,0.45
1437,religia,секулярист,nouns,0.2
1438,koszykówka,бейсбол,nouns,1.35
1439,królik,кот,nouns,0.7
1440,ciało,нижняя одежда,nouns,0.3
1441,hipoteza,теория,nouns,3.7
1442,kombinacja,соединение,nouns,1.85
1443,zachować,давать,verbs,0.2
1444,klatka,пруток,nouns,0.25
1445,szukać,находить,verbs,1.05
1446,obciążać,презирать,verbs,0.25
1447,rozumieć,удовлетворять,verbs,0.35
1448,krokodyl,ящерица,nouns,1.05
1449,niemożliwy,возможный,adjectives,0.15
1450,wyrzekać się,отрицать,verbs,3.9
1451,chłopiec,ребенок,nouns,3.15
1452,aresztować,подозревать,verbs,0.75
1453,kierownictwo,мышь,nouns,0.4
1454,jednoczyć,жениться,verbs,1.7
1455,dysk,зарядное устройство,nouns,0.8
1456,uczyć się,спутывать,verbs,0.0
1457,tata,мать,nouns,1.05
1458,nawiedzać,попугать,verbs,0.9
1459,znak,клуб,nouns,0.0
1460,śnieg,лёд,nouns,2.2
1461,chcieć,желать,verbs,5.45
1462,braterstwo,мужчины,nouns,0.75
1463,osądzać,решать,verbs,1.4
1464,tenis,статистика,nouns,0.05
1465,chleb,мясо,nouns,0.2
1466,wyrafinowany,зрелый,adjectives,0.95
1467,walczyć,укусить,verbs,0.8
1468,zaprzeczać,признавать,verbs,0.05
1469,znany,национальный,adjectives,0.3
1470,zwykły,потрясающий,adjectives,0.15
1471,łkać,плакать,verbs,4.6
1472,uczyć się,забывать,verbs,0.1
1473,kaplica,шпиль,nouns,0.9
1474,bóg,дух,nouns,2.1
1475,kopać,ушибить,verbs,1.7
1476,wątroba,легкое,nouns,0.85
1477,subtelnie,громко,adverbs,0.0
1478,zachód,север,nouns,0.55
1479,ptak,индейка,nouns,2.7
1480,pokój,ванна,nouns,0.85
1481,grzecznie,благоразумно,adverbs,1.0
1482,normalnie,повседневно,adverbs,4.05
1483,wspomagać,ассистировать,verbs,4.75
1484,tani,недорогой,adjectives,5.35
1485,demon,ангел,nouns,0.2
1486,niebo,солнце,nouns,1.15
1487,mnich,священник,nouns,2.95
1488,ramię,шея,nouns,0.5
1489,satyra,миф,nouns,1.25
1490,rozprawa,проверка,nouns,0.7
1491,pomysł,план,nouns,2.25
1492,whisky,алкоголь,nouns,2.7
1493,operacja,алгебра,nouns,0.2
1494,dolegliwość,инфекция,nouns,3.0
1495,podatny,беспомощный,adjectives,1.25
1496,inteligencja,невежество,nouns,0.25
1497,podłoga,дверь,nouns,0.5
1498,statua,скульптура,nouns,4.5
1499,wiec,сбор,nouns,5.1
1500,burza mózgów,телескоп,nouns,0.0
1501,pakunek,грузовик,nouns,0.65
1502,matematyk,показ,nouns,0.0
1503,codziennie,обычно,adverbs,1.75
1504,niejasny,смутный,adjectives,4.2
1505,towarzyski,приятный,adjectives,3.5
1506,ocalać,спасать,verbs,4.95
1507,metr,дюйм,nouns,1.2
1508,rosnąć,увеличивать,verbs,2.9
1509,sukno,одежда,nouns,1.25
1510,narzekać,приносить,verbs,0.1
1511,gładki,острый,adjectives,0.2
1512,socjobiologia,мутант,nouns,0.4
1513,rozpadać się,умереть,verbs,0.75
1514,kapać,наливать,verbs,0.8
1515,odkryty,покрытый,adjectives,0.1
1516,kraść,покупать,verbs,0.0
1517,rzadki,скудный,adjectives,1.25
1518,dekada,эпоха,nouns,1.85
1519,smutno,безумно,adverbs,0.15
1520,dyskutować,объяснять,verbs,1.55
1521,liść,дерево,nouns,0.85
1522,wybory,выбор,nouns,2.5
1523,trunek,вино,nouns,3.05
1524,stopa,кисть,nouns,0.55
1525,wyrzec się,отрекаться,verbs,3.9
1526,dumny,дерзкий,adjectives,1.35
1527,plaża,море,nouns,0.9
1528,mężczyzna,отец,nouns,1.85
1529,ojciec,дочь,nouns,0.65
1530,alfabet,ручка,nouns,0.3
1531,rezygnować,делать,verbs,0.1
1532,usta,зуб,nouns,0.85
1533,wycofać,отвергать,verbs,2.05
1534,dodawać,делить,verbs,0.05
1535,wykonawca,песня,nouns,1.0
1536,wzgórze,утес,nouns,2.3
1537,wiadomości,сплетня,nouns,2.05
1538,lider,руководитель,nouns,4.15
1539,zabić,бороться,verbs,0.65
1540,zmęczony,скучный,adjectives,0.4
1541,laptop,портативный компьютер,nouns,5.2
1542,bal,пушка,nouns,0.65
1543,trunek,век,nouns,0.05
1544,kwiat,куст,nouns,1.1
1545,uszczypnąć,бить,verbs,0.45
1546,unikać,игнорировать,verbs,3.4
1547,pogoda,снег,nouns,0.7
1548,niesprawiedliwie,необоснованно,adverbs,1.55
1549,konstytucja,император,nouns,0.2
1550,naukowiec,медбрат,nouns,0.05
1551,słowo,словарь,nouns,0.8
1552,uczęszczać,посылать,verbs,0.1
1553,przynieść,восстанавливать,verbs,0.85
1554,biologia,биотоп,nouns,0.5
1555,dom ,государство,nouns,0.25
1556,tłumaczyć,обсуждать,verbs,1.55
1557,ukazywać,уведомлять,verbs,0.65
1558,zmęczony,голодный,adjectives,0.4
1559,chrzęścić,щёлкать,verbs,1.4
1560,semestr,срок,nouns,1.65
1561,rakieta,мяч,nouns,0.7
1562,niechlujny,уродливый,adjectives,0.7
1563,niepewny,испуганный,adjectives,1.6
1564,mięsień,кость,nouns,0.35
1565,szczerze,серьезно,adverbs,1.3
1566,lubić,ненавидеть,verbs,0.0
1567,nieuczciwy,правдивый,adjectives,0.0
1568,koza,корова,nouns,0.8
1569,afiks,суффикс,nouns,1.45
1570,prawdomówny,нечестный,adjectives,0.0
1571,elegancja,стиль,nouns,4.2
1572,wóz,вагон,nouns,0.65
1573,poliester,хлопок,nouns,0.45
1574,motyw,книга,nouns,0.4
1575,rower,автомобиль,nouns,0.55
1576,uciec,находить,verbs,0.0
1577,pacjent,сессия,nouns,0.15
1578,pijany,трезвый,adjectives,0.05
1579,lato,зима,nouns,0.6
1580,milioner,доллар,nouns,0.85
1581,symulacja,робототехника,nouns,0.9
1582,rzeźba,статуя,nouns,4.5
1583,sok,молочный коктейль,nouns,0.55
1584,alkohol,пиво,nouns,2.9
1585,nieobecność,пристуствие,nouns,0.25
1586,nerka,орган,nouns,2.85
1587,zatrzymywać,свистеть,verbs,0.05
1588,wąż (ogrodowy),автомобиль,nouns,0.65
1589,chemia,теория,nouns,0.95
1590,uderzyć,целиться,verbs,1.05
1591,deszcz,морось,nouns,3.95
1592,czytelnik,писатель,nouns,0.4
1593,warunek,пакт,nouns,1.8
1594,wykres,диаграмма,nouns,4.35
1595,przekonywać,добиваться,verbs,1.5
1596,legion,армия,nouns,2.4
1597,pętla,пояс,nouns,0.75
1598,magma,вулкан,nouns,1.75
1599,oko,слеза,nouns,0.8
1600,ustalać,нуждаться,verbs,0.25
1601,pisarz,дар,nouns,0.4
1602,hotel,квартира,nouns,1.0
1603,temat ,история,nouns,0.8
1604,samochód,автострада,nouns,0.7
1605,teatr,фильм,nouns,0.8
1606,księżyc,планета,nouns,1.95
1607,zastąpić,восстанавливать,verbs,1.3
1608,personel,вокалист,nouns,0.05
1609,niedokładnie,точно,adverbs,0.0
1610,spotykać się,собираться,verbs,4.35
1611,zaniepokojony,нетерпеливый,adjectives,2.25
1612,uczyć się,поглощать,verbs,0.6
1613,obecność,отсутствие,nouns,0.25
1614,słaby,мощный,adjectives,0.05
1615,sączyć,пить,verbs,2.85
1616,udowodnić,аргументировать,verbs,3.95
1617,gazeta,информация,nouns,1.9
1618,wygięty,кривой,adjectives,4.95
1619,chmura,озеро,nouns,0.35
1620,nieprawdopodobny,дружелюбно,adjectives,0.05
1621,ignorować,избегать,verbs,3.4
1622,stracić,вычитать,verbs,0.9
1623,adidasy,медаль,nouns,0.2
1624,polegać,провалиться,verbs,0.0
1625,wierzyć,чувствовать,verbs,1.05
1626,zgadzać się,противоречить,verbs,0.05
1627,sznurek,закат,nouns,0.0
1628,przewodnik,справочник,nouns,3.6
1629,szosa,задача,nouns,0.15
1630,pływać,встретить,verbs,0.0
1631,zachmurzenie,прогноз,nouns,0.7
1632,średni,незначительный,adjectives,1.0
1633,nos,рот,nouns,0.7
1634,łatwy,трудный,adjectives,0.1
1635,zboże ,пшеница,nouns,3.75
1636,kręglarstwo,игрок в боулинг,nouns,1.9
1637,kolacja,трапеза,nouns,3.3
1638,rok,век,nouns,0.75
1639,przyjść,приносить,verbs,0.35
1640,przynieść,посылать,verbs,0.15
1641,dziecko,мужчина,nouns,0.4
1642,zarazek,патогенный микроорганизм,nouns,4.15
1643,zwykle,редко,adverbs,0.05
1644,niewystarczający,редкий,adjectives,1.25
1645,biedny,гордый,adjectives,0.15
1646,wycofywać się,спускаться,verbs,0.95
1647,jeździć,шаркать,verbs,0.1
1648,światło słoneczne,яблоко,nouns,0.05
1649,kompletnie,минимально,adverbs,0.15
1650,lis,гончая,nouns,0.25
1651,dwukrotnie,множественный,adverbs,0.6
1652,natura,флора,nouns,3.0
1653,lotnisko,кусок,nouns,0.0
1654,śnieg,шторм,nouns,0.95
1655,mgiełka,облако,nouns,1.25
1656,śmiać się,плакать,verbs,0.05
1657,wielki,большой,adjectives,5.35
1658,nawalić,преуспевать,verbs,0.0
1659,uzasadniać,аргументировать,verbs,5.45
1660,aktywnie,счастливо,adverbs,0.3
1661,szuflada,одежда,nouns,0.5
1662,elegancko,красиво,adverbs,3.2
1663,kwiat,вера,nouns,0.05
1664,redukować,сжиматься,verbs,3.25
1665,kobieta,мужчина,nouns,0.3
1666,samolot,вертолет,nouns,1.55
1667,aprobować,разрешать,verbs,3.4
1668,winić,толкать,verbs,0.0
1669,styl życia,цивилизация,nouns,0.75
1670,złoto,цинк,nouns,0.35
1671,bark,тело,nouns,1.2
1672,zezować,пялиться,verbs,0.35
1673,piasek,ступня,nouns,0.0
1674,wrażenie,мнение,nouns,2.4
1675,unikać,отрицать,verbs,0.3
1676,piosenka,история,nouns,0.55
1677,pytać,помогать,verbs,0.1
1678,aktywność,движение,nouns,3.65
1679,pręcik,опыление,nouns,0.75
1680,prawdziwy,фальшивый,adjectives,0.15
1681,profesor,студент,nouns,0.6
1682,normalny,необычный,adjectives,0.15
1683,logika,арифметика,nouns,0.95
1684,aktor,многогранник,nouns,0.0
1685,zwykle,искренне,adverbs,0.35
1686,ogłaszać,объявлять,verbs,4.55
1687,republika,герцог,nouns,0.15
1688,wyjście,проход,nouns,3.3
1689,zaprzeczać,лгать,verbs,1.0
1690,rysunek,бунт,nouns,0.0
1691,partner,мальчик,nouns,0.95
1692,rządać,спорить,verbs,0.7
1693,naprzykrzać się,мешать,verbs,3.6
1694,półwysep,остров,nouns,1.25
1695,zaskoczyć,праздновать,verbs,0.3
1696,morze,пляж,nouns,0.9
1697,cel,стрела,nouns,0.65
1698,księżniczka,бисквит,nouns,0.0
1699,futro,норка,nouns,1.6
1700,książę,король,nouns,1.35
1701,dziwaczny,нормальный,adjectives,0.05
1702,pogardliwy,пренебрежительный,adjectives,3.8
1703,chicho,естественно,adverbs,0.05
1704,uczciwy,виноватый,adjectives,0.0
1705,menu,заказ,nouns,1.0
1706,zorganizowany,беспорядочный,adjectives,0.0
1707,przyjaciel,гость,nouns,1.2
1708,bierny,агрессивный,adjectives,0.05
1709,napadać,раздражать,verbs,0.45
1710,ciało,кровь,nouns,0.7
1711,anatomia,биология,nouns,1.9
1712,towarzyski,приходящий,adjectives,0.55
1713,potwór,демон,nouns,4.35
1714,fakt,доказательство,nouns,3.45
1715,dzwon,дверь,nouns,0.6
1716,niepewny,нуждающийся,adjectives,0.2
1717,biznes,компания,nouns,4.2
1718,intuicja,чувство,nouns,3.95
1719,podatek,доход,nouns,0.55
1720,kontynuacja,камера,nouns,0.0
1721,mech,трава,nouns,1.3
1722,narożnik,область,nouns,0.25
1723,mistrz,победитель,nouns,4.8
1724,osobliwy,ненормальный,adjectives,3.95
1725,zrelaksowany,напряжённый,adjectives,0.05
1726,wybaczać,понимать,verbs,2.0
1727,wojowniczość,бой,nouns,2.4
1728,tępy,огромный,adjectives,0.0
1729,pojętny,тупой,adjectives,0.05
1730,grypa,жар,nouns,1.25
1731,śmierć,погребение,nouns,1.35
1732,sześcian,игрушка,nouns,0.4
1733,niezwykły,редкий,adjectives,4.15
1734,smażyć,готовить,verbs,1.95
1735,niebo,мечта,nouns,0.2
1736,mężczyzna,муж,nouns,2.4
1737,cytryna,чай,nouns,0.5
1738,ekran,монитор,nouns,4.8
1739,tłumić,отрекаться,verbs,0.85
1740,nurkować,создавать,verbs,0.0
1741,globalizm,виза,nouns,0.2
1742,wytrzymałość,цветок,nouns,0.0
1743,narciarstwo,сноуборд,nouns,1.95
1744,pomysł,мнение,nouns,1.7
1745,teoria,гипотеза,nouns,3.7
1746,szeryf,полицейский,nouns,4.0
1747,kość,рука,nouns,0.9
1748,zespół,спиртное,nouns,0.15
1749,silny,гордый,adjectives,0.9
1750,zły,ужасный,adjectives,3.82
1751,kręgosłup,шея,nouns,1.0
1752,nieprawdopodobny,обычный,adjectives,0.15
1753,nieuleczalnie,иначе,adverbs,0.35
1754,odchodzić,подождать,verbs,0.1
1755,hołubić,хранить,verbs,0.8
1756,czasem,равномерно,adverbs,0.05
1757,łagodny,средний,adjectives,1.0
1758,dyplomacja,переговоры,nouns,2.2
1759,bóg,дьявол,nouns,0.25
1760,marzenie,небо,nouns,0.2
1761,ukazywać,решать,verbs,0.55
1762,ciało,плечо,nouns,1.2
1763,zachód słońca,вечер,nouns,2.75
1764,pistolet,нож,nouns,0.9
1765,nędza,отчаяние,nouns,1.5
1766,głośno,мягко,adverbs,0.0
1767,ramię,вена,nouns,0.45
1768,autobus,таксомотор,nouns,1.05
1769,niecierpliwy,беспокойный,adjectives,2.25
1770,jeździć,бежать,verbs,0.3
1771,brat,отец,nouns,0.6
1772,pewnie,очевидно,adverbs,3.55
1773,tragedia,смерть,nouns,2.35
1774,nabiał,мед,nouns,0.15
1775,student,профессор,nouns,0.6
1776,kura,птица,nouns,2.45
1777,wątroba,орган,nouns,2.65
1778,kość,мускул,nouns,0.35
1779,funkcjonariusz,лейтенант,nouns,1.8
1780,nieuleczalnie,в основном,adverbs,0.15
1781,dusić,дышать,verbs,0.25
1782,prawnik,банкир,nouns,0.6
1783,zaprzeczać,принимать,verbs,0.05
1784,sypialnia,велосипед,nouns,0.0
1785,obserwować,смотреть,verbs,4.0
1786,podnieść,повышать,verbs,2.4
1787,zadowalać,умолять,verbs,0.5
1788,przeszkadzać,беспокоить,verbs,3.6
1789,drugi pilot,кокпит,nouns,0.3
1790,pieniądze,зарплата,nouns,3.05
1791,jabłko,сок,nouns,0.8
1792,proklamować,провозглашать,verbs,4.55
1793,uczciwie,искренне,adverbs,4.6
1794,giętki,свободный,adjectives,1.15
1795,powiedzieć,подтверждать,verbs,0.55
1796,powieść się,побеждать,verbs,2.15
1797,sierpień,месяц,nouns,2.45
1798,paznokieć,палец,nouns,1.25
1799,zasadniczo,вполне,adverbs,0.9
1800,mgiełka,дождь,nouns,1.6
1801,kłócić się,жаловаться,verbs,1.1
1802,ignorancja,ум,nouns,0.25
1803,żołądek,вена,nouns,0.45
1804,wieczór,закат,nouns,2.75
1805,futro,ружье,nouns,0.05
1806,dojrzale,праведно,adverbs,1.25
1807,niemądry,тупой,adjectives,4.1
1808,klejący,грязный,adjectives,1.75
1809,książka,рукопись,nouns,2.15
1810,korona ,ключ,nouns,0.05
1811,dżojstik,радар,nouns,0.25
1812,drżeć,замерзать,verbs,1.0
1813,aplikacja,кандидат,nouns,0.4
1814,krzesło,диван,nouns,1.05
1815,niedojrzały,взрослый,adjectives,0.05
1816,chrapać,проснуться,verbs,0.2
1817,wołowina,скот,nouns,3.2
1818,filozof,разгон,nouns,0.0
1819,aktor,актриса,nouns,2.6
1820,ksiądz,пророк,nouns,0.7
1821,dysk,компьютер,nouns,1.35
1822,wanna,комната,nouns,0.85
1823,malutki,огромный,adjectives,0.0
1824,zmartwiony,пристыженный,adjectives,0.8
1825,pistolet,сержант,nouns,0.45
1826,wiązać,объединять,verbs,3.65
1827,spotykać,плавать,verbs,0.0
1828,mąż,жена,nouns,0.7
1829,pożyczkobiorca,кредит,nouns,1.65
1830,tępy,редкий,adjectives,0.0
1831,robotnik,фотоаппарат,nouns,0.4
1832,kadencja,ритм,nouns,0.7
1833,meble,кровать,nouns,2.7
1834,stan,дом,nouns,0.25
1835,redukować,пропитывать,verbs,0.0
1836,grupa,толпа,nouns,3.05
1837,tęczówka,ацетилхолин,nouns,0.3
1838,pośpieszny,скоростной,adjectives,4.8
1839,pokojowo,спокойно,adverbs,4.25
1840,smutny,ужасный,adjectives,0.4
1841,słowo,страница,nouns,0.75
1842,samochód,велосипед,nouns,0.55
1843,rzadko,часто,adverbs,0.05
1844,drugi pilot,полицейский,nouns,0.0
1845,skomplikowany,легкий,adjectives,0.05
1846,nielegalny,законный,adjectives,0.1
1847,urodziny,год,nouns,1.05
1848,ściana,кирпич,nouns,0.85
1849,dentysta,полковник,nouns,0.0
1850,łyżka,чашка,nouns,0.6
1851,wolny,невинный,adjectives,0.55
1852,brydż,карта,nouns,1.0
1853,irytować,угадывать,verbs,0.15
1854,niewinny,наивный,adjectives,0.65
1855,kabel,волшебник,nouns,0.0
1856,polerować,сообщить,verbs,0.0
1857,wiza,глобализм,nouns,0.2
1858,nawalić,обескураживать,verbs,0.2
1859,płyta główna,материнская плата,nouns,3.5
1860,usposobienie,врач,nouns,0.15
1861,różnica,остаток,nouns,1.7
1862,asteroida,звезда,nouns,1.7
1863,elektryczność,ящик,nouns,0.3
1864,cywilizacja,образ жизни,nouns,0.75
1865,akceptować,отвергать,verbs,0.05
1866,elektryczny,сладкий,adjectives,0.0
1867,dążyć,предрешать,verbs,0.0
1868,iść,путешествовать,verbs,2.4
1869,gardzić,обвинять,verbs,0.25
1870,niewinny,свободный,adjectives,0.55
1871,pogoda,волна,nouns,0.3
1872,szukać,охотиться,verbs,2.05
1873,opłynięcie,багаж,nouns,0.5
1874,powietrze,молекула,nouns,0.9
1875,irytować,противодействовать,verbs,1.35
1876,gardło,нос,nouns,0.75
1877,refren,певец,nouns,0.85
1878,kurs,желудок,nouns,0.1
1879,pakt,условие,nouns,1.8
1880,uczęszczać,прибывать,verbs,1.55
1881,dolar,миллионер,nouns,0.85
1882,tworzyć,рисовать,verbs,1.4
1883,próbować,достигать,verbs,1.1
1884,projekt,идея,nouns,2.25
1885,kaliber,зонтик,nouns,0.0
1886,przywrócić,ремонтировать,verbs,2.85
1887,ogromny,тупой,adjectives,0.0
1888,wartownik,человек,nouns,1.1
1889,węgiel,атом,nouns,1.5
1890,bal,костюм,nouns,0.7
1891,przymały,карликовый,adjectives,2.7
1892,dziwaczny,необычный,adjectives,3.95
1893,łódź,палуба,nouns,1.85
1894,umysł,невроз,nouns,0.4
1895,badać,осматривать,verbs,3.4
1896,dach,окно,nouns,0.6
1897,porównywać,анализировать,verbs,3.7
1898,wiśnia,клубника,nouns,1.55
1899,słoń,компас,nouns,0.0
1900,pokój,здание,nouns,0.85
1901,tłumacz,иностранец,nouns,0.55
1902,syn,брат,nouns,0.85
1903,dzieło sztuki,художник,nouns,1.1
1904,oczywiście,благоразумно,adverbs,0.25
1905,norka,масло,nouns,0.2
1906,realistycznie,недавно,adverbs,0.0
1907,ostry,мягкий,adjectives,0.0
1908,cicho,громко,adverbs,0.0
1909,najwyraźniej,просто,adverbs,1.25
1910,samochód,датчик,nouns,0.45
1911,klejący,мокрый,adjectives,0.7
1912,piękno,возраст,nouns,0.3
1913,poślubić,обручаться,verbs,1.35
1914,kurczak,ужин,nouns,0.5
1915,futro,женщина,nouns,0.2
1916,córka,младенец,nouns,2.0
1917,przeciwny,другой,adjectives,1.4
1918,meteor,сила тяжести,nouns,0.25
1919,chleb,сыр,nouns,0.25
1920,wolność,свобода,nouns,5.55
1921,opłata,платеж,nouns,4.55
1922,więzienie,пруток,nouns,0.15
1923,woda,засуха,nouns,0.25
1924,dolegliwość,опасность,nouns,0.45
1925,hasztag,тема,nouns,2.45
1926,ogród,шланг,nouns,0.65
1927,nowy,свежий,adjectives,3.95
1928,kosz,мяч,nouns,0.7
1929,pszczoła,муравей,nouns,0.55
1930,współczesny,старинный,adjectives,0.05
1931,łączyć,смешивать,verbs,4.15
1932,czysty,скромный,adjectives,0.6
1933,ważny,необходимый,adjectives,3.85
1934,ofiara,телефон,nouns,0.0
1935,prosto,видимо,adverbs,1.25
1936,okno,крыша,nouns,0.6
1937,pozostać,покидать,verbs,0.0
1938,soczewka,фотоаппарат,nouns,0.8
1939,uporządkowany,беспорядочный,adjectives,0.15
1940,dać,вкладывать,verbs,0.55
1941,atmosfera,загрязнение,nouns,0.6
1942,kuchnia,дверь,nouns,0.5
1943,uznawać,уведомлять,verbs,0.45
1944,przybywać,приходить,verbs,3.8
1945,dyrektor,босс,nouns,4.8
1946,kod,символ,nouns,1.55
1947,jasno,значительно,adverbs,0.85
1948,pręt,тюрьма,nouns,0.15
1949,rabin,наставник,nouns,1.75
1950,dinozaur,слон,nouns,0.5
1951,chronić,покрывать,verbs,2.65
1952,tani,грязный,adjectives,0.05
1953,organizować,устраивать,verbs,4.05
1954,naczynie,вена,nouns,2.95
1955,cesarz,конституция,nouns,0.2
1956,nepotyzm,король,nouns,0.5
1957,myśleć,помнить,verbs,0.65
1958,mówić,слышать,verbs,0.55
1959,formuła,журнал,nouns,0.65
1960,początkowo,творчески,adverbs,0.2
1961,topić,растворяться,verbs,2.6
1962,skłócać,раздражать,verbs,1.35
1963,milkshake,сок,nouns,0.55
1964,nużący,безопасный,adjectives,0.0
1965,niszczyć,создавать,verbs,0.05
1966,kościół,хор,nouns,1.15
1967,złapać,выпускать,verbs,0.05
1968,praca,инструмент,nouns,0.75
1969,wyrzec się,запускать,verbs,0.6
1970,biotop,биология,nouns,0.5
1971,brzeg,побережье,nouns,4.2
1972,zaczynać,прекращать,verbs,0.05
1973,ubrania,пиджак,nouns,1.95
1974,pestycyd,вредитель,nouns,1.2
1975,przyłączać,отделять,verbs,0.0
1976,cenny,священный,adjectives,1.6
1977,smutny,смешной,adjectives,0.0
1978,eksplorować,игнорировать,verbs,0.0
1979,przykryty,тканевый,adjectives,1.55
1980,kwadrat,карта,nouns,0.35
1981,dorosły,младенец,nouns,0.4
1982,drażnić,нападать,verbs,0.45
1983,pisarz,композитор,nouns,0.75
1984,księżniczka,невеста,nouns,0.4
1985,młody,неугомонный,adjectives,0.85
1986,samochód,грузовик,nouns,3.1
1987,erodować,разрешать,verbs,0.0
1988,muzyka,мелодия,nouns,4.0
1989,port,обертка,nouns,0.15
1990,pokój,кровать,nouns,0.5
1991,sułtan,министерство,nouns,0.15
1992,przekonywać,пытаться,verbs,0.9
1993,orzeł,сокол,nouns,1.5
1994,tkać,завязать,verbs,0.8
1995,uczestniczyć,сотрудничать,verbs,2.65
1996,zamarzać,дрожать,verbs,1.0
1997,automobil,машина,nouns,5.55
1998,zbierać,получать,verbs,2.0
1999,oddział,армия,nouns,2.35
2000,naturalnie,неестественно,adverbs,0.05
2001,piec,жарить,verbs,2.05
2002,otwarcie,разрыв,nouns,0.9
2003,duchowy,бестелесный,adjectives,4.0
2004,niemądry,ребячливый,adjectives,2.0
2005,łucznik,следопыт,nouns,1.05
2006,oczywiście,грубо,adverbs,0.1
2007,wiedzieć,забывать,verbs,0.05
2008,osiągnąć,получать,verbs,1.6
2009,głośno,безумно,adverbs,0.55
2010,samochód,завод,nouns,0.3
2011,śledzić,гнаться,verbs,3.0
2012,podziwiać,обожать,verbs,3.4
2013,prosty,тяжелый,adjectives,0.0
2014,przezwyciężyć,доминировать,verbs,1.8
2015,pchać,обвинять,verbs,0.0
2016,robotnik,офис,nouns,0.6
2017,prosty,изогнутый,adjectives,0.05
2018,wyjaśniać,определять,verbs,3.95
2019,kwas,основание,nouns,0.05
2020,nietoperz,вампир,nouns,0.5
2021,uczestniczyć,высказываться,verbs,0.3
2022,tępy,дурацкий,adjectives,4.1
2023,szukać,спрашивать,verbs,1.4
2024,wygięty,прямой,adjectives,0.05
2025,noc,рассвет,nouns,0.35
2026,kondensator,диод,nouns,0.95
2027,flaga,столб,nouns,0.5
2028,język,общение,nouns,1.9
2029,porozumienie,пакт,nouns,4.65
2030,dzielenie,умножение,nouns,0.45
2031,słup,флаг,nouns,0.5
2032,błędny,точный,adjectives,0.0
2033,wspaniały,великолепный,adjectives,5.45
2034,wektor,матрица,nouns,1.0
2035,giętki,крупный,adjectives,0.0
2036,chata,домик,nouns,4.8
2037,trik,ружье,nouns,0.1
2038,histeria,помрачение,nouns,1.25
2039,argument,соглашение,nouns,0.45
2040,mężczyzna,победитель,nouns,0.6
2041,zwycięzca,чемпион,nouns,4.8
2042,oszukać,обманывать,verbs,4.55
2043,słup,скорость,nouns,0.0
2044,ciąg,список,nouns,1.25
2045,ekranizacja,кинолента,nouns,4.35
2046,jezioro,болото,nouns,0.55
2047,ulica,автомобиль,nouns,0.55
2048,prawo,факультет,nouns,0.5
2049,scenarzysta,телевидение,nouns,0.55
2050,pić,глотать,verbs,2.1
2051,małpa,кампания,nouns,0.0
2052,melodia,музыка,nouns,4.0
2053,negocjacja,дипломатия,nouns,2.2
2054,śmieszny,скучный,adjectives,0.05
2055,dochód,налог,nouns,0.55
2056,przyjść,прибывать,verbs,3.8
2057,kwiat,выносливость,nouns,0.0
2058,błyskotliwy,отличный,adjectives,3.45
2059,filiżanka,ложка,nouns,0.6
2060,prędki,быстрый,adjectives,4.95
2061,drzeć,одевать,verbs,0.0
2062,niezawodnie,ответственно,adverbs,2.3
2063,prysznic,монастырь,nouns,0.0
2064,matryca,вектор,nouns,1.0
2065,chmura,туман,nouns,1.65
2066,mieszkanie,гостиница,nouns,1.0
2067,infekcja,заболевание,nouns,2.9
2068,definiować,уточнить,verbs,3.95
2069,wysokość,преобразование,nouns,0.2
2070,drzwi,ворота,nouns,3.8
2071,mężczyzna,ребенок,nouns,0.4
2072,komunikować,молиться,verbs,0.35
2073,wycierać,ухудшать,verbs,0.2
2074,samochód,танк,nouns,0.9
2075,wiedzieć,верить,verbs,0.3
2076,weryfikować,обосновывать,verbs,2.4
2077,silny,слабый,adjectives,0.05
2078,plaża,остров,nouns,1.2
2079,dorosły,ребенок,nouns,0.4
2080,nić,пряжа,nouns,3.6
2081,topologia,структура,nouns,2.6
2082,braterstwo,бейсбол,nouns,0.3
2083,dziecko,мальчик,nouns,2.75
2084,oszustwo,коррупция,nouns,3.2
2085,bankructwo,провал,nouns,2.6
2086,nihilizm,фильм,nouns,0.0
2087,jogurt,коро́ва,nouns,0.3
2088,prosić,умолять,verbs,4.2
2089,wiersz,ритм,nouns,1.0
2090,ignorować,обращаться,verbs,0.0
2091,zły,посредственный,adjectives,1.8
2092,wyrzekać się,подавлять,verbs,0.85
2093,gazeta,известие,nouns,0.85
2094,kciuk,ноготь,nouns,1.25
2095,fasola,бекон,nouns,0.3
2096,brać,воспользоваться,verbs,1.65
2097,pozdrawiać,выступать,verbs,0.6
2098,wybaczać,помиловать,verbs,3.85
2099,okno,дверь,nouns,0.8
2100,szczęście,удача,nouns,3.55
2101,przędza,нить,nouns,3.6
2102,sweter,хлопок,nouns,0.85
2103,czołg,машина,nouns,0.9
2104,duży,крупный,adjectives,5.35
2105,wół,конь,nouns,1.15
2106,fałszywy,настоящий,adjectives,0.15
2107,motłoch,толпа,nouns,3.85
2108,słownik,слово,nouns,0.8
2109,twórca,автор,nouns,5.2
2110,oczywiście,видимо,adverbs,3.15
2111,kot,мышка,nouns,0.45
2112,klawiatura,свет,nouns,0.0
2113,marnować,беспокоиться,verbs,0.0
