ID,EST,SPA,PoS,score
1447,auk,esposa,nouns,0.05
1448,pea,nariz,nouns,0.85
1449,vastu võtma,disminuir,verbs,0.3
1450,jäädvustama,imitar,verbs,0.65
1451,ball,guante,nouns,0.75
1452,uber,taxi,nouns,3.15
1453,putka,caja,nouns,1.15
1454,täna,esta noche,adverbs,2.55
1455,toores,grosero,adjectives,1.85
1456,kihluma,casar,verbs,1.2
1457,heameelt tegema,entretener,verbs,2.0
1458,süda,cirugía,nouns,0.8
1459,suurenema,crecer,verbs,4.2
1460,oluline,crucial,adjectives,4.15
1461,advokaat,banquero,nouns,1.3
1462,võlgnema,entrar,verbs,0.05
1463,juust,un pan,nouns,0.85
1464,tähendusrikkalt,profundamente,adverbs,2.95
1465,tugevalt,oficialmente,adverbs,0.5
1466,prokurör,abogado,nouns,2.1
1467,kasv,fertilizante,nouns,1.1
1468,lihtne,difícil,adjectives,0.45
1469,uus,antiguo,adjectives,0.3
1470,magamistuba,baño,nouns,1.3
1471,informatsioon,periódico,nouns,1.75
1472,mees,sospechar,nouns,0.65
1473,vihane,violento,adjectives,2.1
1474,rassism,xenofobia,nouns,4.1
1475,käeturvis,escudo,nouns,2.0
1476,neer,órgano,nouns,2.65
1477,õlg,cabeza,nouns,1.3
1478,ausalt,injustamente,adverbs,0.3
1479,tüütu,seguro,adjectives,0.3
1480,õnnelik,joven,adjectives,0.45
1481,hädasti,con rapidez,adverbs,3.6
1482,oskus,inteligencia,nouns,2.0
1483,ebaviisakas,crudo,adjectives,1.85
1484,aitama,pedir,verbs,0.7
1485,enamasti,profundamente,adverbs,1.05
1486,atsetüülkoliin,iris,nouns,0.5
1487,pöial,uña,nouns,1.4
1488,pudel,envase,nouns,1.55
1489,meloodia,música,nouns,3.45
1490,mäng,acción,nouns,1.55
1491,tulema,traer,verbs,0.8
1492,ignoreerima,explorar,verbs,0.15
1493,kuulama,aprender,verbs,1.4
1494,minema,entrar,verbs,1.3
1495,vend,niño,nouns,1.8
1496,voodi,cuna,nouns,3.5
1497,mõte,opinión,nouns,3.25
1498,peekon,frijol,nouns,0.4
1499,õrnalt,brillantemente,adverbs,0.3
1500,tagasi lükkama,elegir,verbs,0.65
1501,võrkpall,pelota,nouns,1.75
1502,õpetaja,estudiante,nouns,0.95
1503,rõõmustav,alegre,adjectives,2.7
1504,tõene,deshonesto,adjectives,0.35
1505,tuba,cama,nouns,1.0
1506,vann,habitación,nouns,0.7
1507,vabastama,salvar,verbs,4.85
1508,aken,nube,nouns,0.5
1509,kana,arroz,nouns,0.65
1510,naine,tarea,nouns,0.15
1511,teekond,conquista,nouns,0.9
1512,äsja,de manera realista,adverbs,0.15
1513,proovima,convencer,verbs,1.5
1514,ärritama,adivinar,verbs,0.2
1515,nädalavahetus,raza,nouns,0.0
1516,preester,profeta,nouns,1.35
1517,kaval,difícil,adjectives,0.45
1518,atmosfäär,ozono,nouns,2.1
1519,suur,nacional,adjectives,0.6
1520,organiseeritud,desorganizado,verbs,0.4
1521,ühendama,dividir,verbs,0.65
1522,andma,recibir,verbs,0.55
1523,jumaldama,admirar,verbs,4.25
1524,normaalselt,anormalmente,adverbs,0.4
1525,korrapärane,sucio,adjectives,0.35
1526,rütm,poema,nouns,1.15
1527,kallis,perezoso,adjectives,0.15
1528,õnnelikult,mortal,adverbs,0.1
1529,kehvasti,humildemente,adverbs,0.65
1530,suurepärane,maravilloso,adjectives,4.3
1531,õhtu,oscuridad,nouns,3.3
1532,mööda lööma,hacer huelga,verbs,0.5
1533,moslem,obispo,nouns,0.65
1534,meloodia,ritmo,nouns,2.65
1535,viski,ginebra,nouns,1.15
1536,harima,enseñar,verbs,4.95
1537,kelder,puerta,nouns,0.65
1538,vangla,bar,nouns,0.8
1539,väsinud,aburrido,adjectives,1.5
1540,voolama,deambular,verbs,1.1
1541,lift,caja,nouns,0.3
1542,mantel,ropa,nouns,1.7
1543,tavaliselt,irregularmente,adverbs,0.5
1544,tsitrus,naranja,nouns,3.15
1545,kirss,fresa,nouns,1.25
1546,väljend,palabra,nouns,1.85
1547,vaidlema,convencer,verbs,1.7
1548,sile,agudo,adjectives,0.65
1549,rahuldama,comprender,verbs,0.45
1550,peen,maduro,adjectives,1.35
1551,korraldama,organizar,verbs,4.95
1552,saama,poner,verbs,0.2
1553,tagasi võtma,rechazar,verbs,1.55
1554,vihje,hecho,nouns,0.85
1555,konseptsioon,creencia,nouns,2.0
1556,säilitama,permanecer,verbs,2.2
1557,kätte toimetama,tomar,verbs,0.8
1558,pidustus,ceremonia,nouns,3.8
1559,ilu,soneto,nouns,0.6
1560,andur,radiador,nouns,0.7
1561,uhkelt,pacíficamente,adverbs,0.45
1562,konteiner,botella,nouns,1.55
1563,illusioon,realidad,nouns,0.6
1564,külmuma,temblar,verbs,1.4
1565,kuningas,princesa,nouns,1.6
1566,küsima,mendigar,verbs,3.05
1567,monokultuur,agricultura,nouns,1.45
1568,peatuma,advertir,verbs,0.5
1569,väikelinn,ciudad,nouns,2.35
1570,kaos,anarquía,nouns,3.3
1571,oluline,menor,adjectives,0.4
1572,tööline,oficina,nouns,0.45
1573,vabariik,duque,nouns,0.45
1574,hing,dios,nouns,1.15
1575,nihilism,película,nouns,0.3
1576,kandma,erosionar,verbs,0.6
1577,jalaga lööma,herir,verbs,1.6
1578,pädevus,capacidad,nouns,3.35
1579,halb,culpable,adjectives,1.4
1580,hape,base,nouns,1.0
1581,suur,pesado,adjectives,1.45
1582,päev,noche,nouns,1.05
1583,üle kuhjama,ahogar,verbs,1.85
1584,aru saama,saber,verbs,3.2
1585,närv,cuerpo,nouns,0.6
1586,tõesti,en tono rimbombante,adverbs,0.55
1587,vasikas,toro,nouns,1.9
1588,seletama,aclarar,verbs,4.6
1589,reostus,presidente,nouns,0.3
1590,õudne,malo,adjectives,2.6
1591,illegaalne,inmoral,adjectives,1.9
1592,tekk,ratón,nouns,0.15
1593,piparmünt,museo,nouns,0.0
1594,paindlik,suelto,adjectives,1.55
1595,mängima,lucha,verbs,0.55
1596,täpne,incorrecto,adjectives,0.3
1597,püha,precioso,adjectives,2.25
1598,seaduserikkuja,criminal,nouns,4.6
1599,arheoloogia,antropología,nouns,1.25
1600,rahvahulk,desfile,nouns,1.95
1601,teesklema,parecer,verbs,2.35
1602,raamat,artículo,nouns,1.05
1603,korrutama,dividir,verbs,0.7
1604,koridor,clase,nouns,0.6
1605,mootor,maquinaria,nouns,1.55
1606,vihkama,disfrutar,verbs,0.1
1607,trell,cárcel,nouns,0.8
1608,sigaret,tabaco,nouns,3.25
1609,tavaline,frío,adjectives,0.25
1610,keha,pecho,nouns,1.5
1611,naps,banda,nouns,0.55
1612,valimisõigus,salida,nouns,0.2
1613,evakueerima,determinar,verbs,0.4
1614,uus,reciente,adjectives,4.05
1615,leht,árbol,nouns,1.25
1616,mäng,divertido,nouns,1.6
1617,kallistama,abrazar,verbs,4.5
1618,uitama,salir,verbs,1.05
1619,proovima,tener éxito,verbs,0.95
1620,arst,ortodoncista,nouns,2.7
1621,luu,codo,nouns,1.15
1622,kutt,amigo,nouns,1.75
1623,paar,pareja,nouns,4.25
1624,mängija,entrenador,nouns,0.95
1625,esik,corredor,nouns,4.75
1626,surema,desintegrarse,verbs,1.3
1627,luu,rodilla,nouns,1.0
1628,saatma,traer,verbs,0.8
1629,kindlalt,secretamente,adverbs,0.95
1630,vannituba,habitación,nouns,1.3
1631,alkohol,cerveza,nouns,2.6
1632,käsi,uña,nouns,1.15
1633,meelt lahutama,complacer,verbs,2.0
1634,sõnaraamat,palabra,nouns,1.45
1635,organ,riñón,nouns,2.65
1636,jääma,conservar,verbs,2.2
1637,eitama,evitar,verbs,1.75
1638,intelligentsus,sabiduría,nouns,4.25
1639,noomima,pedir,verbs,0.55
1640,täpselt,inexactamente,adverbs,0.3
1641,biotoop,biología,nouns,1.1
1642,reket,pelota,nouns,1.2
1643,hoidma,abrazar,verbs,1.7
1644,segama,sacudir,verbs,2.55
1645,süüdistama,mentir,verbs,0.5
1646,väärtus,creencia,nouns,2.0
1647,summa,unión,nouns,2.75
1648,ükskord,instantáneamente,adverbs,0.5
1649,tavaliselt,sinceramente,adverbs,0.9
1650,täring,cubo,nouns,2.95
1651,krokodill,lagartija,nouns,2.6
1652,hiiglasuur,minúsculo,adjectives,0.35
1653,juur,hierba,nouns,1.15
1654,televisioon,comunicación,nouns,1.9
1655,räpane,increíble,adjectives,0.25
1656,tõstma,recorrer,verbs,0.55
1657,laotama,manchar,verbs,0.5
1658,võitma,realizar,verbs,1.7
1659,mäss,dibujo,nouns,0.1
1660,kiusama,herir,verbs,2.25
1661,rahvas,centavo,nouns,0.1
1662,nutma,reír,verbs,0.65
1663,oletama,pretender,verbs,1.7
1664,galaktika,aplicación,nouns,0.2
1665,koostama,hacer,verbs,3.1
1666,rahutu,temeroso,adjectives,1.75
1667,kommunikatsioon,televisión,nouns,1.9
1668,seletama,probar,verbs,2.35
1669,õhupall,gente,nouns,0.35
1670,vaidlus,acuerdo,nouns,1.1
1671,inimene,personaje,nouns,2.65
1672,surmavalt,felizmente,adverbs,0.1
1673,lumetorm,lluvia,nouns,0.9
1674,kõikvõimsus,supremacía,nouns,2.95
1675,põiktänav,cuenco,nouns,0.0
1676,sõrm,palma,nouns,0.75
1677,mees,víctor,nouns,0.6
1678,ideaalselt,mecánicamente,adverbs,0.3
1679,lehekülg,párrafo,nouns,1.7
1680,kool,derecho,nouns,0.6
1681,emotsioon,pasión,nouns,3.45
1682,meteoor,gravedad,nouns,1.1
1683,taga ajama,seguir,verbs,4.15
1684,organiseerima,gestionar,verbs,4.95
1685,sviiter,chaqueta,nouns,2.15
1686,kandidaat,ganador,nouns,1.45
1687,hajuma,erosionar,verbs,1.3
1688,sirge,curvo,adjectives,0.45
1689,sild,coche,nouns,0.4
1690,huvi,atención,nouns,3.35
1691,tihedalt,increíblemente,adverbs,0.2
1692,pagema,escapar,verbs,5.45
1693,kaootiliselt,pacíficamente,adverbs,0.3
1694,ilmselge,aparente,adjectives,4.35
1695,loll,inteligente,adjectives,0.45
1696,seltsiline,amante,nouns,1.85
1697,passiivselt,activamente,adverbs,0.3
1698,rahutult,nerviosamente,adverbs,4.4
1699,palavik,enfermedad,nouns,2.15
1700,lämmatama,quemar,verbs,0.25
1701,august,mes,nouns,2.4
1702,meedium,noticias,nouns,1.75
1703,lennujaam,avión,nouns,1.4
1704,julm,injusto,adjectives,2.05
1705,pärinema,descubrir,verbs,0.95
1706,varastama,adquirir,verbs,0.6
1707,meelde tuletama,contar,verbs,1.35
1708,astronoom,galaxia,nouns,1.4
1709,leib,carne,nouns,0.6
1710,lubatud,legal,adjectives,4.7
1711,häbenev,trastornado,adjectives,0.45
1712,avastama,originar,verbs,0.95
1713,ukseava,puerta,nouns,2.7
1714,käepide,proteína,nouns,0.15
1715,nõudma,reñir,verbs,0.55
1716,segama,mezcla,verbs,2.35
1717,kasutamata,nuevo,adjectives,5.0
1718,aus,culpable,adjectives,0.45
1719,loobuma,desconocer,verbs,1.55
1720,teema,libro,nouns,1.08
1721,valuuta,intercambio,nouns,1.45
1722,näts,menta,nouns,0.45
1723,käsikiri,artículo,nouns,1.85
1724,kombineeritud,mezclado,adjectives,2.9
1725,aritmeetika,ritmo,nouns,1.1
1726,lonkama,caminar,verbs,1.6
1727,lõuna,norte,nouns,0.85
1728,amet,universidad,nouns,0.85
1729,võileib,carne,nouns,0.9
1730,loomulikult,antinaturalmente,adverbs,0.3
1731,lahustama,derretir,verbs,1.95
1732,tunnistama,aceptar,verbs,3.95
1733,halb,deshonesto,adjectives,1.95
1734,leebe,agudo,adjectives,0.4
1735,tagasi lükkama,condenar,verbs,1.55
1736,tekk,piso,nouns,0.95
1737,tee,manera,nouns,1.15
1738,vihkama,despreciar,verbs,4.2
1739,viirus,sangre,nouns,1.15
1740,boss,director,nouns,4.25
1741,koosseis,vocalista,nouns,0.65
1742,koer,caballo,nouns,0.7
1743,tuli,apocalipsis,nouns,0.85
1744,närv,cerebro,nouns,1.4
1745,floora,naturaleza,nouns,2.55
1746,korruptsioon,fraude,nouns,3.65
1747,varastama,comprar,verbs,0.4
1748,poolsaar,isla,nouns,1.9
1749,sent,esposa,nouns,0.2
1750,jooma,tragar,verbs,2.2
1751,minut,segundo,nouns,2.1
1752,oluliselt,seriamente,adverbs,1.6
1753,joonistama,crear,verbs,1.4
1754,vastutustundlikult,independientemente,adverbs,1.1
1755,kaart,puente,nouns,0.15
1756,kiiresti,urgentemente,adverbs,3.6
1757,kokku põrkama,tropezarse,verbs,2.8
1758,kontrollima,detener,verbs,0.85
1759,täkk,chico,nouns,1.05
1760,süütu,ingenuo,adjectives,2.7
1761,nina,cabeza,nouns,0.85
1762,harva,nunca,adverbs,1.35
1763,tänav,coche,nouns,0.55
1764,tööline,cámara,nouns,0.1
1765,tajuma,oír,verbs,2.0
1766,portreteerima,pretender,verbs,0.95
1767,koostama,destruir,verbs,0.15
1768,vahekohus,justicia,nouns,2.2
1769,karistama,golpear,verbs,1.6
1770,proovima,lograr,verbs,1.0
1771,kokpit,copiloto,nouns,0.9
1772,tsink,oro,nouns,1.25
1773,tädi,sobrino,nouns,0.9
1774,juhtkond,ratón,nouns,0.0
1775,mitu korda,dos veces,adverbs,1.65
1776,kena,saliente,adjectives,1.1
1777,palk,madera,nouns,3.15
1778,umbes,obviamente,adverbs,0.5
1779,ettevaatlikult,peligrosamente,adverbs,0.35
1780,karusnahk,visón,nouns,2.55
1781,lubama,dar,verbs,1.65
1782,sõber,chico,nouns,1.75
1783,kitarr,violín,nouns,0.9
1784,uskumus,flor,nouns,0.1
1785,tark,tonto,adjectives,0.45
1786,jooma,mezcla,verbs,0.6
1787,hambaarst,coronel,nouns,0.2
1788,keha,hombro,nouns,1.0
1789,alamprogramm,compilador,nouns,0.85
1790,keha,sangre,nouns,0.9
1791,osalema,discutir,verbs,0.2
1792,prestiiž,riqueza,nouns,1.2
1793,ülaosa,fondo,nouns,0.55
1794,päästma,destruir,verbs,0.2
1795,saar,armada,nouns,0.4
1796,vaher,árbol,nouns,3.0
1797,liit,suma,nouns,2.75
1798,kindlalt,a veces,adverbs,0.55
1799,tööandja,empleado,nouns,1.15
1800,loll,estúpido,adjectives,4.95
1801,nüri,emocionante,adjectives,0.15
1802,elegants,estilo,nouns,3.65
1803,igapäevane,ordinario,adjectives,4.45
1804,saatma,ir,verbs,0.7
1805,vastu võtma,entregar,verbs,0.5
1806,vein,alcohol,nouns,2.05
1807,teejuht,manual,nouns,3.95
1808,kitsas,blanco,adjectives,0.1
1809,puuvill,suéter,nouns,0.9
1810,kondensaator,diodo,nouns,1.9
1811,hommikusöök,tocino,nouns,0.55
1812,tehing,centavo,nouns,0.2
1813,firma,negocio,nouns,4.2
1814,küttekeha,paraguas,nouns,0.15
1815,vahe,apertura,nouns,2.9
1816,sõitma,barajar,verbs,0.4
1817,looma,imaginar,verbs,1.5
1818,kaunistus,sobre,nouns,0.3
1819,rääkima,oír,verbs,0.7
1820,tähistama,sorprender,verbs,0.85
1821,veski,semilla,nouns,1.3
1822,brändi,alcohol,nouns,2.1
1823,raputama,remover,verbs,2.55
1824,suur,enorme,adjectives,4.35
1825,negatiivne,nunca,adjectives,1.25
1826,valge,estrecho,adjectives,0.1
1827,lumi,hielo,nouns,2.95
1828,hammas,boca,nouns,1.3
1829,putukas,pesticida,nouns,0.8
1830,ebakindel,asustado,adjectives,2.25
1831,imepisike,enorme,adjectives,0.35
1832,kahanema,crecer,verbs,0.4
1833,neelama,beber,verbs,2.2
1834,uskumatult,herméticamente,adverbs,0.2
1835,lend,aviación,nouns,2.0
1836,poeg,niño,nouns,2.95
1837,veen,brazo,nouns,0.65
1838,saar,península,nouns,1.9
1839,päikesepaiste,rayo,nouns,1.4
1840,ostma,obtener,verbs,2.5
1841,frustreerima,desalentar,verbs,3.2
1842,vahetus,moneda,nouns,1.45
1843,võimas,poderoso,adjectives,4.2
1844,telefon,víctima,nouns,0.15
1845,nööp,ropa,nouns,1.1
1846,räpane,barato,adjectives,0.65
1847,hõivatud,perezoso,adjectives,0.3
1848,teenija,esclavo,nouns,2.4
1849,kaitsma,ayuda,verbs,1.5
1850,puitmaterjal,tronco,nouns,3.55
1851,nüüd,aquí,adverbs,1.85
1852,suusatamine,snowboard,nouns,2.35
1853,satiir,mito,nouns,1.5
1854,post,velocidad,nouns,0.35
1855,hävitama,construir,verbs,0.15
1856,patarei,energía,nouns,2.5
1857,rand,arrecife,nouns,1.25
1858,vabadus,censura,nouns,0.3
1859,pilv,lago,nouns,0.35
1860,advokaat,abogado,nouns,4.4
1861,viha,furia,nouns,4.5
1862,sajand,espíritu,nouns,0.05
1863,kompilaator,subrutina,nouns,0.85
1864,poster,papel,nouns,1.75
1865,intelligentsus,lógica,nouns,2.85
1866,korratu,organizado,verbs,0.4
1867,hobune,yegua,nouns,2.8
1868,ujuma,reunirse,verbs,0.0
1869,jääma,obtener,verbs,0.0
1870,muld,barro,nouns,2.35
1871,pidu,máscara,nouns,0.6
1872,haigla,cama,nouns,0.95
1873,veri,virus,nouns,1.15
1874,öö,amanecer,nouns,1.05
1875,kuritegu,fraude,nouns,3.2
1876,avalik,no revelado,adjectives,0.35
1877,häll,moisés,nouns,2.6
1878,ründama,culpa,verbs,2.75
1879,rõõmustav,maravilloso,adjectives,2.75
1880,täiskasvanu,niño,nouns,0.75
1881,ebaviisakas,agresivo,adjectives,2.55
1882,suund,acción,nouns,1.3
1883,märge,trabajo,nouns,0.6
1884,tilkuma,verter,verbs,1.35
1885,leib,queso,nouns,0.85
1886,harjutama,repetir,verbs,2.8
1887,õppima,confundir,verbs,0.4
1888,kurvalt,locamente,adverbs,0.65
1889,põrand,techo,nouns,1.0
1890,iidne,moderno,adjectives,0.4
1891,kaotama,cocinar,verbs,0.05
1892,kael,brazo,nouns,0.7
1893,teadma,dar,verbs,0.25
1894,loominguline,innovador,adjectives,4.1
1895,peatuma,silbar,verbs,0.4
1896,õnneseen,avergonzado,adjectives,0.05
1897,küünarnukk,hueso,nouns,1.15
1898,paraad,banda,nouns,1.45
1899,õun,sol,nouns,0.45
1900,ühiskond,cultura,nouns,2.25
1901,tundma,creer,verbs,1.8
1902,kena,limpiar,adjectives,1.6
1903,tunnistama,notificar,verbs,1.15
1904,fotofon,homófono,nouns,0.5
1905,arvamus,parcialidad,nouns,2.4
1906,arvuti,disco,nouns,0.95
1907,ebaausalt,justamente,adverbs,0.3
1908,uks,ventana,nouns,1.05
1909,armastaja,compañero,nouns,1.85
1910,lambatall,oveja,nouns,3.9
1911,lööma,atraer,verbs,0.35
1912,kursor,patatas fritas,nouns,0.2
1913,keel,garganta,nouns,1.15
1914,jumal,espíritu,nouns,1.15
1915,särk,cárdigan,nouns,1.3
1916,orkaan,tormenta,nouns,3.4
1917,kindlustunne,yo,nouns,1.2
1918,juhe,cuerda,nouns,2.1
1919,aktsia,activo,nouns,2.75
1920,öö,capítulo,nouns,0.4
1921,kana,pájaro,nouns,1.9
1922,advokaat,fiscal,nouns,2.1
1923,unustama,conservar,verbs,0.45
1924,vargus,crimen,nouns,3.1
1925,hoidma,poseer,verbs,2.3
1926,kaste,manzana,nouns,0.5
1927,poiss,hijo,nouns,2.95
1928,naine,hombre,nouns,1.3
1929,sõber,profesor,nouns,0.8
1930,kõndima,estar,verbs,0.35
1931,kaitsma,salvar,verbs,2.4
1932,aktiivselt,felizmente,adverbs,0.85
1933,ema,papá,nouns,1.75
1934,galerii,abogado,nouns,0.1
1935,tase,puntuación,nouns,2.6
1936,kuupäev,calendario,nouns,1.8
1937,saatma,asistir,verbs,0.7
1938,muda,suciedad,nouns,2.35
1939,essee,tarea,nouns,2.6
1940,läbi kukkuma,tener éxito,verbs,0.4
1941,ori,servidor,nouns,2.4
1942,hüppamine,cerca,nouns,0.65
1943,professor,estudiante,nouns,0.85
1944,palvetama,comunicar,verbs,0.6
1945,purustama,chocarse con,verbs,1.2
1946,uss,código malicioso,nouns,1.0
1947,toit,programa,nouns,0.2
1948,meelespea,diferencia,nouns,0.35
1949,radiaator,sensor,nouns,0.7
1950,onu,prima,nouns,1.25
1951,mänguasi,cubo,nouns,0.85
1952,kaamera,presidente,nouns,0.65
1953,alus,ácido,nouns,1.0
1954,osalema,cooperar,verbs,3.5
1955,kallistama,ahogar,verbs,0.7
1956,loom,bestia,nouns,4.5
1957,saama,dar,verbs,0.55
1958,ühtne,desformado,adjectives,0.6
1959,aatom,carbón,nouns,1.3
1960,aed,manguera,nouns,0.7
1961,kokteil,alcohol,nouns,2.2
1962,paindlik,modesto,adjectives,0.5
1963,veenma,discutir,verbs,1.7
1964,kohalikult,cercanamente,adverbs,1.75
1965,loll,listo,adjectives,0.35
1966,kahtlusalune,hombre,nouns,0.65
1967,lagi,catedral,nouns,0.7
1968,peekon,carne,nouns,2.2
1969,rahvas,dólar,nouns,0.1
1970,igav,cansado,adjectives,1.5
1971,mahl,leche,nouns,0.85
1972,tekk,cama,nouns,1.15
1973,sügavalt,significativamente,adverbs,2.95
1974,selgroog,cuello,nouns,1.05
1975,häbelik,costoso,adjectives,0.25
1976,kaotama,fallar,verbs,2.3
1977,panustama,jugar,verbs,2.65
1978,kritiseerima,observar,verbs,1.5
1979,ilus,maravilloso,adjectives,3.25
1980,kalkun,gallina,nouns,1.15
1981,kauss,callejón,nouns,0.0
1982,parandama,restaurar,verbs,4.2
1983,paat,árbol,nouns,0.15
1984,määrama,elegir,verbs,2.7
1985,karusnahk,pistola,nouns,0.35
1986,kuulma,percibir,verbs,2.0
1987,tagumine,cola,nouns,2.7
1988,kummaline,astuto,adjectives,0.65
1989,uhke,pobre,adjectives,0.4
1990,nurk,curva,nouns,1.85
1991,raha,capital,nouns,3.95
1992,närviliselt,ansiosamente,adverbs,4.4
1993,kuningas,nepotismo,nouns,1.5
1994,iseseisvalt,responsablemente,adverbs,1.1
1995,lennundus,aviónica,nouns,3.0
1996,elama,sobrevivir,verbs,2.2
1997,hammustama,luchar,verbs,0.85
1998,kuu,agosto,nouns,2.4
1999,ettenägematu,no previsible,adjectives,5.25
2000,stsenarist,televisión,nouns,1.15
2001,pilv,niebla,nouns,2.25
2002,jää,agua,nouns,1.55
2003,kaliiber,paraguas,nouns,0.15
2004,raske,grande,adjectives,1.45
2005,närviline,cierto,adjectives,0.2
2006,võib-olla,probablemente,adverbs,3.65
2007,laul,balada,nouns,3.55
2008,vedelik,boquilla,nouns,0.8
2009,assisteerima,ayudar,verbs,4.35
2010,põhimõtteliselt,completamente,adverbs,1.6
2011,preagu,recientemente,adverbs,3.4
2012,keegel,jugador de bolos,nouns,1.8
2013,oht,amenaza,nouns,3.45
2014,osa,capítulo,nouns,4.6
2015,taevas,sueño,nouns,0.65
2016,laine,clima,nouns,0.5
2017,sinep,semilla,nouns,1.45
2018,hankima,adquirir,verbs,4.2
2019,päris,0,adjectives,0.3
2020,teostama,lograr,verbs,3.4
2021,tehas,coche,nouns,0.45
2022,tila,fluido,nouns,0.8
2023,ranne,mano,nouns,2.05
2024,dinosaurus,elefante,nouns,0.85
2025,moodus,moda,nouns,0.65
2026,teater,batería,nouns,0.3
2027,lennujaam,pieza,nouns,0.0
2028,purustamine,construcción,nouns,0.6
2029,hiljem,nunca,adverbs,0.25
2030,vaba,inocente,adjectives,0.6
2031,kiirus,enviar,nouns,0.35
2032,medal,zapatillas,nouns,0.25
2033,ise,confianza,nouns,1.2
2034,džinn,alcohol,nouns,2.25
2035,koridor,pasillo,nouns,4.75
2036,juhtuma,hacer,verbs,0.75
2037,pilv,neblina,nouns,2.8
2038,katus,ventana,nouns,0.75
2039,sassis,ordenado,adjectives,0.35
2040,saavutama,tratar,verbs,1.0
2041,makse,cuota,nouns,3.8
2042,šokolaad,tarta,nouns,1.1
2043,ebaküps,irresponsable,adjectives,2.85
2044,elastne,flexible,adjectives,4.25
2045,täielikult,puramente,adverbs,2.15
2046,nahkhiir,vampiro,nouns,1.45
2047,korporatsioon,béisbol,nouns,0.25
2048,hümn,biblia,nouns,0.35
2049,sajand,año,nouns,1.45
2050,lipp,polo,nouns,0.9
2051,vaidlema,racionalizar,verbs,1.6
2052,puhastustuli,más allá,nouns,1.85
2053,purunema,aplastar,verbs,1.85
2054,maja,granero,nouns,1.1
2055,kaos,clase,nouns,0.25
2056,puusüsi,carbón,nouns,2.45
2057,ots,capítulo,nouns,0.1
2058,küüs,cabeza,nouns,0.5
2059,hotell,apartamento,nouns,1.1
2060,aken,techo,nouns,0.75
2061,reaalsus,espejismo,nouns,0.6
2062,negatiivselt,antinaturalmente,adverbs,1.45
2063,maja,alfombra,nouns,0.45
2064,härg,caballo,nouns,1.35
2065,suur,alto,adjectives,3.45
2066,segama,cocinar,verbs,0.95
2067,vihmavari,calibre,nouns,0.15
2068,sissetulek,impuesto,nouns,0.75
2069,õiglaselt,maduro,adverbs,0.95
2070,õpilane,profesor,nouns,0.95
2071,pistrik,águila,nouns,2.1
2072,puit,tronco,nouns,3.15
2073,takso,autobús,nouns,1.8
2074,mõistma,escucha,verbs,1.2
2075,mitte kunagi,negativo,adjectives,1.25
2076,valjult,locamente,adverbs,1.55
2077,kordama,practicar,verbs,2.8
2078,imetlema,adorar,verbs,4.25
2079,politseinik,político,nouns,0.45
2080,ketas,ordenador,nouns,0.95
2081,uppuma,salvar,verbs,0.55
2082,katus,piso,nouns,1.0
2083,jõud,resistencia,nouns,2.85
2084,kallas,playa,nouns,3.25
2085,vabastama,presionar,verbs,0.3
2086,kodutöö,ensayo,nouns,2.6
2087,keha,estómago,nouns,1.7
2088,kritiseerima,odiar,verbs,1.1
2089,peatükk,cola,nouns,0.1
2090,või,patata,nouns,0.85
2091,kari,yogur,nouns,0.5
2092,ananass,teléfono inteligente,nouns,0.05
2093,heameelt tegema,estar de acuerdo,verbs,1.0
2094,arvamus,elección,nouns,1.1
2095,võlur,cable,nouns,0.0
2096,õiglus,tribunal,nouns,2.2
2097,pettus,delito,nouns,3.2
2098,ära tõukama,negar,verbs,1.6
2099,pott,aparato,nouns,0.3
2100,kroon,llave,nouns,0.55
2101,küsima,ayudar,verbs,0.7
2102,tsivilisatsioon,estilo de vida,nouns,1.1
2103,haige,loco,adjectives,1.35
2104,näitleja,cantante,nouns,1.4
2105,katus,techo,nouns,4.1
2106,vesi,sequía,nouns,0.8
2107,sõbralik,improbable,adverbs,0.0
2108,näljane,sediento,adjectives,1.6
2109,veen,elección,nouns,0.05
2110,kulutama,salvar,verbs,0.45
2111,vihm,llovizna,nouns,4.2
2112,keel,músculo,nouns,1.4
2113,lõdisema,congelar,verbs,1.4
2114,päikeseloojang,amanecer,nouns,0.85
2115,hambad,martillo,nouns,0.15
2116,õpilane,presidente,nouns,0.3
2117,president,alcalde,nouns,1.7
2118,rütm,melodía,nouns,2.65
2119,halb,estupendo,adjectives,0.1
2120,väljuv,entrante,adjectives,0.45
2121,šovinist,prejuicio,nouns,1.35
2122,teenijanna,ayudante,nouns,2.55
2123,nool,objetivo,nouns,1.0
2124,uks,presencia,nouns,0.5
2125,saak,dios,nouns,0.1
2126,agressiivne,curvo,adjectives,0.25
2127,lind,halcón,nouns,2.4
2128,värske,amplio,adjectives,0.1
2129,saavutama,realizar,verbs,3.4
2130,päästma,ahogar,verbs,0.55
2131,oletama,predecir,verbs,3.0
2132,odav,asequible,adjectives,4.35
2133,vaidlema,probar,verbs,1.35
2134,mesi,azúcar,nouns,1.7
2135,teraapia,behaviorismo,nouns,0.95
2136,lai,fresco,adjectives,0.1
2137,triumf,victoria,nouns,5.1
2138,vangla,elección,nouns,0.35
2139,ründama,agravar,verbs,1.15
2140,tramm,tren,nouns,2.45
2141,oluliselt,verdaderamente,adverbs,0.55
2142,tuju,enfado,nouns,2.7
