ID,CMN,SPA,PoS,score
1517,网球,estadística,nouns,0.25
1518,狐狸,sabueso,nouns,0.96
1519,两次,múltiple,adverbs,0.79
1520,运气,felicidad,nouns,0.76
1521,戏法,pistola,nouns,0.15
1522,科学家,enfermera,nouns,0.29
1523,气球,bañera,nouns,0.05
1524,必须,importante,adjectives,3.66
1525,现实地,recientemente,adverbs,0.0
1526,行星,luna,nouns,2.02
1527,演出,saludar,verbs,0.15
1528,地区,zona,nouns,4.97
1529,划分,unir,verbs,0.28
1530,鸡,cena,nouns,0.94
1531,屏蔽,rodela,nouns,0.89
1532,柄,proteína,nouns,0.15
1533,牙齿,boca,nouns,1.07
1534,承认,notificar,verbs,0.5
1535,力量,capacidad,nouns,2.91
1536,伤害,molestar,verbs,1.22
1537,等待,permanecer,verbs,1.74
1538,锡,metal,nouns,2.27
1539,知道,dar,verbs,0.25
1540,威士忌酒,ginebra,nouns,1.22
1541,包装纸,puerto,nouns,0.05
1542,可靠地,aproximadamente,adverbs,0.69
1543,作者,lector,nouns,0.58
1544,狭窄,ancho,adjectives,0.19
1545,日落,cuerda,nouns,0.0
1546,束,multitud,nouns,0.4
1547,允许,dar,verbs,0.95
1548,汽车,tanque,nouns,0.62
1549,逃跑,escapar,verbs,5.57
1550,特别,significativamente,adverbs,2.8
1551,骨头,codo,nouns,0.58
1552,祈祷,pedir,verbs,1.02
1553,遇见,nadar,verbs,0.0
1554,海岸,barco de cañón,nouns,0.39
1555,放走,captura,verbs,0.34
1556,明显,perceptible,adjectives,3.59
1557,脆弱,impotente,adjectives,1.8
1558,尾巴,posterior,nouns,2.71
1559,伤心,terrible,adjectives,0.53
1560,宽广,estrecho,adjectives,0.19
1561,枪,truco,nouns,0.15
1562,劝告,sugerir,verbs,3.46
1563,大夫,doctor,nouns,5.06
1564,闻名,nacional,adjectives,0.2
1565,财富,prestigio,nouns,0.82
1566,案件,electricidad,nouns,0.04
1567,地区,esquina,nouns,0.53
1568,洞察力,inteligencia,nouns,1.78
1569,老板,director,nouns,4.38
1570,伤心,orgulloso,adjectives,0.18
1571,柔韧,grande,adjectives,0.14
1572,分析,evaluar,verbs,4.53
1573,直觉,sentido,nouns,3.79
1574,对手,oponente,nouns,4.9
1575,好,picante,adjectives,0.0
1576,管弦乐队,banda,nouns,4.11
1577,校验,decir,verbs,0.4
1578,摇床,moisés,nouns,2.55
1579,笨,obstinado,adjectives,1.21
1580,单身牢房,cárcel,nouns,0.8
1581,家牛,vaca,nouns,3.08
1582,发炎,dolencia,nouns,2.46
1583,起泡,ilustración,nouns,0.0
1584,长凳,silla,nouns,3.62
1585,信封,decoración,nouns,0.37
1586,牛肉,carne,nouns,3.77
1587,女仆,ayudante,nouns,2.52
1588,加,dividir,verbs,0.38
1589,吉他,violín,nouns,0.57
1590,暴力,suave,adjectives,0.1
1591,脏,barato,adjectives,0.32
1592,有时,seguramente,adverbs,0.45
1593,电话,víctima,nouns,0.0
1594,兄弟,hermana,nouns,2.79
1595,页,párrafo,nouns,1.35
1596,失去,obtener,verbs,0.28
1597,收缩,crecer,verbs,0.19
1598,定理,teoría,nouns,3.91
1599,纱,hilo,nouns,1.77
1600,出现,salir,verbs,0.3
1601,忽略,pedir,verbs,0.19
1602,密度大,difícil,adjectives,2.27
1603,哨兵,hombre,nouns,1.45
1604,喜爱,odiar,verbs,0.14
1605,发射,enviar,verbs,2.6
1606,和平地,caóticamente,adverbs,0.05
1607,容易,duro,adjectives,0.15
1608,罕见,tonto,adjectives,0.1
1609,仁慈地,suavemente,adverbs,2.73
1610,不可能,factible,adjectives,0.24
1611,井井有条,desorganizado,verbs,0.23
1612,巧克力,tarta,nouns,0.92
1613,乘,dividir,verbs,0.63
1614,夏天,invierno,nouns,0.34
1615,肥料,crecimiento,nouns,0.68
1616,樱桃,fresa,nouns,1.38
1617,戏弄,herir,verbs,1.22
1618,休会,terminar,verbs,0.34
1619,牛油,patata,nouns,0.48
1620,苹果,jugo,nouns,1.23
1621,自豪的,humildemente,adverbs,0.28
1622,蜥蜴,gobierno,nouns,0.0
1623,大厅,pasillo,nouns,0.44
1624,哭,reír,verbs,0.28
1625,枪,amanecer,nouns,0.0
1626,低语,hablar,verbs,2.25
1627,血液,carne,nouns,0.48
1628,午饭,sandwich,nouns,0.59
1629,意外,libro,nouns,0.1
1630,幻灯片,puntero,nouns,0.34
1631,帝制,democracia,nouns,0.7
1632,激进,violento,adjectives,2.42
1633,做,ocurrir,verbs,0.3
1634,虚无主义,película,nouns,0.38
1635,难以置信地,herméticamente,adverbs,0.0
1636,站立,caminar,verbs,0.28
1637,教学大纲,examen,nouns,0.43
1638,车,taxi,nouns,3.63
1639,电视,guionista,nouns,0.83
1640,污染,presidente,nouns,0.25
1641,讨厌,disfrutar,verbs,0.14
1642,火鸡,pájaro,nouns,2.08
1643,成年人,niño,nouns,0.53
1644,恶魔,ángel,nouns,0.64
1645,公国,principado,nouns,1.98
1646,死亡,tragedia,nouns,2.33
1647,暗礁,playa,nouns,0.89
1648,幻想,realidad,nouns,0.7
1649,按下,lanzar,verbs,0.1
1650,大规模,abiertamente,adverbs,0.6
1651,红酒,brandy,nouns,2.17
1652,歌曲,bailarín,nouns,0.43
1653,准确地,precisamente,adverbs,5.28
1654,男人,niña,nouns,0.73
1655,服从,comportarse,verbs,3.4
1656,元,millonario,nouns,0.55
1657,警长,policía,nouns,3.76
1658,教练,jugador,nouns,0.25
1659,骨头,mandíbula,nouns,1.37
1660,刺激,aburrido,adjectives,0.19
1661,钢笔,alfabeto,nouns,0.4
1662,轻轻的,ruidosamente,adverbs,0.05
1663,雇主,empleado,nouns,0.45
1664,决定,juzgar,verbs,2.9
1665,鸟,halcón,nouns,2.19
1666,发展,fertilizante,nouns,0.68
1667,道德,leyenda,nouns,0.3
1668,优胜者,presencia,nouns,0.2
1669,宣告,proclamar,verbs,4.46
1670,名誉,riqueza,nouns,1.35
1671,血液学,patología,nouns,1.89
1672,强大,débiles,adjectives,0.15
1673,精灵,lámpara,nouns,0.5
1674,发烧,enfermedad,nouns,2.19
1675,大口地吃,sorber,verbs,1.03
1676,收到,dar,verbs,0.15
1677,棉,poliéster,nouns,1.2
1678,奇怪地,extraordinariamente,adverbs,3.12
1679,赚,merecer,verbs,1.44
1680,片,aeropuerto,nouns,0.0
1681,厨房,puerta,nouns,0.35
1682,末期地,principalmente,adverbs,0.2
1683,离开,entrar,verbs,0.23
1684,违反,crimen,nouns,3.33
1685,煤,carboncillo,nouns,2.19
1686,智力,destreza,nouns,2.38
1687,笨,inteligente,adjectives,0.39
1688,女儿,padre,nouns,0.34
1689,溺爱,oler,verbs,0.0
1690,学习,confundir,verbs,0.1
1691,毛线衣,algodón,nouns,0.71
1692,通知,reconocer,verbs,0.5
1693,肝,pulmón,nouns,0.57
1694,开心,enojado,adjectives,0.1
1695,停,advertir,verbs,0.39
1696,税,ingresos,nouns,0.67
1697,尝试,convencer,verbs,1.12
1698,章,cola,nouns,0.05
1699,自然地,tranquilamente,adverbs,0.97
1700,理想地,mecánicamente,adverbs,0.19
1701,走道,sala,nouns,0.44
1702,钢琴,armonía,nouns,0.43
1703,刀口,hierba,nouns,0.05
1704,流感,fiebre,nouns,2.15
1705,鼓励,desalentar,verbs,0.33
1706,大教堂,iglesia,nouns,4.97
1707,侵略,hostilidad,nouns,2.32
1708,牙医,ortodoncista,nouns,4.0
1709,柑橘,naranja,nouns,3.13
1710,男孩子,hijo,nouns,3.05
1711,真实,0,adjectives,0.18
1712,裙子,danza,nouns,0.24
1713,威胁,peligro,nouns,3.96
1714,书,información,nouns,1.6
1715,不同意,estar de acuerdo,verbs,0.58
1716,手臂,rama,nouns,0.7
1717,苦难,desesperación,nouns,2.38
1718,无实体,espiritual,adjectives,2.92
1719,闻,mimar,verbs,0.0
1720,有攻击性的,grosero,adjectives,1.89
1721,带来,enviar,verbs,0.55
1722,大薄片,avión,nouns,0.14
1723,微妙地,ruidosamente,adverbs,0.05
1724,恶魔,monstruo,nouns,3.01
1725,地球,mundo,nouns,2.59
1726,乐观地,posiblemente,adverbs,0.73
1727,搏斗,jugar,verbs,0.38
1728,首词,sintaxis,nouns,0.68
1729,紧张,cierto,adjectives,0.05
1730,出现,volverse,verbs,0.63
1731,笨,enorme,adjectives,0.04
1732,残忍,injusto,adjectives,1.18
1733,白兰地,vino,nouns,2.17
1734,门,pasillo,nouns,0.48
1735,坚硬,denso,adjectives,2.27
1736,完成,ganar,verbs,2.04
1737,被动,violento,adjectives,0.1
1738,拒绝,elegir,verbs,0.2
1739,可能,con optimismo,adverbs,0.73
1740,手,uña,nouns,0.88
1741,分子,matriz,nouns,0.61
1742,父亲,hombre,nouns,2.23
1743,倾向,parcialidad,verbs,2.13
1744,情况,circunstancia,nouns,5.39
1745,有趣,fútbol,nouns,0.65
1746,毕业,terminar,verbs,1.98
1747,诚实地,sinceramente,adverbs,4.5
1748,骨髓,sangre,nouns,0.83
1749,男孩,niño,nouns,3.88
1750,暴力,enojado,adjectives,1.9
1751,拥抱,exprimir,verbs,0.68
1752,争论,debate,verbs,3.34
1753,地毯,casa,nouns,0.2
1754,充分,básicamente,adverbs,0.92
1755,洞,esposa,nouns,0.32
1756,降落,retirarse,verbs,0.49
1757,猫,conejo,nouns,0.73
1758,民主,monarquía,nouns,0.7
1759,经理,líder,nouns,2.6
1760,公寓,casa,nouns,4.18
1761,枫木,roble,nouns,1.78
1762,胜利,triunfo,nouns,5.07
1763,打破,agrietar,verbs,2.2
1764,过去,antecedente,nouns,3.75
1765,木,papel,nouns,0.72
1766,词缀,sufijo,nouns,2.23
1767,苗条,delgado,adjectives,3.78
1768,诚实,culpable,adjectives,0.1
1769,菜单,orden,nouns,1.23
1770,今天,esta noche,adverbs,2.43
1771,焦虑,impaciente,adjectives,3.92
1772,海,delta,nouns,0.79
1773,贫困,riqueza,nouns,0.1
1774,蝙蝠,vampiro,nouns,1.23
1775,组织,recoger,verbs,1.29
1776,小巷,cuenco,nouns,0.0
1777,身体,hombro,nouns,0.86
1778,正式,fuertemente,adverbs,0.32
1779,世俗主义,religión,nouns,0.1
1780,日历,fecha,nouns,2.12
1781,骨头,dientes,nouns,1.17
1782,舌头,mejilla,nouns,0.2
1783,制作者,creador,nouns,3.58
1784,慷慨地,nunca,adverbs,0.0
1785,穿着衣服的,cubierto,adjectives,2.48
1786,薄荷,museo,nouns,0.0
1787,频繁,ignorante,adjectives,0.04
1788,模式,moda,nouns,0.2
1789,篮球,béisbol,nouns,1.07
1790,轻松,estresado,adjectives,0.1
1791,成长,encoger,verbs,0.19
1792,肺,hígado,nouns,0.57
1793,百万富翁,dólar,nouns,0.55
1794,观看,observar,verbs,4.28
1795,做,dejar,verbs,0.2
1796,耐力,fuerza,nouns,2.77
1797,钱,perla,nouns,0.5
1798,食物,programa,nouns,0.05
1799,雨,llovizna,nouns,3.88
1800,早餐,tocino,nouns,0.38
1801,公共汽车,taxi,nouns,2.04
1802,怪兽,demonio,nouns,3.01
1803,西洋棋,comprobar,nouns,0.19
1804,姊妹,hermano,nouns,2.79
1805,辣,bueno,adjectives,0.0
1806,河,corriente,nouns,2.88
1807,等待,salir,verbs,0.38
1808,头脑,cerebro,nouns,4.08
1809,雾气,nube,nouns,1.45
1810,评分,corregir,verbs,3.6
1811,使惊奇,celebrar,verbs,0.72
1812,窗台,montaña,nouns,0.2
1813,湿,pegajoso,adjectives,1.4
1814,心靈,dios,nouns,0.75
1815,相信,aceptar,verbs,1.25
1816,愤怒,vacilante,adjectives,0.68
1817,文章,diario,nouns,1.9
1818,议会,congreso,nouns,3.17
1819,作弊,engañar,verbs,3.37
1820,接受,perdonar,verbs,2.58
1821,开心,contento,adjectives,4.88
1822,海啸,mar,nouns,1.58
1823,蜜糖,azúcar,nouns,1.97
1824,天真,ingenuo,adjectives,3.6
1825,母鸡,pavo,nouns,1.54
1826,毁灭,crear,verbs,0.23
1827,自己,confianza,nouns,0.88
1828,教堂,campanario,nouns,0.81
1829,凯旋,victoria,nouns,5.07
1830,负责可靠地,independientemente,adverbs,0.84
1831,人物,persona,nouns,3.53
1832,糖果,manzana,nouns,0.29
1833,电影,televisión,nouns,2.38
1834,望远镜,reunión creativa,nouns,0.0
1835,凹地,valle,nouns,2.73
1836,房间,edificio,nouns,0.49
1837,保留,olvidar,verbs,0.24
1838,练习,repetir,verbs,2.21
1839,国王,príncipe,nouns,2.1
1840,存在,puerta,nouns,0.3
1841,发送,asistir,verbs,0.35
1842,参与,decir,verbs,0.6
1843,神,presa,nouns,0.0
1844,作家,regalo,nouns,0.05
1845,搜索,cazar,verbs,1.21
1846,肚皮,abdomen,nouns,3.6
1847,不定形,informe,adjectives,2.42
1848,认真地,sinceramente,adverbs,2.61
1849,元,gente,nouns,0.05
1850,阳光,manzana,nouns,0.34
1851,好的,mediocre,adjectives,0.28
1852,外交,negociación,nouns,2.16
1853,皇帝,constitución,nouns,0.65
1854,大致,impacientemente,adverbs,0.05
1855,装作,imaginar,verbs,0.74
1856,敬礼,realizar,verbs,0.15
1857,侵蚀,descolorarse,verbs,0.82
1858,雪,avalancha,nouns,1.61
1859,重要的,oficialmente,adverbs,0.7
1860,新,antiguo,adjectives,0.19
1861,借,vender,verbs,0.48
1862,猴子,campaña,nouns,0.05
1863,毯子,cama,nouns,0.6
1864,叶,árbol,nouns,0.79
1865,音节,lema,nouns,0.8
1866,女王,abeja,nouns,0.4
1867,痛苦,dolor,nouns,4.25
1868,牙齿,hueso,nouns,1.17
1869,收入,impuesto,nouns,0.67
1870,现实,fantasía,nouns,0.7
1871,快,rápido,adjectives,4.92
1872,害怕,ansioso,adjectives,0.64
1873,反驳,permitir,verbs,0.25
1874,打,atraer,verbs,0.05
1875,收到,tomar,verbs,1.62
1876,警察,sheriff,nouns,3.76
1877,僧侣,sacerdote,nouns,2.92
1878,膝盖,hueso,nouns,1.13
1879,硬币,pago,nouns,1.6
1880,牛奶,jugo,nouns,0.67
1881,逻辑,aritmética,nouns,2.09
1882,情绪,pasión,nouns,3.14
1883,电话,teléfono móvil,nouns,4.82
1884,面具,partido,nouns,0.24
1885,锡,aluminio,nouns,0.92
1886,怪诞,extraño,adjectives,4.27
1887,丑陋,crudo,adjectives,0.47
1888,私人的,público,adjectives,0.19
1889,茶,limón,nouns,0.29
1890,通常,raramente,adverbs,0.23
1891,鸡尾酒,alcohol,nouns,2.92
1892,雪茄,caja,nouns,0.39
1893,最佳,quinto,adjectives,0.1
1894,家,estado,nouns,0.1
1895,诗人,periodista,nouns,0.45
1896,猫,mascota,nouns,3.33
1897,啜,tragar,verbs,1.03
1898,蚂蚁,volar,nouns,0.57
1899,翻译者,extranjero,nouns,0.43
1900,吞,beber,verbs,1.65
1901,运输,levantar,verbs,0.78
1902,周末,semana,nouns,2.24
1903,勺子,jugo,nouns,0.1
1904,军团,ejército,nouns,3.83
1905,门,bodega,nouns,0.33
1906,饥饿,sediento,adjectives,1.51
1907,主要地,terminalmente,adverbs,0.2
1908,相机,continuación,nouns,0.15
1909,护士,científico,nouns,0.29
1910,肉,filete,nouns,3.84
1911,赛跑,filósofo,nouns,0.15
1912,大方,simpático,adjectives,2.31
1913,检察官,abogado,nouns,2.02
1914,统计资料,tenis,nouns,0.25
1915,棒球,baloncesto,nouns,1.07
1916,好斗,combate,nouns,3.2
1917,和平,soldado,nouns,0.2
1918,燕麦,campo,nouns,0.57
1919,弯曲,derecho,adjectives,0.24
1920,阿姨,sobrino,nouns,0.43
1921,飓风,tormenta,nouns,2.87
1922,球,esfera,nouns,3.4
1923,传感器,radiador,nouns,0.78
1924,教育,enseñar,verbs,4.64
1925,向量,matriz,nouns,1.5
1926,强大,potente,adjectives,4.03
1927,豆,café,nouns,0.28
1928,分解,factorización,nouns,1.97
1929,酒,cóctel,nouns,2.92
1930,行动,juego,nouns,0.7
1931,学习,educar,verbs,1.98
1932,成功,fallar,verbs,0.28
1933,允许,ir,verbs,0.2
1934,膝盖,brazo,nouns,0.43
1935,军士,pistola,nouns,0.39
1936,扼杀,abrazar,verbs,0.35
1937,沐浴,tronco,nouns,0.0
1938,沐浴,globo,nouns,0.05
1939,自豪地,pacíficamente,adverbs,0.19
1940,哥哥,niño,nouns,1.94
1941,逮捕,sospechar,verbs,0.58
1942,诗,ritmo,nouns,0.68
1943,媒介,noticias,nouns,2.14
1944,算术,ritmo,nouns,0.49
1945,妻子,mujer,nouns,3.0
1946,乱七八糟,ordenado,adjectives,0.24
1947,鳟鱼,guitarra,nouns,0.0
1948,想,tratar,verbs,0.63
1949,脊柱,cuerpo,nouns,0.98
1950,粗糙地,aproximadamente,adverbs,0.71
1951,说,verificar,verbs,0.4
1952,唱,flotador,verbs,0.0
1953,坚强,orgulloso,adjectives,0.78
1954,云,neblina,nouns,2.91
1955,达到,realizar,verbs,3.29
1956,杂乱无章,organizado,verbs,0.23
1957,卡,puente,nouns,0.18
1958,使气馁,animar,verbs,0.33
1959,歌剧,cine,nouns,1.16
1960,三角洲,mar,nouns,0.79
1961,讨论,explicar,verbs,1.65
1962,医生,ortodoncista,nouns,2.83
1963,不耐烦,ansioso,adjectives,3.92
1964,荣誉,estima,nouns,1.27
1965,深深地,principalmente,adverbs,0.88
1966,妻子,madre,nouns,2.19
1967,页,palabra,nouns,0.25
1968,博物馆,menta,nouns,0.0
1969,天气,nube,nouns,1.44
1970,晚餐,desayuno,nouns,0.71
1971,椅子,telescopio,nouns,0.1
1972,薪水,dinero,nouns,3.98
1973,教,castigar,verbs,0.53
1974,同意,complacer,verbs,1.55
1975,唇,cadera,nouns,0.25
1976,大,alto,adjectives,3.26
1977,生病,loco,adjectives,1.16
1978,哥哥,hijo,nouns,0.81
1979,锁匙,casa,nouns,0.3
1980,蟋蟀,seguidor,nouns,0.0
1981,圣歌,conquista,nouns,0.15
1982,促进,avanzar,verbs,2.06
1983,词元,sílaba,nouns,0.8
1984,奇怪,bizarro,adjectives,4.27
1985,争论,racionalizar,verbs,2.19
1986,旅程,conquista,nouns,0.63
1987,肠子,nervio,nouns,0.44
1988,发展,recaudación de fondos,nouns,0.45
1989,表哥,tío,nouns,0.48
1990,气球,gente,nouns,0.25
1991,实现,recibir,verbs,0.15
1992,啤酒,champán,nouns,1.88
1993,钱,efectivo,nouns,4.29
1994,自豪,negrita,adjectives,0.36
1995,机械师,obrero,nouns,2.38
1996,收集,organizar,verbs,1.29
1997,三文治,almuerzo,nouns,0.59
1998,偷,adquirir,verbs,0.98
1999,外国人,traductor,nouns,0.43
2000,花朵,resistencia,nouns,0.28
2001,面包,queso,nouns,0.34
2002,早餐,cena,nouns,1.11
2003,猛烈地,tristemente,adverbs,0.44
2004,码,metro,nouns,2.24
2005,选举,rechazar,verbs,0.2
2006,日历,vacaciones,nouns,0.88
2007,焦躁不安,joven,adjectives,0.1
2008,脖子,brazo,nouns,0.34
2009,非法,legal,adjectives,0.19
2010,沙发,silla,nouns,2.39
2011,自豪,alegría,nouns,1.51
2012,手,muñeca,nouns,2.1
2013,米,pulgada,nouns,1.88
2014,风暴,nieve,nouns,0.96
2015,习语,palabra,nouns,1.17
2016,容器,botella,nouns,2.46
2017,保持,dar,verbs,0.44
2018,冬天,temporada,nouns,2.58
2019,新鲜,antiguo,adjectives,0.09
2020,毛毛雨,lluvia,nouns,3.88
2021,果汁,cuchara,nouns,0.1
2022,毯,madera,nouns,0.05
2023,公平,injustamente,adverbs,0.23
2024,证明,explicar,verbs,2.79
2025,隧道,camino,nouns,2.52
2026,结婚,involucrarse,verbs,1.63
2027,蓝色,rojo,adjectives,0.34
2028,纽扣,ropa,nouns,0.92
2029,累,aburrido,adjectives,0.84
2030,肉,sándwich,nouns,0.58
2031,现代,antiguo,adjectives,0.1
2032,判断,testificar,verbs,0.54
2033,酱,manzana,nouns,0.39
2034,必须,esencial,adjectives,5.32
2035,穆斯林,obispo,nouns,0.56
2036,留,conservar,verbs,3.27
2037,风尚,moda,nouns,3.13
2038,攻击,bombardeo aéreo,nouns,3.13
2039,每当,a veces,adverbs,0.78
2040,相信,sentir,verbs,1.56
2041,节约,gastar,verbs,0.37
2042,棒球,fraternidad,nouns,0.15
2043,发送,traer,verbs,0.55
2044,手掌,dedo,nouns,1.26
2045,打招呼,reunirse,verbs,0.48
2046,崇拜,admirar,verbs,4.28
2047,冲洗,lavar,verbs,4.17
2048,灵活,modesto,adjectives,0.47
2049,给,permitir,verbs,0.95
2050,仆人,esclavo,nouns,3.08
2051,交换,moneda,nouns,1.3
2052,手术,corazón,nouns,0.59
2053,蠕虫,código malicioso,nouns,1.1
2054,南,norte,nouns,0.34
2055,出现,asistir,verbs,2.9
2056,放开,presionar,verbs,0.1
2057,伞,calentador,nouns,0.15
2058,褪色,erosionar,verbs,0.82
2059,自由,censura,nouns,0.15
2060,智力,lógica,nouns,3.25
2061,方案,idea,nouns,2.96
2062,葬礼,muerte,nouns,0.97
2063,兴奋,asustado,adjectives,0.68
2064,壁,castillo,nouns,0.53
2065,独立地,responsablemente,adverbs,0.84
2066,歇斯底里,confusión,nouns,2.17
2067,肌肉,hueso,nouns,0.43
2068,主要,mayormente,adverbs,4.35
2069,糟糕,humildemente,adverbs,0.1
2070,情况,condición,nouns,4.06
2071,情感,estado animico,nouns,3.24
2072,铅笔,historia,nouns,0.54
2073,艺术家,obra de arte,nouns,1.21
2074,指控,mentir,verbs,0.39
2075,骨头,brazo,nouns,0.68
2076,谦逊,modesto,adjectives,4.73
2077,用拳猛击,pellizcar,verbs,0.38
2078,授粉,estambre,nouns,0.81
2079,帽子,capa,nouns,1.04
2080,刀,pistola,nouns,1.9
2081,妻子,agujero,nouns,0.32
2082,制服,desformado,adjectives,0.3
2083,云,ventana,nouns,0.35
2084,假,real,adjectives,0.18
2085,残酷,bonito,adjectives,0.05
2086,变成,parecer,verbs,0.34
2087,不同,de acuerdo,verbs,0.15
2088,感染,inflexión,nouns,0.1
2089,愤怒,violento,adjectives,1.9
2090,借,deber,verbs,0.43
2091,汽车,manguera,nouns,0.2
2092,享受,entretener,verbs,1.3
2093,灵魂,hermano,nouns,0.15
2094,读,comprender,verbs,1.07
2095,沙子,pie,nouns,0.24
2096,米饭,pollo,nouns,0.25
2097,允许,erosionar,verbs,0.0
2098,年,cumpleaños,nouns,1.11
2099,电池,teatro,nouns,0.1
2100,身体,ropa interior,nouns,0.3
2101,表,puesta de sol,nouns,0.05
2102,坏,estupendo,adjectives,0.14
2103,手臂,hueso,nouns,0.68
2104,灵活的,elástico,adjectives,3.83
2105,原木,bañera,nouns,0.0
2106,吸收,aprender,verbs,2.25
2107,依靠,fallar,verbs,0.19
2108,木,piedra,nouns,0.49
2109,了解,perdonar,verbs,0.82
2110,朋友,chico,nouns,1.49
2111,枪,cañón,nouns,1.52
2112,作者,creador,nouns,4.65
2113,果汁,leche,nouns,0.67
2114,身体,sangre,nouns,0.71
2115,容易,flexible,adjectives,1.13
2116,碱,ácido,nouns,0.64
2117,水,sal,nouns,0.38
2118,赢,tener éxito,verbs,3.42
2119,教授,estudiante,nouns,0.43
2120,纯,modesto,adjectives,0.76
2121,人,población,nouns,3.13
2122,并发,moneda,nouns,0.2
2123,试着,tener la intención,verbs,2.51
2124,妻子,bañera,nouns,0.1
2125,狭窄,sucio,adjectives,0.0
2126,不耐烦地,aproximadamente,adverbs,0.05
2127,数字,citoplasma,nouns,0.0
2128,装饰,sobre,nouns,0.37
2129,椅子,cama,nouns,0.88
2130,大灾变,fuego,nouns,0.86
2131,坟墓,renacimiento,nouns,0.47
2132,一餐,cintura,nouns,0.25
2133,同意,discutir,verbs,0.43
2134,平面,hoja,nouns,0.14
2135,裙子,reloj,nouns,0.15
2136,留,salir,verbs,0.14
2137,来,llegar,verbs,2.36
2138,拥抱,sostener,verbs,0.55
2139,竞争,terminar,verbs,0.1
2140,和声,piano,nouns,0.43
2141,坠落,herir,verbs,0.83
2142,拒绝,retirar,verbs,1.02
2143,公式,tronco,nouns,0.1
2144,成为,aparecer,verbs,0.63
2145,保持,abrazar,verbs,0.55
2146,公开,no revelado,adjectives,0.09
2147,雪,tormenta,nouns,0.96
2148,政府,lagartija,nouns,0.0
2149,割礼,prepucio,nouns,1.32
2150,马,buey,nouns,0.92
2151,开始,ir,verbs,0.39
2152,早餐,cena,nouns,0.71
2153,盒子,cabina,nouns,0.6
2154,蜜蜂,hormiga,nouns,0.63
2155,长,estrecho,adjectives,0.29
2156,光,teclado,nouns,0.29
2157,甘蔗,segadora,nouns,0.2
2158,显然,aparentemente,adverbs,2.6
2159,一对,pareja,nouns,3.98
2160,港口,envoltura,nouns,0.05
2161,侵蚀,permitir,verbs,0.0
2162,无形,amorfo,adjectives,2.42
2163,放,dar,verbs,0.73
2164,学生,profesor,nouns,0.53
2165,头,pie,nouns,0.34
2166,显然,seguramente,adverbs,2.66
2167,天使,demonio,nouns,0.64
2168,微晶片,cursor,nouns,0.04
2169,儿子,padre,nouns,1.03
2170,舱,campamento,nouns,0.59
2171,神经,cerebro,nouns,1.41
2172,追逐,seguir,verbs,3.26
2173,原子,carbón,nouns,0.88
2174,生日,año,nouns,1.11
2175,训斥,pedir,verbs,0.34
2176,巨大,tonto,adjectives,0.04
2177,货币,intercambio,nouns,1.3
2178,法官,magistrado,nouns,3.38
2179,草,musgo,nouns,1.87
2180,呛,respirar,verbs,0.57
2181,行李,circunnavegación,nouns,0.55
2182,冷静地,firmemente,adverbs,0.58
2183,没有覆蓋的,cubierto,adjectives,0.19
2184,领带,unir,verbs,0.6
2185,完美地,verdaderamente,adverbs,0.63
2186,说话,reconocer,verbs,0.68
2187,洗手间,cocina,nouns,0.39
2188,埋葬,morir,verbs,1.54
2189,有意义地,especialmente,adverbs,2.8
2190,国会,parlamento,nouns,3.17
2191,香槟酒,cerveza,nouns,1.88
2192,不道德,ilegal,adjectives,1.84
2193,熔化,disolver,verbs,3.16
2194,清醒,roncar,verbs,0.28
2195,蝴蝶,rosa,nouns,0.43
2196,婴儿,hija,nouns,2.81
2197,恶意软件,gusano,nouns,1.1
2198,符号,código,nouns,2.6
2199,给予,pedir prestado,verbs,1.68
2200,撤退,salir,verbs,3.17
2201,导演,cinematografía,nouns,1.64
2202,做,ganar,verbs,0.43
2203,因式分解,descomposición,nouns,1.97
2204,证明,discutir,verbs,1.17
2205,芝士,un pan,nouns,0.34
2206,阳光,rayo,nouns,1.29
2207,屋顶,piso,nouns,0.55
2208,选择,vena,nouns,0.04
2209,大致,obviamente,adverbs,0.68
2210,铝,metal,nouns,2.35
2211,侄子,tía,nouns,0.43
2212,承认,negar,verbs,0.28
2213,出席,reunir,verbs,0.73
2214,戏法,juego,nouns,1.32
2215,盐,agua,nouns,0.38
2216,目标,ganador,nouns,0.35
2217,女人,esposa,nouns,3.0
2218,妻子,cañita,nouns,0.24
2219,停,conducir,verbs,0.34
2220,危险地,cuidadosamente,adverbs,0.33
2221,衣服,tela,nouns,2.38
2222,飑,viento,nouns,2.11
2223,玫瑰,mariposa,nouns,0.43
2224,小麦,cereal,nouns,2.58
2225,篱笆,carril,nouns,0.4
2226,滴,verter,verbs,1.17
2227,拖着脚走,montar,verbs,0.3
2228,聚集,asistir,verbs,0.73
2229,静脉,elección,nouns,0.04
2230,目前,delicadamente,adverbs,0.0
2231,软管,coche,nouns,0.2
2232,线,ovillo,nouns,1.77
2233,草原,prado,nouns,4.21
2234,年轻,inquieto,adjectives,0.1
2235,大多,principalmente,adverbs,4.35
2236,公开地,macizamente,adverbs,0.6
2237,射线,sol,nouns,1.29
2238,想,preguntar,verbs,0.44
2239,派对,máscara,nouns,0.24
2240,英雄,heroína,nouns,3.5
2241,珍贵,sagrado,adjectives,1.73
2242,笼子,bar,nouns,1.01
2243,女人,pantalones,nouns,0.2
2244,打扰,interrumpir,verbs,3.51
