ID,ENG,FIN,PoS,score
1462,raise,nostaa,verbs,4.78
1463,sunset,auringonnousu,nouns,0.87
1464,renounce,tukahduttaa,verbs,0.65
1465,portray,teeskennellä,verbs,0.66
1466,top,pohja,nouns,0.35
1467,impression,uskomus,nouns,1.96
1468,waist,vatsa,nouns,2.31
1469,accept,evätä,verbs,0.24
1470,lately,hiljattain,adverbs,4.72
1471,peace,onnellisuus,nouns,1.61
1472,hip,huuli,nouns,0.69
1473,shelter,maja,nouns,1.86
1474,confuse,oppia,verbs,0.0
1475,brainstorming,teleskooppi,nouns,0.0
1476,story,laulu,nouns,0.41
1477,metal,alumiini,nouns,2.31
1478,hut,kämppä,nouns,3.13
1479,coffee,papu,nouns,0.65
1480,emotionally,surullisesti,adverbs,1.98
1481,accuse,valehdella,verbs,0.13
1482,frigid,särkyvä,adjectives,0.15
1483,frame,hitti,nouns,0.0
1484,magma,tulivuori,nouns,1.1
1485,artwork,taiteilija,nouns,0.83
1486,sword,ympäristö,nouns,0.0
1487,learn,hämätä,verbs,0.0
1488,pray,kysyä,verbs,1.04
1489,agreement,kiista,nouns,0.24
1490,precious,pyhä,adjectives,2.76
1491,galaxy,astronomi,nouns,0.62
1492,task,pilli,nouns,0.0
1493,aviation,lento,nouns,2.76
1494,hand,jalkaterä,nouns,1.2
1495,realistically,hiljattain,adverbs,0.0
1496,language,viestintä,nouns,2.04
1497,liquor,viini,nouns,1.96
1498,window,pilvi,nouns,0.0
1499,writer,romaani,nouns,0.51
1500,bed,tuoli,nouns,0.87
1501,climb,patikoida,verbs,2.23
1502,smash,hävittää,verbs,2.79
1503,building,huone,nouns,0.96
1504,canyon,laakso,nouns,4.03
1505,teach,rangaista,verbs,0.35
1506,testify,tuomita,verbs,0.59
1507,flexible,löysä,adjectives,1.4
1508,parsley,muffini,nouns,0.2
1509,funny,vakava,adjectives,0.25
1510,leave,ilmestyä,verbs,0.04
1511,formula,tukki,nouns,0.07
1512,door,käytävä,nouns,0.34
1513,flute,musiikki,nouns,1.0
1514,punish,osua,verbs,0.46
1515,sincerely,yleensä,adverbs,0.0
1516,film,teatteri,nouns,1.25
1517,maple,tammi,nouns,1.52
1518,month,elokuu,nouns,2.35
1519,distance,näkökulma,nouns,0.74
1520,lover,kumppani,nouns,2.33
1521,stop,kuljettaa,verbs,0.1
1522,arrange,organisoida,verbs,5.24
1523,receive,lähettää,verbs,0.24
1524,cloud,sumu,nouns,2.67
1525,fur,ase,nouns,0.0
1526,victor,mies,nouns,0.46
1527,justify,todentaa,verbs,1.35
1528,mix,kypsentää,verbs,0.51
1529,feasible,mahdoton,adjectives,0.24
1530,buy,maksaa,verbs,2.05
1531,linen,kangas,nouns,2.03
1532,kidnap,varastaa,verbs,2.08
1533,hug,pidellä,verbs,1.8
1534,find,karata,verbs,0.2
1535,fabric,pellava,nouns,2.03
1536,court,tuomari,nouns,1.15
1537,doorway,ovi,nouns,2.66
1538,try,vakuuttaa ,verbs,0.27
1539,apple,mehu,nouns,0.73
1540,participate,sanoa,verbs,0.41
1541,receive,saavuttaa,verbs,0.39
1542,worker,mekaanikko,nouns,2.26
1543,hen,kalkkuna,nouns,1.57
1544,room,sänky,nouns,0.64
1545,self,itseluottamus,nouns,1.16
1546,young,levoton,adjectives,0.14
1547,bad,hirveä,adjectives,4.19
1548,car,hissi,nouns,0.09
1549,stone,puumateriaali,nouns,0.39
1550,guardian,äiti,nouns,2.47
1551,bad,moraaliton,adjectives,3.46
1552,effort,vaikeus,nouns,2.66
1553,humiliate,lohduttaa,verbs,0.04
1554,mostly,syvästi,adverbs,0.45
1555,nice,antelias,adjectives,1.07
1556,sometimes,milloin tahansa,adverbs,0.82
1557,marijuana,yrtti,nouns,2.04
1558,mainly,terminaalisesti,adverbs,0.19
1559,forget,säilyttää,verbs,0.05
1560,receive,saada kiinni,verbs,1.54
1561,lose,epäonnistua,verbs,1.64
1562,cook,sekoittaa,verbs,0.51
1563,persuade,kiistellä,verbs,1.42
1564,cloud,usva,nouns,2.69
1565,skiing,lumilauta,nouns,1.02
1566,word,sivu,nouns,0.42
1567,age,kauneus,nouns,0.17
1568,hand,kynsi,nouns,0.99
1569,insecure,puutteenalainen,adjectives,0.89
1570,engine,kone,nouns,2.54
1571,band,kestävyys,nouns,0.0
1572,lift,hilata,verbs,3.2
1573,hospital,sänky,nouns,0.1
1574,plane,lentokenttä,nouns,0.69
1575,horse,orivarsa,nouns,3.0
1576,sing,nauraa,verbs,0.41
1577,become,valmistaa,verbs,0.27
1578,bar,putka,nouns,0.14
1579,want,valita,verbs,0.66
1580,acoustics,ääni,nouns,2.6
1581,justice,tuomioistuin,nouns,1.75
1582,charcoal,hiili,nouns,3.34
1583,island,tehtävä,nouns,0.0
1584,calmly,lujasti,adverbs,0.36
1585,guitar,rumpu,nouns,1.16
1586,bird,haukka,nouns,2.75
1587,cadence,rytmi,nouns,2.27
1588,accept,vastaanottaa,verbs,1.33
1589,star,asteroidi,nouns,1.62
1590,law,koulu,nouns,0.17
1591,athlete,juoksija,nouns,2.56
1592,blood,virus,nouns,0.66
1593,engage,naida,verbs,1.57
1594,shut,oksentaa,verbs,0.0
1595,steal,antaa,verbs,0.19
1596,seashore,ranta,nouns,3.92
1597,secularist,uskonto,nouns,0.41
1598,explain,todistaa,verbs,2.25
1599,weird,omituinen,adjectives,5.08
1600,boy,partneri,nouns,0.53
1601,chair,sohva,nouns,2.5
1602,incredible,tavallinen,adjectives,0.24
1603,partner,poika,nouns,0.53
1604,wealth,köyhyys,nouns,0.41
1605,horse,tamma,nouns,3.23
1606,cliff,mäki,nouns,1.32
1607,uncovered,peitetty,adjectives,0.24
1608,bottle,säilytysastia,nouns,2.3
1609,blanket,sänky,nouns,0.61
1610,jar,kuppi,nouns,2.29
1611,persuade,tavoitella,verbs,0.39
1612,coat,vaatteet,nouns,1.92
1613,ballad,laulu,nouns,3.8
1614,belief,vaikutelma,nouns,1.96
1615,wrist,käsi,nouns,1.8
1616,hold,halata,verbs,1.8
1617,funny,surullinen,adjectives,0.32
1618,diet,salaatti,nouns,0.98
1619,beautifully,elegantisti,adverbs,3.76
1620,reburial,hauta,nouns,0.76
1621,chapter,yö,nouns,0.0
1622,odd,kummallinen,adjectives,5.24
1623,brandy,viini,nouns,1.49
1624,people,sentti,nouns,0.05
1625,melody,rytmi,nouns,1.58
1626,forgive,hyväksyä,verbs,1.25
1627,old,uusi,adjectives,0.24
1628,cab,taksi,nouns,5.39
1629,body,olkapää,nouns,0.79
1630,plane,arkki,nouns,0.0
1631,dusk,ilta,nouns,3.84
1632,travel,mennä,verbs,2.72
1633,word,fraasi,nouns,1.56
1634,wander,jättää,verbs,0.12
1635,needy,epävarma,adjectives,0.89
1636,chief,pormestari,nouns,1.79
1637,officially,merkittävästi,adverbs,1.3
1638,episode,kappale,nouns,2.91
1639,prejudice,sovinisti,nouns,0.95
1640,reality,fantasia,nouns,0.39
1641,corruption,petos,nouns,2.88
1642,nail,peukalo,nouns,1.23
1643,choir,kirkko,nouns,0.49
1644,attend,lähettää,verbs,0.15
1645,cell,huone,nouns,1.42
1646,bottom,huippu,nouns,0.35
1647,cloud,myrsky,nouns,0.72
1648,fully,pohjimmiltaan,adverbs,0.74
1649,army,legioona,nouns,2.92
1650,page,kohta,nouns,0.54
1651,blame,moittia,verbs,4.13
1652,offender,rikollinen,nouns,4.74
1653,pour,tippua,verbs,1.04
1654,cherry,mansikka,nouns,1.14
1655,argue,suostutella,verbs,1.42
1656,keep,vaalia,verbs,1.6
1657,finger,palmu,nouns,0.34
1658,car,katu,nouns,0.58
1659,rude,kriittinen,adjectives,0.77
1660,mathematician,näytös,nouns,0.0
1661,prosecutor,lakimies,nouns,3.0
1662,door,veljeskunta,nouns,0.0
1663,constitution,senaatti,nouns,0.41
1664,sculpture,patsas,nouns,5.16
1665,danger,tauti,nouns,0.3
1666,spirit,jumala,nouns,2.25
1667,angel,demoni,nouns,0.52
1668,wife,kylpy,nouns,0.0
1669,tool,työ,nouns,0.38
1670,banker,lakimies,nouns,0.82
1671,sick,hullu,adjectives,0.96
1672,wife,pilli,nouns,0.0
1673,accept,toimittaa,verbs,0.0
1674,artificial,epäaito,adjectives,4.78
1675,arm,laskimo,nouns,0.29
1676,generous,ystävällinen,adjectives,1.41
1677,mist,pilvi,nouns,2.69
1678,curved,suora,adjectives,0.33
1679,clothed,peitetty,adjectives,2.67
1680,unite,jakaa,verbs,0.34
1681,absence,läsnäolo,nouns,0.32
1682,entropy,tieto,nouns,0.48
1683,liquor,vuosisata,nouns,0.0
1684,rely,epäonnistua,verbs,0.1
1685,passively,luotettavasti,adverbs,0.05
1686,wire,johto,nouns,3.76
1687,fame,varallisuus,nouns,0.92
1688,multiply,jakaa,verbs,0.76
1689,box,lähde,nouns,0.0
1690,possibly,todennäköisesti,adverbs,3.04
1691,announce,julistaa,verbs,4.78
1692,summer,talvi,nouns,0.74
1693,truck,paketti,nouns,0.05
1694,zero,ikuisuus,nouns,0.36
1695,swim,tavata,verbs,0.27
1696,world,maapallo,nouns,4.05
1697,globalism,viisumi,nouns,0.44
1698,oasis,vapaus,nouns,0.15
1699,clean,sotkuinen,adjectives,0.24
1700,mainboard,emolevy,nouns,3.34
1701,lip,suu,nouns,1.77
1702,cooperate,liittyä,verbs,1.54
1703,scared,epävarma,adjectives,0.88
1704,dinner,aamiainen,nouns,1.21
1705,cinema,paukkumaissi,nouns,0.32
1706,humbly,huonosti,adverbs,0.24
1707,oil,minkki,nouns,0.1
1708,word,sanakirja,nouns,0.99
1709,illness,kuume,nouns,2.57
1710,beef,karja,nouns,2.94
1711,satisfy,miellyttää,verbs,2.96
1712,piano,harmonia,nouns,0.46
1713,flee,karata,verbs,5.14
1714,withdraw,torjua,verbs,1.2
1715,recently,realistisesti,adverbs,0.0
1716,food,ohjelma,nouns,0.0
1717,mouse,rotta,nouns,2.81
1718,father,tytär,nouns,0.63
1719,doctor,professori,nouns,2.27
1720,electricity,tapaus,nouns,0.0
1721,proud,surullinen,adjectives,0.0
1722,fur,minkki,nouns,2.06
1723,reheat,esilämmitys,nouns,1.13
1724,target,nuoli,nouns,0.24
1725,bed,seimi,nouns,2.7
1726,wood,peitto,nouns,0.0
1727,irritate,suututtaa,verbs,4.11
1728,immature,vastuuton,adjectives,2.5
1729,book,tarina,nouns,1.61
1730,irregularly,yleensä,adverbs,0.36
1731,lifestyle,sivilisaatio,nouns,0.71
1732,congress,parlamentti,nouns,3.41
1733,inexpensive,halpa,adjectives,5.03
1734,salute,suorittaa,verbs,0.15
1735,gun,aamunkoitto,nouns,0.0
1736,evening,auringonlasku,nouns,1.61
1737,covered,vaatetettu,adjectives,2.67
1738,take,jättää,verbs,0.44
1739,clever,tyhmä,adjectives,0.24
1740,television,elokuvateatteri,nouns,1.09
1741,population,ihmiset,nouns,3.02
1742,house,asunto,nouns,3.17
1743,give,kiistää,verbs,0.0
1744,kitchen,kylpyhuone,nouns,0.92
1745,menu,järjestys,nouns,0.36
1746,find,paikantaa,verbs,4.88
1747,deck,lattia,nouns,1.54
1748,agony,suru,nouns,3.13
1749,gun,muistikirja,nouns,0.0
1750,soldier,poika,nouns,0.64
1751,god,isä,nouns,0.54
1752,laugh,laulaa,verbs,0.41
1753,mud,lika,nouns,3.04
1754,bold,ylpeä,adjectives,1.14
1755,meteor,painovoima,nouns,0.22
1756,leader,manageri,nouns,3.2
1757,marginally,kovakouraisesti,adverbs,0.51
1758,water,kuivuus,nouns,0.19
1759,gun,ihmiset,nouns,0.0
1760,disintegrate,kuolla,verbs,0.71
1761,harm,kipu,nouns,2.16
1762,circumnavigation,matkatavarat,nouns,0.22
1763,subtract,kadottaa,verbs,1.52
1764,take,omistaa,verbs,1.46
1765,understand,tietää,verbs,3.05
1766,tie,pujotella,verbs,1.51
1767,before,jälkeen,adverbs,0.24
1768,bedroom,vatsa,nouns,0.0
1769,understand,kuunnella,verbs,1.34
1770,long,kapea,adjectives,0.51
1771,blister,kuvitus,nouns,0.0
1772,ball,hanska,nouns,0.37
1773,tooth,suu,nouns,1.32
1774,liquor,yhtye,nouns,0.0
1775,king,prinsessa,nouns,1.14
1776,word,vihje,nouns,0.1
1777,poverty,varallisuus,nouns,0.41
1778,cinnamon,makeinen,nouns,0.32
1779,river,puro,nouns,3.21
1780,go,tulla sisään,verbs,1.29
1781,nihilism,elokuva,nouns,0.0
1782,defend,tappaa,verbs,0.35
1783,destroy,luoda,verbs,0.24
1784,suffix,affiksi,nouns,2.26
1785,teacher,rabbi,nouns,2.06
1786,secretly,itsevarmasti,adverbs,0.32
1787,simple,helppo,adjectives,4.56
1788,catastrophe,kuolema,nouns,0.84
1789,camera,linssi,nouns,1.25
1790,trick,koko,nouns,0.0
1791,cat,leijona,nouns,2.08
1792,crowd,paraati,nouns,1.77
1793,big,kansallinen,adjectives,0.22
1794,cop,lentoperämies,nouns,0.49
1795,cabin,maja,nouns,3.13
1796,grasp,ymmärtää,verbs,4.49
1797,hero,sankaritar,nouns,3.51
1798,naturally,epäluonnollisesti,adverbs,0.24
1799,run,ajaa,verbs,0.64
1800,bread,jauho,nouns,1.04
1801,enter,jättää,verbs,0.04
1802,car,polkupyörä,nouns,0.9
1803,repress,luopua,verbs,0.65
1804,think,yrittää,verbs,0.15
1805,furniture,sänky,nouns,1.69
1806,analyze,verrata,verbs,2.32
1807,new,käyttämätön,adjectives,4.67
1808,robotics,simulaatio,nouns,0.85
1809,dominate,voittaa,verbs,1.41
1810,carbohydrate,sakkaroosi,nouns,2.38
1811,sandwich,liha,nouns,0.57
1812,queen,mehiläinen,nouns,0.74
1813,river,meri,nouns,1.39
1814,instrument,viulu,nouns,2.09
1815,weave,sitoa,verbs,1.51
1816,volleyball,pallo,nouns,2.29
1817,appoint,valita,verbs,3.37
1818,hear,havaita,verbs,1.79
1819,herb,marihuana,nouns,2.04
1820,honor,kunnioitus,nouns,2.88
1821,discourage,epäonnistua,verbs,0.61
1822,elevator,laatikko,nouns,0.04
1823,hostility,aggressio,nouns,4.69
1824,bowling,keilaaja,nouns,1.48
1825,couch,pesäpallo,nouns,0.25
1826,democracy,monarkia,nouns,1.26
1827,illusion,todellisuus,nouns,0.32
1828,assume,ennustaa,verbs,0.77
1829,upset,häpeissään oleva,adjectives,0.69
1830,agree,olla erilainen,verbs,0.04
1831,borrow,haluta,verbs,0.4
1832,learn,arvioida,verbs,0.72
1833,plead,miellyttää,verbs,0.56
1834,candy,omena,nouns,0.19
1835,boss,ohjaaja,nouns,2.69
1836,teacher,opiskelija,nouns,0.71
1837,drink,korottaa,verbs,0.0
1838,vampire,lepakko,nouns,1.02
1839,disk,laturi,nouns,0.17
1840,aunt,veljenpoika,nouns,0.52
1841,mechanical,sähköinen,adjectives,0.82
1842,nerve,suoli,nouns,0.99
1843,diet,omena,nouns,0.54
1844,airport,pala,nouns,0.0
1845,fashion,tyyli,nouns,4.0
1846,drench,supistaa,verbs,0.0
1847,champagne,olut,nouns,1.1
1848,north,etelä,nouns,0.91
1849,participate,tehdä yhteistyötä,verbs,2.69
1850,flag,tanko,nouns,0.51
1851,ashamed,järkyttynyt,adjectives,0.69
1852,devious,epäluotettava,adjectives,4.02
1853,tea,sitruuna,nouns,0.29
1854,roughly,helposti,adverbs,0.15
1855,bed,makuuhuone,nouns,1.02
1856,football,futis,nouns,5.67
1857,recommend,neuvoa,verbs,3.87
1858,destroy,säästää,verbs,0.2
1859,sip,nieleksiä,verbs,2.08
1860,couch,sänky,nouns,0.61
1861,meet,uida,verbs,0.27
1862,tragedy,kuolema,nouns,1.37
1863,punch,nipistää,verbs,0.77
1864,television,viestintä,nouns,0.79
1865,paper,pahvi,nouns,2.95
1866,affix,suffiksi,nouns,2.26
1867,spine,niska,nouns,1.37
1868,emperor,kuvernööri,nouns,1.44
1869,proudly,rauhanomaisesti,adverbs,0.15
1870,save,kuluttaa,verbs,0.29
1871,conquest,taistelu,nouns,2.12
1872,intelligence,viisaus,nouns,3.83
1873,bone,leuka,nouns,0.97
1874,wood,tukki,nouns,2.94
1875,milkshake,mehu,nouns,1.04
1876,smash,romahtaa,verbs,1.64
1877,perhaps,todennäköisesti,adverbs,2.91
1878,brother,poika,nouns,2.04
1879,wisdom,älykkyys,nouns,3.83
1880,laugh,itkeä,verbs,0.24
1881,save,hukkua ,verbs,0.05
1882,shoulder,pää,nouns,0.91
1883,payment,palkinto,nouns,2.44
1884,energy,paristo,nouns,1.47
1885,wood,paperi,nouns,1.21
1886,straw,tehtävä,nouns,0.0
1887,childish,houkkamainen,adjectives,1.44
1888,thread,lanka,nouns,3.51
1889,drought,vesi,nouns,0.19
1890,twice,aina,adverbs,0.48
1891,woman,mies,nouns,0.6
1892,storm,hurrikaani,nouns,3.41
1893,valley,joki,nouns,0.77
1894,locally,tarkasti,adverbs,2.52
1895,search,tiedustella,verbs,2.3
1896,accept,tunnustaa,verbs,2.86
1897,student,oppilas,nouns,5.45
1898,car,vene,nouns,0.72
1899,helpless,haavoittuvainen,adjectives,3.85
1900,gin,viski,nouns,1.6
1901,generously,ei koskaan,adverbs,0.05
1902,ignore,kysyä,verbs,0.0
1903,infection,tauti,nouns,3.37
1904,car,moottoritie,nouns,0.45
1905,lunch,voileipä,nouns,1.69
1906,water,kruunajaiset,nouns,0.0
1907,dad,äiti,nouns,1.3
1908,actress,näyttelijä,nouns,4.2
1909,achieve,vastaanottaa,verbs,0.39
1910,put,roikkua,verbs,0.43
1911,rude,raaka,adjectives,1.41
1912,task,saari,nouns,0.0
1913,skill,älykkyys,nouns,1.83
1914,sell,muistuttaa,verbs,0.0
1915,meat,leipä,nouns,0.49
1916,wall,linna,nouns,0.36
1917,choice,vankila,nouns,0.0
1918,racket,pallo,nouns,0.65
1919,nose,pää,nouns,0.84
1920,remind,myydä,verbs,0.0
1921,earn,olla arvoinen,verbs,3.17
1922,circumcision,esinahka,nouns,0.84
1923,search,löytää,verbs,1.86
1924,class,korkeakoulu,nouns,0.56
1925,hurt,härnätä,verbs,0.46
1926,diamond,raha,nouns,0.35
1927,wrong,täsmällinen,adjectives,0.05
1928,people,ilmapallo,nouns,0.0
1929,statue,veistos,nouns,5.16
1930,reef,ranta,nouns,0.84
1931,bike,iho,nouns,0.0
1932,calmly,rauhanomaisesti,adverbs,4.15
1933,sharp,sileä,adjectives,0.15
1934,kitchen,ovi,nouns,0.19
1935,basilica,mosaiikki,nouns,0.44
1936,neck,käsivarsi,nouns,0.59
1937,hole,vaimo,nouns,0.0
1938,flexible,suuri,adjectives,0.2
1939,rude,aggressiivinen,adjectives,1.91
1940,shore,rannikkoalue,nouns,4.47
1941,philosopher,kilpaileminen,nouns,0.0
1942,sunshine,omena,nouns,0.0
1943,author,lukija,nouns,0.86
1944,magnitude,syvyys,nouns,1.92
1945,fraternity,pesäpallo,nouns,0.0
1946,racism,ksenofobia,nouns,4.16
1947,speak,kuiskata,verbs,2.17
1948,abnormally,normaalisti,adverbs,0.24
1949,easy,haavoittuvainen,adjectives,0.39
1950,clue,sana,nouns,0.1
1951,weird,normaali,adjectives,0.24
1952,sheep,karja,nouns,2.02
1953,escape,paeta,verbs,5.14
1954,recommend,hyväksyä,verbs,0.6
1955,tedious,turvattu,adjectives,0.09
1956,violent,pehmeä,adjectives,0.1
1957,fox,ajokoira,nouns,1.14
1958,people,ase,nouns,0.0
1959,bee,kuningatar,nouns,0.74
1960,cab,auto,nouns,3.03
1961,equation,kaava,nouns,3.94
1962,nervous,pelästynyt,adjectives,2.34
1963,airport,lentokone,nouns,0.69
1964,argue,vakuuttaa,verbs,1.16
1965,never,rehellisesti,adverbs,0.0
1966,participate,liittyä,verbs,2.87
1967,biologist,mikroskooppi,nouns,0.28
1968,copilot,ohjaamo,nouns,0.36
1969,temper,tohtori,nouns,0.0
1970,scholarship,lukukausimaksu,nouns,0.59
1971,discover,tajuta,verbs,3.49
1972,wood,kivi,nouns,0.39
1973,weird,kummallinen,adjectives,5.42
1974,esteem,kunnia,nouns,2.88
1975,wife,aviomies,nouns,1.42
1976,instantly,kerran,adverbs,0.48
1977,song,esiintyjä,nouns,0.59
1978,bed,huone,nouns,0.64
1979,sweater,puuvilla,nouns,0.66
1980,incoming,ulospäinsuuntautunut,adjectives,0.19
1981,union,summa,nouns,0.44
1982,jar,pullo,nouns,2.8
1983,known,hyvin,adjectives,0.27
1984,accept,kiistää,verbs,0.24
1985,topic,tarina,nouns,0.95
1986,depression,laakso,nouns,0.5
1987,profession,korkeakoulu,nouns,0.39
1988,fur,nainen,nouns,0.0
1989,dukedom,prinssikunta,nouns,2.13
1990,cook,paistaa,verbs,3.05
1991,matrix,molekyyli,nouns,0.04
1992,succeed,yrittää,verbs,0.83
1993,practice,toistaa,verbs,2.27
1994,horn,auto,nouns,0.46
1995,passion,tunne,nouns,2.76
1996,short,pitkä,adjectives,0.24
1997,car,mittari,nouns,0.2
1998,physician,tohtori,nouns,4.89
1999,book,aihe,nouns,0.38
2000,messy,ruma,adjectives,0.77
2001,cry,nauraa,verbs,0.24
2002,boat,puu,nouns,0.25
2003,apparently,ilmiselvästi,adverbs,3.84
2004,confusion,hysteria,nouns,1.61
2005,maize,maissi,nouns,5.21
2006,prophet,pappi,nouns,1.31
2007,rain,usva,nouns,1.79
2008,hand,ranne,nouns,1.8
2009,juice,maito,nouns,1.01
2010,withdraw,imeä itseensä,verbs,0.35
2011,mad,onneton,adjectives,1.02
2012,night,kappale,nouns,0.0
2013,floor,sisäkatto,nouns,0.77
2014,adult,huoltaja,nouns,1.97
2015,teeth,vasara,nouns,0.0
2016,assume,teeskennellä,verbs,0.73
2017,basket,pallo,nouns,0.15
2018,opinion,uskomus,nouns,3.46
2019,die,hajota,verbs,0.71
2020,ceiling,lattia,nouns,0.77
2021,brother,sielu,nouns,0.0
2022,person,hahmo,nouns,3.12
2023,intimate,henkilökohtainen,adjectives,3.89
2024,dinner,keitto,nouns,1.39
2025,rhythm,melodia,nouns,1.58
2026,reflection,kuva,nouns,1.86
2027,program,ruoka,nouns,0.0
2028,leave,odottaa,verbs,0.15
2029,vacate,häätää,verbs,1.79
2030,cover,suojella,verbs,2.19
2031,strength,kestävyys,nouns,3.42
2032,cloud,järvi,nouns,0.15
2033,give,laittaa,verbs,0.6
2034,falcon,kotka,nouns,2.54
2035,ice,lumi,nouns,2.96
2036,dirt,muta,nouns,3.04
2037,attack,rikos,nouns,0.94
2038,scientist,sairaanhoitaja,nouns,0.32
2039,disease,infektio,nouns,3.37
2040,come,mennä,verbs,0.76
2041,ruler,kuningas,nouns,3.58
2042,violent,radikaali,adjectives,1.06
2043,firmly,rauhallisesti,adverbs,0.36
2044,floor,ovi,nouns,0.49
2045,decompose,tuhota,verbs,0.91
2046,topic,risuaita,nouns,0.64
2047,elect,nimittää,verbs,3.37
2048,editorial,uutiset,nouns,1.71
2049,cook,menettää,verbs,0.0
2050,terminally,eri tavalla,adverbs,0.14
2051,arrow,kohde,nouns,0.24
2052,seed,mylly,nouns,0.27
2053,modest,puhdashenkinen,adjectives,0.57
2054,princedom,herttuakunta,nouns,2.13
2055,charge,halveksia,verbs,0.0
2056,calm,neutraali,adjectives,1.26
2057,incredibly,suuresti,adverbs,1.87
2058,base,happo,nouns,0.27
2059,happy,iloinen,adjectives,4.53
2060,vulnerable,avuton,adjectives,3.85
2061,easy,iso,adjectives,0.0
2062,pesticide,tuhoeläin,nouns,0.61
2063,dress,tanssi,nouns,0.1
2064,violet,kukka,nouns,2.25
2065,hurricane,myrsky,nouns,3.41
2066,arm,ranne,nouns,1.72
2067,ashamed,vaatimaton,adjectives,0.32
2068,discourage,turhauttaa,verbs,2.04
2069,threat,vaara,nouns,5.08
2070,narrow,pitkä,adjectives,0.51
2071,president,kamera,nouns,0.0
2072,person,eläin,nouns,0.51
2073,bubble,saippuavaahto,nouns,2.69
2074,tree,vene,nouns,0.25
2075,stupid,herkkäuskoinen,adjectives,2.19
2076,beach,merenranta,nouns,3.92
2077,dumb,fiksu,adjectives,0.24
2078,roughly,karkeasti,adverbs,4.02
2079,salad,etikka,nouns,0.24
2080,laptop,muistikirja,nouns,0.86
2081,bite,taistella,verbs,0.84
2082,disguise,peittää,verbs,2.69
2083,rice,papu,nouns,0.98
2084,wide,tuore,adjectives,0.0
2085,sword,valtaistuin,nouns,0.13
2086,sly,rankka,adjectives,0.0
2087,top,viides,adjectives,0.05
2088,nerve,vartalo,nouns,0.5
2089,couple,pari,nouns,5.07
2090,sad,ylpeä,adjectives,0.0
2091,remember,ajatella,verbs,0.93
2092,prove,selittää,verbs,2.25
2093,worker,työnantaja,nouns,1.79
2094,tunnel,polku,nouns,0.52
2095,regularly,satunnaisesti,adverbs,0.81
2096,card,silta,nouns,0.0
2097,clarify,selittää,verbs,4.54
2098,critical,töykeä,adjectives,0.77
2099,chapter,häntä,nouns,0.0
2100,deadly,onnellisesti,adverbs,0.0
2101,cinematography,ohjaaja,nouns,0.82
2102,priest,profeetta,nouns,1.31
2103,flexible,helppo,adjectives,1.43
2104,choke,hengittää,verbs,0.25
2105,print,sivuuttaa,verbs,0.0
2106,organize,tulla,verbs,0.0
2107,assist,tukea,verbs,4.86
2108,screen,monitori,nouns,4.68
2109,book,onnettomuus,nouns,0.0
2110,gathering,kokous,nouns,4.17
2111,newspaper,tieto,nouns,1.01
2112,beer,juoma,nouns,2.2
2113,horse,koira,nouns,0.88
2114,splash,viskositeetti,nouns,0.45
2115,scare,kummitella,verbs,1.89
2116,soldier,rauha,nouns,0.1
2117,house,avain,nouns,0.32
2118,zinc,kulta,nouns,1.06
2119,burial,kuolema,nouns,1.17
2120,dictionary,sana,nouns,0.99
2121,paragraph,sivu,nouns,0.54
2122,ask,sivuuttaa,verbs,0.0
2123,civilization,elämäntapa,nouns,0.71
2124,cottage,kämppä,nouns,3.39
2125,foreclose,pyrkiä,verbs,0.0
2126,dirty,halpa,adjectives,0.14
2127,censorship,esteettömyys,nouns,0.17
2128,know,antaa,verbs,0.19
2129,concurrency,valuutta,nouns,0.04
2130,reality,illuusio,nouns,0.32
2131,lung,maksa,nouns,1.15
2132,belligerence,taistelu,nouns,1.86
2133,jail,valinta,nouns,0.0
2134,computer,levy,nouns,0.54
2135,season,talvi,nouns,1.56
2136,ceiling,kadetraali,nouns,0.05
2137,day,aamu,nouns,2.0
2138,sea,valtameri,nouns,4.83
2139,mainly,enimmäkseen,adverbs,4.64
2140,fly,muurahainen,nouns,1.11
2141,shrink,hävitä,verbs,1.34
2142,lucky,häpeissään oleva,adjectives,0.05
2143,pay,kohdella,verbs,0.19
2144,beat,ruoskia,verbs,3.19
2145,illustration,rakko,nouns,0.0
2146,campaign,apina,nouns,0.0
2147,convince,kiistellä,verbs,1.16
2148,conversation,viestintä,nouns,3.36
2149,rat,hiiri,nouns,2.81
2150,deserve,ansaita,verbs,3.17
2151,officer,sijainen,nouns,1.15
2152,way,käytös,nouns,2.92
2153,lazy,kallisarvoinen,adjectives,0.0
2154,hate,nauttia,verbs,0.15
2155,tightly,uskomattomasti,adverbs,0.1
2156,guy,tyttö,nouns,0.89
2157,perfectly,todella,adverbs,1.65
2158,ball,maila,nouns,0.65
2159,weekend,rotu,nouns,0.0
2160,lamb,lammas,nouns,4.42
2161,side,huippu,nouns,0.41
2162,discussion,kiista,nouns,1.84
2163,sell,lainata,verbs,0.19
2164,spoon,kuppi,nouns,0.94
2165,probably,ehkäpä,adverbs,2.91
2166,rain,tihkusade,nouns,3.67
2167,strategist,juonittelija,nouns,2.8
2168,appear,jättää,verbs,0.04
2169,therapy,behaviorismi,nouns,0.77
2170,gather,osallistua,verbs,1.27
2171,celebrate,yllättää,verbs,0.19
2172,job,johtokunta,nouns,0.82
2173,remain,jättää,verbs,0.67
2174,unused,uusi,adjectives,4.67
