ID,FIN,SWA,PoS,score
1339,passiivinen,kupooza,adjectives,0.1
1340,sade,mvua,nouns,3.25
1341,pujotella,kufuma,verbs,0.65
1342,jättää,enda,verbs,0.75
1343,vaimo,mama,nouns,2.2
1344,saari,ufuko,nouns,0.8
1345,lentokenttä,uwanja wa ndege,nouns,0.0
1346,solu,gerezani,nouns,0.75
1347,onnellisuus,furaha,nouns,0.3
1348,sitoumus,uchumba,nouns,0.75
1349,metri,inchi,nouns,1.9
1350,imeä itseensä,kumiliki,verbs,0.15
1351,kuningas,mtoto wa mfalme,nouns,2.2
1352,likainen,rahisi,adjectives,0.15
1353,jää,barafu,nouns,3.4
1354,mahtavasti,kwa kushangaza,adverbs,4.7
1355,tukea,kufadhili,verbs,4.65
1356,varma,ana kujiamini,adjectives,3.15
1357,moottori,injini,nouns,1.55
1358,tarpeellinen,sio wa lazima,adjectives,0.25
1359,joustava,rahisi,adjectives,0.5
1360,mehu,maziwa,nouns,1.0
1361,virkailija,ofisa,nouns,0.6
1362,luu,goti,nouns,0.85
1363,auttaja,mfanyakazi wa nyumbani,nouns,2.65
1364,kalkkuna,kuku,nouns,1.45
1365,kadottaa,kupata,verbs,0.15
1366,hiiri,chombo,nouns,0.0
1367,pesäpallo,undugu,nouns,0.0
1368,kohde,mshale,nouns,0.4
1369,mennä,kuruhusu,verbs,0.25
1370,poika,baba,nouns,0.95
1371,optimistisesti,kwa matuamini,adverbs,1.15
1372,tuoli,kitanda,nouns,0.9
1373,perustuslaki,katiba,nouns,0.5
1374,yrittää,kujaribu,verbs,0.15
1375,alue,kona,nouns,0.75
1376,olkapää,mkono,nouns,1.9
1377,vyötärö,chakula,nouns,0.05
1378,makuuhuone,kitanda,nouns,1.0
1379,taifuuni,dhoruba,nouns,4.8
1380,sotalaiva,meli ya vita,nouns,5.35
1381,vastaanottaa,kuchukua,verbs,3.4
1382,teoria,kanuni,nouns,2.65
1383,käsivarsi,kifundo,nouns,1.5
1384,sivuuttaa,kusahau,verbs,1.85
1385,ylpeys,furaha,nouns,0.95
1386,laaja,mwembamba,adjectives,0.2
1387,käsittää,kusoma,verbs,0.95
1388,siirrettävä,inayo hamishika,adjectives,0.7
1389,pelästynyt,ogopa,adjectives,2.75
1390,kuorma-auto,lori,nouns,3.55
1391,gini,kileo,nouns,2.65
1392,talo,fleti,nouns,3.7
1393,karata,kutoroka,verbs,4.9
1394,töykeä,jeuri,adjectives,1.45
1395,isä,mama,nouns,1.05
1396,lastattu,mzito,adjectives,1.6
1397,hunaja,sukari,nouns,2.25
1398,kortti,daraja,nouns,0.1
1399,myöntyä,kujipendekeza,verbs,0.5
1400,opiskelija,profesa,nouns,0.75
1401,oppilas,rais,nouns,0.25
1402,ahdistuneesti,kwa wasiwasi,adverbs,4.25
1403,yrittää,kufikiria,verbs,0.15
1404,melodia,pigo,nouns,1.0
1405,vene,meli,nouns,0.25
1406,ovi,sakafu,nouns,0.5
1407,keilaaja,bowler,nouns,2.1
1408,likainen,chafu,adjectives,0.0
1409,vesi,maji,nouns,0.17
1410,syvästi,kiundani,adverbs,0.5
1411,ryhmä,areyi,nouns,0.65
1412,antaa anteeksi,kukubali,verbs,1.0
1413,tarina,kitabu,nouns,1.7
1414,pikkuruinen,mkubwa mno,adjectives,0.25
1415,ihanteellisesti,walau,adverbs,0.3
1416,väkijuoma,bendi,nouns,0.05
1417,virsi,majani makavu,nouns,0.1
1418,elokuvaus,sinema,nouns,0.4
1419,liitto,umoja,nouns,1.0
1420,pilata,kuharibu,verbs,0.05
1421,tytär,mtoto mchanga,nouns,1.35
1422,tuoli,sofa,nouns,2.9
1423,laatikko,kibanda,nouns,0.1
1424,käsi,ukucha,nouns,1.05
1425,sentti,mke,nouns,0.0
1426,kehys,fremu,nouns,0.0
1427,mennä,kuenda,verbs,3.05
1428,sekularisti,mwanaisilamu,nouns,1.1
1429,kieltäminen,kukiri,nouns,0.25
1430,mieli,akili,nouns,0.85
1431,heikentyä,kuzorota,verbs,0.05
1432,kantaa,kuleta,verbs,2.05
1433,tehtävä,mwanamke,nouns,0.05
1434,varastaa,kuchukua,verbs,1.5
1435,sateenvarjo,mwavuli,nouns,0.0
1436,pelokas,wa wasiwasi,adjectives,3.55
1437,mehiläinen,malkia,nouns,0.5
1438,teoreema,nadharia,nouns,2.65
1439,vaalia,kuweka,verbs,2.45
1440,kiistellä,kujadili,verbs,0.35
1441,pitkäveteinen,kuboreka,adjectives,0.5
1442,illallinen,chakula,nouns,3.45
1443,turkki,ngozi,nouns,2.2
1444,myöntää,kukubali,verbs,0.3
1445,kuningatar,nyuki,nouns,0.5
1446,aukko,kufungua,nouns,3.2
1447,kiistellä,kulalamika,verbs,1.15
1448,pyhä,takatifu,adjectives,2.05
1449,rauhallisesti,kiutulivu,adverbs,0.55
1450,passiivisesti,pasipo tu,adverbs,0.35
1451,pienentää,kupungua,verbs,0.55
1452,rumpu,gitaa,nouns,2.1
1453,laskuoppi,mantiki,nouns,0.8
1454,lumilauta,ubao wa theluji,nouns,1.55
1455,demokratia,demokrasia,nouns,1.3
1456,sfääri,mviringo,nouns,1.65
1457,hengittää,kukaba,verbs,0.3
1458,ymmärtää,kuelewa,verbs,4.4
1459,todella,kweli,adverbs,1.6
1460,käyttäytyä,kutii,verbs,2.1
1461,pitää,kuazima,verbs,0.25
1462,ankkuri,boti,nouns,0.85
1463,vikkelä,wa kasi,adjectives,4.55
1464,putka,funga,nouns,0.75
1465,onnistua,kutimiza,verbs,3.2
1466,kauhea,mwenye huzuni,adjectives,0.6
1467,antaa anteeksi,samehea,verbs,4.7
1468,hedelmätarha,kiunga,nouns,0.0
1469,jäädä,kudumisha,verbs,0.45
1470,oppia,kusikiliza,verbs,0.4
1471,koditon,wasio na makazi,nouns,0.15
1472,näkökulma,mtazamo,nouns,0.05
1473,luoja,mtengenezaji,nouns,4.35
1474,unohtaa,kusamehe,verbs,0.7
1475,kalliojyrkänne,mkia,nouns,0.0
1476,laakso,mto,nouns,0.6
1477,suihku,shower,nouns,0.0
1478,henkiolento,jini,nouns,0.1
1479,laukku,pochi,nouns,4.25
1480,tietää,kusahau,verbs,0.2
1481,ottaa,kupokea,verbs,3.4
1482,valmistaa,kuharibu,verbs,0.25
1483,ikkuna,kifundo cha mguu,nouns,0.0
1484,niska,mfupa,nouns,0.95
1485,elokuvateatteri,sinema,nouns,0.82
1486,todellisuus,ndoto,nouns,0.25
1487,myöhemmin,baadae,adverbs,0.6
1488,moottoritie,barabara kuu,nouns,4.6
1489,kadota,kupotea,verbs,5.4
1490,hiiri,sitaha,nouns,0.0
1491,nokkela,mpumbavu,adjectives,0.3
1492,fiksu,mpumbavu,adjectives,0.25
1493,alkoholi,jini,nouns,2.65
1494,harvinainen,mpumbavu,adjectives,0.0
1495,hermostunut,wasiwasi,adjectives,2.75
1496,vyö,kitanzi,nouns,0.9
1497,auringonlasku,machweo,nouns,0.0
1498,balladi,wimbo,nouns,3.55
1499,valmistaja,muumbaji,nouns,4.35
1500,kylpyhuone,jiko,nouns,0.75
1501,unelma,ndoto,nouns,0.1
1502,julma,mwema,adjectives,0.15
1503,ruusu,waridi,nouns,0.2
1504,neuletakki,fulana,nouns,1.75
1505,opiskelija,mwanachuo,nouns,4.8
1506,uskoa,kuamini,verbs,1.0
1507,kuluttaa,kuokoa,verbs,0.45
1508,taivutus,inflection,nouns,0.75
1509,sumu,wingu,nouns,3.15
1510,synnintekijä,mtakatifu,nouns,0.25
1511,onnellisuus,amani,nouns,1.2
1512,tietty,uhakika,adjectives,0.0
1513,taimen,samaki,nouns,0.0
1514,nuori,isiyotulia,adjectives,0.2
1515,kastella,kulowesha,verbs,0.0
1516,vaarallisesti,kwa uhatari,adverbs,0.05
1517,sisäkatto,sakafu,nouns,0.75
1518,keskinkertainen,ya kawaida,adjectives,0.65
1519,matkia,kuonyesha,verbs,1.4
1520,kouluttaja,mwalimu,nouns,4.25
1521,lihas,mfupa,nouns,0.7
1522,majatalo,hosteli,nouns,3.25
1523,nainen,jukumu,nouns,0.05
1524,lumi,theluji,nouns,3.4
1525,juna,treni,nouns,2.1
1526,rako,uwazi,nouns,3.2
1527,silmä,chozi,nouns,1.15
1528,ase,mzinga,nouns,2.45
1529,päättää,kuchagua,verbs,2.5
1530,lippu,bendera,nouns,1.4
1531,surullinen,wa kuchekesha,adjectives,0.25
1532,kitara,ngoma,nouns,2.1
1533,sää,wingu,nouns,1.3
1534,poika,mtoto wa kiume,nouns,4.55
1535,pitää,kumiliki,verbs,1.05
1536,pestä,kuosha,verbs,3.45
1537,työntää,kusukuma,verbs,0.75
1538,mielipide,upendeleo,nouns,0.3
1539,raamattu,kitabu,nouns,2.65
1540,muistikirja,daftari,nouns,0.13
1541,miellyttää,kusihi,verbs,0.45
1542,ilmoittaa,kutambua,verbs,1.1
1543,pormestari,rais,nouns,1.3
1544,riemuvoitto,ushindi,nouns,3.35
1545,tahmea,natanata,adjectives,0.75
1546,lintu,kuku,nouns,3.15
1547,väkivaltainen,kigomvi,adjectives,0.1
1548,tyydyttää,kufahamu,verbs,0.05
1549,nopeus,mwendo,nouns,0.0
1550,realistisesti,kwelikweli,adverbs,0.0
1551,saada,kununua,verbs,0.7
1552,pelto,uwanja,nouns,0.35
1553,kuva,wazo,nouns,1.05
1554,kylpy,puto,nouns,0.05
1555,jättää,kufika,verbs,0.2
1556,mehu,juisi,nouns,0.1
1557,sänky,kiti,nouns,0.9
1558,heppu,patna,nouns,0.65
1559,osua,kupiga,verbs,0.0
1560,päästä,kujipatia,verbs,0.15
1561,syntaksi,sintaksia,nouns,0.9
1562,käsivarsi,shingo,nouns,0.7
1563,alue,mkoa,nouns,4.4
1564,vaimo,majani makavu,nouns,0.0
1565,ruokavalio,matofaa,nouns,0.4
1566,lintu,batamzinga,nouns,3.3
1567,lumi,dhoruba,nouns,0.6
1568,häätää,kufukuza,verbs,0.75
1569,hermostunut,kuoga,adjectives,0.0
1570,keitetty,chemshwa,adjectives,3.8
1571,puhdas,safi,adjectives,0.4
1572,pitää päällä,kuvaa,verbs,0.0
1573,piano,kinanda,nouns,0.35
1574,supistaa,kupungua,verbs,3.3
1575,kilpaileminen,mbio,nouns,0.0
1576,vetolaatikko,nguo,nouns,0.45
1577,nainen,mwanaume,nouns,0.7
1578,tukki,kanuni,nouns,0.0
1579,valinta,chaguo,nouns,2.65
1580,valmentaja,baseball,nouns,0.25
1581,tukahduttaa,kukandamiza,verbs,0.65
1582,moraaliton,haramu,adjectives,2.1
1583,globalismi,utandawazi,nouns,0.3
1584,kuorsata,kung'orota,verbs,0.2
1585,jakkara,kigoda,nouns,3.7
1586,myydä,kwenda,verbs,0.1
1587,kartta,ramani,nouns,0.0
1588,matka,ushindi,nouns,0.3
1589,morsian,mtoto wa mfalme,nouns,0.15
1590,vatsa,mshipa,nouns,0.6
1591,vaunut,mkokoteni,nouns,4.1
1592,epäröivä,sitasita,adjectives,0.3
1593,vauva,mtoto wa kike,nouns,1.35
1594,jakaa,kugawanya,verbs,0.45
1595,luotto,mkopo,nouns,0.85
1596,robotiikka,roboti,nouns,0.35
1597,koira,farasi,nouns,1.0
1598,väkijuoma,karne,nouns,0.0
1599,runo,shairi,nouns,0.7
1600,selvin päin oleva,kutolewa,adjectives,0.2
1601,kestävyys,ua,nouns,0.0
1602,kuvitella,kuumba,verbs,0.5
1603,anarkia,vurugu,nouns,4.05
1604,antaa,kuiba,verbs,0.15
1605,kypsennetty,pikwa,adjectives,3.8
1606,kirja,fasihi,nouns,2.25
1607,rynnätä,kutimka,verbs,2.1
1608,muu,wengine,adjectives,0.15
1609,peto,mnyama,nouns,2.15
1610,tyhmä,mjanja,adjectives,0.3
1611,moraali,adili,nouns,0.0
1612,pääasiassa,haswa,adverbs,0.25
1613,jalkaterä,mguu,nouns,0.0
1614,kallis,ghali,adjectives,0.0
1615,sattua,kuuma,verbs,0.3
1616,säännöllisesti,mara kwa mara,adverbs,0.6
1617,lehmä,mbuzi,nouns,1.0
1618,jakaa,kujumlisha,verbs,0.65
1619,sähköinen,chenye umeme,adjectives,0.0
1620,kursori,mshale,nouns,0.0
1621,liittää,kubandika,verbs,0.2
1622,tuoda,kubeba,verbs,2.05
1623,puhua,kusikia,verbs,0.5
1624,kiltisti,kiupole,adverbs,1.75
1625,typerä,mpumbavu,adjectives,4.8
1626,lamppu,taa,nouns,0.1
1627,suuresti,sana,adverbs,1.45
1628,symboli,ishara,nouns,1.2
1629,normaali,tofauti,adjectives,0.25
1630,kyttä,polisi,nouns,0.45
1631,piispa,askofu mkuu,nouns,4.05
1632,numero,nambari,nouns,5.35
1633,pilvi,mvuke,nouns,2.25
1634,nipistää,kufinya,verbs,0.65
1635,säilyttää,kubaki,verbs,0.45
1636,valinta,sura,nouns,0.15
1637,biologia,biolojia,nouns,1.0
1638,uhka,hatari,nouns,4.85
1639,ajoneuvo,basi,nouns,3.65
1640,murskata,kuharibu,verbs,4.1
1641,eversti,daktari wa meno,nouns,0.45
1642,kansallinen,kitaifa,adjectives,0.15
1643,kruunajaiset,kusimikwa ufalme,nouns,0.0
1644,vakuuttaa ,kushawishi,verbs,0.15
1645,sydän,upasuaji,nouns,0.6
1646,lujasti,kiukakamavu,adverbs,0.2
1647,lattia,sitaha,nouns,0.55
1648,sopimus,tundu,nouns,0.0
1649,ottaa,kuiba,verbs,1.5
1650,kärsimättömästi,bila subira,adverbs,0.4
1651,ansaita,kutengeneza,verbs,0.3
1652,sileä,nyororo,adjectives,0.15
1653,laatikko,kofia,nouns,0.1
1654,sana,kamusi,nouns,1.5
1655,suositella,kukubali,verbs,0.85
1656,valittaa,kuleta,verbs,0.05
1657,kuukausi,agosti,nouns,2.9
1658,vanhempi,mtu mzima,nouns,2.95
1659,rankka,mwerevu,adjectives,0.35
1660,omena,mpangilio wa chakula,nouns,0.4
1661,ylpeä,kujivunia,adjectives,0.0
1662,lähteä,kuondoka,verbs,0.2
1663,puutarha,mpira wa maji,nouns,0.3
1664,samankaltainen,sawasawa,adjectives,4.15
1665,illallinen,chakula cha asubuhi,nouns,1.0
1666,koti,jimbo,nouns,0.15
1667,käsilaukku,mfuko,nouns,4.25
1668,uutiset,porojo,nouns,1.05
1669,aikoa,kuania,verbs,1.65
1670,lentokenttä,ndege,nouns,1.35
1671,tauti,hatari,nouns,0.5
1672,tahraton,bila doa,adjectives,5.4
1673,lounas,ugali,nouns,1.8
1674,lapsi,mtu mzima,nouns,0.65
1675,juusto,mkate,nouns,0.75
1676,kompassi,dira,nouns,0.05
1677,heijastus,picha,nouns,1.55
1678,mies,mtoto,nouns,0.7
1679,hallittu,kwa mpangilio,adjectives,0.15
1680,lentokone,jeti,nouns,4.7
1681,happo,asidi,nouns,0.25
1682,tunne,hali,nouns,1.3
1683,halailla,kukumbatia,verbs,4.9
1684,vihata,chukia,verbs,0.35
1685,soturi,mwanaume,nouns,1.1
1686,hyväksyä,kukana,verbs,0.25
1687,kana,wali,nouns,0.4
1688,viime aikoina,hivi majuzi,adverbs,4.25
1689,yö,mchana,nouns,0.8
1690,oksentaa,kutapika,verbs,0.0
1691,murhe,aibu,nouns,0.95
1692,laittaa,kuning'inia,verbs,0.1
1693,antaa anteeksi,kusahau,verbs,0.7
1694,hevonen,farasi wa kiume,nouns,3.65
1695,kutistua,kupunguza,verbs,3.3
1696,täti,mpwa,nouns,0.5
1697,nurkka,eneo,nouns,0.75
1698,sää,hali ya hewa,nouns,0.5
1699,uida,kuogelea,verbs,0.0
1700,siemen,viungo,nouns,0.6
1701,kondensaattori,capacitor,nouns,1.4
1702,näkö,utambuzi,nouns,2.55
1703,tukahduttaa,kuziba,verbs,0.25
1704,kivi,jiwe,nouns,0.35
1705,sotilas,mwanajeshi,nouns,0.2
1706,suojella,kuokoa,verbs,1.3
1707,tupakka,sigara,nouns,4.85
1708,vedota,kujipendekeza,verbs,0.45
1709,kämppä,kambi,nouns,0.5
1710,tulla,kufanikisha,verbs,0.5
1711,kieli,koo,nouns,1.4
1712,ovela,imara,adjectives,0.35
1713,viisaus,akili,nouns,3.8
1714,ennen,kabla,adverbs,0.25
1715,ruokavalio,saladi,nouns,0.8
1716,hauta,kaburi,nouns,1.35
1717,tiili,ukuta,nouns,1.3
1718,päivällinen,kuku,nouns,0.9
1719,tuhoeläin,wadudu,nouns,0.7
1720,ihmiset,sherehe,nouns,0.5
1721,luu,kiwiko,nouns,0.75
1722,epätoivo,taabu,nouns,2.6
1723,vaivata,kusumbua,verbs,0.2
1724,kaura,ngano,nouns,0.35
1725,tankki,tenki,nouns,0.8
1726,hankkia,kutafuta,verbs,0.85
1727,torjua,kukubali,verbs,0.25
1728,yksinäinen,mpweke,adjectives,1.15
1729,vetäytyä,kurudia,verbs,0.5
1730,hematologia,hematolojia,nouns,2.35
1731,työkalu,kitendea kazi,nouns,1.0
1732,kana,chakula cha usiku,nouns,0.9
1733,päällikkö,meya,nouns,1.9
1734,talo,ufunguo,nouns,0.6
1735,musiikki,muziki,nouns,1.0
1736,tsunami,sunami,nouns,0.95
1737,päivä ,alfajiri,nouns,1.65
1738,rakentaminen,uharibifu,nouns,0.25
1739,lannistaa,kufeli,verbs,0.55
1740,molekyyli,molekuli,nouns,0.0
1741,ovi,undugu,nouns,0.0
1742,ilmapallo,kuoga,nouns,0.05
1743,sisko,dada,nouns,1.8
1744,illuusio,uhalisi,nouns,0.25
1745,järvi,bwawa,nouns,2.15
1746,epäsäännöllisesti,isivyo kawaida,adverbs,0.25
1747,merkitä,kutia alama,verbs,0.55
1748,suojella,kukinga,verbs,4.5
1749,tanko,mlingoti,nouns,0.7
1750,pilvenpiirtäjä,maghorofa,nouns,2.0
1751,muinainen,mpya,adjectives,0.3
1752,jättää,kuondoka,verbs,0.07
1753,todellisuus,njozi,nouns,0.25
1754,tähti,nyota,nouns,2.7
1755,vihainen,mjeuri,adjectives,1.6
1756,sitoumus,mkutano,nouns,0.45
1757,auttaa,kusaidia,verbs,0.4
1758,etsintä,lengo,nouns,0.25
1759,lihas,mkono,nouns,0.75
1760,kukka,imani,nouns,0.05
1761,vedota,kuuliza,verbs,0.85
1762,vaunut,gari,nouns,1.2
1763,tervehtiä,kukutana,verbs,1.35
1764,sokeri,asali,nouns,2.25
1765,kalenteri,kalenda,nouns,0.45
1766,vuori,mwamba,nouns,1.25
1767,myrsky,theluji,nouns,0.6
1768,kruunu,taji,nouns,0.0
1769,yhtenäinen,sare,adjectives,0.3
1770,laulaa,kuimba,verbs,0.25
1771,orivarsa,farasi,nouns,3.65
1772,asianajaja,mwanasheria,nouns,4.9
1773,huoltaja,mtu mzima,nouns,2.15
1774,biologi,mbiolojia,nouns,0.45
1775,peitto,kitanda,nouns,0.95
1776,madaltaa,kushusha,verbs,1.8
1777,tylsä,zorota,adjectives,0.2
1778,kova,imara,adjectives,2.45
1779,aktiivisesti,kikamilifu,adverbs,0.3
1780,ostaa,kupata,verbs,0.7
1781,herttuakunta,dukedom,nouns,2.3
1782,nöyrä,mnyenyekevu,adjectives,4.75
1783,tuulenpuuska,upepo mkali,nouns,4.3
1784,laaja,mkubwa,adjectives,3.75
1785,korvaus,malipo,nouns,0.55
1786,hyväksyä,kuamini,verbs,1.7
1787,solu,chumba,nouns,0.95
1788,vetää,kuvuta,verbs,0.75
1789,maja,makao,nouns,1.25
1790,kirkko,kanisa,nouns,4.2
1791,pohja,juu,nouns,0.3
1792,mahdoton,kutowekana,adjectives,0.3
1793,ilmiselvä,wa kuonekana,adjectives,5.25
1794,patsas,kinyagu,nouns,4.9
1795,päättää,kuamua,verbs,2.15
1796,katedraali,kanisa kuu,nouns,4.2
1797,uskomus,fikra,nouns,1.0
1798,naaraslintu,ndege,nouns,3.15
1799,sonetti,ushairi,nouns,0.1
1800,vartalo,uti,nouns,0.8
1801,toimittaa,kuchukua,verbs,0.3
1802,luu,kifundo cha mguu,nouns,1.7
1803,algebra,algebra,nouns,0.05
1804,poliitikko,rais,nouns,3.0
1805,poliisi,polisi,nouns,0.35
1806,entropia,kuzorota,nouns,0.1
1807,luku,tarakimu,nouns,5.35
1808,taksi,basi,nouns,2.05
1809,pehmeä,laini,adjectives,0.1
1810,nainen,sekretari,nouns,0.7
1811,ontua,kuchechemea,verbs,2.2
1812,hermostuneesti,kwa woga,adverbs,4.25
1813,silmukka,mkanda,nouns,0.9
1814,lainata,kutaka,verbs,0.7
1815,mielekkäästi,kwa maana,adverbs,0.5
1816,kamera,rais,nouns,0.0
1817,todistaa,kushuhudia,verbs,0.45
1818,kana,steki,nouns,0.6
1819,oppimaton,mjinga,adjectives,0.0
1820,rakentaa,kujumlisha,verbs,0.55
1821,uusi,mpya,adjectives,4.85
1822,helposti,kiurahisi,adverbs,0.2
1823,lentoperämies,rubani msaidizi,nouns,0.45
1824,kaunis,ana ajabu,adjectives,0.8
1825,osallistua,kutuma,verbs,0.15
1826,sattua,kuumia,verbs,0.5
1827,sanomalehti,taarifa,nouns,1.6
1828,teeskennellä,jifanya,verbs,2.65
1829,mosaiikki,mosaic,nouns,0.3
1830,kirja,mada,nouns,0.5
1831,ovi,uwepo,nouns,0.0
1832,menestyjä,mwanaume,nouns,0.15
1833,saada selville,kutokana,verbs,0.25
1834,atomi,kaboni,nouns,1.1
1835,kävellä,kutembea,verbs,2.2
1836,kiista,ukosoaji,nouns,0.75
1837,lenkkikengät,wakufunzi,nouns,0.35
1838,lentäjä,dereva,nouns,2.75
1839,himoita,kua na hamu,verbs,4.45
1840,partneri,mvulana,nouns,0.57
1841,tohtori,tabibu,nouns,5.15
1842,peukalo,mkono,nouns,1.75
1843,parasetamoli,acetaminopheni,nouns,0.25
1844,vanha,mpya,adjectives,0.25
1845,kansi,boti,nouns,0.45
1846,ilmailu,aeronauts,nouns,1.0
1847,hakija,mwombaji,nouns,1.65
1848,iho,ngozi,nouns,0.0
1849,rauha,furaha,nouns,1.2
1850,liha,nyama,nouns,3.3
1851,pakti,mazingira,nouns,0.05
1852,käsi ,mguu,nouns,1.1
1853,tyhmä,adimu,adjectives,0.0
1854,teema,kitabu,nouns,0.3
1855,aikuinen,mtoto,nouns,0.65
1856,aamunkoitto,mchana,nouns,1.65
1857,lonkka,mdomo,nouns,0.7
1858,voileipä,nyama,nouns,0.7
1859,viikonloppu,wikiendi,nouns,0.0
1860,rauhallisesti,kwa amani,adverbs,0.2
1861,evätä,kukataa,verbs,0.3
1862,kysyä,kuuliza,verbs,0.4
1863,pekoni,maharagwe,nouns,0.3
1864,ilmeisesti,inaonekana,adverbs,2.22
1865,tapetti,karatasi ya kupamba ukuta,nouns,1.65
1866,tennis,tenisi,nouns,0.0
1867,saastuminen,rais,nouns,0.1
1868,vetäytyä,kufyonza,verbs,1.15
1869,sitoa,kuvunga,verbs,0.65
1870,mahdollisesti,ikiwezekana,adverbs,3.2
1871,hankkia,kurithi,verbs,0.15
1872,sulautua,kuchanganya,verbs,2.6
1873,kuukausipalkka,hela,nouns,2.55
1874,neste,majimaji,nouns,0.05
1875,passiivisesti,kwa kutegemewa,adverbs,0.05
1876,varallisuus,umasikini,nouns,0.45
1877,sanoa,kushiriki,verbs,0.3
1878,ennuste,utabiri,nouns,0.5
1879,kuvitus,katuni,nouns,0.0
1880,laitteisto,kifaa,nouns,0.05
1881,suorittaa loppuun,kumaliza,verbs,1.35
1882,vankila,chaguo,nouns,0.1
1883,torjua,kukataa,verbs,1.15
1884,todennäköisesti,uwezekano,adverbs,3.2
1885,metri,yadi,nouns,3.0
1886,mukava,mkorofi,adjectives,0.15
1887,silmä,nyusi,nouns,0.65
1888,seinä,tofali,nouns,1.3
1889,keittiö,mlango,nouns,0.2
1890,lepakko,popo,nouns,1.2
1891,kyynärpää,mfupa,nouns,0.75
1892,hyötyä,kufaida,verbs,0.75
1893,hyväntuulinen,mwenye furaha,adjectives,4.2
1894,huonekalut,kitanda,nouns,2.45
1895,kohta,herufi,nouns,0.3
1896,seimi,mlazi,nouns,3.6
1897,taistella,pigana,verbs,0.65
1898,haudata,kuzika,verbs,3.2
1899,järkyttää,kuchukiza,verbs,0.65
1900,janoinen,kua na kiu,adjectives,0.75
1901,lääkäri,daktari,nouns,5.15
1902,sirut,kibanzi,nouns,0.0
1903,liikkua,kutoka,verbs,0.6
1904,ihanteellisesti,walau,adverbs,0.55
1905,kalliojyrkänne,kilima,nouns,2.5
1906,vanha,zamani,adjectives,0.0
1907,heikko,dhaifu,adjectives,0.0
1908,gini,wiski,nouns,2.3
1909,uniikki,ya pekee,adjectives,0.4
1910,hyvä,nzuri,adjectives,0.1
1911,saippuavaahto,puto,nouns,1.95
1912,kansallinen,kitaifa,adjectives,0.25
1913,hallitsija,mtawala,nouns,4.35
1914,mulkoilla,kukondoa macho,verbs,0.7
1915,kuljettaja,rubani,nouns,2.75
1916,merkki,ishara,nouns,0.05
1917,arvo,thamani,nouns,0.5
1918,arvata,kubuni,verbs,0.0
1919,moraaliton,mbaya,adjectives,2.8
1920,nykyään,kwa sasa,adverbs,0.0
1921,hiiri,ndezi,nouns,3.4
1922,juoda,kunywa,verbs,0.0
1923,taksi,gari,nouns,3.75
1924,laillinen,halali,adjectives,3.05
1925,orvokki,ua,nouns,3.45
1926,fiktio,wasifu,nouns,0.95
1927,poika,mazingira,nouns,0.0
1928,mäntä,pistoni,nouns,1.55
1929,sentti,watu,nouns,0.05
1930,vaatimaton,mnyenyekevu,adjectives,0.3
1931,joukkio,umati,nouns,4.7
1932,sanakirja,neno,nouns,1.5
1933,pidellä,kushikilia,verbs,2.2
1934,harmonia,umoja,nouns,0.35
1935,tylsä,wa kuchekesha,adjectives,0.25
1936,kapea,mpana,adjectives,0.25
1937,sovellus,programu tumishi,nouns,0.0
1938,kova,nene,adjectives,0.55
1939,kirje,aya,nouns,0.3
1940,anteliaasti,kwa fadhili,adverbs,1.75
1941,teoria,kemia,nouns,0.3
1942,sänky,kochi,nouns,0.7
1943,puhdas,nadhifu,adjectives,5.1
1944,hyväntuulinen,mwenye kupendeza,adjectives,1.2
1945,raaka,mbaya,adjectives,1.45
1946,pöly,vumbi,nouns,0.55
1947,kiistää,kupa,verbs,0.05
1948,ilmiselvä,wa kuona,adjectives,2.3
1949,luoda,kuharibu,verbs,0.25
1950,kuvata,kujifanya,verbs,0.4
1951,ymmärtää,kujua,verbs,3.7
1952,matemaatikko,mwanamahesabu,nouns,0.0
1953,saada,kubaki,verbs,0.15
1954,merkittävä,muhimu,adjectives,0.2
1955,nepotismi,undugu,nouns,0.55
1956,matkatavarat,mzigo,nouns,0.15
1957,uloskäynti,mahali ya kutokea,nouns,0.0
1958,torni,kengele,nouns,0.4
1959,sielu,kaka,nouns,0.05
1960,ikuisuus,usio na mwisho,nouns,0.1
1961,vähäpätöinen,mdogo,adjectives,0.2
1962,jää,maji,nouns,2.4
1963,prinsessa,kisiwa,nouns,0.0
1964,varastaa,kuiba,verbs,2.05
1965,puolueellisuus,oni,nouns,0.3
1966,vuosisata,miaka kumi,nouns,0.9
1967,tehdä,kutukia,verbs,0.85
1968,leikkiä,kucheza,verbs,0.3
1969,puumateriaali,karatasi,nouns,0.9
1970,poika,wali,nouns,0.0
1971,tytär,baba,nouns,0.65
1972,pilli,jukumu,nouns,0.0
1973,futis,soka,nouns,5.9
1974,ikkuna,mlango,nouns,1.2
1975,maito,juisi,nouns,1.0
1976,toiminta,mchezo,nouns,0.85
1977,kypsästi,kiukomavu,adverbs,0.2
1978,vaara,tishio,nouns,4.85
1979,symboli,msimbo,nouns,2.25
1980,munkki,padri,nouns,2.15
1981,suuruus,saizi,nouns,5.35
1982,kuvata,kuamua,verbs,0.25
1983,negatiivisesti,kwa ubaya,adverbs,0.2
1984,brandy,kileo,nouns,2.9
1985,järkeistää,kugombana,verbs,0.2
