ID,CYM,FIN,PoS,score
1348,gwarcheidwad,aikuinen,nouns,1.9
1349,modryb,setä,nouns,1.65
1350,ffaith,ymmärrys,nouns,0.8
1351,dosbarthu,ottaa,verbs,0.3
1352,cynorthwy-ydd,palvelustyttö,nouns,1.9
1353,bàth,vaimo,nouns,0.0
1354,deall,tietää,verbs,2.85
1355,cadach,vaatteet,nouns,0.9
1356,cyfansoddiad,senaatti,nouns,0.75
1357,trosedd,loukkaus,nouns,1.45
1358,bywyd wedi marwolaeth,kiirastuli,nouns,1.8
1359,yn ddiffuant,rehellisesti,adverbs,4.7
1360,goruchafiaeth,kaikkivaltius,nouns,2.65
1361,afal,mehu,nouns,0.8
1362,mainc,tuoli,nouns,3.4
1363,crwm,kiero,adjectives,2.05
1364,diflas,väsynyt,adjectives,0.8
1365,diymhongar,joustava,adjectives,0.45
1366,afal,auringonpaiste,nouns,0.0
1367,gweithredu,algebra,nouns,0.25
1368,madfall,hallitus,nouns,0.0
1369,trosedd,varkaus,nouns,2.7
1370,enaid,veli,nouns,0.0
1371,busnes,yhtiö,nouns,2.25
1372,trafferthu,loukata,verbs,0.75
1373,cyfrwys,kummallinen,adjectives,0.2
1374,deiet,salaatti,nouns,0.95
1375,finegr,salaatti,nouns,0.4
1376,ystafell wely,sänky,nouns,1.4
1377,microsgop,biologi,nouns,0.6
1378,cael,hankkia,verbs,3.2
1379,aderyn,naaraslintu,nouns,2.7
1380,yn fras,ilmiselvästi,adverbs,0.2
1381,coeden,vaahtera,nouns,3.2
1382,cliw,sana,nouns,0.3
1383,diamynedd,ahdistunut,adjectives,0.6
1384,lladrad,rikos,nouns,2.7
1385,trydanol,mekaaninen,adjectives,0.75
1386,diffiniad,sanakirja,nouns,1.25
1387,cadair,jakkara,nouns,3.6
1388,cynnyrch llaeth,hunaja,nouns,0.1
1389,reidio,siirrellä,verbs,0.45
1390,yn obeithiol,mahdollisesti,adverbs,1.3
1391,cwmwl,usva,nouns,2.9
1392,edafedd,ompelulanka,nouns,4.1
1393,iâ,vesi,nouns,2.1
1394,diflannu,kutistua,verbs,1.85
1395,hawdd,vaikea,adjectives,0.2
1396,glas,punainen,adjectives,0.95
1397,terfyn,raja,nouns,3.55
1398,unffurf,muotoutumaton,adjectives,0.25
1399,brandi,viini,nouns,1.35
1400,yn hysbys,suosittu,adjectives,2.3
1401,mwynhau,viihdyttää,verbs,0.9
1402,darganfod,tajuta,verbs,3.65
1403,cwch,puu,nouns,0.25
1404,nos,aamunkoitto,nouns,0.75
1405,canu,nauraa,verbs,0.45
1406,enwogrwydd,varallisuus,nouns,0.65
1407,blwch,lähde,nouns,0.0
1408,stumog,laskimo,nouns,0.65
1409,anaeddfed,vastuuton,adjectives,2.1
1410,ffasiwn,tyyli,nouns,4.35
1411,sgrîn,fonologia,nouns,0.1
1412,ffenestr,nilkka,nouns,0.0
1413,rhythm,runo,nouns,0.9
1414,ffêr,luu,nouns,1.45
1415,rhanbarth,alue,nouns,4.95
1416,mygu,halata,verbs,0.35
1417,bydysawd,taivas,nouns,0.85
1418,sigâr,putki,nouns,0.5
1419,gweithred,peli,nouns,0.55
1420,ffensio,voimistelu,nouns,1.05
1421,mwynhau,vihata,verbs,0.15
1422,telesgop,aivoriihi,nouns,0.0
1423,calendr,juhlapäivä,nouns,0.75
1424,gwan,voimallinen,adjectives,0.2
1425,dillad,jakku,nouns,1.75
1426,cyhyrau,kieli,nouns,1.8
1427,carped,talo,nouns,0.4
1428,anifail anwes,kissa,nouns,2.85
1429,cywilydd,vaatimaton,adjectives,0.2
1430,twyllo,huijata,verbs,4.2
1431,gwenynen,muurahainen,nouns,1.2
1432,ffa,pekoni,nouns,0.3
1433,eliffant,dinosaurus,nouns,0.85
1434,fel arfer,vilpittömästi,adverbs,0.2
1435,ysgwyd,kerätä,verbs,0.1
1436,gorffennol,edeltäjä,nouns,1.2
1437,aflonydd,nuori,adjectives,0.25
1438,yn oddefol,hiljaa,adverbs,1.1
1439,gwresogydd,sateenvarjo,nouns,0.05
1440,gwobr,korvaus,nouns,2.2
1441,cath,jänis,nouns,1.15
1442,beichio,itkeä,verbs,4.2
1443,ffrind,heppu,nouns,0.85
1444,hurt,fiksu,adjectives,0.2
1445,cymysgu,ajaa,verbs,0.45
1446,wedi'i ferwi,kypsennetty,adjectives,2.9
1447,dweud celwydd,kiistää,verbs,0.6
1448,emyn,valloitus,nouns,0.0
1449,cynhwysydd,vaunu,nouns,0.1
1450,bòs,ohjaaja,nouns,2.45
1451,iris,asetyylikoliini,nouns,0.2
1452,dychan,myytti,nouns,0.4
1453,bara,juusto,nouns,0.95
1454,styfnig,typerä,adjectives,0.45
1455,tenis,tilastotiede,nouns,0.0
1456,yn gyflym,kiireellisesti,adverbs,4.95
1457,swydd,työkalu,nouns,0.3
1458,mêl,päiväkirja,nouns,0.1
1459,gitâr,viulu,nouns,1.45
1460,trefnu,tulla,verbs,0.0
1461,llyfr,tieto,nouns,0.8
1462,ffraeo,järkeistää,verbs,0.45
1463,derwen,vaahtera,nouns,1.8
1464,garddwrn,käsi,nouns,1.95
1465,glaswelltir,niitty,nouns,3.3
1466,chwedl,satiiri,nouns,0.4
1467,mawr,valtava,adjectives,4.4
1468,aloi,teräs,nouns,2.7
1469,hurt,tiivis,adjectives,0.0
1470,ffurfiol,asianmukainen,adjectives,1.85
1471,ymgeisydd,voittaja,nouns,0.95
1472,wisgi,gini,nouns,1.95
1473,danfon,vastaanottaa,verbs,0.25
1474,dwyn,ottaa,verbs,2.15
1475,anrheg,kirjailija,nouns,0.0
1476,stori,kynä,nouns,0.35
1477,iâr,kalkkuna,nouns,2.0
1478,gwaed,virus,nouns,0.65
1479,incwm,vero,nouns,0.65
1480,casglu,säästää,verbs,2.45
1481,edau,lanka,nouns,4.1
1482,digonedd,runsaus,nouns,4.75
1483,hen,sekoitettu,adjectives,0.1
1484,teclyn,kattila,nouns,0.1
1485,cydymaith,kaveri,nouns,3.9
1486,bacwn,papu,nouns,0.3
1487,lloches,maja,nouns,1.8
1488,anwybyddu,unohtaa,verbs,1.45
1489,yn annaturiol,luonnollisesti,adverbs,0.25
1490,gwrthod,välttää,verbs,1.35
1491,gwerthu,muistuttaa,verbs,0.0
1492,braich,jalka,nouns,1.05
1493,cynffon,kulho,nouns,0.0
1494,arloeswr,jousiampuja,nouns,0.15
1495,yn ddiweddar,realistisesti,adverbs,0.0
1496,deall,lukea,verbs,0.85
1497,yn falch,rauhanomaisesti,adverbs,0.05
1498,drwg  ,suurenmoinen,adjectives,0.05
1499,ymadrodd,sana,nouns,1.65
1500,darllenydd,tekijä,nouns,0.75
1501,palmwydd,sormi,nouns,0.0
1502,cytuno,olla erilainen,verbs,0.0
1503,cyrchwr,sirut,nouns,0.0
1504,ar ôl,ennen,adverbs,0.25
1505,rhadlon,tuleva,adjectives,0.15
1506,newydd,muinainen,adjectives,0.2
1507,mynach,pappi,nouns,1.7
1508,chwarae,taistella,verbs,0.4
1509,newynog,janoinen,adjectives,1.35
1510,anhawster,ponnistus,nouns,1.6
1511,derbyn,toimittaa,verbs,0.05
1512,dyn,lapsi,nouns,0.65
1513,losin,kaneli,nouns,0.6
1514,isrwtîn,laatija,nouns,0.1
1515,bol,vatsa,nouns,4.95
1516,cwt,kämppä,nouns,3.6
1517,cynddaredd,viha,nouns,4.2
1518,pwnc,kirja,nouns,0.6
1519,pâr,pariskunta,nouns,5.4
1520,newid,muuttaa,verbs,3.05
1521,cydnabod,ilmoittaa,verbs,1.15
1522,plesio,myöntyä,verbs,0.8
1523,ongl,käyrä,nouns,1.25
1524,modern,muinainen,adjectives,0.2
1525,symbol,kryptogrammi,nouns,2.15
1526,ethol,nimittää,verbs,3.2
1527,dyrchafu,nostaa,verbs,4.15
1528,anghywir,täsmällinen,adjectives,0.1
1529,deilen,puu,nouns,1.4
1530,llunio,valmistaa,verbs,3.2
1531,rheilffordd,aita,nouns,0.15
1532,yn wallgof,äänekkäästi,adverbs,0.35
1533,sudd,pirtelö,nouns,1.25
1534,poster,paperi,nouns,1.85
1535,llawysgrif,artikkeli,nouns,1.25
1536,dryswch,hysteria,nouns,1.75
1537,clogwyn,häntä,nouns,0.0
1538,yn beryglus,huolellisesti,adverbs,0.1
1539,oen,lammas,nouns,3.8
1540,crwydro,kierrellä,verbs,3.4
1541,mynd,matkustaa,verbs,2.75
1542,undeb,yhdistelmä,nouns,2.95
1543,anarchiaeth,kaaos,nouns,3.9
1544,wagen,säilytysastia,nouns,0.1
1545,cwmwl,utu,nouns,3.0
1546,benthyg,haluta,verbs,0.5
1547,bawd,käsi,nouns,1.55
1548,iard,tuuma,nouns,1.4
1549,sŵn,maila,nouns,0.0
1550,coridor,eteishalli,nouns,3.9
1551,darganfod,tehdä tutkimusmatka,verbs,1.45
1552,caled,rankka,adjectives,2.65
1553,beiddgar,ylpeä,adjectives,0.85
1554,fideo,filmi,nouns,4.65
1555,deigryn,silmä,nouns,0.9
1556,presenoldeb,voittaja,nouns,0.0
1557,danfon,osallistua,verbs,0.15
1558,tybio,teeskennellä,verbs,0.65
1559,arian cyfred,samanaikaisuus,nouns,0.0
1560,drws,kello,nouns,0.25
1561,car,tankki,nouns,0.85
1562,yfory,tänä iltana,adverbs,0.55
1563,ennill,onnistua,verbs,3.7
1564,yn hapus,aktiivisesti,adverbs,0.3
1565,darllen,käsittää,verbs,0.85
1566,môr,joki,nouns,1.3
1567,gair,sanomalehti,nouns,0.75
1568,top,kylki,nouns,0.45
1569,cyhyrau,luu,nouns,0.65
1570,bustach,hevonen,nouns,1.25
1571,yn ddarostyngedig,ylpeästi,adverbs,0.25
1572,llaeth,mehu,nouns,1.15
1573,cythraul,enkeli,nouns,0.45
1574,crëwr,valmistaja,nouns,4.4
1575,rhyfedd,ovela,adjectives,0.2
1576,lluosi,jakaa,verbs,0.9
1577,yn weithredol,täsmällisesti,adverbs,0.65
1578,trafod,selittää,verbs,1.55
1579,yn llawn,pohjimmiltaan,adverbs,0.7
1580,siwgr,hunaja,nouns,1.85
1581,asetylocolin,iiris,nouns,0.2
1582,dosbarthu,hyväksyä,verbs,0.05
1583,taro,tähdätä,verbs,1.3
1584,erlynydd,lakimies,nouns,2.95
1585,meddyg,luonne,nouns,0.0
1586,corff,veri,nouns,0.95
1587,perfedd,hermo,nouns,0.6
1588,gwallgof,onnellinen,adjectives,0.2
1589,carchar,baari,nouns,0.3
1590,cymysg,yhdistetty,adjectives,2.8
1591,piano,harmonia,nouns,0.85
1592,diwylliant,yhteiskunta,nouns,1.65
1593,mynd,tulla sisään,verbs,1.45
1594,da,mausteinen,adjectives,0.1
1595,hyfforddwr,opettaja,nouns,4.25
1596,ysbyty,sänky,nouns,0.45
1597,twf,lannoite,nouns,0.8
1598,gofyn,sivuuttaa,verbs,0.0
1599,socer,jalkapallo,nouns,5.85
1600,yn amlwg,kovakouraisesti,adverbs,0.2
1601,ffactorio,biohajoaminen,nouns,0.85
1602,democratiaeth,monarkia,nouns,0.95
1603,atom,hiili,nouns,1.05
1604,strategydd,juonittelija,nouns,3.15
1605,goruchafu,nujertaa,verbs,2.9
1606,basilica,mosaiikki,nouns,0.6
1607,cyfrwng,uutiset,nouns,0.15
1608,fflora,luonto,nouns,2.2
1609,crwydro,jättää,verbs,0.45
1610,bowlen,kuja,nouns,0.0
1611,cynorthwy-ydd,opettaja,nouns,2.15
1612,melin,siemen,nouns,0.25
1613,clwb,yhdistys,nouns,3.6
1614,ale,katu,nouns,3.55
1615,rhodio,vaeltaa,verbs,3.4
1616,cyfathrebu,keskustelu,nouns,3.6
1617,menyw,sihteeri,nouns,0.55
1618,anghwrtais,raaka,adjectives,0.9
1619,barnu,moittia,verbs,3.0
1620,corn,rumpu,nouns,0.15
1621,ynys,ranta,nouns,1.0
1622,parth,alue,nouns,4.9
1623,cul,leveä,adjectives,0.25
1624,cyfoeth,kuuluisuus,nouns,0.65
1625,cwympo,sattua,verbs,1.15
1626,ffug,keinotekoinen,adjectives,5.05
1627,tlodi,varallisuus,nouns,0.5
1628,helmed,ase,nouns,0.6
1629,eang,tuore,adjectives,0.05
1630,allwedd,kruunu,nouns,0.0
1631,doler,miljonääri,nouns,0.65
1632,benthyg,antaa,verbs,1.65
1633,gwraig,aviomies,nouns,1.65
1634,cymysgu,lyödä,verbs,0.55
1635,anthropoleg,arkeologia,nouns,1.55
1636,balch ,vahva,adjectives,0.65
1637,geiriadur,määritelmä,nouns,1.25
1638,gadael,sallia,verbs,2.45
1639,seren,kirkkaus,nouns,0.95
1640,gwych,loistava,adjectives,4.8
1641,poenus,häpeissään oleva,adjectives,0.45
1642,dychryn,kummitella,verbs,1.65
1643,camera,työläinen,nouns,0.05
1644,cyflawni,saavuttaa,verbs,2.85
1645,plymio,luoda,verbs,0.0
1646,modfedd,jaardi,nouns,1.4
1647,yn ffyddlon,rehellisesti,adverbs,1.7
1648,gyrru,pysähtyä,verbs,0.15
1649,rheiddiadur,sensori,nouns,0.15
1650,bachgen,veli,nouns,2.0
1651,diflas,turvattu,adjectives,0.05
1652,gwario,säästää,verbs,0.3
1653,ysgoloriaeth,lukukausimaksu,nouns,0.7
1654,yn ddiffuant,vakavasti,adverbs,1.4
1655,lleihau,kastella,verbs,0.0
1656,cyw iâr,riisi,nouns,0.4
1657,dechrau,mennä,verbs,0.55
1658,potel,purkki,nouns,2.55
1659,cwmni,liiketoiminta,nouns,3.7
1660,modur,auto,nouns,5.5
1661,ymdrechu,sulkea,verbs,0.15
1662,enfawr,suuri,adjectives,4.4
1663,creu,tuhota,verbs,0.25
1664,tasg,saari,nouns,0.0
1665,cyntedd,luokkahuone,nouns,0.7
1666,actor,laulaja,nouns,1.2
1667,gorchuddio,salata,verbs,2.65
1668,dyffryn,joki,nouns,0.8
1669,hysbysu,ilmoittaa,verbs,4.7
1670,log,kaava,nouns,0.4
1671,dawnsio,mekko,nouns,0.25
1672,papur,puumateriaali,nouns,0.95
1673,tŷ,matto,nouns,0.4
1674,rasio,filosofi,nouns,0.0
1675,pen-glin,käsivarsi,nouns,1.0
1676,yn uchel,hienovaraisesti,adverbs,0.05
1677,pen-blwydd,vuosi,nouns,0.9
1678,capel,kaapeli,nouns,0.0
1679,ymosodol,töykeä,adjectives,1.65
1680,hysbysu,tunnustaa,verbs,1.15
1681,gafr,lehmä,nouns,1.35
1682,cyfreithiol,turvallinen,adjectives,1.1
1683,halen,vesi,nouns,0.3
1684,merch,heppu,nouns,0.9
1685,maes llafur,koe,nouns,0.5
1686,yn ddyddiol,normaalisti,adverbs,1.2
1687,llywydd,saastuminen,nouns,0.0
1688,yn bennaf,terminaalisesti,adverbs,0.55
1689,ceisio,ajatella,verbs,0.3
1690,portreadu,teeskennellä,verbs,0.55
1691,theori,hypoteesi,nouns,4.6
1692,cyflogwr,työntekijä,nouns,1.05
1693,gwyddonydd,sairaanhoitaja,nouns,0.4
1694,yn negyddol,epäluonnollisesti,adverbs,0.45
1695,meddwl,miettiä,verbs,4.9
1696,llyfr,teema,nouns,0.4
1697,adeilad,huone,nouns,1.2
1698,difrifol,hauska,adjectives,0.25
1699,tŷ,avain,nouns,0.35
1700,wythnosol,kuukausittainen,adjectives,1.1
1701,egluro,määrittää,verbs,3.1
1702,cred,mielipide,nouns,3.6
1703,hebog,kotka,nouns,2.55
1704,cloch,ovi,nouns,0.25
1705,blits,hyökkäys,nouns,3.65
1706,penderfynu,ajatella,verbs,1.9
1707,bwrdd,auringonlasku,nouns,0.0
1708,holi,edellyttää,verbs,0.3
1709,torri,särkeä,verbs,4.55
1710,ystafell wely,vatsa,nouns,0.0
1711,da,tunnettu,adjectives,0.0
1712,polyester,puuvilla,nouns,1.45
1713,weithiau,milloin tahansa,adverbs,0.7
1714,gwely,huonekalut,nouns,1.9
1715,storm,hurrikaani,nouns,3.35
1716,person,hahmo,nouns,3.4
1717,yn ddibynadwy,passiivisesti,adverbs,0.15
1718,bodloni,miellyttää,verbs,3.0
1719,ffrind,kaveri,nouns,5.6
1720,gadael,mennä,verbs,1.25
1721,mis,elokuu,nouns,2.45
1722,llywydd,kamera,nouns,0.0
1723,cefnder,setä,nouns,1.15
1724,cwmwl,myrsky,nouns,0.9
1725,yn hanfodol,kriittisesti,adverbs,0.65
1726,arwydd,symboli,nouns,4.9
1727,persli,muffini,nouns,0.25
1728,yn gadarnhaol,todennäköisesti,adverbs,0.85
1729,llygoden,kansi,nouns,0.0
1730,esgob,arkkipiispa,nouns,3.3
1731,morwr,kapteeni,nouns,2.0
1732,trwyn,pää,nouns,1.1
1733,priodferch,prinsessa,nouns,0.6
1734,portreadu,ilmoittaa,verbs,0.3
1735,ymddwyn,totella,verbs,2.2
1736,tad,mies,nouns,2.25
1737,hunan,itseluottamus,nouns,0.75
1738,aseiniad,tehtävä,nouns,4.95
1739,gŵr bonheddig,leidi,nouns,0.8
1740,ffordd,moottoritie,nouns,4.15
1741,actor,näyttelijätär,nouns,4.35
1742,cab,linja-auto,nouns,1.25
1743,coginio,menettää,verbs,0.0
1744,plentynaidd,houkkamainen,adjectives,1.45
1745,mewnwelediad,fakta,nouns,0.8
1746,log,puutavara,nouns,3.1
1747,priodferch,sulhanen,nouns,1.4
1748,mêr,veri,nouns,0.3
1749,amrwd,ruma,adjectives,0.3
1750,siart,kuvaaja,nouns,3.75
1751,môr,suisto,nouns,1.2
1752,caffael,varastaa,verbs,1.2
1753,blwch,hissi,nouns,0.0
1754,braich,lihas,nouns,0.9
1755,tram,juna,nouns,2.65
1756,gwraidd,ruoho,nouns,0.7
1757,merch,vauva,nouns,1.6
1758,archeoleg,antropologia,nouns,1.55
1759,coroni,vesi,nouns,0.0
1760,yn enfawr,avoimesti,adverbs,0.35
1761,allwedd,talo,nouns,0.35
1762,arbed,kerätä,verbs,2.45
1763,afiechyd,vaara,nouns,0.25
1764,rhesymol,selvin päin oleva,adjectives,1.2
1765,lledaenu,tahrata,verbs,0.45
1766,pennod,yö,nouns,0.0
1767,cerbyd,linja-auto,nouns,3.0
1768,ardal,nurkka,nouns,0.95
1769,reis,poika,nouns,0.0
1770,cromlin,kulma,nouns,1.25
1771,meddu ar,imeä itseensä,verbs,0.25
1772,dimai,ihmiset,nouns,0.05
1773,cath,hiiri,nouns,1.0
1774,gymnasteg,miekkailu,nouns,1.05
1775,benthyg,myydä,verbs,0.3
1776,llawr,ovi,nouns,0.5
1777,meddal,väkivaltainen,adjectives,0.1
1778,car,sarvi,nouns,0.2
1779,alcohol,gini,nouns,2.4
1780,mwgwd,juhla,nouns,0.3
1781,pwffian chwerthin,nauraa,verbs,4.9
1782,enfawr,pikkuruinen,adjectives,0.25
1783,merch,palvelustyttö,nouns,2.35
1784,dadansoddi,verrata,verbs,2.1
1785,trychineb,onnettomuus,nouns,3.8
1786,cyfarfod,tervehtiä,verbs,1.45
1787,arbennig,arvokas,adjectives,2.3
1788,ymbarél,kaliiperi,nouns,0.0
1789,cymdeithas,kulttuuri,nouns,1.65
1790,tad,vanhempi,nouns,3.15
1791,mwtant,sosiobiologia,nouns,0.1
1792,mynd i mewn,olla velkaa,verbs,0.1
1793,blodyn,orvokki,nouns,2.05
1794,papur lapio,satama,nouns,0.0
1795,cwrtais,asianmukainen,adjectives,1.55
1796,adnewid,vaihtaa,verbs,3.05
1797,mynd  ,lähettää,verbs,0.65
1798,theori,kemia,nouns,0.3
1799,medal,lenkkikengät,nouns,0.2
1800,pennod,häntä,nouns,0.0
1801,reis,kana,nouns,0.4
1802,machlud haul,naru,nouns,0.0
1803,pêl,asu,nouns,0.05
1804,llaw,peukalo,nouns,1.55
1805,ennill,valmistaa,verbs,0.1
1806,blodyn,kestävyys,nouns,0.1
1807,llosgfynydd,magma,nouns,1.65
1808,damwain,kirja,nouns,0.0
1809,tarian,kilpi,nouns,2.25
1810,myfyrdod,kuva,nouns,1.25
1811,yn greadigol,alkuperäisesti,adverbs,1.15
1812,cais,hakija,nouns,1.4
1813,yn heddychlon,kaoottisesti,adverbs,0.2
1814,porth,ovi,nouns,3.75
1815,trefn,ruokalista,nouns,0.25
1816,sinamon,makeinen,nouns,0.6
1817,barn,valinta,nouns,0.95
1818,stondin,puhelin,nouns,0.0
1819,gwn,ihmiset,nouns,0.05
1820,cyfyngu,supistaa,verbs,3.45
1821,lladd,tuhota,verbs,3.15
1822,yn drist,tunteellisesti,adverbs,2.1
1823,gwaith celf,taiteilija,nouns,1.1
1824,twp,herkkäuskoinen,adjectives,1.3
1825,dadlau,perustella,verbs,0.9
1826,gwrthod,hyväksyä,verbs,0.25
1827,ysgol,arvosana,nouns,0.8
1828,yn ochelgar,huolellisesti,adverbs,3.35
1829,efallai,todennäköisesti,adverbs,2.2
1830,bryn,kalliojyrkänne,nouns,1.75
1831,deallusrwydd,tietämättömyys,nouns,0.25
1832,chwerthin,kikattaa,verbs,4.9
1833,tribiwnlys,oikeudenmukaisuus,nouns,1.15
1834,cinio,kana,nouns,1.05
1835,llac,joustava,adjectives,0.8
1836,llwyddo,menestyä,verbs,2.85
1837,seciwlarydd,uskonto,nouns,0.85
1838,cariad,kumppani,nouns,3.05
1839,alcohol,olut,nouns,2.8
1840,hen,uusi,adjectives,0.2
1841,methu,iskeä,verbs,0.25
1842,ton,sää,nouns,0.1
1843,bachgen,riisi,nouns,0.0
1844,enfawr,tyhmä,adjectives,0.0
1845,swper,ateria,nouns,3.35
1846,sychedig,nälkäinen,adjectives,1.35
1847,maddau,unohtaa,verbs,1.0
1848,tiwtora,kouluttaa,verbs,3.95
1849,injan,mäntä,nouns,2.15
1850,disgleirio,hohtaa,verbs,4.85
1851,gweiddi,kiistellä,verbs,1.45
1852,yn ddiogel,onnellisesti,adverbs,0.6
1853,allanfa,oviaukko,nouns,2.75
1854,dyn,epäilty,nouns,0.5
1855,presenoldeb,ovi,nouns,0.0
1856,cnawd,veri,nouns,0.95
1857,popcorn,elokuvateatteri,nouns,0.55
1858,seicoleg,tiede,nouns,2.0
1859,yn gynnil,äänekkäästi,adverbs,0.05
1860,casglu,organisoida,verbs,0.9
1861,yn derfynol,pääasiassa,adverbs,0.55
1862,arian,helmi,nouns,0.35
1863,cyhuddo,tuomita,verbs,3.0
1864,beic,iho,nouns,0.0
1865,colli,kypsentää,verbs,0.0
1866,bioleg,anatomia,nouns,2.55
1867,cerddoriaeth,melodia,nouns,2.8
1868,flwyddyn,vuosisata,nouns,1.55
1869,sinema,ooppera,nouns,1.1
1870,diymhongar,puhdashenkinen,adjectives,0.95
1871,buddugoliaeth,riemuvoitto,nouns,3.4
1872,styden,heppu,nouns,0.85
1873,gwely,makuuhuone,nouns,1.4
1874,braich,vartalo,nouns,1.1
1875,annisgwyl,ennennäkemätön,adjectives,3.8
1876,dyweddïo,naida,verbs,1.55
1877,sobr,humalainen,adjectives,0.25
1878,pîn-afal,älypuhelin,nouns,0.0
1879,pren,tukki,nouns,3.6
1880,deall,kuunnella,verbs,1.35
1881,credu,tietää,verbs,1.8
1882,dyn,ystävä,nouns,0.85
1883,pellter,näkökulma,nouns,0.1
1884,gêm,hauskuus,nouns,1.0
1885,cynilwr,säästö,nouns,1.85
1886,newyddion,pääkirjoitus,nouns,1.15
1887,cymryd,kantaa,verbs,0.6
1888,mwnci,kampanja,nouns,0.0
1889,athro,opiskelija,nouns,0.9
1890,pryderus,pelokas,adjectives,3.4
1891,cyfartaledd,säännöllinen,adjectives,0.75
1892,ymosodol,kaareva,adjectives,0.0
1893,gwn,tykki,nouns,2.7
1894,eirfwrdd,hiihtäminen,nouns,1.3
1895,ymgeisio,aikoa,verbs,1.65
1896,gwerthu,lainata,verbs,0.3
1897,trallod,epätoivo,nouns,3.05
1898,minc,öljy,nouns,0.1
1899,sudd,maito,nouns,1.15
1900,yn gynnil,rauhallisesti,adverbs,0.85
1901,sanctaidd,kallisarvoinen,adjectives,2.1
1902,anarferol,harvinainen,adjectives,4.7
1903,pont,kortti,nouns,0.0
1904,niweidio,potkaista,verbs,1.2
1905,hurt,valtava,adjectives,0.0
1906,cytuno,hyväksyä,verbs,3.25
1907,yn onest,vilpittömästi,adverbs,4.7
1908,arian,käteinen,nouns,3.55
1909,awdur,romaani,nouns,1.0
1910,blwch,koju,nouns,0.1
1911,soffa,pesäpallo,nouns,0.25
1912,newynog,väsynyt,adjectives,0.25
1913,yfed,korottaa,verbs,0.0
1914,cario ,ottaa,verbs,0.6
1915,argyhoeddi,kiistellä,verbs,0.5
1916,casglwr,aliohjelma,nouns,0.1
1917,deallusrwydd,viisaus,nouns,3.6
1918,mynegi,sanoa,verbs,3.85
1919,sgïo,lumilauta,nouns,1.3
1920,anfeidredd,nolla,nouns,0.05
1921,clwb,merkki,nouns,0.05
1922,dewis,vaalit,nouns,2.6
1923,haearn,vitamiini,nouns,0.85
1924,creulon,epäreilu,adjectives,1.75
1925,da,viides,adjectives,0.05
1926,smart,tyhmä,adjectives,0.2
1927,poen,haitta,nouns,1.8
1928,clariffeio,selittää,verbs,4.2
1929,ciwb,noppa,nouns,3.0
1930,dichonadwy,mahdoton,adjectives,0.55
1931,cadw,jäädä,verbs,0.55
1932,lleihau,laskeutua,verbs,0.5
1933,lwcus,häpeissään oleva,adjectives,0.05
1934,ymholi,ajatella,verbs,0.85
1935,deffro,kuorsata,verbs,0.2
1936,dewis,kappale,nouns,0.1
1937,meteor,painovoima,nouns,0.4
1938,stori,kirja,nouns,1.85
1939,cenedlaethol,tunnettu,adjectives,0.25
1940,system,vika,nouns,0.1
1941,cymeriad,henkilö,nouns,3.4
1942,meddwl,muistaa,verbs,0.9
1943,argymell,neuvoa,verbs,3.55
1944,hir,kapea,adjectives,0.55
1945,argraff,uskomus,nouns,1.45
1946,wythnos,viikonloppu,nouns,1.6
1947,arfordir,tykkivene,nouns,0.2
1948,gofyn,auttaa,verbs,0.35
1949,iâ,lumi,nouns,3.0
1950,doler,ihmiset,nouns,0.0
1951,caled,helppo,adjectives,0.2
1952,pwyntydd,dia,nouns,0.0
1953,methu,turvautua,verbs,0.25
1954,yn rhyfedd,epätavallisesti,adverbs,4.45
1955,alcohol,brandy,nouns,2.55
1956,beic,makuuhuone,nouns,0.0
1957,benthyciwr,luotto,nouns,0.95
1958,digwydd,tapahtua,verbs,0.6
1959,prynu,maksaa,verbs,2.75
1960,casáu,kritisoida,verbs,0.95
1961,nenfwd,katto,nouns,4.15
1962,cartref,osavaltio,nouns,0.05
1963,ardderchog,paha,adjectives,0.05
1964,derbyn,antaa,verbs,0.3
1965,dillad,kangas,nouns,2.0
1966,diymadferth,puutteenalainen,adjectives,1.0
1967,cario ,tuoda,verbs,1.85
1968,dafad,karitsa,nouns,3.8
1969,maddau,hyväksyä,verbs,1.25
1970,yn wael,nöyrästi,adverbs,0.1
1971,banereg,lippu,nouns,1.15
1972,perswadio,tavoitella,verbs,0.55
1973,cwmwl,sää,nouns,1.05
1974,yn aml,joskus,adverbs,0.65
1975,bardd,toimittaja,nouns,0.65
1976,confensiwn,sääntö,nouns,2.45
1977,miniog,mieto,adjectives,0.05
1978,yn realistig,hiljattain,adverbs,0.0
1979,mygu,musertaa,verbs,2.5
1980,plentyn,poika,nouns,2.3
1981,canlyn,suostutella,verbs,0.55
1982,crosio,virkapuku,nouns,0.0
1983,crwt,tytär,nouns,1.65
1984,rhwystredigaeth,viha,nouns,1.95
1985,cyfathrebu,kielenkäyttö,nouns,1.95
1986,dewis,haluta,verbs,0.85
1987,eira,jää,nouns,3.0
1988,llwyddo,epäonnistua,verbs,0.25
1989,cas,laitteisto,nouns,0.0
1990,o ychydig,täysin,adverbs,0.15
1991,cymryd yn ganiataol,ennustaa,verbs,0.6
1992,methu,onnistua,verbs,0.25
1993,trafodaeth,diplomatia,nouns,2.35
1994,toddi,liueta,verbs,3.3
1995,atwrnai,lakimies,nouns,4.5
