ID,FIN,YUE,PoS,score
1428,ihmeellinen,极好,adjectives,3.0
1429,olla velkaa,進入,verbs,0.0
1430,ryhmä,名單,nouns,0.83
1431,osua,瞄准,verbs,1.29
1432,laturi,磁盤,nouns,0.05
1433,rikos,攻擊,nouns,0.56
1434,muslimi,主教,nouns,0.24
1435,makuuhuone,肚,nouns,0.04
1436,viikko,週末,nouns,2.21
1437,solakka,瘦,adjectives,5.16
1438,karja,牛肉,nouns,2.49
1439,ennustaa,確定,verbs,0.34
1440,käyrä,角度,nouns,1.55
1441,lehmä,山羊,nouns,1.89
1442,tasavalta,公爵,nouns,0.38
1443,puuhiili,煤,nouns,3.68
1444,virkkaus,制服,nouns,0.0
1445,lentokenttä,片,nouns,0.0
1446,kertolasku,除法,nouns,1.8
1447,antaa,知道,verbs,0.2
1448,epäselvä,模糊,adjectives,4.58
1449,haluta,慾望,verbs,4.17
1450,väkivaltainen,被動,adjectives,0.15
1451,mellakka,畫畫,nouns,0.04
1452,järjetön,瘋狂,adjectives,4.88
1453,jäykkä,簡單,adjectives,0.05
1454,antaa,拒絕,verbs,0.0
1455,ase,戲法,nouns,0.0
1456,sekoittaa,攪拌,verbs,4.68
1457,legioona,軍隊,nouns,3.03
1458,kulttuuri,社會,nouns,1.47
1459,tragedia,死亡,nouns,1.19
1460,siemen,芥末,nouns,1.1
1461,puutteenalainen,無助,adjectives,0.95
1462,kilpailla,完成,verbs,0.29
1463,tamma,馬,nouns,3.58
1464,patikoida,爬,verbs,1.26
1465,likainen,淫賤,adjectives,0.38
1466,pullo,廣口瓶,nouns,2.88
1467,liiketoiminta,工業,nouns,2.27
1468,yliopisto,校園,nouns,2.68
1469,sänky,毯子,nouns,0.39
1470,ajatella,查詢,verbs,0.39
1471,satiiri,神話,nouns,0.53
1472,viini,酒,nouns,2.89
1473,itseluottamus,態度,nouns,1.36
1474,kaveri,伴侶,nouns,3.34
1475,jäähdytin,傳感器,nouns,0.41
1476,hyökkäys,閃電攻擊,nouns,3.54
1477,kriketti,支持者,nouns,0.04
1478,neliö,地圖,nouns,0.18
1479,ananas,手機,nouns,0.0
1480,astronomi,星系,nouns,1.44
1481,vatsa,睡房,nouns,0.04
1482,itkeä,哭泣,verbs,4.93
1483,joki,溪流,nouns,3.04
1484,samannäköinen,類似,adjectives,3.4
1485,pilvi,霧,nouns,1.75
1486,saari,海灘,nouns,0.86
1487,vetäytyä,離開,verbs,3.55
1488,tukahduttaa,擁抱,verbs,0.29
1489,iso,重,adjectives,0.92
1490,puumateriaali,原木,nouns,4.07
1491,ruoho,苔蘚,nouns,1.97
1492,haluta,選擇,verbs,0.44
1493,käytävä,門,nouns,0.48
1494,raha,珍珠,nouns,0.43
1495,menestyä,達到,verbs,3.44
1496,palvelustyttö,幫手,nouns,2.04
1497,helppo,困難,adjectives,0.24
1498,kuulla,聽,verbs,3.55
1499,numero,數字,nouns,4.55
1500,atomi,碳,nouns,1.33
1501,kysyä,唔睬,verbs,0.0
1502,ase,人,nouns,0.28
1503,maksu,工資,nouns,1.49
1504,uloskäynti,門口,nouns,3.48
1505,lentokone,噴射機,nouns,3.73
1506,vihje,字,nouns,0.24
1507,analysoida,比較,verbs,2.73
1508,valittaa,帶來,verbs,0.0
1509,huonekalut,公寓,nouns,0.48
1510,unohtaa,保留,verbs,0.1
1511,matkia,捕獲,verbs,0.1
1512,jättää,徘徊,verbs,0.09
1513,hyötyä,收割,verbs,0.94
1514,huolellisesti,謹慎地,adverbs,4.17
1515,osua,吸引,verbs,0.0
1516,vuosisata,酒,nouns,0.04
1517,vesi,冰,nouns,2.24
1518,nenä,頭,nouns,0.74
1519,ihmiset,元,nouns,0.0
1520,mahtava,壞,adjectives,0.1
1521,taito,智力,nouns,1.94
1522,älykkyys,無知,nouns,0.24
1523,tietää,明白,verbs,3.46
1524,tehdä kunniaa,演出,verbs,0.15
1525,takki,帽子,nouns,0.93
1526,huonekalut,床,nouns,2.37
1527,kiistää,說謊,verbs,0.72
1528,tavallinen,平凡,adjectives,4.7
1529,hukkua ,救,verbs,0.1
1530,veri,病毒,nouns,0.63
1531,silta,汽車,nouns,0.29
1532,oppia,吸收,verbs,2.59
1533,sitoumus,戒指,nouns,1.19
1534,lusikka,果汁,nouns,0.28
1535,kestävyys,樂隊,nouns,0.0
1536,mennä,進入,verbs,0.81
1537,lähettää,發射,verbs,2.15
1538,päivä,晚上,nouns,0.73
1539,vitamiini,鐵,nouns,0.58
1540,kamera,鏡片,nouns,1.16
1541,pyhimys,罪人,nouns,0.24
1542,haistaa,溺愛,verbs,0.05
1543,putka,酒吧,nouns,0.15
1544,myrsky,颶風,nouns,3.38
1545,vahvistaa,准許,verbs,2.88
1546,muodollinen,合乎體統,adjectives,2.84
1547,kirjailija,作曲家,nouns,1.83
1548,viesti,作業,nouns,0.72
1549,vaimo,老公,nouns,1.74
1550,auto ,高速公路,nouns,0.76
1551,rannikkoalue,海灘,nouns,nan
1552,likainen,狹窄,adjectives,0.0
1553,lepakko,吸血殭屍,nouns,1.25
1554,lakimies,大狀,nouns,4.63
1555,sekoitettu,舊,adjectives,0.14
1556,tunteellisesti,傷心地,adverbs,1.37
1557,esikoulu,幼兒園,nouns,2.03
1558,valtava,大規模,adjectives,4.41
1559,halata,摟抱,verbs,4.71
1560,ihailla,崇拜,verbs,4.47
1561,tuoli,沙發,nouns,2.69
1562,hurskaasti,成熟地,adverbs,0.34
1563,usva,雨,nouns,1.22
1564,sokeriruoko,聯合,nouns,0.1
1565,haukka,鳥,nouns,3.33
1566,pelästynyt,緊張,adjectives,2.5
1567,pormestari,首領,nouns,2.31
1568,jauho,麵包,nouns,1.02
1569,huomauttaa,批評,verbs,2.51
1570,kaapata,模仿,verbs,0.1
1571,suorittaa loppuun,休會,verbs,0.24
1572,antaa anteeksi,忘記,verbs,0.45
1573,arvokkuus,徽章,nouns,0.43
1574,viestintä,電視,nouns,0.65
1575,biohajota,毀滅,verbs,0.68
1576,veri,身體,nouns,0.81
1577,totuudenmukainen,不誠實,adjectives,0.24
1578,kaareva,直,adjectives,0.39
1579,joustava,容易,adjectives,1.59
1580,vene,車,nouns,0.68
1581,merkki,俱樂部,nouns,0.1
1582,kääntäjä,外國人,nouns,0.14
1583,kurjuus,絕望,nouns,3.27
1584,tarina,書,nouns,2.3
1585,toiminta,遊戲,nouns,0.81
1586,paraati,樂隊,nouns,0.38
1587,poika,兒童,nouns,2.44
1588,reilusti,不公平,adverbs,0.24
1589,luova,創新,adjectives,4.97
1590,saada kiinni,放走,verbs,0.43
1591,niemimaa,島,nouns,1.59
1592,vihainen,開心,adjectives,0.34
1593,sänky,幼兒床,nouns,2.92
1594,kansi,老鼠,nouns,0.04
1595,kylpy,原木,nouns,0.0
1596,kävellä,站立,verbs,0.53
1597,rakennus,房間,nouns,0.79
1598,luokka,大學,nouns,0.29
1599,elokuvaus,導演,nouns,1.04
1600,pohjoinen,西方,nouns,0.6
1601,suututtaa,刺激,verbs,4.24
1602,valmistaja,創造者,nouns,3.9
1603,sopimus,爭論,nouns,0.29
1604,menettää,失敗,verbs,0.86
1605,teräs,合金,nouns,3.24
1606,typerä,笨,adjectives,5.23
1607,lävistää,捏,verbs,0.82
1608,kehys,打,nouns,0.14
1609,veikata,賭,verbs,3.55
1610,radikaali,暴力,adjectives,2.25
1611,etsiä,看,verbs,1.17
1612,runo,韻律,nouns,0.67
1613,filosofi,賽跑,nouns,0.09
1614,pujotella,移動,verbs,0.55
1615,minttu,博物館,nouns,0.04
1616,valopuhelin,同音詞,nouns,0.0
1617,johtokunta,管理,nouns,3.24
1618,hyväksyä,原諒,verbs,1.07
1619,syyttäjä,律師,nouns,3.32
1620,kääre,港口,nouns,0.04
1621,minuus,自信,nouns,1.02
1622,sielu,兄弟,nouns,0.0
1623,varallisuus,名譽,nouns,0.62
1624,tippua,倒,verbs,0.86
1625,mainitsematon,婚外,adjectives,0.23
1626,kuningatar,蜜蜂,nouns,0.4
1627,ovela,堅固,adjectives,0.0
1628,kunnioitus,榮譽,nouns,2.71
1629,juna,電車,nouns,2.47
1630,helppo,脆弱,adjectives,0.23
1631,poliitikko,警察,nouns,0.39
1632,kuorma-auto,郵包,nouns,0.14
1633,jumala,魔鬼,nouns,0.7
1634,vatsa,靜脈,nouns,0.64
1635,presidentti,市長,nouns,2.4
1636,syyttää,推,verbs,0.23
1637,pappi,天神,nouns,0.77
1638,vihata,喜愛,verbs,0.24
1639,lihas,手臂,nouns,0.88
1640,seinä,裝飾,nouns,0.38
1641,sanoa,校驗,verbs,0.5
1642,nälkäinen,累,adjectives,0.43
1643,uskalias,自豪,adjectives,1.02
1644,niska,脊柱,nouns,1.78
1645,veli,父親,nouns,1.58
1646,ostaa,付款,verbs,3.08
1647,hyväksyä,推介,verbs,0.6
1648,hevonen,狗,nouns,1.52
1649,lakimies,畫廊,nouns,0.0
1650,paheksua,拒絕,verbs,0.7
1651,kulta,鋅,nouns,1.89
1652,pohja,上面,nouns,0.2
1653,mausteinen,弱,adjectives,0.04
1654,lannoite,發展,nouns,0.72
1655,laatikko,雪茄,nouns,0.2
1656,töykeä,噪,adjectives,0.57
1657,veli,姊妹,nouns,1.67
1658,alue,地帶,nouns,4.25
1659,suu,鼻子,nouns,0.94
1660,korvaus,紙幣,nouns,0.28
1661,liha,血液,nouns,0.63
1662,niukasti,大致,adverbs,0.55
1663,kansi,船,nouns,0.71
1664,päiväkirja,蜜糖,nouns,0.14
1665,sanakirja,字,nouns,1.02
1666,käsivarsi,膝蓋,nouns,0.83
1667,perustella,拗撬,verbs,0.68
1668,seinä,城堡,nouns,0.39
1669,surullinen,自豪,adjectives,0.0
1670,kappale,尾巴,nouns,0.04
1671,tuntea,相信,verbs,0.89
1672,korvaus,費用,nouns,3.31
1673,etsiä,狩獵,verbs,1.36
1674,nuori,開心,adjectives,0.1
1675,tauti,危險,nouns,0.52
1676,onnistua,節約,verbs,0.2
1677,käsivarsi,身體,nouns,1.06
1678,tunnettu,國民,adjectives,0.25
1679,entropia,信息,nouns,0.19
1680,läsnäolo,缺席,nouns,0.29
1681,olosuhde,情況,nouns,5.03
1682,nokkela,笨,adjectives,0.48
1683,mielekkäästi,特別,adverbs,0.8
1684,katu,汽車,nouns,0.52
1685,ihmiset,一分錢,nouns,0.18
1686,vastaanottaa,抓住,verbs,0.78
1687,oksa,手臂,nouns,0.1
1688,hyväksyä,謝絕,verbs,0.2
1689,viisumi,全球化,nouns,0.43
1690,myytti,諷刺,nouns,0.53
1691,kuningas,公主,nouns,1.79
1692,maali,赢家,nouns,0.63
1693,vakava,有趣,adjectives,0.34
1694,keskimääräinen,頻繁,adjectives,0.44
1695,universumi,天空,nouns,1.44
1696,mahdoton,可行,adjectives,0.29
1697,laittaa,掛,verbs,0.46
1698,isä,女兒,nouns,0.87
1699,hermo,腦,nouns,1.5
1700,tahraton,清潔,adjectives,5.2
1701,leuka,骨頭,nouns,1.65
1702,terminaalisesti,主要,adverbs,0.2
1703,laitteisto,案件,nouns,0.09
1704,kiistellä,合理地解釋,verbs,0.2
1705,painava,大,adjectives,0.92
1706,mukava,大方,adjectives,1.34
1707,voileipä,肉,nouns,0.54
1708,voittaja,冠軍,nouns,3.88
1709,sormus,訂婚,nouns,1.19
1710,aikuinen,監護人,nouns,2.56
1711,urheilija,賽跑運動員,nouns,3.45
1712,laimilyödä,斷絕父子關係,verbs,0.34
1713,paeta,逃走,verbs,5.43
1714,rannekello,裙子,nouns,0.09
1715,huutaa,拗撬,verbs,0.69
1716,kuvitella,創建,verbs,0.59
1717,sikari,煙鬥,nouns,0.29
1718,rauhallinen,中性,adjectives,0.73
1719,neule,褸,nouns,2.46
1720,veistos,雕像,nouns,4.93
1721,kuorsata,醒覺,verbs,0.15
1722,pekoni,肉,nouns,2.83
1723,isä,天神,nouns,0.29
1724,tyydyttää,理解,verbs,0.05
1725,rukoilla,溝通,verbs,0.34
1726,vauva,成人,nouns,0.58
1727,työntää,拉,verbs,0.39
1728,sentti,妻子,nouns,0.0
1729,onnellisesti,安全地,adverbs,0.92
1730,vaeltaa,離開,verbs,0.09
1731,viskositeetti,濺,nouns,0.3
1732,käsivarsi,肩膀,nouns,1.71
1733,kesä,冬天,nouns,0.64
1734,kapea,寬大,adjectives,0.29
1735,viulu,樂器,nouns,2.35
1736,mäntä,發動機,nouns,1.21
1737,halveksia,收費,verbs,0.0
1738,pilvi,霧氣,nouns,2.92
1739,robotiikka,模擬,nouns,0.57
1740,muodoton,不定形,adjectives,3.38
1741,sivilisaatio,生活方式,nouns,0.72
1742,kirkko,大教堂,nouns,4.73
1743,ehdokas,獲勝者,nouns,0.96
1744,ruma,亂,adjectives,0.71
1745,simulaatio,機器人技術,nouns,0.57
1746,suojella,防御,verbs,3.88
1747,kitara,鱒魚,nouns,0.0
1748,viikonloppu,星期,nouns,2.21
1749,äänekkäästi,猛烈地,adverbs,1.21
1750,valmiudet,才能,nouns,4.2
1751,herättää,打鼻鼾,verbs,0.15
1752,hienovaraisesti,明顯地,adverbs,0.15
1753,kissa,獅子,nouns,2.02
1754,osallistua,發送,verbs,0.24
1755,kirkontorni,教堂,nouns,1.22
1756,nöyrästi,糟糕,adverbs,0.18
1757,vaivata,加劇,verbs,0.2
1758,syntaksi,首詞,nouns,0.83
1759,kieltäytyä,謝絕,verbs,3.41
1760,todellisuus,幻想,nouns,0.56
1761,ylpeä,貧窮,adjectives,0.0
1762,liittää,分離,verbs,0.2
1763,eteishalli,走廊,nouns,3.9
1764,äänekkäästi,微妙地,adverbs,0.1
1765,sammal,草,nouns,1.97
1766,hoikka,苗條,adjectives,5.16
1767,älykkyys,洞察力,nouns,2.97
1768,äänekkäästi,輕輕的,adverbs,0.18
1769,auto,貨車,nouns,2.78
1770,liina,衣服,nouns,1.68
1771,kadota,消逝,verbs,4.97
1772,lentokenttä,飛機,nouns,0.82
1773,varkaus,犯罪,nouns,3.42
1774,auto,街,nouns,0.52
1775,mielettömästi,可悲的是,adverbs,0.2
1776,torjua,接受,verbs,0.38
1777,vastaanottaa,接受,verbs,0.77
1778,vatsa,課程,nouns,0.0
1779,liike,活動,nouns,2.27
1780,koriste,信封,nouns,0.05
1781,linna,壁,nouns,0.39
1782,pallo,籃子,nouns,0.24
1783,luuta,灰塵,nouns,0.8
1784,kiero,彎曲,adjectives,2.78
1785,kahdesti,多,adverbs,0.74
1786,saada selville,起源,verbs,0.43
1787,tapaus,電,nouns,0.0
1788,utu,雲,nouns,2.92
1789,nepotismi,國王,nouns,0.6
1790,suoli,神經,nouns,0.58
1791,vaahtera,橡木,nouns,2.45
1792,tilastotiede,網球,nouns,0.0
1793,realistisesti,理想地,adverbs,0.24
1794,epäluonnollisesti,負面地,adverbs,0.52
1795,luonto,植物群,nouns,1.83
1796,hysteria,混亂,nouns,1.98
1797,tuomari,法庭,nouns,1.1
1798,vasara,牙,nouns,0.04
1799,poika,狀態,nouns,0.04
1800,laaja,大,adjectives,3.6
1801,halailla,擁抱,verbs,4.71
1802,selkäranka,身體,nouns,0.88
1803,teleskooppi,椅子,nouns,0.04
1804,kirja,話題,nouns,0.3
1805,teatteri,電影,nouns,1.49
1806,sulautua,打,verbs,0.0
1807,taistella,咬,verbs,0.72
1808,viulu,吉他,nouns,2.22
1809,vamppyyri,蝙蝠,nouns,1.25
1810,pahvi,紙,nouns,2.88
1811,huilu,音樂,nouns,1.27
1812,yrittää,說服,verbs,0.2
1813,neuvoa,推介,verbs,3.1
1814,elokuu,月,nouns,2.53
1815,kiistellä,出席,verbs,0.2
1816,vaunu,容器,nouns,0.15
1817,väkivaltainen,激進,adjectives,2.25
1818,keidas,自由,nouns,0.0
1819,kersantti,槍,nouns,0.43
1820,kruunu,锁匙,nouns,0.04
1821,mylly,種子,nouns,0.29
1822,mieto,尖,adjectives,0.0
1823,poika,哥哥,nouns,2.66
1824,järkeistää,拗撬,verbs,0.2
1825,oppia,迷惑,verbs,0.0
1826,häntä,懸崖,nouns,0.04
1827,tiedustella,搜索,verbs,2.97
1828,ilmiselvä,顯然,adjectives,5.34
1829,paha,極好,adjectives,0.1
1830,ohjaaja,攝影,nouns,1.04
1831,säveltäjä,作家,nouns,1.83
1832,selventää,說明,verbs,4.01
1833,kuppi,罐子,nouns,2.54
1834,maali,尋求,nouns,0.24
1835,tuuri,幸福,nouns,0.71
1836,levoton,年輕,adjectives,0.15
1837,arvosana,學校,nouns,0.68
1838,näyttelijätär,演員,nouns,4.13
1839,päivämäärä,生日,nouns,2.0
1840,hakusana,句法,nouns,0.83
1841,sotilas,和平,nouns,0.15
1842,tapahtua,做,verbs,0.79
1843,kissa,狗,nouns,1.02
1844,kappale,晚上,nouns,0.0
1845,jälkeen,之前,adverbs,0.24
1846,hävitä,消失,verbs,4.97
1847,rabbi,老師,nouns,1.6
1848,koira,貓,nouns,1.02
1849,purkki,瓶子,nouns,2.88
1850,tavallinen,奇怪,adjectives,0.24
1851,legenda,道德,nouns,0.04
1852,muksu,女兒,nouns,2.0
1853,viihdyttää,享受,verbs,0.9
1854,tuhoeläin,農藥,nouns,0.67
1855,uniikki,相反,adjectives,0.29
1856,korvaus,硬幣,nouns,0.57
1857,ranta,海滨,nouns,2.97
1858,todistaa,解釋,verbs,2.6
1859,rumpu,喇叭,nouns,0.28
1860,sakkaroosi,醣類,nouns,2.5
1861,vaatteet,鈕扣,nouns,1.11
1862,hämmästyttävä,脏,adjectives,0.0
1863,auringonpaiste,射線,nouns,1.32
1864,vetolaatikko,衣服,nouns,0.33
1865,sattua,搞到唔開心,verbs,0.54
1866,välittömästi,一次,adverbs,0.19
1867,kello,塔,nouns,0.43
1868,anatomia,生物學,nouns,2.42
1869,ilmoittaa,通知,verbs,5.23
1870,peitto,大風,nouns,0.0
1871,vyötärö,肚,nouns,2.67
1872,kuningas,統治者,nouns,4.18
1873,huuli,臀部,nouns,0.74
1874,tervehtiä,見面,verbs,1.31
1875,pyyhkiä,惡化,verbs,0.14
1876,kylpy,氣球,nouns,0.05
1877,taistelu,好鬥,nouns,1.22
1878,kärpänen,螞蟻,nouns,1.21
1879,uudelleenhautaaminen,墳墓,nouns,1.1
1880,lehmä,家牛,nouns,3.54
1881,tahto,意圖,nouns,1.2
1882,motelli,小旅館,nouns,3.41
1883,karata,搵到,verbs,0.2
1884,isä,哥哥,nouns,1.58
1885,poliitikko,總統,nouns,3.04
1886,lentäjä,司機,nouns,3.42
1887,ennuste,灰濛蒙,nouns,0.44
1888,muotoutumaton,制服,adjectives,0.25
1889,purukumi,薄荷,nouns,0.63
1890,jalka,手臂,nouns,0.88
1891,kylpyhuone,睡房,nouns,1.37
1892,yhdistelmä,結合,nouns,3.49
1893,täysikasvuinen,未成熟的,adjectives,0.24
1894,jahdata,跟隨,verbs,2.98
1895,puumateriaali,石,nouns,0.67
1896,ase,軍士,nouns,0.43
1897,kävellä,跛行,verbs,2.42
1898,vaihto,替換,nouns,4.09
1899,kaava,等式,nouns,3.52
1900,ajoneuvo,巴士,nouns,2.59
1901,vaaleilla,選擇,verbs,1.04
1902,pelästynyt,不肯定,adjectives,0.73
1903,torni,鐘,nouns,0.43
1904,lisätä,除,verbs,0.81
1905,menettää,保持,verbs,0.15
1906,auto,車,nouns,6.0
1907,vaimo,母親,nouns,2.21
1908,sisäkatto,地板,nouns,0.83
1909,päivä ,黎明,nouns,2.33
1910,keraaminen esine,陶藝,nouns,3.49
1911,pormestari,總統,nouns,2.4
1912,ompelulanka,紗,nouns,3.46
1913,kysyä,祈禱,verbs,0.68
1914,saastuminen,大氣層,nouns,0.32
1915,katsella,觀察,verbs,3.93
1916,kuukausipalkka,費用,nouns,1.49
1917,planeetta,星星,nouns,2.0
1918,sankari,女英雄,nouns,3.9
1919,prinsessa,餅乾,nouns,0.0
1920,kimppu,人群,nouns,0.05
1921,vartalo,底衫褲,nouns,0.52
1922,heppu,朋友,nouns,0.91
1923,väkivaltainen,柔軟,adjectives,0.1
1924,koulu,年級,nouns,0.68
1925,pallo,手套,nouns,0.19
1926,arvomerkki,尊嚴,nouns,0.43
1927,varoittaa,停,verbs,0.19
1928,stressaantunut,輕鬆,adjectives,0.38
1929,kynsi,手,nouns,1.21
1930,sivuuttaa,忘記,verbs,2.17
1931,juhlapäivä,日曆,nouns,0.72
1932,huoltaja,成人,nouns,2.56
1933,peli,行動,nouns,0.81
1934,aikuinen,嬰兒,nouns,0.58
1935,tiedottaa,通知,verbs,5.23
1936,tyhmä,稀罕,adjectives,0.14
1937,varmasti,有時,adverbs,0.15
1938,lähettää,走,verbs,0.1
1939,kirja,意外,nouns,0.0
1940,tiedottaa,擦亮,verbs,0.0
1941,katastrofi,意外,nouns,3.6
1942,kiistää,承認,verbs,0.24
1943,museo,薄荷,nouns,0.04
1944,hyväksyä,收到,verbs,0.77
1945,osallistua,拗撬,verbs,0.2
1946,hauska,傷心,adjectives,0.24
1947,salata,偽裝,verbs,3.42
1948,pesäpallo,沙發,nouns,0.25
1949,teatteri,電池,nouns,0.09
1950,suu,牙齒,nouns,1.22
1951,aamiainen,煙肉,nouns,0.78
1952,tuoli,凳子,nouns,4.33
1953,huippu,側面,nouns,0.47
1954,aritmetiikka,韻律,nouns,0.1
1955,suorittaa loppuun,競爭,verbs,0.29
1956,opiskelija,老師,nouns,1.01
1957,heppu,女孩,nouns,0.82
1958,tuore,寬,adjectives,0.0
1959,mehu,蘋果,nouns,0.71
1960,väkijuoma,樂隊,nouns,0.0
1961,raja,分界線,nouns,3.37
1962,epärehellinen,壞,adjectives,1.35
1963,koulu,法律,nouns,0.28
1964,löytää,逃逸,verbs,0.2
1965,helmi,錢,nouns,0.43
1966,pohjimmiltaan,充分,adverbs,1.06
1967,laskeutua,減少,verbs,0.15
1968,huolellisesti,危險地,adverbs,0.14
1969,sana,習語,nouns,1.25
1970,positiivisesti,大概,adverbs,0.77
1971,typerä,頑固,adjectives,0.57
1972,johtokunta,工作,nouns,0.72
1973,mies,兒童,nouns,1.46
1974,etsiä,尋求,verbs,3.93
1975,riutta,海灘,nouns,0.64
1976,mökki,小木屋,nouns,3.33
1977,demoni,天使,nouns,0.54
1978,leveä,窄小,adjectives,0.29
1979,diodi,電容器,nouns,1.88
1980,levy,電腦,nouns,0.83
1981,pysähtyä,駕駛,verbs,0.15
1982,ylpeästi,謙遜地,adverbs,0.34
1983,jaardi,米,nouns,2.54
1984,odottaa,離開,verbs,0.15
1985,mehu,牛奶,nouns,0.97
1986,johtokunta,老鼠,nouns,0.04
1987,valkoinen,狹窄,adjectives,0.0
1988,luokka,混亂,nouns,0.0
1989,kääpiömäinen,短小,adjectives,3.51
1990,kuja,碗,nouns,0.0
1991,sairaus,傳染病,nouns,3.09
1992,vaatimaton,羞愧,adjectives,0.38
1993,kukka,信念,nouns,0.0
1994,lattia,天花板,nouns,0.83
1995,erottaa,連接,verbs,0.2
1996,jää,水,nouns,2.24
1997,sarvi,車,nouns,0.09
1998,kirja,文學,nouns,2.7
1999,kolikko,付款,nouns,0.57
2000,työläinen,相機,nouns,0.23
2001,antaa,斷絕父子關係,verbs,0.04
2002,kuunnella,聽見,verbs,3.55
2003,joskus,肯定地,adverbs,0.15
2004,mehiläinen,螞蟻,nouns,1.57
2005,kuvitella,假扮,verbs,0.69
2006,juoruilu,新聞,nouns,0.96
2007,passiivisesti,積極地,adverbs,0.24
2008,hienovaraisesti,冷靜地,adverbs,1.01
2009,serkku,叔叔,nouns,1.63
2010,makeinen,蘋果,nouns,0.24
2011,vetää,推,verbs,0.39
2012,molekyyli,原子,nouns,2.33
2013,taivas,陽光,nouns,0.96
2014,munkki,十字架,nouns,0.29
2015,keskinkertainen,好的,adjectives,0.39
2016,hame,手錶,nouns,0.09
2017,hammas,嘴巴,nouns,1.22
2018,likainen,非常好,adjectives,0.0
2019,tavata,游泳,verbs,0.04
2020,jalkaterä,沙漠,nouns,0.04
2021,voi,土豆,nouns,0.45
2022,naiivi,天,adjectives,0.24
2023,kirjallinen muotokuva,性能,nouns,0.5
2024,puuvilla,聚酯纖維,nouns,0.92
2025,valtava,小,adjectives,0.24
2026,anoa,借,verbs,0.82
2027,papu,咖啡,nouns,0.57
2028,jaardi,英寸,nouns,2.54
2029,suostutella,追求,verbs,0.48
2030,vaunut,四輪貨運馬車,nouns,4.29
2031,marihuana,草藥,nouns,2.29
2032,laulaa,大笑,verbs,0.43
2033,mies,武士,nouns,1.15
2034,käsilaukku,袋,nouns,3.27
2035,moraali,傳說,nouns,0.04
2036,koti,州,nouns,0.1
2037,onnellinen,年輕,adjectives,0.1
2038,matkatavarat,環球航行,nouns,0.38
2039,avain,鎖,nouns,0.95
2040,kiistellä,同意,verbs,0.2
2041,ääni,聲學,nouns,2.74
2042,hiilihydraatti,蔗糖,nouns,2.5
2043,levy,充電器,nouns,0.05
2044,teeskennellä,想像,verbs,0.69
2045,taistella,不同意,verbs,0.55
2046,kallisarvoinen,神聖,adjectives,1.89
2047,silta,卡,nouns,0.0
2048,brandy,酒,nouns,3.22
2049,tukki,木材,nouns,3.23
2050,aurinko,天空,nouns,0.96
2051,lähettää,帶來,verbs,0.49
2052,varmasti,明顯地,adverbs,3.95
2053,moottoritie,車,nouns,0.76
2054,tuoda,抱怨,verbs,0.0
2055,seistä,步行,verbs,0.53
2056,jatko-osa,相機,nouns,0.04
2057,kartano,雕塑家,nouns,0.05
2058,mennä,來,verbs,0.58
2059,peittää,掩飾,verbs,3.42
2060,kuume,疾病,nouns,2.48
2061,seimi,搖床,nouns,4.05
2062,vahva,自豪,adjectives,0.48
2063,hullu,瘋,adjectives,4.88
2064,kiistellä,抱怨,verbs,0.74
2065,hiljaa,被動地,adverbs,0.82
2066,yksinkertainen,容易,adjectives,5.03
2067,hitti,陷害,nouns,0.14
2068,sekoittaa,喝,verbs,0.04
2069,järvi,雲,nouns,0.33
2070,mekaanikko,工人,nouns,2.25
2071,puolustaa,保護,verbs,3.88
2072,hiljattain,現實地,adverbs,0.32
2073,tehtävä,島,nouns,0.0
2074,nainen,男人,nouns,0.77
2075,säilytysastia,四輪貨運馬車,nouns,0.15
2076,lehti,樹,nouns,1.06
2077,elokuva,戲,nouns,4.97
2078,yhteiskunta,文化,nouns,1.47
2079,pilvi,天氣,nouns,0.87
2080,koko,戲法,nouns,0.0
2081,näyttelijä,電視,nouns,0.76
2082,painaa,放開,verbs,0.09
2083,kangas,衣服,nouns,2.24
2084,selittää,證明,verbs,2.6
2085,valtameri,海,nouns,5.03
2086,unohtaa,無視,verbs,2.17
2087,hyväksyä,拒絕,verbs,0.54
2088,ruusu,蝴蝶,nouns,0.2
2089,talvi,季節,nouns,1.93
2090,auringonlasku,日出,nouns,0.92
2091,kaneli,糖果,nouns,0.38
2092,hanska,球,nouns,0.19
2093,auto,廠,nouns,0.1
2094,kuvata,假扮,verbs,0.24
2095,tieteilijä,護士,nouns,0.24
2096,esteettömyys,審查,nouns,0.1
2097,kauneus,十四行詩,nouns,0.1
2098,planeetta,月亮,nouns,2.42
2099,yleensä,很少地,adverbs,0.24
2100,ulospäinsuuntautunut,進來,adjectives,0.2
2101,patsas,雕塑,nouns,4.93
2102,peukalo,指甲,nouns,1.8
2103,sokeri,蜜糖,nouns,2.13
2104,ennennäkemätön,意料之外,adjectives,3.52
2105,tulla,走,verbs,0.58
2106,silmä,眼淚,nouns,0.77
2107,laulu,演員,nouns,0.4
2108,hyytävä,粗暴,adjectives,0.34
2109,iho,自行車,nouns,0.04
2110,vapaa,無辜,adjectives,0.3
2111,aakkoset,鋼筆,nouns,0.05
2112,naida,訂婚,verbs,2.46
2113,lainata,想要,verbs,0.49
2114,valloitus,戰役,nouns,1.36
2115,etelä,北,nouns,1.23
2116,vannoa,承諾,verbs,4.22
2117,sensuuri,自由,nouns,0.1
