ID,FRA,SPA,PoS,score
1491,saluer,realizar,verbs,0.25
1492,style,elegancia,nouns,4.45
1493,salade,dieta,nouns,1.35
1494,n'importe quand,a veces,adverbs,0.75
1495,action,curso,nouns,1.95
1496,aller,permitir,verbs,0.4
1497,rein,órgano,nouns,3.7
1498,personne,animal,nouns,0.95
1499,faute,sistema,nouns,0.3
1500,dire,verificar,verbs,0.9
1501,admettre,negar,verbs,0.9
1502,jour,noche,nouns,1.7
1503,calmement,sutilmente,adverbs,1.7
1504,souris,rata,nouns,4.4
1505,sel,agua,nouns,0.85
1506,incroyable,sucio,adjectives,0.35
1507,ballon,cesta,nouns,0.8
1508,délinquant,criminal,nouns,4.75
1509,jurer,prometer,verbs,5.35
1510,prison,elección,nouns,0.3
1511,criquet,seguidor,nouns,0.35
1512,type,semental,nouns,1.3
1513,lire,comprender,verbs,1.3
1514,manifestement,discretamente,adverbs,0.75
1515,pathologie,hematología,nouns,2.15
1516,copain,acompañante,nouns,4.8
1517,détruire,hacer,verbs,0.8
1518,chèvre,vaca,nouns,1.95
1519,coeur,cirugía,nouns,1.4
1520,oublier,conservar,verbs,0.9
1521,bouger,tejer,verbs,0.3
1522,société,negocio,nouns,2.45
1523,mordre,leer,verbs,0.0
1524,intérêt,atención,nouns,4.2
1525,sac,monedero,nouns,2.2
1526,yaourt,miel,nouns,1.25
1527,maternelle,guardería,nouns,3.4
1528,chaise,cama,nouns,1.75
1529,bain,tronco,nouns,0.0
1530,indépendamment,responsablemente,adverbs,1.0
1531,sauver,gastar,verbs,0.3
1532,alcool,cóctel,nouns,3.05
1533,chaos,anarquía,nouns,4.0
1534,autruche,huerta,nouns,0.25
1535,nuage,tormenta,nouns,1.6
1536,ignorer,pedir,verbs,0.65
1537,session,paciente,nouns,0.45
1538,infection,inflexión,nouns,0.25
1539,recevoir,dar,verbs,0.9
1540,rappeler,vender,verbs,0.2
1541,coton,poliéster,nouns,1.95
1542,intelligent,tonto,adjectives,1.0
1543,attention,interés,nouns,4.2
1544,activité,movimiento,nouns,3.4
1545,agneau,oveja,nouns,4.3
1546,échouer,confiar,verbs,0.3
1547,foule,desfile,nouns,2.45
1548,frère,hijo,nouns,1.65
1549,généreusement,nunca,adverbs,0.05
1550,couloir,clase,nouns,0.75
1551,éroder,permitir,verbs,0.15
1552,stupide,inteligente,adjectives,0.95
1553,grandement,oficialmente,adverbs,0.55
1554,notifier,informar,verbs,5.25
1555,mère,guardián,nouns,1.5
1556,fabricant,creador,nouns,4.4
1557,salle de bain,habitación,nouns,1.9
1558,exactement,precisamente,adverbs,5.45
1559,paire,pareja,nouns,5.2
1560,feu,apocalipsis,nouns,1.3
1561,limité,escaso,adjectives,4.0
1562,terne,agudo,adjectives,0.05
1563,victoire,triunfo,nouns,5.6
1564,vinaigre,ensalada,nouns,1.45
1565,fraternité,hombres,nouns,1.45
1566,rejeter,elegir,verbs,0.75
1567,peuple,globo,nouns,0.25
1568,vol,aviación,nouns,2.5
1569,crèche,preescolar,nouns,3.4
1570,lentille,cámara,nouns,2.45
1571,autrefois,instantáneamente,adverbs,1.1
1572,subtilement,tranquilamente,adverbs,1.7
1573,calendrier,vacaciones,nouns,1.75
1574,perceptible,obvio,adjectives,3.2
1575,suivre,perseguir,verbs,3.2
1576,sujet,hashtag,nouns,2.95
1577,cours,acción,nouns,1.95
1578,roi,princesa,nouns,2.55
1579,facile,flexible,adjectives,1.8
1580,réceptacle,ratón,nouns,0.1
1581,bruyamment,sutilmente,adverbs,0.7
1582,dentiste,ortodoncista,nouns,4.45
1583,honnête,culpable,adjectives,0.65
1584,femme,tarea,nouns,0.15
1585,cinéma,televisión,nouns,2.8
1586,principalement,terminalmente,adverbs,0.2
1587,terne,gracioso,adjectives,0.3
1588,poète,periodista,nouns,1.35
1589,rythme,aritmética,nouns,0.55
1590,miel,lácteos,nouns,1.25
1591,bière,alcohol,nouns,3.1
1592,ski,snowboard,nouns,3.3
1593,bonne,niña,nouns,0.75
1594,tromper,hacer trampas,verbs,3.9
1595,sobre,racional,adjectives,1.2
1596,rassembler,asistir,verbs,0.8
1597,abondance,mucho,nouns,5.4
1598,apprendre,confundir,verbs,0.6
1599,calibre,paraguas,nouns,0.15
1600,combat,beligerancia,nouns,4.0
1601,tempête,nube,nouns,1.6
1602,satire,mito,nouns,2.0
1603,frustrer,desalentar,verbs,3.4
1604,littérature,palabra,nouns,2.35
1605,terrifiant,enojado,adjectives,0.6
1606,gomme,menta,nouns,0.55
1607,sujet,historia,nouns,1.4
1608,coopérer,participar,verbs,3.95
1609,livre,tema,nouns,1.1
1610,esprit,neurosis,nouns,1.6
1611,légende,moral,nouns,1.2
1612,nuit,día,nouns,1.7
1613,père,dios,nouns,2.25
1614,biologie,anatomía,nouns,2.8
1615,rare,exótico,adjectives,4.35
1616,personnel,privado,adjectives,4.75
1617,atteindre,tratar,verbs,1.15
1618,tristement,locamente,adverbs,0.7
1619,récemment,de manera realista,adverbs,0.15
1620,gagner,hacer,verbs,0.55
1621,posséder,tomar,verbs,2.5
1622,taux,valor,nouns,3.35
1623,molécule,átomo,nouns,3.25
1624,sultan,ministerio,nouns,0.7
1625,boîte,fuente,nouns,0.1
1626,carte mère,placa base,nouns,2.85
1627,portable,teléfono,nouns,5.4
1628,frontière,frontera,nouns,5.35
1629,arrêter,conducir,verbs,1.05
1630,pomme de terre,mantequilla,nouns,1.2
1631,décennie,era,nouns,2.85
1632,câliner,abrazo,verbs,5.0
1633,évêque,musulmán,nouns,1.0
1634,flèche,objetivo,nouns,1.9
1635,fenêtre,tobillo,nouns,0.05
1636,registre,accidente,nouns,0.4
1637,puissant,débiles,adjectives,0.85
1638,affaire,empresa,nouns,4.05
1639,rivaliser,terminar,verbs,0.2
1640,joindre,casarse,verbs,3.05
1641,spécial,valioso,adjectives,3.9
1642,dentiste,coronel,nouns,0.4
1643,père,progenitor,nouns,4.75
1644,monstre,demonio,nouns,4.0
1645,acide,base,nouns,1.65
1646,justifier,verificar,verbs,2.3
1647,alimentation,programa,nouns,0.6
1648,flic,copiloto,nouns,0.55
1649,canapé,silla,nouns,3.05
1650,fâché,violento,adjectives,2.05
1651,stupide,denso,adjectives,0.25
1652,avocat,galería,nouns,0.15
1653,éclaboussure,viscosidad,nouns,0.75
1654,officiellement,fuertemente,adverbs,0.2
1655,veste,suéter,nouns,3.15
1656,organiser,exigir,verbs,0.35
1657,humide,pegajoso,adjectives,1.35
1658,flexible,elástico,adjectives,4.45
1659,vague,clima,nouns,0.75
1660,couteau,pistola,nouns,2.3
1661,énorme,tonto,adjectives,0.65
1662,colonel,dentista,nouns,0.4
1663,dîner,comida,nouns,4.3
1664,submerger,ahogar,verbs,2.15
1665,criminel,delincuente,nouns,4.75
1666,garçon,arroz,nouns,0.05
1667,pouce,uña,nouns,2.25
1668,envoyer,traer,verbs,1.55
1669,affamé,cansado,adjectives,1.55
1670,assiette,cuenco,nouns,2.65
1671,localiser,encontrar,verbs,5.1
1672,bois,tronco,nouns,3.75
1673,empereur,gobernador,nouns,3.05
1674,créer,construir,verbs,4.5
1675,centime,ganga,nouns,0.3
1676,coupable,avergonzado,adjectives,2.4
1677,briller,brillar,verbs,4.85
1678,joindre,adquirir,verbs,1.0
1679,probablement,afirmativamente,adverbs,1.15
1680,système,culpa,nouns,0.3
1681,fleur,creencia,nouns,0.05
1682,neige,clima,nouns,1.5
1683,rappeler,olvidar,verbs,0.8
1684,diplomatie,negociación,nouns,3.15
1685,lampe,genio,nouns,1.45
1686,galaxie,aplicación,nouns,0.2
1687,ventre,abdomen,nouns,4.75
1688,légal,seguro,adjectives,1.75
1689,nuage,lago,nouns,0.55
1690,eau,coronación,nouns,0.25
1691,tabac,cigarrillo,nouns,4.05
1692,bruyant,grosero,adjectives,1.3
1693,faux,artificial,adjectives,4.0
1694,nouveau,no usado,adjectives,5.1
1695,chauve-souris,vampiro,nouns,2.45
1696,dieu,padre,nouns,2.25
1697,boeuf,ganado,nouns,4.0
1698,aller,empezar,verbs,0.95
1699,câble,mago,nouns,0.0
1700,se produire,hacer,verbs,1.2
1701,attendre,salir,verbs,0.85
1702,négliger,desconocer,verbs,1.7
1703,défilé,multitud,nouns,2.45
1704,mer,delta,nouns,1.8
1705,champion,ganador,nouns,5.0
1706,éblouir,ojear,verbs,0.4
1707,bon marché,barato,adjectives,5.4
1708,trône,espada,nouns,0.7
1709,lisse,agudo,adjectives,1.1
1710,ananas,teléfono inteligente,nouns,0.0
1711,épouse,madre,nouns,2.7
1712,récemment,últimamente,adverbs,5.25
1713,dinosaure,elefante,nouns,1.3
1714,machine,motor,nouns,3.15
1715,probablement,posiblemente,adverbs,4.7
1716,côte,barco de cañón,nouns,0.55
1717,arrêter,silbar,verbs,0.5
1718,tour,juego,nouns,2.2
1719,article,manuscrito,nouns,2.4
1720,vacances,calendario,nouns,1.75
1721,renard,sabueso,nouns,1.75
1722,fier,arrogante,adjectives,4.05
1723,chenille,gusano de seda,nouns,3.35
1724,secouer,remover,verbs,3.5
1725,anormalement,normalmente,adverbs,0.85
1726,mettre,dar,verbs,1.5
1727,siècle,año,nouns,2.05
1728,circonstance,situación,nouns,5.4
1729,vainqueur,hombre,nouns,1.0
1730,verser,gotear,verbs,1.6
1731,hôpital,cama,nouns,1.15
1732,jouer,lucha,verbs,0.9
1733,ignorer,explorar,verbs,0.4
1734,faux,preciso,adjectives,0.3
1735,trouver,buscar,verbs,2.0
1736,jambe,miembro,nouns,3.65
1737,affiche,papel,nouns,2.65
1738,homme,víctor,nouns,1.0
1739,imiter,capturar,verbs,0.45
1740,manifeste,no revelado,adjectives,0.4
1741,hymne,biblia,nouns,0.6
1742,faire,construir,verbs,3.85
1743,informer,limpiar,verbs,0.1
1744,habit,botón,nouns,1.8
1745,lire,morder,verbs,0.0
1746,étudiant,alumno,nouns,5.6
1747,intelligent,tonto,adjectives,0.95
1748,bétail,vaca,nouns,3.35
1749,langue,garganta,nouns,1.75
1750,impuissant,necesitado,adjectives,1.55
1751,créateur,autor,nouns,5.2
1752,cathédrale,iglesia,nouns,4.55
1753,donner,mantener,verbs,1.3
1754,dinde,pájaro,nouns,3.1
1755,aller,enviar,verbs,0.8
1756,sociobiologie,mutante,nouns,0.45
1757,acétylcholine,iris,nouns,nan
1758,laid,crudo,adjectives,0.85
1759,crucial,importante,adjectives,5.05
1760,blesser,molestar,verbs,1.95
1761,gentiment,amablemente,adverbs,2.85
1762,facile,grande,adjectives,0.2
1763,venir,asistir,verbs,2.7
1764,critiquer,empujar,verbs,0.25
1765,canapé,béisbol,nouns,0.15
1766,passionnant,aburrido,adjectives,0.4
1767,poignet,mano,nouns,2.75
1768,illégal,legal,adjectives,0.75
1769,saisir,esforzarse,verbs,0.75
1770,exiger,reñir,verbs,0.7
1771,rondin,madera,nouns,3.75
1772,paiement,moneda,nouns,2.65
1773,cigare,caja,nouns,1.05
1774,pull-over,chaqueta,nouns,3.15
1775,confondre,aprender,verbs,0.6
1776,penser,preguntar,verbs,0.95
1777,voiture,taxi,nouns,3.9
1778,sauver,destruir,verbs,0.65
1779,débattre,grito,verbs,1.5
1780,sénat,constitución,nouns,1.9
1781,ongle,pulgar,nouns,2.25
1782,week-end,raza,nouns,0.25
1783,aéroport,avión,nouns,2.05
1784,argent,capital,nouns,4.4
1785,accepter,recomendar,verbs,0.9
1786,cerveau,nervio,nouns,1.6
1787,reconnaître,hablar,verbs,0.65
1788,arrêter,advertir,verbs,1.05
1789,posséder,mantener,verbs,2.85
1790,bulbe,flor,nouns,2.15
1791,tristement,emocionalmente,adverbs,2.05
1792,voiture,automóvil,nouns,5.75
1793,être d'accord,discrepar,verbs,1.25
1794,hélium,aire,nouns,2.05
1795,étreindre,abrazar,verbs,5.0
1796,pollution,presidente,nouns,0.5
1797,voler,adquirir,verbs,1.3
1798,demander,mendigar,verbs,3.2
1799,brûler,ahogar,verbs,0.4
1800,porter,tomar,verbs,1.3
1801,course,filósofo,nouns,0.3
1802,croyance,valor,nouns,2.5
1803,assister,reunir,verbs,0.8
1804,tasse,cono,nouns,0.95
1805,douche,monasterio,nouns,0.1
1806,sable,pie,nouns,0.5
1807,fourrure,mujer,nouns,0.4
1808,alcool,banda,nouns,0.4
1809,perdre,obtener,verbs,0.8
1810,arranger,gestionar,verbs,4.7
1811,poitrine,cuerpo,nouns,1.8
1812,jamais,generosamente,adverbs,0.05
1813,ordinaire,extraño,adjectives,0.9
1814,bouche,diente,nouns,2.25
1815,lin,tela,nouns,3.05
1816,maison,alfombra,nouns,0.8
1817,texte,libro,nouns,3.25
1818,invité,amigo,nouns,2.25
1819,uniforme,desformado,adjectives,0.8
1820,homophone,fotófono,nouns,0.65
1821,année,cumpleaños,nouns,2.1
1822,chien,zorro,nouns,1.75
1823,couverture,cama,nouns,1.75
1824,rétrécir,reducir,verbs,4.8
1825,ordinaire,ignorante,adjectives,0.45
1826,discrètement,cortésmente,adverbs,2.1
1827,assister,discutir,verbs,0.65
1828,entreprise,negocio,nouns,4.05
1829,abordable,económico,adjectives,5.4
1830,paille,tarea,nouns,0.05
1831,faisable,imposible,adjectives,0.95
1832,chaise,taburete,nouns,3.7
1833,plage,arrecife,nouns,2.05
1834,divertir,disfrutar,verbs,1.3
1835,auteur,lector,nouns,1.55
1836,ordinaire,frío,adjectives,0.25
1837,nécessiteux,impotente,adjectives,1.55
1838,dangereusement,cuidadosamente,adverbs,0.55
1839,poulet,filete,nouns,2.35
1840,jardin,manguera,nouns,0.8
1841,téléphone,víctima,nouns,0.1
1842,boeuf,carne,nouns,3.75
1843,chambre à coucher,bicicleta,nouns,0.2
1844,porte,presencia,nouns,0.45
1845,vaste,estrecho,adjectives,0.65
1846,intelligence,sabiduría,nouns,4.0
1847,arriver,salir,verbs,0.4
1848,retenir,olvidar,verbs,0.9
1849,activement,felizmente,adverbs,0.3
1850,prévenir,detener,verbs,1.05
1851,responsablement,independientemente,adverbs,1.0
1852,rejeter,condenar,verbs,2.95
1853,application,galaxia,nouns,0.2
1854,bouteille,tarro,nouns,2.7
1855,faire,ganar,verbs,0.55
1856,suspect,hombre,nouns,0.95
1857,chiffre,citoplasma,nouns,0.0
1858,flûte,música,nouns,2.2
1859,populaire,conocido,adjectives,4.85
1860,ronfler,despierto,verbs,0.8
1861,château,pared,nouns,0.95
1862,flexible,suelto,adjectives,1.25
1863,candidature,solicitante,nouns,2.25
1864,porte,bodega,nouns,0.75
1865,prépuce,circuncisión,nouns,2.15
1866,jamais,raramente,adverbs,2.65
1867,cannelle,caramelo,nouns,1.15
1868,bon,conocido,adjectives,0.85
1869,oublier,ignorar,verbs,3.05
1870,poulain,caballo,nouns,3.6
1871,vendre,estar de acuerdo,verbs,0.85
1872,cliquetis,ruido,nouns,3.95
1873,souvent,raramente,adverbs,1.25
1874,usine,coche,nouns,0.75
1875,gros,alto,adjectives,3.25
1876,sembler,pretender,verbs,2.25
1877,normalement,anormalmente,adverbs,0.85
1878,abordable,barato,adjectives,5.15
1879,cesser,empezar,verbs,0.9
1880,attendre,permanecer,verbs,2.6
1881,puéril,tonto,adjectives,2.9
1882,adorer,admirar,verbs,4.2
1883,sans abri,multimillonario,nouns,0.85
1884,porte,fraternidad,nouns,0.2
1885,émotionnellement,tristemente,adverbs,2.05
1886,accuser,juzgar,verbs,3.0
1887,estomac,curso,nouns,0.15
1888,pain,carne,nouns,1.2
1889,cesser,hacer,verbs,0.9
1890,marteau,dientes,nouns,0.05
1891,emprunter,mendigar,verbs,1.2
1892,chercher,cazar,verbs,1.85
1893,papillon,rosa,nouns,0.5
1894,ici,ahora,adverbs,1.9
1895,chargeur,disco,nouns,0.8
1896,envoyer,ir,verbs,0.8
1897,batterie,teatro,nouns,0.15
1898,crédit,prestatario,nouns,2.2
1899,prétendre,parecer,verbs,2.25
1900,disparaître,encoger,verbs,1.1
1901,badge,vaso,nouns,0.6
1902,bateau,cubierta,nouns,1.35
1903,satisfaire,comprender,verbs,0.7
1904,étouffer,respirar,verbs,1.25
1905,société,cultura,nouns,2.55
1906,docteur,médico,nouns,5.55
1907,sérieusement,sinceramente,adverbs,2.25
1908,évaluer,analizar,verbs,4.75
1909,bateau,motor,nouns,1.1
1910,écouter,aprender,verbs,1.7
1911,hashtag,tema,nouns,2.95
1912,paix,soldado,nouns,0.85
1913,accuser,mentir,verbs,0.75
1914,recueillir,sacudir,verbs,0.35
1915,proie,dios,nouns,0.05
1916,lèvre,cadera,nouns,0.8
1917,assister,aparecer,verbs,2.1
1918,long métrage,filme,nouns,5.75
1919,grand,flexible,adjectives,0.15
1920,acoustique,sonido,nouns,4.1
1921,rire,cantar,verbs,1.15
1922,frigide,áspero,adjectives,0.55
1923,créatif,innovador,adjectives,5.05
1924,nuage,neblina,nouns,3.15
1925,ouvrier,oficina,nouns,0.55
1926,pistolet,cuaderno,nouns,0.15
1927,chocolat,tarta,nouns,1.7
1928,étoile,asteroide,nouns,2.95
1929,aller,vender,verbs,0.25
1930,doux,medio,adjectives,1.5
1931,tâche,cañita,nouns,0.05
1932,chanter,flotador,verbs,0.1
1933,différemment,terminalmente,adverbs,0.0
1934,soldat,paz,nouns,0.85
1935,crochet,uniforme,nouns,0.2
1936,panier,pelota,nouns,0.8
1937,roi,nepotismo,nouns,1.95
1938,maïs,maíz,nouns,3.2
1939,danse,vestir,nouns,0.6
1940,homme,tío,nouns,2.45
1941,pluie,llovizna,nouns,4.55
1942,indécis,neutral,adjectives,2.3
1943,mousse,hierba,nouns,2.45
1944,actuellement,delicadamente,adverbs,0.15
1945,gagner,realizar,verbs,1.8
1946,démocratie,monarquía,nouns,2.0
1947,penser,tratar,verbs,0.5
1948,chalet,campamento,nouns,1.15
1949,résultat,nivel,nouns,2.85
1950,imaginer,pretender,verbs,1.45
1951,explorer,descubrir,verbs,3.85
1952,purgatoire,más allá,nouns,2.6
1953,offenser,molestia,verbs,2.1
1954,cockpit,copiloto,nouns,1.25
1955,pierre,madera,nouns,1.35
1956,donner,pedir prestado,verbs,1.4
1957,pauvre,solitario,adjectives,0.65
1958,déchirer,vestir,verbs,0.1
1959,artificiel,0,adjectives,4.0
1960,naturellement,tranquilamente,adverbs,2.05
1961,président,alumno,nouns,0.7
1962,développer,crecer,verbs,4.7
1963,dire,participar,verbs,1.55
1964,pièce,cama,nouns,1.2
1965,passion,emoción,nouns,3.45
1966,gaspiller,preocuparse,verbs,0.2
1967,donner,recibir,verbs,0.9
1968,couloir,corredor,nouns,5.35
1969,gorge,lengua,nouns,1.75
1970,visa,globalismo,nouns,1.0
1971,chercher,deambular,verbs,1.55
1972,moyen,regular,adjectives,3.85
1973,marié,novia,nouns,3.6
1974,complètement,puramente,adverbs,2.75
1975,source,caja,nouns,0.1
1976,queue,posterior,nouns,2.75
1977,procureur,abogado,nouns,2.8
1978,critiquer,observar,verbs,1.8
1979,gagner,merecer,verbs,2.0
1980,légitime,ilegal,adjectives,0.75
1981,aviation,vuelo,nouns,2.5
1982,cogitation,telescopio,nouns,0.05
1983,agresser,agravar,verbs,1.15
1984,baseball,sofá,nouns,0.15
1985,bois,tronco,nouns,3.85
1986,porte-monnaie,bolso,nouns,2.2
1987,polyèdre,actor,nouns,0.0
1988,mot,pista,nouns,0.9
1989,frigide,frágil,adjectives,0.25
1990,auteur,creador,nouns,5.2
1991,écrivain,compositor,nouns,3.1
1992,dent,boca,nouns,2.25
1993,épargne,ahorrador,nouns,2.85
1994,évident,aparente,adjectives,4.15
1995,tâche,mujer,nouns,0.15
1996,lecteur,autor,nouns,1.55
1997,inquiéter,malgastar,verbs,0.2
1998,fête,gente,nouns,1.0
1999,pomme,sol,nouns,0.55
2000,littérature,libro,nouns,2.75
2001,personne,población,nouns,4.0
2002,permettre,dejar,verbs,5.0
2003,sale,pegajoso,adjectives,2.05
2004,marais,lago,nouns,2.9
2005,récit,tema,nouns,1.4
2006,chapelle,cable,nouns,0.05
2007,représenter,pretender,verbs,0.65
2008,détruire,salvar,verbs,0.65
2009,ordinaire,increíble,adjectives,0.75
2010,approximativement,impacientemente,adverbs,0.45
2011,delta,mar,nouns,1.8
2012,cube,juguete,nouns,1.7
2013,accomplir,saludar,verbs,0.25
2014,rester,esperar,verbs,2.6
2015,terminer,captura,verbs,0.4
2016,dieu,presa,nouns,0.05
2017,corps,ropa interior,nouns,1.15
2018,tête,hombro,nouns,2.1
2019,violent,enojado,adjectives,2.05
2020,orange,cítrico,nouns,3.7
2021,rétrécir,crecer,verbs,0.9
2022,curseur,patatas fritas,nouns,0.1
2023,branche,brazo,nouns,1.5
2024,acteur,poliedro,nouns,0.0
2025,plage,isla,nouns,2.25
2026,président,político,nouns,3.05
2027,terminer,competir,verbs,0.2
2028,rendez-vous,compromiso,nouns,3.7
2029,gagnant,campeón,nouns,5.0
2030,enterrer,cubrir,verbs,3.35
2031,émotion,estado animico,nouns,3.55
2032,mécanique,eléctrico,adjectives,1.85
2033,avoine,campo,nouns,1.3
2034,mixte,antiguo,adjectives,0.05
2035,rejoindre,participar,verbs,3.1
2036,hymne,cañita,nouns,0.15
2037,neuropsychologie,parasicología,nouns,1.85
2038,aigle,halcón,nouns,3.15
2039,ami,madre,nouns,1.0
2040,journal,bañera,nouns,0.0
2041,déni,confesión,nouns,1.45
2042,thème,libro,nouns,1.1
2043,déranger,ofender,verbs,2.1
2044,combattre,morder,verbs,1.2
2045,étranger,traductor,nouns,1.05
2046,national,grande,adjectives,0.3
2047,enthousiasmé,asustado,adjectives,1.1
2048,violent,radical,adjectives,2.85
2049,flexible,grande,adjectives,0.15
2050,colère,frustración,nouns,4.1
2051,croissance,fertilizante,nouns,1.45
2052,trouver,desaparecer,verbs,0.35
2053,astéroïde,estrella,nouns,2.95
2054,aller,viajar,verbs,3.5
2055,dollar,millonario,nouns,1.55
2056,véhicule,autobús,nouns,3.25
2057,casser,agrietar,verbs,3.15
2058,petit déjeuner,tocino,nouns,0.95
2059,modeste,puro,adjectives,1.1
2060,couverture,vendaval,nouns,0.1
2061,rétrécir,desaparecer,verbs,1.1
2062,fatigué,hambriento,adjectives,1.55
2063,apparemment,simplemente,adverbs,1.05
2064,soigneusement,peligrosamente,adverbs,0.55
2065,reconnaître,aceptar,verbs,4.95
2066,échec,comprobar,nouns,0.9
2067,cuillère,vaso,nouns,1.55
2068,bol,callejón,nouns,0.0
2069,couverture,madera,nouns,0.2
2070,balle,guante,nouns,1.25
2071,voiture,bote,nouns,1.35
2072,aéroport,pieza,nouns,0.1
2073,ouverture,puerta,nouns,2.75
2074,rationaliser,pensar,verbs,4.0
2075,facile,difícil,adjectives,0.95
2076,attraper,lanzar,verbs,0.4
2077,parfois,uniformemente,adverbs,0.45
2078,preuve,hecho,nouns,3.25
2079,être d'accord,aceptar,verbs,4.0
2080,prairie,pradera,nouns,4.55
2081,donner,permitir,verbs,1.15
2082,faire plaisir,satisfacer,verbs,4.9
2083,porte,portal,nouns,2.75
2084,fils,hermano,nouns,1.65
2085,disparaître,esfumarse,verbs,5.4
2086,médecin,doctor,nouns,5.55
2087,désordonné,limpiar,adjectives,1.2
2088,prévision,nublado,nouns,1.15
2089,allée,sala,nouns,1.2
2090,route,autopista,nouns,4.0
2091,livre,ensayo,nouns,1.4
2092,arbre,hoja,nouns,1.85
2093,viscosité,chapoteo,nouns,0.75
2094,laisser,llegar,verbs,0.4
2095,téléphone,cabina,nouns,1.35
2096,impossible,factible,adjectives,0.95
2097,contraire,otro,adjectives,1.8
2098,noyer,salvar,verbs,0.9
2099,spirituel,incorpóreo,adjectives,3.7
2100,vomir,cerrar,verbs,0.05
2101,veau,toro,nouns,2.7
2102,légion,dignidad,nouns,1.15
2103,fièvre,enfermedad,nouns,2.8
2104,orthodontiste,médico,nouns,2.85
2105,essayer,pensar,verbs,0.5
2106,écosystème,economía,nouns,0.95
2107,occupé,perezoso,adjectives,0.6
2108,belligérance,combate,nouns,4.0
2109,mendier,pedir,verbs,3.2
2110,voiture,puente,nouns,0.4
2111,démon,ángel,nouns,1.55
2112,oncle,hombre,nouns,2.45
2113,gouvernement,lagartija,nouns,0.0
2114,prêtre,dios,nouns,1.85
2115,autre,opuesto,adjectives,1.8
2116,arbre,bote,nouns,0.35
2117,posséder,absorber,verbs,1.0
2118,criminalité,ataque,nouns,2.05
2119,doux,agudo,adjectives,0.95
2120,puer,oler,verbs,3.35
2121,électricité,caso,nouns,0.65
2122,union,combinación,nouns,4.3
2123,incroyablement,herméticamente,adverbs,0.2
2124,croyance,impresión,nouns,2.6
2125,obtenir,tomar,verbs,3.0
2126,développement,recaudación de fondos,nouns,1.35
2127,désavouer,dar,verbs,0.15
2128,froid,ordinario,adjectives,0.25
2129,apprendre,evaluar,verbs,1.1
2130,malhonnête,veraz,adjectives,0.55
2131,menace,peligro,nouns,4.9
2132,dollar,gente,nouns,0.1
2133,tomber,tropezar,verbs,4.2
2134,baignoire,esposa,nouns,0.15
2135,emprunter,vender,verbs,0.8
2136,robe,danza,nouns,0.6
2137,argent,salario,nouns,4.1
2138,football,divertido,nouns,0.95
2139,piston,motor,nouns,2.7
2140,siffler,detener,verbs,0.5
2141,combattre,jugar,verbs,0.9
2142,inclure,implicar,verbs,4.05
2143,traducteur,extranjero,nouns,1.05
2144,parapsychologie,neuropsicología,nouns,1.85
2145,bébé,hija,nouns,2.75
2146,roman,escritor,nouns,1.75
2147,église,catedral,nouns,4.55
2148,menthe,goma,nouns,0.55
2149,dissertation,libro,nouns,1.4
2150,autobus,taxi,nouns,2.55
2151,examen,silaba,nouns,1.05
2152,statistique,tenis,nouns,0.5
2153,laisser,tomar,verbs,1.05
2154,vieux,nuevo,adjectives,0.95
2155,veine,elección,nouns,0.25
2156,fenêtre,nube,nouns,0.75
2157,moelle,sangre,nouns,1.9
2158,joindre,añadir,verbs,3.6
2159,modeste,flexible,adjectives,0.35
2160,idéalement,de modo realista,adverbs,1.25
2161,choix,cárcel,nouns,0.3
2162,gestion,ratón,nouns,0.0
2163,femme,cañita,nouns,0.15
2164,constitution,emperador,nouns,1.2
2165,acheter,obtener,verbs,2.35
2166,perspicacité,hecho,nouns,0.75
2167,regarder,buscar,verbs,3.15
2168,mouton,cordero,nouns,4.3
2169,paille,himno,nouns,0.15
2170,fils,niño,nouns,3.8
2171,ver à soie,oruga,nouns,3.35
2172,mériter,ganar,verbs,2.0
2173,stupide,inteligente,adjectives,1.15
2174,fermement,tranquilamente,adverbs,0.9
2175,pont,ratón,nouns,0.05
2176,ajouter,dividir,verbs,1.05
2177,fier,pobre,adjectives,0.4
2178,chapitre,elección,nouns,0.65
2179,dense,tonto,adjectives,0.25
2180,tombeur,chico,nouns,1.3
2181,rythme,melodía,nouns,3.65
2182,vouloir,desear,verbs,5.15
2183,auberge,motel,nouns,3.8
2184,prendre,entregar,verbs,0.9
2185,ruelle,calle,nouns,4.25
2186,machine,computadora,nouns,4.2
2187,carré,mapa,nouns,0.6
2188,riz,pollo,nouns,0.95
2189,mélanger,disolver,verbs,2.75
2190,fraternité,béisbol,nouns,0.35
2191,difficile,difícil,adjectives,5.5
2192,examiner,investigar,verbs,4.1
2193,appareil photo,lente,nouns,2.45
2194,haricot,tocino,nouns,0.8
2195,stupide,enorme,adjectives,0.65
2196,épisode,capítulo,nouns,4.7
2197,parfois,cuando,adverbs,0.75
2198,envoyer,asistir,verbs,0.6
2199,bras,músculo,nouns,2.0
2200,fille,bebé,nouns,2.75
2201,beau,maravilloso,adjectives,3.8
2202,chaos,clase,nouns,0.25
2203,participer,unirse,verbs,3.1
2204,âme,hermano,nouns,0.45
2205,plage,costa,nouns,3.65
2206,nerf,intestino,nouns,1.1
2207,rassemblement,convocatoria,nouns,4.05
2208,météo,nieve,nouns,1.5
2209,désordonné,feo,adjectives,0.6
2210,réparer,restaurar,verbs,5.2
