ID,CMN,FIN,PoS,score
1441,分子,ilma,nouns,0.53
1442,床,sairaala,nouns,0.33
1443,似乎,tulla,verbs,0.34
1444,熔化,liueta,verbs,3.61
1445,忘记,säilyttää,verbs,0.14
1446,门,veljeskunta,nouns,0.0
1447,降落,vetäytyä,verbs,0.55
1448,混乱,rauhallisesti,adverbs,0.2
1449,抓住,kaapata,verbs,3.41
1450,尖,tylsä,adjectives,0.29
1451,大象,kompassi,nouns,0.1
1452,海,valtameri,nouns,5.21
1453,手臂,olkapää,nouns,0.98
1454,非一般,harvinainen,adjectives,4.64
1455,米,jaardi,nouns,2.58
1456,衣服,komero,nouns,0.48
1457,成功,yrittää,verbs,0.58
1458,打,sulautua,verbs,0.0
1459,阿姨,veljenpoika,nouns,0.54
1460,肘,nilkka,nouns,0.97
1461,培根,aamiainen,nouns,0.78
1462,选择,päättää,verbs,3.31
1463,伪装,salata,verbs,3.65
1464,创建,rakentaa,verbs,4.07
1465,日期,kalenteri,nouns,2.02
1466,现在,täällä,adverbs,1.3
1467,船,auto,nouns,0.63
1468,电脑,levy,nouns,0.48
1469,走,tulla sisään,verbs,0.95
1470,白天,aamunkoitto,nouns,2.37
1471,不确定,pelästynyt,adjectives,0.86
1472,碗,häntä,nouns,0.0
1473,花朵,kestävyys,nouns,0.23
1474,啤酒,juoma,nouns,2.63
1475,精彩,mahtava,adjectives,1.69
1476,天花板,katto,nouns,3.54
1477,骨髓,veri,nouns,0.18
1478,贫困,varallisuus,nouns,0.3
1479,粗鲁,aggressiivinen,adjectives,1.74
1480,椅子,jakkara,nouns,4.92
1481,雨,tihkusade,nouns,3.73
1482,扼杀,palaa,verbs,0.39
1483,煮沸,paistaa,verbs,1.42
1484,摔倒,kompastua,verbs,3.15
1485,僧侣,risti,nouns,0.29
1486,装饰,kirjekuori,nouns,0.37
1487,成长,korottaa,verbs,1.1
1488,字,fraasi,nouns,1.11
1489,争论,huutaa,verbs,1.1
1490,自豪的,nõyrästi,adverbs,0.43
1491,四轮货运马车,säilytysastia,nouns,0.19
1492,发抖,jäätyä,verbs,0.48
1493,三角洲,meri,nouns,0.79
1494,肢体,jalka,nouns,2.7
1495,酒,yhtye,nouns,0.0
1496,芥末,siemen,nouns,0.83
1497,星系,astronomi,nouns,0.44
1498,联合,yhdistelmä,nouns,3.13
1499,拒绝,evätä,verbs,3.63
1500,私人的,julkinen,adjectives,0.29
1501,灵魂,veli,nouns,0.0
1502,不道德,paha,adjectives,3.06
1503,追逐,seurata,verbs,3.16
1504,信用,lainaaja,nouns,0.76
1505,加剧,vaivata,verbs,0.2
1506,运动,aktiviteetti,nouns,2.36
1507,悬崖,häntä,nouns,0.0
1508,收入,vero,nouns,0.67
1509,母鸡,kalkkuna,nouns,2.13
1510,小心地,vaarallisesti,adverbs,0.23
1511,焦躁不安,nuori,adjectives,0.1
1512,安全,mukavuus,nouns,0.49
1513,家,osavaltio,nouns,0.05
1514,机器人技术,simulaatio,nouns,0.63
1515,独立地,vastuullisesti,adverbs,1.29
1516,床,valmentaja,nouns,0.41
1517,和声,piano,nouns,0.63
1518,表哥,setä,nouns,1.03
1519,创造者,tekijä,nouns,3.9
1520,责怪,työntää,verbs,0.18
1521,圣人,synnintekijä,nouns,0.24
1522,区域,alue,nouns,4.89
1523,男人,vartiomies,nouns,2.1
1524,鼻子,kurkku,nouns,0.84
1525,灵活,vaatimaton,adjectives,0.57
1526,三文治,lounas,nouns,0.89
1527,明亮,tähti,nouns,0.54
1528,矿,kallio,nouns,1.11
1529,饼干,prinsessa,nouns,0.0
1530,天文学家,galaksi,nouns,0.44
1531,给予,antaa lainaksi,verbs,1.99
1532,培根,liha,nouns,3.14
1533,歌谣,laulu,nouns,3.69
1534,逃走,paeta,verbs,5.62
1535,电,tapaus,nouns,0.04
1536,卖,lainata,verbs,0.43
1537,母亲,isä,nouns,1.08
1538,组合,liitto,nouns,3.13
1539,灵活,löysä,adjectives,1.31
1540,休会,suorittaa loppuun,verbs,0.29
1541,严肃,hauska,adjectives,0.25
1542,闻,pilata,verbs,0.05
1543,很少,ei koskaan,adverbs,2.88
1544,水煮,kypsennetty,adjectives,3.08
1545,害怕,ujo,adjectives,0.91
1546,赢家,maali,nouns,0.45
1547,批评,kiista,nouns,0.95
1548,种子,sinappi,nouns,0.83
1549,乐器,viulu,nouns,3.13
1550,讨论,selittää,verbs,1.75
1551,缺席,läsnäolo,nouns,0.29
1552,相信,tietää,verbs,1.3
1553,沙漠,dyyni,nouns,2.16
1554,意外,hätätilanne,nouns,3.9
1555,地板,katto,nouns,0.49
1556,没打中,iskeä,verbs,0.38
1557,争论,myöntyä,verbs,0.38
1558,盒子,sikari,nouns,0.2
1559,安全,ikävä,adjectives,0.05
1560,坚强,ylpeä,adjectives,0.57
1561,需求,kiistellä,verbs,0.48
1562,观察,katsella,verbs,3.93
1563,锡,alumiini,nouns,0.71
1564,辩解,todentaa,verbs,1.03
1565,决定,tulla johtopäätökseen,verbs,3.58
1566,争论,osallistua,verbs,0.24
1567,铁,vitamiini,nouns,0.86
1568,沙丘,aavikko,nouns,2.16
1569,学习,kuunnella,verbs,0.57
1570,精彩,ihana,adjectives,2.17
1571,问,vedota,verbs,0.29
1572,智慧,älykkyys,nouns,3.85
1573,团结,jakaa,verbs,0.48
1574,冷淡,karkea,adjectives,0.34
1575,主教,muslimi,nouns,0.52
1576,毁灭,muodostaa,verbs,0.38
1577,贫穷,ylpeä,adjectives,0.04
1578,老鹰,haukka,nouns,2.94
1579,苹果,sitruuna,nouns,0.89
1580,暴力,passiivinen,adjectives,0.1
1581,学费,apuraha,nouns,0.61
1582,类别,kaaos,nouns,0.0
1583,公主,saari,nouns,0.0
1584,管理,hiiri,nouns,0.0
1585,混乱,anarkia,nouns,3.21
1586,炒,keittää,verbs,1.42
1587,声望,varakkuus,nouns,0.47
1588,埋葬,peittää,verbs,3.13
1589,生日,päivämäärä,nouns,1.77
1590,主要,enimmäkseen,adverbs,4.6
1591,顽固,typerä,adjectives,1.21
1592,真诚地,yleensä,adverbs,0.0
1593,静脉,käsivarsi,nouns,0.29
1594,积极地,passiivisesti,adverbs,0.38
1595,储蓄者,säästö,nouns,0.88
1596,蕊,pölytys,nouns,1.02
1597,审判,tuomio,nouns,1.52
1598,游行,väkijoukko,nouns,0.98
1599,上校,hammaslääkäri,nouns,0.49
1600,屋顶,ikkuna,nouns,0.54
1601,断绝亲子关系,luopua,verbs,0.69
1602,单身牢房,putka,nouns,0.6
1603,募捐,kehitys,nouns,0.04
1604,光线电话机,homofoni,nouns,0.0
1605,车,auto,nouns,5.91
1606,牙医,eversti,nouns,0.49
1607,敬佩,jumaloida,verbs,4.42
1608,家牛,jogurtti,nouns,0.43
1609,覆盖着的,peittämätön,adjectives,0.29
1610,出租车,taksiauto,nouns,5.5
1611,有趣,amerikkalainen jalkapallo,nouns,0.2
1612,拇指,kynsi,nouns,1.07
1613,沙文主义,ennakkoluulo,nouns,1.04
1614,做,lopettaa,verbs,0.25
1615,除法,kertolasku,nouns,1.3
1616,保护,auttaa,verbs,1.54
1617,驾驶,pysähtyä,verbs,0.15
1618,演出,tehdä kunniaa,verbs,0.15
1619,旋律,musiikki,nouns,3.07
1620,电池,teatteri,nouns,0.0
1621,谴责,torjua,verbs,0.74
1622,焦急地,hermostuneesti,adverbs,3.71
1623,玉米,maissikasvi,nouns,5.5
1624,相信,hyväksyä,verbs,1.15
1625,购买,saada,verbs,0.96
1626,原子,molekyyli,nouns,2.42
1627,拉,työntää,verbs,0.47
1628,神话,satiiri,nouns,0.43
1629,失败,turvautua,verbs,0.19
1630,搜索,hakea,verbs,4.07
1631,教授,opiskelija,nouns,0.58
1632,走道,sali,nouns,0.79
1633,自信,minuus,nouns,0.97
1634,起源,saada selville,verbs,0.29
1635,传感器,jäähdytin,nouns,0.23
1636,定义,sanakirja,nouns,0.67
1637,说话,tunnustaa,verbs,0.97
1638,谦虚,puhdashenkinen,adjectives,0.76
1639,放,antaa,verbs,0.58
1640,鼓,sarvi,nouns,0.04
1641,同音词,valopuhelin,nouns,0.0
1642,管理,hallinto,nouns,3.46
1643,新,käyttämätön,adjectives,4.22
1644,收费,halveksia,verbs,0.0
1645,图表,kuvaaja,nouns,3.29
1646,认真地,merkittävästi,adverbs,0.86
1647,指甲,peukalo,nouns,1.07
1648,失去,saada,verbs,0.23
1649,磁盘,tietokone,nouns,0.48
1650,允许,jäytää,verbs,0.0
1651,提高,nostaa,verbs,3.98
1652,狮子,kissa,nouns,1.66
1653,翻译者,ulkomaalainen,nouns,0.18
1654,膝盖,käsivarsi,nouns,0.83
1655,胆大,ylpeä,adjectives,0.61
1656,南,pohjoinen,nouns,0.69
1657,大自然,kasvisto,nouns,2.11
1658,山,kieleke,nouns,0.3
1659,标志,symboli,nouns,5.2
1660,总统,poliitikko,nouns,3.04
1661,明天,tänä iltana,adverbs,0.48
1662,医生,professori,nouns,1.66
1663,种子,mylly,nouns,0.24
1664,每月,viikottainen,adjectives,1.47
1665,亲王国,herttuakunta,nouns,1.92
1666,美人,ikä,nouns,0.28
1667,某些,hermostunut,adjectives,0.0
1668,海,suisto,nouns,0.79
1669,选举权,uloskäynti,nouns,0.18
1670,米饭,papu,nouns,0.82
1671,好,mausteinen,adjectives,0.1
1672,出席,kiistellä,verbs,0.24
1673,笨,typerä,adjectives,5.51
1674,紧紧,lujasti,adverbs,4.18
1675,篱笆,raide,nouns,0.1
1676,狭窄,valkoinen,adjectives,0.18
1677,认识到,saada selville,verbs,3.71
1678,来,tuoda,verbs,1.56
1679,合金,teräs,nouns,3.56
1680,恢复,korvata,verbs,0.55
1681,字典,sana,nouns,0.88
1682,枪,veitsi,nouns,2.5
1683,谦逊,vaatimaton,adjectives,4.88
1684,目前,hienotunteisesti,adverbs,0.0
1685,字典,tietosanakirja,nouns,2.46
1686,大教堂,sisäkatto,nouns,0.1
1687,得分,taso,nouns,0.77
1688,开心,nuori,adjectives,0.1
1689,成长,kutistua,verbs,0.29
1690,确定,ennustaa,verbs,0.39
1691,踝,kyynärpää,nouns,0.97
1692,暴力,radikaali,adjectives,2.02
1693,冰,vesi,nouns,2.24
1694,外套,vaatteet,nouns,2.54
1695,伞,kaliiperi,nouns,0.04
1696,奇怪,tavallinen,adjectives,0.24
1697,注意,tietoisuus,nouns,2.42
1698,门,käytävä,nouns,0.48
1699,伴侣,kaveri,nouns,3.12
1700,香芹,muffini,nouns,0.2
1701,士兵,rauha,nouns,0.15
1702,雪崩,lumi,nouns,1.77
1703,不经常,usein,adverbs,0.38
1704,和平,sotilas,nouns,0.15
1705,校验,perustella,verbs,1.03
1706,新教,kristitty,nouns,3.31
1707,无形,amorfinen,adjectives,3.07
1708,扰乱,vaivata,verbs,3.86
1709,程序,ruoka,nouns,0.0
1710,菜单,järjestys,nouns,0.78
1711,收缩,kasvaa,verbs,0.29
1712,羊肉,lammas,nouns,4.33
1713,褪色,jäytää,verbs,0.37
1714,吸收,oppia,verbs,2.5
1715,困扰,pelästyttää,verbs,1.13
1716,巧克力,piirakka,nouns,0.53
1717,米,tuuma,nouns,2.03
1718,风,tuulenpuuska,nouns,3.56
1719,员工,laulusolisti,nouns,0.18
1720,指甲,pää,nouns,0.6
1721,电视,näyttelijä,nouns,0.62
1722,街,auto,nouns,0.34
1723,钱,käteinen,nouns,3.65
1724,裙子,rannekello,nouns,0.0
1725,制服,virkkaus,nouns,0.23
1726,流,ajelehtia,verbs,2.6
1727,争论,vaatia,verbs,0.48
1728,承认,hyväksyä,verbs,3.19
1729,摇床,seimi,nouns,3.55
1730,逃逸,löytää,verbs,0.2
1731,不公平,julma,adjectives,1.07
1732,白兰地酒,alkoholi,nouns,3.22
1733,糖果,omena,nouns,0.2
1734,故事,kynä,nouns,0.34
1735,根,ruoho,nouns,0.68
1736,忘记,oppia,verbs,0.2
1737,新娘,prinsessa,nouns,0.24
1738,被动地,hiljaa,adverbs,0.82
1739,忘记,sivuuttaa,verbs,2.58
1740,协议,kiista,nouns,0.43
1741,蝴蝶,ruusu,nouns,0.43
1742,房间,sänky,nouns,0.49
1743,蠢,tyhmä,adjectives,5.51
1744,便宜,huokea,adjectives,4.41
1745,鸡尾酒,alkoholi,nouns,2.88
1746,态度,itseluottamus,nouns,1.58
1747,元,ihmiset,nouns,0.0
1748,实现,yrittää,verbs,0.96
1749,化学,teoria,nouns,0.52
1750,优胜者,läsnäolo,nouns,0.0
1751,接受,evätä,verbs,0.38
1752,一般,rutiininomaisesti,adverbs,3.75
1753,默默地,passiivisesti,adverbs,0.82
1754,让,sallia,verbs,3.23
1755,毁灭,säästää,verbs,0.29
1756,赦免,antaa anteeksi,verbs,4.16
1757,和平地,kaoottisesti,adverbs,0.2
1758,搜索,vaeltaa,verbs,0.48
1759,沙拉,etikka,nouns,0.29
1760,短小,kääpiömäinen,adjectives,2.97
1761,喧闹声,helistin,nouns,0.8
1762,大方,mukava,adjectives,1.3
1763,混合,hämmentää,verbs,4.22
1764,裙子,tanssi,nouns,0.19
1765,建议,neuvoa,verbs,2.75
1766,犯罪,varkaus,nouns,3.42
1767,喇叭,rumpu,nouns,0.04
1768,向量,matriisi,nouns,1.2
1769,电影,nihilismi,nouns,0.28
1770,难以置信地,tiukasti,adverbs,0.1
1771,过道,käytävä,nouns,3.98
1772,啤酒,shamppanja,nouns,1.83
1773,任务,moottoritie,nouns,0.0
1774,断绝亲子关系 or...,antaa,verbs,0.0
1775,牧师,profeetta,nouns,0.79
1776,徘徊,jättää,verbs,0.04
1777,正常,erilainen,adjectives,0.2
1778,离开,ottaa,verbs,0.4
1779,棒球,veljeskunta,nouns,0.0
1780,电话,matkapuhelin,nouns,4.57
1781,风尚,muoti,nouns,3.08
1782,混合,yhdistää,verbs,2.32
1783,灾难,kuolema,nouns,1.64
1784,忽略,tulostaa,verbs,0.0
1785,对手,vihollinen,nouns,4.4
1786,轻轻的,lujasti,adverbs,0.2
1787,收缩,hävitä,verbs,0.94
1788,地毯,talo,nouns,0.29
1789,加,jakaa,verbs,0.68
1790,勺子,mehu,nouns,0.1
1791,钻石,raha,nouns,0.75
1792,茅屋,kämppä,nouns,3.06
1793,午饭,voileipä,nouns,0.89
1794,副手,virkailija,nouns,0.98
1795,疾病,vaara,nouns,0.38
1796,坚固地,tiukasti,adverbs,4.18
1797,脊柱,niska,nouns,0.82
1798,洞察力,fakta,nouns,0.49
1799,静脉,valinta,nouns,0.04
1800,普通,kylmä,adjectives,0.0
1801,摔碎,romahtaa,verbs,1.13
1802,声音,akustiikka,nouns,1.6
1803,极好,mahtava,adjectives,4.97
1804,头盔,ase,nouns,0.34
1805,窗,ovi,nouns,0.88
1806,笨,itsepäinen,adjectives,1.21
1807,平滑,terävä,adjectives,0.24
1808,肥皂泡沫,kupla,nouns,3.01
1809,获得,löytää,verbs,1.59
1810,现金,raha,nouns,3.65
1811,机场,lentokone,nouns,1.04
1812,兴奋,säikähtänyt,adjectives,0.38
1813,减少,rajoittaa,verbs,2.98
1814,诚实,syyllinen,adjectives,0.1
1815,词缀,suffiksi,nouns,2.67
1816,圣经,kirja,nouns,2.43
1817,向外,tuleva,adjectives,0.2
1818,晚上,kappale,nouns,0.0
1819,书,aihe,nouns,1.3
1820,伤心地,tunteellisesti,adverbs,1.51
1821,猫,lemmikkieläin,nouns,3.18
1822,孩子,poika,nouns,3.03
1823,收集,ravistaa,verbs,0.15
1824,节目,matemaatikko,nouns,0.0
1825,晚餐,aamiainen,nouns,1.17
1826,忙碌,laiska,adjectives,0.2
1827,沙拉,ruokavalio,nouns,0.83
1828,幸福,tuuri,nouns,0.66
1829,煮,menettää,verbs,0.0
1830,道德,legenda,nouns,0.0
1831,树,lehti,nouns,0.83
1832,晚饭,ateria,nouns,3.1
1833,收到,hyväksyä,verbs,0.91
1834,肉,pekoni,nouns,3.14
1835,渴,nälkäinen,adjectives,1.46
1836,秒,minuutti,nouns,2.15
1837,电视,käsikirjoittaja,nouns,0.53
1838,宫殿,pilvenpiirtäjä,nouns,0.83
1839,重要,välttämätön,adjectives,4.52
1840,出租车,auto,nouns,3.33
1841,拥有,pitää,verbs,0.97
1842,清醒,kuorsata,verbs,0.33
1843,拥有,imeä itseensä,verbs,0.33
1844,冰,lumi,nouns,2.77
1845,保持,antaa,verbs,0.29
1846,协助,tukea,verbs,4.02
1847,传播,tahrata,verbs,0.77
1848,女人,farkut,nouns,0.04
1849,虚无主义,elokuva,nouns,0.28
1850,律师,pankkiiri,nouns,0.64
1851,歌曲,balladi,nouns,3.69
1852,群落生境,biologia,nouns,1.24
1853,退休,vetäytyä,verbs,1.91
1854,大夫,tohtori,nouns,4.96
1855,喜爱,vihata,verbs,0.24
1856,汤,päivällinen,nouns,1.07
1857,铝,metalli,nouns,3.0
1858,座舱,lentoperämies,nouns,0.57
1859,外国人,kääntäjä,nouns,0.18
1860,故事,kirja,nouns,2.08
1861,天神,pappi,nouns,0.58
1862,大炮,pallo,nouns,0.0
1863,抱怨,tuoda,verbs,0.09
1864,走,sallia,verbs,0.25
1865,理论,kemia,nouns,0.52
1866,绝望,kurjuus,nouns,2.63
1867,马赛克,basilikakirkko,nouns,0.25
1868,想要,lainata,verbs,0.54
1869,不公平地,kohtuuttomasti,adverbs,2.8
1870,语言,viestintä,nouns,1.32
1871,果园,strutsi,nouns,0.0
1872,不昂贵,halpa,adjectives,4.41
1873,对抗,ärsyttää,verbs,2.14
1874,人,dollari,nouns,0.0
1875,怀疑,pidättää,verbs,0.43
1876,侵蚀,sallia,verbs,0.0
1877,准确地,tarkalleen,adverbs,5.38
1878,骨头,polvi,nouns,1.33
1879,老鼠,johtokunta,nouns,0.0
1880,钥匙,lukko,nouns,0.86
1881,公共汽车,taksi,nouns,1.9
1882,脖子,käsivarsi,nouns,0.64
1883,搏斗,leikkiä,verbs,0.48
1884,汽车,vaunut,nouns,1.65
1885,玉米,maissi,nouns,5.5
1886,平淡,jännittävä,adjectives,0.29
1887,淋透,supistaa,verbs,0.0
1888,气球,kylpy,nouns,0.05
1889,洗手间,keittiö,nouns,0.74
1890,羞耻,onnekas,adjectives,0.1
1891,未成熟的,täysikasvuinen,adjectives,0.38
1892,汽车,kuorma-auto,nouns,3.01
1893,英寸,metri,nouns,2.03
1894,软管,puutarha,nouns,0.25
1895,教堂,kuoro,nouns,0.39
1896,拥抱,halailla,verbs,4.94
1897,插图,rakko,nouns,0.0
1898,播放机,valmentaja,nouns,0.5
1899,年,syntymäpäivä,nouns,0.77
1900,告诉,muistuttaa,verbs,2.21
1901,两次,moninkertainen,adverbs,0.74
1902,马上,kerran,adverbs,0.1
1903,正文,kirja,nouns,2.63
1904,灵活的,venyvä,adjectives,4.18
1905,叶,puu,nouns,0.83
1906,星期,viikonloppu,nouns,1.94
1907,徽章,lasi,nouns,0.04
1908,穿,repiä,verbs,0.14
1909,月,elokuu,nouns,2.6
1910,实现,vastaanottaa,verbs,0.35
1911,失败,menettää,verbs,0.77
1912,黎明,yö,nouns,0.65
1913,两次,kerran,adverbs,0.87
1914,咖啡,papu,nouns,0.48
1915,羞耻,järkyttynyt,adjectives,0.43
1916,不诚实,paha,adjectives,1.21
1917,借,myydä,verbs,0.43
1918,两次,aina,adverbs,0.4
1919,减少,kastella,verbs,0.0
1920,问,sivuuttaa,verbs,0.09
1921,宪法,senaatti,nouns,0.67
1922,乞求,lainata,verbs,1.04
1923,机械,sähköinen,adjectives,1.78
1924,羞辱,lohduttaa,verbs,0.09
1925,天花板,lattia,nouns,0.7
1926,北方,länsi,nouns,0.64
1927,理想地,mekaanisesti,adverbs,0.09
1928,理解,tietää,verbs,3.66
1929,电影,filmi,nouns,4.74
1930,充电器,levy,nouns,0.1
1931,火,apokalypsi,nouns,0.51
1932,拿,varastaa,verbs,1.45
1933,帮手,opettaja,nouns,1.51
1934,耐力,vahvuus,nouns,3.27
1935,害怕,hermostunut,adjectives,2.0
1936,新闻,juoruilu,nouns,1.59
1937,树木,vaahtera,nouns,3.88
1938,学习,kouluttaa,verbs,1.73
1939,摔碎,särkeä,verbs,4.3
1940,允许,kumota,verbs,0.25
1941,偶然,säännöllisesti,adverbs,0.52
1942,强调,rentoutunut,adjectives,0.2
1943,高度,keskustelu,nouns,0.04
1944,同意,olla erilainen,verbs,0.0
1945,才能,kyky,nouns,4.29
1946,铅笔,tarina,nouns,0.34
1947,三明治,liha,nouns,0.63
1948,事件,varainkeruutapahtuma,nouns,1.83
1949,遇见,jättää,verbs,0.18
1950,一分钱,koko,nouns,0.65
1951,装作,näyttää,verbs,0.54
1952,非自然,negatiivisesti,adverbs,0.24
1953,功课,essee,nouns,1.46
1954,兄弟会,ovi,nouns,0.0
1955,蔑视,vihata,verbs,3.0
1956,肉,voileipä,nouns,0.63
1957,比较,analysoida,verbs,2.42
1958,冷静地,hienovaraisesti,adverbs,0.83
1959,加入,hankkia,verbs,0.1
1960,沉闷,tylsä,adjectives,2.19
1961,舒服地,helposti,adverbs,1.52
1962,容易地,mukavasti,adverbs,1.52
1963,手臂,lihas,nouns,1.19
1964,父亲,jumala,nouns,0.24
1965,门,oviaukko,nouns,3.52
1966,人,lapsi,nouns,1.73
1967,微妙地,nykyään,adverbs,0.0
1968,房子,asunto,nouns,3.88
1969,壁,linna,nouns,0.53
1970,接受,torjua,verbs,0.43
1971,流行,tunnettu,adjectives,3.17
1972,故事,aihe,nouns,0.77
1973,男人,epäilty,nouns,0.43
1974,甘蔗,leikkuupuimuri,nouns,0.1
1975,大厅,välikäytävä,nouns,0.79
1976,电车,juna,nouns,2.06
1977,床,seimi,nouns,2.75
1978,击剑,voimistelu,nouns,1.3
1979,钟,torni,nouns,0.57
1980,打碎,murskata,verbs,4.3
1981,海滩,saari,nouns,1.08
1982,分钟,sekunti,nouns,2.15
1983,吉他,viulu,nouns,1.27
1984,座位,pankki,nouns,0.09
1985,穿,jäytää,verbs,0.14
1986,相信,tuntea,verbs,1.21
1987,文学,sana,nouns,1.4
1988,丈夫,vaimo,nouns,0.79
1989,说谎,kiistää,verbs,0.82
1990,案件,laitteisto,nouns,0.09
1991,猛烈地,surullisesti,adverbs,0.24
1992,巨大,pikkuruinen,adjectives,0.29
1993,经理,johtaja,nouns,2.7
1994,悄悄地,luonnollisesti,adverbs,0.43
1995,坦白,kieltäminen,nouns,0.15
1996,加剧,hyökätä kimppuun,verbs,0.38
1997,生气,raivo,nouns,4.25
1998,钱,timantti,nouns,0.75
1999,脏,hämmästyttävä,adjectives,0.0
2000,有弹性,joustava,adjectives,4.18
2001,出口,oviaukko,nouns,3.57
2002,深度,suuruus,nouns,1.21
2003,自豪,surullinen,adjectives,0.14
2004,忽略,tehdä tutkimusmatka,verbs,0.0
2005,有趣,surullinen,adjectives,0.24
2006,市长,presidentti,nouns,1.9
2007,自行车,auto,nouns,0.78
2008,写,raapustaa,verbs,3.33
2009,离开,tavata,verbs,0.18
2010,防御,suojella,verbs,4.15
2011,演员,monitahokas,nouns,0.05
2012,矬小,pienehkö,adjectives,2.97
2013,侧面,pohja,nouns,0.34
2014,知会,kiillottaa,verbs,0.0
2015,不诚实,totuudenmukainen,adjectives,0.24
2016,偏压,mielipide,nouns,0.39
2017,瓶子,tölkki,nouns,2.17
2018,拒绝,välttää,verbs,1.88
2019,旗,tanko,nouns,0.98
2020,发射,lähettää,verbs,2.6
2021,模仿,kaapata,verbs,0.1
2022,可悲的是,mielettömästi,adverbs,0.24
2023,完全地,niukasti,adverbs,0.1
2024,精灵,lamppu,nouns,0.1
2025,肌肉,luu,nouns,0.63
2026,失去,kypsentää,verbs,0.0
2027,学生,professori,nouns,0.58
2028,尊严,arvomerkki,nouns,0.15
2029,吉他,taimen,nouns,0.0
2030,私人,henkilökohtainen,adjectives,4.23
2031,戏法,kylpy,nouns,0.0
2032,工作,työkalu,nouns,0.48
2033,社会,kulttuuri,nouns,1.69
2034,自豪地,rauhanomaisesti,adverbs,0.09
2035,说话,kuiskata,verbs,2.9
2036,日落,naru,nouns,0.0
2037,花费,säästää,verbs,0.57
2038,进入,jättää,verbs,0.18
2039,腿,käsivarsi,nouns,0.92
2040,发送,vastaanottaa,verbs,0.52
2041,长大,epäkypsä,adjectives,0.38
2042,冻结,vapista,verbs,0.48
2043,公式,yhtälö,nouns,2.79
2044,机灵,tyhmä,adjectives,0.29
2045,公主,morsian,nouns,0.24
2046,显然,hienovaraisesti,adverbs,0.28
2047,微妙地,äänekkäästi,adverbs,0.05
2048,奇怪,omituinen,adjectives,5.42
2049,选择,vankila,nouns,0.04
2050,总统,kamera,nouns,0.0
2051,真诚地,rehellisesti,adverbs,4.5
2052,自行车,iho,nouns,0.0
2053,班级,korkeakoulu,nouns,0.34
2054,海岸,tykkivene,nouns,0.2
2055,原谅,unohtaa,verbs,0.68
2056,给,olla tunnustamatta,verbs,0.0
2057,性能,kirjallinen muotokuva,nouns,0.55
2058,通灵研究,neuropsykologia,nouns,1.22
2059,原木,kylpy,nouns,0.0
2060,带来,kantaa,verbs,2.4
2061,烧伤,tukahduttaa,verbs,0.39
2062,通常,epäsäännöllisesti,adverbs,0.47
2063,从不,tuskin koskaan,adverbs,2.88
2064,燕麦,pelto,nouns,0.57
2065,丈夫,mies,nouns,3.3
2066,男孩,sotilas,nouns,1.73
2067,搅拌,sekoittaa,verbs,4.22
2068,提高,juoda,verbs,0.0
2069,宽大,kapea,adjectives,0.34
2070,身体,rintakehä,nouns,2.15
2071,逮捕,epäillä,verbs,0.43
2072,晚餐,aamiainen,nouns,1.16
2073,酒,vuosisata,nouns,0.0
2074,阳光,taivas,nouns,0.96
2075,理解,lukea,verbs,0.82
2076,独特,vastapäinen,adjectives,0.65
2077,说服,tavoitella,verbs,0.44
2078,结婚,yhdistää,verbs,1.02
2079,承认,kiistää,verbs,0.38
2080,公爵,tasavalta,nouns,0.2
2081,混乱,hysteria,nouns,2.12
2082,搏斗,olla eri mieltä,verbs,0.55
2083,父亲,tytär,nouns,0.64
2084,组织,tulla,verbs,0.0
2085,果汁,omena,nouns,1.07
2086,一分钱,vaimo,nouns,0.18
2087,符号,koodi,nouns,2.75
2088,法官,tuomioistuin,nouns,1.06
2089,鳟鱼,kitara,nouns,0.0
2090,温和地,kiltisti,adverbs,3.73
2091,棚屋,suoja,nouns,1.27
2092,监护人,aikuinen,nouns,2.52
2093,无穷,nolla,nouns,0.05
2094,碱,happo,nouns,0.14
2095,士兵,poika,nouns,1.73
2096,简单,vaikea,adjectives,0.29
2097,相机,presidentti,nouns,0.0
2098,声学,ääni,nouns,1.6
2099,压抑,luopua,verbs,0.3
2100,钩针编织,virkapuku,nouns,0.23
2101,不可能,ystävällisesti,adverbs,0.09
2102,裙带关系,kuningas,nouns,0.73
2103,好斗,kaareva,adjectives,0.09
2104,推荐,neuvoa,verbs,3.56
2105,自行车,makuuhuone,nouns,0.0
2106,编剧,televisio,nouns,0.53
2107,猫,leijona,nouns,1.66
2108,申请,hakija,nouns,1.14
2109,听,havaita,verbs,1.74
2110,美,sonetti,nouns,0.15
2111,手臂,luu,nouns,0.92
2112,肝,keuhko,nouns,1.12
2113,悲伤,häpeä,nouns,1.2
2114,家牛,naudanliha,nouns,2.85
2115,神经心理学,parapsykologia,nouns,1.22
2116,恐吓,kummitella,verbs,1.13
2117,椅子,sohva,nouns,2.24
2118,信封,koriste,nouns,0.37
2119,哨兵,mies,nouns,2.1
2120,工作者,työnantaja,nouns,0.89
2121,大学,kampus,nouns,2.91
2122,小心地,varovasti,adverbs,4.03
2123,检查,shakki,nouns,0.09
2124,更改,muuttaa,verbs,3.61
2125,便宜货,penni,nouns,0.15
2126,叶,taimi,nouns,1.01
2127,容器,hiiri,nouns,0.0
2128,古老,uusi,adjectives,0.29
2129,疯,hullu,adjectives,4.79
2130,容易,iso,adjectives,0.0
