ID,ENG,EST,PoS,score
1509,begin,minema,verbs,1.07
1510,celebrate,üllatama,verbs,0.54
1511,enjoy,vihkama,verbs,0.05
1512,break,pragunema,verbs,2.33
1513,bed,tuba,nouns,0.54
1514,herb,kanep,nouns,1.59
1515,uniformly,mõnikord,adverbs,0.3
1516,harbor,ümbris,nouns,0.0
1517,tomorrow,täna õhtul,adverbs,0.27
1518,man,kahtlusalune,nouns,0.53
1519,clothes,sahtel,nouns,0.66
1520,program,toit,nouns,0.15
1521,hate,põlgama,verbs,4.65
1522,responsibly,iseseisvalt,adverbs,1.15
1523,princess,küpsis,nouns,0.05
1524,lose,hoidma,verbs,0.2
1525,huge,suur,adjectives,4.31
1526,argue,õigustama,verbs,2.74
1527,sculpture,kuju,nouns,4.81
1528,neglect,ära tõukama,verbs,1.35
1529,weather,laine,nouns,0.2
1530,vulnerable,abitu,adjectives,3.95
1531,friend,semu,nouns,4.86
1532,wander,rändama,verbs,4.13
1533,big,rahvuslik,adjectives,0.57
1534,uniform,vormimata,adjectives,0.3
1535,acetylcholine,iiris,nouns,0.35
1536,novel,kirjanik,nouns,0.81
1537,calmly,õrnalt,adverbs,1.54
1538,accept,kätte toimetama,verbs,0.3
1539,strength,vastupidavus,nouns,2.78
1540,tear,kandma,verbs,0.36
1541,motherboard,süsteemiplaat,nouns,3.09
1542,magnitude,suurus,nouns,4.06
1543,horse,koer,nouns,0.53
1544,month,august,nouns,1.9
1545,emergency,õnnetus,nouns,3.21
1546,go,müüma,verbs,0.15
1547,cry,vesistama,verbs,3.98
1548,bad,vinge,adjectives,0.09
1549,attention,teadlikkus,nouns,3.26
1550,orange,tsitrus,nouns,3.04
1551,squad,armee,nouns,1.56
1552,crochet,ülikond,nouns,0.2
1553,humbly,uhkelt,adverbs,0.57
1554,hate,kritiseerima,verbs,0.94
1555,iris,atsetüülkoliin,nouns,0.35
1556,smallish,kääbuskasvu,adjectives,3.83
1557,deliver,kandma,verbs,1.3
1558,worker,kontor,nouns,0.46
1559,tax,sissetulek,nouns,0.56
1560,exit,ukseava,nouns,2.8
1561,argue,kaebama,verbs,1.4
1562,hematology,patoloogia,nouns,1.46
1563,owe,sisenema,verbs,0.05
1564,box,allikas,nouns,0.0
1565,senate,põhiseadus,nouns,0.61
1566,vague,ebaselge,adjectives,4.99
1567,feel,uskuma,verbs,1.74
1568,hear,rääkima,verbs,0.39
1569,big,raske,adjectives,2.17
1570,depression,org,nouns,0.8
1571,vinegar,salat,nouns,0.29
1572,escape,pagema,verbs,5.04
1573,accurately,aktiivselt,adverbs,0.29
1574,fresh,vana,adjectives,0.14
1575,lunch,võileib,nouns,1.33
1576,laptop,märkmik,nouns,1.06
1577,agriculture,taim,nouns,1.41
1578,angry,vägivaldne,adjectives,2.04
1579,meal,õhtueine,nouns,2.8
1580,hen,lind,nouns,1.77
1581,top,põhi,nouns,0.6
1582,protestant,kristlane,nouns,3.03
1583,theme,raamat,nouns,0.44
1584,bottle,konteiner,nouns,1.55
1585,bottom,pool,nouns,0.69
1586,grasp,aru saama,verbs,4.59
1587,dull,naljakas,adjectives,0.1
1588,receive,püüdma,verbs,1.89
1589,bother,raskendama,verbs,2.15
1590,foreigner,tõlge,nouns,0.66
1591,shake,koguma,verbs,0.05
1592,large,paindlik,adjectives,0.2
1593,lucky,häbenev,adjectives,0.05
1594,exam,õppekava,nouns,1.06
1595,sunshine,kiir,nouns,1.02
1596,add,korrutama,verbs,0.98
1597,exit,valimisõigus,nouns,0.15
1598,marginally,täielikult,adverbs,0.64
1599,breakfast,õhtueine,nouns,0.79
1600,door,kell,nouns,0.32
1601,print,ignoreerima,verbs,0.0
1602,calm,neutraalne,adjectives,2.06
1603,racism,ksenofoobia,nouns,3.76
1604,put,riputama,verbs,1.19
1605,fence,käsipuu,nouns,0.64
1606,lie,teesklema,verbs,2.81
1607,modest,paindlik,adjectives,0.35
1608,narrow,räpane,adjectives,0.25
1609,cruel,ebaaus,adjectives,1.99
1610,border,piire,nouns,4.13
1611,waste,muretsema,verbs,0.15
1612,expensive,häbelik,adjectives,0.05
1613,whisper,rääkima,verbs,1.87
1614,new,hiljutine,adjectives,4.12
1615,tough,kõva,adjectives,3.24
1616,protein,käepide,nouns,0.0
1617,irregularly,tavaliselt,adverbs,0.32
1618,task,maantee,nouns,0.1
1619,later,mitte kunagi,adverbs,0.32
1620,known,riiklik,adjectives,0.5
1621,protect,katma,verbs,1.54
1622,immature,vastutustundetu,adjectives,2.65
1623,mundane,tavaline,adjectives,4.99
1624,secretary,naine,nouns,0.69
1625,acquire,ühinema,verbs,0.41
1626,student,õpetaja,nouns,0.81
1627,poet,ajakirjanik,nouns,1.01
1628,director,boss,nouns,3.69
1629,array,list,nouns,1.46
1630,arrow,sihtmärk,nouns,0.59
1631,matrix,vektor,nouns,1.65
1632,nepotism,kuningas,nouns,0.81
1633,environment,mõõk,nouns,0.0
1634,tank,auto,nouns,0.81
1635,insult,haavama,verbs,3.95
1636,teacher,juhendaja,nouns,4.12
1637,discover,uurima,verbs,2.6
1638,disagree,nõustuma,verbs,0.29
1639,criticize,märkima,verbs,1.46
1640,pen,tähestik,nouns,0.34
1641,fight,hammustama,verbs,0.9
1642,sugar,mesi,nouns,1.34
1643,perception,nägemine,nouns,3.07
1644,lemon,õun,nouns,0.71
1645,level,tulemus,nouns,1.46
1646,semester,periood,nouns,4.2
1647,boat,ankur,nouns,0.76
1648,pretend,ette kujutama,verbs,2.13
1649,sometimes,kunaiganes,adverbs,0.97
1650,vitamin,raud,nouns,1.02
1651,conquest,teekond,nouns,1.07
1652,harsh,julm,adjectives,3.34
1653,bible,hümn,nouns,0.48
1654,ignore,printima,verbs,0.0
1655,mathematician,etendus,nouns,0.05
1656,cone,tass,nouns,0.59
1657,island,ülesanne,nouns,0.0
1658,plead,küsima,verbs,2.75
1659,flexible,tagasihoidlik,adjectives,0.35
1660,straw,ülesanne,nouns,0.1
1661,roughly,kergelt,adverbs,0.45
1662,good,vürtsikas,adjectives,0.55
1663,smother,põletama,verbs,0.2
1664,require,pärima,verbs,0.4
1665,phonology,ekraan,nouns,0.1
1666,other,vastandlik,adjectives,0.52
1667,government,sisalik,nouns,0.0
1668,century,kümnend,nouns,1.09
1669,tin,metall,nouns,2.16
1670,dinner,supp,nouns,1.29
1671,telephone,putka,nouns,0.87
1672,organize,korraldama,verbs,5.24
1673,thumb,käsi,nouns,1.32
1674,lose,lahutama,verbs,1.71
1675,journey,vallutus,nouns,1.07
1676,illness,nakkus,nouns,2.94
1677,castle,sein,nouns,0.92
1678,fresh,lai,adjectives,0.05
1679,era,kümnend,nouns,2.03
1680,hurt,ründama,verbs,2.52
1681,geyser,allikas,nouns,3.23
1682,bread,liha,nouns,0.39
1683,curtain,varras,nouns,0.3
1684,size,sent,nouns,0.35
1685,sometimes,tihti,adverbs,0.54
1686,truck,pakk,nouns,0.65
1687,beer,karastusjook,nouns,1.69
1688,bird,hakk,nouns,2.41
1689,gift,kirjanik,nouns,0.3
1690,confidence,suhtumine,nouns,1.36
1691,unused,uus,adjectives,4.42
1692,beer,šampus,nouns,1.15
1693,announce,kuulutama,verbs,4.58
1694,ugly,sassis,adjectives,1.23
1695,man,valvur,nouns,1.04
1696,chest,keha,nouns,1.38
1697,hit,sihtima,verbs,1.31
1698,song,esineja,nouns,0.74
1699,drunk,kaine,adjectives,0.34
1700,manuscript,artikkel,nouns,1.52
1701,bad,keskpärane,adjectives,1.31
1702,silkworm,tõuk,nouns,2.19
1703,thumb,küüs,nouns,0.94
1704,anthropology,arheoloogia,nouns,1.13
1705,passively,vaikselt,adverbs,1.37
1706,coast,kallas,nouns,3.67
1707,carefully,ettevaatlikult,adverbs,4.48
1708,turkey,lind,nouns,2.15
1709,subtly,valjult,adverbs,0.04
1710,wood,palk,nouns,2.44
1711,cooperate,ühinema,verbs,1.83
1712,anxious,hirmul,adjectives,2.31
1713,star,heledus,nouns,1.01
1714,cotton,polüester,nouns,0.93
1715,accept,andestama,verbs,1.75
1716,fifth,parim,adjectives,0.35
1717,strive,välistama,verbs,0.0
1718,bury,katma,verbs,1.6
1719,gap,ava,nouns,3.6
1720,entropy,informatsioon,nouns,1.14
1721,hip,huul,nouns,0.34
1722,orchestra,bänd,nouns,3.04
1723,go,sisenema,verbs,1.5
1724,battery,energia,nouns,1.67
1725,ride,jooksma,verbs,0.59
1726,wind,torm,nouns,2.51
1727,renounce,suruma,verbs,0.34
1728,cent,rahvas,nouns,0.05
1729,possibly,pigem,adverbs,2.64
1730,king,onupojapoliitika,nouns,0.81
1731,oasis,vabadus,nouns,0.51
1732,mint,muuseum,nouns,0.04
1733,door,kohalolek,nouns,0.2
1734,syllabus,eksam,nouns,1.06
1735,anarchy,kaos,nouns,3.08
1736,bell,torn,nouns,0.72
1737,argument,kokkulepe,nouns,0.54
1738,guilty,halb,adjectives,1.39
1739,worm,pahavara,nouns,0.42
1740,rarely,tavaliselt,adverbs,0.41
1741,director,kinematograafia,nouns,1.13
1742,opinion,uskumus,nouns,3.56
1743,prey,jumal,nouns,0.1
1744,gravity,meteoor,nouns,0.52
1745,population,rahvas,nouns,2.77
1746,old,segatud,adjectives,0.1
1747,story,pliiats,nouns,0.25
1748,electricity,karp,nouns,0.2
1749,charge,põlgama,verbs,0.0
1750,tired,näljane,adjectives,0.57
1751,squeeze,kallistama,verbs,1.63
1752,key,maja,nouns,0.61
1753,private,avalik,adjectives,0.64
1754,inquire,mõtlema,verbs,0.9
1755,conquest,hümn,nouns,0.15
1756,proudly,rahumeelselt,adverbs,0.51
1757,calendar,puhkus,nouns,0.67
1758,stupid,kergeusklik,adjectives,2.83
1759,belief,väärtus,nouns,2.31
1760,seize,võtma,verbs,3.59
1761,seriously,siiralt,adverbs,1.93
1762,dirty,hämmastav,adjectives,0.25
1763,boy,riis,nouns,0.05
1764,campaign,ahv,nouns,0.05
1765,understand,taipama,verbs,4.59
1766,clothes,mantel,nouns,1.77
1767,moral,legend,nouns,0.46
1768,maturely,targalt,adverbs,2.88
1769,cottage,metsamajake,nouns,3.39
1770,reject,vältima,verbs,1.43
1771,forget,teadma,verbs,0.24
1772,normal,veider,adjectives,0.34
1773,dusk,õhtu,nouns,4.04
1774,supper,eine,nouns,2.8
1775,cellphone,telefon,nouns,3.82
1776,fraternity,pesapall,nouns,0.1
1777,ugly,toores,adjectives,0.81
1778,verify,ütlema,verbs,1.34
1779,dollar,rahvas,nouns,0.05
1780,lung,maks,nouns,0.9
1781,differ,vaidlema,verbs,1.67
1782,require,korraldama,verbs,0.35
1783,obey,käituma,verbs,1.52
1784,smartly,küpselt,adverbs,2.88
1785,mask,pidu,nouns,0.45
1786,triumph,võit,nouns,4.96
1787,reliably,umbes,adverbs,0.15
1788,give,panema,verbs,0.45
1789,collect,korraldama,verbs,0.65
1790,sofa,tool,nouns,2.19
1791,beat,võitma,verbs,2.34
1792,biologist,mikroskoop,nouns,0.67
1793,anger,tuju,nouns,1.84
1794,typhoon,tsüklon,nouns,3.58
1795,emperor,põhiseadus,nouns,0.48
1796,cardigan,särk,nouns,1.16
1797,dumb,nutikas,adjectives,0.29
1798,choose,otsustama,verbs,3.83
1799,usually,siiralt,adverbs,0.5
1800,string,päikeseloojang,nouns,0.05
1801,punish,alluma,verbs,0.3
1802,happily,aktiivselt,adverbs,0.96
1803,frame,tabamus,nouns,0.25
1804,mix,jooma,verbs,0.3
1805,pinch,lööma,verbs,1.02
1806,avoid,tagasi lükkama,verbs,1.43
1807,alcohol,vein,nouns,2.08
1808,naturally,vaikselt,adverbs,0.49
1809,launch,saatma,verbs,1.25
1810,metal,alumiinium,nouns,2.16
1811,reader,autor,nouns,0.81
1812,politician,politseinik,nouns,0.33
1813,cab,buss,nouns,1.34
1814,loudly,pehmelt,adverbs,0.14
1815,hard,lihtne,adjectives,0.29
1816,planet,kuu,nouns,1.26
1817,theatre,patarei,nouns,0.2
1818,cigar,karp,nouns,0.33
1819,old,värske,adjectives,0.14
1820,altitude,muutmine,nouns,0.1
1821,floor,tekk,nouns,1.59
1822,perhaps,tõenäoliselt,adverbs,3.21
1823,originate,avastama,verbs,0.63
1824,new,värske,adjectives,3.54
1825,boundary,piir,nouns,4.13
1826,circumcision,eesnahk,nouns,1.04
1827,crib,voodi,nouns,3.5
1828,past,eellane,nouns,1.91
1829,naturally,ebaloomulikult,adverbs,0.29
1830,accuse,süüdistama,verbs,3.63
1831,self,kindlustunne,nouns,1.06
1832,bed,võrevoodi,nouns,3.5
1833,white,kitsas,adjectives,0.1
1834,night,koidik,nouns,1.04
1835,sometimes,ühtlaselt,adverbs,0.3
1836,god,preester,nouns,0.89
1837,roughly,imlselgelt,adverbs,0.14
1838,meaningfully,spetsiaalselt,adverbs,1.66
1839,conversation,suhtlus,nouns,3.66
1840,lifestyle,tsivilisatsioon,nouns,0.86
1841,guitar,viiul,nouns,1.04
1842,legend,moraal,nouns,0.46
1843,body,aluspesu,nouns,0.56
1844,deliver,vastu võtma,verbs,0.3
1845,sunset,õhtu,nouns,1.96
1846,testify,kohut mõistma,verbs,0.9
1847,prove,vaidlema,verbs,1.98
1848,billionaire,kodutu,nouns,0.67
1849,diet,salat,nouns,0.88
1850,poem,rütm,nouns,0.77
1851,disk,laadija,nouns,0.27
1852,spotless,puhas,adjectives,4.84
1853,make,hävitama,verbs,0.44
1854,clothes,kalts,nouns,1.99
1855,body,rind,nouns,1.38
1856,aeronautics,lennuseadmeteadus,nouns,3.19
1857,sly,karm,adjectives,0.3
1858,red,sinine,adjectives,0.56
1859,ordinary,igapäevane,adjectives,4.99
1860,wrist,käelaba,nouns,1.6
1861,player,treener,nouns,0.85
1862,person,tegelane,nouns,2.52
1863,decomposition,teguriteks lahutamine,nouns,0.89
1864,death,tragöödia,nouns,1.72
1865,happily,surmavalt,adverbs,0.05
1866,bath,õhupall,nouns,0.1
1867,agree,vaidlema,verbs,0.39
1868,grass,juur,nouns,0.86
1869,guidebook,käsiraamat,nouns,3.69
1870,hit,raam,nouns,0.25
1871,amazing,räpane,adjectives,0.25
1872,accident,katastroof,nouns,3.78
1873,special,väärtuslik,adjectives,2.72
1874,culture,ühiskond,nouns,2.8
1875,wander,otsima,verbs,1.23
1876,horse,mära,nouns,2.88
1877,leave,ootama,verbs,0.1
1878,angel,deemon,nouns,0.81
1879,deserve,teenima,verbs,2.67
1880,brother,poiss,nouns,1.79
1881,borrow,müüma,verbs,0.34
1882,necessary,hädavajalik,adjectives,4.39
1883,accomplish,võitma,verbs,2.08
1884,ignore,küsima,verbs,0.1
1885,pay,kohtlema,verbs,0.34
1886,violation,kuritegu,nouns,3.28
1887,mostly,põhiliselt,adverbs,3.94
1888,horse,härg,nouns,0.99
1889,parent,isa,nouns,2.92
1890,cockpit,kaaspiloot,nouns,0.67
1891,intelligent,tark,adjectives,5.35
1892,creative,innovatiivne,adjectives,4.12
1893,ball,kostüüm,nouns,0.7
1894,justify,vaidlema,verbs,2.74
1895,background,tapeet,nouns,2.94
1896,let,lubama,verbs,4.15
1897,blood,üdi,nouns,0.91
1898,article,käsikiri,nouns,1.52
1899,salad,dieet,nouns,0.88
1900,unique,vastandlik,adjectives,0.94
1901,worry,raiskama,verbs,0.15
1902,fashion,stiil,nouns,4.21
1903,editorial,uudised,nouns,1.41
1904,alphabet,pastakas,nouns,0.34
1905,door,korporatsioon,nouns,0.15
1906,cross,munk,nouns,0.61
1907,persuade,järgima,verbs,0.19
1908,large,hiiglasuur,adjectives,4.31
1909,doctor,tuju,nouns,0.1
1910,bike,nahk,nouns,0.1
1911,winner,kandidaat,nouns,0.98
1912,twice,üks kord,adverbs,0.9
1913,policeman,poliitik,nouns,0.33
1914,flexible,suur,adjectives,0.2
1915,glove,ball,nouns,0.47
1916,receive,võtma,verbs,1.31
1917,communication,keel,nouns,1.94
1918,accomplish,saama,verbs,0.54
1919,club,märk,nouns,0.35
1920,dictionary,sõna,nouns,1.19
1921,disown,tähelepanuta jätma,verbs,1.35
1922,pearl,raha,nouns,0.36
1923,pineapple,nutitelefon,nouns,0.05
1924,tightly,uskumatult,adverbs,0.2
1925,real,võlts,adjectives,0.29
1926,violent,pehme,adjectives,0.0
1927,molecule,õhk,nouns,0.77
1928,alcohol,õlu,nouns,2.2
1929,fun,jalgpall,nouns,0.4
1930,overt,avalikustamata,adjectives,0.62
1931,teach,karistama,verbs,0.1
1932,daughter,isa,nouns,0.63
1933,pray,suhtlema,verbs,0.65
1934,homework,essee,nouns,2.26
1935,lightly,säravalt,adverbs,0.88
1936,coat,müts,nouns,0.66
1937,gate,uks,nouns,3.04
1938,word,ajaleht,nouns,0.63
1939,profession,kolledž,nouns,0.54
1940,remember,mõtlema,verbs,1.38
1941,window,uks,nouns,0.79
1942,judge,kohus,nouns,1.3
1943,young,õnnelik,adjectives,0.44
1944,game,trikk,nouns,1.19
1945,scribble,kirjutama,verbs,2.41
1946,get,kaotama,verbs,0.1
1947,skirt,käekell,nouns,0.1
1948,hawk,lind,nouns,2.41
1949,instantly,ükskord,adverbs,0.43
1950,vehicle,buss,nouns,2.11
1951,note,ülesanne,nouns,0.36
1952,sacred,kallis,adjectives,2.71
1953,teacher,õpilane,nouns,0.81
1954,awful,halb,adjectives,3.39
1955,valley,depressioon,nouns,0.8
1956,understand,teadma,verbs,3.0
1957,run,sõitma,verbs,0.59
1958,cook,segama,verbs,0.76
1959,galaxy,rakendus,nouns,0.1
1960,ball,korv,nouns,0.4
1961,collect,kokku hoidma,verbs,2.26
1962,hesitant,raevukas,adjectives,0.25
1963,giggle,naerma,verbs,3.83
1964,beast,loom,nouns,4.45
1965,forget,säilitama,verbs,0.3
1966,honey,suhkur,nouns,1.34
1967,shoulder,pea,nouns,1.01
1968,people,relv,nouns,0.05
1969,button,riided,nouns,0.71
1970,verify,õigustama,verbs,1.25
1971,fresh,uus,adjectives,3.54
1972,writer,romaan,nouns,0.81
1973,rationalize,vaidlema,verbs,1.67
1974,stressed,lõdvestunud,adjectives,0.34
1975,want,valima,verbs,0.96
1976,easy,keeruline,adjectives,0.34
1977,gold,tsink,nouns,0.91
1978,party,rahvas,nouns,0.79
1979,stink,lõhnama,verbs,3.11
1980,blame,lükkama,verbs,0.25
1981,laugh,laulma,verbs,0.35
1982,baseball,korporatsioon,nouns,0.1
1983,ashamed,õnneseen,adjectives,0.05
1984,army,leegion,nouns,3.22
1985,immoral,halb,adjectives,3.51
1986,electric,magus,adjectives,0.1
1987,inflection,nakkus,nouns,0.0
1988,strawberry,kirss,nouns,0.98
1989,year,sajand,nouns,1.07
1990,powerful,nõrk,adjectives,0.14
1991,window,pahkluu,nouns,0.0
1992,highway,tee,nouns,3.95
1993,evening,videvik,nouns,4.04
1994,mouse,konteiner,nouns,0.2
1995,justice,vahekohus,nouns,1.9
1996,apple,kaste,nouns,0.58
1997,battery,teater,nouns,0.2
1998,wealth,kuulsus,nouns,1.17
1999,rinse,pesema,verbs,3.54
2000,violin,instrument,nouns,1.89
2001,professor,doktor,nouns,2.47
2002,please,anuma,verbs,0.41
2003,rabbi,vaimulik,nouns,3.69
2004,pointer,slaid,nouns,0.05
2005,differ,nõustuma,verbs,0.24
2006,freeze,lõdisema,verbs,1.49
2007,storm,pilv,nouns,0.92
2008,beef,liha,nouns,2.66
2009,crime,rikkumine,nouns,3.28
2010,book,lugu,nouns,1.81
2011,cup,torbik,nouns,0.59
2012,weather,pilv,nouns,1.18
2013,cabin,maamaja,nouns,3.39
2014,ancient,modernne,adjectives,0.34
2015,pathfinder,vibukütt,nouns,0.45
2016,floor,lagi,nouns,0.71
2017,hen,kalkun,nouns,1.32
2018,now,siin,adverbs,1.71
2019,mink,õli,nouns,0.2
2020,perspective,vahemaa,nouns,1.04
2021,sure,veendunud,adjectives,5.14
2022,skiing,lumelaud,nouns,1.67
2023,certain,närviline,adjectives,0.15
2024,weapon,kiiver,nouns,0.49
2025,piece,lennujaam,nouns,0.0
2026,log,puitmaterjal,nouns,2.91
2027,passively,usaldusväärselt,adverbs,0.2
2028,adult,eestkostja,nouns,1.92
2029,maple,puu,nouns,2.15
2030,crack,murdma,verbs,2.33
2031,myth,satiir,nouns,0.57
2032,happily,ohutult,adverbs,0.82
2033,vanish,kaduma,verbs,5.17
2034,crowd,rahvasumm,nouns,5.02
2035,syllable,algvorm,nouns,0.77
2036,waist,kõht,nouns,2.46
2037,meaningfully,sügavalt,adverbs,3.39
2038,tree,vaher,nouns,2.15
2039,wave,ilm,nouns,0.2
2040,carriage,auto,nouns,2.02
2041,guy,täkk,nouns,1.44
2042,blanket,iil,nouns,0.25
2043,reliably,passiivselt,adverbs,0.2
2044,loyally,ausalt,adverbs,2.55
2045,sandwich,lõuna,nouns,1.33
2046,plead,heameelt tegema,verbs,0.41
2047,parliament,kongress,nouns,2.86
2048,soldier,poiss,nouns,0.44
2049,multiply,lisama,verbs,0.98
2050,helmet,relv,nouns,0.49
2051,anchor,paat,nouns,0.76
2052,collect,raputama,verbs,0.05
2053,telescope,tool,nouns,0.0
2054,army,patrull,nouns,1.56
2055,crude,kole,adjectives,0.81
2056,bowl,põiktänav,nouns,0.04
2057,tradition,käsitöö,nouns,0.85
2058,gun,koidik,nouns,0.05
2059,cry,naerma,verbs,0.59
2060,rule,tava,nouns,3.08
2061,funny,tõsine,adjectives,0.45
2062,lens,kaamera,nouns,1.25
2063,basketball,pesapall,nouns,0.97
2064,notify,portreteerima,verbs,0.1
2065,baggage,ümbermaailmareis,nouns,0.53
2066,significant,vähetähtis,adjectives,0.34
2067,build,looma,verbs,3.59
2068,treat,maksma,verbs,0.34
2069,visa,globalism,nouns,0.69
2070,keep,hellitama,verbs,2.05
2071,succeed,läbi kukkuma,verbs,0.34
2072,ray,päikesepaiste,nouns,1.02
2073,competence,võime,nouns,4.21
2074,hand,pöial,nouns,1.32
2075,machine,mootor,nouns,2.24
2076,guest,sõber,nouns,1.96
2077,snow,laviin,nouns,1.52
2078,train,tramm,nouns,2.38
2079,gently,lahkelt,adverbs,2.39
2080,cent,suurus,nouns,0.35
2081,reality,fantaasia,nouns,0.64
2082,supporter,kriket,nouns,0.0
2083,calmly,tugevalt,adverbs,0.61
2084,add,ühinema,verbs,2.15
2085,machine,arvuti,nouns,1.91
2086,beach,meri,nouns,1.41
2087,museum,piparmünt,nouns,0.04
2088,actor,hulktahukas,nouns,0.19
2089,lend,võlgnema,verbs,0.54
2090,rice,poiss,nouns,0.05
2091,spine,kael,nouns,1.57
2092,stop,kontrollima,verbs,0.62
2093,night,päev,nouns,0.71
2094,water,kroonimine,nouns,0.1
2095,xenophobia,rassism,nouns,3.76
2096,economy,ökosüsteem,nouns,0.79
2097,raise,jooma,verbs,0.4
2098,paper,papp,nouns,2.75
2099,sticky,märg,adjectives,1.17
2100,animal,elajas,nouns,4.45
2101,president,kaamera,nouns,0.2
2102,biscuit,pritsess,nouns,0.05
2103,currently,delikaatselt,adverbs,0.2
2104,buy,maksma,verbs,1.85
2105,critical,ebaviisakas,adjectives,1.02
2106,happy,vihane,adjectives,0.19
2107,trip,teekond,nouns,5.02
2108,language,suhtlus,nouns,1.94
2109,allow,laskma,verbs,4.15
2110,racing,filosoof,nouns,0.0
2111,cliff,pära,nouns,0.0
2112,arm,luu,nouns,0.77
2113,meat,veiseliha,nouns,2.66
2114,mare,hobune,nouns,2.88
2115,simply,ilmselt,adverbs,0.92
2116,ceremony,pidustus,nouns,3.29
2117,destroy,päästma,verbs,0.15
2118,groom,pruut,nouns,1.19
2119,butter,kartul,nouns,0.61
2120,crash,purustama,verbs,2.04
2121,theft,kuritegu,nouns,2.67
2122,depart,eraldama,verbs,0.8
2123,baby,tütar,nouns,1.68
2124,exchange,valuuta,nouns,1.34
2125,explore,ignoreerima,verbs,0.05
2126,decline,vastu võtma,verbs,0.34
2127,disagree,kaklema,verbs,1.79
2128,passion,emotsioon,nouns,3.21
2129,criticism,väide,nouns,1.52
2130,blizzard,vihm,nouns,0.94
2131,balloon,rahvas,nouns,0.1
2132,vampire,nahkhiir,nouns,0.77
2133,haze,pilv,nouns,2.26
2134,mechanical,elektriline,adjectives,0.62
2135,bicycle,auto,nouns,0.9
2136,pollution,atmosfäär,nouns,0.56
2137,order,menüü,nouns,0.91
2138,box,müts,nouns,0.19
2139,clothes,jakk,nouns,1.62
2140,delightful,rõõmsameelne,adjectives,2.84
2141,crowd,kamp,nouns,2.87
2142,poster,paber,nouns,1.65
2143,massively,avatult,adverbs,0.15
2144,hostility,agressioon,nouns,4.09
2145,die,matma,verbs,0.83
2146,helicopter,lennuk,nouns,1.81
2147,cinema,ooper,nouns,0.93
2148,forget,andestama,verbs,0.42
2149,test,katse,nouns,4.27
2150,second,minut,nouns,1.39
2151,take,varastama,verbs,2.04
2152,guess,ärritama,verbs,0.2
2153,obviously,kohalikult,adverbs,0.05
2154,translator,võõras,nouns,0.66
2155,fade,kuluma,verbs,2.07
2156,pursue,veenma,verbs,0.19
2157,sheep,kari,nouns,1.67
2158,gunboat,rannik,nouns,0.39
2159,style,elegants,nouns,3.25
2160,unlikely,sõbralik,adverbs,0.0
2161,ball,võrkpall,nouns,1.99
2162,seed,veski,nouns,0.67
2163,slave,teenija,nouns,2.54
2164,mighty,võimas,adjectives,5.0
2165,thirsty,näljane,adjectives,1.43
2166,payment,paberraha,nouns,0.96
2167,fence,hüppamine,nouns,0.45
2168,news,klatš,nouns,2.17
2169,discreetly,otseloomulikult,adverbs,0.29
2170,wonderful,ilus,adjectives,2.85
2171,bed,diivan,nouns,1.86
2172,priest,prohvet,nouns,1.41
2173,couch,pesapall,nouns,0.1
2174,weak,vürtsine,adjectives,0.0
2175,sea,delta,nouns,0.82
2176,loud,ebaviisakas,adjectives,1.19
2177,mild,terav,adjectives,0.15
2178,righteously,küpselt,adverbs,0.79
2179,ordinary,kummaline,adjectives,0.39
2180,take,hankima,verbs,2.76
2181,sister,vend,nouns,1.44
2182,escape,leidma,verbs,0.2
2183,book,õnnetus,nouns,0.05
2184,pilot,autojuht,nouns,2.04
2185,radar,juhtkang,nouns,0.32
2186,innovative,loominguline,adjectives,4.12
2187,justice,õigus,nouns,2.29
2188,priest,munk,nouns,2.66
2189,cloud,vine,nouns,2.26
2190,stomach,keha,nouns,1.23
2191,plant,põllumajandus,nouns,1.41
2192,smell,haisema,verbs,3.11
2193,find,põgenema,verbs,0.2
2194,hallway,klassiruum,nouns,0.49
2195,instrument,viiul,nouns,1.89
2196,bride,printsess,nouns,0.79
2197,catch,saama,verbs,1.89
2198,riot,joonistus,nouns,0.05
2199,recommend,nõu andma,verbs,4.62
2200,please,nõustuma,verbs,0.79
2201,steak,liha,nouns,3.79
2202,fever,gripp,nouns,2.16
2203,air,heelium,nouns,1.41
2204,officially,tugevalt,adverbs,0.66
2205,begin,lõpetama,verbs,0.34
2206,bathroom,magamistuba,nouns,1.16
2207,multiple,kaks korda,adverbs,1.56
2208,plane,helikopter,nouns,1.81
2209,become,näima,verbs,0.36
2210,remark,kritiseerima,verbs,1.46
2211,minute,sekund,nouns,1.39
2212,peacefully,rahulikult,adverbs,4.55
2213,falcon,kotkas,nouns,2.09
2214,rain,rahe,nouns,2.13
2215,decoration,ümbrik,nouns,0.25
2216,umbrella,kaliiber,nouns,0.05
2217,currency,kokkulangevus,nouns,0.09
2218,lose,saama,verbs,0.1
2219,car,lift,nouns,0.39
2220,anatomy,bioloogia,nouns,2.38
2221,mob,rahvahulk,nouns,5.02
2222,inform,teavitama,verbs,5.1
2223,son,isa,nouns,1.21
2224,dictionary,entsüklopeedia,nouns,1.94
2225,image,idee,nouns,0.73
2226,cathedral,kirik,nouns,3.95
2227,cop,šerif,nouns,3.56
2228,teacher,sõber,nouns,0.76
2229,tennis,statistika,nouns,0.2
2230,stud,kutt,nouns,1.44
