ID,CYM,ENG,PoS,score
1480,tegan,cube,nouns,0.05
1481,gweithiwr,employer,nouns,1.34
1482,lleihau,lower,verbs,4.53
1483,hollalluogrwydd,supremacy,nouns,1.66
1484,tad,mother,nouns,1.3
1485,ehangu,grow,verbs,4.65
1486,fel arfer,abnormally,adverbs,0.19
1487,benthyg,sell,verbs,0.19
1488,afon,stream,nouns,3.91
1489,mwydyn,malware,nouns,0.07
1490,cyflym,rapid,adjectives,5.39
1491,talwrn,copilot,nouns,0.12
1492,trefnu,disorganized,verbs,0.09
1493,hawdd,stiff,adjectives,0.0
1494,ffraeo,convince,verbs,0.96
1495,dyn,stud,nouns,0.99
1496,yn debygol,positively,adverbs,0.64
1497,gwallgof,terrific,adjectives,0.05
1498,cydnabod,accept,verbs,2.71
1499,cyhuddo,blame,verbs,4.63
1500,ymddiried,depend,verbs,4.58
1501,ardderchog,bad,adjectives,0.04
1502,gwirio,chess,nouns,0.07
1503,cymysgu,ride,verbs,0.0
1504,gweinidog,rabbi,nouns,3.04
1505,troed,sand,nouns,0.05
1506,diflas,exciting,adjectives,0.09
1507,anghwrtais,aggressive,adjectives,1.36
1508,alwminiwm,metal,nouns,2.26
1509,niweidio,kick,verbs,1.26
1510,cyfaill,friend,nouns,5.46
1511,lloches,hut,nouns,1.86
1512,proffwydo,determine,verbs,1.44
1513,eliffant,dinosaur,nouns,0.22
1514,yn ddiogel,carefully,adverbs,1.93
1515,dermatitis,eczema,nouns,3.44
1516,ewin,hand,nouns,0.64
1517,sylfaen,foot,nouns,1.79
1518,balch,sad,adjectives,0.1
1519,digwydd,do,verbs,0.69
1520,estron,outlander,nouns,2.83
1521,yn debygol,possibly,adverbs,2.39
1522,cyfreithiwr,gallery,nouns,0.0
1523,cymysgu,shake,verbs,1.52
1524,corff,arm,nouns,0.6
1525,maneg,ball,nouns,0.32
1526,newydd,fresh,adjectives,3.54
1527,coleg,class,nouns,0.91
1528,darllen,bite,verbs,0.0
1529,osôn,atmosphere,nouns,2.04
1530,gwialen,curtain,nouns,0.15
1531,yn berffaith,truly,adverbs,0.9
1532,gwybod,understand,verbs,2.85
1533,medal,trainers,nouns,0.19
1534,methiant,bankruptcy,nouns,0.97
1535,ffidil,guitar,nouns,0.89
1536,gwaethygu,assault,verbs,0.53
1537,apocalyps,fire,nouns,0.54
1538,blin,violent,adjectives,1.39
1539,amgylchiad,situation,nouns,5.19
1540,gorynys,island,nouns,2.17
1541,cynfas,plane,nouns,0.0
1542,brenhines,bee,nouns,0.39
1543,tywydd,wave,nouns,0.0
1544,perygl,disease,nouns,0.26
1545,sylw,interest,nouns,2.61
1546,dewis,elect,verbs,4.25
1547,sanctaidd,precious,adjectives,2.26
1548,brwnt,narrow,adjectives,0.0
1549,pothell,illustration,nouns,0.0
1550,bwystfil,animal,nouns,3.55
1551,yn obeithiol,possibly,adverbs,0.69
1552,mynach,priest,nouns,2.66
1553,trosedd,attack,nouns,1.99
1554,tafod,muscle,nouns,1.71
1555,hanfodol,necessary,adjectives,4.94
1556,sinema,opera,nouns,0.77
1557,portreadu,pretend,verbs,0.81
1558,tram,train,nouns,2.88
1559,dadlau,complain,verbs,1.4
1560,rhagflaenydd,past,nouns,1.6
1561,cadernid,strength,nouns,4.58
1562,gymnasteg,fencing,nouns,0.58
1563,concwest,battle,nouns,2.37
1564,yn ansicr,scared,adjectives,1.48
1565,encilio,leave,verbs,2.91
1566,rhyfelwr,man,nouns,0.42
1567,drwg,dishonest,adjectives,1.42
1568,deintydd,colonel,nouns,0.04
1569,gweithiwr,mechanic,nouns,2.01
1570,angau,tragedy,nouns,1.37
1571,enaid,brother,nouns,0.0
1572,dosbarth,college,nouns,0.91
1573,ffuglen,biography,nouns,0.34
1574,cyfamod,agreement,nouns,5.15
1575,halen,water,nouns,0.28
1576,gwn,sergeant,nouns,0.47
1577,gwestai,friend,nouns,1.26
1578,bwlch,cigar,nouns,0.07
1579,rhyfelgarwch,combat,nouns,1.96
1580,arestio,suspect,verbs,0.13
1581,yn deg,unfairly,adverbs,0.09
1582,concwest,journey,nouns,0.77
1583,jîns,woman,nouns,0.05
1584,wedi ei orchuddio,uncovered,adjectives,0.04
1585,siarcol,coal,nouns,2.95
1586,ciwb,dice,nouns,2.25
1587,drws,gate,nouns,2.33
1588,ffres,wide,adjectives,0.05
1589,gwn,fur,nouns,0.05
1590,brawd,sister,nouns,1.75
1591,rhoi,put,verbs,0.81
1592,bar,cage,nouns,0.41
1593,pêl-fas,fraternity,nouns,0.0
1594,hydoddi,mix,verbs,1.59
1595,ceunant,valley,nouns,3.42
1596,dod,arrive,verbs,1.85
1597,hwyl,game,nouns,1.41
1598,disgwyl,leave,verbs,0.0
1599,bara,meat,nouns,0.14
1600,teledu,communication,nouns,0.64
1601,archesgob,bishop,nouns,3.38
1602,lladd,fight,verbs,0.79
1603,papur newydd,word,nouns,0.38
1604,sgert,watch,nouns,0.0
1605,gwrthod,avoid,verbs,1.09
1606,angenrheidiol,important,adjectives,3.6
1607,gwarcheidwad,mother,nouns,2.17
1608,yn hael,kindly,adverbs,2.99
1609,salwch,cancer,nouns,2.82
1610,crwm,aggressive,adjectives,0.0
1611,weithiau,often,adverbs,0.39
1612,cwmwl,haze,nouns,2.66
1613,yn anarferol,normally,adverbs,0.19
1614,llun,riot,nouns,0.0
1615,yn sicr,nervous,adjectives,0.0
1616,pwerus,weak,adjectives,0.04
1617,yn gyfan gwbl,marginally,adverbs,0.09
1618,morwr,captain,nouns,1.74
1619,ar hyn o bryd,delicately,adverbs,0.0
1620,te,lemon,nouns,0.39
1621,lifft,car,nouns,0.14
1622,pen,nose,nouns,0.64
1623,cadair,bed,nouns,0.57
1624,dal,capture,verbs,3.65
1625,hurt,rare,adjectives,0.0
1626,gwneuthurio,construct,verbs,3.9
1627,drws,cellar,nouns,0.14
1628,dyfnder,magnitude,nouns,1.71
1629,cred,opinion,nouns,4.06
1630,portreadu,decide,verbs,0.0
1631,mab,father,nouns,0.76
1632,perfformiwr,song,nouns,0.64
1633,cerflunwaith,statue,nouns,5.01
1634,brwydro,kill,verbs,0.79
1635,papur newydd,information,nouns,1.01
1636,therapi,behaviorism,nouns,1.32
1637,dadl,discussion,nouns,2.64
1638,beic,skin,nouns,0.0
1639,gwenynen,queen,nouns,0.39
1640,disgyrchiant,meteor,nouns,0.41
1641,drwm,horn,nouns,0.3
1642,machlud haul,string,nouns,0.0
1643,gwregys,loop,nouns,0.34
1644,creu,destroy,verbs,0.09
1645,harbwr,wrapper,nouns,0.0
1646,pêl,sphere,nouns,4.39
1647,derbyn,recommend,verbs,0.2
1648,braich,wrist,nouns,1.27
1649,llyfr,literature,nouns,2.42
1650,geiriadur,definition,nouns,1.09
1651,gwraig,straw,nouns,0.0
1652,llyfr,topic,nouns,0.38
1653,hurt,stupid,adjectives,5.34
1654,tric,bath,nouns,0.0
1655,nerfus,certain,adjectives,0.0
1656,digartref,billionaire,nouns,0.32
1657,morwyn,helper,nouns,2.14
1658,gosod mewn trefn,organize,verbs,5.49
1659,eang,narrow,adjectives,0.09
1660,hedyn,mill,nouns,0.22
1661,delwedd,idea,nouns,0.83
1662,cinio,breakfast,nouns,0.91
1663,gwern,lake,nouns,1.23
1664,trafodaeth,argument,nouns,2.64
1665,yn hapus,deadly,adverbs,0.0
1666,gwenith,cereal,nouns,1.66
1667,tyfu,increase,verbs,4.22
1668,persli,muffin,nouns,0.05
1669,cig eidion,meat,nouns,2.55
1670,llwybr,tunnel,nouns,0.77
1671,cyfaddef,deny,verbs,0.04
1672,rhyddid,oasis,nouns,0.51
1673,brigeryn,pollination,nouns,0.94
1674,ungnwd,agriculture,nouns,0.74
1675,isrwtîn,compiler,nouns,0.31
1676,hyblyg,easy,adjectives,1.52
1677,unwaith,instantly,adverbs,0.94
1678,ynys,navy,nouns,0.1
1679,barn,idea,nouns,2.74
1680,metel,aluminium,nouns,2.26
1681,medrydd,car,nouns,0.05
1682,tad,man,nouns,1.91
1683,gyrrwr,pilot,nouns,2.54
1684,cynghori,suggest,verbs,3.36
1685,rhestr,array,nouns,1.1
1686,hurt,foolish,adjectives,4.52
1687,cul,dirty,adjectives,0.0
1688,llawr,deck,nouns,2.04
1689,yn swyddogol,strongly,adverbs,0.26
1690,esgus,assume,verbs,0.69
1691,dyddiad,birthday,nouns,1.44
1692,derbyn,deny,verbs,0.14
1693,pen-blwydd,year,nouns,0.77
1694,hyfryd,cheerful,adjectives,2.95
1695,beddrod,tomb,nouns,0.66
1696,gitâr,trout,nouns,0.0
1697,tywysoges,biscuit,nouns,0.0
1698,nawr,here,adverbs,1.86
1699,cynorthwyo,ask,verbs,0.3
1700,byth,seldom,adverbs,2.67
1701,asgwrn cefn,body,nouns,0.49
1702,dosbarth,chaos,nouns,0.05
1703,brwnt,cheap,adjectives,0.04
1704,ar unwaith,soon,adverbs,2.55
1705,torri,crack,verbs,2.73
1706,cyrnol,dentist,nouns,0.04
1707,bywyd wedi marwolaeth,purgatory,nouns,2.36
1708,chwedl,moral,nouns,0.32
1709,dyn,girl,nouns,0.79
1710,seren,planet,nouns,1.96
1711,yn graff,maturely,adverbs,1.48
1712,hysbysu,polish,verbs,0.0
1713,lens,camera,nouns,1.4
1714,emyn,bible,nouns,0.69
1715,taro,aim,verbs,0.86
1716,cyfansoddiad,senate,nouns,0.57
1717,cynffon,chapter,nouns,0.0
1718,anghofio,remind,verbs,0.09
1719,ffenestr,cloud,nouns,0.0
1720,aseiniad,note,nouns,0.41
1721,negyddol,never,adjectives,0.35
1722,protein,handle,nouns,0.0
1723,dŵr,salt,nouns,0.28
1724,dwyn,take,verbs,2.24
1725,yn ddigynnwrf,firmly,adverbs,0.91
1726,lori,car,nouns,1.65
1727,ffôl,childish,adjectives,2.09
1728,banciwr,lawyer,nouns,0.67
1729,dod â,restore,verbs,0.07
1730,anghytuno,agree,verbs,0.09
1731,darganfod,search,verbs,1.51
1732,digwyddiad,fundraiser,nouns,2.04
1733,goruchafu,overcome,verbs,3.0
1734,tymer,doctor,nouns,0.0
1735,hawdd,difficult,adjectives,0.04
1736,mawr,broad,adjectives,3.11
1737,carbohydrad,sucrose,nouns,1.52
1738,to,floor,nouns,0.35
1739,gwerthu,deal,verbs,1.09
1740,trosedd,theft,nouns,2.12
1741,argyhoeddi,argue,verbs,0.96
1742,casglu,attend,verbs,0.37
1743,uno,marry,verbs,3.62
1744,car,cab,nouns,3.47
1745,yn wahanol,terminally,adverbs,0.04
1746,cymryd yn ganiataol,predict,verbs,1.06
1747,mainc,chair,nouns,2.81
1748,pêl-droed,soccer,nouns,5.72
1749,tun,metal,nouns,2.16
1750,priodferch,princess,nouns,0.49
1751,cwympo,hurt,verbs,0.96
1752,diddanu,enjoy,verbs,0.9
1753,casglu,save,verbs,2.02
1754,coroni,water,nouns,0.0
1755,trist,funny,adjectives,0.12
1756,tystio,judge,verbs,0.74
1757,peiriannydd,worker,nouns,2.01
1758,priodfab,bride,nouns,1.54
1759,glaw,drizzle,nouns,3.51
1760,gorchuddio,protect,verbs,1.39
1761,to,ceiling,nouns,4.04
1762,presenoldeb,winner,nouns,0.0
1763,ynys,task,nouns,0.0
1764,sglodion,cursor,nouns,0.0
1765,palas,skyscraper,nouns,0.22
1766,prin,never,adverbs,2.67
1767,perl,money,nouns,0.27
1768,trefnu,become,verbs,0.0
1769,ymgeisydd,application,nouns,1.25
1770,coes,arm,nouns,0.66
1771,brawd,father,nouns,0.69
1772,adfer,bring,verbs,0.07
1773,miniog,mild,adjectives,0.05
1774,parasetamol,bronchitis,nouns,0.19
1775,cadw,remain,verbs,0.44
1776,ffrind,buddy,nouns,5.46
1777,penelin,bone,nouns,1.2
1778,hir,narrow,adjectives,0.35
1779,gadael,retreat,verbs,2.91
1780,sobr,drunk,adjectives,0.09
1781,deall,forgive,verbs,0.73
1782,pla,pesticide,nouns,0.76
1783,darn,airport,nouns,0.0
1784,croen,bike,nouns,0.0
1785,cynhwysydd,wagon,nouns,0.15
1786,marwolaeth,catastrophe,nouns,1.25
1787,gwleidydd,president,nouns,1.94
1788,dwywaith,multiple,adverbs,0.81
1789,gwerthfawr,sacred,adjectives,2.26
1790,yfed,raise,verbs,0.0
1791,hyfforddwyr,medal,nouns,0.19
1792,dilyn,chase,verbs,2.27
1793,modryb,uncle,nouns,1.79
1794,paragraff,page,nouns,0.69
1795,dod yn,make,verbs,0.32
1796,aderyn,hen,nouns,1.92
1797,anifail,beast,nouns,3.55
1798,coeden,boat,nouns,0.0
1799,yn annheg,unreasonably,adverbs,3.71
1800,ennill,beat,verbs,3.64
1801,siwgr,honey,nouns,1.25
1802,hyder,attitude,nouns,1.56
1803,llyncu,drink,verbs,2.3
1804,ysbrydol,disembodied,adjectives,0.69
1805,meddwl,neurosis,nouns,1.02
1806,awyrennu,flight,nouns,3.01
1807,gwan,powerful,adjectives,0.04
1808,chwarae,fight,verbs,0.1
1809,mewnwelediad,intelligence,nouns,2.44
1810,pennaeth,mayor,nouns,1.44
1811,hyll,crude,adjectives,0.51
1812,stryd,car,nouns,0.73
1813,gwacáu,determine,verbs,0.0
1814,gwybod,forget,verbs,0.09
1815,symbol,code,nouns,1.94
1816,newyddion,editorial,nouns,1.36
1817,storm,snow,nouns,1.24
1818,anghenus,helpless,adjectives,1.67
1819,wedi tyfu,immature,adjectives,0.09
1820,crio,sob,verbs,4.09
1821,bodloni,comprehend,verbs,0.38
1822,yn emosiynol,sadly,adverbs,1.98
1823,chwibanu,stop,verbs,0.05
1824,ymosod,hurt,verbs,2.82
1825,oeraidd,fragile,adjectives,0.1
1826,bàth,room,nouns,0.28
1827,tarian,buckler,nouns,1.18
1828,crwm,crooked,adjectives,2.0
1829,cynghori,recommend,verbs,4.22
1830,dod,go,verbs,0.71
1831,deiet,apple,nouns,0.54
1832,ysgwyd,collect,verbs,0.0
1833,hysbysu,notify,verbs,4.45
1834,pen,foot,nouns,0.24
1835,digid,number,nouns,5.28
1836,awdur,creator,nouns,3.4
1837,amgueddfa,mint,nouns,0.04
1838,lladd,defend,verbs,0.45
1839,cais,applicant,nouns,1.25
1840,llygoden,container,nouns,0.0
1841,sgriblo,write,verbs,2.71
1842,wagen,container,nouns,0.15
1843,derbyn,catch,verbs,1.99
1844,bioleg gymdeithasol,mutant,nouns,0.1
1845,teledu,cinema,nouns,1.24
1846,ystafell ymolchi,kitchen,nouns,0.72
1847,yn anghywir,precisely,adverbs,0.04
1848,rheiddiadur,sensor,nouns,0.22
1849,difetha,smell,verbs,0.04
1850,cath,dog,nouns,0.86
1851,athro,friend,nouns,0.45
1852,taliad,note,nouns,0.36
1853,cwpan,spoon,nouns,0.84
1854,fel arfer,sincerely,adverbs,0.2
1855,treisgar,passive,adjectives,0.0
1856,gwerthu,borrow,verbs,0.19
1857,rhoi,know,verbs,0.04
1858,theatr,film,nouns,1.34
1859,cydweithredu,participate,verbs,2.29
1860,fector,matrix,nouns,1.65
1861,ysgoloriaeth,tuition,nouns,0.79
1862,modfedd,meter,nouns,0.83
1863,hurt,huge,adjectives,0.04
1864,rhedwr,athlete,nouns,2.56
1865,tywysoges,bride,nouns,0.49
1866,gwahaniaethu,agree,verbs,0.04
1867,braich,knee,nouns,0.39
1868,gafr,cow,nouns,1.02
1869,llwm,dull,adjectives,3.52
1870,gofyn,pray,verbs,1.24
1871,dan straen,relaxed,adjectives,0.04
1872,pwnc,book,nouns,0.38
1873,derbyn,forgive,verbs,1.0
1874,holi,require,verbs,0.0
1875,sleid,pointer,nouns,0.0
1876,llynges,island,nouns,0.1
1877,mêl,sugar,nouns,1.25
1878,iâ,snow,nouns,2.96
1879,gwyddoniaeth,psychology,nouns,1.6
1880,crocodeil,lizard,nouns,1.5
1881,meddwl,try,verbs,0.15
1882,yn ddiweddar,realistically,adverbs,0.0
1883,arian,diamond,nouns,0.66
1884,gwyddoniadur,dictionary,nouns,1.73
1885,cytuno,please,verbs,0.69
1886,mynd  ,allow,verbs,0.04
1887,o ddifrif,importantly,adverbs,1.91
1888,methu,lose,verbs,3.04
1889,artiffisial,fake,adjectives,5.13
1890,pobl,party,nouns,0.84
1891,yn llachar,lightly,adverbs,0.57
1892,stopio,whistle,verbs,0.05
1893,yn heddychlon,chaotically,adverbs,0.04
1894,saws,apple,nouns,0.58
1895,cymysgu,stir,verbs,3.31
1896,enfawr,large,adjectives,4.36
1897,botwm,clothes,nouns,0.41
1898,berwi,fry,verbs,1.32
1899,archwilio,ignore,verbs,0.05
1900,barn,choice,nouns,1.09
1901,rheoli,mouse,nouns,0.0
1902,rheol,convention,nouns,2.74
1903,llunio,make,verbs,3.9
1904,dadlau,attend,verbs,0.0
1905,milwr,peace,nouns,0.1
1906,yn fras,marginally,adverbs,0.46
1907,arian,pearl,nouns,0.27
1908,person,animal,nouns,0.41
1909,hen,new,adjectives,0.04
1910,twll,agreement,nouns,0.0
1911,digid,cytoplasm,nouns,0.0
1912,pêl,costume,nouns,0.05
1913,anwybodus,regular,adjectives,0.07
1914,cawl,dinner,nouns,1.19
1915,methu,rely,verbs,0.15
1916,pydru,destroy,verbs,1.11
1917,arf,helmet,nouns,0.59
1918,calendr,date,nouns,1.56
1919,cymysg,old,adjectives,0.1
1920,yn annhebygol,friendly,adverbs,0.0
1921,atgoffa,tell,verbs,1.01
1922,credu,accept,verbs,1.54
1923,datblygiad,fundraising,nouns,0.24
1924,palmwydd,finger,nouns,0.34
1925,cân,story,nouns,0.6
1926,profi,explain,verbs,1.81
1927,canrif,decade,nouns,0.54
1928,llwythog,heavy,adjectives,3.6
1929,damwain,catastrophe,nouns,3.22
1930,eira,weather,nouns,1.01
1931,gwellt,hymn,nouns,0.0
1932,dysgu,confuse,verbs,0.0
1933,geneth,child,nouns,1.58
1934,band,liquor,nouns,0.0
1935,ymwrthod,repress,verbs,0.44
1936,swltan,ministry,nouns,0.3
1937,ysgol,grade,nouns,0.56
1938,nerf,gut,nouns,0.69
1939,glob,world,nouns,4.45
1940,colli,keep,verbs,0.2
1941,llwy,cup,nouns,0.84
1942,chwilio,inquire,verbs,1.6
1943,angenrheidiol,unnecessary,adjectives,0.04
1944,ystafell wely,bicycle,nouns,0.0
1945,cytuno,accept,verbs,2.42
1946,syfrdanu,celebrate,verbs,0.19
1947,egluro,define,verbs,3.13
1948,yn annaturiol,negatively,adverbs,0.38
1949,môr,ocean,nouns,4.58
1950,canol,stomach,nouns,1.41
1951,bwriadu,attempt,verbs,0.82
1952,yn wahanol,normal,adjectives,0.35
1953,ffrind,teacher,nouns,0.45
1954,dicter,mood,nouns,1.09
1955,baw,mud,nouns,4.25
1956,wylo,cry,verbs,4.63
1957,goddefol,violent,adjectives,0.0
1958,chwilio,hunt,verbs,2.81
1959,diflas,tired,adjectives,0.51
1960,dadansoddi,evaluate,verbs,4.26
1961,rhiant,father,nouns,3.02
1962,ymuno,acquire,verbs,0.26
1963,mynd i mewn,owe,verbs,0.1
1964,cymysgu,combine,verbs,3.85
1965,yn heddychlon,proudly,adverbs,0.21
1966,coch,blue,adjectives,0.66
1967,trafod syniadau,telescope,nouns,0.0
1968,yn arbennig,meaningfully,adverbs,1.56
1969,bàth,log,nouns,0.0
1970,yn annibynnol,responsibly,adverbs,0.39
1971,darganfod,realize,verbs,3.54
1972,dillad isaf,body,nouns,0.26
1973,hawdd,hard,adjectives,0.04
1974,talu,treat,verbs,0.19
1975,ychwanegu,build,verbs,1.24
1976,anwybyddu,forget,verbs,0.89
1977,swydd,tool,nouns,0.07
1978,madfall,crocodile,nouns,1.5
1979,yn ddi-drefn,peacefully,adverbs,0.04
1980,gostwng,reduce,verbs,4.53
1981,brawd,son,nouns,0.89
1982,tywod,foot,nouns,0.05
1983,cystadlu,finish,verbs,0.69
1984,braich,body,nouns,0.6
1985,difrifol,funny,adjectives,0.0
1986,chwaraewr,coach,nouns,0.35
1987,criced,supporter,nouns,0.05
1988,naïf,innocent,adjectives,4.88
1989,llaeth,juice,nouns,0.76
1990,ysbryd,god,nouns,1.81
1991,dwyn,buy,verbs,0.17
1992,asteroid,star,nouns,1.77
1993,dychmygu,create,verbs,1.09
1994,canser,sickness,nouns,2.82
1995,yn beryglus,carefully,adverbs,0.05
1996,castell,wall,nouns,0.41
1997,chwipio,beat,verbs,2.58
1998,deffro,snore,verbs,0.09
1999,troelli,mix,verbs,3.31
2000,yn amlwg,locally,adverbs,0.0
2001,lladrad,crime,nouns,2.12
2002,cyffes,denial,nouns,0.42
2003,troseddu,bother,verbs,1.13
2004,system,fault,nouns,0.12
2005,treth,income,nouns,0.45
2006,traeth,island,nouns,1.05
2007,doniol,dull,adjectives,0.05
2008,glân,messy,adjectives,0.04
2009,hapus,angry,adjectives,0.09
2010,coginio,fry,verbs,2.16
2011,actor,television,nouns,0.54
2012,amrwd,ugly,adjectives,0.51
2013,tudalen,word,nouns,0.67
2014,llwy,juice,nouns,0.05
2015,terfyn,border,nouns,4.47
2016,côn,cup,nouns,0.44
2017,ceirios,strawberry,nouns,0.94
2018,ymennydd,mind,nouns,3.62
2019,unwaith,twice,adverbs,0.8
2020,arnofio,sing,verbs,0.0
2021,cydweithredu,join,verbs,1.54
2022,ystafell,building,nouns,0.86
2023,sioe,mathematician,nouns,0.0
2024,moesol,legend,nouns,0.32
2025,da,known,adjectives,0.27
2026,athronydd,racing,nouns,0.0
2027,pigo,select,verbs,4.77
2028,yn rhyfedd,differently,adverbs,1.99
2029,crefydd,secularist,nouns,0.76
2030,beio,push,verbs,0.05
2031,yn ddiamynedd,roughly,adverbs,0.74
2032,credu,feel,verbs,2.59
2033,heliwm,air,nouns,2.0
2034,capel,cable,nouns,0.0
2035,yn lleol,obviously,adverbs,0.0
2036,cred,impression,nouns,1.81
2037,cymryd rhan,say,verbs,0.15
2038,cyfoeth,fame,nouns,0.96
2039,yn ffyddlon,honestly,adverbs,2.0
2040,priffordd,task,nouns,0.0
2041,bioleg,anatomy,nouns,2.79
2042,môr,river,nouns,1.29
2043,car,bridge,nouns,0.15
2044,efallai,probably,adverbs,2.6
2045,cerdd,rhythm,nouns,0.71
2046,ysgwyd,stir,verbs,1.52
2047,drwg,immoral,adjectives,3.46
2048,yn drist,madly,adverbs,0.14
2049,diffinio,clarify,verbs,3.13
2050,car,truck,nouns,1.65
2051,teclyn,pot,nouns,0.34
2052,abdomen,belly,nouns,4.09
2053,bod yn ddyledus,enter,verbs,0.1
2054,athro,student,nouns,0.51
2055,peilliad,stamen,nouns,0.94
2056,boddi,save,verbs,0.05
2057,dŵr,ice,nouns,1.88
2058,llygredd,atmosphere,nouns,0.76
2059,aros,get,verbs,0.0
2060,ongl,curve,nouns,1.04
2061,cyfuno,blend,verbs,3.85
2062,darganfod,explore,verbs,2.21
2063,miniog,smooth,adjectives,0.15
2064,cadw,give,verbs,0.05
2065,erydu,fade,verbs,2.47
2066,babi,daughter,nouns,1.48
2067,mwsogl,grass,nouns,1.51
2068,corn,car,nouns,0.66
2069,gwefus,hip,nouns,0.14
2070,angel,demon,nouns,0.17
2071,penelin,ankle,nouns,0.59
2072,gwallgof,happy,adjectives,0.0
2073,trasiedi,death,nouns,1.37
2074,dafad,cattle,nouns,1.12
2075,rhyddhau,catch,verbs,0.59
2076,cysylltu,separate,verbs,0.09
2077,casglu,shake,verbs,0.0
2078,modur,car,nouns,5.35
2079,caniatáu,erode,verbs,0.0
2080,heddiw,tonight,adverbs,1.52
2081,anonest,truthful,adjectives,0.09
2082,tasg,job,nouns,3.74
2083,nenfwd,roof,nouns,4.04
2084,munud,second,nouns,0.54
2085,cywilydd,upset,adjectives,0.54
2086,bara,flour,nouns,0.84
2087,troed,base,nouns,1.79
2088,cynddaredd,anger,nouns,4.57
2089,bywgraffiad,fiction,nouns,0.34
2090,cyhoeddus,private,adjectives,0.09
2091,pledio,please,verbs,0.31
2092,eglwys gadeiriol,ceiling,nouns,0.05
2093,daeargryn,tremor,nouns,3.06
2094,barn,belief,nouns,4.06
2095,llyfr,bible,nouns,1.77
2096,plentynaidd,foolish,adjectives,2.09
2097,soffa,bed,nouns,0.96
2098,osgoi,ignore,verbs,2.98
2099,cytuno,differ,verbs,0.04
2100,yn rhyfedd,unusually,adverbs,4.53
2101,gair,phrase,nouns,1.71
2102,cynllwyniwr,strategist,nouns,3.35
2103,hedfan,ant,nouns,0.31
2104,yn onest,never,adverbs,0.0
2105,gadael,evict,verbs,0.47
2106,perswadio,argue,verbs,1.92
2107,hylif,nozzle,nouns,0.04
2108,yn ddibynadwy,passively,adverbs,0.1
2109,dewin,cable,nouns,0.0
2110,menyn,potato,nouns,0.22
2111,swper,breakfast,nouns,0.74
2112,fforddiadwy,cheap,adjectives,4.38
2113,ffrind,guy,nouns,0.86
2114,syniad,opinion,nouns,2.74
2115,priffordd,road,nouns,3.89
2116,tŷ,apartment,nouns,2.53
2117,ysgubell,dust,nouns,0.22
2118,entropi,information,nouns,0.48
2119,blwch,source,nouns,0.0
2120,grawnfwyd,wheat,nouns,1.66
2121,niwtral,calm,adjectives,1.31
2122,mynnu,reprimand,verbs,0.19
2123,anghyfreithlon,immoral,adjectives,1.91
2124,cymryd,receive,verbs,1.56
2125,llwyddo,win,verbs,3.59
2126,bacwn,meat,nouns,2.2
2127,nodyn,payment,nouns,0.36
2128,potel,container,nouns,2.2
2129,eang,narrow,adjectives,0.09
2130,dyweddïo,marry,verbs,1.13
2131,anwybyddu,print,verbs,0.0
2132,brenin,nepotism,nouns,0.3
2133,ymosodiad,crime,nouns,1.99
2134,môr,tsunami,nouns,1.3
2135,tristwch,happiness,nouns,0.24
2136,taliad,fee,nouns,4.09
2137,cyfuniad,sugarcane,nouns,0.0
2138,biolegydd,microscope,nouns,0.48
2139,arian cyfred,concurrency,nouns,0.04
2140,ewyllys,intention,nouns,2.79
2141,dod i feddiant,obtain,verbs,4.71
2142,hael,nice,adjectives,1.22
2143,anghwrtais,critical,adjectives,0.93
2144,llywydd,politician,nouns,1.94
2145,colli,cook,verbs,0.0
2146,brawdgarwch,men,nouns,0.9
2147,ael,eye,nouns,1.07
2148,brechdan,lunch,nouns,1.44
2149,addurn,wall,nouns,0.3
2150,tynnu'n ôl,absorb,verbs,0.4
2151,blawd,bread,nouns,0.84
2152,ceg,tooth,nouns,0.93
2153,dillad,button,nouns,0.41
2154,plentyn,man,nouns,0.17
2155,ifanc,happy,adjectives,0.19
2156,planhigyn,agriculture,nouns,1.0
2157,mynach,cross,nouns,0.41
2158,traethu,remind,verbs,1.01
2159,argymell,advise,verbs,4.22
2160,etholiad,choice,nouns,2.26
2161,onest,guilty,adjectives,0.05
2162,cyfuniad,union,nouns,2.25
2163,handlen,protein,nouns,0.0
2164,disg,charger,nouns,0.12
2165,dod yn,seem,verbs,0.77
2166,bachgen,soldier,nouns,0.24
2167,syml,difficult,adjectives,0.09
2168,theori,chemistry,nouns,0.34
2169,gweriniaeth,duke,nouns,0.09
2170,tad,son,nouns,0.76
2171,esgus,imagine,verbs,2.33
2172,cydsyniad,currency,nouns,0.04
2173,ceffyl,colt,nouns,3.25
2174,cwyno,bring,verbs,0.0
2175,gwehyddu,move,verbs,0.19
2176,mynd,enter,verbs,1.84
2177,meddyg,orthodontist,nouns,1.21
2178,myfyriwr,pupil,nouns,5.29
2179,tuedd,opinion,nouns,2.19
2180,gwartheg,yogurt,nouns,0.32
2181,top,side,nouns,0.35
2182,cyw iâr,dinner,nouns,0.74
2183,gwm,peppermint,nouns,0.54
2184,ergyd,frame,nouns,0.0
2185,coeden,maple,nouns,2.45
2186,gwydn,sly,adjectives,0.0
2187,gormesu,renounce,verbs,0.44
2188,cig,bread,nouns,0.14
2189,pledio,ask,verbs,2.4
2190,ymbarél,heater,nouns,0.0
2191,jin,alcohol,nouns,1.96
2192,anghwrtais,loud,adjectives,0.44
