ID,EST,HEB,PoS,score
1379,sassis,מסודר,adjectives,0.75
1380,loll,טיפש,adjectives,4.9
1381,nõrk,חריף,adjectives,0.1
1382,delikaatselt,כרגע,adverbs,0.2
1383,nuuksuma,לבכות,verbs,4.1
1384,ebaseaduslik,חוקי,adjectives,0.85
1385,vend,נשמה,nouns,0.4
1386,proovima,לחשוב,verbs,0.7
1387,lumi,מפולת שלגים,nouns,1.65
1388,otsustama,לתאר,verbs,0.4
1389,juhtkang,רדאר,nouns,0.3
1390,andma,להכחיש,verbs,0.2
1391,reket,כדור,nouns,1.2
1392,aasta,מאה,nouns,2.0
1393,rikkumata,צנוע,adjectives,1.15
1394,tugevalt,רשמית,adverbs,0.5
1395,lugu,שיר,nouns,2.5
1396,mitte nõustuma,לריב,verbs,1.65
1397,relv,סכין,nouns,2.15
1398,mees,אבא,nouns,2.55
1399,seade,סיר,nouns,0.65
1400,vaher,אלון,nouns,1.65
1401,teostama,להפוך,verbs,0.65
1402,järgima,לחקור,verbs,1.15
1403,hiiglasuur,זעיר,adjectives,0.75
1404,pidustus,טקס,nouns,3.35
1405,tšempion,מנצח,nouns,4.35
1406,soovitama,לייעץ,verbs,4.2
1407,lõpetama,להחליט,verbs,1.2
1408,võlur,כבל,nouns,0.15
1409,kummaline,תמוה,adjectives,5.2
1410,kägistama,להרוג,verbs,2.5
1411,halb,בינוני,adjectives,1.2
1412,paratsetamol,ברונכיטיס,nouns,1.15
1413,karp,כובע,nouns,0.2
1414,lahkuma,לפנות,verbs,1.0
1415,ajastu,עשור,nouns,2.3
1416,uks,כניסה,nouns,2.9
1417,pehme,אלים,adjectives,0.35
1418,maks,איבר,nouns,1.95
1419,vallutus,המנון,nouns,0.4
1420,ebaselge,מעורפל,adjectives,4.1
1421,ilm,גל,nouns,0.5
1422,salat,דיאטה,nouns,1.15
1423,uurima,לבחון,verbs,3.2
1424,tuba,מיטה,nouns,0.8
1425,siiralt,ביושר,adverbs,5.25
1426,tuli,אפוקליפסה,nouns,0.9
1427,kool,ציון,nouns,1.6
1428,külmuma,לרעוד,verbs,1.85
1429,korraldama,לצרוך,verbs,0.5
1430,kirjanik,מלחין,nouns,1.65
1431,eelkool,גן חובה,nouns,2.25
1432,isiklik,פרטי,adjectives,5.35
1433,ananass,טלפון סללורי,nouns,0.05
1434,sajand,ליקר,nouns,0.0
1435,lumetorm,גשם,nouns,1.4
1436,põngerjas,בן,nouns,3.25
1437,teostatav,בלתי אפשרי,adjectives,0.8
1438,kaart,כיכר,nouns,0.7
1439,pank,מושב,nouns,0.25
1440,lill,פקעת,nouns,1.3
1441,kuupäev,יומן,nouns,1.8
1442,konteiner,עכבר,nouns,0.2
1443,lagunema,למות,verbs,1.25
1444,laisk,עסוק,adjectives,0.55
1445,kristall,זכוכית,nouns,2.3
1446,kiiresti,בדחיפות,adverbs,3.0
1447,maasikas,דובדבן,nouns,1.55
1448,vara,מנייה,nouns,2.95
1449,karp,חומרה,nouns,0.45
1450,kõht,וריד,nouns,0.55
1451,õepoeg,דודה,nouns,1.25
1452,vaene,גאה,adjectives,0.4
1453,kotkas,בז,nouns,2.3
1454,kitsas,מלוכלך,adjectives,0.25
1455,sassis,מכוער,adjectives,1.35
1456,teema,סיפור,nouns,1.75
1457,pisar,עין,nouns,1.45
1458,pall,ספירה,nouns,2.15
1459,ebamäärane,לא ברור,adjectives,4.1
1460,jätma,לפגוש,verbs,0.35
1461,järv,ביצה,nouns,1.15
1462,käituma,לציית,verbs,1.1
1463,klaas,קריסטל,nouns,2.3
1464,olukord,נסיבות,nouns,3.85
1465,võime,כשירות,nouns,4.0
1466,vargus,פשע,nouns,2.7
1467,vihane,שמח,adjectives,0.65
1468,lasteaed,גן טרום חובה,nouns,2.25
1469,koridor,מעבר,nouns,4.15
1470,omandama,למצוא,verbs,1.45
1471,tsivilisatsioon,אורח חיים,nouns,1.0
1472,rünnak,פשע,nouns,2.45
1473,süüdistama,להאשים,verbs,2.75
1474,tooma,להגיע,verbs,0.75
1475,lõpetama,לסיים,verbs,1.75
1476,veri,מוח,nouns,1.3
1477,tamm,מייפל,nouns,1.65
1478,hommik,יום,nouns,1.85
1479,nõbu,דוד,nouns,2.45
1480,järgima,לשכנע,verbs,0.4
1481,rahakorjamine,ארוע,nouns,1.15
1482,sulama,להתמוסס,verbs,1.55
1483,essee,ספר,nouns,1.6
1484,andma,לדעת,verbs,0.0
1485,võimekus,כוח,nouns,2.85
1486,laager,ביתן,nouns,1.25
1487,otsustama,לבחור,verbs,3.4
1488,nõudma,להתווכח,verbs,1.15
1489,õun,רוטב,nouns,0.55
1490,meel,מוח,nouns,1.75
1491,edendama,לקדם,verbs,2.55
1492,oletama,להתחזות,verbs,0.55
1493,tormama,להזדרז,verbs,4.85
1494,koridor,כיתה,nouns,0.85
1495,aktiivselt,בשמחה,adverbs,1.1
1496,hädavajalik,הכרחי,adjectives,4.35
1497,pikk,קצר,adjectives,0.75
1498,varastama,לתת,verbs,0.55
1499,ranne,זרוע,nouns,2.05
1500,küsima,להתפלל,verbs,2.15
1501,arvuti,דיסק,nouns,0.8
1502,paber,קרטון,nouns,2.65
1503,kokkulepe,ויכוח,nouns,1.0
1504,kõrgus,המרה,nouns,0.55
1505,vastupidavus,פרח,nouns,0.15
1506,lõvi,חתול,nouns,1.95
1507,tegema,ליצור,verbs,3.65
1508,leib,בשר,nouns,0.8
1509,uskuma,לקבל,verbs,1.4
1510,lambatall,כבש,nouns,3.75
1511,voolama,להיסחף,verbs,2.4
1512,õnnetus,ספר,nouns,0.05
1513,tugevalt,בחוזקה,adverbs,2.3
1514,hammas,פה,nouns,1.35
1515,sünnipäev,שנה,nouns,1.2
1516,tüssama,לרמות,verbs,5.3
1517,lennuk,סדין,nouns,0.15
1518,uba,בייקון,nouns,0.75
1519,voodi,כיסא,nouns,1.05
1520,tapma,לחנוק,verbs,2.5
1521,kaks korda,הרבה,adverbs,1.5
1522,edu saavutama,להיכשל,verbs,0.8
1523,õnnelik,משוגע,adjectives,1.3
1524,eestkostja,אמא,nouns,1.05
1525,tõsine,מצחיק,adjectives,0.9
1526,amet,מכללה,nouns,0.95
1527,põhiliselt,סופני,adverbs,0.0
1528,viha,תסכול,nouns,2.65
1529,alkohol,ויסקי,nouns,2.3
1530,pahkluu,מרפק,nouns,1.6
1531,salaja,בבטחה,adverbs,0.85
1532,korter,מלון,nouns,1.35
1533,õiglaselt,בבגרות,adverbs,0.65
1534,leht,נבט,nouns,1.35
1535,vägivaldne,רך,adjectives,0.35
1536,lipp,חקר דגלים,nouns,1.4
1537,halb,איום,adjectives,2.55
1538,valelik,רע,adjectives,1.7
1539,kaks korda,תמיד,adverbs,0.45
1540,organiseerima,לסדר,verbs,5.15
1541,rannik,ספינת תותחים,nouns,0.95
1542,keha,גב,nouns,1.65
1543,raske,עמוס,adjectives,1.35
1544,jumal,כומר,nouns,1.35
1545,õhtueine,ארוחת בוקר,nouns,1.8
1546,lahkuma,לנסוג,verbs,2.85
1547,erinema,להסכים,verbs,0.75
1548,rass,סוף שבוע,nouns,0.05
1549,maantee,מכונית,nouns,1.25
1550,näidik,מכונית,nouns,1.0
1551,uudised,מדיה,nouns,2.15
1552,oluliselt,באמת,adverbs,0.8
1553,pilt,רעיון,nouns,0.8
1554,kuritegu,תקיפה,nouns,2.45
1555,uskumatu,רגיל,adjectives,0.7
1556,köök,אמבטיה,nouns,1.4
1557,paber,פוסטר,nouns,2.0
1558,uss,נוזקה,nouns,1.2
1559,kätte toimetama,לקחת,verbs,0.85
1560,õnnemängu mängima,להתערב,verbs,2.7
1561,tuntud,לאומי,adjectives,1.1
1562,ausalt,בנאמנות,adverbs,2.35
1563,täiskasvanu,ילד,nouns,1.2
1564,jooma,ללגום,verbs,4.8
1565,tõbi,סכנה,nouns,0.95
1566,vangla,בחירה,nouns,0.55
1567,agressiivne,מעוקל,adjectives,0.3
1568,advokaat,תובע,nouns,2.05
1569,paindlik,קל,adjectives,1.25
1570,jaanalind,פרדס,nouns,0.1
1571,üllatama,לחגוג,verbs,1.0
1572,äri,חברה,nouns,3.6
1573,võõramaalane,חייזר,nouns,2.25
1574,pesapall,אחווה,nouns,0.35
1575,vend,ילד,nouns,2.25
1576,vabariik,דוכס,nouns,0.8
1577,tugevalt,ברכות,adverbs,0.5
1578,eraldama,לחבר,verbs,0.65
1579,juhendaja,מורה,nouns,3.85
1580,õppima,לשכוח,verbs,0.7
1581,teekond,כיבוש,nouns,1.15
1582,valik,בחירות,nouns,2.95
1583,kasutamata,חדש,adjectives,4.15
1584,saal,מעבר,nouns,1.1
1585,kuningas,שליט,nouns,4.4
1586,läbikukkumine,פשיטת רגל,nouns,1.65
1587,andestama,לקבל,verbs,2.0
1588,koosseis,זמר,nouns,0.45
1589,igav,משעמם,adjectives,3.25
1590,põhiseadus,קיסר,nouns,0.7
1591,aluspesu,גוף,nouns,0.6
1592,või,תפוד,nouns,1.0
1593,nool,מטרה,nouns,1.15
1594,pühak,חוטא,nouns,0.85
1595,matkama,לטפס,verbs,1.75
1596,käsi,שריר,nouns,1.4
1597,heidutama,להיכשל,verbs,0.9
1598,tööstus,עסק,nouns,2.05
1599,piiskop,מוסלמי,nouns,1.1
1600,räpane,צר,adjectives,0.25
1601,informatsioon,עיתון,nouns,1.5
1602,mööbel,מיטה,nouns,2.05
1603,saar,משימה,nouns,0.0
1604,hull,משוגע,adjectives,4.85
1605,valjusti,ברכות,adverbs,0.35
1606,steik,עוף,nouns,1.4
1607,mööda lööma,לפגוע,verbs,0.9
1608,definitisioon,מילון,nouns,1.75
1609,tarkus,אינטליגנציה,nouns,4.95
1610,kuulma,להקשיב,verbs,3.35
1611,lihtne,קשה,adjectives,0.65
1612,koer,סוס,nouns,1.1
1613,kriket,אוהד,nouns,0.3
1614,mootor,מכונה,nouns,2.3
1615,pastakas,אלפבית,nouns,0.7
1616,riided,מעיל,nouns,1.82
1617,õhtusöök,ארוחת בוקר,nouns,2.35
1618,elektriline,מכני,adjectives,1.0
1619,statistika,טניס,nouns,0.3
1620,sirge,מעוקל,adjectives,0.8
1621,lõbu,כדורגל,nouns,0.8
1622,petma,להונות,verbs,5.3
1623,võimas,חלש,adjectives,0.6
1624,loll,טיפשי,adjectives,4.6
1625,õnnelikult,נמרצות,adverbs,1.1
1626,pilvelõhkuja,ארמון,nouns,1.45
1627,jääma,לשמור,verbs,1.15
1628,tase,ניקוד,nouns,1.45
1629,surm,אסון,nouns,1.9
1630,kurb,גאה,adjectives,0.25
1631,kahtlustama,לעצור,verbs,1.05
1632,töötaja,מעסיק,nouns,1.5
1633,auto,צינור,nouns,0.45
1634,jätma,לקחת,verbs,0.55
1635,kiibid,סמן,nouns,0.35
1636,sõber,חבר,nouns,4.65
1637,sajand,שנה,nouns,2.0
1638,metall,פח,nouns,2.2
1639,põhi,צד,nouns,1.35
1640,süsinik,אטום,nouns,1.55
1641,kõri,אף,nouns,1.3
1642,lugeja,סופר,nouns,1.1
1643,luu,קרסול,nouns,2.3
1644,film,ניהיליזם,nouns,0.35
1645,täna,הלילה,adverbs,2.05
1646,sviiter,מעיל,nouns,1.9
1647,soetama,לגנוב,verbs,0.95
1648,algama,ללכת,verbs,0.45
1649,raamat,ספרות,nouns,2.15
1650,tööriist,עבודה,nouns,1.05
1651,mitte nõustuma,להסכים,verbs,0.75
1652,buss,רכב,nouns,2.1
1653,iga,יופי,nouns,0.9
1654,margniaalselt,לחלוטין,adverbs,1.0
1655,teadlane,אחות,nouns,0.35
1656,sõber,אמא,nouns,1.55
1657,vappumine,רעידת אדמה,nouns,2.55
1658,teater,סרט,nouns,1.45
1659,vibukütt,גשש,nouns,0.4
1660,varastama,לרכוש,verbs,0.95
1661,lõug,עצם,nouns,1.3
1662,printsess,כלה,nouns,1.4
1663,uus,חדש,adjectives,3.7
1664,kabel,כבל,nouns,0.0
1665,katastroof,מוות,nouns,1.9
1666,äri tegema,למכור,verbs,3.75
1667,keeruline,פשוט,adjectives,1.25
1668,tulema,ללכת,verbs,0.95
1669,päikesepaiste,קרן,nouns,1.55
1670,biheiviorism,טיפול,nouns,1.15
1671,uudised,מאמר מערכת,nouns,1.5
1672,loll,חכם,adjectives,0.85
1673,regioon,שטח,nouns,3.95
1674,suruma,לשחרר,verbs,0.65
1675,käeturvis,מגן,nouns,2.3
1676,joonistama,ליצור,verbs,1.7
1677,tajuma,לשמוע,verbs,1.85
1678,informatsioon,אנטרופיה,nouns,1.55
1679,valvur,גבר,nouns,0.95
1680,monokultuur,חקלאות,nouns,1.4
1681,erinevalt,סופית,adverbs,0.2
1682,toll,מטר,nouns,1.85
1683,süsivesik,סוכרוז,nouns,2.65
1684,rand,אי,nouns,1.2
1685,katus,חלון,nouns,1.15
1686,lisama,להצטרף,verbs,1.4
1687,korporatsioon,דלת,nouns,0.15
1688,pea,כתף,nouns,1.25
1689,õun,מיץ,nouns,1.5
1690,isa,בת,nouns,1.25
1691,kaduma,להיעלם,verbs,4.9
1692,regulaarne,ממוצע,adjectives,2.85
1693,samasugune,דומה,adjectives,4.2
1694,abikaasa (naine),סנט,nouns,0.05
1695,ühinema,להוסיף,verbs,1.4
1696,sõrm,בוהן,nouns,2.05
1697,kirik,מקהלה,nouns,1.55
1698,saama,להשאיר,verbs,0.35
1699,vend,אב,nouns,1.6
1700,nakkus,נטייה,nouns,0.05
1701,vahepeal,מתישהו,adverbs,1.75
1702,instrument,כינור,nouns,1.9
1703,peegeldus,תמונה,nouns,1.55
1704,haavama,להעליב,verbs,3.45
1705,võrdlema,לנתח,verbs,2.65
1706,valima,לדחות,verbs,0.55
1707,depressioon,עמק,nouns,0.3
1708,turvama,לשמור,verbs,4.4
1709,kahanema,לצמוח,verbs,0.95
1710,tina,מתכת,nouns,2.2
1711,vaesus,עושר,nouns,0.9
1712,ühing,עסק,nouns,2.25
1713,hädasti,במהירות,adverbs,3.0
1714,puus,שפה,nouns,1.0
1715,uitama,לעזוב,verbs,1.1
1716,põrand,דלת,nouns,1.1
1717,katedraal,כנסייה,nouns,4.2
1718,ostma,לגנוב,verbs,0.65
1719,ühinema,להשתתף,verbs,2.0
1720,näitlejanna,שחקן,nouns,4.0
1721,heaks kiitma,להרשות,verbs,4.2
1722,eelarvamus,שוביניסט,nouns,1.9
1723,peatükk,לילה,nouns,0.1
1724,hoomama,לדעת,verbs,2.6
1725,sidrun,תה,nouns,0.75
1726,intuitsioon,חוש,nouns,3.95
1727,arutama,להסביר,verbs,1.8
1728,veri,גוף,nouns,1.2
1729,hoomama,לקרוא,verbs,1.05
1730,kahur,כדור,nouns,1.2
1731,silmus,חגורה,nouns,1.15
1732,teadus,פסיכולוגיה,nouns,1.95
1733,sidrun,תפוח,nouns,1.6
1734,rüüpama,לשתות,verbs,4.8
1735,abiline,מורה,nouns,1.7
1736,automobiil,אוטו,nouns,5.45
1737,lõpetama,לפתור,verbs,2.3
1738,lubama,להפריך,verbs,0.1
1739,tegema,לבנות,verbs,2.7
1740,küllus,שפע,nouns,3.9
1741,peatükk,בחירה,nouns,0.5
1742,täkkvarss,סוס,nouns,2.75
1743,bänd,סבולת,nouns,0.25
1744,eraldama,לפצל,verbs,2.55
1745,filosoof,מרוץ,nouns,0.0
1746,naine,מזכירה,nouns,1.35
1747,jurist,פרקליט,nouns,4.3
1748,tavaliselt,בכנות,adverbs,0.55
1749,oluliselt,ברצינות,adverbs,2.45
1750,galerii,עורך דין,nouns,0.0
1751,tegevus,תנועה,nouns,2.3
1752,tagasi lükkama,לסגת,verbs,1.15
1753,kass,כלב,nouns,1.45
1754,kaart,ברידג',nouns,0.85
1755,kiire,זריז,adjectives,4.35
1756,pära,צוק,nouns,0.0
1757,lill,אמונה,nouns,0.05
1758,maantee,משימה,nouns,0.1
1759,lõbu,משחק,nouns,1.7
1760,laenama,למכור,verbs,1.0
1761,magma,הר געש,nouns,1.7
1762,pilv,אובך,nouns,1.9
1763,põiktänav,רחוב,nouns,3.7
1764,imeline,מעולה,adjectives,4.15
1765,lahkuma,להופיע,verbs,0.5
1766,võileib,ארוחה,nouns,1.25
1767,külge tõmbama,להכות,verbs,0.75
1768,kong,חדר,nouns,2.45
1769,radar,ג'ויסטיק,nouns,0.3
1770,puhas,מסודר,adjectives,2.55
1771,värske,רחב,adjectives,0.05
1772,lennuk,סילון,nouns,1.25
1773,uks,מסדרון,nouns,1.5
1774,umbes,באופן שולי,adverbs,0.9
1775,ilmuma,לעזוב,verbs,0.5
1776,vabastama,להציל,verbs,4.95
1777,kallis,קדוש,adjectives,2.3
1778,maavärin,רעד,nouns,2.55
1779,imiteerima,ללכוד,verbs,0.6
1780,noppima,לבחור,verbs,1.55
1781,peatükk,זנב,nouns,0.25
1782,mantel,בגדים,nouns,2.0
1783,jumal,שטן,nouns,1.5
1784,positiivselt,כנראה,adverbs,1.2
1785,vastutustundlikult,באופן עצמאי,adverbs,1.55
1786,tolmendamine,אבקן,nouns,1.95
1787,advokaat,משפטן,nouns,4.3
1788,reegel,מוסכמה,nouns,3.15
1789,klubi,סימן,nouns,0.35
1790,prognoosima,לקבוע,verbs,1.45
1791,süüdi,כן,adjectives,0.7
1792,otsima,לבקש,verbs,1.25
1793,kindlalt,בברור,adverbs,3.3
1794,rõõm,עצב,nouns,1.05
1795,kapital,כסף,nouns,4.0
1796,uks,פעמון,nouns,0.75
1797,helikopter,מטוס,nouns,2.4
1798,vein,ליקר,nouns,2.0
1799,kaine,רציונלי,adjectives,2.55
1800,hümn,קש,nouns,0.0
1801,õun,אור,nouns,0.2
1802,ühiskond,תרבות,nouns,2.1
1803,surmavalt,באושר,adverbs,0.2
1804,abikaasa (naine),קש,nouns,0.1
1805,varastama,לקחת,verbs,2.15
1806,udu,גשם,nouns,2.2
1807,õppima,לבלבל,verbs,0.6
1808,meeter,אינץ',nouns,1.85
1809,hammustama,לריב,verbs,1.15
1810,õhk,מולקולה,nouns,1.3
1811,ala,פינה,nouns,0.9
1812,vormitu,אמורפי,adjectives,4.65
1813,kuulama,להבין,verbs,1.55
1814,homme,הלילה,adverbs,0.7
1815,keha,חזה,nouns,1.75
1816,sõrmus,אירוסין,nouns,1.65
1817,hukka mõistma,לדחות,verbs,1.5
1818,klooster,מקלחת,nouns,0.1
1819,põhimõtteliselt,לחלוטין,adverbs,1.45
1820,agressioon,עוינות,nouns,4.05
1821,näljane,צמא,adjectives,1.75
1822,korrutama,לחלק,verbs,1.15
1823,koostööd tegema,להשתתף,verbs,2.2
1824,aktsepteerima,לאשר,verbs,3.7
1825,klass,מכללה,nouns,1.35
1826,minema,להתחיל,verbs,0.45
1827,vaidlema,לדון,verbs,2.65
1828,varsti,מיד,adverbs,2.05
1829,võrevoodi,מיטת תינוק,nouns,3.7
1830,medal,מאמנים,nouns,0.65
1831,käänamine,זיהום,nouns,0.05
1832,võimalikult,באופטימיות,adverbs,1.15
1833,iste,שיפוע,nouns,0.25
1834,tekk,קומה,nouns,1.65
1835,lahkuma,להצטרף,verbs,0.65
1836,portreteerima,לחקות,verbs,3.45
1837,etteaste,קמע,nouns,0.45
1838,rumal,מטומטם,adjectives,4.9
1839,nutikas,מטומטם,adjectives,0.7
1840,semester,תקופה,nouns,3.15
1841,hematoloogia,פתולוגיה,nouns,1.75
1842,auto,מפעל,nouns,0.7
1843,torm,רוח,nouns,2.65
1844,kaebama,לטעון,verbs,1.5
1845,šovinist,דעה קדומה,nouns,1.9
1846,ausalt,בכנות,adverbs,5.25
1847,ära tõukama,להזניח,verbs,1.35
1848,kissitama,לבהות,verbs,1.4
1849,saabuma,לבוא,verbs,4.55
1850,kaos,אנרכיה,nouns,3.75
1851,kivi,עץ,nouns,0.95
1852,toores,מכוער,adjectives,1.05
1853,sünnipäev,תאריך,nouns,1.8
1854,laenama,לשמור,verbs,0.8
1855,imenduma,לסגת,verbs,0.25
1856,sõbralik,לא סביר,adverbs,0.0
1857,lagi,גג,nouns,3.6
1858,mehaaniliselt,באופן אידיאלי,adverbs,0.35
1859,raske,קל,adjectives,0.75
1860,uba,אורז,nouns,1.35
1861,paindlik,צנוע,adjectives,0.45
1862,tragöödia,מוות,nouns,2.15
1863,segama, לנער,verbs,2.3
1864,käsi,וריד,nouns,0.95
1865,muutmine,גובה,nouns,0.55
1866,regulaarne,בור,adjectives,0.25
1867,neelatama,לגמוע,verbs,2.7
1868,looma,להרוס,verbs,0.8
1869,kaabel, קפלה,nouns,0.0
1870,nisu,דגנים,nouns,3.05
1871,rott,עכבר,nouns,2.4
1872,dinosaurus,פיל,nouns,0.95
1873,kauss,זנב,nouns,0.0
1874,kitsas,רחב,adjectives,0.65
1875,igapäevane,רגיל,adjectives,5.25
1876,tapma,להרוס,verbs,2.3
1877,veenma,להתווכח,verbs,1.95
1878,ökosüsteem,כלכלה,nouns,1.1
1879,hambad,עצם,nouns,1.85
1880,maantee,כביש,nouns,4.2
1881,munk,צלב,nouns,1.1
1882,mõistma,לסלוח,verbs,1.75
1883,ustavalt,בכנות,adverbs,2.35
1884,jalg,חול,nouns,0.3
1885,valelik,ישר,adjectives,0.8
1886,valima,למנות,verbs,1.95
1887,rahulik,נינוח,adjectives,4.3
1888,lennuk,שדה תעופה,nouns,1.4
1889,rahuldama,לרצות,verbs,3.1
1890,põhiseadus,סנט,nouns,1.0
1891,järelliide,סיומת,nouns,3.25
1892,klass,לימודים,nouns,1.6
1893,andma,לנשל,verbs,0.6
1894,tapeet,רקע,nouns,3.0
1895,metall,אלומיניום,nouns,2.45
1896,katastroof,תאונה,nouns,4.3
1897,otsima,למצוא,verbs,1.35
1898,täna õhtul,מחר,adverbs,0.7
1899,suu,שיניים,nouns,1.35
1900,värske,ישן,adjectives,0.6
1901,onupojapoliitika,מלך,nouns,1.25
1902,põud,מים,nouns,0.65
1903,sügavalt,בעיקר,adverbs,0.85
1904,värav,דלת,nouns,3.8
1905,operatsioon,לב,nouns,0.75
1906,segama,לשתות,verbs,0.75
1907,uurima,לגלות,verbs,2.8
1908,laskma,להרשות,verbs,4.25
1909,nakkus,מחלה,nouns,2.65
1910,õpetaja,חבר,nouns,1.05
1911,lai,טרי,adjectives,0.05
1912,legend,מוסר,nouns,0.5
1913,arutelu,טיעון,nouns,2.6
1914,kõndima,לצלוע,verbs,1.9
1915,elegants,סגנון,nouns,2.6
1916,jalgpall,פוטבול,nouns,2.95
1917,iseseisvalt,באופן אחראי,adverbs,1.55
1918,fonoloogia,מסך,nouns,0.25
1919,mitte kunagi,בנדיבות,adverbs,0.55
1920,kahuripaat,חוף,nouns,0.95
1921,vajama,לברר,verbs,0.95
1922,simulatsioon,רובוטיקה,nouns,1.3
1923,veri,בשר,nouns,1.2
1924,nädalavahetus,שבוע,nouns,1.55
1925,kalts,בגדים,nouns,2.25
1926,küsima,להתחנן,verbs,3.45
1927,pöial,יד,nouns,1.6
1928,valuuta,תמימות דעים,nouns,0.65
1929,biograafia,בדיה,nouns,1.15
1930,kulutama,לחסוך,verbs,0.9
1931,sõiduk,אוטובוס,nouns,2.1
1932,jäik,מחוספס,adjectives,1.65
1933,veri,וירוס,nouns,1.1
1934,vallutus,מסע,nouns,1.15
1935,radikaalne,אלים,adjectives,1.45
1936,strateeg,תחבולן,nouns,3.25
1937,küüs,ראש,nouns,0.6
1938,mõis,פסל,nouns,0.35
1939,pea,אף,nouns,1.1
1940,lahendama,לסיים,verbs,2.3
1941,poiss,חייל,nouns,0.85
1942,ignoreerima,לעזוב,verbs,1.3
1943,tagasi lükkama,למנוע,verbs,1.4
1944,hirmus,עצוב,adjectives,1.15
1945,tunnus,כבוד,nouns,0.7
1946,loomulikult,באופן לא טבעי,adverbs,0.7
1947,lubama,ללכת,verbs,0.3
1948,heli,אקוסטיקה,nouns,2.75
1949,saama,לקנות,verbs,1.6
1950,mesi,סוכר,nouns,1.95
1951,põsk,לשון,nouns,1.15
1952,professor,סטודנט,nouns,1.15
1953,imeline,מהנה,adjectives,2.65
1954,loll,פיקח,adjectives,0.7
1955,kena,נדיב,adjectives,1.8
1956,kalju,גבעה,nouns,2.05
1957,vahepeal,לעיתים קרובות,adverbs,1.2
1958,kaitsma,להגן,verbs,4.4
1959,sisalik,תנין,nouns,2.7
1960,ebamoraalne,פלילי,adjectives,2.25
1961,kummaline,משונה,adjectives,5.15
1962,sõitma,לדשדש,verbs,0.5
1963,keelama,לעצור,verbs,1.3
1964,avastama,להתעלם,verbs,0.3
1965,voodi,חדר,nouns,0.8
1966,vaidlema,לשכנע,verbs,2.0
1967,reaalsus,אשליה,nouns,1.0
1968,arutlema,להתווכח,verbs,2.65
1969,tagasi võtma,לספוג,verbs,0.25
1970,ilmselt,בוודאי,adverbs,1.25
1971,oponent,יריב,nouns,4.8
1972,kaer,שדה,nouns,1.7
1973,tuul,סופה,nouns,2.65
1974,koostama,לעשות,verbs,2.7
1975,suu,אף,nouns,1.25
1976,putka,טלפון,nouns,0.9
1977,vastane,מתנגד,nouns,4.8
1978,vann,רעיה,nouns,0.05
1979,põllumajandus,מונוקלטורה,nouns,1.4
1980,kirjandus,ספר,nouns,2.15
1981,haavatav,נוח,adjectives,0.35
1982,leidma,לרכוש,verbs,1.45
1983,semu,ידיד,nouns,4.65
1984,prestiiž,עושר,nouns,1.95
1985,ülikool,קמפוס,nouns,2.1
1986,mõtlema,לזכור,verbs,1.8
1987,õppima,לחנך,verbs,2.35
1988,ehitama,ליצור,verbs,3.8
1989,televisioon,תסריטאי,nouns,1.25
1990,järv,ענן,nouns,0.6
1991,iil,שמיכה,nouns,0.65
1992,diivan,מיטה,nouns,2.4
1993,igakuine,שבועי,adjectives,1.4
1994,juhtkond,משרה,nouns,1.35
1995,meenutama,למכור,verbs,0.0
1996,täpselt,בדיוק,adverbs,5.0
1997,molekul,אטום,nouns,2.05
1998,taotlema,לחפש,verbs,1.25
1999,raiskama,לדאוג,verbs,0.25
2000,nutitelefon,אננס,nouns,0.05
2001,muda,לכלוך,nouns,2.4
2002,kerge,גמיש,adjectives,1.25
2003,eelsoojendama,חימום מחדש,nouns,1.95
2004,aken,ענן,nouns,0.45
2005,katus,תקרה,nouns,3.6
2006,intelligentsus,היגיון,nouns,2.5
2007,perfektselt,באמת,adverbs,1.05
2008,prokurör,עורך דין,nouns,2.05
2009,säilitama,לשמור,verbs,3.4
2010,kleepuv,מלוכלך,adjectives,1.45
2011,hoone,חדר,nouns,1.55
2012,jänes,חתול,nouns,1.15
2013,kaasa lööma,לכלול,verbs,2.2
2014,aken,גג,nouns,1.15
2015,tervitama,להיפגש,verbs,1.25
2016,poliitik,שוטר,nouns,0.6
2017,täiuslik,שלם,adjectives,2.55
2018,hobune,כלב,nouns,1.1
2019,keeglimängija,באולינג,nouns,2.25
2020,teater,סוללה,nouns,0.2
2021,häll,עריסה,nouns,3.7
2022,leebe,חד,adjectives,0.6
2023,jõgi,ים,nouns,1.9
2024,kuninganna,דבורה,nouns,1.0
2025,avastama,לחקור,verbs,2.8
2026,mõõk,סביבה,nouns,0.0
2027,nõustuma,להתווכח,verbs,0.78
2028,raha,יהלום,nouns,1.15
2029,traditsioon,עבודת יד,nouns,1.25
2030,meri,שפך,nouns,1.3
2031,kampsun,חולצה,nouns,1.7
2032,ketas,מחשב,nouns,0.8
2033,kasv,דשן,nouns,1.35
2034,põhi,דרום,nouns,1.35
2035,tähendusrikkalt,לעומק,adverbs,3.0
2036,puhkus,לוח שנה,nouns,1.3
2037,põllumajandus,צמח,nouns,1.55
2038,tööline,מכונאי,nouns,2.1
2039,hädaline,חסר ביטחון,adjectives,1.5
2040,eitama,לתת,verbs,0.2
2041,lõpetama,לעשות,verbs,1.0
2042,mees,לוחם,nouns,1.8
2043,valimine,בחירה,nouns,2.95
2044,poolitama,לנתק,verbs,2.55
2045,printsess,אי,nouns,0.3
