ID,CMN,ENG,PoS,score
1585,易损坏,frigid,adjectives,0.0
1586,大主教,bishop,nouns,4.02
1587,钱,diamond,nouns,0.7
1588,大麻,herb,nouns,2.17
1589,身体,underwear,nouns,0.15
1590,发现,explore,verbs,2.56
1591,文学,book,nouns,2.27
1592,加冕礼,water,nouns,0.04
1593,谦逊地,poorly,adverbs,0.19
1594,习语,word,nouns,1.18
1595,新闻,gossip,nouns,2.17
1596,角度,curve,nouns,0.89
1597,音乐,melody,nouns,3.09
1598,打鼾,awake,verbs,0.22
1599,科学家,nurse,nouns,0.21
1600,猫,lion,nouns,1.34
1601,圣经,book,nouns,1.95
1602,婴儿,adult,nouns,0.43
1603,数,digit,nouns,4.85
1604,不经常,often,adverbs,0.29
1605,起源,begin,verbs,4.11
1606,桥,card,nouns,0.18
1607,羞愧,modest,adjectives,0.29
1608,通知,inform,verbs,4.07
1609,钱,pearl,nouns,0.12
1610,圣经,hymn,nouns,1.52
1611,水平,score,nouns,0.82
1612,谢绝,refuse,verbs,4.72
1613,小心地,dangerously,adverbs,0.18
1614,干旱,water,nouns,0.08
1615,外交,negotiation,nouns,2.22
1616,正文,book,nouns,2.43
1617,长笛,music,nouns,1.04
1618,高高兴兴地,safely,adverbs,0.26
1619,望远镜,brainstorming,nouns,0.0
1620,缺席,presence,nouns,0.21
1621,羊,cattle,nouns,1.45
1622,洞,agreement,nouns,0.0
1623,当然,definitely,adverbs,3.98
1624,铝,metal,nouns,2.31
1625,出席,argue,verbs,0.09
1626,军团,army,nouns,3.8
1627,意外,catastrophe,nouns,3.08
1628,百科全书,dictionary,nouns,1.75
1629,教堂,steeple,nouns,1.14
1630,害羞,scared,adjectives,1.15
1631,发射,send,verbs,2.46
1632,壁橱,clothes,nouns,0.58
1633,段,page,nouns,0.84
1634,知道,give,verbs,0.04
1635,赛跑,philosopher,nouns,0.0
1636,温和,sharp,adjectives,0.0
1637,密度大,hard,adjectives,2.54
1638,除法,multiplication,nouns,0.88
1639,沐浴,wife,nouns,0.0
1640,乐队,liquor,nouns,0.0
1641,拿,deliver,verbs,0.4
1642,恶魔,monster,nouns,3.33
1643,压抑,renounce,verbs,0.34
1644,喝,mix,verbs,0.0
1645,沐浴,balloon,nouns,0.0
1646,赢,beat,verbs,3.77
1647,预热,reheat,nouns,0.9
1648,候选人,winner,nouns,1.48
1649,高高兴兴,actively,adverbs,0.47
1650,警察,copilot,nouns,0.08
1651,银行,seat,nouns,0.09
1652,參加,leave,verbs,0.22
1653,收集,shake,verbs,0.04
1654,钢琴,harmony,nouns,0.39
1655,停止,control,verbs,0.41
1656,戒除,begin,verbs,0.04
1657,仆人,slave,nouns,3.22
1658,普通,mundane,adjectives,5.0
1659,害怕,nervous,adjectives,2.34
1660,狗,cat,nouns,0.54
1661,监护人,mother,nouns,2.53
1662,祈祷,communicate,verbs,0.67
1663,坠落,hurt,verbs,0.43
1664,洗手间,kitchen,nouns,0.36
1665,收缩,reduce,verbs,3.71
1666,新郎,bride,nouns,0.96
1667,相机,sequel,nouns,0.04
1668,向外,incoming,adjectives,0.08
1669,借,sell,verbs,0.32
1670,推荐,advise,verbs,4.22
1671,罗盘,elephant,nouns,0.04
1672,民主,monarchy,nouns,0.51
1673,短,long,adjectives,0.13
1674,清洁,messy,adjectives,0.08
1675,留,get,verbs,0.04
1676,掩盖,protect,verbs,1.48
1677,狡猾,strange,adjectives,0.4
1678,窗口,cloud,nouns,0.0
1679,普通,strange,adjectives,0.08
1680,鼓,guitar,nouns,0.49
1681,创建,dive,verbs,0.0
1682,幻灯片,pointer,nouns,0.09
1683,气球,people,nouns,0.0
1684,朋友,teacher,nouns,0.56
1685,接受,believe,verbs,1.39
1686,卧室,bathroom,nouns,0.64
1687,疯狂,glad,adjectives,0.28
1688,橙子,citrus,nouns,3.02
1689,原谅,pardon,verbs,4.29
1690,苹果,sunshine,nouns,0.09
1691,成年人,guardian,nouns,2.09
1692,地图,square,nouns,0.14
1693,起泡,illustration,nouns,0.0
1694,绑架,steal,verbs,1.2
1695,广场,map,nouns,0.14
1696,种子,mustard,nouns,0.62
1697,头脑,brain,nouns,3.84
1698,符号,code,nouns,2.34
1699,羞愧,guilty,adjectives,4.14
1700,每当,sometimes,adverbs,0.55
1701,慷慨地,kindly,adverbs,2.86
1702,搏斗,kill,verbs,0.98
1703,失败,succeed,verbs,0.22
1704,可行,impossible,adjectives,0.18
1705,确定,sure,adjectives,5.28
1706,宽广,big,adjectives,2.95
1707,公爵,republic,nouns,0.04
1708,副手,officer,nouns,1.52
1709,乘,divide,verbs,0.43
1710,小孩,adult,nouns,0.47
1711,唇,hip,nouns,0.04
1712,学习,forget,verbs,0.04
1713,元,millionaire,nouns,0.12
1714,溪流,river,nouns,3.58
1715,锡,metal,nouns,2.17
1716,鸡,dinner,nouns,0.48
1717,相机,lens,nouns,0.72
1718,肥料,growth,nouns,0.47
1719,篮子,ball,nouns,0.04
1720,收到,take,verbs,1.28
1721,流行,known,adjectives,3.17
1722,做,quit,verbs,0.04
1723,后部,tail,nouns,2.92
1724,妻子,straw,nouns,0.09
1725,海洋,sea,nouns,5.53
1726,拒绝,decline,verbs,4.72
1727,注意,awareness,nouns,3.33
1728,王冠,key,nouns,0.0
1729,布料,clothes,nouns,1.61
1730,赢,succeed,verbs,3.41
1731,偷,acquire,verbs,1.32
1732,英式足球,football,nouns,4.9
1733,交谈,communication,nouns,4.22
1734,聚酯纤维,cotton,nouns,0.93
1735,目标,arrow,nouns,0.55
1736,硬件,case,nouns,0.24
1737,扰乱,bother,verbs,3.83
1738,磨坊,seed,nouns,0.21
1739,理论,chemistry,nouns,0.55
1740,岛,princess,nouns,0.0
1741,危险,disease,nouns,0.38
1742,喝,sip,verbs,2.13
1743,大声地,softly,adverbs,0.04
1744,证明,explain,verbs,2.79
1745,父亲,man,nouns,2.19
1746,夺取,take,verbs,3.41
1747,加剧,assault,verbs,0.6
1748,精确,wrong,adjectives,0.09
1749,击中,punish,verbs,0.31
1750,恢复,bring,verbs,0.12
1751,必须,essential,adjectives,5.31
1752,慷慨地,never,adverbs,0.0
1753,衣服,button,nouns,0.54
1754,字典,definition,nouns,0.51
1755,逃跑,escape,verbs,5.17
1756,包装纸,harbor,nouns,0.0
1757,成为,organize,verbs,0.0
1758,得到,remain,verbs,0.04
1759,自豪,joy,nouns,1.72
1760,鼻子,mouth,nouns,0.39
1761,文学,word,nouns,1.81
1762,炒,boil,verbs,1.14
1763,相反,unique,adjectives,0.89
1764,需求,reprimand,verbs,0.13
1765,戏弄,hurt,verbs,0.63
1766,提醒,sell,verbs,0.0
1767,等待,leave,verbs,0.18
1768,窗帘,rod,nouns,0.29
1769,车,gauge,nouns,0.14
1770,小提琴,guitar,nouns,0.71
1771,雇主,employee,nouns,0.15
1772,手,nail,nouns,0.47
1773,诗人,journalist,nouns,0.31
1774,北,south,nouns,0.4
1775,残酷,harsh,adjectives,3.82
1776,男人,suspect,nouns,0.35
1777,尝试,convince,verbs,0.43
1778,培根,bean,nouns,0.04
1779,警察,sheriff,nouns,3.72
1780,肚子,waist,nouns,2.0
1781,男孩,partner,nouns,0.3
1782,天气,wave,nouns,0.04
1783,抱怨,bring,verbs,0.09
1784,吸收,withdraw,verbs,0.0
1785,可悲的是,madly,adverbs,0.13
1786,每月,weekly,adjectives,1.21
1787,妻子,cent,nouns,0.18
1788,站立,walk,verbs,0.37
1789,信息,entropy,nouns,0.66
1790,保持,protect,verbs,0.64
1791,踝,window,nouns,0.0
1792,门,corridor,nouns,0.22
1793,获胜者,candidate,nouns,1.48
1794,剧院,battery,nouns,0.0
1795,静脉,stomach,nouns,0.14
1796,安然,calmly,adverbs,3.61
1797,订婚,marry,verbs,1.75
1798,不昂贵,cheap,adjectives,4.53
1799,剩余,difference,nouns,2.95
1800,走,sell,verbs,0.0
1801,收到,achieve,verbs,0.04
1802,公共汽车,cab,nouns,1.58
1803,伞,caliber,nouns,0.04
1804,出租车,car,nouns,3.15
1805,读者,author,nouns,0.49
1806,卧室,bed,nouns,0.98
1807,喇叭,drum,nouns,0.2
1808,携带,deliver,verbs,1.68
1809,覆盖着的,uncovered,adjectives,0.13
1810,警告,stop,verbs,0.43
1811,小木屋,cottage,nouns,3.05
1812,一般,routinely,adverbs,4.62
1813,精灵,lamp,nouns,0.39
1814,人,balloon,nouns,0.0
1815,大小,depth,nouns,1.52
1816,电池,energy,nouns,1.64
1817,真实,dishonest,adjectives,0.08
1818,款待,pay,verbs,0.28
1819,笨,clever,adjectives,0.13
1820,床,bedroom,nouns,0.98
1821,打招呼,meet,verbs,1.23
1822,朋友,guest,nouns,2.55
1823,长,short,adjectives,0.13
1824,现实,fantasy,nouns,0.74
1825,飞行员,driver,nouns,1.77
1826,面包,cheese,nouns,0.21
1827,甲板,boat,nouns,0.55
1828,奇怪,sly,adjectives,0.4
1829,编剧,television,nouns,0.55
1830,明显,apparent,adjectives,4.84
1831,尖,mild,adjectives,0.0
1832,溅,viscosity,nouns,0.2
1833,划分,unite,verbs,0.22
1834,糖果,cinnamon,nouns,0.21
1835,保护,defend,verbs,4.0
1836,不诚实,bad,adjectives,0.98
1837,受害者,phone,nouns,0.0
1838,船,deck,nouns,0.55
1839,牧师,god,nouns,0.33
1840,天文学家,galaxy,nouns,0.36
1841,难看,messy,adjectives,0.74
1842,小巷,bowl,nouns,0.04
1843,岛,beach,nouns,1.14
1844,船,tree,nouns,0.0
1845,约定,engagement,nouns,2.78
1846,忽略,explore,verbs,0.0
1847,章,tail,nouns,0.0
1848,枪,cannon,nouns,1.98
1849,病原,germ,nouns,3.75
1850,强大,powerful,adjectives,4.83
1851,行李,circumnavigation,nouns,0.07
1852,方法,manner,nouns,3.75
1853,行为主义,therapy,nouns,0.42
1854,困难,easy,adjectives,0.11
1855,窗口,roof,nouns,0.21
1856,碰撞,bump,verbs,2.56
1857,吉他,drum,nouns,0.49
1858,惩罚,teach,verbs,0.28
1859,牛奶,juice,nouns,0.63
1860,难以置信地,tightly,adverbs,0.0
1861,肉,blood,nouns,0.75
1862,四轮货运马车,container,nouns,0.24
1863,家牛,beef,nouns,3.0
1864,香槟酒,beer,nouns,1.73
1865,枫木,oak,nouns,1.75
1866,照耀,glow,verbs,3.67
1867,汽车,bicycle,nouns,0.57
1868,插图,blister,nouns,0.0
1869,演出,salute,verbs,0.0
1870,作家,novel,nouns,0.2
1871,芥末,seed,nouns,0.62
1872,困难,easy,adjectives,0.13
1873,小马,horse,nouns,3.07
1874,消失,find,verbs,0.0
1875,闻名,popular,adjectives,3.17
1876,扼杀,hug,verbs,0.57
1877,和平,happiness,nouns,2.25
1878,擦亮,inform,verbs,0.0
1879,电话,booth,nouns,0.27
1880,咖啡,bean,nouns,0.52
1881,侧面,bottom,nouns,0.28
1882,高速公路,road,nouns,3.71
1883,电缆,chapel,nouns,0.0
1884,数学家,show,nouns,0.0
1885,喜悦,pride,nouns,1.72
1886,等待,stay,verbs,1.71
1887,暴动,drawing,nouns,0.04
1888,樱桃,strawberry,nouns,1.11
1889,根,grass,nouns,0.49
1890,坏,dishonest,adjectives,0.98
1891,停,warn,verbs,0.43
1892,地板,deck,nouns,2.22
1893,大自然,flora,nouns,2.18
1894,倾向,bias,verbs,2.14
1895,大象,dinosaur,nouns,0.21
1896,明亮地,lightly,adverbs,0.57
1897,身体,blood,nouns,0.61
1898,演员,song,nouns,0.37
1899,高兴,happy,adjectives,5.35
1900,农药,pest,nouns,0.49
1901,顶,side,nouns,0.29
1902,决定,judge,verbs,3.19
1903,电脑,disc,nouns,0.62
1904,泉,geyser,nouns,3.33
1905,骰子,cube,nouns,2.07
1906,床,blanket,nouns,0.35
1907,西洋棋,check,nouns,0.16
1908,光线电话机,homophone,nouns,0.04
1909,管理,administration,nouns,3.44
1910,溶解,melt,verbs,3.45
1911,智力,ignorance,nouns,0.04
1912,农业,plant,nouns,1.25
1913,旋律,music,nouns,3.09
1914,拿,steal,verbs,1.54
1915,算术,logic,nouns,1.97
1916,重要的,officially,adverbs,1.5
1917,骗局,corruption,nouns,2.06
1918,通灵研究,neuropsychology,nouns,1.28
1919,金属,aluminium,nouns,2.31
1920,人,population,nouns,2.54
1921,分离,split,verbs,2.98
1922,悄悄地,naturally,adverbs,0.32
1923,骨头,elbow,nouns,0.64
1924,出席,send,verbs,0.0
1925,钱,salary,nouns,3.52
1926,木炭,coal,nouns,2.39
1927,马,dog,nouns,0.48
1928,脑,nerve,nouns,1.18
1929,甘蔗,combine,nouns,0.0
1930,电容器,diode,nouns,0.79
1931,古怪,strange,adjectives,5.42
1932,开心,young,adjectives,0.08
1933,歌手,chorus,nouns,1.51
1934,刺激,antagonize,verbs,4.05
1935,蠕虫,malware,nouns,0.53
1936,读,bite,verbs,0.0
1937,玉米,maize,nouns,5.61
1938,孩子气,foolish,adjectives,2.5
1939,通常,daily,adverbs,2.9
1940,沼泽,lake,nouns,0.8
1941,支气管炎,acetaminophen,nouns,0.13
1942,书,literature,nouns,2.27
1943,生病,crazy,adjectives,0.61
1944,电梯,car,nouns,0.04
1945,阳光,ray,nouns,0.91
1946,火鸡,hen,nouns,1.71
1947,头盔,weapon,nouns,0.33
1948,征服,hymn,nouns,0.0
1949,有弹性,flexible,adjectives,3.65
1950,发送,go,verbs,0.2
1951,学校,law,nouns,0.26
1952,湿,sticky,adjectives,1.27
1953,米,yard,nouns,2.09
1954,奇怪,weird,adjectives,4.79
1955,加,divide,verbs,0.38
1956,剑,environment,nouns,0.18
1957,地板,ceiling,nouns,0.16
1958,辩解,verify,verbs,0.68
1959,汽车,hose,nouns,0.04
1960,外国人,translator,nouns,0.33
1961,分化,die,verbs,0.29
1962,逻辑,intelligence,nouns,2.89
1963,需要,inquire,verbs,0.14
1964,订婚,appointment,nouns,2.78
1965,赦免,forgive,verbs,4.29
1966,毯,gale,nouns,0.0
1967,球,basket,nouns,0.04
1968,大规模,openly,adverbs,0.5
1969,累,boring,adjectives,0.24
1970,天气,snow,nouns,1.32
1971,房间,cell,nouns,1.91
1972,离开,appear,verbs,0.04
1973,晚餐,chicken,nouns,0.48
1974,加,multiply,verbs,0.61
1975,接受,acknowledge,verbs,2.95
1976,努力,foreclose,verbs,0.0
1977,有趣,sad,adjectives,0.16
1978,有趣,football,nouns,0.04
1979,原木,bath,nouns,0.0
1980,允许,go,verbs,0.04
1981,笨,stubborn,adjectives,1.02
1982,成功,fail,verbs,0.22
1983,北方,west,nouns,0.59
1984,力量,capability,nouns,2.61
1985,忽略,print,verbs,0.0
1986,容易,hard,adjectives,0.13
1987,捕获,catch,verbs,3.96
1988,毁灭,kill,verbs,2.83
1989,马赛克,basilica,nouns,0.19
1990,枪,trick,nouns,0.04
1991,名誉,wealth,nouns,1.11
1992,弯曲,aggressive,adjectives,0.09
1993,稍微地,roughly,adverbs,1.46
1994,基本上,fully,adverbs,0.27
1995,做,happen,verbs,0.34
1996,选择,opinion,nouns,1.08
1997,混合,cook,verbs,0.45
1998,吸收,possess,verbs,0.42
1999,男人,woman,nouns,0.33
2000,任务,job,nouns,3.87
2001,校验,justify,verbs,0.68
2002,大灾难,accident,nouns,3.08
2003,神经官能症,mind,nouns,0.52
2004,混乱,peacefully,adverbs,0.04
2005,嘴巴,tooth,nouns,0.74
2006,娱乐,please,verbs,1.25
2007,箭头,target,nouns,0.55
2008,碱,acid,nouns,0.41
2009,校验,say,verbs,0.34
2010,坏,awful,adjectives,3.86
2011,使满意,satisfy,verbs,3.88
2012,拒绝,avoid,verbs,1.2
2013,捕获,imitate,verbs,0.12
2014,目标,quest,nouns,1.43
2015,泥,dirt,nouns,4.39
2016,公平,unfairly,adverbs,0.22
2017,安全,legal,adjectives,0.66
2018,流言蜚语,news,nouns,2.17
2019,发展,fundraising,nouns,0.08
2020,一致地,sometimes,adverbs,0.0
2021,用拳猛击,pinch,verbs,0.45
2022,舱,camp,nouns,0.43
2023,发送,launch,verbs,2.46
2024,松动,flexible,adjectives,1.91
2025,简直,apparently,adverbs,0.82
2026,带来,restore,verbs,0.12
2027,大厦,sculptor,nouns,0.0
2028,飓风,storm,nouns,2.98
2029,决定,think,verbs,0.99
2030,大海,river,nouns,1.73
2031,篱笆,rail,nouns,0.54
2032,碟,bowl,nouns,1.68
2033,公开,undisclosed,adjectives,0.36
2034,装作,lie,verbs,2.59
2035,滑雪板,skiing,nouns,1.34
2036,学生,teacher,nouns,0.38
2037,狡猾,tough,adjectives,0.04
2038,智力,insight,nouns,2.37
2039,巨大,dumb,adjectives,0.08
2040,跟随,chase,verbs,2.83
2041,软管,garden,nouns,0.07
2042,无知,regular,adjectives,0.12
2043,其他,opposite,adjectives,0.41
2044,年龄,beauty,nouns,0.26
2045,新,old,adjectives,0.18
2046,客串角色,performance,nouns,0.73
2047,谦虚,flexible,adjectives,0.32
2048,讨论,explain,verbs,1.84
2049,写,scribble,verbs,2.83
2050,主教,archbishop,nouns,4.02
2051,暂停,wait,verbs,2.87
2052,编译器,subroutine,nouns,0.68
2053,指控,judge,verbs,1.05
2054,卖,go,verbs,0.0
2055,测试,trial,nouns,4.21
2056,判断,accuse,verbs,1.05
2057,真诚地,usually,adverbs,0.0
2058,乐队,parade,nouns,0.45
2059,翻译者,foreigner,nouns,0.33
2060,原谅,understand,verbs,0.71
2061,土豆,butter,nouns,0.25
2062,探路者,archer,nouns,0.29
2063,撕开,wear,verbs,0.4
2064,资产,stock,nouns,3.04
2065,重要的,seriously,adverbs,1.37
2066,沈闷,dull,adjectives,4.07
2067,自由,censorship,nouns,0.16
2068,珍珠,money,nouns,0.12
2069,小旅馆,motel,nouns,3.54
2070,禁止,stop,verbs,3.31
2071,杂,old,adjectives,0.0
2072,类别,chaos,nouns,0.0
2073,毛线衣,cotton,nouns,0.52
2074,戒除,do,verbs,0.04
2075,飑,wind,nouns,2.52
2076,乱,clean,adjectives,0.08
2077,清洁,neat,adjectives,3.16
2078,方案,idea,nouns,3.23
2079,陶瓷,pottery,nouns,2.83
2080,厨房,bathroom,nouns,0.36
2081,审判,verdict,nouns,1.52
2082,校园,university,nouns,2.41
2083,车,horn,nouns,0.55
2084,苹果,diet,nouns,0.55
2085,静脉,arm,nouns,0.08
2086,证明,fact,nouns,1.52
2087,车,highway,nouns,0.2
2088,兄弟会,baseball,nouns,0.0
2089,马上,once,adverbs,0.39
2090,极好,bad,adjectives,0.13
2091,侧面,top,nouns,0.29
2092,画画,riot,nouns,0.04
2093,真实,fake,adjectives,0.18
2094,窗,door,nouns,0.42
2095,生活方式,civilization,nouns,1.18
2096,母鸡,bird,nouns,1.59
2097,圣歌,straw,nouns,0.0
2098,非自然,naturally,adverbs,0.22
2099,麻布,fabric,nouns,2.42
2100,枪,notebook,nouns,0.0
2101,拉,push,verbs,0.27
2102,乘法,division,nouns,0.88
2103,同意,disagree,verbs,0.22
2104,减少,drench,verbs,0.0
2105,大炮,ball,nouns,0.31
2106,猎物,god,nouns,0.0
2107,神经心理学,parapsychology,nouns,1.28
2108,疾病,infection,nouns,3.07
2109,谦逊地,proudly,adverbs,0.49
2110,目前,recently,adverbs,2.71
2111,兄弟,sister,nouns,1.89
2112,异常,strangely,adverbs,4.44
2113,瓶子,container,nouns,2.46
2114,想,choose,verbs,0.68
2115,玻璃,crystal,nouns,1.34
2116,发光,shine,verbs,3.67
2117,瓶子,jar,nouns,3.79
2118,感觉到,believe,verbs,1.5
2119,摩天大楼,palace,nouns,0.29
2120,准确地,precisely,adverbs,5.34
2121,减少,descend,verbs,0.43
2122,硬纸板,paper,nouns,2.84
2123,门,presence,nouns,0.0
2124,酸奶,cattle,nouns,0.55
2125,疏忽,disown,verbs,0.5
2126,出口,suffrage,nouns,0.18
2127,手臂,shoulder,nouns,0.52
2128,床,hospital,nouns,0.23
2129,有时,surely,adverbs,0.04
2130,控制,stop,verbs,0.41
2131,危险地,carefully,adverbs,0.18
2132,诗,rhythm,nouns,0.29
2133,成年人,baby,nouns,0.43
2134,乙酰胆碱,iris,nouns,0.0
2135,资本,money,nouns,3.31
2136,摔碎,crash,verbs,1.87
2137,充分,basically,adverbs,0.27
2138,接受,decline,verbs,0.22
2139,啤酒,beverage,nouns,2.12
2140,正式,strongly,adverbs,0.47
2141,不可能,friendly,adverbs,0.09
2142,危险,threat,nouns,4.25
2143,尖,smooth,adjectives,0.09
2144,惩罚,hit,verbs,0.31
2145,暴风雪,rain,nouns,0.71
2146,给,disown,verbs,0.04
2147,保龄球选手,bowling,nouns,1.12
2148,手臂,muscle,nouns,0.93
2149,批评,rude,adjectives,0.74
2150,女人,task,nouns,0.0
2151,作家,composer,nouns,2.81
2152,到达,come,verbs,2.56
2153,电梯,box,nouns,0.04
2154,弱,spicy,adjectives,0.0
2155,花朵,bulb,nouns,0.39
2156,相反,other,adjectives,0.41
2157,完全地,marginally,adverbs,0.04
2158,头,nose,nouns,0.28
2159,不显眼地,obviously,adverbs,0.22
2160,讽刺,myth,nouns,0.26
2161,面具,party,nouns,0.09
2162,脏,amazing,adjectives,0.0
2163,成长,shrink,verbs,0.13
2164,脖子,spine,nouns,0.99
2165,排外主义,racism,nouns,3.55
2166,最近,lately,adverbs,5.15
2167,制服,unformed,adjectives,0.0
2168,在家里,away,adverbs,0.33
2169,章,choice,nouns,0.04
2170,调查,examine,verbs,3.41
2171,牙医,colonel,nouns,0.13
2172,盗窃,crime,nouns,2.84
2173,未公开,overt,adjectives,0.36
2174,饮食,apple,nouns,0.55
2175,培根,breakfast,nouns,0.54
2176,草药,marijuana,nouns,2.17
2177,除,add,verbs,0.38
2178,粗鲁,aggressive,adjectives,1.45
2179,线,yarn,nouns,2.19
2180,圣人,sinner,nouns,0.12
2181,自由,liberty,nouns,4.71
2182,化学,theory,nouns,0.55
2183,找到,disappear,verbs,0.0
2184,相机,worker,nouns,0.04
2185,脚,head,nouns,0.13
2186,迅速地,urgently,adverbs,2.79
2187,扫帚,dust,nouns,0.29
2188,确定,evacuate,verbs,0.0
2189,追逐,follow,verbs,2.83
2190,扭曲,curved,adjectives,2.73
2191,沉思,think,verbs,4.17
2192,奇怪地,unusually,adverbs,4.44
2193,意外,book,nouns,0.0
2194,灵活,modest,adjectives,0.32
2195,装作,portray,verbs,0.46
2196,发热,flu,nouns,2.0
2197,主力舰,dreadnought,nouns,2.5
2198,代数,operation,nouns,0.31
2199,树枝,arm,nouns,0.51
2200,能力,competence,nouns,4.4
2201,普通,cold,adjectives,0.0
2202,高兴,mad,adjectives,0.28
2203,偏见,chauvinist,nouns,1.09
2204,水晶,glass,nouns,1.34
2205,闷,mediocre,adjectives,1.38
2206,句法,headword,nouns,0.42
2207,奖章,trainers,nouns,0.08
2208,复诊,patient,nouns,0.26
2209,日历,holiday,nouns,0.39
2210,笼子,bar,nouns,1.18
2211,衣服,fabric,nouns,1.95
2212,财富,fame,nouns,1.11
2213,字,newspaper,nouns,0.89
2214,冰雹,rain,nouns,1.65
2215,地毯,house,nouns,0.08
2216,认识到,discover,verbs,3.6
2217,电车,train,nouns,2.29
2218,世纪,year,nouns,1.27
2219,锚,boat,nouns,0.43
2220,伤心,terrible,adjectives,1.04
2221,狭窄,long,adjectives,0.29
2222,想,remember,verbs,0.6
2223,通常,rarely,adverbs,0.29
2224,了解,listen,verbs,1.22
2225,射线,sunshine,nouns,0.91
2226,责怪,accuse,verbs,3.75
2227,大教堂,ceiling,nouns,0.04
2228,病菌,pathogen,nouns,3.75
2229,种族主义,xenophobia,nouns,3.55
2230,蔑视,charge,verbs,0.0
2231,汽车,elevator,nouns,0.04
2232,日落,sunrise,nouns,0.55
2233,勺子,juice,nouns,0.0
2234,强调,relaxed,adjectives,0.04
2235,自豪,poor,adjectives,0.04
2236,飞行,aviation,nouns,2.96
2237,城市,town,nouns,3.48
2238,衬衣,cardigan,nouns,1.14
2239,玉米,corn,nouns,5.61
2240,允许,give,verbs,0.66
2241,父亲,son,nouns,0.54
2242,军队,legion,nouns,3.8
2243,球,glove,nouns,0.36
2244,十字架,monk,nouns,0.21
2245,生活,survive,verbs,2.77
2246,珍贵,lazy,adjectives,0.04
2247,运气,happiness,nouns,0.6
2248,心烦,ashamed,adjectives,0.52
2249,明天,tonight,adverbs,0.25
2250,大薄片,plane,nouns,0.14
2251,血液,flesh,nouns,0.75
2252,标志,symbol,nouns,4.88
2253,绑,weave,verbs,1.92
2254,国王,princess,nouns,0.39
2255,评估,learn,verbs,0.55
2256,岛,navy,nouns,0.04
2257,有礼貌,proper,adjectives,3.45
2258,鸡,steak,nouns,0.4
2259,钱,capital,nouns,3.31
2260,开心,glad,adjectives,5.35
2261,妻子,bath,nouns,0.0
2262,卡,bridge,nouns,0.18
2263,获得,find,verbs,2.36
2264,花费,save,verbs,0.36
2265,雨,hail,nouns,1.65
2266,航空,flight,nouns,2.96
2267,学费,scholarship,nouns,0.71
2268,给予,deny,verbs,0.0
2269,走廊,classroom,nouns,0.18
2270,肝,lung,nouns,0.67
2271,组合,union,nouns,2.43
2272,老师,student,nouns,0.38
2273,低语,speak,verbs,2.27
2274,协议,argument,nouns,0.27
2275,可靠地,roughly,adverbs,0.09
2276,怀疑,arrest,verbs,0.26
2277,流感,fever,nouns,2.0
2278,喉咙,nose,nouns,0.28
2279,学期,semester,nouns,4.12
2280,不道德,illegal,adjectives,2.05
2281,路,highway,nouns,3.71
2282,咬,fight,verbs,1.21
2283,姊妹,brother,nouns,1.89
2284,叶,tree,nouns,0.45
2285,幸福,sadness,nouns,0.04
2286,呛,breathe,verbs,0.32
2287,意料之外,unforeseen,adjectives,5.4
2288,容易,difficult,adjectives,0.13
2289,州长,emperor,nouns,1.02
2290,组织,collect,verbs,1.04
2291,生态系统,economy,nouns,0.19
2292,岩石,mine,nouns,1.18
2293,可怕,sad,adjectives,1.04
2294,未预见到,unanticipated,adjectives,5.4
2295,法官,magistrate,nouns,3.96
2296,文明,lifestyle,nouns,1.18
2297,雪,avalanche,nouns,1.64
2298,乞求,plead,verbs,4.38
2299,抱怨,argue,verbs,1.89
2300,发誓,promise,verbs,4.38
2301,厂,car,nouns,0.09
2302,发现,realize,verbs,3.6
2303,悲剧,death,nouns,1.91
2304,知道,forget,verbs,0.04
2305,欺骗,cheat,verbs,3.02
2306,玫瑰,butterfly,nouns,0.28
2307,喇叭,car,nouns,0.55
2308,母马,horse,nouns,3.2
2309,哨,stop,verbs,0.0
2310,社论,news,nouns,2.28
2311,贪污,fraud,nouns,2.06
2312,欠,lend,verbs,0.22
2313,总统,mayor,nouns,1.69
2314,日常,normally,adverbs,2.9
2315,嘴巴,lip,nouns,2.0
2316,裂开,break,verbs,2.42
2317,清醒,drunk,adjectives,0.13
2318,喷嘴,fluid,nouns,0.04
2319,滑雪,snowboard,nouns,1.34
2320,神,prey,nouns,0.0
2321,年轻,restless,adjectives,0.04
2322,策略家,schemer,nouns,2.96
2323,流,drift,verbs,1.84
2324,酒吧,jail,nouns,0.22
2325,奇怪,bizarre,adjectives,4.94
2326,平庸,bad,adjectives,0.51
2327,新教,christian,nouns,2.88
2328,优雅,style,nouns,2.56
2329,工作,task,nouns,3.87
2330,杯子,spoon,nouns,0.39
2331,海,tsunami,nouns,1.18
2332,成功,win,verbs,3.41
2333,缺乏信心,needy,adjectives,0.73
2334,攻击,aggravate,verbs,0.6
2335,卧室,stomach,nouns,0.0
2336,西方,north,nouns,0.59
2337,女仆,helper,nouns,2.46
2338,女儿,father,nouns,0.16
2339,遇见,swim,verbs,0.27
2340,乐队,orchestra,nouns,3.34
2341,启,begin,verbs,4.72
2342,审查,liberty,nouns,0.16
2343,货币,exchange,nouns,1.19
2344,主意,image,nouns,0.39
2345,图解,chart,nouns,3.44
2346,情感,mood,nouns,3.25
2347,大概,positively,adverbs,0.19
2348,地板,door,nouns,0.04
2349,旗帜学,flag,nouns,0.98
