ID,CYM,POL,PoS,score
1369,banciwr,prawnik,nouns,0.6
1370,brenhiniaeth,demokracja,nouns,0.45
1371,ymddengys,stać się,verbs,0.9
1372,bàth,pokój,nouns,0.3
1373,dyddiad,kalendarz,nouns,1.8
1374,corff,klatka piersiowa,nouns,1.4
1375,masarnen,dąb,nouns,1.75
1376,siofinist,uprzedzenie,nouns,2.05
1377,canol,posiłek,nouns,0.05
1378,creu,robić,verbs,4.2
1379,tŷ,dywan,nouns,0.25
1380,gwrthod,dać,verbs,0.0
1381,yn onest,nigdy,adverbs,0.0
1382,ystadegau,tenis,nouns,0.05
1383,gwartheg,owca,nouns,1.0
1384,nos,świt,nouns,0.15
1385,ennill,zbierać,verbs,0.95
1386,arian,perła,nouns,0.25
1387,cae,owies,nouns,0.7
1388,bys,dłoń,nouns,0.7
1389,ymbarél,grzejnik,nouns,0.0
1390,iâ,śnieg,nouns,2.5
1391,alaw,muzyka,nouns,3.5
1392,dathlu,zaskoczyć,verbs,0.2
1393,heulwen,promień,nouns,2.65
1394,dyweddïad,mianowanie,nouns,0.55
1395,glan y môr,plaża,nouns,4.3
1396,drwm,gitara,nouns,0.95
1397,yn bwysig,oficjalnie,adverbs,1.95
1398,seren,jasność,nouns,1.1
1399,tywysog,król,nouns,1.25
1400,portreadu,powiadamiać,verbs,0.8
1401,cwmwl,pogoda,nouns,0.9
1402,argraff,przekonanie,nouns,1.6
1403,morthwyl,zęby,nouns,0.0
1404,ffilm,nihilizm,nouns,0.0
1405,doler,ludzie,nouns,0.0
1406,gair,słownik,nouns,1.25
1407,babi,córka,nouns,1.85
1408,gwn,ludzie,nouns,0.05
1409,yn gadarn,spokojnie,adverbs,0.95
1410,paragraff,list,nouns,0.6
1411,crio,śmiać się,verbs,0.15
1412,dadlau,argumentować,verbs,3.45
1413,gwefus,biodro,nouns,0.2
1414,bioleg gymdeithasol,mutant,nouns,0.25
1415,sylfaen,stopa,nouns,0.9
1416,cyfreithlon,nielegalny,adjectives,0.05
1417,trafod,tłumaczyć,verbs,1.8
1418,goleddfu,wpłynąć,verbs,3.45
1419,ffatri,samochód,nouns,0.15
1420,cyflwr,chłopiec,nouns,0.0
1421,ceg,nos,nouns,0.6
1422,ymddygiadaeth,terapia,nouns,1.7
1423,caled,hardy,adjectives,3.0
1424,dinistrio,ratować,verbs,0.05
1425,cyfrwys,pojętny,adjectives,0.65
1426,calendr,święto,nouns,0.85
1427,creulon,miły,adjectives,0.0
1428,cymysgu,gotować,verbs,0.65
1429,gwleidydd,policjant,nouns,0.15
1430,niwed,ból,nouns,2.45
1431,canolig,łagodny,adjectives,0.5
1432,dynion,braterstwo,nouns,1.1
1433,codi,pić,verbs,0.1
1434,hawdd,ciężki,adjectives,0.0
1435,alwminiwm,metal,nouns,2.65
1436,rhoi,wyrzec się,verbs,0.55
1437,dec,mysz,nouns,0.0
1438,gwenynen,królowa,nouns,0.4
1439,priffordd,samochód,nouns,0.55
1440,dysgu,karać,verbs,0.05
1441,anarferol,rzadki,adjectives,4.55
1442,rhyfedd,osobliwy,adjectives,3.75
1443,cludo,podnieść,verbs,1.35
1444,yn dawel,głośno,adverbs,0.0
1445,duw,duch,nouns,1.7
1446,amgueddfa,mennica,nouns,0.05
1447,cydweithredu,złączyć,verbs,1.15
1448,llyfr,biblia,nouns,2.6
1449,cais,aplikant,nouns,1.2
1450,theatr,bateria,nouns,0.0
1451,dieithr,osobliwy,adjectives,3.95
1452,dermatitis,egzema,nouns,3.35
1453,dod i feddiant,uzyskać,verbs,4.25
1454,caled,prosty,adjectives,0.0
1455,marwolaeth,pochówek,nouns,1.35
1456,rhedeg,jeździć,verbs,0.15
1457,ardal,narożnik,nouns,0.7
1458,ceffyl,źrebak,nouns,3.6
1459,creulon,niesprawiedliwy,adjectives,1.75
1460,germ,patogen,nouns,4.15
1461,pwyll,troska,nouns,2.85
1462,sobr,pijany,adjectives,0.05
1463,carreg,drewno,nouns,0.15
1464,cadair,sofa,nouns,1.85
1465,cyffrous,nudny,adjectives,0.05
1466,drôr,ubrania,nouns,0.45
1467,archesgob,biskup,nouns,2.5
1468,gwerthfawr,specjalny,adjectives,2.25
1469,llawr,sufit,nouns,0.1
1470,afu,płuco,nouns,0.9
1471,bachgen,warunek,nouns,0.0
1472,ychwanegu,dzielić,verbs,0.05
1473,yn ofalus,obecnie,adverbs,0.0
1474,metel,aluminium,nouns,2.65
1475,newydd,niedawny,adjectives,3.25
1476,biotop,biologia,nouns,0.4
1477,car,klakson,nouns,0.3
1478,priodi,złączyć,verbs,2.35
1479,rabi,duchowny,nouns,3.7
1480,weithiau,pewnie,adverbs,0.0
1481,llonydd,neutralny,adjectives,1.25
1482,cegin,łazienka,nouns,0.75
1483,newyddion,medium,nouns,0.75
1484,ale,ulica,nouns,3.0
1485,pren,papier,nouns,0.65
1486,bagiau,opłynięcie,nouns,0.0
1487,mynd,sprzedawać,verbs,0.0
1488,ychydig,pobieżnie,adverbs,0.55
1489,deintydd,ortodonta,nouns,3.9
1490,tynnu'n ôl,absorbować,verbs,0.4
1491,colli,nawalić,verbs,4.05
1492,cegin,drzwi,nouns,0.2
1493,yn ofalus,niebezpiecznie,adverbs,0.05
1494,peilot,kierowca,nouns,2.55
1495,yn annaturiol,negatywnie,adverbs,0.4
1496,swydd,kierownictwo,nouns,0.6
1497,llygoden,kierownictwo,nouns,0.05
1498,arbediad,ciułacz,nouns,1.7
1499,biliwnydd,bezdomny,nouns,0.05
1500,yn fras,oczywiście,adverbs,0.3
1501,thema,książka,nouns,0.1
1502,cyfansoddiad,cesarz,nouns,0.05
1503,rheol,konwencja,nouns,2.6
1504,bysellfwrdd,światło,nouns,0.0
1505,yn hawdd,swobodnie,adverbs,1.7
1506,awyr,wrzechświat,nouns,1.25
1507,dechrau,rezygnować,verbs,0.0
1508,cwrs,akcja,nouns,0.45
1509,gwythïen,żołądek,nouns,0.3
1510,ysbyty,łóżko,nouns,0.5
1511,diog,cenny,adjectives,0.0
1512,wisgi,alkohol,nouns,2.7
1513,gosod,dać,verbs,0.85
1514,pen,alfabet,nouns,0.05
1515,pren,koc,nouns,0.0
1516,arwres,bohater,nouns,4.3
1517,noswaith,zmierzch,nouns,4.2
1518,amaethyddiaeth,monokultura,nouns,1.05
1519,neidio,płot,nouns,0.1
1520,eang,wąski,adjectives,0.05
1521,llyn,chmura,nouns,0.35
1522,twll,żona,nouns,0.0
1523,esgus,wyobrażać sobie,verbs,1.95
1524,gwyddoniaeth,psychologia,nouns,1.95
1525,troed,baza,nouns,0.9
1526,ymchwilio,badać,verbs,3.45
1527,digwyddiad,kwestarz,nouns,1.4
1528,ymgyrch,małpa,nouns,0.0
1529,pen,bark,nouns,0.8
1530,sylw,świadomość,nouns,2.45
1531,eira,lawina,nouns,1.65
1532,darganfod,zniknąć,verbs,0.05
1533,mainc,krzesło,nouns,2.3
1534,gweinyddiaeth,kierownictwo,nouns,3.05
1535,sain,akustyka,nouns,2.15
1536,yn gyfrinachgar,grzecznie,adverbs,0.6
1537,dal,ścigać,verbs,1.1
1538,trefnu,wymagać,verbs,0.25
1539,anwybyddu,unikać,verbs,3.1
1540,band,trunek,nouns,0.0
1541,barnwr,sąd,nouns,1.3
1542,saeth,cel,nouns,0.45
1543,lens,aparat,nouns,1.2
1544,twp,łatwowierny,adjectives,1.75
1545,pobl,dolar,nouns,0.0
1546,cân,wykonawca,nouns,0.9
1547,crochenwaith,ceramika,nouns,3.25
1548,credu,akceptować,verbs,1.4
1549,mam,przyjaciel,nouns,0.85
1550,rhyfelgarwch,walka,nouns,2.4
1551,canrif,trunek,nouns,0.05
1552,cadach,ubrania,nouns,0.95
1553,ystlum,wampir,nouns,0.9
1554,deintydd,pułkownik,nouns,0.0
1555,deallusrwydd,ignorancja,nouns,0.05
1556,amrwd,niegrzeczny,adjectives,0.65
1557,arfordir,kanonierka,nouns,0.05
1558,mawr,giętki,adjectives,0.1
1559,gwyliau,kalendarz,nouns,0.85
1560,system,wada,nouns,0.05
1561,goddefol,gwałtowny,adjectives,0.0
1562,twf,nawóz,nouns,0.7
1563,ceirios,truskawka,nouns,1.7
1564,swil,przestraszony,adjectives,2.0
1565,yn debygol,naprawdę,adverbs,1.5
1566,tyfu,kurczyć się,verbs,0.05
1567,wedi ymlacio,zestresowany,adjectives,0.0
1568,dŵr,sól,nouns,0.5
1569,dod yn,wydawać się,verbs,0.9
1570,gohirio,skończyć,verbs,0.45
1571,byth,szczerze,adverbs,0.0
1572,hir,krótki,adjectives,0.05
1573,meddwl,kontemplować,verbs,3.45
1574,caffael,dostać,verbs,3.05
1575,meddwl,pamiętać,verbs,0.7
1576,cydweithredu,uczestniczyć,verbs,2.55
1577,amlwg,nieujawniony,adjectives,0.0
1578,wedi eu cyfuno,mieszany,adjectives,2.4
1579,cwrw,alkohol,nouns,3.2
1580,gwych,okropny,adjectives,0.0
1581,gwythïen,wybór,nouns,0.0
1582,afon,morze,nouns,1.3
1583,ffwr,norka,nouns,1.7
1584,meddu ar,brać,verbs,1.6
1585,llenyddiaeth,książka,nouns,2.95
1586,priodferch,księżniczka,nouns,0.6
1587,dysgu,słuchać,verbs,0.55
1588,sinematograffeg,reżyser,nouns,1.0
1589,cot,kapelusz,nouns,0.65
1590,afal,światło słoneczne,nouns,0.05
1591,adfer,zastąpić,verbs,0.7
1592,sinema,telewizja,nouns,1.0
1593,cwtsh,przytulić,verbs,4.55
1594,braich,żyła,nouns,0.25
1595,deilen,drzewo,nouns,1.05
1596,stori,temat ,nouns,0.95
1597,gwlychu,redukować,verbs,0.0
1598,rhanbarth,obszar,nouns,5.2
1599,bach,ogromny,adjectives,0.05
1600,dimai,ludzie,nouns,0.05
1601,cnawd,krew,nouns,0.8
1602,symbol,kryptogram,nouns,2.9
1603,yn anhygoel,ciasno,adverbs,0.3
1604,algebra,operacja,nouns,0.4
1605,corff,ramię,nouns,1.2
1606,twyn,deser,nouns,0.4
1607,anhrefnu,zorganizowany,verbs,0.05
1608,bargen,pens,nouns,0.5
1609,tad,matka,nouns,1.3
1610,tristwch,wstyd,nouns,0.9
1611,car,taksówka,nouns,3.8
1612,gwneud,zdarzyć się,verbs,0.6
1613,yn derfynol,inaczej,adverbs,0.3
1614,gogledd,zachód,nouns,0.95
1615,cyfyngu,redukować,verbs,3.9
1616,damwain,książka,nouns,0.0
1617,dichonadwy,niemożliwy,adjectives,0.35
1618,mynach,ksiądz,nouns,2.25
1619,rasio,filozof,nouns,0.0
1620,methu,przegrać,verbs,4.05
1621,barn,pomysł,nouns,2.05
1622,estron,cudzoziemiec,nouns,4.15
1623,am ddim,niewinny,adjectives,0.55
1624,corwynt,burza,nouns,2.8
1625,allwedd,zamek,nouns,0.75
1626,yn hysbys,narodowy,adjectives,0.25
1627,yn sicr,wyraźnie,adverbs,2.95
1628,blaengau,dążyć,verbs,0.15
1629,purdan,zaświaty,nouns,2.05
1630,athro,student,nouns,0.45
1631,dianc,znaleźć,verbs,0.05
1632,crud,żłób,nouns,1.7
1633,planhigyn,rolnictwo,nouns,0.55
1634,crwydro,włóczyć się,verbs,4.0
1635,gwawr,noc,nouns,0.15
1636,bawd,paznokieć,nouns,1.05
1637,sefyll,chodzić,verbs,0.45
1638,taro,celować,verbs,1.3
1639,enillydd,kandydat,nouns,0.75
1640,yn gyfrifol,niezależnie,adverbs,0.45
1641,brecwast,bekon,nouns,0.9
1642,gwerth,przekonanie,nouns,1.15
1643,diffiniad,słownik,nouns,1.65
1644,car,łódź,nouns,0.7
1645,maint,głębia,nouns,1.3
1646,chwibanu,zatrzymywać,verbs,0.1
1647,dewis,chcieć,verbs,1.2
1648,sant,grzesznik,nouns,0.35
1649,llywydd,uczeń,nouns,0.05
1650,steil,moda,nouns,4.8
1651,theori,hipoteza,nouns,4.7
1652,siocled,placek,nouns,0.35
1653,flwyddyn,stulecie,nouns,0.95
1654,ffres,szeroki,adjectives,0.1
1655,corff,krew,nouns,0.75
1656,deigryn,oko,nouns,0.75
1657,caniau,butelka,nouns,0.45
1658,iâr,indyk,nouns,2.6
1659,gwrando,uczyć się,verbs,0.55
1660,trydan,futerał,nouns,0.0
1661,encilio,odchodzić,verbs,3.15
1662,penderfynu,ukazywać,verbs,0.05
1663,cig,chleb,nouns,0.1
1664,digonedd,mnóstwo,nouns,4.4
1665,dyn,podejrzany,nouns,0.6
1666,gwyddonydd,pielęgniarka,nouns,0.2
1667,dimai,rozmiar,nouns,0.0
1668,beio,pchać,verbs,0.05
1669,yfed,wznosić,verbs,0.1
1670,alcohol,koniak,nouns,2.8
1671,trefnu,zbierać,verbs,1.6
1672,cyfreithiwr,galeria,nouns,0.0
1673,hyder,własna osoba,nouns,0.5
1674,sibrwd,mówić,verbs,2.2
1675,yn syth,raz,adverbs,0.65
1676,actor,piosenkarz,nouns,0.7
1677,digid,cytoplazma,nouns,0.0
1678,ymerawdwr,konstytucja,nouns,0.05
1679,brwnt,niesamowity,adjectives,0.0
1680,gwan,pikantny,adjectives,0.0
1681,yn aeddfed,słusznie,adverbs,1.25
1682,stêc,mięso,nouns,3.55
1683,pwerus,słaby,adjectives,0.0
1684,esgob,arcybiskup,nouns,2.5
1685,plesio,zabawiać,verbs,2.15
1686,minc,olej,nouns,0.0
1687,yn ddarostyngedig,dumnie,adverbs,0.15
1688,busnes,firma,nouns,4.4
1689,diniwed,wolny,adjectives,0.55
1690,corff,bark,nouns,0.85
1691,yn garedig,miło,adverbs,3.35
1692,bara,mąka,nouns,0.8
1693,gweithiwr,biuro,nouns,0.5
1694,cân,opowieść,nouns,0.85
1695,yn heddychlon,chaotycznie,adverbs,0.0
1696,haf,zima,nouns,0.75
1697,byd,glob,nouns,4.7
1698,lleihau,obniżać,verbs,4.9
1699,cael,nabyć,verbs,3.65
1700,rhedwr,atleta,nouns,2.75
1701,persli,babeczka,nouns,0.05
1702,bwrdd,zachód słońca,nouns,0.0
1703,deilen,siewka,nouns,0.7
1704,pleidlais,wyjście,nouns,0.1
1705,raced,piłka,nouns,0.55
1706,mefus,wiśnia,nouns,1.7
1707,darganfod,nabyć,verbs,1.6
1708,cath,lew,nouns,2.4
1709,gwahanu,przyłączać,verbs,0.05
1710,carbohydrad,sacharoza,nouns,1.75
1711,drwg,winny,adjectives,1.6
1712,losin,cynamon,nouns,0.45
1713,taliad,notatka,nouns,0.05
1714,teclyn,garnek,nouns,0.05
1715,creu,nurkować,verbs,0.0
1716,modd,moda,nouns,0.1
1717,angenrheidiol,niezbędny,adjectives,5.1
1718,aneglur,mętny,adjectives,4.4
1719,dosbarth,chaos,nouns,0.1
1720,drwg,nieuczciwy,adjectives,2.1
1721,cyhoeddi,deklarować,verbs,4.95
1722,asgwrn,mięsień,nouns,0.25
1723,seren,kaplica,nouns,0.3
1724,dweud yn gyhoeddus,proklamować,verbs,4.0
1725,yn falch,pokojowo,adverbs,0.05
1726,arian,diament,nouns,0.75
1727,siampên,piwo,nouns,1.35
1728,dicter,nastrój,nouns,1.1
1729,salwch,rak,nouns,3.55
1730,car,automobil,nouns,5.2
1731,gwthio,ciągnąć,verbs,0.3
1732,bws,taksówka,nouns,1.05
1733,perswadio,dążyć,verbs,1.15
1734,mam,opiekun,nouns,2.7
1735,basilica,mozaika,nouns,0.55
1736,tâl,płatność,nouns,5.0
1737,neidr,jaszczurka,nouns,1.0
1738,gadael,iść,verbs,1.3
1739,gadael,eksmitować,verbs,0.6
1740,llaw,gwóźdź,nouns,0.45
1741,cymysgu,rozpuszczać,verbs,1.55
1742,gwely,krzesło,nouns,0.45
1743,gŵr,żona,nouns,1.35
1744,talu,traktować,verbs,0.2
1745,dillad,guzik,nouns,0.4
1746,jet,samolot,nouns,4.35
1747,eang,duży,adjectives,2.85
1748,ciwb,kości,nouns,2.1
1749,fel arfer,codziennie,adverbs,1.45
1750,pîn-afal,smartfon,nouns,0.0
1751,pledio,pytać,verbs,1.95
1752,eisiau,pożyczać,verbs,0.35
1753,erfyn,pożyczać,verbs,0.8
1754,enillydd,mężczyzna,nouns,0.25
1755,corws,piosenkarz,nouns,0.6
1756,cerflun,rzeźba,nouns,5.1
1757,log,drewno,nouns,4.15
1758,gyferbyn,inny,adjectives,1.3
1759,hedfan,mrówka,nouns,0.6
1760,llyfr,manuskrypt,nouns,2.05
1761,euog,zły,adjectives,1.6
1762,arf,hełm,nouns,0.7
1763,lansio,wysyłać,verbs,0.75
1764,cytoplasm,cyfra,nouns,0.0
1765,melin,nasienie,nouns,0.15
1766,gwialen,zasłona,nouns,0.0
1767,cythruddo,zgadywać,verbs,0.15
1768,gwynt,szkwał,nouns,2.9
1769,eginblanhigyn,liść,nouns,0.7
1770,dewis,żyła,nouns,0.0
1771,mintys poethion,guma,nouns,0.35
1772,ennill,robić,verbs,0.45
1773,clogwyn,wzgórze,nouns,1.95
1774,mab,ojciec,nouns,1.0
1775,coeden,łódź,nouns,0.1
1776,gwlyb,klejący,adjectives,0.45
1777,arall,przeciwny,adjectives,1.3
1778,angen,ustalać,verbs,0.25
1779,gwddf,język,nouns,0.65
1780,meddwl,mózg,nouns,3.8
1781,dirmygu,obciążać,verbs,0.1
1782,rhyddid,swoboda,nouns,5.3
1783,anrheg,pisarz,nouns,0.0
1784,amnewidyn,wymiana,nouns,3.0
1785,pwnc,hasztag,nouns,1.3
1786,gwydn,przebiegły,adjectives,0.65
1787,athro,student,nouns,0.7
1788,yn sicr,nerwowy,adjectives,0.0
1789,gwely,koc,nouns,0.8
1790,dinistr,konstrukcja,nouns,0.05
1791,sgil,inteligencja,nouns,1.95
1792,lladd,walczyć,verbs,0.95
1793,synhwyrydd,kaloryfer,nouns,0.15
1794,drachtio,połykać,verbs,2.7
1795,ffôn,ofiara,nouns,0.0
1796,hael,miły,adjectives,0.85
1797,canwr,personel,nouns,0.05
1798,gludedd,plusk,nouns,0.0
1799,ffenestr,kostka,nouns,0.0
1800,iris,acetylocholina,nouns,0.35
1801,dewis,wybory,nouns,2.7
1802,emyn,biblia,nouns,0.65
1803,cyw iâr,stek,nouns,0.85
1804,dwyn,dać,verbs,0.05
1805,parch,honor,nouns,2.2
1806,anghwrtais,prymitywny,adjectives,0.65
1807,cyfnewid,waluta,nouns,0.45
1808,plaladdwr,szkodnik,nouns,1.2
1809,gadael,przybywać,verbs,0.05
1810,niwrosis,umysł,nouns,0.9
1811,yn fanwl gywir,błędny,adjectives,0.05
1812,swil,drogi,adjectives,0.0
1813,bisged,księżniczka,nouns,0.0
1814,diffinio,wyjaśniać,verbs,3.65
1815,actor,wielościan,nouns,0.0
1816,mynach,krzyż,nouns,0.5
1817,tybio,udawać,verbs,0.4
1818,meddyg,usposobienie,nouns,0.0
1819,hyblyg,skromny,adjectives,0.2
1820,trafodaeth,dyplomacja,nouns,2.45
1821,rhewi,drżeć,verbs,1.15
1822,medal,adidasy,nouns,0.2
1823,alcohol,koktajl,nouns,2.1
1824,adnewid,zmienić,verbs,3.0
1825,sblash,lepkość,nouns,0.0
1826,rhyfelwr,mężczyzna,nouns,0.8
1827,fflat,meble,nouns,0.6
1828,dadlau,narzekać,verbs,1.3
1829,diflannu,znaleźć,verbs,0.05
1830,awdur,powieść,nouns,0.95
1831,wagen,pojemnik,nouns,0.05
1832,diog,zajęty,adjectives,0.0
1833,brwydro,gryźć,verbs,0.5
1834,bustach,koń,nouns,1.2
1835,matrics,cząsteczka,nouns,0.25
1836,gwydn,twardy,adjectives,3.0
1837,glaw mân,deszcz,nouns,3.7
1838,ail,minuta,nouns,0.45
1839,cysur,bezpieczeństwo,nouns,1.15
1840,dafad,jagnię,nouns,3.65
1841,ysgwyd,zbierać,verbs,0.05
1842,cwmwl,opary,nouns,2.15
1843,meddwl,decydować,verbs,2.0
1844,argymell,radzić,verbs,3.65
1845,athletwr,biegacz,nouns,2.75
1846,oren,cytrus,nouns,3.3
1847,gwydr,kryształ,nouns,2.15
1848,ergydio,chybić,verbs,0.1
1849,tynnu'n ôl,odrzucić,verbs,2.3
1850,gadael,ignorować,verbs,1.25
1851,syniad,opinia,nouns,2.05
1852,rhoi,kłaść,verbs,0.85
1853,brigeryn,zapylanie,nouns,0.7
1854,crynnu,zamarzać,verbs,1.15
1855,dal,naśladować,verbs,0.0
1856,gwirio,powiedzieć,verbs,0.4
1857,stori,książka,nouns,2.3
1858,gwneud,rezygnować,verbs,0.0
1859,barnu,decydować,verbs,2.15
1860,oedran,piękno,nouns,0.2
1861,gair,literatura,nouns,1.65
1862,heb ei ddefnyddio,nowy,adjectives,4.75
1863,yn aml,czasem,adverbs,0.5
1864,dillad,płaszcz,nouns,2.1
1865,llys,sędzia,nouns,1.3
1866,balŵn,ludzie,nouns,0.05
1867,hysteria,konfuzja,nouns,1.25
1868,cyfuniad,trzcina cukrowa,nouns,0.05
1869,cerdd,rytm,nouns,0.9
1870,modur,silnik,nouns,4.1
1871,yn oddefol,cicho,adverbs,1.05
1872,casglu,trząść,verbs,0.05
1873,cyffredin,nieprawdopodobny,adjectives,0.05
1874,caniatáu,iść,verbs,0.1
1875,archeoleg,antropologia,nouns,1.55
1876,storm,huragan,nouns,2.8
1877,cyflymder,słup,nouns,0.0
1878,ewin,kciuk,nouns,1.05
1879,gyrru,zatrzymywać,verbs,0.05
1880,esgus,zakładać,verbs,0.4
1881,bryn,klif,nouns,1.95
1882,cân,ballada,nouns,3.95
1883,cefnogwr,krykiet,nouns,0.25
1884,rhyfedd,przebiegły,adjectives,0.0
1885,yn garedig,chojnie,adverbs,2.55
1886,annisgwyl,nieprzewidziany,adjectives,4.65
1887,penderfynu,myśleć,verbs,2.0
1888,syml,trudny,adjectives,0.05
1889,clywed,postrzegać,verbs,0.3
1890,protein,uchwyt,nouns,0.0
1891,parasetamol,bronchit,nouns,0.4
1892,pryd bwyd,kolacja,nouns,3.35
1893,coeden,klon,nouns,2.85
1894,cyflogwr,robotnik,nouns,0.6
1895,llywydd,zanieczyszczenie,nouns,0.1
1896,dadlau,uczęszczać,verbs,0.0
1897,ymosodol,wygięty,adjectives,0.0
1898,ffôn symudol,telefon,nouns,4.9
1899,sgriblo,pisać,verbs,2.9
1900,crwydro,odchodzić,verbs,0.8
1901,hurt,gęsty,adjectives,0.0
1902,blwyddyn,urodziny,nouns,0.85
1903,tenis,statystyka,nouns,0.05
1904,treisgar,bierny,adjectives,0.0
1905,pêl-foli,piłka,nouns,1.95
1906,anfeidredd,zero,nouns,0.25
1907,darganfod,szukać,verbs,0.95
1908,claddedigaeth,śmierć,nouns,1.35
1909,awyren,lotnisko,nouns,1.5
1910,canu,śmiać się,verbs,0.3
1911,denu,uderzyć,verbs,0.0
1912,reidio,tasować,verbs,0.0
1913,yn fras,niecierpliwie,adverbs,0.8
1914,iaith,komunikacja,nouns,2.25
1915,gŵr bonheddig,dama,nouns,0.9
1916,cerflunydd,posiadłość,nouns,0.15
1917,diddanu,lubić,verbs,0.7
1918,dolen,pas,nouns,0.3
1919,dosbarthu,brać,verbs,0.3
1920,o ddifrif,szczerze,adverbs,1.55
1921,enwogrwydd,bogactwo,nouns,0.65
1922,tafod,mięsień,nouns,1.55
1923,yn annhebygol,przyjazny,adverbs,0.05
1924,dwywaith,wielokrotnie,adverbs,0.6
1925,oen,owca,nouns,3.65
1926,anghefnogi,zmartwić,verbs,1.1
1927,dychryn,nawiedzać,verbs,1.35
1928,sesiwn,pacjent,nouns,0.0
1929,dyn,wujek,nouns,1.35
1930,bioleg,anatomia,nouns,2.55
1931,entropi,informacja,nouns,0.2
1932,gaeaf,pora roku,nouns,3.0
1933,cyflawni,wygrać,verbs,2.15
1934,stondin,telefon,nouns,0.65
1935,lladd,bronić,verbs,0.45
1936,gafr,krowa,nouns,1.15
1937,organ,nerka,nouns,3.05
1938,yn ddymunol,życzliwie,adverbs,3.35
1939,miniog,tępy,adjectives,0.1
1940,saws,jabłko,nouns,0.25
1941,cwt,schronienie,nouns,2.1
1942,moleciwl,powietrze,nouns,0.65
1943,canlyn,zbadać,verbs,0.2
1944,yn fras,marginalnie,adverbs,0.55
1945,afal,cukierek,nouns,0.35
1946,realiti,iluzja,nouns,0.2
1947,angor,łódź,nouns,1.0
1948,lwcus,zawstydzony,adjectives,0.05
1949,llosgi,udusić,verbs,0.95
1950,chwyrnu,budzić się,verbs,0.1
1951,cymhwysedd,zdolność,nouns,3.8
1952,cymysgu,bić,verbs,0.8
1953,cyflawni,powieść się,verbs,4.0
1954,benthyg,zachować,verbs,0.1
1955,erydu,zezwalać,verbs,0.0
1956,cebl,czarodziej,nouns,0.0
1957,cyfiawnder,prawo,nouns,0.7
1958,cebl,kaplica,nouns,0.05
1959,daeargryn,wstrząs,nouns,3.65
1960,arwydd,symbol,nouns,5.05
1961,newydd,świeży,adjectives,4.25
1962,ffynhonnell,pudełko,nouns,0.0
1963,dyweddïo,poślubić,verbs,1.0
1964,cywilydd,smutek,nouns,0.9
1965,bodloni,rozumieć,verbs,0.45
1966,gwrthddadlau,debatować,verbs,3.45
1967,gwin,alkohol,nouns,2.55
1968,cosbi,uczyć,verbs,0.05
1969,cardigan,koszula,nouns,1.15
1970,sgïo,snowboard,nouns,1.8
1971,byddin,legion,nouns,3.25
1972,harddwch,wiek,nouns,0.2
1973,gwadu,wyznanie,nouns,0.3
1974,ael,oko,nouns,0.8
1975,canwr,refren,nouns,0.6
1976,enillydd,obecność,nouns,0.05
1977,rhoi,zachować,verbs,0.15
1978,dinistrio,robić,verbs,0.05
1979,teiffŵn,cyklon,nouns,4.1
1980,dan straen,zrelaksowany,adjectives,0.0
1981,anniben,uporządkowany,adjectives,0.05
1982,crosio,mundur,nouns,0.0
1983,realiti,fantazja,nouns,0.3
1984,ci,koń,nouns,0.75
1985,mynd  ,wysyłać,verbs,0.55
1986,pen,stopa,nouns,0.35
1987,gwisgedig,przykryty,adjectives,1.9
1988,anghwrtais,agresywny,adjectives,1.75
1989,ciledrych,razić,verbs,0.0
1990,annog,zniechęcać,verbs,0.0
1991,pryf sidan,gąsienica,nouns,2.5
1992,ffa,ryż,nouns,0.7
1993,traeth,wyspa,nouns,1.4
1994,damcaniaeth,teoria,nouns,4.7
1995,yn ddelfrydol,realistycznie,adverbs,0.9
1996,dod â,nieść,verbs,2.1
1997,cwest,cel,nouns,1.75
1998,presenoldeb,zwycięzca,nouns,0.05
1999,eliffant,kompas,nouns,0.0
2000,cychwyn,startować,verbs,5.2
2001,yn ddelfrydol,mechanicznie,adverbs,0.3
2002,injan,motor,nouns,4.1
2003,bowlen,ogon,nouns,0.0
2004,creu,niszczyć,verbs,0.05
2005,dysgu,absorbować,verbs,0.8
2006,ewin,ręka,nouns,0.45
2007,tywydd,śnieg,nouns,0.7
2008,dyn,przyjaciel,nouns,1.0
2009,cerflunwaith,statua,nouns,5.1
2010,wedi blino,nudny,adjectives,0.5
2011,ffrio,zagotować,verbs,1.8
2012,mawr,narodowy,adjectives,0.3
2013,stryd,samochód,nouns,0.5
2014,cyfieithydd,obcokrajowiec,nouns,0.35
2015,pwnc,opowieść,nouns,0.95
2016,awyr,słońce,nouns,1.0
2017,gyrrwr,pilot,nouns,2.55
2018,ymddangos,wychodzić,verbs,0.3
2019,band,parada,nouns,0.55
2020,egluro,dyskutować,verbs,1.8
2021,côr,kościół,nouns,0.8
2022,profi,tłumaczyć,verbs,1.45
2023,anwybodaeth,inteligencja,nouns,0.05
2024,craig,kopalnia,nouns,0.45
2025,gwely,pokój,nouns,0.3
2026,ffordd,szosa,nouns,4.75
2027,deallusrwydd,logika,nouns,2.2
2028,portreadu,decydować,verbs,0.05
2029,yn ofalus,przezornie,adverbs,3.7
2030,gwefus,usta,nouns,3.2
2031,dioddefwr,telefon,nouns,0.0
2032,gwrthod,przyznawać,verbs,0.0
2033,brwnt,tani,adjectives,0.05
