ID,CMN,CYM,PoS,score
1452,身体,asgwrn cefn,nouns,0.98
1453,大概,yn gadarnhaol,adverbs,0.45
1454,经济,ecosystem,nouns,0.05
1455,达到,cyflawni,verbs,3.08
1456,害羞,drud,adjectives,0.0
1457,蝙蝠,sugnwr gwaed,nouns,0.78
1458,教授,myfyriwr,nouns,0.58
1459,容易,anodd,adjectives,0.09
1460,狂怒,dicter,nouns,3.95
1461,打印,anwybyddu,verbs,0.0
1462,戒除,gwneud,verbs,0.0
1463,非法,anfoesol,adjectives,2.04
1464,腰部,pryd bwyd,nouns,0.0
1465,盒子,het,nouns,0.0
1466,智力,mewnwelediad,nouns,2.43
1467,分子,atom,nouns,2.13
1468,混乱,anarchiaeth,nouns,3.6
1469,募捐,datblygiad,nouns,0.24
1470,新郎,priodferch,nouns,1.13
1471,飓风,storm,nouns,2.92
1472,草地,glaswelltir,nouns,3.31
1473,残酷,braf,adjectives,0.0
1474,海岸,traeth,nouns,2.45
1475,非常好,brwnt,adjectives,0.0
1476,酒,canrif,nouns,0.0
1477,猎鹰,eryr,nouns,2.79
1478,困难,hawdd,adjectives,0.09
1479,城堡,wal,nouns,0.57
1480,手术,calon,nouns,0.19
1481,坠落,brifo ,verbs,1.08
1482,刀,gwn,nouns,1.4
1483,续集,camera,nouns,0.04
1484,制服,crosio,nouns,0.23
1485,警察,siryf,nouns,3.11
1486,果汁,ysgytlaeth,nouns,0.73
1487,宫殿,nendwr,nouns,0.28
1488,糟糕,yn ddarostyngedig,adverbs,0.05
1489,歌手,corws,nouns,1.32
1490,无知,rheolaidd,adjectives,0.04
1491,乱七八糟,trefnus,adjectives,0.18
1492,轻视,dirmygus,adjectives,4.17
1493,终末,yn wahanol,adverbs,0.0
1494,考古学,anthropoleg,nouns,1.26
1495,分子,matrics,nouns,0.56
1496,主机板,prif fwrdd,nouns,2.94
1497,冬天,haf,nouns,0.45
1498,威士忌酒,siampên,nouns,1.83
1499,纸,pren,nouns,0.43
1500,洗澡,mynachlog,nouns,0.0
1501,八月,mis,nouns,2.35
1502,门,llawr,nouns,0.05
1503,菠萝,ffôn clyfar,nouns,0.0
1504,加,lluosi,verbs,1.13
1505,笨,clyfar,adjectives,0.09
1506,出现,dod yn,verbs,0.83
1507,语言,cyfathrebu,nouns,1.27
1508,窗口,cwmwl,nouns,0.0
1509,漫游,crwydro,verbs,3.45
1510,铝,tun,nouns,1.42
1511,微妙地,ar hyn o bryd,adverbs,0.0
1512,开始,gadael,verbs,0.0
1513,试着,bwriadu,verbs,1.46
1514,立方体,dis,nouns,2.63
1515,怒视,ciledrych,verbs,0.18
1516,辩解,gwirio,verbs,0.48
1517,稍后,byth,adverbs,0.19
1518,易损坏,oeraidd,adjectives,0.1
1519,副手,swyddog,nouns,1.13
1520,饥饿,sychedig,adjectives,1.71
1521,挂,rhoi,verbs,0.56
1522,从不,prin,adverbs,2.74
1523,肉,stêc,nouns,3.59
1524,犯罪,ymosodiad,nouns,1.6
1525,离开,ymddangos,verbs,0.05
1526,自行车,ystafell wely,nouns,0.0
1527,词,llenyddiaeth,nouns,1.65
1528,从不,yn hael,adverbs,0.0
1529,篮子,pêl,nouns,0.1
1530,承认,hysbysu,verbs,0.35
1531,合作,ymuno,verbs,0.97
1532,老板,cyfarwyddwr,nouns,3.58
1533,争论,perswadio,verbs,1.98
1534,贫困,diymadferth,adjectives,0.83
1535,飞机,maes awyr,nouns,1.5
1536,容易,syml,adjectives,3.78
1537,牙医,cyrnol,nouns,0.09
1538,搏斗,lladd,verbs,1.08
1539,谢绝,cymryd,verbs,0.23
1540,争论,beirniadaeth,nouns,1.35
1541,故障,system,nouns,0.0
1542,花朵,bwlb,nouns,0.3
1543,叔叔,dyn,nouns,1.64
1544,校验,cyfiawnhau,verbs,0.48
1545,父亲,mab,nouns,0.68
1546,模式,ffasiwn,nouns,0.1
1547,重要的,yn swyddogol,adverbs,1.65
1548,付款,trin,verbs,0.09
1549,墙壁,addurn,nouns,0.47
1550,环球航行,bagiau,nouns,0.0
1551,小圆盾,tarian,nouns,0.89
1552,收缩,tyfu,verbs,0.14
1553,一般,fel mater o drefn,adverbs,4.04
1554,全然地,yn gyfan gwbl,adverbs,4.97
1555,走廊,drws,nouns,0.33
1556,杂乱无章,trefnu,verbs,0.23
1557,男孩,cyflwr,nouns,0.14
1558,简单,anodd,adjectives,0.14
1559,球状物,pêl,nouns,4.05
1560,音节,lema,nouns,0.5
1561,水晶,gwydr,nouns,1.6
1562,给,dwyn,verbs,0.23
1563,故事,cân,nouns,0.68
1564,小巷,bowlen,nouns,0.0
1565,生态系统,economi,nouns,0.05
1566,啤酒,siampên,nouns,1.88
1567,轻微,yn gyfan gwbl,adverbs,0.05
1568,累,newynog,adjectives,0.33
1569,完美地,yn wir,adverbs,0.58
1570,给予,gwrthod,verbs,0.0
1571,膝盖,braich,nouns,0.53
1572,书,llawysgrif,nouns,1.2
1573,原木,pren,nouns,3.59
1574,自然地,yn dawel,adverbs,0.38
1575,穿,rhwygo,verbs,0.09
1576,演员,cân,nouns,0.63
1577,安排,angen,verbs,0.0
1578,容易,gwydn,adjectives,0.04
1579,手臂,coes,nouns,0.57
1580,卧室,stumog,nouns,0.0
1581,岛,tywysoges,nouns,0.0
1582,冷淡,bregus,adjectives,0.1
1583,改变,newid,verbs,3.26
1584,策略家,cynllwyniwr,nouns,3.31
1585,复诊,claf,nouns,0.18
1586,点菜,bwydlen,nouns,0.93
1587,空出,troi allan,verbs,0.43
1588,扼杀,coflaid,verbs,0.1
1589,来,mynychu,verbs,3.09
1590,乙酰胆碱,iris,nouns,0.05
1591,图表,graff,nouns,3.64
1592,手臂,cyhyr,nouns,0.89
1593,葬礼,marwolaeth,nouns,0.92
1594,沐浴,ystafell,nouns,0.24
1595,创建,plymio,verbs,0.0
1596,开始,dechrau,verbs,5.08
1597,传播,iro,verbs,0.41
1598,肚子,gwythïen,nouns,0.29
1599,忽略,argraffu,verbs,0.0
1600,编剧,teledu,nouns,0.43
1601,原子,moleciwl,nouns,2.13
1602,加入,cymryd rhan,verbs,3.99
1603,木炭,glo,nouns,2.65
1604,管理,swydd,nouns,0.43
1605,对乙酰氨基酚,bronceitus,nouns,0.24
1606,毛,menyw,nouns,0.05
1607,手臂,gwythïen,nouns,0.24
1608,手表,sgert,nouns,0.0
1609,周末,ras,nouns,0.0
1610,主要,y rhan fwyaf,adverbs,3.55
1611,成为,cyflawni,verbs,0.77
1612,海岸,lan,nouns,2.81
1613,覆盖着,gwisgedig,adjectives,1.98
1614,国民,mawr,adjectives,0.3
1615,丰富,digon,nouns,4.24
1616,音乐,alaw,nouns,3.37
1617,公主,ynys,nouns,0.0
1618,页,paragraff,nouns,0.85
1619,优雅,steil,nouns,2.11
1620,苦难,anobaith,nouns,2.78
1621,歌曲,perfformiwr,nouns,0.63
1622,茅屋,caban,nouns,3.01
1623,钝,miniog,adjectives,0.19
1624,肉,cig eidion,nouns,3.22
1625,问,cynorthwyo,verbs,0.24
1626,限制,lleihau,verbs,2.92
1627,扼杀,llosgi,verbs,0.98
1628,马车,wagen,nouns,3.87
1629,打败,ennill,verbs,4.33
1630,非法,cyfreithlon,adjectives,0.14
1631,小学生,llywydd,nouns,0.05
1632,说谎,gwrthod,verbs,0.42
1633,技巧,deallusrwydd,nouns,2.13
1634,阵列,rhestr,nouns,0.73
1635,年级,ysgol,nouns,0.95
1636,房间,gwely,nouns,0.2
1637,情况,cyflwr,nouns,3.11
1638,坏,anonest,adjectives,1.26
1639,接受,dosbarthu,verbs,0.05
1640,三明治,cig,nouns,0.33
1641,预言家,offeiriad,nouns,0.83
1642,发送,dod â,verbs,0.65
1643,安全,cyfreithiol,adjectives,0.73
1644,种族主义,senoffobia,nouns,3.29
1645,学院,proffesiwn,nouns,0.2
1646,医生,tymer,nouns,0.0
1647,书,beibl,nouns,2.18
1648,坚固地,yn feddal,adverbs,0.2
1649,日出,machlud haul,nouns,0.83
1650,十四行诗,harddwch,nouns,0.2
1651,公爵,gweriniaeth,nouns,0.05
1652,指甲,bawd,nouns,0.72
1653,苹果,lemwn,nouns,0.69
1654,划分,uno,verbs,0.23
1655,形象,syniad,nouns,0.45
1656,分析,gwerthuso,verbs,4.17
1657,井井有条,anhrefnu,verbs,0.23
1658,纽扣,dillad,nouns,0.33
1659,灯泡,blodyn,nouns,0.3
1660,全球化,fisa,nouns,0.46
1661,仆人,caethwas,nouns,2.78
1662,实现,derbyn,verbs,0.1
1663,功课,traethawd,nouns,1.35
1664,空气,heliwm,nouns,2.67
1665,肌肉,braich,nouns,0.89
1666,法官,ynad,nouns,3.92
1667,风格,ceinder,nouns,2.11
1668,便士,bargen,nouns,0.49
1669,木材,log,nouns,3.59
1670,没打中,ergydio,verbs,0.23
1671,新鲜,eang,adjectives,0.05
1672,公共的,preifat,adjectives,0.14
1673,音系学,sgrîn,nouns,0.0
1674,讨论,dadl,nouns,3.42
1675,申请人,cais,nouns,1.54
1676,突变体,bioleg gymdeithasol,nouns,0.33
1677,穿着衣服的,wedi ei orchuddio,adjectives,1.98
1678,逃跑,dianc,verbs,5.37
1679,深深地,yn bennaf,adverbs,0.33
1680,海军,byddin,nouns,3.81
1681,声明放弃,amherchnogi,verbs,1.54
1682,建造,gwneuthurio,verbs,3.13
1683,鸡,cinio,nouns,0.54
1684,歌手,actor,nouns,1.78
1685,脚,pen,nouns,0.29
1686,雨,glaw mân,nouns,3.58
1687,樱桃,mefus,nouns,1.27
1688,灰濛蒙,rhagolwg,nouns,0.04
1689,满足,plesio,verbs,3.92
1690,劝告,awgrymu,verbs,2.85
1691,大小,anferthedd,nouns,2.49
1692,昂贵,swil,adjectives,0.0
1693,唱,chwerthin,verbs,0.2
1694,借,rhoi,verbs,1.74
1695,球,maneg,nouns,0.14
1696,骑,cymysgu,verbs,0.0
1697,日历,gwyliau,nouns,0.63
1698,拿,dosbarthu,verbs,0.24
1699,停,gyrru,verbs,0.1
1700,独特,cyferbyn,adjectives,0.5
1701,轻蔑,gwawdlyd,adjectives,4.17
1702,冰雹,glaw,nouns,1.67
1703,行星,seren,nouns,2.79
1704,煮熟的,wedi'i ferwi,adjectives,2.38
1705,脊柱,gwddf,nouns,0.68
1706,完成,datrys,verbs,0.97
1707,坦克,car,nouns,0.72
1708,拒绝,collfarnu,verbs,0.19
1709,蓝色,coch,adjectives,0.44
1710,膝盖,asgwrn,nouns,1.53
1711,先生,gwraig,nouns,0.43
1712,安全地,yn hapus,adverbs,0.23
1713,经常地,yn achlysurol,adverbs,0.62
1714,拒绝,derbyn,verbs,0.19
1715,无辜,am ddim,adjectives,0.04
1716,覆盖着的,datgelwyd,adjectives,0.09
1717,容易,hyblyg,adjectives,0.82
1718,事件,digwyddiad codi arian,nouns,1.68
1719,奖学金,hyfforddiant,nouns,0.81
1720,工人,peiriannydd,nouns,2.23
1721,戏法,maint,nouns,0.0
1722,完成,dod yn,verbs,0.77
1723,甜,trydanol,adjectives,0.0
1724,男人,enillydd,nouns,0.28
1725,相机,llywydd,nouns,0.0
1726,大,braisg,adjectives,3.81
1727,门口,drws,nouns,3.87
1728,真诚地,yn onest,adverbs,4.29
1729,报纸,gair,nouns,1.12
1730,洗手间,cegin,nouns,0.54
1731,水,sychder,nouns,0.1
1732,盒子,sigâr,nouns,0.04
1733,阳光,afal,nouns,0.09
1734,血液,cnawd,nouns,0.68
1735,主教,mwslim,nouns,0.52
1736,灯,ysbryd,nouns,0.0
1737,差数,gweddill,nouns,2.88
1738,知道,anghofio,verbs,0.05
1739,完成,ennill,verbs,2.15
1740,伤害,ymosod,verbs,3.09
1741,手稿,llyfr,nouns,1.2
1742,枪,cyllell,nouns,1.4
1743,帝制,democratiaeth,nouns,0.2
1744,冻结,crynnu,verbs,0.98
1745,坏,ardderchog,adjectives,0.09
1746,喇叭,car,nouns,0.29
1747,腐烂,dinistrio,verbs,1.97
1748,冰,dŵr,nouns,2.04
1749,保持,coleddu,verbs,0.82
1750,禁止,stopio,verbs,3.5
1751,拯救,achub,verbs,4.71
1752,天气,ton,nouns,0.04
1753,铝,metel,nouns,2.95
1754,分离,ymadael,verbs,2.04
1755,书,gwybodaeth,nouns,1.4
1756,搅拌,cymysgu,verbs,3.27
1757,不公平地,yn afresymol,adverbs,3.25
1758,诚实地,yn ddiffuant,adverbs,4.29
1759,敌意,ymosodedd,nouns,1.77
1760,灵活,diymhongar,adjectives,0.52
1761,平均,rheolaidd,adjectives,0.63
1762,收到,cymryd,verbs,1.92
1763,收入,treth,nouns,0.62
1764,峡谷,dyffryn,nouns,3.54
1765,商业,diwydiant,nouns,1.41
1766,男人,gwyliwr,nouns,1.3
1767,气旋,teiffŵn,nouns,3.54
1768,世纪,flwyddyn,nouns,1.6
1769,不可能,yn gyfeillgar,adverbs,0.09
1770,决定,portreadu,verbs,0.0
1771,甲板,llawr,nouns,2.18
1772,数学家,sioe,nouns,0.0
1773,伞,gwresogydd,nouns,0.04
1774,主意,cynllun,nouns,2.81
1775,大象,cwmpawd,nouns,0.04
1776,小亭,ffôn,nouns,0.0
1777,学习,anghofio,verbs,0.15
1778,牧师,proffwyd,nouns,0.83
1779,在家里,i ffwrdd,adverbs,0.38
1780,毁灭,arbed,verbs,0.14
1781,老鼠,dec,nouns,0.0
1782,负责可靠地,yn annibynnol,adverbs,0.6
1783,肉,bacwn,nouns,2.94
1784,徘徊,rhodio,verbs,3.45
1785,电动机,cwch,nouns,0.54
1786,组合,undeb,nouns,2.38
1787,画廊,cyfreithiwr,nouns,0.0
1788,身体,gwaed,nouns,0.96
1789,好,sbeislyd,adjectives,0.0
1790,老师,cynorthwy-ydd,nouns,1.46
1791,夏天,gaeaf,nouns,0.45
1792,交流,iaith,nouns,1.27
1793,妻子,dimai,nouns,0.23
1794,时装,modd,nouns,0.1
1795,真实地,yn berffaith,adverbs,0.58
1796,同意,derbyn,verbs,3.21
1797,伤心,doniol,adjectives,0.04
1798,詞,tudalen,nouns,0.4
1799,受害者,ffôn,nouns,0.0
1800,弱,pwerus,adjectives,0.0
1801,怪兽,cythraul,nouns,2.56
1802,狭窄,hir,adjectives,0.34
1803,焦躁不安,ifanc,adjectives,0.15
1804,伟大,ofnadwy,adjectives,0.04
1805,理想地,yn realistig,adverbs,0.54
1806,胜利,goruchafiath,nouns,4.12
1807,屋,ysgubor,nouns,0.48
1808,写,sgriblo,verbs,3.23
1809,手机,ffôn,nouns,4.47
1810,新,ffres,adjectives,4.0
1811,教堂,côr,nouns,0.39
1812,肌肉,asgwrn,nouns,0.38
1813,手套,pêl,nouns,0.14
1814,电脑,peiriant,nouns,2.37
1815,珍爱,cadw,verbs,0.82
1816,臭氧,awyrgylch,nouns,2.17
1817,车,priffordd,nouns,0.45
1818,晚餐,cyw iâr,nouns,0.54
1819,衣服,cwpwrdd,nouns,0.68
1820,权利,cyfiawnder,nouns,0.33
1821,蔑视,llenwi,verbs,0.0
1822,薄雾,glaw,nouns,1.31
1823,优胜者,presenoldeb,nouns,0.0
1824,不公平,creulon,adjectives,1.13
1825,在场,absenoldeb,nouns,0.54
1826,乳制品,mêl,nouns,0.28
1827,砖,wal,nouns,0.92
1828,土豆,menyn,nouns,0.24
1829,防守,lladd,verbs,0.48
1830,门,cegin,nouns,0.1
1831,面包,blawd,nouns,1.36
1832,锁匙,tŷ,nouns,0.15
1833,评分,marcio,verbs,2.75
1834,大脑,meddwl,nouns,4.22
1835,电话,ffôn symudol,nouns,4.47
1836,数,digid,nouns,4.97
1837,擦亮,hysbysu,verbs,0.0
1838,晚餐,cawl,nouns,0.88
1839,协议,twll,nouns,0.0
1840,意识,sylw,nouns,2.51
1841,木,carreg,nouns,0.1
1842,静脉,dewis,nouns,0.04
1843,现实地,yn ddiweddar,adverbs,0.0
1844,针织套衫,siaced,nouns,2.44
1845,乐观地,o bosibl,adverbs,0.83
1846,微妙地,yn uchel,adverbs,0.0
1847,疏忽,difeddiannu,verbs,0.15
1848,服装,pêl,nouns,0.1
1849,出租车,car,nouns,3.77
1850,大致,yn amlwg,adverbs,0.48
1851,赞成,caniatáu,verbs,3.21
1852,撤退,gadael,verbs,3.17
1853,偷,prynu,verbs,0.33
1854,派,siocled,nouns,0.38
1855,停止,gwahardd,verbs,3.5
1856,困难,caled,adjectives,4.78
1857,反驳,caniatáu,verbs,0.0
1858,灾难,marwolaeth,nouns,2.04
1859,旗,banereg,nouns,0.67
1860,钱,perl,nouns,0.15
1861,雪,iâ,nouns,2.77
1862,娱乐,plesio,verbs,1.36
1863,雪,tywydd,nouns,1.42
1864,电车,trên,nouns,2.41
1865,水,halen,nouns,0.38
1866,听,dysgu,verbs,0.57
1867,善良,hael,adjectives,1.45
1868,完全必要,angenrheidiol,adjectives,5.17
1869,笨,prin,adjectives,0.0
1870,尾巴,pennod,nouns,0.0
1871,狡猾,gwydn,adjectives,0.04
1872,骨头,ffêr,nouns,0.88
1873,蠕虫,malware,nouns,0.46
1874,灌木,blodyn,nouns,0.87
1875,不经常,yn aml,adverbs,0.23
1876,依靠,methu,verbs,0.24
1877,茶,lemwn,nouns,0.39
1878,羞愧,tristwch,nouns,1.15
1879,一次,yn syth,adverbs,0.55
1880,保龄球选手,bowlio,nouns,1.25
1881,地板,nenfwd,nouns,0.1
1882,门,coridor,nouns,0.33
1883,环境,cleddyf,nouns,0.18
1884,可靠,yn gyfrifol,adverbs,3.63
1885,呼吸,tagu,verbs,0.87
1886,缺乏信心,anghenus,adjectives,0.45
1887,软线,gwifren,nouns,1.44
1888,外套,siwmper,nouns,2.44
1889,资料,papur newydd,nouns,1.42
1890,解决,gorffen,verbs,0.97
1891,害怕,yn ansicr,adjectives,1.46
1892,氦气,aer,nouns,2.67
1893,智慧,deallusrwydd,nouns,3.66
1894,接受,cydnabod,verbs,3.04
1895,国境,terfyn,nouns,3.64
1896,花,cred,nouns,0.09
1897,血液,firws,nouns,0.39
1898,小心地,yn ochelgar,adverbs,3.78
1899,豆,coffi,nouns,0.58
1900,碳,atom,nouns,0.57
1901,甘蔗,cyfuniad,nouns,0.0
1902,快,buan,adjectives,4.54
1903,冬天,tymor,nouns,2.33
1904,自行车,croen,nouns,0.0
1905,意志,bwriad,nouns,1.51
1906,评估,dysgu,verbs,0.57
1907,手,ewin,nouns,0.73
1908,骨髓,gwaed,nouns,0.48
1909,选择,barn,nouns,1.1
1910,发动机,piston,nouns,1.89
1911,救,boddi,verbs,0.1
1912,否认,cyfaddef,verbs,0.18
1913,歇斯底里,dryswch,nouns,2.27
1914,车辆,bws,nouns,3.0
1915,方案,syniad,nouns,2.81
1916,巨大,hurt,adjectives,0.04
1917,字典,gair,nouns,1.07
1918,总是,dwywaith,adverbs,0.2
1919,贪污,twyll,nouns,1.18
1920,动物,bwystfil,nouns,3.33
1921,国王,tywysog,nouns,1.55
1922,知会,cyhoeddi,verbs,3.83
1923,妻子,bàth,nouns,0.0
1924,癌症,salwch,nouns,3.5
1925,才能,gallu,nouns,4.59
1926,保持,colli,verbs,0.29
1927,被动地,yn weithredol,adverbs,0.18
1928,相机,dilyniant,nouns,0.04
1929,绞刑,lladd,verbs,2.6
1930,数字,cytoplasm,nouns,0.0
1931,口香糖,mintys poethion,nouns,0.52
1932,培根,ffa,nouns,0.1
1933,血液,mêr,nouns,0.48
1934,米,modfedd,nouns,1.63
1935,收集,ysgwyd,verbs,0.04
1936,开心,siriol,adjectives,5.42
1937,游戏,tric,nouns,0.82
1938,律师,erlynydd,nouns,2.23
1939,参加竞选,mwnci,nouns,0.0
1940,进来,rhadlon,adjectives,0.04
1941,使满意,diddanu,verbs,1.36
1942,水,iâ,nouns,2.04
1943,抱怨,dod â,verbs,0.09
1944,大夫,meddyg,nouns,4.71
1945,丑陋,amrwd,adjectives,0.28
1946,放,rhoi,verbs,0.79
1947,精确,anghywir,adjectives,0.14
1948,书,pwnc,nouns,1.3
1949,建议,cynghori,verbs,2.85
1950,长笛,cerddoriaeth,nouns,1.15
1951,钢笔,yr wyddor,nouns,0.0
1952,床,ysbyty,nouns,0.57
1953,舞蹈,ffrog,nouns,0.24
1954,手臂,pen-glin,nouns,0.53
1955,部,swltan,nouns,0.15
1956,温和,miniog,adjectives,0.05
1957,白天,nos,nouns,0.1
1958,小巷,stryd,nouns,3.04
1959,生物学,biotop,nouns,0.79
1960,赢,llwyddo,verbs,3.92
1961,聚集,mynychu,verbs,0.38
1962,日历,dyddiad,nouns,2.46
1963,章,cynffon,nouns,0.0
1964,指南,llawlyfr,nouns,2.26
1965,信心十足地,yn gyfrinachol,adverbs,0.15
1966,天空,haul,nouns,0.8
1967,完结,wedi gorffen,adjectives,5.16
1968,显微镜,biolegydd,nouns,0.49
1969,电视,actor,nouns,0.82
1970,减少,gwlychu,verbs,0.0
1971,光标,sleid,nouns,0.09
1972,开始,mynd  ,verbs,0.29
1973,沙发,pêl-fas,nouns,0.0
1974,小孩,oedolyn,nouns,0.68
1975,共和国,dug,nouns,0.05
1976,推,tynnu,verbs,0.28
1977,撤离,pennu,verbs,0.0
1978,每月,wythnosol,adjectives,1.27
1979,演员,teledu,nouns,0.82
1980,乐趣,gêm,nouns,0.82
1981,旗帜学,baner,nouns,0.67
1982,攻击,blits,nouns,3.38
1983,能力,nerth,nouns,2.35
1984,外国人,estron,nouns,3.62
1985,总和,undeb,nouns,0.37
1986,罕见,anarferol,adjectives,4.24
1987,钻石,arian,nouns,1.04
1988,吸收,tynnu'n ôl,verbs,0.4
1989,出现,gadael,verbs,0.05
1990,排外主义,hiliaeth,nouns,3.29
1991,自信,agwedd,nouns,1.23
1992,岛,tasg,nouns,0.0
1993,模拟,roboteg,nouns,0.43
1994,重,mawr,adjectives,0.72
1995,害怕,swil,adjectives,1.46
1996,小马,ceffyl,nouns,3.63
1997,目标,cwest,nouns,1.55
1998,快,chwim,adjectives,5.2
1999,眼睛,deigryn,nouns,0.68
2000,派对,pobl,nouns,0.64
2001,争论,cytuno,verbs,0.23
2002,剩余,gwahaniaeth,nouns,2.88
2003,文学,gair,nouns,1.65
2004,奶昔,sudd,nouns,0.73
2005,诈骗,trosedd,nouns,2.71
2006,国会,senedd,nouns,2.56
2007,离开,mynd i mewn,verbs,0.28
2008,立即,yn fuan,adverbs,1.96
2009,真诚地,fel arfer,adverbs,0.2
2010,种子,melin,nouns,0.19
2011,兄弟会,dynion,nouns,1.23
2012,儿子,bachgen,nouns,3.4
2013,喝,llyncu,verbs,1.92
2014,有时,yn sicr,adverbs,0.0
2015,喉咙,trwyn,nouns,0.29
2016,欺骗,cafflo,verbs,3.37
2017,合唱团,eglwys,nouns,0.39
2018,奇怪,arferol,adjectives,0.09
2019,武器,helmed,nouns,0.54
2020,大自然,fflora,nouns,1.91
2021,幼稚,diniwed,adjectives,4.41
2022,知道,deall,verbs,2.94
2023,水,coroni,nouns,0.04
2024,航空电子学,awyrennaeth,nouns,3.75
2025,牙医,orthodontydd,nouns,3.94
2026,蜥蜴,crocodeil,nouns,0.72
2027,工作,rheolaeth,nouns,0.43
2028,哥哥,tad,nouns,0.64
2029,才能,gallu,nouns,4.24
2030,管理,llygoden,nouns,0.0
2031,神圣,gwerthfawr,adjectives,1.52
2032,油,minc,nouns,0.0
2033,受惊,wedi cyffroi,adjectives,1.23
2034,黎明,nos,nouns,0.2
2035,得到,aros,verbs,0.04
2036,运输,codi,verbs,1.38
2037,沐浴,log,nouns,0.0
2038,公主,priodferch,nouns,0.54
2039,喝,codi,verbs,0.0
2040,愤怒,treisgar,adjectives,1.46
2041,搏斗,chwarae,verbs,0.28
2042,欲望,eisiau,verbs,4.39
2043,芝士,bara,nouns,0.43
2044,玻璃,bathodyn,nouns,0.04
2045,割礼,blaengroen,nouns,0.77
2046,大象,deinosor,nouns,0.19
2047,喇叭,drwm,nouns,0.2
2048,天文,enfawr,adjectives,0.24
2049,故事,pensil,nouns,0.29
2050,杯子,jar,nouns,1.6
2051,问,anwybyddu,verbs,0.09
2052,椅子,gwely,nouns,0.48
2053,球,basged,nouns,0.1
2054,戏法,gwn,nouns,0.04
2055,孩子气,ffôl,adjectives,2.5
2056,保护,gorchuddio,verbs,1.09
2057,大厦,ystafell,nouns,0.64
2058,坏,brawychus,adjectives,0.77
2059,锥形蛋筒,cwpan,nouns,0.51
2060,启,cychwyn,verbs,5.08
2061,需要,trefnu,verbs,0.0
2062,头脑风暴,telesgop,nouns,0.0
2063,哨,stopio,verbs,0.05
2064,模仿,dal,verbs,0.0
2065,艰难,anodd,adjectives,4.78
2066,大厅,eil,nouns,0.14
2067,完全地,o ychydig,adverbs,0.05
2068,可靠地,yn oddefol,adverbs,0.1
2069,卧室,gwely,nouns,1.36
2070,牛扒,cyw iâr,nouns,0.54
2071,有价值,arbennig,adjectives,1.27
2072,肝脏,organ,nouns,2.12
2073,赚,haeddu,verbs,0.94
2074,母鸡,twrci,nouns,2.13
2075,父亲,rhiant,nouns,3.58
2076,汽车,modur,nouns,5.41
2077,家,cyflwr,nouns,0.0
2078,大气层,osôn,nouns,2.17
2079,兄弟,chwaer,nouns,1.94
2080,舌头,gwddf,nouns,0.61
2081,宽大,cul,adjectives,0.18
2082,组织,dod yn,verbs,0.0
2083,抓住,cipio,verbs,3.6
2084,苗条,tenau,adjectives,4.17
2085,闻,difetha,verbs,0.0
2086,侄子,modryb,nouns,0.58
2087,赛跑运动员,athletwr,nouns,3.08
2088,自豪的,yn ddarostyngedig,adverbs,0.28
2089,矩阵,fector,nouns,1.2
2090,拥有,amsugno,verbs,0.38
2091,摇动,casglu,verbs,0.04
2092,个人,preifat,adjectives,4.04
2093,大教堂,nenfwd,nouns,0.1
2094,这里,nawr,adverbs,2.05
2095,洞察力,deallusrwydd,nouns,2.43
2096,奇怪,rhyfedd,adjectives,4.13
2097,冷静地,yn gadarn,adverbs,0.78
2098,小山,clogwyn,nouns,1.07
2099,打算,ymgeisio,verbs,1.46
2100,蜜蜂,morgrugyn,nouns,0.68
2101,试验,prawf,nouns,4.29
2102,狭窄,gwyn,adjectives,0.18
2103,小学生,myfyriwr,nouns,4.45
2104,沐浴,balŵn,nouns,0.0
2105,得到,colli,verbs,0.23
2106,新鲜,hen,adjectives,0.09
2107,大,cenedlaethol,adjectives,0.3
2108,加,adeiladu,verbs,1.05
2109,页,gair,nouns,0.4
2110,通常,yn afreolaidd,adverbs,0.28
2111,苏丹,gweinidogaeth,nouns,0.15
2112,书,damwain,nouns,0.0
2113,给予,benthyg,verbs,1.74
2114,棒,rhagorol,adjectives,5.38
2115,成功,ennill,verbs,3.92
2116,段,tudalen,nouns,0.85
2117,戒除,dechrau,verbs,0.0
2118,支持者,criced,nouns,0.05
2119,完成,cystadlu,verbs,0.0
2120,脏,gludiog,adjectives,0.62
2121,主题,llyfr,nouns,1.3
2122,咬,darllen,verbs,0.0
2123,相反,unigryw,adjectives,0.5
2124,大,hyblyg,adjectives,0.24
2125,人,cymeriad,nouns,3.68
2126,光线电话机,homoffon,nouns,0.15
2127,开心,gwallgof,adjectives,0.46
2128,海,delta,nouns,0.69
2129,承认,gwrthod,verbs,0.18
2130,加剧,ymosod,verbs,0.28
2131,暴力,blin,adjectives,1.46
2132,饮食,afal,nouns,0.71
2133,捕获,dal,verbs,3.6
2134,选择,pigo,verbs,3.92
2135,做,dinistrio,verbs,0.14
2136,渴,newynog,adjectives,1.71
2137,钱包,bag,nouns,1.35
2138,逃逸,darganfod,verbs,0.05
2139,公牛,llo,nouns,2.49
2140,获得,cael,verbs,4.22
2141,离开,cyfarfod,verbs,0.23
2142,旋律,cerddoriaeth,nouns,3.37
2143,猫,llygoden,nouns,0.43
2144,瞇,tywynnu,verbs,0.18
2145,踢,niweidio,verbs,1.21
2146,款待,talu,verbs,0.09
2147,自豪地,yn heddychlon,adverbs,0.14
2148,平面,cynfas,nouns,0.14
