ID,FIN,POL,PoS,score
1354,löytää,zniknąć,verbs,0.15
1355,ruohoalue,łąka,nouns,3.85
1356,vihainen,gwałtowny,adjectives,2.25
1357,matriisi,cząsteczka,nouns,0.1
1358,luonnollisesti,nienaturalnie,adverbs,0.2
1359,etsiä,dowiadywać się,verbs,2.05
1360,artikkeli,manuskrypt,nouns,1.35
1361,uskomus,kwiat,nouns,0.0
1362,yhtenäisesti,czasem,adverbs,0.05
1363,esteettömyys,cenzura,nouns,0.05
1364,aloittaa,startować,verbs,5.1
1365,työläinen,aparat,nouns,0.2
1366,ihmiset,balon,nouns,0.05
1367,heliumi,powietrze,nouns,1.05
1368,vaeltaa,szukać,verbs,1.0
1369,onnettomuus,książka,nouns,0.0
1370,ilmiselvästi,lokalnie,adverbs,0.0
1371,kulho,talerz,nouns,2.75
1372,koe,sylabus,nouns,0.4
1373,laakso,kanion,nouns,3.7
1374,liikkua,tkać,verbs,0.55
1375,työläinen,biuro,nouns,0.5
1376,erottaa,wyruszyć,verbs,0.2
1377,tietää,dać,verbs,0.25
1378,sotkuinen,uporządkowany,adjectives,0.15
1379,voileipä,mięso,nouns,0.45
1380,luvata,przysięgać,verbs,4.65
1381,tarpeeton,konieczny,adjectives,0.2
1382,kirsikka,truskawka,nouns,1.9
1383,rukoilla,komunikować,verbs,0.4
1384,epäaito,prawdziwy,adjectives,0.2
1385,piirustus,zamieszki,nouns,0.0
1386,näppäimistö,światło,nouns,0.0
1387,aggressio,wrogość,nouns,4.8
1388,puu,klon,nouns,3.15
1389,tarpeellinen,niepotrzebny,adjectives,0.2
1390,teatteri,bateria,nouns,0.0
1391,hyökkäys,szturm,nouns,4.75
1392,itsepäinen,głupi,adjectives,0.65
1393,luonto,flora,nouns,2.75
1394,etu,akcje,nouns,0.1
1395,aikakausi,dekada,nouns,2.35
1396,ottaa,kraść,verbs,1.55
1397,myrsky,śnieg,nouns,0.95
1398,vaimo,cent,nouns,0.05
1399,tuore,stary,adjectives,0.2
1400,kuppi,słoik,nouns,2.15
1401,tiedustella,myśleć,verbs,0.5
1402,hyväksyä,odmawiać,verbs,0.2
1403,pysähtyä,zabraniać,verbs,0.9
1404,tunteellisesti,smutno,adverbs,1.5
1405,jumala,diabeł,nouns,0.7
1406,petos,korupcja,nouns,3.3
1407,haistaa,psuć,verbs,0.65
1408,kumota,zezwalać,verbs,0.25
1409,taideteos,artysta ,nouns,0.95
1410,kirkua,wrzeszczeć,verbs,5.05
1411,mehu,łyżka,nouns,0.1
1412,virka,szybkość,nouns,0.0
1413,hyötyä,zbierać,verbs,1.1
1414,sulhanen,panna młoda,nouns,1.05
1415,maapallo,świat,nouns,4.3
1416,ilmoittaa,uznawać,verbs,1.0
1417,kouluttaja,nauczyciel,nouns,4.7
1418,väkijuoma,stulecie,nouns,0.05
1419,apina,kampania,nouns,0.0
1420,mehiläinen,królowa,nouns,0.75
1421,pahentaa,napadać,verbs,0.65
1422,lapsi,dorosły,nouns,0.5
1423,sankari,bohaterka,nouns,4.3
1424,kuolema,pochówek,nouns,1.25
1425,hirviö,demon,nouns,4.25
1426,pohjoinen,południe,nouns,0.7
1427,typerä,łatwowierny,adjectives,2.05
1428,aamunkoitto,dzień,nouns,2.05
1429,sopimus,dziura,nouns,0.0
1430,ase,ludzie,nouns,0.0
1431,levoton,młody,adjectives,0.5
1432,liiketoiminta,firma,nouns,4.0
1433,päivä ,poranek,nouns,2.1
1434,kellari,drzwi,nouns,0.3
1435,iltahämärä,wieczór,nouns,4.1
1436,jäädä eläkkeelle,wycofać się,verbs,2.0
1437,tyydyttää,rozumieć,verbs,0.2
1438,vuosisata,dekada,nouns,1.05
1439,mekaaninen,elektryczny,adjectives,0.75
1440,kana,kolacja,nouns,0.85
1441,ilmailuelektroniikka,aeronautyka,nouns,1.95
1442,kuvata,naśladować,verbs,0.5
1443,korruptio,oszustwo,nouns,3.3
1444,sallia,obalać,verbs,0.25
1445,sininen,czerwony,adjectives,0.6
1446,ei koskaan,chojnie,adverbs,0.05
1447,auto,most,nouns,0.15
1448,normaali,dziwaczny,adjectives,0.2
1449,kuljettaja,pilot,nouns,2.6
1450,vuosi,stulecie,nouns,1.3
1451,lisätä,dzielić,verbs,0.45
1452,koripallo,baseball,nouns,1.95
1453,tulla,organizować,verbs,0.05
1454,helppo,ciężki,adjectives,0.2
1455,peukalo,ręka,nouns,1.7
1456,armeija,legion,nouns,2.85
1457,maksa,organ,nouns,2.85
1458,sivuuttaa,drukować,verbs,0.0
1459,puuvilla,sweter,nouns,0.95
1460,perinne,rękodzieło,nouns,0.2
1461,kapea,szeroki,adjectives,0.15
1462,kurkku,język,nouns,1.25
1463,lattia,dach,nouns,0.75
1464,ase,świt,nouns,0.0
1465,torni,dzwon,nouns,0.5
1466,häntä,klif,nouns,0.0
1467,hampaat,młotek,nouns,0.0
1468,pilli,żona,nouns,0.0
1469,arvokas,specjalny,adjectives,2.55
1470,salaa,śmiało,adverbs,0.05
1471,persilja,babeczka,nouns,0.2
1472,vastaanottaa,osiągnąć,verbs,1.35
1473,osua,pociągać,verbs,0.0
1474,vartalo,nerw,nouns,0.7
1475,vahvasti,oficjalnie,adverbs,0.6
1476,työnantaja,pracownik,nouns,1.05
1477,herttua,republika,nouns,0.2
1478,jakaa,łączyć,verbs,0.3
1479,väitellä,argumentować,verbs,4.05
1480,käsivarsi,szyja,nouns,0.75
1481,lippu,słup,nouns,0.5
1482,valita,odrzucić,verbs,0.2
1483,iloinen,szczęśliwy,adjectives,4.3
1484,ateria,talia,nouns,0.1
1485,teatteri,film,nouns,0.85
1486,päivä,noc,nouns,0.65
1487,koko,wielkość,nouns,5.5
1488,helppo,skomplikowany,adjectives,0.2
1489,virkkaus,mundur,nouns,0.0
1490,luokka,koledż,nouns,0.55
1491,elämäkerta,fikcja,nouns,0.65
1492,terminaalisesti,inaczej,adverbs,0.4
1493,järvi,bagno,nouns,1.05
1494,tarina,piosenka,nouns,0.65
1495,kumppani,kochanek,nouns,2.1
1496,antaa anteeksi,rozumieć,verbs,1.55
1497,huone,łóżko,nouns,0.6
1498,maja,schronienie,nouns,2.1
1499,koriste,ściana,nouns,0.4
1500,varastaa,brać,verbs,1.55
1501,käytös,droga,nouns,2.35
1502,huolellisesti,bezpiecznie,adverbs,4.25
1503,rikkoa,pękać,verbs,3.75
1504,pohja,bok,nouns,0.45
1505,naida,angażować,verbs,1.45
1506,tähtitieteellinen,ogromny,adjectives,2.05
1507,juoda,połykać,verbs,2.4
1508,omistaa,absorbować,verbs,0.75
1509,antaa anteeksi,akceptować,verbs,1.95
1510,läksyt,esej,nouns,2.2
1511,vahvuus,wytrzymałość,nouns,3.3
1512,poika,brat,nouns,1.6
1513,kiistää,dać,verbs,0.0
1514,kieli,mięsień,nouns,1.55
1515,häntä,rozdział,nouns,0.0
1516,omena,sok,nouns,0.65
1517,virsi,podbój,nouns,0.0
1518,puumateriaali,papier,nouns,1.2
1519,kumppani,kumpel,nouns,4.0
1520,ymmärtää,pojmować,verbs,4.95
1521,tavata,pozdrawiać,verbs,1.3
1522,valinta,opinia,nouns,0.75
1523,pää,nos,nouns,1.1
1524,mukavuus,bezpieczeństwo,nouns,1.05
1525,likainen,wąski,adjectives,0.0
1526,vesi,lód,nouns,1.65
1527,myydä,iść,verbs,0.1
1528,atomi,węgiel,nouns,1.4
1529,voittaja,kandydat,nouns,0.9
1530,milloin tahansa,czasem,adverbs,1.2
1531,keitetty,gotowany,adjectives,3.7
1532,vapaus,oaza,nouns,0.3
1533,aamunkoitto,noc,nouns,0.6
1534,sormus,zaręczyny,nouns,0.9
1535,mies,wartownik,nouns,1.65
1536,ateria,wieczerza,nouns,4.0
1537,vedota,pytać,verbs,1.05
1538,vaatteet,płaszcz,nouns,2.45
1539,tehdä yhteistyötä,złączyć,verbs,1.15
1540,koko,trik,nouns,0.0
1541,kolahtaa,rozbić,verbs,1.05
1542,painovoima,meteor,nouns,0.25
1543,teoria,twierdzenie,nouns,3.95
1544,demokratia,monarchia,nouns,1.1
1545,hienostonut,dojrzały,adjectives,1.35
1546,naida,jednoczyć,verbs,1.55
1547,koti,stan,nouns,0.05
1548,haista,cuchnąć,verbs,5.6
1549,pehmeä,gwałtowny,adjectives,0.1
1550,tunnustus,wyparcie,nouns,0.3
1551,iso,ciężki,adjectives,1.2
1552,neuroosi,umysł,nouns,0.65
1553,kuuluisuus,bogactwo,nouns,0.6
1554,jumala,ofiara,nouns,0.0
1555,eläin,bestia,nouns,2.6
1556,kuningas,władca,nouns,4.75
1557,jättää,pojawić się,verbs,0.25
1558,pallo,rakieta,nouns,0.4
1559,kristalli,szkło,nouns,2.45
1560,lainata,sprzedawać,verbs,0.15
1561,kokoontua,uczęszczać,verbs,1.95
1562,tehdas,samochód,nouns,0.2
1563,melodia,rytm,nouns,1.75
1564,summa,unia,nouns,0.55
1565,märkä,klejący,adjectives,0.8
1566,valtaistuin,miecz,nouns,0.1
1567,epäsäännöllisesti,zwykle,adverbs,0.3
1568,antaa,wiedzieć,verbs,0.25
1569,siepata,kraść,verbs,2.0
1570,liueta,wymieszać,verbs,1.25
1571,rehellisesti,szczerze,adverbs,4.9
1572,makuuhuone,rower,nouns,0.0
1573,käsivarsi,kolano,nouns,0.95
1574,vartiomies,mężczyzna,nouns,1.65
1575,lautanen,miska,nouns,2.75
1576,valloitus,hymn,nouns,0.0
1577,riisi,kurczak,nouns,0.35
1578,auto,łódź,nouns,0.75
1579,korottaa,rosnąć,verbs,1.95
1580,ovela,dziwny,adjectives,0.2
1581,aamunkoitto,pistolet,nouns,0.0
1582,ravistaa,mieszać,verbs,1.95
1583,vaikea,prosty,adjectives,0.2
1584,viehättää,uderzyć,verbs,0.0
1585,saada kiinni,otrzymywać,verbs,0.7
1586,gini,alkohol,nouns,3.35
1587,ihastuttava,wesoły,adjectives,1.1
1588,myöntää,zaprzeczać,verbs,0.2
1589,eriskummallinen,dziwny,adjectives,4.7
1590,aktiivisesti,szczęśliwie,adverbs,0.55
1591,omituisesti,inaczej,adverbs,2.0
1592,professori,student,nouns,0.7
1593,kuukausipalkka,opłata,nouns,1.45
1594,luoja,wytwórca,nouns,3.45
1595,televisio,aktor,nouns,0.7
1596,filmi,ekranizacja,nouns,4.9
1597,iso,narodowy,adjectives,0.1
1598,huoltaja,matka,nouns,3.0
1599,ranta,wyspa,nouns,1.3
1600,alkaa,zaczynać,verbs,5.1
1601,emolevy,płyta główna,nouns,3.7
1602,pujotella,ruszać,verbs,0.55
1603,kärsimätön,zaniepokojony,adjectives,1.5
1604,väkivaltainen,bierny,adjectives,0.1
1605,elokuva,teatr,nouns,0.85
1606,muoti,tryb,nouns,0.05
1607,kohdella,płacić,verbs,0.2
1608,etikka,sałatka,nouns,0.35
1609,jalkaterä,głowa,nouns,0.75
1610,valuutta,wymiana,nouns,0.25
1611,liiketoiminta,przemysł,nouns,2.1
1612,hullu,niepoczytalny,adjectives,4.75
1613,sänky,żłób,nouns,1.8
1614,murhe,wstyd,nouns,0.95
1615,äänekkäästi,cicho,adverbs,0.05
1616,sulkea,dążyć,verbs,0.0
1617,kirjallisuus,słowo,nouns,1.4
1618,torjua,potępić,verbs,2.0
1619,sähköinen,słodki,adjectives,0.0
1620,kappeli,kabel,nouns,0.05
1621,mehu,jabłko,nouns,0.65
1622,hyväntuulinen,szczęśliwy,adjectives,4.1
1623,käsivarsi,gałęź,nouns,0.2
1624,enkeli,demon,nouns,0.5
1625,ylpeästi,pokojowo,adverbs,0.0
1626,rabbi,nauczyciel,nouns,2.25
1627,suuresti,jasno,adverbs,0.65
1628,evakuoida,ustalać,verbs,0.05
1629,tiili,ściana,nouns,0.75
1630,villapaita,bawełna,nouns,0.95
1631,äiti,opiekun,nouns,3.0
1632,kuolettavasti,szczęśliwie,adverbs,0.0
1633,todella,perfekcyjnie,adverbs,1.65
1634,tehdä,rezygnować,verbs,0.25
1635,ottaa,nieść,verbs,0.25
1636,aina,dwukrotnie,adverbs,0.45
1637,kiistellä,narzekać,verbs,1.4
1638,supistaa,ograniczać,verbs,3.95
1639,miekka,środowisko,nouns,0.0
1640,vaatimaton,zawstydzony,adjectives,0.85
1641,luu,zęby,nouns,2.15
1642,sormi,dłoń,nouns,0.7
1643,maila,hałas,nouns,0.1
1644,hyväksyä,polecać,verbs,0.8
1645,armahtaa,wybaczać,verbs,4.2
1646,tiivis,tępy,adjectives,0.0
1647,nöyryyttää,pocieszać,verbs,0.0
1648,tukahduttaa,przytłaczać,verbs,1.65
1649,jäytää,blaknąć,verbs,0.65
1650,lykätä,skończyć,verbs,0.3
1651,tavata,pływać,verbs,0.0
1652,iloinen,obłąkany,adjectives,0.05
1653,näyttö,monitor,nouns,5.2
1654,kuolema,katastrofa,nouns,1.45
1655,pesäpallo,kanapa,nouns,0.25
1656,elämäntapa,cywilizacja,nouns,0.75
1657,kova,prosty,adjectives,0.0
1658,presidentti,burmistrz,nouns,1.75
1659,nainen,zadanie,nouns,0.0
1660,ottaa,posiąść,verbs,1.75
1661,moninkertainen,dwukrotnie,adverbs,1.05
1662,täsmällisesti,dokładnie,adverbs,5.65
1663,lattia,drzwi,nouns,0.65
1664,muistuttaa,powiedzieć,verbs,1.45
1665,vilpittömästi,poważnie,adverbs,1.85
1666,juoruilu,wiadomości,nouns,1.35
1667,tervehtiä,spotykać,verbs,1.3
1668,muodostaa,robić,verbs,3.05
1669,turvallisuus,wygoda,nouns,1.05
1670,alue,region,nouns,4.85
1671,sammal,trawa,nouns,1.25
1672,tarpeellinen,ważny,adjectives,4.45
1673,purra,walczyć,verbs,0.95
1674,tulivuori,magma,nouns,1.5
1675,kaneli,cukierek,nouns,0.25
1676,käsivarsi,mięsień,nouns,1.25
1677,ase,sierżant,nouns,0.25
1678,taivas,słońce,nouns,1.15
1679,syyttää,pchać,verbs,0.0
1680,auttaa,chronić,verbs,2.3
1681,tärkeä,kluczowy,adjectives,4.85
1682,mennä,zaczynać,verbs,0.35
1683,rauhanomaisesti,spokojnie,adverbs,3.85
1684,kyttä,drugi pilot,nouns,0.45
1685,vaatteet,sukno,nouns,1.05
1686,letku,samochód,nouns,0.25
1687,kuulla,słuchać,verbs,2.7
1688,hevonen,pies,nouns,1.1
1689,vapauttaa,naciskać,verbs,0.0
1690,tuleva,towarzyski,adjectives,0.65
1691,säästää,niszczyć,verbs,0.2
1692,dominoida,przezwyciężyć,verbs,2.1
1693,leiri,domek,nouns,0.5
1694,merkittävä,pomniejszy,adjectives,0.2
1695,tähti,jasność,nouns,0.95
1696,imeä itseensä,uczyć się,verbs,1.5
1697,pakti,porozumienie,nouns,4.8
1698,sauvaohjain,radar,nouns,0.2
1699,kirja,informacja,nouns,0.85
1700,nolla,nieskończoność,nouns,0.3
1701,tuhota,tworzyć,verbs,0.2
1702,välttämätön,ważny,adjectives,4.85
1703,hevonen,wół,nouns,1.65
1704,aamiainen,bekon,nouns,1.1
1705,passiivisesti,cicho,adverbs,0.95
1706,täysikasvuinen,niedojrzały,adjectives,0.2
1707,totella,słuchać,verbs,1.3
1708,hallittu,niechlujny,adjectives,0.15
1709,kadottaa,dostać,verbs,0.05
1710,veistos,statua,nouns,5.25
1711,nappi,ubrania,nouns,1.0
1712,oppimaton,regularny,adjectives,0.0
1713,auto,klakson,nouns,0.1
1714,yhdistys,klub,nouns,4.4
1715,ryhmä,lista,nouns,1.0
1716,voittaa,pobić,verbs,2.25
1717,saippuavaahto,bańka,nouns,1.95
1718,sairas,szalony,adjectives,1.9
1719,varastaa,kupować,verbs,0.3
1720,rauhanomaisesti,dumnie,adverbs,0.0
1721,ilmiselvästi,najwyraźniej,adverbs,3.15
1722,tilanne,warunek,nouns,0.8
1723,päättää,osądzać,verbs,1.6
1724,peittelemätön,nieujawniony,adjectives,0.1
1725,öljy,norka,nouns,0.1
1726,senaatti,konstytucja,nouns,0.75
1727,rangaista,uderzyć,verbs,0.75
1728,kiistellä,uczęszczać,verbs,0.15
1729,erityinen,wartościowy,adjectives,2.55
1730,sanakirja,słowo,nouns,1.05
1731,ulkomaalainen,tłumacz,nouns,0.2
1732,sinkki,złoto,nouns,0.95
1733,heikko,pikantny,adjectives,0.0
1734,auto,taksówka,nouns,3.35
1735,rytmi,wiersz,nouns,0.6
1736,merkittävästi,oficjalnie,adverbs,1.1
1737,radikaali,gwałtowny,adjectives,1.7
1738,käsivarsi,żyła,nouns,0.3
1739,kaaos,anarchia,nouns,4.1
1740,niellä,pić,verbs,2.4
1741,seurata,ścigać,verbs,3.4
1742,pyrkiä,przejąć,verbs,0.0
1743,tahmea,mokry,adjectives,0.8
1744,avain,korona ,nouns,0.05
1745,helmi,pieniądze,nouns,0.3
1746,käytävä,drzwi,nouns,0.4
1747,muoti,styl,nouns,4.15
1748,psykologia,nauka,nouns,2.05
1749,ortodontti,dentysta,nouns,3.75
1750,kokoontua,spotykać się,verbs,4.25
1751,baari,więzienie,nouns,0.25
1752,kastella,redukować,verbs,0.0
1753,erottaa,przyłączać,verbs,0.2
1754,setä,mężczyzna,nouns,2.35
1755,kappeli,iglica,nouns,1.15
1756,liina,ubrania,nouns,1.05
1757,kalenteri,święto,nouns,0.9
1758,laulaa,unosić się,verbs,0.0
1759,kuunnella,słyszeć,verbs,2.7
1760,koju,telefon,nouns,0.65
1761,arvosana,szkoła,nouns,0.75
1762,puro,rzeka,nouns,2.65
1763,vaatetettu,przykryty,adjectives,2.15
1764,laskimo,wybór,nouns,0.0
1765,ihmiset,przyjęcie,nouns,0.55
1766,vartalo,krew,nouns,0.7
1767,merenranta,plaża,nouns,3.5
1768,tuonpuoleinen,czyściec,nouns,2.05
1769,elin,wątroba,nouns,2.85
1770,pala,lotnisko,nouns,0.0
1771,voittaa,dominować,verbs,1.75
1772,virkailija,deputowany,nouns,1.05
1773,aggressiivinen,niegrzeczny,adjectives,2.3
1774,kummallinen,przebiegły,adjectives,0.2
1775,kysyä,modlić się,verbs,0.55
1776,luokka,chaos,nouns,0.05
1777,sovellus,galaktyka,nouns,0.0
1778,sivu,słowo,nouns,0.5
1779,selvin päin oleva,pijany,adjectives,0.2
1780,uusi,niedawny,adjectives,3.5
1781,aviomies,żona,nouns,1.0
1782,nöyrästi,marnie,adverbs,0.1
1783,pestä,płukać,verbs,3.15
1784,luoda,niszczyć,verbs,0.2
1785,päiväkoti,przedszkole,nouns,2.2
1786,saada,stracić,verbs,0.05
1787,pohjimmiltaan,zupełnie,adverbs,1.3
1788,kadenssi,rytm,nouns,1.4
1789,suisto,morze,nouns,1.1
1790,nuori,niespokojny,adjectives,0.5
1791,viikonloppu,tydzień,nouns,1.25
1792,unohtaa,zatrzymywać,verbs,0.35
1793,avustaa,wspomagać,verbs,4.6
1794,presidentti,polityk,nouns,3.5
1795,lyhyt,długi,adjectives,0.2
1796,aito,fałszywy,adjectives,0.2
1797,työkalu,praca,nouns,0.65
1798,omena,cukierek,nouns,0.35
1799,antaa,kraść,verbs,0.15
1800,viisumi,globalizm,nouns,0.25
1801,esilämmitys,odgrzewać,nouns,1.35
1802,saada,nabyć,verbs,2.45
1803,kuluttaa,oszczędzać,verbs,0.25
1804,kilpaileminen,filozof,nouns,0.0
1805,palvelustyttö,pomocnik,nouns,1.7
1806,avioliiton ulkopuolinen,niecenzuralny,adjectives,0.1
1807,tiedottaa,polerować,verbs,0.0
1808,töykeä,głośny,adjectives,0.75
1809,korkeus,konwersja,nouns,0.2
1810,purkki,butelka,nouns,1.65
1811,uudelleenhautaaminen,grób,nouns,1.45
1812,iskeä,chybić,verbs,0.25
1813,miljonääri,dolar,nouns,0.55
1814,ystävä,facet,nouns,1.05
1815,elegantisti,pięknie,adverbs,3.7
1816,mies,podejrzany,nouns,0.4
1817,kovakouraisesti,marginalnie,adverbs,0.6
1818,hallita,zatrzymywać,verbs,0.4
1819,käyttökelpoinen,niemożliwy,adjectives,0.2
1820,paeta,uciec,verbs,5.65
1821,päivittäin,normalnie,adverbs,1.55
1822,kansi,mysz,nouns,0.0
1823,isä,matka,nouns,1.3
1824,tarkalleen,niedokładnie,adverbs,0.2
1825,omena,sos,nouns,0.4
1826,lasi,odznaka,nouns,0.05
1827,teoria,chemia,nouns,0.55
1828,tuoda,wysyłać,verbs,0.4
1829,härkä,koń,nouns,1.65
1830,reikä,żona,nouns,0.0
1831,lähde,pudełko,nouns,0.0
1832,uskomus,wartość,nouns,1.6
1833,isä,syn,nouns,1.25
1834,kuulla,mówić,verbs,0.7
1835,lainrikkoja,kryminalista,nouns,5.3
1836,ikävä,pewny,adjectives,0.05
1837,sää,fala,nouns,0.15
1838,mekaanisesti,idealnie,adverbs,0.3
1839,hämätä,uczyć się,verbs,0.0
1840,kaura,pole,nouns,0.95
1841,hermo,mózg,nouns,1.3
1842,varastaa,nabyć,verbs,1.1
1843,bändi,orkiestra,nouns,4.2
1844,nilkka,łokieć,nouns,1.1
1845,häpeissään oleva,skromny,adjectives,0.85
1846,raivo,gniew,nouns,4.45
1847,hallitsija,król,nouns,4.75
1848,planeetta,gwiazda,nouns,2.0
1849,tukahduttaa,przytulić,verbs,0.25
1850,nauttia,nienawidzić,verbs,0.15
1851,kori,piłka,nouns,0.45
1852,toiminta,bieg,nouns,0.55
1853,kauniisti,elegancko,adverbs,3.7
1854,uskollisesti,szczerze,adverbs,2.05
1855,suuri,duży,adjectives,5.6
1856,lähettää,otrzymywać,verbs,0.45
1857,koettaa,zamierzać,verbs,2.15
1858,tihkusade,deszcz,nouns,3.85
1859,täällä,teraz,adverbs,0.85
1860,kummallinen,dziwaczny,adjectives,5.6
1861,ystävä,matka,nouns,0.8
1862,kiillottaa,informować,verbs,0.0
1863,keidas,wolność,nouns,0.3
1864,normaalisti,nienormalnie,adverbs,0.2
1865,kysyä,pomagać,verbs,0.2
1866,typerä,uparty,adjectives,0.65
1867,vaeltaa,odchodzić,verbs,0.35
1868,kaveri,przyjaciel,nouns,4.85
1869,letku,ogród,nouns,0.5
1870,veli,ojciec,nouns,1.0
1871,jättää,wchodzić,verbs,0.25
1872,lumivyöry,śnieg,nouns,1.9
1873,elokuvateatteri,opera,nouns,1.4
1874,kiistää,przyznawać,verbs,0.2
1875,suuresti,niewiarygodnie,adverbs,1.05
1876,kiistää,akceptować,verbs,0.2
1877,mekko,taniec,nouns,0.1
1878,retki,podróż,nouns,4.85
1879,vetäytyä,zstępować,verbs,1.25
1880,tuhota,ratować,verbs,0.2
1881,omituinen,dziwaczny,adjectives,4.75
1882,sitruuna,herbata,nouns,0.3
1883,lehti,drzewo,nouns,1.05
1884,kortti,brydż,nouns,0.5
1885,lannistaa,zmartwić,verbs,1.0
1886,palauttaa,zastąpić,verbs,1.2
1887,kylmä,zwyczajny,adjectives,0.0
1888,tavu,lemma,nouns,0.55
1889,sopimus,argument,nouns,0.4
1890,moderni,starożytny,adjectives,0.2
1891,todentaa,uzasadniać,verbs,1.7
1892,atomi,cząsteczka,nouns,2.9
1893,joki,dolina,nouns,0.65
1894,huolellisesti,niebezpiecznie,adverbs,0.05
1895,taimi,liść,nouns,0.7
1896,sade,mżawka,nouns,3.85
1897,karkeasti,niecierpliwie,adverbs,0.95
1898,joustava,skromny,adjectives,0.25
1899,pelokas,zaniepokojony,adjectives,3.35
1900,täysin,wyłącznie,adverbs,2.6
1901,tehtävä,szosa,nouns,0.05
1902,elokuvateatteri,telewizja,nouns,0.85
1903,hakija,aplikacja,nouns,0.8
1904,maila,piłka,nouns,0.4
1905,mitali,adidasy,nouns,0.1
1906,nõyrästi,dumnie,adverbs,0.3
1907,rangaista,uczyć,verbs,0.35
1908,tuomita,decydować,verbs,1.6
1909,lusikka,sok,nouns,0.1
1910,sanoa,uczestniczyć,verbs,0.25
1911,yö,rozdział,nouns,0.0
1912,häpeä,smutek,nouns,0.95
1913,sivuuttaa,eksplorować,verbs,0.0
1914,kouluttaa,uczyć  ,verbs,4.75
1915,museo,mennica,nouns,0.05
1916,auto,ciężarówka,nouns,3.45
1917,kuume,grypa,nouns,2.05
1918,sallittu,legalny,adjectives,4.35
1919,ilmiselvästi,pobieżnie,adverbs,0.1
1920,yhtye,trunek,nouns,0.0
1921,puutarha,wąż ogrodowy,nouns,0.5
1922,nykyään,delikatnie,adverbs,0.0
1923,onnettomuus,katastrofa,nouns,4.4
1924,luku,liczba,nouns,4.85
1925,enimmäkseen,głównie,adverbs,5.0
1926,suuri,giętki,adjectives,0.2
1927,lisätä,budować,verbs,0.9
1928,teoreema,teoria,nouns,3.95
1929,sivuuttaa,pytać,verbs,0.0
1930,ruoskia,bić,verbs,3.45
1931,usva,deszcz,nouns,1.4
1932,kuoro,kościół,nouns,0.8
1933,ortodontti,doktor,nouns,2.8
1934,voittaja,obecność,nouns,0.05
1935,luoda,budować,verbs,3.9
1936,roikkua,kłaść,verbs,0.2
1937,osallistua,argumentować,verbs,0.15
1938,sivuuttaa,zostawić,verbs,1.95
1939,keuhko,wątroba,nouns,1.25
1940,viski,alkohol,nouns,2.9
1941,halata,trzymać,verbs,1.3
1942,metalli,aluminium,nouns,2.7
1943,tienraivaaja,łucznik,nouns,0.85
1944,veli,syn,nouns,1.6
1945,aggressiivinen,wygięty,adjectives,0.0
1946,tauti,infekcja,nouns,3.2
1947,kiireellisesti,szybko,adverbs,4.55
1948,sänky,pokój,nouns,0.6
1949,valmiudet,siła,nouns,1.35
1950,nuhdella,rządać,verbs,0.85
1951,pilata,śmierdzieć,verbs,0.65
1952,häpeissään oleva,pomyślny,adjectives,0.1
1953,vapauttaa,złapać,verbs,0.2
1954,lainata,być dłużnym,verbs,2.35
1955,vaivata,przeszkadzać,verbs,3.95
1956,laaja,wąski,adjectives,0.15
1957,kiistää,kłamać,verbs,0.95
1958,teeskennellä,ukazywać,verbs,0.3
1959,viikko,weekend,nouns,1.25
1960,päivällinen,śniadanie,nouns,1.0
1961,robotiikka,symulacja,nouns,0.8
1962,kunnioitus,honor,nouns,2.2
1963,paristo,teatr,nouns,0.0
1964,torjunta-aine,szkodnik,nouns,1.05
1965,työläinen,mechanik,nouns,2.4
1966,vakava,śmieszny,adjectives,0.25
1967,epäonnistua,polegać,verbs,0.1
1968,veljeskunta,baseball,nouns,0.0
1969,laskuoppi,logika,nouns,1.05
1970,matto,dom,nouns,0.35
1971,molekyyli,atom,nouns,2.9
1972,läsnäolo,zwycięzca,nouns,0.05
1973,täsmällisesti,aktywnie,adverbs,0.55
1974,uskomaton,zwykły,adjectives,0.25
1975,harjoitella,powtarzać,verbs,2.75
1976,valinta,wybory,nouns,2.4
1977,tänä iltana,dzisiaj,adverbs,2.8
1978,kasvu,nawóz,nouns,0.7
1979,samanaikaisuus,waluta,nouns,0.0
1980,metri,jard,nouns,2.65
1981,ostaa,płacić,verbs,2.55
1982,oksa,ramię,nouns,0.2
1983,elokuvateatteri,popcorn,nouns,0.4
1984,nepotismi,król,nouns,0.9
1985,kruunajaiset,woda,nouns,0.0
1986,raide,płot,nouns,0.4
1987,anatomia,biologia,nouns,2.3
1988,lammas,jagnię,nouns,4.15
1989,kummitella,wystraszyć,verbs,1.4
1990,kerho,znak,nouns,0.05
1991,viikottainen,miesięczny,adjectives,0.9
1992,auringonlasku,wieczór,nouns,2.2
1993,appelsiini,cytrus,nouns,3.75
1994,merimies,kapitan,nouns,2.8
1995,haluta,pragnąć,verbs,5.05
1996,löytää,nabyć,verbs,1.3
1997,rauhallisesti,stanowczo,adverbs,0.4
1998,alkoholi,koniak,nouns,3.05
1999,populaatio,ludzie,nouns,4.05
2000,valinta,żyła,nouns,0.0
2001,loukata,obrazić,verbs,5.1
2002,vakavasti,szczerze,adverbs,1.85
2003,artikkeli,książka,nouns,1.3
2004,näyttelijä,telewizja,nouns,0.7
2005,mennä,podróżować,verbs,3.05
2006,kylpy,trik,nouns,0.0
