ID,EST,FRA,PoS,score
1455,hauakamber,réinhumation,nouns,1.65
1456,haavatav,facile,adjectives,0.75
1457,uks,couloir,nouns,1.8
1458,põnevil,effrayé,adjectives,1.75
1459,hindama,apprendre,verbs,1.1
1460,peatuma,siffler,verbs,0.4
1461,kärbes,fourmi,nouns,2.0
1462,täiskasvanu,parent,nouns,3.55
1463,naerma,crier,verbs,1.5
1464,nuga,pistolet,nouns,2.7
1465,emaplaat,carte graphique,nouns,3.55
1466,trumm,guitare,nouns,1.9
1467,galerii,avocat,nouns,0.05
1468,uskumus,fleur,nouns,0.05
1469,avastama,ignorer,verbs,0.35
1470,heameelt tegema,divertir,verbs,1.85
1471,nisu,céréale,nouns,3.6
1472,poiss,frère,nouns,2.3
1473,kahur,ballon,nouns,1.15
1474,koridor,porte,nouns,1.8
1475,voodi,meuble,nouns,2.6
1476,tolmendamine,étamine,nouns,2.1
1477,prohvet,prêtre,nouns,2.0
1478,matma,mourir,verbs,1.55
1479,ettevaatlikult,soigneusement,adverbs,3.75
1480,riie,vêtement,nouns,2.65
1481,jääma,partir,verbs,1.1
1482,normaalne,bizarre,adjectives,1.2
1483,õnnetus,urgence,nouns,3.45
1484,deemon,monstre,nouns,4.2
1485,definitisioon,dictionnaire,nouns,2.45
1486,imelikult,différemment,adverbs,1.9
1487,mõtlema,se souvenir,verbs,2.6
1488,väärima,gagner,verbs,2.6
1489,väärtus,croyance,nouns,2.5
1490,säilitama,oublier,verbs,1.05
1491,tahtma,emprunter,verbs,0.8
1492,ehitama,créer,verbs,4.25
1493,lugeja,auteur,nouns,1.65
1494,juhtkond,emploi,nouns,1.85
1495,tekk,sol,nouns,1.85
1496,ebakindel,effrayé,adjectives,1.8
1497,tabama,viser,verbs,2.4
1498,pöörane,insensé,adjectives,5.3
1499,laulma,rire,verbs,1.15
1500,kerge,simple,adjectives,4.95
1501,saatma,assister,verbs,0.6
1502,unistus,ciel,nouns,0.8
1503,motell,auberge,nouns,4.15
1504,bänd,alcool,nouns,0.45
1505,aritmeetika,rythme,nouns,0.75
1506,suurus,astuce,nouns,0.05
1507,kohane,poli,adjectives,2.95
1508,voolik,jardin,nouns,1.0
1509,tekk,bateau,nouns,1.15
1510,vastupidavus,groupe,nouns,0.25
1511,patrull,armée,nouns,1.9
1512,veri,corps,nouns,1.85
1513,ots,chapitre,nouns,0.05
1514,välja vihastama,agresser,verbs,1.3
1515,rahvuslik,gros,adjectives,0.6
1516,süntaks,mot-clé,nouns,1.15
1517,geiser,source,nouns,3.75
1518,ideaalselt,mécaniquement,adverbs,0.35
1519,valik,prison,nouns,0.35
1520,kaitsma,défendre,verbs,5.05
1521,tavaline,incroyable,adjectives,0.95
1522,mesilane,reine,nouns,1.45
1523,saatma,apporter,verbs,1.35
1524,solvama,offenser,verbs,3.9
1525,peekon,petit déjeuner,nouns,1.2
1526,kabel,câble,nouns,0.05
1527,rahulikult,fermement,adverbs,0.8
1528,veenma,se disputer,verbs,1.45
1529,ehmunud,enthousiasmé,adjectives,1.75
1530,homofoon,photophone,nouns,0.35
1531,kaotama,soustraire,verbs,1.75
1532,peen,mature,adjectives,1.3
1533,hiiglasuur,grand,adjectives,4.15
1534,tugevalt,calmement,adverbs,0.8
1535,osuti,transparent,nouns,0.15
1536,tänav,voiture,nouns,1.05
1537,tavaline,froid,adjectives,0.4
1538,ohutu,légal,adjectives,2.1
1539,ebaviisakas,bruyant,adjectives,1.7
1540,poeg,père,nouns,2.25
1541,puuvijaaed,autruche,nouns,0.05
1542,kuu,planète,nouns,2.2
1543,inimene,animal,nouns,1.5
1544,elektriline,doux,adjectives,0.3
1545,automobiil,voiture,nouns,5.5
1546,andma,désavouer,verbs,0.25
1547,mikroskoop,biologiste,nouns,1.65
1548,instrument,violon,nouns,2.9
1549,õnnelik,fâché,adjectives,0.85
1550,loom,bête,nouns,5.15
1551,religioon,laïc,nouns,1.85
1552,õppima,confondre,verbs,0.8
1553,korjandus,développement,nouns,1.2
1554,eelarvamus,opinion,nouns,3.35
1555,keha,bras,nouns,1.7
1556,selgelt,certainement,adverbs,3.2
1557,ettevaatlikult,dangereusement,adverbs,0.6
1558,juhtkang,radar,nouns,0.3
1559,alkohol,whisky,nouns,2.95
1560,molekul,air,nouns,1.5
1561,lammutama,fracasser,verbs,4.55
1562,rumal,idiot,adjectives,5.5
1563,legend,morale,nouns,1.25
1564,tagasi lükkama,accepter,verbs,1.2
1565,kaklema,tuer,verbs,1.55
1566,kõrs,tâche,nouns,0.1
1567,kallis,paresseux,adjectives,0.25
1568,rikkuma,sentir,verbs,0.1
1569,naarits,fourrure,nouns,3.55
1570,hammustama,lire,verbs,0.1
1571,kristlane,protestant,nouns,3.45
1572,kuu,août,nouns,2.55
1573,odav,sale,adjectives,0.8
1574,nurk,surface,nouns,0.8
1575,valjult,subtilement,adverbs,0.65
1576,suund,action,nouns,1.95
1577,kerge,vulnérable,adjectives,0.75
1578,ärritunud,honteux,adjectives,0.75
1579,laine,météo,nouns,0.65
1580,luud,poussière,nouns,1.55
1581,kivi,bois,nouns,1.45
1582,välja tõstma,quitter,verbs,1.4
1583,lind,dinde,nouns,2.95
1584,kuju,sculpture,nouns,4.95
1585,eksam,programme,nouns,1.5
1586,kena,cruel,adjectives,0.55
1587,tunnistama,notifier,verbs,1.3
1588,pakk,camion,nouns,0.75
1589,reaalsus,illusion,nouns,1.65
1590,süda,chirurgie,nouns,1.2
1591,täiskasvanud,immature,adjectives,0.9
1592,artikkel,manuscrit,nouns,2.05
1593,valvur,homme,nouns,2.0
1594,konseptsioon,croyance,nouns,2.4
1595,rahvas,pistolet,nouns,0.25
1596,näitlejanna,acteur,nouns,4.7
1597,loll,idiot,adjectives,5.35
1598,kokkulangevus,cours,nouns,0.7
1599,härg,cheval,nouns,1.85
1600,saba,bol,nouns,0.05
1601,hoomama,lire,verbs,1.05
1602,rumal,stupide,adjectives,5.35
1603,kõht,chambre,nouns,0.15
1604,kriitiline,grossier,adjectives,0.95
1605,tooma,se plaindre,verbs,0.15
1606,kerge,difficile,adjectives,1.15
1607,hea,connu,adjectives,0.95
1608,säravalt,légèrement,adverbs,0.6
1609,käsivars,jambe,nouns,2.25
1610,voolama,dériver,verbs,2.05
1611,õhk,molécule,nouns,1.5
1612,heelium,air,nouns,2.1
1613,linnapea,président,nouns,2.05
1614,nutitelefon,ananas,nouns,0.05
1615,haiget tegema,attaque,verbs,2.5
1616,ühendama,attacher,verbs,3.8
1617,kange,facile,adjectives,0.25
1618,valuuta,concours,nouns,0.7
1619,eelarvamus,chauvin,nouns,0.85
1620,nurk,courbe,nouns,2.05
1621,teekond,promenade,nouns,4.3
1622,imperaator,constitution,nouns,1.0
1623,putka,boîte,nouns,1.55
1624,kool,droit,nouns,1.05
1625,lõpetama,résoudre,verbs,3.2
1626,segadus,hystérie,nouns,2.55
1627,skulptor,château,nouns,0.4
1628,privaatne,public,adjectives,1.6
1629,ebaviisakas,agressif,adjectives,2.45
1630,sammal,herbe,nouns,2.25
1631,kaer,champ,nouns,1.75
1632,vähetähtis,important,adjectives,1.0
1633,sipelgas,mouche,nouns,2.0
1634,auto,pont,nouns,0.6
1635,maatriks,molécule,nouns,0.55
1636,ülesanne,paille,nouns,0.1
1637,essee,livre,nouns,1.4
1638,haistma,gâcher,verbs,0.1
1639,proovima,réussir,verbs,1.85
1640,emotsioon,humeur,nouns,3.8
1641,nõudma,arguer,verbs,1.7
1642,sajand,année,nouns,2.2
1643,kirik,cathédrale,nouns,4.45
1644,hävitama,créer,verbs,1.05
1645,heegeldus,uniforme,nouns,0.25
1646,kaduma,se dissiper,verbs,5.3
1647,jäädvustama,imiter,verbs,0.7
1648,radiaator,capteur,nouns,0.6
1649,õde,scientifique,nouns,0.8
1650,peatükk,queue,nouns,0.05
1651,valjult,follement,adverbs,2.45
1652,pikk,étroit,adjectives,1.3
1653,põlgama,haïr,verbs,4.4
1654,haavatav,impuissant,adjectives,3.65
1655,auto,klaxon,nouns,1.45
1656,compass,éléphant,nouns,0.55
1657,ärritama,deviner,verbs,0.35
1658,kokku põrkama,emboutir,verbs,3.4
1659,täielikult,légèrement,adverbs,1.45
1660,nutma,sangloter,verbs,2.85
1661,tooma,restaurer,verbs,0.2
1662,vannituba,chambre à coucher,nouns,2.0
1663,kaklema,jouer,verbs,1.05
1664,oponent,adversaire,nouns,5.6
1665,häbi,chagrin,nouns,1.8
1666,stiil,mode,nouns,4.3
1667,otsima,chasser,verbs,2.1
1668,tipp,côté,nouns,1.5
1669,kaebama,apporter,verbs,0.15
1670,ülesanne,travail,nouns,3.95
1671,dieet,salade,nouns,1.3
1672,liikuma,tisser,verbs,0.35
1673,osalema,rassembler,verbs,1.15
1674,kurvalt,émotionnellement,adverbs,2.05
1675,vahekäik,entrée,nouns,1.4
1676,suurepärane,mal,adjectives,0.45
1677,teesklema,représenter,verbs,0.7
1678,surm,catastrophe,nouns,2.15
1679,kummaline,ordinaire,adjectives,1.15
1680,mõistma,écouter,verbs,2.0
1681,püüdma,saisir,verbs,0.4
1682,videvik,soir,nouns,4.3
1683,keskpärane,ennuyeux,adjectives,2.9
1684,sõber,mère,nouns,1.8
1685,hirmunud,nerveux,adjectives,1.9
1686,hulktahukas,acteur,nouns,0.15
1687,tapma,défendre,verbs,0.95
1688,leidma,échapper,verbs,0.5
1689,avastama,comprendre,verbs,3.15
1690,kõht,corps,nouns,2.3
1691,paat,ancre,nouns,1.65
1692,tegema,construire,verbs,3.55
1693,uitama,chercher,verbs,1.95
1694,kurat,dieu,nouns,1.85
1695,vürtsine,faible,adjectives,0.1
1696,tapma,se battre,verbs,1.55
1697,kirik,chœur,nouns,2.15
1698,rass,week-end,nouns,0.25
1699,kõht,veine,nouns,0.8
1700,kalender,vacances,nouns,1.7
1701,tõene,malhonnête,adjectives,0.8
1702,kaos,classe,nouns,0.3
1703,tegevus,mouvement,nouns,3.2
1704,heaks kiitma,permettre,verbs,3.65
1705,kokpit,copilote,nouns,1.45
1706,ankur,bateau,nouns,1.65
1707,mees,sentinelle,nouns,2.0
1708,abitu,vulnérable,adjectives,3.65
1709,kergelt,approximativement,adverbs,0.7
1710,tähendusrikkalt,spécialement,adverbs,1.85
1711,mootor,bateau,nouns,1.2
1712,õpetaja,assistant,nouns,2.15
1713,arheoloogia,anthropologie,nouns,2.1
1714,vilistama,arrêter,verbs,0.4
1715,õppima,oublier,verbs,1.0
1716,näitleja,chanteur,nouns,2.35
1717,õpetaja,ami,nouns,1.3
1718,allikas,boîte,nouns,0.0
1719,positiivselt,probablement,adverbs,1.15
1720,vannituba,cuisine,nouns,1.9
1721,pikk,court,adjectives,1.15
1722,sigar,boîte,nouns,0.95
1723,šovinist,préjudice,nouns,0.85
1724,lööma,punir,verbs,2.4
1725,näitleja,actrice,nouns,4.7
1726,apelsin,agrume,nouns,3.85
1727,regulaarselt,parfois,adverbs,2.1
1728,tuba,lit,nouns,0.9
1729,mehaaniliselt,idéalement,adverbs,0.35
1730,kuulma,parler,verbs,1.3
1731,vaene,fier,adjectives,0.6
1732,tihe,difficile,adjectives,2.1
1733,põiktänav,bol,nouns,0.0
1734,kuluma,permettre,verbs,0.25
1735,kohalolek,porte,nouns,0.35
1736,ball,costume,nouns,1.65
1737,vajalik,inutile,adjectives,1.1
1738,legaalne,sûr,adjectives,2.1
1739,tähendusrikkalt,profondément,adverbs,3.45
1740,uhke,pauvre,adjectives,0.6
1741,õrnalt,doucement,adverbs,3.0
1742,printsess,île,nouns,0.25
1743,relv,gens,nouns,0.25
1744,tavaliselt,rarement,adverbs,1.15
1745,põhi,sud,nouns,1.9
1746,kroonimine,eau,nouns,0.35
1747,tsitrus,orange,nouns,3.85
1748,vann,journal,nouns,0.0
1749,märkmik,pistolet,nouns,0.1
1750,kõri,langue,nouns,1.8
1751,satiir,mythe,nouns,1.5
1752,liit,somme,nouns,2.75
1753,film,théâtre,nouns,1.8
1754,vargus,criminalité,nouns,2.95
1755,halb,coupable,adjectives,2.05
1756,eraldama,partir,verbs,1.2
1757,säilitama,garder,verbs,4.55
1758,peenike,mince,adjectives,5.35
1759,hertsog,république,nouns,0.65
1760,veen,estomac,nouns,0.8
1761,kaamera,suite,nouns,0.2
1762,segama,cuisiner,verbs,1.6
1763,julm,dur,adjectives,3.6
1764,väärtuslik,spécial,adjectives,3.15
1765,saar,marine,nouns,0.85
1766,laenama,supplier,verbs,1.45
1767,laulja,acteur,nouns,2.35
1768,veen,choix,nouns,0.3
1769,peatükk,choix,nouns,0.8
1770,õudne,mal,adjectives,3.35
1771,mitte kunagi,négatif,adjectives,1.25
1772,dinosaurus,éléphant,nouns,1.25
1773,imenduma,posséder,verbs,0.95
1774,sõber,professeur,nouns,1.3
1775,tulema,arriver,verbs,4.5
1776,viha,humeur,nouns,2.7
1777,udu,pluie,nouns,2.95
1778,sild,carte,nouns,0.4
1779,kitsas,vaste,adjectives,0.7
1780,algama,aller,verbs,0.95
1781,rahutu,impatient,adjectives,3.05
1782,lagi,sol,nouns,1.65
1783,abieluväline,tabou,adjectives,1.45
1784,seletama,discuter,verbs,2.6
1785,jalgratas,chambre à coucher,nouns,0.1
1786,lambatall,mouton,nouns,4.4
1787,välistama,lutter,verbs,0.4
1788,keegel,lanceur,nouns,1.55
1789,kiirustama,se ruer,verbs,4.85
1790,arvamus,croyance,nouns,3.85
1791,sisehõõrdumine,éclaboussure,nouns,0.4
1792,vähendama,mouiller,verbs,0.3
1793,panema,donner,verbs,1.2
1794,trikk,taille,nouns,0.05
1795,soolikas,nerf,nouns,1.0
1796,sõdur,garçon,nouns,1.3
1797,klaaspurk,bouteille,nouns,2.8
1798,närv,intestin,nouns,1.0
1799,ebaregulaarselt,généralement,adverbs,0.9
1800,tsoon,surface,nouns,4.15
1801,sent,personne,nouns,0.1
1802,aktsepteerima,être d'accord,verbs,4.5
1803,sügavus,magnitude,nouns,2.3
1804,raamat,sujet,nouns,1.15
1805,saar,princesse,nouns,0.25
1806,tööandja,ouvrier,nouns,1.75
1807,raha,liquide,nouns,4.2
1808,uppuma,sauver,verbs,1.15
1809,võileib,viande,nouns,1.45
1810,süüa tegema,mélanger,verbs,1.6
1811,müüma,emprunter,verbs,0.9
1812,vildakas,incurvé,adjectives,5.25
1813,asteroid,étoile,nouns,2.7
1814,kauss,queue,nouns,0.05
1815,hambaarst,colonel,nouns,0.3
1816,tuba,bain,nouns,1.1
1817,umbes,facilement,adverbs,0.7
1818,tugevus,aptitude,nouns,3.2
1819,kutt,tombeur,nouns,1.75
1820,tüdinud,terne,adjectives,1.65
1821,lõpetama,commencer,verbs,1.1
1822,marginaalselt,grossièrement,adverbs,1.1
1823,teema,livre,nouns,1.1
1824,käepide,protéine,nouns,0.1
1825,haigutama,réveiller,verbs,1.2
1826,umbes,fiablement,adverbs,0.6
1827,veri,moelle,nouns,1.85
1828,vihmavari,radiateur,nouns,0.3
1829,omama,prendre,verbs,2.4
1830,eine,taille,nouns,0.3
1831,torm,neige,nouns,2.25
1832,muuseum,menthe,nouns,0.0
1833,viisakas,bon,adjectives,2.95
1834,lärm,raquette,nouns,0.6
1835,aken,nuage,nouns,0.55
1836,ihaldama,vouloir,verbs,5.15
1837,hotell,appartement,nouns,1.85
1838,taevas,rêve,nouns,0.8
1839,kinnitama,justifier,verbs,2.15
1840,taim,agriculture,nouns,1.65
1841,naps,groupe,nouns,0.45
1842,süsteem,faute,nouns,0.5
1843,õun,jus,nouns,2.0
1844,loll,rare,adjectives,0.15
1845,püüdma,terminer,verbs,0.6
1846,mesi,sucre,nouns,2.45
1847,imiteerima,capturer,verbs,0.7
1848,süüdi,honnête,adjectives,1.0
1849,meel,névrose,nouns,1.45
1850,hape,base,nouns,1.65
1851,papp,papier,nouns,3.45
1852,heameelt tegema,plaider,verbs,0.25
1853,ühinema,acquérir,verbs,0.85
1854,süüdi,mal,adjectives,2.05
1855,laiendama,croître,verbs,3.9
1856,pööraselt,fortement,adverbs,2.45
1857,võõramaalane,extraterrestre,nouns,2.8
1858,tilkuma,verser,verbs,1.35
1859,stsenarist,télévision,nouns,1.45
1860,mulje,croyance,nouns,2.05
1861,tööline,bureau,nouns,0.8
1862,aus,coupable,adjectives,1.0
1863,palavik,grippe,nouns,2.8
1864,programm,alimentation,nouns,0.7
1865,deemant,argent,nouns,1.8
1866,printsess,mariée,nouns,1.95
1867,igapäevane,ordinaire,adjectives,5.35
1868,enamasti,profondément,adverbs,0.9
1869,sõitma,arrêter,verbs,1.05
1870,tööriist,emploi,nouns,1.05
1871,mull,mousse,nouns,2.5
1872,kaetud,vêtu,adjectives,4.1
1873,aastaeg,hiver,nouns,3.25
1874,pudel,pot,nouns,2.8
1875,lend,aviation,nouns,2.3
1876,treener,joueur,nouns,2.0
1877,paindlik,grand,adjectives,0.35
1878,telliskivi,mur,nouns,1.7
1879,kuulama,comprendre,verbs,2.0
1880,käsi,branche,nouns,1.15
1881,rünnak,criminalité,nouns,2.35
1882,rutiinselt,normalement,adverbs,2.8
1883,lööma,pincer,verbs,2.25
1884,nõu andma,recommander,verbs,5.25
1885,nüri,marrant,adjectives,0.35
1886,küpselt,justement,adverbs,1.05
1887,sõna,dictionnaire,nouns,2.2
1888,väljapääs,suffrage,nouns,0.45
1889,teesklema,mentir,verbs,3.35
1890,õigus,justice,nouns,3.5
1891,purustama,démolir,verbs,4.55
1892,ilmuma,laisser,verbs,0.3
1893,sessioon,patient,nouns,0.5
1894,rahul,fou,adjectives,0.95
1895,abitu,nécessiteux,adjectives,2.85
1896,kole,désordonné,adjectives,1.05
1897,omama,garder,verbs,2.55
1898,valik,veine,nouns,0.3
1899,külaline,ami,nouns,2.45
1900,trumm,cor,nouns,1.75
1901,planeet,étoile,nouns,2.95
1902,vaidlema,prouver,verbs,2.35
1903,relv,canon,nouns,2.75
1904,politseinik,politicien,nouns,1.05
1905,perv,montagne,nouns,1.55
1906,maailm,globe,nouns,4.15
1907,üksildane,pauvre,adjectives,0.85
1908,koletis,démon,nouns,4.2
1909,auto,bateau,nouns,1.45
1910,jurist,juriste,nouns,4.2
1911,jooksma,chevaucher,verbs,1.15
1912,eitama,accepter,verbs,1.0
1913,ilu,sonnet,nouns,0.75
1914,isa,fille,nouns,1.65
1915,televisioon,cinéma,nouns,2.75
1916,lisama,diviser,verbs,1.05
1917,terav,doux,adjectives,0.85
1918,vürtsikas,bien,adjectives,0.7
1919,kunaiganes,parfois,adverbs,0.95
1920,aktsepteerima,pardonner,verbs,2.3
1921,riided,manteau,nouns,2.75
1922,erinema,être d'accord,verbs,0.9
1923,võtma,voler,verbs,2.65
1924,närviline,certain,adjectives,0.3
1925,hümn,paille,nouns,0.1
1926,dekoratsioon,mur,nouns,1.45
1927,võimekus,force,nouns,3.2
1928,helde,agréable,adjectives,2.3
1929,helikopter,avion,nouns,2.65
1930,heledus,étoile,nouns,1.35
1931,hümn,bible,nouns,0.45
1932,nõrk,puissant,adjectives,0.8
1933,lahtine,flexible,adjectives,1.5
1934,vastu võtma,livrer,verbs,0.85
1935,kombain,canne à sucre,nouns,0.75
1936,pea,pied,nouns,1.55
1937,tabama,manquer,verbs,1.5
1938,eriline,précieux,adjectives,3.15
1939,eelkool,crèche,nouns,2.95
1940,ala,région,nouns,3.1
1941,kole,brut,adjectives,0.95
1942,laenaja,crédit,nouns,1.85
1943,pentsik,étrange,adjectives,5.7
1944,külg,haut,nouns,1.5
1945,põhi,ouest,nouns,1.75
1946,kummaline,bizarre,adjectives,5.7
1947,vehklemine,gymnastique,nouns,2.05
1948,alluma,punir,verbs,1.1
1949,rind,corps,nouns,2.2
1950,võtma,laisser,verbs,1.25
1951,kael,os,nouns,1.4
1952,ühendama,diviser,verbs,1.5
1953,lõppema,être diplômé,verbs,2.45
1954,lõdvestunud,stressé,adjectives,1.2
1955,kuningas,dirigeant,nouns,4.7
1956,ühtlaselt,parfois,adverbs,0.65
1957,pettus,corruption,nouns,3.85
1958,kaart,pont,nouns,0.4
1959,normaalselt,quotidiennement,adverbs,2.95
1960,rahuldama,saisir,verbs,0.45
1961,rahakorjamine,événement,nouns,1.15
1962,protestant,chrétien,nouns,3.45
1963,skeem,idée,nouns,2.2
1964,intuitsioon,sentiment,nouns,3.65
1965,kallas,côte,nouns,4.2
1966,taburet,chaise,nouns,4.1
1967,lubama,donner,verbs,1.9
1968,rohumaa,prairie,nouns,4.55
1969,liiv,pied,nouns,0.35
1970,lumi,avalanche,nouns,2.15
1971,vesi,sacre,nouns,0.35
1972,rist,moine,nouns,1.45
1973,ära tõukama,donner,verbs,0.25
1974,heidutama,échouer,verbs,1.65
1975,alus,acide,nouns,1.65
1976,kunstnik,oeuvre,nouns,2.0
1977,patarei,théâtre,nouns,0.25
1978,voodi,couverture,nouns,1.8
1979,pärima,exiger,verbs,0.85
1980,vajama,organiser,verbs,0.55
1981,pettus,infraction,nouns,3.95
1982,intiimne,personnel,adjectives,4.8
1983,jõgi,vallée,nouns,1.75
1984,kohalolek,absence,nouns,1.55
1985,surmavalt,heureusement,adverbs,0.35
1986,õigustama,débattre,verbs,2.75
1987,antropoloogia,archéologie,nouns,2.1
1988,halb,génial,adjectives,0.45
1989,magamistuba,estomac,nouns,0.15
1990,eitama,donner,verbs,0.35
1991,avalikustamata,manifeste,adjectives,0.75
1992,nutma,pleurer,verbs,3.25
1993,meteoor,gravité,nouns,1.1
1994,jõukus,pauvreté,nouns,1.35
1995,häbenev,chanceux,adjectives,0.45
1996,sisenema,devoir,verbs,0.2
1997,raiskama,inquiéter,verbs,0.3
1998,sõrm,paume,nouns,1.5
1999,ohutult,tranquillement,adverbs,1.8
2000,normaalselt,anormalement,adverbs,1.05
2001,küps,sophistiqué,adjectives,1.3
2002,org,rivière,nouns,1.75
2003,tasu,paiement,nouns,3.45
2004,krokodill,lézard,nouns,3.0
2005,raev,colère,nouns,5.1
2006,fotofon,homophone,nouns,0.35
2007,katus,plafond,nouns,3.9
2008,klubi,marque,nouns,0.6
2009,tähestik,stylo,nouns,0.85
2010,päris,faux,adjectives,1.1
2011,seebivaht,bulle,nouns,2.5
2012,kindlalt,parfois,adverbs,0.75
2013,kops,foie,nouns,1.85
2014,märk,club,nouns,0.6
2015,suur,vaste,adjectives,3.9
2016,laud,coucher de soleil,nouns,0.05
2017,portreteerima,prétendre,verbs,0.7
2018,lai,frais,adjectives,0.15
2019,haruldane,exotique,adjectives,4.45
2020,kaamera,ouvrier,nouns,0.1
2021,andur,radiateur,nouns,0.6
2022,ebatõenäoline,amical,adverbs,0.0
2023,vajama,se renseigner,verbs,0.85
2024,teater,batterie,nouns,0.25
2025,ümber lükkama,permettre,verbs,0.25
2026,saama,rester,verbs,0.2
2027,hävitama,faire,verbs,1.1
2028,uitama,parcourir,verbs,3.05
2029,sein,château,nouns,1.5
2030,veen,vaisseau,nouns,4.3
2031,prokurör,avocat,nouns,2.4
2032,soetama,voler,verbs,1.2
2033,õhk,hélium,nouns,2.1
2034,lubama,approuver,verbs,3.65
2035,võitja,champion,nouns,5.2
2036,kaitsma,garder,verbs,3.8
2037,vann,astuce,nouns,0.0
2038,kleepuv,sale,adjectives,2.25
2039,vend,garçon,nouns,2.3
2040,vastutustundlikult,sérieusement,adverbs,3.95
2041,halb,terrible,adjectives,3.35
2042,organ,foie,nouns,2.75
2043,viisa,globalisation,nouns,1.1
2044,kanjon,vallée,nouns,3.95
2045,puit,pierre,nouns,1.45
2046,kolledž,profession,nouns,0.95
2047,lõimima,attacher,verbs,3.65
2048,ajakirjanik,poète,nouns,1.6
2049,loom,personne,nouns,1.5
2050,kaliiber,parapluie,nouns,0.1
2051,ministeerium,sultan,nouns,0.6
2052,teesklema,imaginer,verbs,1.55
2053,käsi,corps,nouns,1.7
2054,vana,nouveau,adjectives,1.2
2055,evakueerima,déterminer,verbs,0.25
2056,ustavalt,honnêtement,adverbs,3.7
2057,pool,bas,nouns,1.7
2058,puit,rondin,nouns,3.1
2059,täpselt,activement,adverbs,0.5
2060,tõsiselt,sincèrement,adverbs,2.05
2061,laenama,vouloir,verbs,0.8
2062,koer,cheval,nouns,1.5
2063,tervitama,rencontrer,verbs,2.1
2064,kinnitama,dire,verbs,1.5
2065,ratas,revêtement,nouns,0.3
2066,biograafia,fiction,nouns,1.9
2067,süüa tegema,perdre,verbs,0.05
2068,raskendama,déranger,verbs,1.0
2069,tulema,apporter,verbs,0.95
2070,muretsema,gaspiller,verbs,0.3
2071,koridor,couloir,nouns,4.8
2072,keel,joue,nouns,1.5
2073,nutma,rire,verbs,1.5
2074,naljakas,terne,adjectives,0.35
2075,paindlik,élastique,adjectives,4.5
2076,ausalt,injustement,adverbs,1.05
2077,apokalüpsis,feu,nouns,1.25
2078,tõsiselt,grandement,adverbs,2.1
2079,suurepäraselt,brillamment,adverbs,3.35
2080,vein,liqueur,nouns,2.45
2081,ülesanne,affectation,nouns,3.1
2082,sikutama,soulever,verbs,1.7
2083,kõver,droit,adjectives,1.1
2084,nüri,tranchant,adjectives,0.4
2085,poolitama,détacher,verbs,2.35
2086,riided,bouton,nouns,1.5
2087,peapiiskop,évêque,nouns,4.3
2088,haamer,dent,nouns,0.1
2089,paber,bois,nouns,2.05
2090,nõu andma,suggérer,verbs,5.15
2091,uurima,examiner,verbs,3.4
2092,keha,nerf,nouns,1.15
2093,pärinema,commencer,verbs,1.2
2094,taastama,apporter,verbs,0.2
2095,saama,accomplir,verbs,1.55
2096,univesum,ciel,nouns,2.45
2097,ükskord,immédiatement,adverbs,0.7
2098,kurb,fier,adjectives,0.65
2099,vastu võtma,rejeter,verbs,1.2
2100,küpselt,intelligemment,adverbs,3.7
2101,pidu,masque,nouns,1.4
2102,enne,après,adverbs,1.25
2103,mäng,tour,nouns,2.05
2104,looma,plonger,verbs,0.25
2105,diplomaatia,négociation,nouns,3.55
2106,esineja,chanson,nouns,1.75
2107,hämmastavalt,fantastiquement,adverbs,4.85
2108,voodi,hôpital,nouns,1.4
2109,tulnukas,étranger,nouns,2.8
2110,lennujaam,pièce,nouns,0.1
2111,paluma,demander,verbs,3.45
2112,kitsas,sale,adjectives,0.35
2113,minema,commencer,verbs,0.95
2114,auto,autoroute,nouns,1.7
2115,andma,nier,verbs,0.35
2116,leegion,armée,nouns,3.5
2117,omama,absorber,verbs,0.95
2118,järgima,enquêter,verbs,1.55
2119,teraapia,comportementalisme,nouns,1.65
2120,räpane,collant,adjectives,2.25
2121,arst,caractère,nouns,0.1
2122,ebatavaline,rare,adjectives,4.8
2123,jalgpall,football,nouns,3.55
2124,leib,viande,nouns,1.3
2125,lasteaed,maternelle,nouns,2.95
2126,simulatsioon,robotique,nouns,1.45
2127,patoloogia,hématologie,nouns,2.0
2128,imiteerima,représenter,verbs,2.45
2129,null,infini,nouns,1.55
2130,tööline,mécanicien,nouns,2.95
2131,ignoreerima,explorer,verbs,0.35
2132,uduvihm,pluie,nouns,4.35
2133,mais,blé,nouns,2.4
2134,kiirus,courrier,nouns,0.15
2135,avatult,massivement,adverbs,0.75
2136,jõud,persévérance,nouns,3.1
2137,säravalt,grandement,adverbs,3.35
2138,rakett,bruit,nouns,0.6
2139,maantee,tâche,nouns,0.15
2140,abikaasa (naine),centime,nouns,0.1
2141,aitama,demander,verbs,1.05
2142,võlgnema,entrer,verbs,0.2
2143,hoidma,étreindre,verbs,2.95
2144,gripp,fièvre,nouns,2.8
2145,leht,semis,nouns,1.15
2146,lahkuma,expulser,verbs,1.7
2147,puuvill,polyester,nouns,1.75
2148,keha,poitrine,nouns,2.2
2149,krediit,emprunteur,nouns,1.85
2150,uks,cave,nouns,1.1
2151,kandma,prendre,verbs,1.5
2152,päikeseloojang,chaîne,nouns,0.05
2153,juht,manager,nouns,4.45
2154,arv,chiffre,nouns,4.9
2155,molekul,matrice,nouns,0.55
