ID,RUS,YUE,PoS,score
1503,хороший,聞名,adjectives,0.6
1504,важно,真實地,adverbs,0.43
1505,нос,喉嚨,nouns,0.58
1506,куб,骰子,nouns,2.91
1507,машина,電腦,nouns,2.02
1508,новость,流言蜚語,nouns,1.66
1509,требовать,訓斥,verbs,0.25
1510,вежливый,合乎體統,adjectives,2.94
1511,недавний,新,adjectives,2.04
1512,взрослый,監護人,nouns,2.06
1513,жена,母親,nouns,2.31
1514,решительно,冷靜地,adverbs,0.66
1515,разрушать,做,verbs,0.18
1516,занавеска,竿,nouns,0.54
1517,ловить,追逐,verbs,1.23
1518,отделять,連接,verbs,0.0
1519,обстоятельство,情況,nouns,4.72
1520,ортодонт,牙醫,nouns,4.62
1521,красть,給,verbs,0.04
1522,быстро,紧急,adverbs,3.71
1523,выбор,選舉,nouns,2.43
1524,юриспруденция,學校,nouns,0.58
1525,обнаруживать,認識到,verbs,2.94
1526,клуб,標識,nouns,0.04
1527,ванна,戲法,nouns,0.04
1528,самолет,大薄片,nouns,0.36
1529,приостанавливаться,等待,verbs,0.8
1530,бережливый человек,存款,nouns,0.9
1531,тарелка,碗,nouns,2.83
1532,узкий,白色,adjectives,0.0
1533,приношение,貢獻,nouns,3.6
1534,игра,行動,nouns,1.47
1535,дискуссия,爭論,nouns,3.76
1536,удобно,容易地,adverbs,1.3
1537,язык,喉,nouns,0.9
1538,инфекция,詞性變化,nouns,0.09
1539,дверь,存在,nouns,0.1
1540,кабель,巫師,nouns,0.0
1541,квартира,家具,nouns,0.63
1542,мотор,活塞,nouns,1.27
1543,ярд,米,nouns,1.89
1544,ответственно,獨立地,adverbs,0.64
1545,активно,高高興興,adverbs,0.51
1546,дантист,上校,nouns,0.04
1547,терапия,行動主義,nouns,0.25
1548,курс,行動,nouns,0.63
1549,диета,蘋果,nouns,0.57
1550,находить,逃逸,verbs,0.0
1551,выносливый,狡猾,adjectives,0.65
1552,ящерица,鱷魚,nouns,1.4
1553,поле,燕麥,nouns,0.91
1554,принц,國王,nouns,1.83
1555,появляться,離開,verbs,0.1
1556,штат сотрудников,歌手,nouns,0.18
1557,бог,魔鬼,nouns,0.24
1558,соглашение,契約,nouns,4.12
1559,зрело,巧妙,adverbs,0.29
1560,квартира,屋,nouns,4.19
1561,спускаться,減少,verbs,0.2
1562,тело,肚,nouns,1.93
1563,хитрый,機靈,adjectives,2.07
1564,обнимать,扼殺,verbs,0.34
1565,молочный коктейль,果汁,nouns,0.52
1566,упускать,打中,verbs,0.04
1567,дюна,沙漠,nouns,2.23
1568,гостиница,汽車旅館,nouns,3.41
1569,бедствие,意外,nouns,3.31
1570,дважды,多,adverbs,0.29
1571,сегодня ночью,明天,adverbs,0.34
1572,слеза,眼睛,nouns,0.82
1573,металл,錫,nouns,1.94
1574,благоразумно,有禮貌地,adverbs,0.99
1575,восстанавливать,帶來,verbs,0.23
1576,рожок,鼓,nouns,0.63
1577,истерика,混亂,nouns,2.13
1578,теперь,微妙地,adverbs,0.18
1579,богатство,聲望,nouns,0.15
1580,друг,夥伴,nouns,4.08
1581,новый,古老,adjectives,0.09
1582,оценивать,分析,verbs,4.03
1583,нуждаться,安排,verbs,0.09
1584,жертва,神,nouns,0.15
1585,крокодил,蜥蜴,nouns,1.4
1586,стакан,錐形蛋筒,nouns,0.29
1587,смотреть,觀察,verbs,3.88
1588,спасти,毀滅,verbs,0.04
1589,брат,父親,nouns,1.18
1590,десятилетие,時代,nouns,0.55
1591,княжество,公國,nouns,1.46
1592,сегодня,今晚,adverbs,1.11
1593,нога,肢體,nouns,2.73
1594,в основном,深深地,adverbs,0.41
1595,социобиология,突變體,nouns,0.39
1596,рукопись,書,nouns,1.26
1597,мох,草,nouns,2.02
1598,промышленность,商業,nouns,2.12
1599,дерево,紙,nouns,0.63
1600,цент,妻子,nouns,0.0
1601,вежливо,謹慎地,adverbs,0.99
1602,народ,人口,nouns,2.9
1603,получать,給予,verbs,0.23
1604,партнер,男孩,nouns,0.68
1605,обращаться,唔睬,verbs,0.0
1606,конверт,裝飾,nouns,0.1
1607,легкий,困難,adjectives,0.1
1608,бейсбол,兄弟會,nouns,0.43
1609,желудок,靜脈,nouns,0.43
1610,защищать,保持,verbs,1.23
1611,испуганный,興奮,adjectives,0.28
1612,отрекаться,斷絕父子關係,verbs,3.42
1613,нерешительный,憤怒,adjectives,0.23
1614,прыжки,籬笆,nouns,0.3
1615,иногда,經常地,adverbs,0.28
1616,сигара,盒子,nouns,0.49
1617,слон,恐龍,nouns,0.43
1618,завод,汽車,nouns,0.2
1619,рассерженный,高興,adjectives,0.33
1620,легкое,肝,nouns,0.68
1621,деликатно,目前,adverbs,0.18
1622,встречать,打招呼,verbs,1.41
1623,президент,相機,nouns,0.1
1624,доход,税,nouns,0.53
1625,контейнер,老鼠,nouns,0.0
1626,спальня,廁所,nouns,0.67
1627,гончая,狐狸,nouns,0.79
1628,утомительный,安全,adjectives,0.04
1629,мужчина,女人,nouns,0.52
1630,представление,信念,nouns,1.15
1631,украсть,獲得,verbs,0.33
1632,песня,歌謠,nouns,3.93
1633,север,南,nouns,0.83
1634,засуха,水,nouns,0.25
1635,спорить,需求,verbs,0.49
1636,биолог,顯微鏡,nouns,0.92
1637,обычный,奇怪,adjectives,0.1
1638,ежедневно,通常,adverbs,2.44
1639,помнить,想,verbs,0.39
1640,кровь,病毒,nouns,0.68
1641,меч,環境,nouns,0.2
1642,исследовать,無視,verbs,0.0
1643,картон,紙,nouns,2.67
1644,мех,槍,nouns,0.1
1645,еженедельный,每月,adjectives,0.82
1646,ключ,字,nouns,0.18
1647,язык,臉頰,nouns,0.68
1648,назначать,選舉,verbs,0.45
1649,курятина,米飯,nouns,0.53
1650,воспитывать,教,verbs,2.85
1651,покидать,見面,verbs,0.0
1652,вина,系統,nouns,0.1
1653,знать,忘記,verbs,0.1
1654,фильм,劇院,nouns,1.44
1655,автомобиль,街,nouns,0.72
1656,певец,演員,nouns,1.64
1657,необычно,奇怪地,adverbs,3.4
1658,канонерская лодка,海岸,nouns,0.15
1659,маффин,香芹,nouns,0.15
1660,сжиматься,成長,verbs,0.0
1661,обвинять,推,verbs,0.23
1662,страница,段,nouns,0.68
1663,книга,意外,nouns,0.0
1664,закат,線,nouns,0.0
1665,ученый,護士,nouns,0.1
1666,величина,大小,nouns,4.13
1667,гудок,車,nouns,0.54
1668,предприятие,公司,nouns,3.85
1669,пить,提高,verbs,0.0
1670,плохой,不道德,adjectives,1.56
1671,битва,征服,nouns,1.31
1672,радар,操縱桿,nouns,0.34
1673,бумага,木,nouns,0.63
1674,кокпит,副駕駛,nouns,0.34
1675,ассистировать,援助,verbs,4.44
1676,палуба,老鼠,nouns,0.45
1677,кость,手臂,nouns,0.63
1678,покидать,徘徊,verbs,0.29
1679,защищать,殺,verbs,0.0
1680,останавливаться,哨,verbs,0.14
1681,преступник,犯罪者,nouns,5.17
1682,доступный,便宜,adjectives,1.6
1683,беспокоить,加劇,verbs,0.05
1684,невинный,自由,adjectives,0.0
1685,погода,雪,nouns,0.78
1686,общение,語言,nouns,1.28
1687,кусок,飛機場,nouns,0.0
1688,костюм,球,nouns,0.55
1689,приобретать,收集,verbs,0.9
1690,праздник,儀式,nouns,3.22
1691,заказ,菜單,nouns,0.91
1692,расизм,排外主義,nouns,3.63
1693,песня,故事,nouns,0.29
1694,нырять,創建,verbs,0.04
1695,выпускать,抓住,verbs,0.28
1696,мнение,信念,nouns,0.85
1697,ужасный,瘋狂,adjectives,0.25
1698,смерть,葬禮,nouns,1.93
1699,воды,加冕禮,nouns,0.0
1700,жестокий,和藹,adjectives,0.0
1701,играть,搏鬥,verbs,0.23
1702,показ,數學家,nouns,0.04
1703,до,之後,adverbs,0.04
1704,наслаждаться,討厭,verbs,0.09
1705,глотать,喝,verbs,1.26
1706,выражать,說,verbs,2.53
1707,бездомный,億萬富翁,nouns,0.1
1708,боб,咖啡,nouns,0.68
1709,мальчик,合作夥伴,nouns,0.68
1710,кисть,手腕,nouns,2.88
1711,сердце,手術,nouns,0.77
1712,куст,花,nouns,1.46
1713,политик,總統,nouns,2.69
1714,индейка,鳥,nouns,2.24
1715,наивный,天,adjectives,0.39
1716,тратить,擔心,verbs,0.0
1717,неизвестный,公開,adjectives,0.24
1718,йогурт,家牛,nouns,0.33
1719,гитара,鱒魚,nouns,0.0
1720,обижать,侮辱,verbs,3.33
1721,рамка,打,nouns,0.14
1722,традиция,手工業,nouns,0.63
1723,автомобиль,單車,nouns,1.13
1724,пьяный,清醒,adjectives,0.14
1725,делить,團結,verbs,0.05
1726,нижняя одежда,身體,nouns,0.52
1727,пестицид,蟲害,nouns,0.81
1728,соглашение,洞,nouns,0.0
1729,протирать,惡化,verbs,0.09
1730,пачка,雪茄,nouns,0.49
1731,деление,乘法,nouns,1.3
1732,женщина,男人,nouns,0.52
1733,острый,鈍,adjectives,0.14
1734,условие,協議,nouns,1.77
1735,приходить,走,verbs,0.73
1736,огромный,小,adjectives,0.04
1737,виноватый,壞,adjectives,0.48
1738,атака,犯罪,nouns,0.71
1739,программа,食物,nouns,0.25
1740,друг,老師,nouns,1.41
1741,думать,查詢,verbs,0.44
1742,посылать,帶來,verbs,0.24
1743,хлеб,小麥粉,nouns,0.97
1744,хаос,無政府,nouns,3.84
1745,старый,新,adjectives,0.19
1746,пятый,最佳,adjectives,0.09
1747,компания,商業,nouns,3.85
1748,убеждать,追求,verbs,0.69
1749,герцогство,親王國,nouns,1.46
1750,действительно,重要地,adverbs,0.43
1751,спасать,救援,verbs,4.83
1752,трава,大麻,nouns,2.24
1753,поднимать,提高,verbs,2.51
1754,пальто,帽子,nouns,0.53
1755,жениться,加入,verbs,0.3
1756,прореха,協議,nouns,0.0
1757,пустяк,任務,nouns,0.05
1758,самолет,機場,nouns,0.87
1759,дверь,鐘,nouns,0.78
1760,группа,酒,nouns,0.15
1761,очевидно,肯定地,adverbs,3.4
1762,камень,木,nouns,0.42
1763,фальшивый,人造,adjectives,3.63
1764,поезд,電車,nouns,2.27
1765,небоскреб,宮殿,nouns,0.58
1766,mинт,博物館,nouns,0.04
1767,хэштег,話題,nouns,3.27
1768,признавать,否認,verbs,0.1
1769,тупой,巨大,adjectives,0.09
1770,узнавать,忘記,verbs,0.15
1771,проход,走廊,nouns,4.06
1772,создавать,毀滅,verbs,0.18
1773,нога,手臂,nouns,0.48
1774,глаз,眼淚,nouns,0.82
1775,рассерженный,開心,adjectives,0.55
1776,король,王子,nouns,1.83
1777,мышь,甲板,nouns,0.45
1778,телефон,小亭,nouns,0.45
1779,ящик,電,nouns,0.3
1780,позвоночник,頸,nouns,1.93
1781,ходить,旅行,verbs,1.46
1782,мельница,種子,nouns,0.64
1783,толкать,拉,verbs,0.43
1784,язык,肌肉,nouns,0.54
1785,значок,玻璃,nouns,0.09
1786,руководитель,領導,nouns,3.6
1787,спорить,同意,verbs,0.1
1788,исчезать,收縮,verbs,0.81
1789,грубый,核突,adjectives,1.06
1790,построение,毀滅,nouns,0.29
1791,выносливость,花朵,nouns,0.04
1792,сонет,美,nouns,0.05
1793,кот,兔子,nouns,0.97
1794,желудок,課程,nouns,0.1
1795,телевидение,電影,nouns,2.81
1796,останавливаться,警告,verbs,0.24
1797,гонорар,付款,nouns,3.41
1798,трапеза,腰部,nouns,0.0
1799,ударять,吸引,verbs,0.0
1800,отец,男人,nouns,2.02
1801,отвергать,接受,verbs,0.39
1802,далеко,在家裡,adverbs,0.19
1803,привлекать,打,verbs,0.0
1804,никогда,稍後,adverbs,0.0
1805,слабый,辣,adjectives,0.04
1806,выращивать,喝,verbs,0.0
1807,профессор,學生,nouns,0.48
1808,автор,創造者,nouns,4.07
1809,кампус,大學,nouns,1.93
1810,книга,手稿,nouns,1.26
1811,дымка,雲,nouns,2.42
1812,курятина,牛扒,nouns,0.6
1813,приятный,大方,adjectives,1.94
1814,дешевый,髒,adjectives,0.28
1815,спокойный,中性,adjectives,1.27
1816,аффикс,後綴,nouns,0.73
1817,тащить,電梯,verbs,0.78
1818,насекомое,蜜蜂,nouns,2.73
1819,приветствовать,見面,verbs,1.41
1820,освобождать,驅逐,verbs,0.54
1821,пол,門,nouns,0.48
1822,правительство,蜥蜴,nouns,0.04
1823,брать,偷,verbs,0.47
1824,уродливый,亂,adjectives,0.46
1825,дом,公寓,nouns,4.19
1826,фотоаппарат,鏡片,nouns,0.91
1827,копить,花费,verbs,0.05
1828,человек,嫌疑人,nouns,0.28
1829,убивать,掐死,verbs,3.01
1830,проваливать,使氣餒,verbs,0.38
1831,ящик,衣服,nouns,0.57
1832,скорый,迅速,adjectives,5.08
1833,рот,牙齒,nouns,0.77
1834,дверь,窗,nouns,0.67
1835,посещать,發送,verbs,0.19
1836,изучение флагов,旗,nouns,1.05
1837,многогранник,演員,nouns,0.28
1838,тело,手臂,nouns,0.96
1839,ночь,白天,nouns,0.24
1840,ритм,詩,nouns,1.06
1841,сильный,自豪,adjectives,0.68
1842,сок,牛奶,nouns,0.38
1843,ловить,收到,verbs,0.53
1844,стратег,陰謀家,nouns,2.31
1845,неясный,模糊,adjectives,4.38
1846,поглощать,退出,verbs,0.04
1847,дурацкий,笨,adjectives,4.12
1848,бабочка,玫瑰,nouns,0.34
1849,электорат,派對,nouns,1.06
1850,тупой,尖,adjectives,0.14
1851,игра,戲法,nouns,0.63
1852,объединять,劃分,verbs,0.05
1853,страсть,情緒,nouns,2.19
1854,цент,尺寸,nouns,0.34
1855,кино,爆谷,nouns,0.87
1856,разгон,哲學家,nouns,0.09
1857,отрицать,避免,verbs,0.24
1858,сегодня ночью,今天,adverbs,1.11
1859,игра,樂趣,nouns,0.92
1860,распечатать,無視,verbs,0.0
1861,мясо,三明治,nouns,0.44
1862,хороший,辣,adjectives,0.39
1863,жениться,訂婚,verbs,2.35
1864,упрямый,蠢,adjectives,0.57
1865,довольно,不公平,adverbs,0.15
1866,широкий,狹窄,adjectives,0.18
1867,сжиматься,消失,verbs,0.81
1868,такси,車,nouns,3.49
1869,юрист,銀行家,nouns,1.27
1870,великодушный,善良,adjectives,1.94
1871,палец,手,nouns,1.32
1872,беспорядочный,清潔,adjectives,0.09
1873,печальный,搞笑,adjectives,0.04
1874,уменьшить,淋透,verbs,0.04
1875,брат,姊妹,nouns,1.42
1876,милый,残酷,adjectives,0.0
1877,завершать,贏得,verbs,0.75
1878,хлопок,冷衫,nouns,0.68
1879,мотель,小旅館,nouns,3.41
1880,комбайн,甘蔗,nouns,0.1
1881,хрустеть,折斷,verbs,2.45
1882,обычный,不同,adjectives,0.1
1883,разрешать,贊成,verbs,3.08
1884,хранить,珍愛,verbs,0.8
1885,готовить,失去,verbs,0.04
1886,аэропорт,片,nouns,0.0
1887,грубо,稍微地,adverbs,0.5
1888,актив,股票,nouns,2.74
1889,избежать,拒絕,verbs,0.24
1890,шериф,警察,nouns,4.07
1891,плотно,難以置信地,adverbs,0.14
1892,незначительный,重大,adjectives,0.18
1893,фон,牆紙,nouns,2.04
1894,хвост,後部,nouns,0.66
1895,спокойно,堅固地,adverbs,0.66
1896,ударять,瞄准,verbs,0.84
1897,пришелец,外國人,nouns,3.73
1898,усталый,無聊,adjectives,0.29
1899,организовать,收集,verbs,1.78
1900,обычно,主要,adverbs,2.75
1901,обострять,打稿,verbs,0.05
1902,реветь,哭,verbs,4.88
1903,умолять,請,verbs,0.72
1904,иначе,終末,adverbs,0.1
1905,осознавать,發現,verbs,2.94
1906,обучение,獎學金,nouns,0.77
1907,ущипнуть,用拳猛擊,verbs,0.67
1908,прибывать,來,verbs,2.73
1909,обезьяна,参加競選,nouns,0.09
1910,зарплата,錢,nouns,3.35
1911,знать,給,verbs,0.24
1912,ужасный,傷心,adjectives,0.39
1913,ребячливый,傻,adjectives,2.13
1914,ранимый,無助,adjectives,1.71
1915,мальчик,士兵,nouns,1.04
1916,душить,燒傷,verbs,0.23
1917,культура,社會,nouns,0.77
1918,вкладывать,加入,verbs,0.91
1919,спорить,不同,verbs,0.24
1920,облако,窗口,nouns,0.2
1921,складывать,乘,verbs,0.52
1922,новый,最近,adjectives,2.04
1923,делить,乘,verbs,0.14
1924,сахароза,醣類,nouns,1.99
1925,приходить,出席,verbs,2.56
1926,автострада,任務,nouns,0.1
1927,буря,雲,nouns,1.42
1928,проем,門,nouns,3.41
1929,сок,奶昔,nouns,0.52
1930,позвоночник,身體,nouns,0.93
1931,надежно,大致,adverbs,0.28
1932,занимать,乞求,verbs,0.62
1933,изгиб,角度,nouns,2.31
1934,пыль,掃帚,nouns,1.1
1935,конь,牛,nouns,1.26
1936,тюрьма,選擇,nouns,0.0
1937,конституция,皇帝,nouns,0.38
1938,норка,油,nouns,0.24
1939,собирать,聚集,verbs,0.9
1940,хотеть,選擇,verbs,0.44
1941,старинный,現代,adjectives,0.14
1942,отрицать,說謊,verbs,0.78
1943,защищать,幫助,verbs,2.62
1944,читатель,作者,nouns,0.58
1945,унижать,安慰,verbs,0.05
1946,ручка,蛋白質,nouns,0.04
1947,священник,預言家,nouns,0.88
1948,муха,螞蟻,nouns,0.71
1949,чемпион,優勝者,nouns,4.58
1950,сторонник,蟋蟀,nouns,0.04
1951,жар,疾病,nouns,1.83
1952,бекон,豆,nouns,0.1
1953,уравнение,公式,nouns,3.22
1954,небо,宇宙,nouns,1.69
1955,баскетбол,棒球,nouns,1.36
1956,спутывать,學習,verbs,0.0
1957,невежество,智力,nouns,0.29
1958,волдырь,插圖,nouns,0.04
1959,брать,擁有,verbs,2.81
1960,добиваться,說服,verbs,0.69
1961,жена,女人,nouns,2.13
1962,экосистема,經濟,nouns,0.48
1963,победитель,男人,nouns,0.63
1964,назначать,得到,verbs,0.15
1965,шалость,沖涼,nouns,0.04
1966,тонко,大聲地,adverbs,0.04
1967,изобилие,許多,nouns,4.17
1968,красиво,優雅地,adverbs,3.42
1969,баллончик,瓶子,nouns,1.68
1970,гнаться,跟隨,verbs,2.58
1971,астроном,星系,nouns,1.84
1972,точно,不準確地,adverbs,0.04
1973,партия,人們,nouns,1.06
1974,овёс,田,nouns,0.91
1975,певец,合唱,nouns,1.11
1976,выговаривать,需求,verbs,0.25
1977,ткать,移動,verbs,0.0
1978,одевать,撕開,verbs,0.0
1979,здесь,現在,adverbs,0.73
1980,трапеза,晚餐,nouns,3.06
1981,ванная,睡房,nouns,0.67
1982,умереть,埋葬,verbs,0.9
1983,барабан,喇叭,nouns,0.63
1984,химия,理論,nouns,0.69
1985,плавать,見面,verbs,0.04
1986,тетрадь,槍,nouns,0.0
1987,стрела,目標,nouns,1.0
1988,суффикс,詞綴,nouns,0.73
1989,дар,作家,nouns,0.45
1990,новый,舊,adjectives,0.19
1991,кот,獅子,nouns,1.12
1992,глубоко,有意義,adverbs,1.13
1993,карниз,窗帘,nouns,0.54
1994,брать,奪取,verbs,2.11
1995,тихо,自然地,adverbs,0.33
1996,ленивый,忙碌,adjectives,0.14
1997,лимон,蘋果,nouns,0.67
1998,король,公主,nouns,1.49
1999,злой,開心,adjectives,0.14
2000,суд,正義,nouns,2.17
2001,ребенок,人,nouns,1.26
2002,допущенный,合法,adjectives,3.23
2003,недоразвившийся,不負責任,adjectives,0.36
2004,ладить,使滿意,verbs,1.92
2005,книга,正文,nouns,1.5
2006,объяснять,澄清,verbs,3.37
2007,завтрак,煙肉,nouns,0.63
2008,тема,故事,nouns,0.8
2009,пляж,海,nouns,1.83
2010,мускул,骨頭,nouns,0.48
2011,соль,水,nouns,0.2
2012,привычка,方式,nouns,4.08
2013,думать,記得,verbs,0.39
2014,уверенный,自信,adjectives,3.34
2015,творческий,創新,adjectives,3.97
2016,наверное,也許,adverbs,3.85
2017,хрусталь,玻璃,nouns,2.67
2018,изображать,通知,verbs,0.0
2019,дерево,毯,nouns,0.0
2020,жар,流感,nouns,1.05
2021,право,正義,nouns,0.88
2022,демон,怪獸,nouns,3.88
2023,бык,馬,nouns,1.26
2024,анатомия,生物學,nouns,2.02
2025,фотофон,同音詞,nouns,0.1
2026,эпизод,章節,nouns,1.3
2027,потерять,煮,verbs,0.04
2028,миф,諷刺,nouns,0.63
2029,крыша,窗口,nouns,0.77
2030,навряд ли,友好,adverbs,0.0
2031,моряк,隊長,nouns,1.03
2032,заглавное слово,句法,nouns,0.43
2033,загрязнение,總統,nouns,0.0
2034,целиться,打中,verbs,0.84
2035,легкий,困難,adjectives,0.28
2036,религия,世俗主義,nouns,0.29
2037,шаркать,騎,verbs,0.1
2038,дело,硬件,nouns,0.24
2039,нейтральный,冷靜,adjectives,1.27
2040,прощать,忘記,verbs,0.7
2041,окно,踝,nouns,0.09
2042,перемешать,喝,verbs,0.1
2043,поршень,發動機,nouns,1.27
2044,печаль,幸福,nouns,0.14
2045,текст,書,nouns,1.5
2046,захватить,模仿,verbs,0.0
2047,бесстрастный,易損壞,adjectives,0.0
2048,тупой,愚笨,adjectives,4.39
2049,локально,明顯地,adverbs,0.09
2050,находить,消失,verbs,0.0
2051,усталый,飢餓,adjectives,0.53
2052,ананас,手機,nouns,0.0
2053,иначе,奇怪地,adverbs,0.79
2054,смешной,傷心,adjectives,0.04
2055,сержант,槍,nouns,0.63
2056,пакт,協議,nouns,4.12
2057,простынь,平面,nouns,0.36
2058,владеть,保持,verbs,1.38
2059,вена,肚,nouns,0.43
2060,невроз,頭腦,nouns,0.33
2061,разъедать,允許,verbs,0.0
2062,эмоционально,傷心地,adverbs,0.72
2063,мужчина,叔叔,nouns,2.19
2064,часовня,尖頂,nouns,0.97
2065,чистый,謙虛,adjectives,0.34
2066,корзина,球,nouns,0.49
2067,управление,工作,nouns,0.97
2068,тупой,傻,adjectives,4.12
2069,медаль,運動鞋,nouns,0.2
2070,вектор,矩陣,nouns,1.02
2071,победитель,目標,nouns,0.33
2072,взрослый,嬰兒,nouns,0.58
2073,соревноваться,完成,verbs,0.09
2074,объединяться,結婚,verbs,1.13
2075,терминально,不同,adverbs,0.1
2076,капитал,錢,nouns,3.92
2077,изучать,調查,verbs,4.59
2078,число,數字,nouns,4.3
2079,учитель,學生,nouns,0.91
2080,отклонять,選舉,verbs,0.1
2081,домой,在別處,adverbs,0.19
2082,скот,牛肉,nouns,2.54
2083,уведомлять,描繪,verbs,0.0
2084,плечо,手臂,nouns,1.56
2085,рука,頸,nouns,0.57
2086,голова,鼻子,nouns,0.49
2087,выбор,監獄,nouns,0.0
2088,действие,遊戲,nouns,1.47
2089,энергия,電池,nouns,2.13
2090,окружение,劍,nouns,0.2
2091,приносить,發送,verbs,0.24
2092,победа,凱旋,nouns,4.48
2093,счастливый,快樂,adjectives,4.7
2094,плакать,哭泣,verbs,4.88
2095,попкорн,電影,nouns,0.87
2096,ящерица,蛇,nouns,0.91
2097,определить,撤離,verbs,0.1
2098,зрело,正直地,adverbs,0.43
2099,эвакуировать,確定,verbs,0.1
2100,счастливый,年輕,adjectives,0.15
2101,гневный,猶豫,adjectives,0.23
2102,сумасшедший,生病,adjectives,0.8
2103,путешествие,旅行,nouns,4.61
2104,несправедливо,公平,adverbs,0.15
2105,уверенность,態度,nouns,1.21
2106,велосипед,汽車,nouns,1.13
2107,статистика,網球,nouns,0.0
2108,кандидат,申請,nouns,0.38
2109,счастливый,慚愧,adjectives,0.04
2110,пиво,飲品,nouns,2.29
2111,тяжелый,困難,adjectives,4.92
2112,ярость,生氣,nouns,4.29
2113,подозревать,逮捕,verbs,0.33
2114,пытаться,實現,verbs,1.08
2115,лгать,假扮,verbs,3.0
2116,небо,陽光,nouns,0.96
2117,неприличный,婚外,adjectives,0.28
2118,дворец,高樓大廈,nouns,0.58
2119,угроза,危險,nouns,4.58
2120,епископ,大主教,nouns,3.4
2121,чувствовать,相信,verbs,0.58
2122,ладонь,手指,nouns,1.27
2123,выбор,章,nouns,0.34
2124,безответственный,未成熟的,adjectives,0.36
2125,завтрак,晚餐,nouns,1.3
2126,мед,糖,nouns,1.73
2127,летучая мышь,吸血殭屍,nouns,0.6
2128,закат,表,nouns,0.0
2129,снег,冰,nouns,2.97
2130,электричество,案件,nouns,0.3
2131,особый,有價值,adjectives,1.42
2132,взбить,擊敗,verbs,0.46
2133,освобождать,按下,verbs,0.09
2134,бок,頂,nouns,0.43
2135,грешник,聖,nouns,0.2
2136,скучный,好笑,adjectives,0.1
2137,театр,電池,nouns,0.09
2138,пряжа,線,nouns,3.06
2139,становиться,似乎,verbs,0.96
2140,растение,農業,nouns,0.91
2141,опровергать,允許,verbs,0.05
2142,плохой,極好,adjectives,0.2
2143,работник,雇主,nouns,0.78
2144,шум,吵鬧,nouns,4.32
2145,игральная кость,立方體,nouns,2.91
2146,серьезно,重要的,adverbs,2.69
2147,мэр,首領,nouns,2.91
2148,активно,準確地,adverbs,0.55
2149,танец,裙,nouns,0.35
2150,ортодонт,醫生,nouns,2.69
2151,сенат,憲法,nouns,0.8
2152,значительно,深度地,adverbs,1.13
2153,сноровка,遊戲,nouns,0.63
2154,большой,國民,adjectives,0.05
2155,полуостров,島,nouns,1.74
2156,мелодия,節奏,nouns,3.08
2157,опасность,疾病,nouns,0.67
2158,ждать,留,verbs,0.63
2159,президент,政治家,nouns,2.69
2160,мышь,管理,nouns,0.39
2161,сессия,病人,nouns,0.47
2162,нейропсихология,通靈研究,nouns,0.8
2163,море,海灘,nouns,1.83
2164,стул,望遠鏡,nouns,0.04
2165,следовать,追逐,verbs,2.58
2166,литература,書,nouns,2.65
2167,коттедж,小木屋,nouns,3.93
2168,давать,保持,verbs,0.19
2169,правосудие,權利,nouns,0.88
2170,замена,交換,nouns,4.39
2171,искренне,誠實地,adverbs,4.29
2172,обмен,貨幣,nouns,0.68
2173,приятель,伴侶,nouns,2.54
2174,вена,選擇,nouns,0.04
2175,приятный,開朗,adjectives,3.63
2176,словарь,百科全書,nouns,2.17
2177,угождать,同意,verbs,1.92
2178,линза,相機,nouns,0.91
2179,задание,便條,nouns,0.57
2180,одежда,布料,nouns,1.88
2181,бороться,不同意,verbs,0.25
2182,небо,夢想,nouns,0.2
2183,скульптура,雕像,nouns,4.17
2184,механизм,引擎,nouns,2.24
2185,приобретать,偷,verbs,0.33
2186,демократия,帝制,nouns,0.05
2187,смешивать,打,verbs,0.05
2188,курятина,晚餐,nouns,0.43
2189,регион,地區,nouns,4.29
2190,глупый,笨,adjectives,4.39
2191,служанка,幫手,nouns,2.84
2192,опасность,威脅,nouns,4.58
2193,атака,閃電攻擊,nouns,3.19
2194,счастье,悲傷,nouns,0.14
2195,работник,僱主,nouns,0.63
2196,большой,巨大,adjectives,4.31
2197,птица,火雞,nouns,2.24
2198,рациональный,清醒,adjectives,2.42
2199,ярко,輕輕地,adverbs,0.14
2200,опасно,小心地,adverbs,0.19
2201,плотный,堅硬,adjectives,2.91
2202,поток,河,nouns,2.54
2203,проваливать,失去,verbs,1.36
2204,книга,主題,nouns,0.63
2205,ушибить,跌,verbs,0.63
2206,полицейский,副駕駛,nouns,0.04
2207,действие,課程,nouns,0.63
2208,обсуждать,說明,verbs,0.96
2209,значительно,明亮地,adverbs,1.1
2210,печень,肺,nouns,0.68
2211,неправильный,精確,adjectives,0.14
2212,чудной,奇怪,adjectives,4.26
2213,барабан,吉他,nouns,0.81
2214,обычно,常規地,adverbs,4.07
2215,развлекать,使滿意,verbs,0.34
2216,ацетаминофен,支氣管炎,nouns,0.4
2217,думать,沉思,verbs,4.08
2218,дочь,父親,nouns,0.77
2219,пытаться,說服,verbs,0.29
2220,народ,元,nouns,0.0
2221,оставаться,等待,verbs,0.63
2222,гостиница,公寓,nouns,1.35
2223,нить,紗,nouns,3.06
2224,фотоаппарат,工作者,nouns,0.43
2225,надежно,負責任,adverbs,2.94
2226,создавать,潛水,verbs,0.04
2227,грубый,噪,adjectives,0.93
2228,помиловать,原諒,verbs,3.44
2229,ткань,衣服,nouns,1.89
