ID,CMN,EST,PoS,score
1477,炼狱,teispoolsus,nouns,0.7
1478,儿子,vend,nouns,0.86
1479,奖章,tossud,nouns,0.2
1480,鸡,õhtusöök,nouns,0.43
1481,使满意,rahuldama,verbs,3.78
1482,听见,kuulama,verbs,3.58
1483,读,hammustama,verbs,0.1
1484,飞机场,tükk,nouns,0.0
1485,嘴巴,nina,nouns,0.7
1486,无聊,väsinud,adjectives,0.84
1487,门,kell,nouns,0.2
1488,说谎,süüdistama,verbs,0.39
1489,争论,nõustuma,verbs,0.53
1490,饥饿,väsinud,adjectives,0.68
1491,教堂,kirikutorn,nouns,1.11
1492,羞辱,rahustama,verbs,0.09
1493,月,august,nouns,2.15
1494,新鲜,vana,adjectives,0.19
1495,累,igav,adjectives,0.84
1496,豆,riis,nouns,0.82
1497,稍微地,umbes,adverbs,1.45
1498,购买,saama,verbs,1.41
1499,注意,ettevaatus,nouns,3.53
1500,愤怒,kahtlev,adjectives,0.47
1501,饼干,pritsess,nouns,0.05
1502,搏斗,hammustama,verbs,1.42
1503,雕塑家,mõis,nouns,0.1
1504,沐浴,õhupall,nouns,0.1
1505,反驳,lubama,verbs,0.0
1506,自行车,auto,nouns,0.78
1507,大声地,õrnalt,adverbs,0.0
1508,不负责任,ebaküps,adjectives,2.21
1509,铝,metall,nouns,2.85
1510,试着,kavatsema,verbs,2.21
1511,故障,süsteem,nouns,0.3
1512,生活方式,tsivilisatsioon,nouns,1.42
1513,排球,pall,nouns,2.97
1514,减肥,salat,nouns,0.73
1515,心情,emotsioon,nouns,3.49
1516,星期,nädalavahetus,nouns,1.83
1517,钢,sulam,nouns,3.61
1518,椅子,teleskoop,nouns,0.0
1519,分界线,piir,nouns,3.29
1520,生物学家,mikroskoop,nouns,0.69
1521,机器,mootor,nouns,2.42
1522,农业,monokultuur,nouns,1.44
1523,得到,kaotama,verbs,0.28
1524,胸部,keha,nouns,1.95
1525,说服,proovima,verbs,1.02
1526,摇铃,lärm,nouns,1.3
1527,保龄球选手,keegel,nouns,1.29
1528,盗窃,kuritegu,nouns,3.28
1529,光标,slaid,nouns,0.14
1530,骨头,kael,nouns,0.54
1531,海滩,saar,nouns,1.19
1532,雪茄,toru,nouns,1.31
1533,外国人,tõlge,nouns,0.68
1534,第五,parim,adjectives,0.39
1535,酒,brändi,nouns,3.02
1536,勺子,tass,nouns,0.65
1537,达到,teostama,verbs,3.38
1538,主题,lugu,nouns,1.37
1539,圣经,raamat,nouns,1.93
1540,无实体,spirituaalne,adjectives,3.12
1541,兄弟,õde,nouns,1.65
1542,银行家,advokaat,nouns,0.69
1543,电视,näitleja,nouns,0.92
1544,厨房,vannituba,nouns,0.74
1545,弯曲,vildakas,adjectives,3.98
1546,男人,tüdruk,nouns,0.64
1547,军团,armee,nouns,3.88
1548,尝试,veenma,verbs,1.02
1549,神经,keha,nouns,1.26
1550,末期地,põhiliselt,adverbs,0.0
1551,草莓,kirss,nouns,1.32
1552,当然,mõnikord,adverbs,0.1
1553,经常地,aeg-ajalt,adverbs,1.07
1554,膝盖,käsi,nouns,0.68
1555,傲慢,uhke,adjectives,3.0
1556,妻子,sent,nouns,0.23
1557,马赛克,basiilika,nouns,0.35
1558,队长,madrus,nouns,0.7
1559,望远镜,tool,nouns,0.0
1560,除法,korrutamine,nouns,1.16
1561,精彩,rõõmustav,adjectives,2.38
1562,自豪,vaene,adjectives,0.34
1563,伤害,jalaga lööma,verbs,1.36
1564,货币,vahetus,nouns,1.15
1565,腰,kõht,nouns,2.54
1566,阿姨,õepoeg,nouns,0.73
1567,天神,isa,nouns,0.2
1568,猛烈地,valjult,adverbs,2.41
1569,盒子,müts,nouns,0.15
1570,提高,tõstma,verbs,2.88
1571,阳光,kiir,nouns,1.39
1572,乐观地,võimalikult,adverbs,0.83
1573,飞机,lennujaam,nouns,1.25
1574,星系,astronoom,nouns,0.69
1575,来,minema,verbs,0.53
1576,柔软,vägivaldne,adjectives,0.0
1577,程序,toit,nouns,0.15
1578,米饭,kana,nouns,0.4
1579,聪慧,loll,adjectives,0.44
1580,过道,koridor,nouns,4.23
1581,相机,tööline,nouns,0.1
1582,走道,koridor,nouns,4.54
1583,倒,tilkuma,verbs,0.92
1584,小炮舰,rannik,nouns,0.39
1585,坚硬,tihe,adjectives,2.42
1586,屋,küün,nouns,0.97
1587,火,apokalüpsis,nouns,0.81
1588,谦逊地,uhkelt,adverbs,0.53
1589,读,hoomama,verbs,0.82
1590,烟斗,sigar,nouns,1.31
1591,有礼貌,kohane,adjectives,3.71
1592,运动鞋,medal,nouns,0.2
1593,破产,läbikukkumine,nouns,1.35
1594,正常,erinev,adjectives,0.4
1595,儿子,poiss,nouns,2.9
1596,海岸,rand,nouns,3.1
1597,忠诚地,ausalt,adverbs,3.78
1598,克服,domineerima,verbs,0.39
1599,军队,leegion,nouns,3.88
1600,和蔼,julm,adjectives,0.0
1601,征服,teekond,nouns,0.72
1602,摩天大楼,palee,nouns,0.78
1603,穿,kulutama,verbs,0.73
1604,申请人,taotlus,nouns,1.33
1605,蠢,loll,adjectives,5.41
1606,苦难,meeleheide,nouns,2.43
1607,推荐,vastu võtma,verbs,0.39
1608,借,hoidma,verbs,0.25
1609,自由,süütu,adjectives,0.6
1610,苏丹,ministeerium,nouns,0.1
1611,班,armee,nouns,0.92
1612,杂乱无章,organiseeritud,verbs,0.53
1613,象征,märk,nouns,4.85
1614,喧闹声,kõristi,nouns,1.3
1615,球,kinnas,nouns,0.29
1616,完成,lahendama,verbs,2.17
1617,猫,hiir,nouns,0.48
1618,简单,kerge,adjectives,4.23
1619,暂停,ootama,verbs,1.88
1620,走,lubama,verbs,0.25
1621,便宜货,penn,nouns,0.1
1622,修道院,tušš,nouns,0.1
1623,装饰,sein,nouns,0.82
1624,拿,jätma,verbs,0.4
1625,王子,kuningas,nouns,1.95
1626,挂,panema,verbs,1.26
1627,摔倒,komistama,verbs,2.65
1628,阳光,taevas,nouns,1.21
1629,发送,minema,verbs,0.39
1630,篱笆,käsipuu,nouns,0.1
1631,竿,kardin,nouns,0.29
1632,戒除,alustama,verbs,0.3
1633,争论,veenma,verbs,2.19
1634,辩解,vaidlema,verbs,3.26
1635,石,puit,nouns,0.6
1636,大学,klass,nouns,0.74
1637,公寓,hotell,nouns,0.92
1638,卧室,vannituba,nouns,0.88
1639,通知,tunnistama,verbs,0.65
1640,吸收,omama,verbs,0.68
1641,流星,gravitatsioon,nouns,0.4
1642,河流,meri,nouns,1.84
1643,大规模,hiiglasuur,adjectives,3.4
1644,化学,teooria,nouns,0.77
1645,餐,õhtusöök,nouns,3.0
1646,慷慨地,mitte kunagi,adverbs,0.1
1647,子程序,kompilaator,nouns,0.81
1648,讨厌,põlgama,verbs,3.5
1649,发生,tegema,verbs,0.45
1650,公主,saar,nouns,0.0
1651,扼杀,kallistama,verbs,0.35
1652,男孩,partner,nouns,1.07
1653,鸟,kalkun,nouns,1.92
1654,后世,puhastustuli,nouns,0.7
1655,残酷,kena,adjectives,0.0
1656,带来,taastama,verbs,0.15
1657,说服,järgima,verbs,0.24
1658,安全地,õnnelikult,adverbs,0.93
1659,尾巴,tagumine,nouns,2.91
1660,哥哥,isa,nouns,0.83
1661,搜索,uitama,verbs,0.98
1662,显著的,ilmselge,adjectives,3.89
1663,推,süüdistama,verbs,0.43
1664,校验,õigustama,verbs,0.93
1665,小麦,teravili,nouns,3.19
1666,女士,härrasmees,nouns,0.64
1667,大致,kannatamatult,adverbs,0.2
1668,机械师,tööline,nouns,2.33
1669,街,auto,nouns,0.54
1670,走廊,klassiruum,nouns,0.58
1671,存款,säästja,nouns,1.08
1672,秘书,naine,nouns,1.02
1673,国民,tuntud,adjectives,0.5
1674,汽车,lift,nouns,0.35
1675,大型会议,kogunemine,nouns,3.06
1676,悬崖,pära,nouns,0.0
1677,最近,preagu,adverbs,3.44
1678,否认,ülestunnistus,nouns,0.5
1679,狡诈,ebausaldusväärne,adjectives,1.49
1680,南,põhi,nouns,0.69
1681,踝,küünarnukk,nouns,0.88
1682,显然,kindlalt,adverbs,2.86
1683,重要的,tõsiselt,adverbs,1.46
1684,毁灭,tegema,verbs,0.49
1685,鸟,hakk,nouns,2.29
1686,干旱,vesi,nouns,0.34
1687,接受,tagasi lükkama,verbs,0.53
1688,叫喊,vaidlema,verbs,1.04
1689,声明,teadustama,verbs,4.09
1690,美丽,imeline,adjectives,3.38
1691,肝,kops,nouns,0.87
1692,护士,teadlane,nouns,0.19
1693,水晶,klaas,nouns,1.51
1694,士兵,poiss,nouns,1.54
1695,身体,veri,nouns,1.1
1696,裂开,murdma,verbs,1.9
1697,晚饭,eine,nouns,3.0
1698,恶化,pühkima,verbs,0.05
1699,征服,hümn,nouns,0.15
1700,鸟,kana,nouns,1.82
1701,美,sonett,nouns,0.39
1702,应用,galaktika,nouns,0.1
1703,分离,poolitama,verbs,3.14
1704,拯救,vabastama,verbs,4.46
1705,允许,kuluma,verbs,0.1
1706,家长,täiskasvanu,nouns,3.24
1707,海军,saar,nouns,0.24
1708,解剖学,bioloogia,nouns,2.32
1709,相像,sarnane,adjectives,3.7
1710,约定,kaasamine,nouns,1.44
1711,掌握,aru saama,verbs,4.68
1712,水,jää,nouns,2.24
1713,煮,segama,verbs,0.58
1714,派对,mask,nouns,0.54
1715,瞄准,tabama,verbs,1.96
1716,判决书,kohtumenetlus,nouns,1.86
1717,摇动,koguma,verbs,0.1
1718,天神,kurat,nouns,0.65
1719,复杂,küps,adjectives,0.82
1720,学习,hindama,verbs,0.73
1721,法庭,õiglus,nouns,1.35
1722,静脉,valik,nouns,0.1
1723,找到,põgenema,verbs,0.2
1724,紧张,veendunud,adjectives,0.15
1725,到达,lahkuma,verbs,0.54
1726,让,lubama,verbs,3.53
1727,受害者,telefon,nouns,0.15
1728,床,haigla,nouns,0.82
1729,冰,lumi,nouns,2.67
1730,母亲,abikaasa (naine),nouns,2.29
1731,父亲,poeg,nouns,1.13
1732,校园,ülikool,nouns,2.36
1733,灰尘,luud,nouns,0.73
1734,坏,vinge,adjectives,0.14
1735,看来,ilmselgelt,adverbs,1.96
1736,决定,portreteerima,verbs,0.2
1737,提高,jooma,verbs,0.4
1738,威力,jõud,nouns,3.39
1739,雇主,tööline,nouns,0.83
1740,安慰,alandama,verbs,0.09
1741,男人,sõjamees,nouns,1.18
1742,日落,päikesetõus,nouns,0.83
1743,需要,pärima,verbs,0.54
1744,装作,portreteerima,verbs,0.5
1745,借,tahtma,verbs,0.43
1746,笨,tark,adjectives,0.39
1747,调查,järgima,verbs,0.73
1748,建立,lisama,verbs,0.95
1749,弱,vürtsine,adjectives,0.0
1750,世纪,naps,nouns,0.0
1751,赛跑,filosoof,nouns,0.0
1752,从不,ausalt,adverbs,0.0
1753,听,kuulma,verbs,3.58
1754,信息,entroopia,nouns,1.02
1755,每周,igakuine,adjectives,1.42
1756,教育,õppima,verbs,2.54
1757,从不,hiljem,adverbs,0.14
1758,携带,tooma,verbs,2.55
1759,学习,segadusse ajama,verbs,0.3
1760,牧师,jumal,nouns,0.83
1761,徘徊,otsima,verbs,0.98
1762,缺口,ava,nouns,3.31
1763,分析,võrdlema,verbs,3.01
1764,不昂贵,odav,adjectives,4.5
1765,知道,andma,verbs,0.0
1766,警察,kaaspiloot,nouns,0.2
1767,冬天,suvi,nouns,0.6
1768,副手,ohvitser,nouns,0.98
1769,灯,džinn,nouns,0.4
1770,苗条,peenike,adjectives,4.78
1771,戏法,vann,nouns,0.0
1772,作证,kohut mõistma,verbs,0.64
1773,紧张地,rahutult,adverbs,4.26
1774,驱逐,lahkuma,verbs,1.68
1775,恶意软件,uss,nouns,0.8
1776,开口,vahe,nouns,3.31
1777,开襟毛衣,särk,nouns,1.38
1778,极好,suurepärane,adjectives,5.07
1779,故事,raamat,nouns,2.27
1780,享受,meelt lahutama,verbs,1.75
1781,失败,kaotama,verbs,1.37
1782,煮沸,praadima,verbs,0.81
1783,比较,analüüsima,verbs,3.01
1784,承认,eitama,verbs,0.53
1785,不耐烦地,umbes,adverbs,0.2
1786,等待,lahkuma,verbs,0.28
1787,征服,võitlus,nouns,1.27
1788,桥,auto,nouns,0.39
1789,工作者,kaamera,nouns,0.1
1790,通灵研究,neuropsühholoogia,nouns,0.97
1791,柄,valk,nouns,0.0
1792,忽略,jätma,verbs,1.03
1793,积极地,õnnelikult,adverbs,1.12
1794,激情,emotsioon,nouns,3.49
1795,使气馁,julgustama,verbs,0.23
1796,卖,meenutama,verbs,0.0
1797,等式,valem,nouns,2.5
1798,尖叫,karjuma,verbs,3.42
1799,旧,värske,adjectives,0.19
1800,电影,popkorn,nouns,0.78
1801,儿子,isa,nouns,1.13
1802,小说,biograafia,nouns,2.07
1803,发热,gripp,nouns,2.25
1804,船,auto,nouns,0.58
1805,身体,õlg,nouns,0.86
1806,学期,semester,nouns,3.63
1807,存在,uks,nouns,0.2
1808,疾病,oht,nouns,0.57
1809,拿,haarama,verbs,2.92
1810,目标,nool,nouns,0.77
1811,诚实地,ustavalt,adverbs,3.78
1812,任务,kõrs,nouns,0.1
1813,运动员,jooksja,nouns,2.99
1814,从不,heldelt,adverbs,0.1
1815,合唱团,kirik,nouns,0.89
1816,关键,oluline,adjectives,4.32
1817,云,järv,nouns,0.24
1818,电话,putka,nouns,0.6
1819,餐,õhtueine,nouns,3.33
1820,钟,uks,nouns,0.2
1821,不可能,teostatav,adjectives,0.43
1822,笨,rumal,adjectives,4.98
1823,借,andma,verbs,2.49
1824,打,raam,nouns,0.29
1825,指甲,pöial,nouns,0.78
1826,幸福,rahu,nouns,2.38
1827,洗手间,köök,nouns,0.74
1828,田,kaer,nouns,1.03
1829,懒,kallis,adjectives,0.2
1830,法庭,kohtunik,nouns,1.21
1831,大象,compass,nouns,0.6
1832,床,tekk,nouns,0.65
1833,大麻,maitsetaim,nouns,2.07
1834,白兰地酒,alkohol,nouns,3.02
1835,困难,kerge,adjectives,0.34
1836,男人,onu,nouns,2.19
1837,满载,raske,adjectives,1.02
1838,杆,lipp,nouns,1.39
1839,吸收,tagasi võtma,verbs,0.05
1840,本地,lähedaselt,adverbs,0.84
1841,云,aken,nouns,0.15
1842,梦想,taevas,nouns,0.49
1843,庆祝,üllatama,verbs,0.57
1844,父亲,jumal,nouns,0.2
1845,皇帝,kuberner,nouns,0.73
1846,大厦,skulptor,nouns,0.1
1847,感染,käänamine,nouns,0.0
1848,岩浆,vulkaan,nouns,1.68
1849,针织套衫,jakk,nouns,2.4
1850,天空,univesum,nouns,2.13
1851,和平地,uhkelt,adverbs,0.44
1852,蜥蜴,valitsus,nouns,0.0
1853,发生,ilmnema,verbs,1.93
1854,信心十足地,salaja,adverbs,0.4
1855,混合,kombineerima,verbs,1.92
1856,混乱,rahumeelselt,adverbs,0.25
1857,追求,veenma,verbs,0.24
1858,锥形蛋筒,tass,nouns,0.66
1859,地区,tsoon,nouns,4.62
1860,极好,halb,adjectives,0.14
1861,有时,ühtlaselt,adverbs,0.3
1862,批评,väide,nouns,1.15
1863,节约,kulutama,verbs,0.72
1864,大声,ebaviisakas,adjectives,2.35
1865,纯,tagasihoidlik,adjectives,1.01
1866,手指,pihk,nouns,1.31
1867,不定形,vormitu,adjectives,3.32
1868,笔直,kõver,adjectives,0.39
1869,卧室,voodi,nouns,0.92
1870,灯泡,lill,nouns,0.35
1871,死亡,katastroof,nouns,1.94
1872,装作,valetama,verbs,2.49
1873,诚实,süüdi,adjectives,0.45
1874,后部,pära,nouns,2.91
1875,保护,aitama,verbs,1.4
1876,苹果,päikesepaiste,nouns,0.29
1877,赛跑运动员,sportlane,nouns,2.99
1878,危险地,ettevaatlikult,adverbs,0.38
1879,分离,lisama,verbs,0.33
1880,站立,kõndima,verbs,0.43
1881,背景,tapeet,nouns,2.9
1882,减少,kahanema,verbs,2.94
1883,订婚,abielluma,verbs,1.93
1884,动物,elajas,nouns,4.22
1885,未公开,avalik,adjectives,0.44
1886,伤心,uhke,adjectives,0.14
1887,同意,mitte nõustuma,verbs,0.43
1888,练习,kordama,verbs,2.31
1889,矩阵,vektor,nouns,1.2
1890,玩具,kuup,nouns,0.44
1891,哨,peatuma,verbs,0.15
1892,伤害,kukkuma,verbs,1.02
1893,国民,suur,adjectives,0.45
1894,果园,jaanalind,nouns,0.0
1895,小学生,üliõpilane,nouns,3.85
1896,技巧,intelligentsus,nouns,2.08
1897,小巷,tänav,nouns,3.54
1898,屋顶,aken,nouns,0.64
1899,工业,äri,nouns,1.51
1900,发动机,masin,nouns,2.42
1901,肉,võileib,nouns,0.68
1902,代码,sümbol,nouns,2.35
1903,果汁,jäätisekokteil,nouns,0.88
1904,唇,suu,nouns,2.38
1905,猫,koer,nouns,0.92
1906,找到,kaduma,verbs,0.35
1907,椅子,diivan,nouns,1.94
1908,电线,nöör,nouns,1.44
1909,知道,hoomama,verbs,3.51
1910,两次,üks kord,adverbs,0.72
1911,自豪,rõõm,nouns,1.61
1912,头盔,relv,nouns,0.43
1913,直觉,meel,nouns,3.69
1914,传播,määrima,verbs,0.67
1915,强大,nõrk,adjectives,0.1
1916,通常,ebaregulaarselt,adverbs,0.43
1917,重要的,ametlikult,adverbs,1.75
1918,爬,matkama,verbs,1.18
1919,货车,pakk,nouns,0.7
1920,长凳,tool,nouns,3.81
1921,失败,tuginema,verbs,0.09
1922,艺术家,kunstiteos,nouns,1.16
1923,相信,aktsepteerima,verbs,1.25
1924,码,meeter,nouns,1.98
1925,车,maantee,nouns,0.6
1926,小亭,telefon,nouns,0.6
1927,接受,nõustuma,verbs,4.32
1928,房屋,võti,nouns,0.5
1929,指甲,pea,nouns,0.25
1930,射线,päikesepaiste,nouns,1.39
1931,葬礼,surm,nouns,1.07
1932,建造,purustamine,nouns,0.58
1933,犯罪,rünnak,nouns,1.6
1934,警察,poliitik,nouns,0.29
1935,头,õlg,nouns,0.64
1936,科学家,õde,nouns,0.19
1937,日常,normaalselt,adverbs,3.44
1938,撞击,kokku põrkama,verbs,3.24
1939,衣服,sahtel,nouns,0.55
1940,韵律,aritmeetika,nouns,0.7
1941,主题,teemaviide,nouns,2.8
1942,树,leht,nouns,0.73
1943,牙医,kolonel,nouns,0.14
1944,帽子,mantel,nouns,1.14
1945,车辆,buss,nouns,2.65
1946,贫困,jõukus,nouns,0.4
1947,百科全书,sõnaraamat,nouns,1.92
1948,陷害,tabamus,nouns,0.29
1949,使惊奇,tähistama,verbs,0.57
1950,牛奶,mahl,nouns,0.82
1951,灵活,kerge,adjectives,0.82
1952,审判,kohtuotsus,nouns,1.86
1953,盒子,allikas,nouns,0.0
1954,坏,hirmus,adjectives,1.37
1955,丰富,paljusus,nouns,4.29
1956,做,hävitama,verbs,0.49
1957,奖学金,õppemaks,nouns,1.06
1958,从不,negatiivne,adjectives,1.41
1959,静脉,kõht,nouns,0.29
1960,依靠,sõltuma,verbs,3.44
1961,幻灯片,osuti,nouns,0.14
1962,消失,kahanema,verbs,0.98
1963,孩子,poiss,nouns,3.03
1964,地球,maailm,nouns,2.84
1965,坏,õudne,adjectives,3.17
1966,独立地,vastutustundlikult,adverbs,1.35
1967,建立,looma,verbs,4.07
1968,杂志,artikkel,nouns,1.84
1969,徘徊,rändama,verbs,3.2
1970,风,torm,nouns,2.81
1971,作曲家,kirjanik,nouns,1.92
1972,找到,omandama,verbs,1.89
1973,门,köök,nouns,0.25
1974,等待,jääma,verbs,1.14
1975,停止,kontrollima,verbs,0.48
1976,天花板,katedraal,nouns,0.55
1977,恐龙,elevant,nouns,0.49
1978,总统,linnapea,nouns,1.65
1979,市长,pealik,nouns,2.78
1980,纸,papp,nouns,2.9
1981,简直,ilmselt,adverbs,1.2
1982,流言蜚语,uudised,nouns,2.19
1983,信封,kaunistus,nouns,0.57
1984,募捐,arendus,nouns,0.29
1985,强大,võimas,adjectives,4.53
1986,苹果,mahl,nouns,1.57
1987,未拿定主意,neutraalne,adjectives,1.02
1988,呛,hingama,verbs,0.67
1989,管弦乐队,bänd,nouns,3.6
1990,预热,taassoojendama,nouns,0.97
1991,身体,aluspesu,nouns,0.4
1992,大灾变,tuli,nouns,0.81
1993,信念,lill,nouns,0.14
1994,真诚地,ausalt,adverbs,4.54
1995,枫木,tamm,nouns,1.83
1996,甜,elektriline,adjectives,0.1
1997,学院,amet,nouns,0.39
1998,正义,vahekohus,nouns,1.35
1999,枪,nuga,nouns,2.29
2000,深度地,tähendusrikkalt,adverbs,2.97
2001,战斗,sõjakus,nouns,2.25
2002,邮包,veok,nouns,0.7
2003,政治家,president,nouns,3.15
2004,温和地,lahkelt,adverbs,2.88
2005,类别,kaos,nouns,0.15
2006,清醒,haigutama,verbs,0.68
2007,脾气,arst,nouns,0.1
2008,摇床,võrevoodi,nouns,3.05
2009,累,näljane,adjectives,0.68
2010,花朵,vastupidavus,nouns,0.38
2011,普通,igapäevane,adjectives,4.91
2012,资料,ajaleht,nouns,1.61
2013,病理学,hematoloogia,nouns,1.74
2014,政治家,politseinik,nouns,0.29
2015,氦气,õhk,nouns,2.07
2016,肌肉,keel,nouns,0.81
2017,画廊,advokaat,nouns,0.0
2018,娱乐,nautima,verbs,1.75
2019,成长,laiendama,verbs,2.65
2020,有攻击性的,ebaviisakas,adjectives,1.94
2021,强烈地,ametlikult,adverbs,0.82
2022,给,hoidma,verbs,0.34
2023,鸵鸟,puuvijaaed,nouns,0.0
2024,喝,neelama,verbs,1.65
2025,沐浴,palk,nouns,0.0
2026,徽章,klaas,nouns,0.2
2027,文学,raamat,nouns,2.2
2028,操纵杆,radar,nouns,0.24
2029,饮品,õlu,nouns,2.13
2030,鼻子,pea,nouns,0.49
2031,观看,uurima,verbs,3.83
2032,笨,rumal,adjectives,5.41
2033,狭窄,pikk,adjectives,0.58
2034,波浪,ilm,nouns,0.24
2035,靠不住的,kaudne,adjectives,1.49
2036,确定,evakueerima,verbs,0.05
2037,有弹性,paindlik,adjectives,3.88
2038,罕见,loll,adjectives,0.0
2039,资本,raha,nouns,3.58
2040,乐队,naps,nouns,0.3
2041,教练,õpetaja,nouns,2.99
2042,表,päikeseloojang,nouns,0.05
2043,辩论,vaidlema,verbs,2.84
2044,状态,poiss,nouns,0.18
2045,成熟,peen,adjectives,0.82
2046,大教堂,kirik,nouns,4.88
2047,节目,matemaatik,nouns,0.05
2048,大规模,avatult,adverbs,0.65
2049,字典,definitisioon,nouns,1.27
2050,旅程,vallutus,nouns,0.72
2051,岛,ülesanne,nouns,0.0
2052,星,asteroid,nouns,2.6
2053,代数,tehe,nouns,0.7
2054,蠕虫,pahavara,nouns,0.8
2055,机灵,loll,adjectives,0.34
2056,离开,välja tõstma,verbs,1.68
2057,乐队,vastupidavus,nouns,0.15
2058,侧面,põhi,nouns,0.59
2059,脑,närv,nouns,1.81
2060,困难,kerge,adjectives,0.24
2061,放开,suruma,verbs,0.2
2062,指南,käsiraamat,nouns,3.06
2063,亲王国,hertsogkond,nouns,2.08
2064,获得,varastama,verbs,0.89
2065,脊柱,keha,nouns,1.48
2066,老鼠,tekk,nouns,0.15
2067,苹果,dieet,nouns,0.67
2068,留,lahkuma,verbs,0.34
2069,给予,saama,verbs,0.4
2070,钢琴,harmoonia,nouns,0.88
2071,改变,vahetama,verbs,3.41
2072,任务,töö,nouns,3.28
2073,风暴,pilv,nouns,1.06
2074,人,relv,nouns,0.05
2075,吉他,forell,nouns,0.0
2076,擦,halvenema,verbs,0.05
2077,援助,assisteerima,verbs,4.07
2078,非常好,räpane,adjectives,0.25
2079,冰雹,vihm,nouns,1.92
2080,纱,niit,nouns,1.92
2081,强硬,kõva,adjectives,3.14
2082,对抗,ärritama,verbs,0.24
2083,悲伤,rõõm,nouns,0.5
2084,在别处,kodus,adverbs,0.53
2085,十年,sajand,nouns,0.84
2086,歌手,koosseis,nouns,0.58
2087,幼苗,leht,nouns,0.86
2088,豆,kohv,nouns,0.88
2089,讨论,vaidlus,nouns,3.32
2090,顽固,rumal,adjectives,2.01
2091,巨大,suur,adjectives,3.4
2092,显然,umbes,adverbs,0.38
2093,家,osariik,nouns,0.3
2094,母亲,issi,nouns,0.83
2095,尖,leebe,adjectives,0.15
2096,建造,tegema,verbs,2.63
2097,阴谋家,strateeg,nouns,3.0
2098,紧紧,tugevalt,adverbs,2.83
2099,參加,lahkuma,verbs,0.33
2100,芥末,seeme,nouns,0.83
2101,海,tsunaami,nouns,1.33
2102,母鸡,lind,nouns,1.82
2103,海,delta,nouns,0.69
2104,暴动,joonistus,nouns,0.1
2105,线索,sõna,nouns,0.44
2106,创建,hävitama,verbs,0.48
2107,降落,vähenema,verbs,0.64
2108,选择,valimine,nouns,2.92
2109,名誉,jõukus,nouns,1.05
2110,主要地,surmavalt,adverbs,0.0
2111,相反,ainulaadne,adjectives,1.05
2112,小说,kirjanik,nouns,0.7
2113,仪式,pidustus,nouns,2.88
2114,大致,robustselt,adverbs,1.51
2115,获得,ühinema,verbs,0.29
2116,船,tekk,nouns,0.67
2117,旗,mast,nouns,1.39
2118,感觉,intuitsioon,nouns,3.69
2119,未成形,ühtne,adjectives,0.3
2120,舒服地,kergelt,adverbs,1.52
2121,组织,koguma,verbs,0.7
2122,得到,omandama,verbs,4.17
2123,再热,eelsoojendama,nouns,0.97
2124,毛毛雨,vihm,nouns,3.68
2125,伟大,halb,adjectives,0.15
2126,打中,mööda lööma,verbs,0.58
2127,绝望,kannatused,nouns,2.43
2128,古老,uus,adjectives,0.29
2129,行政管理,juhtkond,nouns,3.96
2130,肩,keha,nouns,0.86
2131,大自然,floora,nouns,2.26
2132,成年人,imik,nouns,0.73
2133,理解,teadma,verbs,3.51
2134,影片,linateos,nouns,4.64
2135,接受,uskuma,verbs,1.25
2136,和声,klaver,nouns,0.88
2137,驱逐,vabastama,verbs,0.72
2138,果汁,piim,nouns,0.82
2139,模式,mood,nouns,0.55
2140,软管,aed,nouns,0.45
2141,最近,hiljuti,adverbs,4.72
2142,女儿,tita,nouns,2.12
2143,面包,liha,nouns,0.44
2144,深深地,enamasti,adverbs,0.53
2145,可悲的是,pööraselt,adverbs,0.39
2146,鼓,ruupor,nouns,0.65
2147,击剑,võimlemine,nouns,1.26
2148,兄弟会,mehed,nouns,1.23
2149,壁橱,riided,nouns,0.73
2150,医生,arst,nouns,4.91
2151,巧妙的,rahulikult,adverbs,1.27
2152,救援,päästma,verbs,4.46
2153,窗帘,varras,nouns,0.29
2154,非一般,haruldane,adjectives,4.29
2155,装作,oletama,verbs,1.69
2156,相机,lääts,nouns,0.97
2157,毛毛虫,siidiuss,nouns,2.3
2158,微妙地,valjult,adverbs,0.0
2159,犯罪,pettus,nouns,3.11
2160,今天,täna õhtul,adverbs,2.48
2161,摔碎,kokku põrkama,verbs,1.53
2162,惩罚,alluma,verbs,0.39
2163,没有覆蓋的,kaetud,adjectives,0.34
2164,内疚,aus,adjectives,0.45
2165,木材,palk,nouns,3.65
2166,货车,auto,nouns,2.96
2167,戏法,mäng,nouns,1.17
2168,冷静地,tugevalt,adverbs,0.48
2169,智力,oskus,nouns,2.08
2170,哥哥,poiss,nouns,2.04
2171,付款,kohtlema,verbs,0.24
2172,宇宙,taevas,nouns,2.13
2173,漂移,voolama,verbs,1.85
2174,笨,põikpäine,adjectives,2.01
2175,墙壁,dekoratsioon,nouns,0.82
2176,攻击,välja vihastama,verbs,0.83
2177,汽车,tank,nouns,0.82
2178,幸运,häbenev,adjectives,0.1
2179,小巷,kauss,nouns,0.0
2180,周末,rass,nouns,0.0
2181,一分钱,rahvas,nouns,0.05
2182,自行车,magamistuba,nouns,0.05
2183,草,juur,nouns,0.73
2184,通常,harva,adverbs,0.48
2185,轻轻的,tugevalt,adverbs,0.3
2186,不同,surmavalt,adverbs,0.1
2187,捕获,imiteerima,verbs,0.45
2188,说服,vaidlema,verbs,2.19
