ID,ENG,SWA,PoS,score
1467,chair,sofa,nouns,3.09
1468,window,dirisha,nouns,0.17
1469,mine,machimbo,nouns,0.27
1470,road,barabara,nouns,4.34
1471,radar,rada,nouns,0.41
1472,remain,kupata,verbs,0.1
1473,gin,kileo,nouns,2.21
1474,teacher,rabai,nouns,1.66
1475,swear,kuapa,verbs,4.57
1476,emperor,mtawala,nouns,0.22
1477,gun,mzinga,nouns,2.02
1478,become,kujitokeza,verbs,0.64
1479,safe,salama,adjectives,0.43
1480,die,kufariki,verbs,0.15
1481,infection,ugonjwa,nouns,3.56
1482,universe,anga,nouns,0.74
1483,law,shule,nouns,0.13
1484,mouse,paka,nouns,0.3
1485,recently,hivi karibuni,adverbs,0.0
1486,come,kwenda,verbs,0.36
1487,know,kuelewa,verbs,3.65
1488,lake,ziwa,nouns,0.05
1489,accept,kuamini,verbs,1.95
1490,passively,pasipo tu,adverbs,0.04
1491,lawyer,mwanasheria,nouns,0.0
1492,renounce,kukataa,verbs,0.69
1493,heavy,mkubwa,adjectives,2.12
1494,reburial,zika upya,nouns,0.91
1495,decomposition,utengano,nouns,0.39
1496,whip,kubuta,verbs,2.54
1497,topic,mada,nouns,0.39
1498,oasis,oasisi,nouns,0.15
1499,old,zamani,adjectives,0.0
1500,wall,tofali,nouns,1.21
1501,dive,piga mbizi,verbs,0.0
1502,racism,ubaguzi wa rangi,nouns,3.96
1503,information,gazeti,nouns,1.51
1504,headword,nenokuu,nouns,0.54
1505,tail,bakuli,nouns,0.0
1506,congress,mkutano,nouns,2.76
1507,remind,kuuza,verbs,0.0
1508,president,uchafuzi,nouns,0.22
1509,straw,jukumu,nouns,0.0
1510,cameo,kutokea kwenye onyesho,nouns,1.24
1511,accept,kukataa,verbs,0.09
1512,scientist,muuguzi,nouns,0.27
1513,valley,mto,nouns,0.68
1514,become,kutengeneza,verbs,0.32
1515,retain,kubaki,verbs,0.34
1516,bride,bwana arusi,nouns,0.99
1517,mouse,menejimenti,nouns,0.0
1518,realistically,kwelikweli,adverbs,0.0
1519,christian,mkristo,nouns,3.17
1520,press,kuvyombo vya habari,verbs,0.0
1521,gale,upepo mkali,nouns,0.0
1522,attempt,kujaribu,verbs,0.82
1523,clothes,koti,nouns,2.17
1524,concept,imani,nouns,1.22
1525,chocolate,keki,nouns,0.72
1526,hard,rahisi,adjectives,0.24
1527,theme,kitabu,nouns,0.04
1528,celebrate,kusherekea,verbs,0.19
1529,educate,kuelimisha,verbs,5.42
1530,unusually,sio kawaida,adverbs,4.88
1531,god,shetani,nouns,0.27
1532,translator,mtafsiri,nouns,0.15
1533,fur,bunduki,nouns,0.0
1534,state,nyumba,nouns,0.37
1535,bring,kuja,verbs,0.39
1536,storm,theluji,nouns,0.79
1537,glass,glasi,nouns,0.04
1538,narrow,mrefu,adjectives,0.26
1539,carpet,nyumba,nouns,0.14
1540,homophone,nyumba ya nyumbani,nouns,0.04
1541,evacuate,kuondoka,verbs,0.0
1542,cab,basi,nouns,1.74
1543,public,hadharani,adjectives,0.04
1544,suffrage,haki ya upigaji kura,nouns,0.0
1545,shine,kuangaza,verbs,3.51
1546,disintegrate,kutenganisha,verbs,0.15
1547,meal,karamu,nouns,2.85
1548,pipe,sigara,nouns,0.74
1549,biology,biolojia,nouns,0.69
1550,begin,kwenda,verbs,0.82
1551,alter,kubadilisha,verbs,5.46
1552,shoulder,mkono,nouns,1.44
1553,fundraising,mchango,nouns,0.14
1554,brother,mvulana,nouns,2.2
1555,put,kupa,verbs,0.15
1556,dog,farasi,nouns,0.28
1557,know,kusahau,verbs,0.09
1558,multiplication,zidisha,nouns,0.53
1559,dollar,watu,nouns,0.35
1560,red,nyekundu,adjectives,0.61
1561,cereal,ngano,nouns,1.8
1562,innovative,bunifu,adjectives,4.07
1563,carbohydrate,wanga,nouns,1.58
1564,often,mara nyingi,adverbs,0.64
1565,bar,zizi,nouns,0.81
1566,acknowledge,kukubali,verbs,2.01
1567,mountain,mwamba,nouns,1.22
1568,acknowledge,kujulisha,verbs,0.84
1569,narrow,mpana,adjectives,0.09
1570,dirty,mwembamba,adjectives,0.0
1571,word,ishara,nouns,0.2
1572,mechanical,a kifundi,adjectives,0.27
1573,fluid,majimaji,nouns,0.04
1574,dangerously,kwa uhatari,adverbs,0.0
1575,rod,pazia,nouns,0.21
1576,squad,jeshi,nouns,2.06
1577,season,msimu wa baridi,nouns,2.26
1578,find,kupotea,verbs,0.1
1579,create,kuwazia,verbs,0.69
1580,age,urembo,nouns,0.17
1581,remind,kumbusha,verbs,1.06
1582,weather,wingu,nouns,1.18
1583,purely,kweli,adverbs,1.71
1584,fiction,wasifu,nouns,0.79
1585,book,dhima,nouns,0.04
1586,minor,mdogo,adjectives,0.04
1587,muscle,mfupa,nouns,0.33
1588,literature,kitabu,nouns,2.32
1589,entropy,kuzorota,nouns,0.39
1590,tuition,ada,nouns,1.29
1591,west,kaskazini,nouns,0.65
1592,church,kwaya,nouns,0.94
1593,stream,mto,nouns,3.51
1594,destruction,ujenzi,nouns,0.13
1595,adjourn,kuhairisha,verbs,2.04
1596,tail,mkia,nouns,2.76
1597,right,maadili,nouns,1.15
1598,kid,mtoto wa kike,nouns,1.3
1599,seldom,mara chache,adverbs,0.12
1600,incredible,maradufu,adjectives,0.09
1601,mechanic,mfanyakazi,nouns,1.76
1602,administration,menejimenti,nouns,3.22
1603,chair,kiti,nouns,2.94
1604,mint,minti,nouns,0.04
1605,corruption,rushwa,nouns,2.33
1606,dairy,maziwa,nouns,0.15
1607,try,kufikiria,verbs,0.0
1608,borrower,mkopi,nouns,0.66
1609,pact,mapatano,nouns,5.15
1610,eye,chozi,nouns,0.77
1611,guardian,mama,nouns,2.77
1612,scared,ogopa,adjectives,3.09
1613,heart,upasuaji,nouns,0.38
1614,deteriorate,kuzorota,verbs,0.0
1615,hospital,kitanda,nouns,0.2
1616,powerful,mwenye nguvu,adjectives,0.14
1617,smash,kuharibu,verbs,3.63
1618,car,gari,nouns,3.2
1619,ignore,kuondoka,verbs,0.67
1620,cow,mbuzi,nouns,0.68
1621,roof,dari,nouns,4.0
1622,get,kubaki,verbs,0.1
1623,character,mhusika,nouns,2.57
1624,include,kukuhusisha,verbs,3.29
1625,bat,popo,nouns,0.72
1626,blue,bluu,adjectives,0.61
1627,trout,samaki,nouns,0.0
1628,camera,rais,nouns,0.0
1629,house,kapeti,nouns,0.14
1630,kitchen,mlango,nouns,0.09
1631,meet,kusalimia,verbs,1.41
1632,pursue,kupeleleza,verbs,3.15
1633,disease,ugonjwa wa kuambukiza ,nouns,3.56
1634,convocation,mkutano,nouns,4.22
1635,door,sela,nouns,0.04
1636,stud,mvulana,nouns,0.69
1637,belief,ua,nouns,0.17
1638,story,kitabu,nouns,1.71
1639,stop,kuacha,verbs,0.14
1640,relaxed,kupumzika,adjectives,0.04
1641,woman,jukumu,nouns,0.05
1642,inn,hosteli,nouns,3.06
1643,cherry,cheri,nouns,1.33
1644,fail,kushidwa,verbs,0.05
1645,grass,mwani,nouns,1.56
1646,narrow,mchafu,adjectives,0.0
1647,man,mtoto,nouns,0.22
1648,party,sherehe,nouns,0.05
1649,artificial,sio asili,adjectives,5.03
1650,day,usiku,nouns,0.35
1651,button,nguo,nouns,0.61
1652,mad,bila furaha,adjectives,2.22
1653,give,kuruhusu,verbs,0.56
1654,mad,mkubwa sana,adjectives,0.0
1655,mill,koboa,nouns,0.22
1656,suspect,mshukiwa,nouns,0.07
1657,language,mawasiliano,nouns,2.24
1658,believe,kujua,verbs,1.4
1659,organize,panga,verbs,1.55
1660,anger,ghadhabu,nouns,5.02
1661,candy,peremende,nouns,0.27
1662,pole,mlingoti,nouns,0.51
1663,crude,mbaya,adjectives,1.66
1664,system,mfumo,nouns,0.12
1665,birthday,mwaka,nouns,0.52
1666,man,baba,nouns,2.31
1667,paper,kuni,nouns,0.61
1668,bread,nyama,nouns,0.14
1669,unnaturally,si asili,adverbs,0.23
1670,wear,kuvaa,verbs,0.36
1671,heroine,mwanaume wa shujaa,nouns,2.56
1672,gun,mbinu,nouns,0.05
1673,wagon,chombo,nouns,0.15
1674,digit,tarakimu,nouns,5.38
1675,chase,kukimbiza,verbs,0.37
1676,agree,kugombana,verbs,0.19
1677,absence,kuwepo,nouns,0.27
1678,journey,ushindi,nouns,0.63
1679,teach,kufundisha,verbs,2.81
1680,kill,ua,verbs,0.44
1681,truck,gari la mzigo,nouns,0.0
1682,gather,kuhudhuria,verbs,0.52
1683,fragile,baridi,adjectives,0.1
1684,payment,malipo,nouns,0.86
1685,acetylcholine,acetylcholine,nouns,0.0
1686,boat,sitaha,nouns,0.39
1687,probably,uwezekano,adverbs,2.96
1688,camp,kibanda,nouns,0.59
1689,illustration,katuni,nouns,0.0
1690,affordable,nafuu,adjectives,3.24
1691,once,mara moja,adverbs,0.5
1692,organ,figo,nouns,2.2
1693,term,muhula,nouns,4.79
1694,cop,polisi,nouns,0.04
1695,kill,kukaba,verbs,0.65
1696,supremacy,ukuu,nouns,1.8
1697,tribunal,mahakama,nouns,1.95
1698,do,kutukia,verbs,0.49
1699,job,jukumu,nouns,3.79
1700,never,kamwe,adjectives,0.19
1701,syntax,sintaksia,nouns,0.54
1702,offender,mkosaji,nouns,4.59
1703,priest,mungu,nouns,0.44
1704,critical,muhimu,adjectives,0.42
1705,weep,kutoa machozi,verbs,4.78
1706,communicate,kusali,verbs,0.49
1707,airport,ndege,nouns,1.04
1708,man,mshindi,nouns,0.31
1709,anarchy,vurugu,nouns,3.88
1710,protect,kukinga,verbs,4.35
1711,post,nguzo,nouns,0.0
1712,bone,mkono,nouns,0.41
1713,mediocre,mtumba,adjectives,0.61
1714,conquest,nyimbo,nouns,0.05
1715,manuscript,muswada,nouns,2.36
1716,verdict,kesi,nouns,1.25
1717,bone,kifundo cha mguu,nouns,1.21
1718,denial,kukiri,nouns,0.37
1719,condition,hali,nouns,1.74
1720,crash,kugonga,verbs,2.19
1721,discourage,kutia moyo,verbs,0.14
1722,god,padri,nouns,0.44
1723,palm,kidole,nouns,0.94
1724,hymn,majani makavu,nouns,0.0
1725,sign,alama,nouns,4.33
1726,apparently,inaonekana,adverbs,2.43
1727,passively,kwa kutegemewa,adverbs,0.0
1728,payment,malipo,nouns,1.21
1729,get,kushindwa,verbs,0.1
1730,crazy,mgonjwa,adjectives,0.35
1731,bread,unga,nouns,0.94
1732,hallway,korido,nouns,4.96
1733,acknowledge,kuzungumza,verbs,0.37
1734,screen,kiwambo,nouns,0.15
1735,bulb,ua,nouns,1.23
1736,winter,msimu wa joto,nouns,0.34
1737,drink,kunywa,verbs,0.0
1738,fury,hasira,nouns,5.02
1739,inquire,kuhitaji,verbs,0.05
1740,street,kichochoro,nouns,2.42
1741,bath,mke,nouns,0.0
1742,want,kuazima,verbs,0.3
1743,island,mtoto wa mfalme,nouns,0.0
1744,attend,kuhudhuria,verbs,0.0
1745,meet,kukutana,verbs,0.27
1746,mob,umati,nouns,4.37
1747,sadly,kwa huzuni,adverbs,1.01
1748,blood,damu,nouns,0.3
1749,ball,mavazi,nouns,0.05
1750,student,mwanafunzi,nouns,0.71
1751,meaningfully,kwa maana,adverbs,2.06
1752,sergeant,mjeshi,nouns,0.67
1753,yard,inchi,nouns,1.27
1754,august,mwezi,nouns,2.55
1755,story,hadithi,nouns,0.0
1756,ledge,mlima,nouns,1.22
1757,agreement,pambano,nouns,0.09
1758,people,sherehe,nouns,0.54
1759,keyboard,kibodi,nouns,0.0
1760,plane,uwanja wa ndege,nouns,1.04
1761,impossible,kutowekana,adjectives,0.14
1762,dumb,adimu,adjectives,0.0
1763,telephone,simu,nouns,3.92
1764,democracy,demokrasia,nouns,0.96
1765,wife,mama,nouns,2.24
1766,temper,daktari,nouns,0.0
1767,permit,kuruhusu,verbs,4.58
1768,poor,maskini,adjectives,0.0
1769,mouse,ndezi,nouns,3.21
1770,pretend,kuonekana,verbs,0.84
1771,mosaic,mosaic,nouns,0.24
1772,smash,kupondwa,verbs,2.19
1773,depression,huzuni,nouns,0.5
1774,cat,simba,nouns,1.19
1775,avoid,kupuuza,verbs,2.58
1776,lift,kunyanyua,verbs,4.53
1777,matrix,matriksi,nouns,0.87
1778,keep,kuazima,verbs,0.17
1779,well,salama,adjectives,0.27
1780,never,kamwe,adverbs,0.0
1781,silkworm,mnyoo wa nyuzi,nouns,1.23
1782,crown,taji,nouns,0.0
1783,top,upande,nouns,0.41
1784,flour,mkate,nouns,0.94
1785,preschool,shule ya mapema,nouns,4.5
1786,please,kukubali,verbs,0.39
1787,foreskin,govi,nouns,1.29
1788,daughter,baba,nouns,0.17
1789,ozone,ozoni,nouns,2.59
1790,head,kichwa,nouns,0.64
1791,parent,baba,nouns,3.63
1792,performer,mwigizaji,nouns,0.44
1793,episode,sehemu,nouns,2.16
1794,listen,kusikia,verbs,4.62
1795,agree,kutofautiana,verbs,0.09
1796,nail,kichwa,nouns,0.1
1797,save,kuokoa,verbs,0.0
1798,millionaire,milionea,nouns,0.86
1799,cruel,mwema,adjectives,0.05
1800,day,asubuhi,nouns,1.45
1801,body,uti,nouns,0.39
1802,send,kuleta,verbs,0.09
1803,bubble,mapovu,nouns,2.34
1804,home,nyumbani,adverbs,0.15
1805,sad,huzuni,adjectives,0.0
1806,quickly,kwa haraka,adverbs,4.0
1807,princedom,mfalme,nouns,2.03
1808,assault,kushambulia,verbs,0.42
1809,orthodontist,daktari,nouns,2.05
1810,candidate,mshindi,nouns,0.94
1811,key,kifunguo,nouns,0.0
1812,unclear,haijulikani,adjectives,4.99
1813,urgently,haraka,adverbs,4.0
1814,viscosity,mnato,nouns,0.15
1815,luck,furaha,nouns,0.29
1816,flee,kukimbia,verbs,4.45
1817,boat,meli,nouns,0.0
1818,jacket,sweta,nouns,3.07
1819,nervous,wasiwasi,adjectives,3.09
1820,chair,kitanda,nouns,0.57
1821,drum,pembe,nouns,0.26
1822,hymn,biblia,nouns,0.43
1823,inform,arifu,verbs,0.0
1824,hallway,darasa,nouns,0.04
1825,job,menejimenti,nouns,0.72
1826,throne,kiti cha enzi,nouns,0.07
1827,fifth,wa tano,adjectives,0.0
1828,needy,mhitaji,adjectives,0.69
1829,clever,mpumbavu,adjectives,0.14
1830,remain,kudumisha,verbs,0.34
1831,decoration,ukuta,nouns,0.3
1832,prejudice,ubaguzi,nouns,1.6
1833,forgive,samehea,verbs,4.83
1834,billionaire,bilionea,nouns,0.27
1835,flight,ndege,nouns,3.31
1836,frustrate,kufadhaisha,verbs,1.59
1837,woman,manyoya,nouns,0.0
1838,exit,mlangoni,nouns,2.1
1839,massively,kwa ukubwa,adverbs,0.1
1840,apocalypse,siku ya mwisho,nouns,0.19
1841,fact,umaizi,nouns,1.88
1842,sing,kuimba,verbs,0.15
1843,pineapple,nanasi,nouns,0.0
1844,kill,kuharibu,verbs,2.04
1845,fashion,mtindo,nouns,3.21
1846,top,juu,adjectives,0.0
1847,course,tendo,nouns,1.04
1848,source,chanzo,nouns,0.0
1849,constitution,katiba,nouns,0.37
1850,intend,kuania,verbs,0.82
1851,disk,diski,nouns,0.12
1852,anxiously,kwa wasiwasi,adverbs,5.11
1853,hero,mwanamke wa shujaa,nouns,2.56
1854,hawk,ndege,nouns,2.96
1855,kindergarten,elimu ya awali,nouns,4.5
1856,peacefully,kwa amani,adverbs,0.04
1857,monk,padri,nouns,3.1
1858,meet,kupatana,verbs,0.0
1859,bad,wa dhambi,adjectives,2.96
1860,enter,kudaiwa,verbs,0.0
1861,pretend,jifanya,verbs,2.61
1862,chapter,mkia,nouns,0.0
1863,chart,chati,nouns,3.45
1864,steak,kuku,nouns,0.51
1865,contribution,mchango,nouns,3.35
1866,reprimand,kulaani,verbs,0.04
1867,happen,kufanya,verbs,0.49
1868,advise,kushauri,verbs,3.91
1869,find,kupata,verbs,0.0
1870,select,kuchagua,verbs,5.17
1871,learn,kuchambua,verbs,0.67
1872,uncle,binamu,nouns,0.41
1873,liberty,uhuru,nouns,4.77
1874,comfort,kufaraja,verbs,0.04
1875,cat,mbwa,nouns,0.51
1876,leaf,jani,nouns,0.83
1877,certain,ana hakika,adjectives,4.99
1878,control,kudhibiti,verbs,0.72
1879,observe,kutazama,verbs,5.37
1880,cathedral,kanisa kuu,nouns,4.0
1881,victor,mwanaume,nouns,0.31
1882,warn,onya,verbs,0.43
1883,die,kufariki,verbs,1.33
1884,trick,bunduki,nouns,0.05
1885,young,isiyotulia,adjectives,0.14
1886,hose,gari,nouns,0.0
1887,bring,kulalamika,verbs,0.05
1888,inquire,kuwaza,verbs,0.7
1889,vocalist,mtaalamu wa sauti,nouns,0.15
1890,monkey,nyani,nouns,0.0
1891,cuddle,kukumbatia,verbs,5.09
1892,cheap,si ghali,adjectives,5.33
1893,behaviorism,somo la tabia,nouns,0.57
1894,wife,tundu,nouns,0.0
1895,squint,kufinya macho,verbs,0.69
1896,alphabet,alphabeti,nouns,0.04
1897,wrathful,mkali,adjectives,0.0
1898,blanket,kitanda,nouns,0.96
1899,girl,mvulana,nouns,0.48
1900,elbow,mfupa,nouns,0.7
1901,good,nzuri,adjectives,0.0
1902,exciting,sisimsha,adjectives,0.04
1903,baseball,undugu,nouns,0.0
1904,news,habari,nouns,1.31
1905,sweater,jaketi,nouns,3.07
1906,punch,kukupiga ngumi,verbs,0.42
1907,wrong,kosa,adjectives,0.0
1908,elect,kuteua,verbs,0.0
1909,communication,televisheni,nouns,0.89
1910,sheep,mwanakondoo,nouns,4.17
1911,flag,bendera,nouns,0.51
1912,reality,njozi,nouns,0.17
1913,subroutine,subroutine,nouns,0.31
1914,eye,nyusi,nouns,0.77
1915,volleyball,mpira wa wavu,nouns,2.34
1916,bird,mwewe,nouns,2.96
1917,definitely,hakika,adverbs,4.6
1918,wipe,kupanguza,verbs,0.0
1919,story,wimbo,nouns,0.56
1920,disown,kutelekeza,verbs,0.09
1921,smart,mpumbavu,adjectives,0.09
1922,loud,yenye sauti,adjectives,0.34
1923,brightly,kwa ukali,adverbs,0.42
1924,book,kitabu,nouns,2.36
1925,succeed,kujaribu,verbs,0.83
1926,leave,kufika,verbs,0.09
1927,fur,ngozi,nouns,2.46
1928,ceiling,paa,nouns,4.0
1929,choke,kupumua,verbs,0.05
1930,deliver,kukubali,verbs,0.0
1931,instrument,zeze,nouns,1.59
1932,stomach,chumba cha kulala,nouns,0.0
1933,disprove,kukanusha,verbs,0.0
1934,speak,kusikia,verbs,0.24
1935,earthquake,tetemeko la ardhi,nouns,2.66
1936,kick,kupiga,verbs,0.46
1937,cellar,mlango,nouns,0.04
1938,driver,rubani,nouns,2.24
1939,hardware,kifaa,nouns,0.21
1940,push,kusukuma,verbs,0.0
1941,furniture,fleti,nouns,0.21
1942,arm,mfupa,nouns,0.41
1943,pie,chokoleti,nouns,0.72
1944,rat,panya,nouns,3.21
1945,arm,misuli,nouns,0.49
1946,flower,subira,nouns,0.0
1947,code,alama,nouns,1.83
1948,remind,kusahau,verbs,0.09
1949,old,mbivu,adjectives,0.09
1950,assignment,jukumu,nouns,4.31
1951,decide,kufikiria,verbs,1.77
1952,fight,kupigana,verbs,0.44
1953,case,kesi,nouns,0.1
1954,communication,lugha,nouns,2.24
1955,orderly,kwa mpangilio,adjectives,0.04
1956,bone,kiwiko,nouns,0.7
1957,pest,wadudu,nouns,0.71
1958,professor,mwanafunzi,nouns,0.41
1959,wide,mwembamba,adjectives,0.09
1960,meat,ugali,nouns,0.36
1961,jumping,kuruka,nouns,0.0
1962,punish,kuadhibu,verbs,0.0
1963,roam,kuzurura,verbs,5.17
1964,specially,makusudi,adverbs,2.06
1965,ideally,walau,adverbs,0.62
1966,salad,siki,nouns,0.14
1967,immoral,mbaya,adjectives,2.96
1968,wallpaper,karatasi ya kupamba ukuta,nouns,2.39
1969,charge,kutiachaji,verbs,0.3
1970,winner,uwepo,nouns,0.05
1971,divide,kugawanya,verbs,0.19
1972,steal,kuiba,verbs,1.83
1973,penny,peni,nouns,0.12
1974,print,kuchapisha,verbs,0.0
1975,wall,pambo,nouns,0.3
1976,conversion,uongofu,nouns,0.0
1977,grassland,uwanda wenye majani,nouns,2.09
1978,car,mpira wa maji,nouns,0.0
1979,tough,mwerevu,adjectives,0.35
1980,drown,kutota,verbs,0.0
1981,pollution,rais,nouns,0.22
1982,kitchen,bafu,nouns,0.37
1983,fantastically,kimaajabu,adverbs,4.59
1984,tongue,misuli,nouns,0.96
1985,require,kuandaa,verbs,0.1
1986,program,mradi,nouns,0.0
1987,freedom,kujitawala,nouns,4.77
1988,river,bonde,nouns,0.68
1989,outgoing,inayotoka,adjectives,0.23
1990,construct,kuharibu,verbs,0.09
1991,weapon,silaha,nouns,0.39
1992,wet,lowa,adjectives,0.52
1993,motor,boti,nouns,1.31
1994,acquire,kupata,verbs,0.79
1995,seed,viungo,nouns,0.39
1996,spicy,pilipili,adjectives,0.0
1997,costume,sherehe,nouns,0.05
1998,brow,jicho,nouns,0.77
1999,word,ukurasa,nouns,0.32
2000,dumb,wa upuzi,adjectives,4.52
2001,private,faragha,adjectives,3.56
2002,dune,dune,nouns,1.91
2003,learn,kujifunza,verbs,0.0
2004,different,wa kawaida,adjectives,0.05
2005,zone,eneo,nouns,4.95
2006,agriculture,kilimo,nouns,1.46
2007,forecast,utabiri,nouns,0.3
2008,strongly,kwa nguvu,adverbs,0.15
2009,upset,kasirika,adjectives,0.39
2010,anchor,boti,nouns,0.66
2011,bed,chumba,nouns,0.44
2012,legion,jeshi,nouns,3.33
2013,reject,kukubali,verbs,0.09
2014,day,alfajiri,nouns,1.75
2015,seashore,ufuko,nouns,4.97
2016,joy,kiburi,nouns,0.91
2017,wood,karatasi,nouns,0.61
2018,vampire,vampire,nouns,0.72
2019,necessary,muhimu,adjectives,3.4
2020,slide,teleza,nouns,0.0
2021,trick,kuoga,nouns,0.0
2022,dawn,usiku,nouns,0.24
2023,money,lulu,nouns,0.12
2024,spine,shingo,nouns,0.92
2025,want,kuchagua,verbs,0.76
2026,fail,kukanya,verbs,0.17
2027,opposite,kinyume,adjectives,0.64
2028,army,kundi,nouns,2.06
2029,sucrose,sukrosi,nouns,1.58
2030,metal,chuma,nouns,2.16
2031,crazy,ana kichaa,adjectives,5.62
2032,robotics,roboti,nouns,0.5
2033,positively,vyema,adverbs,0.19
2034,journalist,mwanahabari,nouns,0.51
2035,rinse,kusuuza,verbs,3.93
2036,simple,rahisi,adjectives,4.81
2037,scribble,kuandika,verbs,2.35
2038,mood,hasira,nouns,0.74
2039,diet,saladi,nouns,0.68
2040,dishonest,danganyifu,adjectives,0.63
2041,chapter,sura,nouns,2.16
2042,lady,bwana,nouns,0.51
2043,tease,kutania,verbs,0.31
2044,buy,kuiba,verbs,0.12
2045,apartment,hoteli,nouns,0.72
2046,restless,mchanga,adjectives,0.14
2047,dignity,hadhi,nouns,0.19
2048,snow,dhoruba,nouns,0.79
2049,floor,mlango,nouns,0.09
2050,stool,kigoda,nouns,2.94
2051,gun,alfajiri,nouns,0.0
2052,suds,puto,nouns,2.34
2053,firmly,kwa kidete,adverbs,0.0
2054,arrest,kukamatwa,verbs,0.07
2055,sell,kwenda,verbs,0.0
2056,senate,seneti,nouns,0.52
2057,stupid,mpumbavu,adjectives,4.89
2058,become,kupanga,verbs,0.1
2059,obviously,ni wazi,adverbs,0.03
2060,area,kanda,nouns,4.95
2061,book,mada,nouns,0.28
2062,father,mungu,nouns,1.4
2063,perspective,mtazamo,nouns,0.69
2064,riot,mgomo,nouns,0.0
2065,shut,kufunga,verbs,0.0
2066,violent,dhalimu,adjectives,0.31
2067,side,chini,nouns,0.49
2068,infinity,usio na mwisho,nouns,0.36
2069,marijuana,mitishamba,nouns,1.19
2070,peninsula,peninsula,nouns,1.27
2071,bad,mkubwa sana,adjectives,0.04
2072,newspaper,neno,nouns,0.17
2073,fraternity,baseball,nouns,0.0
2074,gain,kufaida,verbs,1.64
2075,confidence,nafsi,nouns,0.61
2076,humiliate,kuaibisha,verbs,0.04
2077,arithmetic,pigo,nouns,0.0
2078,cash,pesa,nouns,5.46
2079,actively,kikamilifu,adverbs,0.15
2080,hand,mguu,nouns,0.9
2081,unite,kuungana,verbs,1.91
2082,basically,kimsingi,adverbs,0.04
2083,after,baada ya,adverbs,0.09
2084,comprehend,kusoma,verbs,1.33
2085,symbol,ishara,nouns,4.33
2086,differently,kitofauti,adverbs,0.04
2087,neck,mfupa,nouns,0.36
2088,pesticide,dawa ya wadudu,nouns,0.71
2089,cent,saizi,nouns,0.05
2090,coronation,kusimikwa ufalme,nouns,0.0
2091,closet,nguo,nouns,0.46
2092,liquor,bendi,nouns,0.05
2093,owe,kukopesha,verbs,0.29
2094,pretend,kuonyesha,verbs,0.66
2095,intelligence,ujinga,nouns,0.24
2096,drink,kunywa,verbs,1.02
2097,highway,jukumu,nouns,0.1
2098,big,kubwa,adjectives,0.17
2099,nice,mkorofi,adjectives,0.05
2100,finger,kiganja,nouns,0.94
2101,inquire,ulizia,verbs,2.16
2102,topic,kitabu,nouns,0.28
2103,brother,roho ,nouns,0.05
2104,ride,endesha,verbs,0.0
2105,actively,kwa uhai,adverbs,0.04
2106,destroy,kuua,verbs,2.04
2107,create,kuharibu,verbs,0.09
2108,week,wikendi,nouns,1.16
2109,log,mbao,nouns,2.61
2110,mild,vuguvugu,adjectives,0.61
2111,tired,choka,adjectives,0.12
2112,cyclone,kimbunga,nouns,4.38
2113,leave,kuingia,verbs,0.09
2114,galaxy,giligili,nouns,0.27
2115,lifestyle,mtindo wa maisha,nouns,1.11
2116,size,mbinu,nouns,0.0
2117,irritate,kusumbua,verbs,0.0
2118,conquest,safari,nouns,0.63
2119,organize,kuwa,verbs,0.1
2120,strategist,mkakati,nouns,2.7
2121,cigar,sanduku ,nouns,0.07
2122,clever,mwerevu,adjectives,3.66
2123,cup,koni,nouns,0.44
2124,century,miaka kumi,nouns,0.54
2125,sharp,ncha kali,adjectives,0.0
2126,animal,mtu,nouns,0.56
2127,sand,mchanga,nouns,0.0
2128,special,maalumu,adjectives,2.57
2129,decoration,mapambo,nouns,0.0
2130,north,kusini,nouns,0.36
2131,cousin,mjomba,nouns,0.41
2132,parade,bendi,nouns,1.27
2133,man,mpiganaji,nouns,0.72
2134,bowler,bowler,nouns,1.77
2135,give,kukopesha,verbs,2.59
2136,originate,kugundua,verbs,0.53
2137,laugh,kucheka,verbs,0.1
2138,dentist,kanali,nouns,0.09
2139,emotion,hamu,nouns,2.71
2140,help,saidia,verbs,1.25
2141,horse,farasi wa kiume,nouns,3.34
2142,spoil,kuharibu,verbs,0.04
2143,cube,mchemraba,nouns,0.0
2144,balloon,watu,nouns,0.0
2145,pathology,stadi ya magonjwa,nouns,2.26
2146,island,kisiwa,nouns,0.64
2147,lion,paka,nouns,1.19
2148,undisclosed,haijafichuliwa,adjectives,0.42
2149,monastery,monasteri,nouns,0.0
2150,chapel,mnara,nouns,0.87
2151,gun,bunduki,nouns,0.0
2152,mother,mke,nouns,2.24
2153,madly,kwa ghadhabu,adverbs,0.39
2154,boil,kuchemsha,verbs,1.27
2155,harbor,bandari,nouns,0.0
2156,suspect,kushukia,verbs,0.07
2157,dinner,chakula,nouns,3.46
2158,madly,kwa hasira,adverbs,0.73
2159,arm,bega,nouns,1.44
2160,popcorn,bisi,nouns,0.17
2161,breathe,kukaba,verbs,0.05
2162,choice,chaguo,nouns,2.31
2163,reliably,kwa kuaminika,adverbs,2.21
2164,tool,kitendea kazi,nouns,0.77
2165,apple,peremende,nouns,0.24
2166,shrink,kupunguza,verbs,3.83
2167,decline,kukataa,verbs,0.14
2168,complain,kugombana,verbs,1.34
2169,yogurt,mgando,nouns,0.32
2170,bag,pochi,nouns,3.92
2171,poverty,utajiri,nouns,0.27
2172,disc,kompyuta,nouns,0.59
