ID,FIN,HEB,PoS,score
1347,rauha,חייל,nouns,0.5
1348,vuosikymmen,עידן,nouns,2.25
1349,mahdollisesti,באופטימיות,adverbs,1.15
1350,veljeskunta,דלת,nouns,0.0
1351,rintakehä,גוף,nouns,1.95
1352,käsivarsi,עצם,nouns,1.35
1353,pullo,קנקן,nouns,2.55
1354,solu,מעצר,nouns,0.85
1355,yhdistää,לחלק,verbs,0.8
1356,hallita,לעצור,verbs,0.45
1357,kirjailija,רומן,nouns,1.1
1358,uskonto,חילוניות,nouns,0.85
1359,välikäytävä,אולם,nouns,1.25
1360,lippu,חקר דגלים,nouns,1.6
1361,tietoisuus,עניין,nouns,1.75
1362,maksaa,לקנות,verbs,2.65
1363,myöhemmin,לעולם לא,adverbs,0.95
1364,ottaa,לרכוש,verbs,0.7
1365,jahdata,לתפוס,verbs,1.55
1366,ehdottaa,לייעץ,verbs,3.15
1367,tiili,קיר,nouns,1.25
1368,mausteinen,טוב,adjectives,0.55
1369,antelias,חברותי,adjectives,0.8
1370,pitkäveteinen,בינוני,adjectives,1.1
1371,kiista,הסכמה,nouns,0.7
1372,järjestäytynyt,מבולגן,verbs,0.7
1373,ero,שארית,nouns,1.0
1374,historioitsija,היסטוריוגרף,nouns,3.3
1375,kieleke,הר,nouns,0.5
1376,todiste,עובדה,nouns,2.3
1377,valinta,בחירות,nouns,2.55
1378,halata,למחוץ,verbs,1.25
1379,viestintä,שפה,nouns,1.95
1380,isä,אם,nouns,2.0
1381,veri,מוח,nouns,0.7
1382,demokratia,מלוכה,nouns,1.6
1383,merkittävästi,רשמית,adverbs,0.75
1384,ilmiselvä,בולט,adjectives,2.8
1385,kahdesti,פעם אחת,adverbs,1.4
1386,tukehtua,לנשום,verbs,0.75
1387,myrsky,ענן,nouns,1.55
1388,särkeä,לרסק,verbs,5.2
1389,virrata,להיסחף,verbs,3.15
1390,simulaatio,רובוטיקה,nouns,0.95
1391,neuletakki,חולצה,nouns,1.85
1392,löytää,לחפש,verbs,1.65
1393,pilvinen sää,תחזית,nouns,1.0
1394,valmistaa,להפוך,verbs,0.35
1395,koriste,מעטפה,nouns,0.25
1396,temppu,אקדח,nouns,0.1
1397,siirrettävä,גמיש,adjectives,0.85
1398,jaardi,אינץ',nouns,1.95
1399,mittari,מכונית,nouns,0.6
1400,epäreilusti,בהגינות,adverbs,0.7
1401,elin,כבד,nouns,2.0
1402,rehellinen,אשם,adjectives,0.35
1403,kyttä,טייס,nouns,1.05
1404,tyhmä,נדיר,adjectives,0.1
1405,dominoida,לנצח,verbs,1.5
1406,kirjailija,כישרון,nouns,0.65
1407,enimmäkseen,לעומק,adverbs,0.8
1408,sensori,רדיאטור,nouns,0.45
1409,säästäjä,חיסכון,nouns,1.3
1410,organisoida,להפוך,verbs,0.55
1411,tulla,ללכת,verbs,1.1
1412,ruoho,להב,nouns,0.25
1413,silta,מכונית,nouns,0.55
1414,varmasti,לפעמים,adverbs,0.2
1415,tihkusade,גשם,nouns,3.6
1416,ilmailu,אוויוניקה,nouns,1.8
1417,kalenteri,תאריך,nouns,1.4
1418,julkinen,פרטי,adjectives,0.7
1419,ei koskaan,לאחר מכן,adverbs,0.95
1420,hiljaa,באופן פסיבי,adverbs,1.05
1421,epäaito,מלאכותי,adjectives,4.15
1422,musiikki,מנגינה,nouns,3.05
1423,yhtenäinen,חסר צורה,adjectives,0.35
1424,jumala,אב,nouns,0.4
1425,halata,להתרכבל,verbs,4.15
1426,vahvuus,סבולת,nouns,3.35
1427,mukavasti,בקלות,adverbs,1.55
1428,mellakka,ציור,nouns,0.1
1429,kappale,לילה,nouns,0.05
1430,johtaja,מנהל,nouns,3.3
1431,testi,משפט,nouns,0.75
1432,taivas,שמש,nouns,1.2
1433,pelästynyt,ביישן,adjectives,1.35
1434,uusi,לא משומש,adjectives,4.4
1435,auto,גשר,nouns,0.55
1436,terä,דשא,nouns,0.25
1437,pätevyys,יכולת,nouns,4.6
1438,työ,הנהלה,nouns,1.0
1439,katu,מכונית,nouns,0.75
1440,sairas,משוגע,adjectives,1.4
1441,uudelleenlämmitys,חימום מראש,nouns,1.85
1442,todennäköisesti,בהחלט,adverbs,1.15
1443,kersantti,אקדח,nouns,0.4
1444,merkki,מועדון,nouns,0.05
1445,operaatio,אלגברה,nouns,0.55
1446,tuleva,יוצא,adjectives,0.7
1447,täti,אחיין,nouns,1.05
1448,omena,דיאטה,nouns,0.85
1449,tuoli,מיטה,nouns,1.2
1450,vaihto,מטבע,nouns,0.8
1451,sfääri,כדור,nouns,2.15
1452,tuskin koskaan,לעולם לא,adverbs,2.8
1453,äänioikeus,יציאה,nouns,0.0
1454,itseluottamus,עצמי,nouns,1.05
1455,uusi,עתיק,adjectives,0.7
1456,vene,עץ,nouns,0.8
1457,liikkua,להתפתל,verbs,1.4
1458,ilmoittaa,לאשר,verbs,1.5
1459,hallitsija,מלך,nouns,4.15
1460,dyyni,מדבר,nouns,1.8
1461,kypsästi,בצדקנות,adverbs,0.45
1462,vartalo,עצב,nouns,1.0
1463,myöntyä,להתווכח,verbs,0.6
1464,koe,סילבוס,nouns,0.8
1465,morsian,חתן,nouns,1.4
1466,molekyyli,אטום,nouns,2.5
1467,vesi,קרח,nouns,2.4
1468,äänekkäästi,ברכות,adverbs,0.3
1469,gini,וויסקי,nouns,2.6
1470,vasikka,שור,nouns,2.45
1471,onnellisuus,שלום,nouns,0.85
1472,kieltäminen,וידוי,nouns,0.5
1473,vaivata,להחמיר,verbs,0.3
1474,jakolasku,כפל,nouns,1.8
1475,toimittaja,משורר,nouns,1.25
1476,moittia,לשפוט,verbs,2.9
1477,kirjallisuus,מילה,nouns,1.15
1478,perinne,עבודת יד,nouns,0.75
1479,kalliojyrkänne,גבעה,nouns,1.95
1480,masennus,עמק,nouns,0.0
1481,hevonen,שור,nouns,1.7
1482,ikkuna,ענן,nouns,0.3
1483,tykki,כדור,nouns,0.5
1484,iho,אופניים,nouns,0.1
1485,verrata,לנתח,verbs,2.05
1486,mielenkiinto,קשב,nouns,2.85
1487,eläin,בהמה,nouns,2.95
1488,moraaliton,פלילי,adjectives,1.9
1489,sumu,ענן,nouns,2.5
1490,päivä ,שחר,nouns,2.1
1491,oudosti,באופן חריג,adverbs,4.85
1492,hiiri,הנהלה,nouns,0.0
1493,onnellinen,משוגע,adjectives,0.65
1494,pesäpallo,ספה,nouns,0.35
1495,mennä,למכור,verbs,0.15
1496,meri,חוף,nouns,1.65
1497,voitto,הצלחה,nouns,3.4
1498,painovoima,מטאור,nouns,0.6
1499,vaatteet,בד,nouns,1.65
1500,pidellä,לחבק,verbs,1.65
1501,hienovaraisesti,בקול רם,adverbs,0.25
1502,kuukausipalkka,כסף,nouns,2.85
1503,vilja,חיטה,nouns,3.1
1504,katu,סמטה,nouns,3.95
1505,jakku,סוודר,nouns,2.1
1506,siemailla,לבלוע,verbs,2.55
1507,luu,זרוע,nouns,1.35
1508,nauttia,לשנוא,verbs,0.35
1509,ruokavalio,סלט,nouns,1.25
1510,hauska,משעמם,adjectives,0.65
1511,peli,טריק,nouns,1.2
1512,makuuhuone,אמבטיה,nouns,1.6
1513,huijata,להונות,verbs,4.95
1514,valloitus,מסע,nouns,0.9
1515,kansi,קומה,nouns,1.6
1516,joki,זרם,nouns,2.3
1517,tuskin koskaan,לעיתים קרובות,adverbs,0.75
1518,juoda,ללגום,verbs,4.4
1519,lisätä,לחלק,verbs,1.5
1520,laulaja,מקהלה,nouns,1.8
1521,moottori,מכונה,nouns,2.6
1522,pyrkiä,לעקל,verbs,0.1
1523,tuoda,להגיע,verbs,0.95
1524,hyppy,גדר,nouns,0.45
1525,moraali,אגדה,nouns,0.15
1526,tavoitella,לשכנע,verbs,0.6
1527,helppo,גמיש,adjectives,1.15
1528,galaksi,אפליקציה,nouns,0.3
1529,sentti,גודל,nouns,0.75
1530,lohduttaa,להשפיל,verbs,0.35
1531,iiris,אצטילכולין,nouns,0.45
1532,surullinen,מצחיק,adjectives,0.7
1533,sotaisuus,קרב,nouns,2.45
1534,mieletön,שמח,adjectives,0.55
1535,oppia,לחנך,verbs,1.55
1536,käärme,לטאה,nouns,2.15
1537,saada,לשים,verbs,0.5
1538,mielipide,רעיון,nouns,2.35
1539,orkesteri,להקה,nouns,4.25
1540,oppia,להקשיב,verbs,1.1
1541,pääkirjoitus,חדשות,nouns,1.8
1542,neuvoa,להציע,verbs,3.15
1543,puumateriaali,שמיכה,nouns,0.15
1544,kriittinen,חצוף,adjectives,0.85
1545,äiti,רעיה,nouns,2.1
1546,opettaja,תלמיד,nouns,1.3
1547,saavuttaa,להצליח,verbs,2.85
1548,vene,עוגן,nouns,1.05
1549,tilanne,נסיבות,nouns,4.45
1550,virsi,קש,nouns,0.1
1551,kaunis,נפלא,adjectives,1.25
1552,juhla,טקס,nouns,3.75
1553,pappi,אל,nouns,1.1
1554,persilja,מאפין,nouns,0.6
1555,voittaja,מטרה,nouns,0.95
1556,tavoitella,לחקור,verbs,0.95
1557,koira,חתול,nouns,1.45
1558,hyökätä kimppuun,לעצבן,verbs,0.65
1559,luotettavasti,בערך,adverbs,0.25
1560,lonkka,שפה,nouns,1.35
1561,mennä,לעזוב,verbs,2.1
1562,paikantaa,למצוא,verbs,4.55
1563,mahtava,נורא,adjectives,0.6
1564,mahdoton,אפשרי,adjectives,0.7
1565,näyttö,מוניטור,nouns,4.7
1566,aloittaa,להיווצר,verbs,1.1
1567,palvelustyttö,נערה,nouns,1.3
1568,tavallinen,שגרתי,adjectives,5.0
1569,olut,משקה,nouns,2.35
1570,joki,ים,nouns,1.8
1571,kipu,נזק,nouns,1.8
1572,niska,זרוע,nouns,1.15
1573,kastella,להקטין,verbs,0.25
1574,vastustaja,יריב,nouns,3.95
1575,käteinen,כסף,nouns,3.1
1576,kova,צפוף,adjectives,0.65
1577,hiilihydraatti,סוכרוז,nouns,2.5
1578,tapaaminen,התחייבות,nouns,0.6
1579,sulkea,לשאוף,verbs,0.1
1580,raivo,כעס,nouns,4.75
1581,vaimo,בעל,nouns,1.5
1582,korvaus,עמלה,nouns,3.35
1583,torni,פעמון,nouns,0.75
1584,työ,משימה,nouns,3.85
1585,yrittää,לחשוב,verbs,0.4
1586,keittää,לטגן,verbs,1.9
1587,uskollisesti,בכנות,adverbs,1.5
1588,pitää,להחזיק,verbs,2.15
1589,sänky,שמיכה,nouns,1.0
1590,edetä,לקדם,verbs,2.1
1591,kuulla,להקשיב,verbs,3.45
1592,täsmällisesti,נמרצות,adverbs,0.9
1593,tulo,מס,nouns,0.95
1594,haudata,לכסות,verbs,3.25
1595,gini,אלכוהול,nouns,2.5
1596,epävarma,תלותי,adjectives,0.85
1597,rannekello,חצאית,nouns,0.25
1598,organisoida,לאסוף,verbs,1.45
1599,antaa lainaksi,לתת,verbs,2.0
1600,hematologia,פתולוגיה,nouns,2.0
1601,tyydyttää,להבין,verbs,0.2
1602,aamunkoitto,לילה,nouns,1.35
1603,onnellinen,צעיר,adjectives,0.4
1604,aloittaa,התחיל,verbs,5.5
1605,voittaja,נוכחות,nouns,0.0
1606,lisätä,לבנות,verbs,1.6
1607,kuvitus,שלפוחית,nouns,0.0
1608,kääntäjä,זר,nouns,0.3
1609,ampua ohi,לפגוע,verbs,0.7
1610,rotu,סוף שבוע,nouns,0.05
1611,kritisoida,לשנוא,verbs,0.75
1612,sateenvarjo,תנור חימום,nouns,0.6
1613,kritisoida,להעיר,verbs,2.7
1614,kadota,להיכחד,verbs,5.0
1615,lapsi,גבר,nouns,1.55
1616,fantasia,מציאות,nouns,0.85
1617,julkistamaton,גלוי,adjectives,0.6
1618,makeinen,קינמון,nouns,0.8
1619,sovellus,גלקסי,nouns,0.3
1620,kurkku,אף,nouns,1.4
1621,tulla,להביא,verbs,0.95
1622,kokoontuminen,עצרת,nouns,4.75
1623,nilkka,עצם,nouns,1.7
1624,kallisarvoinen,קדוש,adjectives,2.35
1625,hiekka,רגל,nouns,0.25
1626,nepotismi,מלך,nouns,1.15
1627,todentaa,להצדיק,verbs,2.1
1628,sanakirja,הגדרה,nouns,1.15
1629,nilkka,מרפק,nouns,1.7
1630,pilvi,סערה,nouns,1.55
1631,kahdesti,הרבה,adverbs,1.2
1632,laiska,עסוק,adjectives,0.55
1633,helppo,מורכב,adjectives,0.65
1634,leiri,ביתן,nouns,0.9
1635,murskata,לנתץ,verbs,5.2
1636,muistikirja,אקדח,nouns,0.0
1637,sihteeri,אישה,nouns,1.1
1638,antaa,להניח,verbs,0.85
1639,vaatimaton,ענו,adjectives,5.15
1640,toimittaa,לשאת,verbs,1.35
1641,koju,טלפון,nouns,0.3
1642,köyhä,גאה,adjectives,0.1
1643,avain,כתר,nouns,0.0
1644,sankaritar,גיבור,nouns,3.7
1645,epärehellinen,רע,adjectives,1.3
1646,peitto,סערה,nouns,0.4
1647,aktiviteetti,תנועה,nouns,1.95
1648,poika,בן,nouns,3.85
1649,kuluttaa,לחסוך,verbs,0.75
1650,kerätä,לנער,verbs,0.2
1651,lentäjä,נהג,nouns,2.75
1652,nuori,שמח,adjectives,0.4
1653,topologia,מבנה,nouns,2.55
1654,käsivarsi,צוואר,nouns,1.15
1655,risti,נזיר,nouns,0.8
1656,tunnustus,הכחשה,nouns,0.5
1657,sopimus,חוזה,nouns,5.0
1658,tyttö,ילדה,nouns,3.35
1659,rannikkoalue,ספינת תותחים,nouns,0.75
1660,vatsa,וריד,nouns,0.9
1661,pallo,ספירה,nouns,2.15
1662,kausi,חורף,nouns,1.6
1663,öljy,מינק,nouns,0.25
1664,jakku,בגדים,nouns,1.7
1665,keitetty,מבושל,adjectives,3.4
1666,mehu,חלב,nouns,1.45
1667,astronomi,גלקסיה,nouns,1.1
1668,asianajaja,פרקליט,nouns,4.65
1669,tahraton,נקי,adjectives,4.8
1670,pitkä,צר,adjectives,1.25
1671,kukka,סיגלית,nouns,2.55
1672,lahja,סופר,nouns,0.65
1673,ranne,זרוע,nouns,2.05
1674,tähti,אסטרואיד,nouns,1.8
1675,outo,נורמלי,adjectives,0.7
1676,helposti,בערך,adverbs,0.3
1677,ympäristö,חרב,nouns,0.0
1678,vakuuttaa,להתווכח,verbs,1.25
1679,rakastaja,חבר,nouns,2.25
1680,algebra,פעולה,nouns,0.55
1681,neutraali,הססני,adjectives,0.85
1682,aivoriihi,טלסקופ,nouns,0.0
1683,tuore,רחב,adjectives,0.0
1684,makuuhuone,בטן,nouns,0.05
1685,heppu,שותף,nouns,1.2
1686,pää,ציפורן,nouns,0.95
1687,ihmiset,אוכלוסייה,nouns,3.4
1688,artikkeli,כתב יד,nouns,1.95
1689,opettaa,לחנך,verbs,4.15
1690,jäädä eläkkeelle,לסגת,verbs,2.65
1691,kunniamerkki,זכוכית,nouns,0.2
1692,vuosi,יום הולדת,nouns,1.05
1693,viha,תסכול,nouns,2.7
1694,opetussuunnitelma,מבחן,nouns,0.8
1695,mukavuus,בטיחות,nouns,0.9
1696,kuume,מחלה,nouns,2.25
1697,omena,ממתק,nouns,0.75
1698,seutu,שטח,nouns,4.65
1699,ovi,מסדרון,nouns,1.0
1700,tunnustaa,להסכים,verbs,3.6
1701,keilaaja,באולינג,nouns,2.4
1702,ujo,מפוחד,adjectives,1.35
1703,paheksua,לדחות,verbs,1.7
1704,affiksi,סיומת,nouns,3.0
1705,tukahduttaa,לחבק,verbs,0.6
1706,henkilökohtainen,פרטי,adjectives,4.65
1707,metalli,אלומיניום,nouns,2.6
1708,hyväksyä,להאמין,verbs,1.3
1709,essee,שיעורי בית,nouns,1.85
1710,antelias,נחמד,adjectives,1.0
1711,kastike,תפוח,nouns,0.7
1712,entropia,מידע,nouns,0.9
1713,sinappi,גרגיר,nouns,1.25
1714,kansallinen,גדול,adjectives,0.45
1715,vastuullisesti,באופן אמין,adverbs,3.1
1716,helppo,נוקשה,adjectives,0.45
1717,paikallisesti,בוודאי,adverbs,0.1
1718,lusikka,מיץ,nouns,0.35
1719,vika,מערכת,nouns,0.3
1720,sekoittaa,לשתות,verbs,0.45
1721,iso,קל,adjectives,0.35
1722,aihe,סולמית,nouns,0.45
1723,vartalo,חזה,nouns,1.95
1724,kova,פשוט,adjectives,0.4
1725,sopimus,ויכוח,nouns,0.7
1726,vaatteet,ארון,nouns,0.75
1727,luonne,דוקטור,nouns,0.0
1728,alkoholi,ויסקי,nouns,2.45
1729,jää,שלג,nouns,2.9
1730,sentti,רעיה,nouns,0.0
1731,lumi,מפולת שלגים,nouns,1.8
1732,hyväksyä,לסלוח,verbs,1.5
1733,automobiili,אוטו,nouns,5.95
1734,mekko,ריקוד,nouns,0.45
1735,kylmä,רגיל,adjectives,0.2
1736,paha,מצוין,adjectives,0.35
1737,rauhallinen,נינוח,adjectives,4.0
1738,kuolema,אסון,nouns,1.6
1739,repiä,ללבוש,verbs,0.2
1740,sauvaohjain,רדאר,nouns,0.3
1741,jalka,זרוע,nouns,1.65
1742,hävitä,להתכווץ,verbs,1.7
1743,uskomus,פרח,nouns,0.0
1744,sänky,רהיט,nouns,2.05
1745,kiistellä,לשכנע,verbs,1.25
1746,epätavallinen,נדיר,adjectives,4.85
1747,koriste,קיר,nouns,0.55
1748,parlamentti,קונגרס,nouns,4.0
1749,ymmärtää,לסלוח,verbs,1.15
1750,kantaa,לקחת,verbs,1.2
1751,arvo,אמונה,nouns,1.75
1752,tienraivaaja,קשת,nouns,0.2
1753,liike,פעילות,nouns,1.95
1754,kortti,ברידג',nouns,0.7
1755,hakusana,תחביר,nouns,1.0
1756,väkijoukko,המון,nouns,4.8
1757,veli,בן,nouns,2.35
1758,kypsentää,לערבב,verbs,0.9
1759,hoikka,צר,adjectives,3.1
1760,turhauttaa,לדכא,verbs,2.85
1761,huippu,צד,nouns,0.5
1762,älykäs,מטומטם,adjectives,0.65
1763,esteettömyys,צנזורה,nouns,0.55
1764,vesi,מלח,nouns,0.65
1765,liittyä,לעזוב,verbs,0.55
1766,viikonloppu,שבוע,nouns,1.65
1767,maali,חיפוש,nouns,0.7
1768,taksi,אוטובוס,nouns,2.0
1769,lasi,קריסטל,nouns,2.7
1770,kynsi,יד,nouns,1.35
1771,hiiri,חתול,nouns,1.45
1772,tsunami,ים,nouns,1.2
1773,surullisesti,נורא,adverbs,0.65
1774,maja,מקלט,nouns,1.75
1775,kallio,מכרה,nouns,1.0
1776,akustiikka,קול ,nouns,2.4
1777,isä,בן,nouns,1.7
1778,muksu,בן,nouns,3.25
1779,ovi,קומה,nouns,0.95
1780,realistisesti,באופן אידיאלי,adverbs,0.7
1781,mennä,להגיע,verbs,1.1
1782,molekyyli,מטריצה,nouns,0.1
1783,häpeissään oleva,אשם,adjectives,0.85
1784,sää,גל,nouns,0.4
1785,epäsäännöllisesti,לרוב,adverbs,0.7
1786,juhla,אנשים,nouns,1.05
1787,pyhimys,חוטא,nouns,0.65
1788,alue,פינה,nouns,1.15
1789,legenda,מוסר,nouns,0.15
1790,tunteellisesti,בעצב,adverbs,1.5
1791,läsnäolo,דלת,nouns,0.15
1792,luku,מספר,nouns,5.15
1793,kalenteri,חג,nouns,1.15
1794,jalkaterä,בסיס,nouns,0.65
1795,tehdas,מכונית,nouns,0.55
1796,jauho,לחם,nouns,1.45
1797,sade,סופת שלגים,nouns,1.9
1798,sulkea,להקיא,verbs,0.05
1799,puhdas,מבולגן,adjectives,0.65
1800,matka,כיבוש,nouns,0.9
1801,karitsa,כבש,nouns,3.9
1802,polyesteri,כותנה,nouns,1.4
1803,tukea,לסייע,verbs,5.15
1804,väsynyt,רעב,adjectives,0.6
1805,mielipide,אמונה,nouns,3.55
1806,nöyrä,צנוע,adjectives,5.15
1807,herättää,לנחור,verbs,0.6
1808,laskimo,בטן,nouns,0.9
1809,kuunnella,ללמוד,verbs,1.1
1810,veksillologia,דגל,nouns,1.6
1811,lukukausimaksu,מלגה,nouns,0.9
1812,kristitty,פרוטסטנט,nouns,3.25
1813,luotettavasti,באופן אחראי,adverbs,3.1
1814,pelaaja,מאמן,nouns,1.15
1815,tapahtuma,התרמה,nouns,1.9
1816,rehellisesti,בכנות,adverbs,5.2
1817,herttua,רפובליקה,nouns,0.65
1818,aikuinen,ילד,nouns,1.2
1819,sää,ענן,nouns,1.15
1820,siemen,מטחנה,nouns,0.6
1821,peto,חיה,nouns,2.95
1822,jalka,גף,nouns,3.15
1823,kirja,טקסט,nouns,2.65
1824,haluta,לבחור,verbs,0.95
1825,dia,מצביע,nouns,0.2
1826,päivä,לילה,nouns,1.1
1827,ihmeellinen,יפה,adjectives,1.25
1828,vedota,לרצות,verbs,0.55
1829,myöntyä,לקבל,verbs,3.3
1830,presidentti,זיהום,nouns,0.05
1831,televisio,תסריטאי,nouns,0.9
1832,saari,משימה,nouns,0.0
1833,jumala,טרף,nouns,0.05
1834,väkivaltainen,קיצוני,adjectives,1.35
1835,valehdella,להאשים,verbs,0.45
1836,tietää,להבין,verbs,2.75
1837,erityinen,בעל ערך,adjectives,2.85
1838,sallittu,חוקי,adjectives,3.95
1839,suositella,לקבל,verbs,1.15
1840,pehmeästi,בקול רם,adverbs,0.3
1841,patsas,פסל,nouns,4.75
1842,peukalo,ציפורן,nouns,1.65
1843,säde,שמש,nouns,1.8
1844,hermostunut,מפוחד,adjectives,1.5
1845,ase,תותח,nouns,2.85
1846,muurahainen,דבורה,nouns,1.55
1847,selvin päin oleva,שיכור,adjectives,0.7
1848,temppu,גודל,nouns,0.0
1849,aggressio,עוינות,nouns,4.65
1850,tapaus,חומרה,nouns,0.25
1851,dollari,אנשים,nouns,0.05
1852,valuutta,תמימות דעים,nouns,0.6
1853,pallo,תותח,nouns,0.5
1854,minttu,מוזיאון,nouns,0.2
1855,mieto,חד,adjectives,0.45
1856,itsevarmasti,בחשאיות,adverbs,0.5
1857,anteliaasti,לעולם לא,adverbs,0.5
1858,hiljattainen,רענן,adjectives,3.4
1859,arvo,שיעור,nouns,0.65
1860,tekijä,יוצר,nouns,3.85
1861,naaraslintu,ציפור,nouns,2.6
1862,prinssi,מלך,nouns,2.15
1863,terävä,קהה,adjectives,1.0
1864,virus,דם,nouns,0.9
1865,vuosisata,שנה,nouns,2.15
1866,tappaa,להילחם,verbs,1.25
1867,tulla sisään,ללכת,verbs,0.75
1868,pysähtyä,לשלוט,verbs,0.45
1869,piirustus,מהומה,nouns,0.1
1870,aloittaa,להפסיק,verbs,0.7
1871,pettää,לרמות,verbs,4.95
1872,epätodennäköisesti,באופן ידידותי,adverbs,0.0
1873,kiistellä,לדרוש,verbs,0.75
1874,paha,בינוני,adjectives,0.4
1875,lähettää,להגיע,verbs,0.6
1876,kehitys,גיוס כספים,nouns,0.4
1877,kuume,שפעת,nouns,2.1
1878,aktiivisesti,בשמחה,adverbs,0.6
1879,tiedottaa,להבריק,verbs,0.0
1880,loukata,להעליב,verbs,4.4
1881,kestävyys,פרח,nouns,0.0
1882,onnellisuus,מזל,nouns,0.8
1883,ärsyttää,להרגיז,verbs,4.8
1884,pitkästynyt,משעמם,adjectives,2.05
1885,huuli,פה,nouns,1.7
1886,kadottaa,להחסיר,verbs,1.4
1887,pikainen,זריז,adjectives,5.15
1888,mahtavasti,באופן פנטסטי,adverbs,5.5
1889,vaara,איום,nouns,4.7
1890,vartalo,דם,nouns,1.0
1891,turkki,אקדח,nouns,0.0
1892,arvata,להרגיז,verbs,0.05
1893,köyhä,בודד,adjectives,0.95
1894,poski,לשון,nouns,1.4
1895,rikos,הונאה,nouns,2.95
1896,viisaus,אינטליגנציה,nouns,4.5
1897,konkurssi,כישלון,nouns,1.6
1898,nenä,גרון,nouns,1.4
1899,itseluottamus,גישה,nouns,1.3
1900,ruma,מבולגן,adjectives,0.9
1901,rakenne,טופולוגיה,nouns,2.55
1902,rankka,קל,adjectives,0.7
1903,hirviö,שד,nouns,4.6
1904,jäähdytin,חיישן,nouns,0.45
1905,rentoutunut,לחוץ,adjectives,0.7
1906,kynä,סיפור,nouns,0.5
1907,selventää,להסביר,verbs,4.25
1908,tehdä kunniaa,להופיע,verbs,0.45
1909,välittömästi,פעם אחת,adverbs,0.3
1910,mehiläinen,חרק,nouns,2.4
1911,vastapäinen,ייחודי,adjectives,0.3
1912,ase,אנשים,nouns,0.3
1913,idea,דעה,nouns,2.35
1914,etsintä,מטרה,nouns,0.7
1915,torjua,לקבל,verbs,1.1
1916,vaarallisesti,בזהירות,adverbs,0.5
1917,säilyttää,להישאר,verbs,0.85
1918,asunto,בית,nouns,3.95
1919,sänky,כיסא,nouns,1.2
1920,poika,אח,nouns,2.35
1921,onneton,משוגע,adjectives,0.5
1922,työläinen,מצלמה,nouns,0.15
1923,käsivarsi,מפרק,nouns,2.05
1924,väkivaltainen,רך,adjectives,0.45
1925,taimen,גיטרה,nouns,0.05
1926,tuoda,לשלוח,verbs,0.95
1927,lentokenttä,מטוס,nouns,1.2
1928,kiistellä,להסכים,verbs,0.65
1929,epäonnistua,להצליח,verbs,0.7
1930,merkitä,לדרג,verbs,1.15
1931,nipistää,לחבוט,verbs,0.75
1932,taimi,עלה,nouns,1.5
1933,toimeksianto,הערה,nouns,0.85
1934,kypärä,נשק,nouns,0.95
1935,etikka,סלט,nouns,0.75
1936,käsi,ציפורן,nouns,1.35
1937,suuruus,עומק,nouns,1.75
1938,kangas,בגדים,nouns,2.3
1939,työntekijä,מעסיק,nouns,1.5
1940,keskustelu,טיעון,nouns,1.9
1941,arvioida,ללמוד,verbs,0.75
1942,olkapää,ראש,nouns,1.15
1943,oppia,לאמוד,verbs,0.75
1944,harvinainen,אקזוטי,adjectives,4.65
1945,leipä,גבינה,nouns,1.2
1946,tukki,אמבטיה,nouns,0.1
1947,uusi,טרי,adjectives,4.05
1948,maito,מיץ,nouns,1.45
1949,vesi,הכתרה,nouns,0.05
1950,surullinen,גאה,adjectives,0.25
1951,koko,טריק,nouns,0.0
1952,sitruuna,תפוח,nouns,1.85
1953,kulho,סמטה,nouns,0.0
1954,teatteri,סוללה,nouns,0.0
1955,haudata,למות,verbs,1.15
1956,koti,מדינה,nouns,0.7
1957,tyhmä,חכם,adjectives,0.7
1958,purra,לריב,verbs,1.1
1959,joskus,בוודאי,adverbs,0.2
1960,napsahtaa,לחרוק,verbs,0.7
1961,lisko,נחש,nouns,2.15
1962,pahentaa,לתקוף,verbs,0.65
1963,tunne,תשוקה,nouns,3.0
1964,härkä,סוס,nouns,1.7
1965,kalliojyrkänne,זנב,nouns,0.0
1966,kuorsata,להתעורר,verbs,0.6
1967,ilmapallo,אנשים,nouns,0.1
1968,omituinen,מוזר,adjectives,4.95
1969,valo,מקלדת,nouns,0.0
1970,koko,סנט,nouns,0.75
1971,essee,ספר,nouns,1.8
1972,jäytää,ללבוש,verbs,0.25
1973,partneri,ילד,nouns,0.95
1974,verho,מוט,nouns,0.7
1975,jalkaterä,ראש,nouns,1.15
1976,laukku,ארנק,nouns,3.35
1977,lähde,קופסה,nouns,0.0
1978,esikoulu,גן חובה,nouns,2.5
1979,ovi,מטבח,nouns,0.6
1980,käsittää,לדעת,verbs,2.75
1981,lika,בוץ,nouns,2.4
1982,piano,הרמוניה,nouns,0.85
1983,käydä sisään,לחוב,verbs,0.0
1984,peitetty,לבוש,adjectives,2.55
1985,kivi,עץ,nouns,0.75
1986,antaa,לשמור,verbs,0.5
1987,tuomioistuin,צדק,nouns,1.85
1988,vakuuttaa ,לנסות,verbs,0.75
1989,varainkeruutapahtuma,ארוע,nouns,1.9
1990,vankila,בחירה,nouns,0.35
1991,opiskelija,תלמיד,nouns,5.2
1992,ystävä,בחור,nouns,1.35
1993,lukea,לנשוך,verbs,0.0
1994,käsittää,לספק,verbs,0.2
1995,löytää,לאבד,verbs,0.65
1996,lintu,נץ,nouns,2.7
1997,maja,ביתן,nouns,3.75
1998,jännittävä,משעמם,adjectives,0.65
