ID,FIN,SPA,PoS,score
1402,ihanteellisesti,mecánicamente,adverbs,0.1
1403,laillinen,permitido,adjectives,4.05
1404,vyö,lazo,nouns,0.75
1405,vakuuttaa ,tratar,verbs,0.95
1406,kitara,tambor,nouns,1.25
1407,puhua,oír,verbs,0.65
1408,olosuhde,situación,nouns,5.1
1409,puristaa,abrazar,verbs,1.2
1410,haluta,pedir prestado,verbs,0.9
1411,koripallo,béisbol,nouns,1.85
1412,hankkia,unirse,verbs,0.45
1413,ranta,costa,nouns,nan
1414,vene,árbol,nouns,0.4
1415,tunnustus,negación,nouns,0.75
1416,rehellinen,culpable,adjectives,0.1
1417,huijata,engañar,verbs,4.2
1418,kummallinen,bizarro,adjectives,4.4
1419,sulautua,combinar,verbs,3.65
1420,vaimo,madre,nouns,1.9
1421,kuukausittainen,semanal,adjectives,0.9
1422,maapallo,mundo,nouns,3.55
1423,jälkeen,antes de,adverbs,0.25
1424,ei koskaan,después,adverbs,0.8
1425,ansaita,hacer,verbs,0.35
1426,kiistellä,persuadir,verbs,1.0
1427,levy,ordenador,nouns,0.85
1428,suoja,rodela,nouns,2.25
1429,löytää,escapar,verbs,0.35
1430,tiedottaa,notificar,verbs,5.0
1431,vahvistaa,permitir,verbs,2.75
1432,teksti,libro,nouns,2.6
1433,kaneli,caramelo,nouns,0.6
1434,siemen,mostaza,nouns,1.45
1435,poika,arroz,nouns,0.0
1436,järjestelmä,culpa,nouns,0.2
1437,televisio,guionista,nouns,0.8
1438,valmentaja,béisbol,nouns,0.35
1439,pahentaa,asaltar,verbs,0.7
1440,teema,libro,nouns,0.75
1441,satiiri,mito,nouns,1.25
1442,laulu,bailarín,nouns,0.65
1443,unelma,cielo,nouns,0.3
1444,tyyli,elegancia,nouns,4.2
1445,komero,ropa,nouns,1.0
1446,tiede,psicología,nouns,1.45
1447,kallisarvoinen,perezoso,adjectives,0.0
1448,naru,puesta de sol,nouns,0.0
1449,suu,nariz,nouns,1.25
1450,haavoittuvainen,fácil,adjectives,0.65
1451,hedelmätarha,avestruz,nouns,0.2
1452,aloittaa,dejar,verbs,0.3
1453,aggressiivinen,curvo,adjectives,0.0
1454,kuunnella,entender,verbs,1.35
1455,fonologia,pantalla,nouns,0.15
1456,molekyyli,aire,nouns,0.75
1457,syyttää,empujar,verbs,0.05
1458,oppia,evaluar,verbs,0.9
1459,halveksia,odiar,verbs,3.7
1460,toiminta,curso,nouns,0.75
1461,paha,estupendo,adjectives,0.1
1462,vaihtaa,alterar,verbs,3.8
1463,taivutus,infección,nouns,0.1
1464,pallo,esfera,nouns,2.2
1465,vaivata,agravar,verbs,0.75
1466,matkatavarat,circunnavegación,nouns,0.7
1467,paheksua,rechazar,verbs,1.75
1468,ottaa,poseer,verbs,1.75
1469,arvo,creencia,nouns,1.65
1470,vuosikymmen,siglo,nouns,1.05
1471,häpeissään oleva,modesto,adjectives,0.6
1472,laittaa,dar,verbs,1.05
1473,rikos,robo,nouns,3.25
1474,käsikirja,guía,nouns,4.75
1475,virsi,biblia,nouns,0.7
1476,varmasti,obviamente,adverbs,3.2
1477,sotkuinen,feo,adjectives,0.7
1478,tulla sisään,salir,verbs,0.05
1479,liittyä,adquirir,verbs,0.45
1480,ruokavalio,ensalada,nouns,1.05
1481,tärkeä,crucial,adjectives,4.35
1482,synnintekijä,smo,nouns,0.2
1483,pankkiiri,abogado,nouns,1.25
1484,mielipide,creencia,nouns,2.95
1485,syvyys,magnitud,nouns,1.35
1486,puuvilla,suéter,nouns,0.85
1487,ovi,piso,nouns,0.9
1488,antelias,simpático,adjectives,1.6
1489,pidättää,sospechar,verbs,0.65
1490,nauraa,cantar,verbs,0.45
1491,liiketoiminta,industria,nouns,2.5
1492,asteroidi,estrella,nouns,2.2
1493,nälkäinen,cansado,adjectives,0.65
1494,havaita,oír,verbs,2.05
1495,nöyryyttää,comodidad,verbs,0.0
1496,kuningas,nepotismo,nouns,1.4
1497,epäillä,arrestar,verbs,0.65
1498,kamera,continuación,nouns,0.1
1499,olla velkaa,entrar,verbs,0.0
1500,poika,padre,nouns,1.5
1501,tuoda,enviar,verbs,0.9
1502,olut,bebida,nouns,2.3
1503,ostaa,robar,verbs,0.4
1504,madaltaa,reducir,verbs,1.3
1505,tänä iltana,mañana,adverbs,0.55
1506,hammas,boca,nouns,1.65
1507,kolikko,pago,nouns,1.35
1508,äiti,guardián,nouns,2.25
1509,salaatti,dieta,nouns,1.05
1510,taito,inteligencia,nouns,2.05
1511,normaalisti,rutinariamente,adverbs,3.8
1512,onnistua,fallar,verbs,0.3
1513,laulu,historia,nouns,0.45
1514,milloin tahansa,a veces,adverbs,1.05
1515,tapahtua,hacer,verbs,1.0
1516,olettaa,predecir,verbs,2.4
1517,peittää,enterrar,verbs,3.6
1518,pienehkö,enano,adjectives,4.05
1519,kamera,presidente,nouns,0.45
1520,moittia,mentir,verbs,0.3
1521,biologia,anatomía,nouns,2.25
1522,varkaus,crimen,nouns,3.25
1523,tankki,coche,nouns,0.75
1524,tuhota,salvar,verbs,0.25
1525,oksentaa,cerrar,verbs,0.0
1526,kuvernööri,emperador,nouns,1.75
1527,tavallinen,extraño,adjectives,0.3
1528,päiväkirja,miel,nouns,0.25
1529,puutarha,manguera,nouns,0.5
1530,vaeltaa,salir,verbs,0.65
1531,pallo,guante,nouns,0.65
1532,biologia,biotopo,nouns,1.1
1533,hurskaasti,maduro,adverbs,0.75
1534,murskata,chocarse con,verbs,0.8
1535,lentokone,hoja,nouns,0.0
1536,sekularisti,religión,nouns,0.35
1537,tie,autopista,nouns,4.2
1538,kestävyys,banda,nouns,0.05
1539,onnellisesti,sin peligro,adverbs,0.8
1540,suru,felicidad,nouns,0.6
1541,vyötärö,estómago,nouns,2.0
1542,riisi,niño,nouns,0.0
1543,tukahduttaa,renunciar,verbs,0.8
1544,viestintä,televisión,nouns,1.4
1545,pesäpallo,baloncesto,nouns,1.85
1546,hyväksyä,disminuir,verbs,0.2
1547,supistaa,encoger,verbs,3.75
1548,työnantaja,obrero,nouns,1.25
1549,lannistaa,fallar,verbs,0.95
1550,termi,semestre,nouns,0.85
1551,tapa,manera,nouns,2.15
1552,säilyttää,olvidar,verbs,0.2
1553,perustella,verificar,verbs,1.75
1554,vaimo,agujero,nouns,0.0
1555,sielu,hermano,nouns,0.15
1556,tuho,construcción,nouns,0.35
1557,vilpittömästi,seriamente,adverbs,2.05
1558,uhka,peligro,nouns,4.8
1559,asenne,confianza,nouns,1.9
1560,vuosi,cumpleaños,nouns,1.15
1561,kieleke,montaña,nouns,0.5
1562,sänky,cuna,nouns,2.7
1563,peukalo,uña,nouns,1.7
1564,menettää,cocinar,verbs,0.05
1565,rehellisesti,fielmente,adverbs,2.0
1566,sairaala,cama,nouns,0.45
1567,vaihto,reemplazo,nouns,3.65
1568,laiton,legal,adjectives,0.3
1569,käsivarsi,cuerpo,nouns,1.2
1570,aakkoset,bolígrafo,nouns,0.45
1571,sykloni,tifón,nouns,4.8
1572,kilpaileminen,filósofo,nouns,0.15
1573,esikoulu,guardería,nouns,2.9
1574,torjua,elegir,verbs,0.2
1575,kivi,madera,nouns,0.8
1576,meri,océano,nouns,4.35
1577,vasara,dientes,nouns,0.05
1578,mäntä,motor,nouns,1.95
1579,sanakirja,palabra,nouns,1.25
1580,hermo,intestino,nouns,0.8
1581,sulkea,esforzarse,verbs,0.35
1582,globalismi,visado,nouns,0.65
1583,laajentaa,crecer,verbs,4.2
1584,vaahtera,roble,nouns,1.55
1585,ranne,brazo,nouns,1.6
1586,viini,alcohol,nouns,2.2
1587,kyynel,ojo,nouns,0.95
1588,sivu,párrafo,nouns,1.05
1589,voi,patata,nouns,0.75
1590,elokuvateatteri,televisión,nouns,1.55
1591,mulkoilla,ojear,verbs,0.8
1592,valtameri,mar,nouns,4.35
1593,laatikko,sombrero,nouns,0.2
1594,aamunkoitto,día,nouns,2.35
1595,enimmäkseen,principalmente,adverbs,4.95
1596,määrittää,evacuar,verbs,0.4
1597,orkesteri,banda,nouns,4.5
1598,vaimo,bañera,nouns,0.1
1599,ovi,cocina,nouns,0.5
1600,dia,puntero,nouns,0.25
1601,pappi,dios,nouns,1.25
1602,kukka,bulbo,nouns,0.75
1603,miljonääri,dólar,nouns,0.85
1604,keitetty,cocido,adjectives,4.1
1605,johtaja,gerente,nouns,3.3
1606,sade,niebla,nouns,1.3
1607,harmonia,piano,nouns,0.5
1608,orja,servidor,nouns,2.5
1609,varastaa,secuestrar,verbs,1.95
1610,usva,nube,nouns,2.75
1611,leveä,estrecho,adjectives,0.3
1612,yrittää,tener éxito,verbs,0.7
1613,setä,hombre,nouns,2.65
1614,filosofi,carreras,nouns,0.15
1615,harvinainen,escaso,adjectives,3.4
1616,tarjous,centavo,nouns,0.25
1617,myöntyä,diferir de,verbs,0.15
1618,kuningas,príncipe,nouns,2.1
1619,takki,sombrero,nouns,1.15
1620,kirja,materia,nouns,1.15
1621,juosta,montar,verbs,0.65
1622,yleensä,sinceramente,adverbs,0.4
1623,yksinkertainen,duro,adjectives,0.1
1624,myöhemmin,nunca,adverbs,0.8
1625,myrsky,nieve,nouns,1.05
1626,majatalo,motel,nouns,3.65
1627,keisari,constitución,nouns,0.75
1628,kursori,patatas fritas,nouns,0.0
1629,kiistellä,debate,verbs,3.95
1630,epäonnistua,tener éxito,verbs,0.3
1631,jalka,miembro,nouns,3.5
1632,harvoin,generalmente,adverbs,0.25
1633,dollari,millonario,nouns,0.85
1634,kappale,cola,nouns,0.05
1635,korvata,restaurar,verbs,1.75
1636,sairaanhoitaja,científico,nouns,0.4
1637,tyhmä,estúpido,adjectives,5.05
1638,vartalo,ropa interior,nouns,0.45
1639,tehdä,ocurrir,verbs,1.0
1640,suorittaa loppuun,competir,verbs,0.3
1641,hyvä,picante,adjectives,0.1
1642,hallitus,lagartija,nouns,0.0
1643,isä,hombre,nouns,2.3
1644,vartalo,hombro,nouns,1.1
1645,palaa,ahogar,verbs,0.3
1646,hyytävä,frágil,adjectives,0.2
1647,kuljettaa,detener,verbs,0.4
1648,antaa,desconocer,verbs,0.05
1649,heliumi,aire,nouns,1.15
1650,veli,niño,nouns,2.05
1651,juoksija,atleta,nouns,3.1
1652,ranta,orilla,nouns,3.0
1653,työntää,tirar,verbs,1.2
1654,hissi,coche,nouns,0.2
1655,oppia,educar,verbs,1.45
1656,kissa,ratón,nouns,0.95
1657,ottaa,entregar,verbs,0.6
1658,vartalo,nervio,nouns,0.75
1659,nyyhkyttää,llorar,verbs,4.35
1660,kuluttaa,salvar,verbs,0.3
1661,kaliiperi,paraguas,nouns,0.1
1662,keittiö,puerta,nouns,0.5
1663,kurkku,lengua,nouns,1.35
1664,vanha,nuevo,adjectives,0.3
1665,apokalypsi,fuego,nouns,0.55
1666,kausi,invierno,nouns,2.2
1667,aktiivisesti,precisamente,adverbs,0.75
1668,asetyylikoliini,iris,nouns,0.3
1669,karja,oveja,nouns,2.6
1670,asunto,hotel,nouns,1.2
1671,poika,condición,nouns,0.05
1672,vaatimaton,puro,adjectives,0.6
1673,keuhko,hígado,nouns,1.05
1674,sovinisti,prejuicio,nouns,1.2
1675,papu,arroz,nouns,1.15
1676,jäädä,salir,verbs,0.6
1677,pilvinen sää,pronóstico,nouns,1.0
1678,jäytää,permitir,verbs,0.0
1679,hiljaa,pasivamente,adverbs,0.85
1680,kalkkuna,pájaro,nouns,2.7
1681,oviaukko,puerta,nouns,2.9
1682,mennä,empezar,verbs,0.65
1683,laskuoppi,lógica,nouns,1.75
1684,onnistua,lograr,verbs,4.15
1685,väkijuoma,siglo,nouns,0.05
1686,kansi,piso,nouns,0.9
1687,käsi ,pie,nouns,1.25
1688,tapetti,fondo,nouns,1.6
1689,todentaa,justificar,verbs,1.75
1690,populaatio,gente,nouns,3.6
1691,säännöllinen,ignorante,adjectives,0.0
1692,muistuttaa,contar,verbs,1.15
1693,roikkua,matar,verbs,0.25
1694,raamattu,libro,nouns,2.25
1695,isä,dios,nouns,1.1
1696,vaikutelma,creencia,nouns,2.0
1697,kuunnella,obedecer,verbs,0.85
1698,planeetta,estrella,nouns,2.25
1699,puhelin,teléfono móvil,nouns,4.85
1700,mies,centinela,nouns,1.55
1701,purkki,botella,nouns,2.3
1702,topologia,estructura,nouns,2.0
1703,uloskäynti,sufragio,nouns,0.05
1704,opiskelija,alumno,nouns,5.35
1705,heikko,picante,adjectives,0.0
1706,auttaja,profesor,nouns,1.65
1707,kysyä,alegar,verbs,0.5
1708,terävä,templado,adjectives,0.25
1709,vilja,trigo,nouns,2.55
1710,raitiovaunu,tren,nouns,2.6
1711,lyhyt,largo,adjectives,0.3
1712,saavuttaa,recibir,verbs,0.5
1713,kuvanveistäjä,palacio,nouns,0.4
1714,aktiivisesti,felizmente,adverbs,0.35
1715,kumota,permitir,verbs,0.5
1716,kuolema,catástrofe,nouns,1.15
1717,ruohoalue,prado,nouns,4.2
1718,peto,animal,nouns,3.4
1719,lasi,placa,nouns,0.35
1720,halkaista,despegar,verbs,1.3
1721,sattua,caer,verbs,0.9
1722,ottaa,salir,verbs,0.6
1723,auringonlasku,noche,nouns,1.55
1724,nieleksiä,sorber,verbs,1.85
1725,supistaa,restringir,verbs,2.85
1726,aggressiivinen,grosero,adjectives,2.35
1727,elin,riñón,nouns,2.85
1728,läsnäolo,puerta,nouns,0.3
1729,virus,sangre,nouns,0.95
1730,kapea,amplio,adjectives,0.3
1731,jännittävä,aburrido,adjectives,0.3
1732,auringonlasku,mesa,nouns,0.05
1733,liikkua,tejer,verbs,0.7
1734,puuvilla,poliéster,nouns,1.4
1735,tienraivaaja,arquero,nouns,0.5
1736,kumppani,compañero,nouns,3.9
1737,tauota,esperar,verbs,2.3
1738,sekava,organizado,verbs,0.25
1739,vuosisata,año,nouns,1.6
1740,polkupyörä,coche,nouns,0.85
1741,pehmeästi,ruidosamente,adverbs,0.1
1742,tukea,asistir,verbs,4.3
1743,suklaa,tarta,nouns,1.0
1744,hyväksyä,recomendar,verbs,1.0
1745,sää,nieve,nouns,0.85
1746,matka,conquista,nouns,0.65
1747,kirkua,chillar,verbs,4.95
1748,toimittaa,tomar,verbs,0.6
1749,haluta,escoger,verbs,1.05
1750,valmistaa,volverse,verbs,0.2
1751,loiske,viscosidad,nouns,0.75
1752,peitetty,vestido,adjectives,2.35
1753,prinsessa,novia,nouns,0.7
1754,pesäpallo,sofá,nouns,0.35
1755,väsynyt,hambriento,adjectives,0.65
1756,lisätä,construir,verbs,0.95
1757,niska,brazo,nouns,0.8
1758,luopua,desconocer,verbs,0.5
1759,herttua,república,nouns,0.3
1760,peli,truco,nouns,1.45
1761,organisoida,recoger,verbs,1.2
1762,vaimo,marido,nouns,1.4
1763,lapsellinen,tonto,adjectives,1.5
1764,hienovaraisesti,tranquilamente,adverbs,1.45
1765,paristo,teatro,nouns,0.1
1766,kirja,literatura,nouns,2.35
1767,verho,barra,nouns,0.2
1768,hiiri,cubierta,nouns,0.0
1769,poliitikko,presidente,nouns,2.65
1770,istunto,paciente,nouns,0.45
1771,punainen,azul,adjectives,0.85
1772,myrsky,nube,nouns,1.0
1773,valloitus,viaje,nouns,0.65
1774,tunnustaa,aceptar,verbs,3.85
1775,teeskennellä,imaginar,verbs,1.25
1776,partneri,niño,nouns,0.65
1777,sumu,nube,nouns,2.4
1778,ylpeä,arrogante,adjectives,2.9
1779,ajaa,barajar,verbs,0.75
1780,pormestari,jefe,nouns,1.65
1781,pelata uhkapeliä,apostar,verbs,2.9
1782,veksillologia,bandera,nouns,1.5
1783,uusi,antiguo,adjectives,0.3
1784,väkivaltainen,radical,adjectives,1.9
1785,monitori,pantalla,nouns,5.1
1786,veli,alma,nouns,0.15
1787,perustella,discutir,verbs,0.85
1788,helppo,duro,adjectives,0.3
1789,peruna,mantequilla,nouns,0.75
1790,toimisto,obrero,nouns,0.45
1791,olla peräisin,descubrir,verbs,0.9
1792,menettää,mantener,verbs,0.15
1793,kynä,historia,nouns,0.6
1794,sitoumus,anillo,nouns,1.6
1795,vihje,palabra,nouns,0.2
1796,vakavasti,en tono rimbombante,adverbs,1.0
1797,käyttökelpoinen,imposible,adjectives,0.3
1798,tila,moda,nouns,0.15
1799,metalli,aluminio,nouns,2.35
1800,likainen,increíble,adjectives,0.0
1801,ranne,mano,nouns,2.25
1802,jakku,ropa,nouns,1.65
1803,kuulla,hablar,verbs,0.65
1804,artikkeli,diario,nouns,1.55
1805,huomauttaa,criticar,verbs,1.8
1806,niska,espina,nouns,0.85
1807,pitää,poseer,verbs,2.05
1808,tieto,libro,nouns,1.0
1809,poliitikko,policía,nouns,0.55
1810,temppu,juego,nouns,1.45
1811,hyväksyä,estar de acuerdo,verbs,3.85
1812,pestä,enjuagar,verbs,3.25
1813,kypsä,sofisticado,adjectives,1.35
1814,johtokunta,ratón,nouns,0.0
1815,yliopisto,campus,nouns,3.3
1816,mennä,entrar,verbs,1.1
1817,sarvi,tambor,nouns,0.35
1818,ilmailu,aviónica,nouns,2.3
1819,neuropsykologia,parasicología,nouns,1.45
1820,rannikko,costa,nouns,4.9
1821,yhdistys,club,nouns,3.35
1822,napsahtaa,crujir,verbs,1.7
1823,musertaa,ahogar,verbs,1.9
1824,onnettomuus,libro,nouns,0.1
1825,heikko,poderoso,adjectives,0.35
1826,valmiudet,competencia,nouns,3.65
1827,valmistaja,creador,nouns,3.7
1828,kaareva,agresivo,adjectives,0.0
1829,onnekas,avergonzado,adjectives,0.05
1830,myytti,sátira,nouns,1.25
1831,unohtaa,ignorar,verbs,2.15
1832,maila,ruido,nouns,0.15
1833,rikos,ataque,nouns,0.95
1834,unohtaa,saber,verbs,0.25
1835,hämmentää,sacudir,verbs,2.4
1836,nainen,pantalones,nouns,0.15
1837,munkki,cruzar,nouns,0.25
1838,korottaa,beber,verbs,0.0
1839,karkeasti,impacientemente,adverbs,0.4
1840,tarpeellinen,innecesario,adjectives,0.3
1841,pilvi,lago,nouns,0.3
1842,yhdistää,dividir,verbs,0.4
1843,pohja,lado,nouns,0.75
1844,vähentää,perder,verbs,0.6
1845,suuruus,profundidad,nouns,1.35
1846,ilma,molécula,nouns,0.75
1847,ylpeä,negrita,adjectives,0.25
1848,romaani,escritor,nouns,1.0
1849,puro,río,nouns,2.5
1850,jänis,gato,nouns,1.1
1851,hengellinen,incorpóreo,adjectives,2.85
1852,olla tunnustamatta,renunciar,verbs,0.5
1853,liike,actividad,nouns,2.45
1854,historioitsija,historiógrafo,nouns,3.1
1855,kulho,callejón,nouns,0.0
1856,vihata,disfrutar,verbs,0.2
1857,itsepäinen,estúpido,adjectives,0.7
1858,syyllinen,honesto,adjectives,0.1
1859,myydä,pedir prestado,verbs,0.35
1860,mahdoton,factible,adjectives,0.3
1861,torjua,aceptar,verbs,0.3
1862,armeija,equipo,nouns,0.85
1863,naida,unirse,verbs,1.75
1864,ylpeä,pobre,adjectives,0.1
1865,kapea,ancho,adjectives,0.25
1866,brandy,alcohol,nouns,2.3
1867,juhla,ceremonia,nouns,4.2
1868,sali,pasillo,nouns,1.05
1869,luu,codo,nouns,1.0
1870,sininen,rojo,adjectives,0.85
1871,logiikka,inteligencia,nouns,3.05
1872,silmä,lágrima,nouns,0.95
1873,nykyään,delicadamente,adverbs,0.0
1874,kongressi,parlamento,nouns,3.75
1875,peli,acción,nouns,1.15
1876,kahva,proteína,nouns,0.15
1877,nilkka,codo,nouns,0.9
1878,päivällinen,desayuno,nouns,1.45
1879,sitruuna,té,nouns,0.5
1880,jumaloida,admirar,verbs,4.15
1881,vaeltaa,buscar,verbs,0.8
1882,kestävyys,fuerza,nouns,3.5
1883,kansallinen,conocido,adjectives,0.45
1884,lattia,cubierta,nouns,0.9
1885,välttää,negar,verbs,0.95
1886,virallisesti,fuertemente,adverbs,0.25
1887,valmiudet,fuerza,nouns,2.5
1888,muotoutumaton,uniforme,adjectives,0.55
1889,kitara,violín,nouns,1.2
1890,vika,sistema,nouns,0.2
1891,härkä,caballo,nouns,1.55
1892,hermostunut,asustado,adjectives,2.05
1893,gini,alcohol,nouns,2.55
1894,likainen,estrecho,adjectives,0.0
1895,alumiini,estaño,nouns,0.9
1896,tuore,nuevo,adjectives,4.3
1897,uusi,no usado,adjectives,5.25
1898,solu,habitación,nouns,0.7
1899,evakuoida,determinar,verbs,0.4
1900,iso,fácil,adjectives,0.0
1901,määrittää,aclarar,verbs,3.45
1902,jakaa,multiplicar,verbs,0.95
1903,johtokunta,trabajo,nouns,1.1
1904,turvallinen,legal,adjectives,1.35
1905,huomio,conciencia,nouns,1.8
1906,virsi,conquista,nouns,0.15
1907,fakta,visión,nouns,0.65
1908,juna,tranvía,nouns,2.6
1909,verrata,analizar,verbs,2.4
1910,itkeä,sollozar,verbs,4.35
1911,viaton,gratis,adjectives,0.35
1912,huone,edificio,nouns,1.05
1913,aikuinen,niño,nouns,0.75
1914,läsnäolo,ausencia,nouns,0.35
1915,säde,sol,nouns,1.65
1916,peittää,proteger,verbs,3.2
1917,happo,base,nouns,0.5
1918,teatteri,batería,nouns,0.1
1919,makuuhuone,estómago,nouns,0.1
1920,kissa,conejo,nouns,1.1
1921,odottaa,permanecer,verbs,2.1
1922,robotiikka,simulación,nouns,0.8
1923,tylsä,triste,adjectives,0.55
1924,rauhanomaisesti,orgullosamente,adverbs,0.1
1925,teoria,teorema,nouns,3.55
1926,pilvi,ventana,nouns,0.35
1927,kuoro,cantante,nouns,1.8
1928,polkupyörä,habitación,nouns,0.15
1929,täysin,puramente,adverbs,2.65
1930,kuulla,percibir,verbs,2.05
1931,tukahduttaa,abrazar,verbs,0.6
1932,mennä,permitir,verbs,0.45
1933,aviomies,esposa,nouns,1.4
1934,sokeriruoko,segadora,nouns,0.3
1935,reikä,esposa,nouns,0.0
1936,vene,ancla,nouns,0.85
1937,pullo,tarro,nouns,2.3
1938,karja,yogur,nouns,0.45
1939,rintakehä,cuerpo,nouns,1.7
1940,moottori ,bote,nouns,0.55
1941,presidentti,alumno,nouns,0.3
1942,pitkäveteinen,mediocre,adjectives,0.9
1943,selittää,aclarar,verbs,4.55
1944,töykeä,agresivo,adjectives,2.35
1945,matka,viaje,nouns,4.05
1946,kasvaa,expandir,verbs,4.2
1947,lisätä,unirse,verbs,2.15
1948,uusi,antiguo,adjectives,0.3
1949,sytoplasma,dígito,nouns,0.0
1950,tiedustella,exigir,verbs,1.15
1951,katu,callejón,nouns,3.95
1952,tsunami,mar,nouns,1.45
1953,keramiikka,cerámico,nouns,4.3
1954,paha,genial,adjectives,0.1
1955,hiiri,envase,nouns,0.05
1956,äänekkäästi,sutilmente,adverbs,0.1
1957,vamppyyri,murciélago,nouns,1.7
1958,jousiampuja,pionero,nouns,0.5
1959,lumi,hielo,nouns,3.05
1960,iloinen,feliz,adjectives,4.05
1961,laskimo,brazo,nouns,0.5
1962,hauska,grave,adjectives,0.25
1963,tähti,planeta,nouns,2.25
1964,antaa,mantener,verbs,0.55
1965,hevonen,yegua,nouns,3.15
1966,kysyä,ignorar,verbs,0.1
1967,viikko,fin de semana,nouns,1.9
1968,riisi,pollo,nouns,0.55
1969,jumala,presa,nouns,0.0
1970,liha,pan,nouns,0.7
1971,mies,víctor,nouns,0.5
1972,kana,cena,nouns,1.45
1973,alkoholi,brandy,nouns,2.3
1974,kirja,tema,nouns,0.75
1975,itseluottamus,actitud,nouns,1.9
1976,katastrofi,muerte,nouns,1.15
1977,tunnelma,contaminación,nouns,0.65
1978,aamiainen,tocino,nouns,0.7
1979,raaja,pierna,nouns,3.5
1980,seimi,cama,nouns,2.7
1981,mehu,leche,nouns,1.05
1982,kalenteri,vacaciones,nouns,1.0
1983,pilata,oler,verbs,0.05
1984,käsivarsi,cuello,nouns,0.8
1985,karata,huir,verbs,5.55
1986,kohdella,paga,verbs,0.1
1987,potkaista,herir,verbs,1.05
1988,neule,chaqueta,nouns,2.35
1989,vaivata,interrumpir,verbs,3.55
1990,keskinkertainen,bien,adjectives,0.4
1991,vaarallisesti,cuidadosamente,adverbs,0.2
1992,antaa lupa,aprobar,verbs,2.75
1993,veri,médula,nouns,0.65
1994,ehdokas,ganador,nouns,1.4
1995,tykki,pelota,nouns,0.2
1996,paperi,cartulina,nouns,3.35
1997,kalkkuna,gallina,nouns,1.4
1998,diodi,condensador,nouns,1.7
1999,sivilisaatio,estilo de vida,nouns,0.95
2000,brandy,vino,nouns,1.6
2001,sormi,palma,nouns,0.35
2002,tehdas,coche,nouns,0.3
2003,juusto,un pan,nouns,0.85
2004,vehnä,cereal,nouns,2.55
2005,typerä,crédulo,adjectives,1.9
2006,orvokki,flor,nouns,2.45
2007,sammal,hierba,nouns,1.75
2008,samanaikaisuus,moneda,nouns,0.15
2009,olkapää,brazo,nouns,1.35
2010,leuka,hueso,nouns,1.25
2011,yhtiö,negocio,nouns,2.2
2012,myöntyä,complacer,verbs,1.0
2013,todistaa,discutir,verbs,0.55
2014,rannikkoalue,litoral,nouns,4.9
2015,parlamentti,congreso,nouns,3.75
2016,tieteilijä,enfermera,nouns,0.4
2017,yhtenäinen,desformado,adjectives,0.55
2018,palatsi,rascacielos,nouns,0.95
2019,juoda,mezcla,verbs,0.3
2020,jumala,diablo,nouns,0.95
2021,laki,colegio,nouns,0.5
2022,ortodontti,dentista,nouns,3.7
2023,rakennus,habitación,nouns,1.05
2024,opettaja,amigo,nouns,0.5
2025,vihainen,feliz,adjectives,0.3
2026,avain,casa,nouns,0.5
2027,mies,mujer,nouns,1.2
2028,teleskooppi,reunión creativa,nouns,0.0
2029,mieletön,feliz,adjectives,0.3
2030,joskus,a menudo,adverbs,1.65
2031,kone,computadora,nouns,3.55
2032,yhtälö,fórmula,nouns,3.65
2033,onnellinen,contento,adjectives,4.05
2034,kettu,sabueso,nouns,1.35
2035,olkapää,cuerpo,nouns,1.1
2036,kovakouraisesti,ligeramente,adverbs,0.25
2037,pelästynyt,tímido,adjectives,1.6
2038,läsnäolo,ganador,nouns,0.2
2039,sosiobiologia,mutante,nouns,0.2
2040,arvioida,analizar,verbs,4.45
2041,säästää,destruir,verbs,0.25
2042,neuvoa,sugerir,verbs,3.3
2043,ihastuttava,alegre,adjectives,1.7
2044,kulta,zinc,nouns,1.4
2045,jakaa,añadir,verbs,0.6
2046,paikallisesti,cercanamente,adverbs,1.9
2047,veljeskunta,hombres,nouns,1.3
2048,valtava,minúsculo,adjectives,0.3
2049,korkeakoulu,clase,nouns,1.0
2050,lastattu,pesado,adjectives,2.2
2051,suurkaupunki,pueblo,nouns,3.3
2052,muurahainen,volar,nouns,1.05
2053,kahdesti,una vez,adverbs,0.8
2054,hyvin,conocido,adjectives,0.2
2055,uudelleenlämmitys,precalentamiento,nouns,1.35
2056,hotelli,apartamento,nouns,1.2
2057,tiedottaa,limpiar,verbs,0.0
2058,valinta,cárcel,nouns,0.15
2059,antaa,poner,verbs,1.05
2060,takavarikoida,tomar,verbs,1.4
2061,lainata,mantener,verbs,0.3
2062,onnettomuus,emergencia,nouns,3.45
2063,letku,coche,nouns,0.15
2064,mielipide,elección,nouns,0.95
2065,muoti,modo,nouns,0.15
2066,hyväksyä,reconocer,verbs,3.85
2067,kuiskata,hablar,verbs,2.15
2068,viikottainen,mensual,adjectives,0.9
2069,sänky,manta,nouns,0.85
2070,suositella,aceptar,verbs,1.0
2071,kansi,bote,nouns,0.75
2072,lainata,vender,verbs,0.35
2073,lähde,caja,nouns,0.1
2074,ajoneuvo,autobús,nouns,2.75
2075,laulaja,actor,nouns,1.05
2076,makeinen,canela,nouns,0.6
2077,vaihto,moneda,nouns,0.9
2078,peitetty,descubierto,adjectives,0.3
2079,varastaa,tomar,verbs,1.45
2080,laimilyödä,desconocer,verbs,1.05
2081,tarkasti,localmente,adverbs,1.9
2082,muistuttaa,olvidar,verbs,0.25
