ID,FRA,YUE,PoS,score
1513,lutter,阻礙,verbs,0.4
1514,vêtement,布,nouns,2.69
1515,garçon,士兵,nouns,1.45
1516,système,故障,nouns,0.24
1517,acétylcholine,鳶尾花,nouns,nan
1518,taille,一餐,nouns,0.15
1519,air,分子,nouns,1.32
1520,se renseigner,搜索,verbs,4.02
1521,satisfaire,求情,verbs,0.38
1522,boeuf,馬,nouns,2.11
1523,épouse,母親,nouns,3.01
1524,président,相機,nouns,0.05
1525,archéologie,人類學,nouns,2.58
1526,mettre,掛,verbs,0.91
1527,impatient,焦慮,adjectives,2.83
1528,verre,水晶,nouns,3.12
1529,initialement,創造性地,adverbs,0.24
1530,saisir,滿足,verbs,0.35
1531,idée,意見,nouns,4.77
1532,misère,絕望,nouns,3.67
1533,beauté,十四行詩,nouns,0.4
1534,photophone,同音詞,nouns,0.25
1535,terne,沈悶,adjectives,5.37
1536,mordre,讀,verbs,0.09
1537,salade,醋,nouns,1.13
1538,propre,亂,adjectives,0.84
1539,cheval,小馬,nouns,3.88
1540,étoile,小行星,nouns,3.69
1541,désert,沙丘,nouns,2.83
1542,ignorer,打印,verbs,0.1
1543,câble,巫師,nouns,0.0
1544,clé,王冠,nouns,0.1
1545,soigné,乾淨,adjectives,5.08
1546,sincèrement,認真地,adverbs,2.59
1547,réalisateur,攝影,nouns,1.83
1548,câliner,擁抱,verbs,5.07
1549,réinhumation,墳墓,nouns,1.65
1550,radiateur,遮,nouns,0.29
1551,furieux,開心,adjectives,1.15
1552,grand,巨大,adjectives,4.21
1553,veine,手臂,nouns,0.84
1554,veau,公牛,nouns,3.23
1555,tissu,麻布,nouns,3.1
1556,sans abri,億萬富翁,nouns,0.8
1557,dinde,鳥,nouns,2.89
1558,doux,電動,adjectives,0.2
1559,élever,喝,verbs,0.05
1560,corps,神經,nouns,1.08
1561,blesser,跌,verbs,0.98
1562,écouter,服從,verbs,3.96
1563,corridor,過道,nouns,4.75
1564,épée,環境,nouns,0.05
1565,transparent,光標,nouns,0.24
1566,bouteille,容器,nouns,3.74
1567,reste,差數,nouns,2.87
1568,radiateur,傳感器,nouns,0.86
1569,métal,鋁,nouns,2.74
1570,persil,瑪芬,nouns,0.34
1571,ignorer,探索,verbs,0.3
1572,mur,城堡,nouns,0.83
1573,deviner,刺激,verbs,0.33
1574,archevêque,主教,nouns,4.39
1575,situation,狀況,nouns,5.33
1576,informe,不定形,adjectives,3.29
1577,soustraire,失去,verbs,2.42
1578,épée,王座,nouns,0.5
1579,rincer,洗,verbs,4.35
1580,secourir,拯救,verbs,5.58
1581,permettre,侵蝕,verbs,0.15
1582,nécessiter,安排,verbs,0.29
1583,portail,門,nouns,5.17
1584,autrefois,馬上,adverbs,0.74
1585,deux fois,總是,adverbs,0.89
1586,passionnant,平淡,adjectives,0.48
1587,mot,報紙,nouns,1.5
1588,conspirateur,策略家,nouns,3.06
1589,juriste,大狀,nouns,4.38
1590,perdre,得到,verbs,0.74
1591,analyser,比較,verbs,3.43
1592,sentir,發出惡臭,verbs,3.27
1593,pendre,放,verbs,0.91
1594,journal,字,nouns,1.5
1595,apprécier,娛樂,verbs,1.04
1596,accuser,說謊,verbs,0.59
1597,fenêtre,雲,nouns,0.4
1598,traiter,賣,verbs,0.85
1599,trouver,消失,verbs,0.2
1600,obtenir,失去,verbs,0.74
1601,océan,海,nouns,5.17
1602,ruisseau,河,nouns,3.88
1603,calme,中性,adjectives,1.27
1604,nier,給予,verbs,0.2
1605,lâche,靈活,adjectives,1.15
1606,armée,海軍,nouns,3.63
1607,plaider,乞求,verbs,2.83
1608,honteux,謙虛,adjectives,0.73
1609,succès,陷害,nouns,0.24
1610,conseiller,建議,verbs,5.43
1611,mélanger,喝,verbs,0.45
1612,magistrat,法官,nouns,4.59
1613,centime,妻子,nouns,0.05
1614,personne,人口,nouns,3.65
1615,employé,歌手,nouns,0.38
1616,errer,離開,verbs,0.34
1617,voiture,貨車,nouns,2.83
1618,gomme,薄荷,nouns,0.68
1619,normalement,常規地,adverbs,3.46
1620,tuer,防守,verbs,0.65
1621,pomme,醬,nouns,0.93
1622,équation,公式,nouns,3.92
1623,eau,鹽,nouns,0.65
1624,course,哲學家,nouns,0.24
1625,extraverti,友好,adjectives,2.54
1626,thé,檸檬,nouns,0.94
1627,nouvelle,社論,nouns,3.02
1628,éviter,拒絕,verbs,0.69
1629,galerie,律師,nouns,0.05
1630,crépuscule,傍晚,nouns,4.71
1631,trébucher,跌倒,verbs,4.39
1632,apparaître,離開,verbs,0.15
1633,queue,碗,nouns,0.05
1634,lemme,音節,nouns,1.56
1635,ami,賓客,nouns,3.27
1636,passif,暴力,adjectives,0.39
1637,feuille,幼苗,nouns,1.25
1638,chercher,搵,verbs,3.17
1639,fracasser,打碎,verbs,4.45
1640,stupide,笨,adjectives,5.63
1641,vache,家牛,nouns,4.09
1642,article,書,nouns,3.49
1643,pâturage,草地,nouns,4.38
1644,courrier,速度,nouns,0.0
1645,porte,存在,nouns,0.15
1646,papillon,玫瑰,nouns,0.39
1647,corps,肚,nouns,2.63
1648,sûr,乏味,adjectives,0.24
1649,mélanger,聯合,verbs,4.42
1650,docteur,大夫,nouns,5.4
1651,arbre,船,nouns,0.24
1652,cou,脊柱,nouns,2.53
1653,dire,校驗,verbs,0.5
1654,simplement,看來,adverbs,1.17
1655,décourager,搞到唔開心,verbs,2.83
1656,satisfaire,使滿意,verbs,4.99
1657,ballon,排球,nouns,2.59
1658,laisser,徘徊,verbs,0.34
1659,esclave,僕人,nouns,4.15
1660,dîner,餐,nouns,3.56
1661,persévérance,強度,nouns,3.16
1662,poitrine,身體,nouns,2.12
1663,avion,噴射機,nouns,3.83
1664,écosystème,經濟,nouns,0.89
1665,harmonie,鋼琴,nouns,1.32
1666,bon,聞名,adjectives,1.15
1667,ancre,船,nouns,1.37
1668,surface,地帶,nouns,3.85
1669,dépression,谷,nouns,1.92
1670,follement,可悲的是,adverbs,0.39
1671,rappeler,賣,verbs,0.2
1672,courroucé,猶豫,adjectives,0.58
1673,expulser,離開,verbs,2.56
1674,regarder,觀察,verbs,5.03
1675,blitz,攻擊,nouns,3.0
1676,ami,老師,nouns,1.16
1677,officiellement,強烈地,adverbs,0.52
1678,vin,白蘭地,nouns,3.44
1679,princesse,島,nouns,0.25
1680,pièce,沖涼,nouns,1.02
1681,défendre,殺,verbs,0.65
1682,salle de cours,走廊,nouns,0.65
1683,circumnavigation,行李,nouns,0.72
1684,pierre,木,nouns,1.22
1685,victime,電話,nouns,0.15
1686,pomme,陽光,nouns,0.3
1687,mouvement,活動,nouns,3.22
1688,prévenir,停,verbs,0.79
1689,attraper,放走,verbs,0.43
1690,modeste,靈活,adjectives,0.34
1691,moteur,引擎,nouns,4.13
1692,week-end,星期,nouns,2.91
1693,confiance,自己,nouns,1.22
1694,rare,稀少,adjectives,3.77
1695,wagon,容器,nouns,0.24
1696,médiocre,悶,adjectives,3.0
1697,histoire,鉛筆,nouns,0.2
1698,rondin,木,nouns,4.17
1699,bateau,甲板,nouns,1.3
1700,détruire,殺,verbs,2.74
1701,mâchoire,骨頭,nouns,2.31
1702,flexible,大,adjectives,0.2
1703,heureux,瘋狂,adjectives,1.15
1704,nouvelle,媒介,nouns,3.16
1705,microscope,生物學家,nouns,1.42
1706,avoine,田,nouns,1.36
1707,jauge,車,nouns,0.35
1708,arrêter,懷疑,verbs,0.98
1709,son,聲學,nouns,3.83
1710,plaider,請,verbs,0.38
1711,marine,島,nouns,0.65
1712,gagner,打敗,verbs,3.77
1713,lion,貓,nouns,2.27
1714,coeur,手術,nouns,1.27
1715,personne,動物,nouns,0.93
1716,mot,文學,nouns,2.42
1717,conversation,溝通,nouns,3.7
1718,mot-clé,句法,nouns,0.93
1719,contrarier,搞到氣餒,verbs,2.83
1720,illégal,不道德,adjectives,2.92
1721,opéra,電影,nouns,3.06
1722,papier,海報,nouns,2.92
1723,chaise,望遠鏡,nouns,0.24
1724,vulnérable,無助,adjectives,2.65
1725,guerrier,男人,nouns,1.65
1726,arrêter,禁止,verbs,2.57
1727,droit,學校,nouns,1.03
1728,style,時裝,nouns,3.75
1729,éroder,褪色,verbs,0.94
1730,sentir,溺愛,verbs,0.1
1731,fleur,灌木,nouns,2.31
1732,littérature,詞,nouns,2.42
1733,délicatement,目前,adverbs,0.33
1734,pistolet,軍士,nouns,0.83
1735,fier,堅強,adjectives,1.08
1736,canyon,山谷,nouns,4.28
1737,savoir,明白,verbs,3.61
1738,aéronautique,航空電子學,nouns,3.98
1739,pièce,床,nouns,0.73
1740,chalet,小木屋,nouns,3.29
1741,décider,得出結論,verbs,3.92
1742,boîte,帽子,nouns,0.65
1743,plante,農業,nouns,1.35
1744,accepter,同意,verbs,4.05
1745,parasite,農藥,nouns,1.42
1746,laisser,出現,verbs,0.15
1747,école,法律,nouns,1.03
1748,chambre à coucher,床,nouns,2.27
1749,accepter,推介,verbs,0.5
1750,prendre,擁有,verbs,2.81
1751,propre,一塵不染,adjectives,5.2
1752,sujet,故事,nouns,1.46
1753,légèrement,明亮地,adverbs,0.43
1754,compter,失敗,verbs,0.24
1755,sculpture,雕像,nouns,4.83
1756,pluie,暴風雪,nouns,2.73
1757,agrume,橙子,nouns,4.75
1758,incliner,偏見,verbs,3.18
1759,article,手稿,nouns,2.48
1760,bruine,雨,nouns,4.48
1761,xénophobie,種族主義,nouns,4.88
1762,emprunter,想要,verbs,0.59
1763,huile,貂,nouns,0.15
1764,vison,油,nouns,0.15
1765,pont,老鼠,nouns,0.1
1766,sénat,憲法,nouns,1.66
1767,paresseux,珍貴,adjectives,0.15
1768,poignée,蛋白質,nouns,0.15
1769,explorer,無視,verbs,0.3
1770,cours,並行性,nouns,0.65
1771,localement,緊密地,adverbs,0.15
1772,dur,狡猾,adjectives,0.35
1773,se disputer,說服,verbs,0.68
1774,cadre,打,nouns,0.24
1775,enthousiasmé,受驚,adjectives,0.92
1776,veste,衣服,nouns,3.66
1777,grossièrement,明顯地,adverbs,1.0
1778,rivière,大海,nouns,2.49
1779,neutre,冷靜,adjectives,1.27
1780,pacifiquement,混亂,adverbs,0.5
1781,tasse,罐子,nouns,2.49
1782,amorphe,無形,adjectives,3.29
1783,innovant,有創意,adjectives,5.07
1784,rejoindre,連接,verbs,1.36
1785,tremblement de terre,震,nouns,4.32
1786,pistolet,刀,nouns,2.4
1787,infirmier,科學家,nouns,0.74
1788,violent,柔軟,adjectives,0.65
1789,punir,教,verbs,0.57
1790,sagesse,智力,nouns,4.1
1791,précisément,準確地,adverbs,5.27
1792,incroyablement,緊緊地,adverbs,0.34
1793,faute,系統,nouns,0.24
1794,gorge,舌頭,nouns,1.7
1795,assister,援助,verbs,4.89
1796,rythme,算術,nouns,0.1
1797,voie-rapide,路,nouns,3.54
1798,modeste,純,adjectives,0.94
1799,sauver,毀滅,verbs,0.65
1800,chemise,開襟衫,nouns,2.96
1801,réprimander,需求,verbs,0.45
1802,heureusement,死氣沈沈的,adverbs,0.34
1803,grandement,認真地,adverbs,2.59
1804,apporter,攜帶,verbs,4.04
1805,représenter,假扮,verbs,0.24
1806,faire,戒除,verbs,0.74
1807,bague,訂婚,nouns,1.83
1808,poignet,手,nouns,3.38
1809,donner,偷,verbs,0.74
1810,laid,粗糙,adjectives,1.01
1811,philosophe,賽跑,nouns,0.24
1812,aigle,獵鷹,nouns,4.22
1813,magnitude,大小,nouns,3.77
1814,récemment,現實地,adverbs,0.47
1815,impuissant,脆弱,adjectives,2.65
1816,cône,杯子,nouns,0.34
1817,nouveau,新鮮,adjectives,3.32
1818,divertir,享受,verbs,1.04
1819,fille,小孩,nouns,2.83
1820,impliquer,包含,verbs,4.81
1821,fantastique,現實,nouns,1.31
1822,oiseau,火雞,nouns,2.89
1823,gagnant,冠軍,nouns,4.83
1824,vélo,睡房,nouns,0.05
1825,bouche,嘴唇,nouns,3.87
1826,satisfaire,同意,verbs,2.42
1827,douche,修道院,nouns,0.1
1828,remarquer,批評,verbs,2.51
1829,parapluie,品質,nouns,0.05
1830,voiture,四輪貨運馬車,nouns,4.64
1831,ordinaire,無知,adjectives,0.49
1832,victoire,凱旋,nouns,4.98
1833,parlement,國會,nouns,3.68
1834,gravité,流星,nouns,0.97
1835,rappeler,忘記,verbs,0.8
1836,théorème,理論,nouns,4.33
1837,adulte,監護人,nouns,2.81
1838,fleur,信念,nouns,0.0
1839,idiot,蠢,adjectives,5.63
1840,silencieusement,被動地,adverbs,1.32
1841,pur,謙虛,adjectives,0.94
1842,couler,漂移,verbs,1.92
1843,citron,茶,nouns,0.94
1844,congrès,議會,nouns,3.68
1845,cinéma,爆谷,nouns,1.22
1846,mythe,諷刺,nouns,1.27
1847,football,有趣,nouns,0.53
1848,cloche,塔,nouns,0.98
1849,informer,通知,verbs,5.48
1850,mer,海洋,nouns,5.17
1851,jamais,否定,adjectives,1.26
1852,rencontrer,聚集,verbs,0.96
1853,mât,旗,nouns,1.36
1854,ami,夥伴,nouns,4.93
1855,longévité,花朵,nouns,0.24
1856,pop-corn,電影,nouns,1.22
1857,groupe,耐力,nouns,0.1
1858,serviteur,奴隸,nouns,4.15
1859,porte,地板,nouns,0.53
1860,sortie,選舉權,nouns,0.34
1861,garder,保留,verbs,4.55
1862,pont,汽車,nouns,0.43
1863,élection,選擇,nouns,3.08
1864,offenser,侮辱,verbs,4.07
1865,détester,喜愛,verbs,0.89
1866,évêque,大主教,nouns,4.39
1867,taxi,巴士,nouns,2.83
1868,apprendre,評估,verbs,0.7
1869,récit,話題,nouns,1.46
1870,réchauffage,預熱,nouns,3.03
1871,violette,花朵,nouns,3.72
1872,mal,偉大,adjectives,0.34
1873,bois,原木,nouns,3.58
1874,enquêter,檢查,verbs,3.99
1875,faux,精確,adjectives,0.39
1876,mouton,羊肉,nouns,4.26
1877,grossièrement,可靠地,adverbs,0.68
1878,gant,球,nouns,0.79
1879,constitution,參議院,nouns,1.66
1880,bagage,環球航行,nouns,0.72
1881,calmement,安然,adverbs,3.93
1882,aller,允許,verbs,0.2
1883,prudemment,小心地,adverbs,4.02
1884,aviation,飛行,nouns,3.13
1885,attaque,傷害,verbs,2.75
1886,aller,開始,verbs,0.65
1887,voiture,軟管,nouns,0.19
1888,foie,器官,nouns,2.97
1889,satisfaire,娛樂,verbs,0.7
1890,neveu,阿姨,nouns,1.84
1891,envoyer,走,verbs,0.45
1892,chat,獅子,nouns,2.27
1893,coûteux,害羞,adjectives,0.1
1894,vol,航空,nouns,3.13
1895,muffin,香芹,nouns,0.34
1896,choix,監獄,nouns,0.15
1897,violent,被動,adjectives,0.39
1898,base-ball,兄弟會,nouns,0.34
1899,base,酸,nouns,1.97
1900,cardigan,衫,nouns,2.96
1901,saluer,演出,verbs,0.1
1902,liquide,錢,nouns,4.5
1903,indice,字,nouns,0.94
1904,parfois,每當,adverbs,0.47
1905,garder,失去,verbs,0.8
1906,hostilité,侵略,nouns,3.63
1907,voler,獲得,verbs,1.18
1908,statistique,網球,nouns,0.25
1909,arrêter,警告,verbs,0.79
1910,père,哥哥,nouns,2.02
1911,tombeur,傢伙,nouns,2.5
1912,avion,大薄片,nouns,0.41
1913,canne à sucre,聯合,nouns,0.3
1914,personnage,人,nouns,4.48
1915,s'entraîner,重複,verbs,3.66
1916,repas,晚飯,nouns,3.56
1917,irrégulièrement,平時,adverbs,0.88
1918,brillamment,輕輕地,adverbs,0.43
1919,prêtre,天神,nouns,1.37
1920,théorie,定理,nouns,4.33
1921,chaise,床,nouns,1.96
1922,semis,葉,nouns,1.25
1923,parent,大人,nouns,3.54
1924,société,企業,nouns,3.21
1925,apprendre,迷惑,verbs,0.5
1926,soi,自信,nouns,1.22
1927,chapitre,尾巴,nouns,0.04
1928,basilique,馬賽克,nouns,0.4
1929,artificiel,假,adjectives,3.98
1930,paisiblement,自豪地,adverbs,0.73
1931,solitaire,貧窮,adjectives,0.5
1932,soir,日落,nouns,3.93
1933,profession,學院,nouns,0.65
1934,paiement,費用,nouns,3.21
1935,garçon,米飯,nouns,0.1
1936,partir,分離,verbs,2.54
1937,avocat,律師,nouns,4.38
1938,cocktail,酒,nouns,3.85
1939,donation,給予,nouns,3.55
1940,sucre,蜜糖,nouns,2.63
1941,tâche,作業,nouns,2.68
1942,approximativement,容易地,adverbs,0.57
1943,chapelle,電纜,nouns,0.05
1944,livre,主題,nouns,0.88
1945,homme,兄弟會,nouns,1.9
1946,conduire,停,verbs,0.8
1947,cuisine,門,nouns,0.63
1948,déranger,加劇,verbs,0.2
1949,avocat,檢察官,nouns,3.37
1950,toujours,兩次,adverbs,0.89
1951,dîner,雞,nouns,0.98
1952,table,日落,nouns,0.0
1953,tuer,掐死,verbs,3.67
1954,doigt,手掌,nouns,1.88
1955,sale,狹窄,adjectives,0.1
1956,triste,搞笑,adjectives,0.65
1957,glace,雪,nouns,3.92
1958,jeune,開心,adjectives,0.39
1959,essayer,說服,verbs,0.55
1960,étain,鋁,nouns,2.44
1961,sournois,機靈,adjectives,2.27
1962,spectacle,數學家,nouns,0.15
1963,union,組合,nouns,3.83
1964,boîtier,電,nouns,0.65
1965,différemment,終末,adverbs,0.04
1966,libérer,按下,verbs,0.29
1967,nain,短小,adjectives,4.12
1968,sculpteur,大廈,nouns,0.3
1969,incroyable,脏,adjectives,0.35
1970,viande,牛扒,nouns,4.54
1971,personne,元,nouns,0.05
1972,président,市長,nouns,2.9
1973,savoir,給,verbs,0.34
1974,chambre à coucher,單車,nouns,0.05
1975,journal,資料,nouns,3.12
1976,gros,容易,adjectives,0.2
1977,convaincre,嘗試,verbs,0.55
1978,ballon,沖涼,nouns,0.1
1979,réussir,完成,verbs,4.64
1980,uniforme,未成形,adjectives,0.5
1981,avocat,銀行家,nouns,1.77
1982,tâche,女人,nouns,0.1
1983,miel,糖,nouns,2.63
1984,manette,雷達,nouns,0.19
1985,discussion,爭論,nouns,4.46
1986,payer,購買,verbs,3.78
1987,frapper,傷害,verbs,3.22
1988,perdre,保持,verbs,0.8
1989,fil,紗,nouns,3.11
1990,ciel,夢想,nouns,0.4
1991,apparent,明顯,adjectives,4.79
1992,lin,布,nouns,3.1
1993,viande,煙肉,nouns,2.97
1994,journal,沖涼,nouns,0.0
1995,débattre,不同,verbs,0.89
1996,haricot,煙肉,nouns,0.65
1997,pomme,飲食,nouns,0.88
1998,menace,危險,nouns,4.93
1999,feuille,平面,nouns,0.41
2000,au fond,充分,adverbs,1.06
2001,entrer,離開,verbs,0.24
2002,terminer,競爭,verbs,0.19
2003,compter sur,依賴,verbs,4.27
2004,femme,稻草,nouns,0.0
2005,estime,榮譽,nouns,3.36
2006,insecte,蜜蜂,nouns,3.53
2007,pouce,米,nouns,3.37
2008,aggraver,打稿,verbs,0.2
2009,pointeur,幻灯片,nouns,0.24
2010,sûrement,高高興興地,adverbs,1.42
2011,mère,朋友,nouns,1.03
2012,ignorant,頻繁,adjectives,0.49
2013,flûte,音樂,nouns,2.13
2014,père,男人,nouns,2.97
2015,infection,詞性變化,nouns,0.24
2016,argent,工資,nouns,4.21
2017,animal,人,nouns,0.93
2018,aider,保護,verbs,3.02
2019,large,新鮮,adjectives,0.1
2020,organiser,成為,verbs,0.24
2021,étrange,奇怪,adjectives,5.87
2022,programme,考試,nouns,1.45
2023,actrice,演員,nouns,4.17
2024,sous-vêtement,身體,nouns,1.21
2025,étroit,寬廣,adjectives,0.69
2026,analyser,評估,verbs,4.68
2027,gamin,女兒,nouns,2.0
2028,alimentation,程序,nouns,0.55
2029,larme,眼睛,nouns,1.22
2030,retenir,保持,verbs,4.55
2031,lit,傢俱,nouns,2.96
2032,canapé,椅子,nouns,3.29
2033,avec optimisme,可能,adverbs,0.63
2034,officiellement,重要的,adverbs,0.76
2035,fièrement,和平地,adverbs,0.73
2036,injustement,不合理,adverbs,3.63
2037,étranger,異族,nouns,3.88
2038,terminer,抓住,verbs,0.43
2039,homme,叔叔,nouns,2.44
2040,acide,鹼,nouns,1.97
2041,positivement,大概,adverbs,1.06
2042,livrer,攞,verbs,0.95
2043,wagon,馬車,nouns,4.64
2044,prévision,灰濛蒙,nouns,0.59
2045,polir,通知,verbs,0.1
2046,protéger,幫助,verbs,3.02
2047,choix,選舉,nouns,3.08
2048,essai,測試,nouns,5.08
2049,inutilisé,新,adjectives,4.47
2050,couloir,課堂,nouns,0.65
2051,chemin,隧道,nouns,1.46
2052,danger,威脅,nouns,4.93
2053,responsablement,獨立地,adverbs,1.33
2054,énerver,對抗,verbs,0.33
2055,télescope,頭腦風暴,nouns,0.1
2056,fille,女傭,nouns,0.72
2057,revêtement,自行車,nouns,0.24
2058,certain,肯定,adjectives,5.54
2059,rondin,木材,nouns,3.58
2060,se renseigner,需要,verbs,0.49
2061,anatomie,生物學,nouns,2.97
2062,prêter,給予,verbs,4.17
2063,réel,假,adjectives,0.98
2064,assister,拗撬,verbs,0.6
2065,sphère,球,nouns,3.36
2066,détruire,創建,verbs,0.8
2067,combinaison,結合,nouns,3.83
2068,dissoudre,熔化,verbs,5.05
2069,porter,帶來,verbs,4.04
2070,lèvre,嘴巴,nouns,3.87
2071,jamais,很少,adverbs,3.66
2072,drapeau,杆,nouns,1.36
2073,électricité,案件,nouns,0.65
2074,honnêtement,從未,adverbs,0.05
2075,étoile,明亮,nouns,1.92
2076,facile,大,adjectives,0.2
2077,chaotiquement,和平地,adverbs,0.5
2078,mûrement,正直地,adverbs,0.79
2079,rein,器官,nouns,3.83
2080,raisonnablement,可靠,adverbs,3.54
2081,unique,相反,adjectives,0.39
2082,pistolet,毛,nouns,0.1
2083,fraternité,男人,nouns,1.9
2084,adversaire,對手,nouns,5.53
2085,ennuyé,平淡,adjectives,2.11
2086,subtilement,大聲地,adverbs,0.7
2087,faire,建造,verbs,3.69
2088,dépenser,保存,verbs,0.25
2089,confiance,態度,nouns,1.56
2090,papier peint,背景,nouns,2.79
2091,fraise,櫻桃,nouns,2.77
2092,prendre,收到,verbs,3.13
2093,conversion,高度,nouns,0.24
2094,expliquer,證明,verbs,3.7
2095,honteux,幸運,adjectives,0.45
2096,musée,薄荷,nouns,0.04
2097,aptitude,力量,nouns,3.29
2098,rythme,韻律,nouns,5.4
2099,nuage,霧氣,nouns,3.27
2100,lit,睡房,nouns,2.27
2101,sale,淫賤,adjectives,0.43
2102,découvrir,認識到,verbs,3.13
2103,histoire,書,nouns,3.0
2104,coton,冷衫,nouns,1.18
2105,gagnant,目標,nouns,0.83
2106,os,顎,nouns,2.31
2107,fier,膽大,adjectives,2.08
2108,protestant,基督教,nouns,4.03
2109,voiture,單車,nouns,1.88
2110,inhabituel,罕見,adjectives,4.46
2111,médecin,醫生,nouns,5.4
2112,nerveux,害怕,adjectives,2.35
2113,vitesse,郵件,nouns,0.0
2114,écouter,聽見,verbs,4.35
2115,vallée,凹地,nouns,1.92
2116,parapluie,暖爐,nouns,0.29
2117,différer,同意,verbs,0.74
2118,sournois,奇怪,adjectives,1.31
2119,femme,毛,nouns,0.25
2120,économie,生態系統,nouns,0.89
2121,anthropologie,考古學,nouns,2.58
2122,plage,海,nouns,2.98
2123,devenir,出現,verbs,0.83
2124,houille,煤,nouns,3.98
2125,protéine,柄,nouns,0.15
2126,trouver,逃逸,verbs,0.3
2127,basket,棒球,nouns,2.42
2128,vache,山羊,nouns,2.44
2129,remplacement,交換,nouns,4.75
2130,univers,天空,nouns,2.59
2131,casser,捏碎,verbs,3.4
2132,pistolet,大炮,nouns,2.59
2133,donner,知道,verbs,0.34
2134,appareil photo,總統,nouns,0.05
2135,critique,無禮貌,adjectives,0.67
2136,chiffon,衣服,nouns,2.33
2137,argent,現金,nouns,4.5
2138,aller,發送,verbs,0.45
2139,désordonné,核突,adjectives,0.61
2140,généralement,不定期地,adverbs,0.88
2141,politicien,總統,nouns,3.44
2142,étrangement,異常,adverbs,2.79
2143,flexible,容易,adjectives,1.99
2144,légal,安全,adjectives,1.46
2145,vieux,新鮮,adjectives,0.15
2146,enterrer,冚住,verbs,2.88
2147,île,任務,nouns,0.05
2148,attitude,自信,nouns,1.56
2149,stratège,陰謀家,nouns,3.06
2150,voiture,廠,nouns,0.55
2151,soldat,男孩,nouns,1.45
2152,cognac,酒,nouns,3.62
2153,réussir,贏,verbs,4.39
2154,simulation,機器人技術,nouns,0.97
2155,jet,飛機,nouns,3.83
2156,acteur,歌手,nouns,2.49
2157,stressé,輕鬆,adjectives,1.08
2158,vérifier,說,verbs,0.5
2159,parier,打賭,verbs,4.75
2160,blesser,攻擊,verbs,2.75
2161,heureux,年輕,adjectives,0.39
2162,rappeler,告訴,verbs,2.88
2163,syllabe,詞元,nouns,1.56
2164,plonger,創建,verbs,0.15
2165,comprendre,知道,verbs,3.61
2166,brandy,紅酒,nouns,3.44
2167,puissant,強大,adjectives,5.48
2168,fureur,生氣,nouns,4.79
2169,mensuel,每週,adjectives,2.13
2170,collant,濕,adjectives,1.73
2171,perdre,煮,verbs,0.1
2172,apparemment,簡直,adverbs,1.17
2173,tissu,衣服,nouns,2.69
2174,poli,合乎體統,adjectives,2.79
2175,porte,兄弟會,nouns,0.0
2176,livrer,接受,verbs,0.55
2177,sournois,堅固,adjectives,0.35
2178,viande,牛肉,nouns,3.44
2179,phonologie,屏幕,nouns,0.05
2180,roi,統治者,nouns,4.63
2181,craquer,折斷,verbs,3.4
2182,nécessiteux,無助,adjectives,1.55
2183,essuyer,惡化,verbs,0.29
2184,soir,黃昏,nouns,4.71
2185,cigarette,煙草,nouns,4.07
2186,date,日曆,nouns,3.46
2187,atmosphère,臭氧,nouns,3.73
2188,obéir,懲罰,verbs,0.94
2189,ouverture,門,nouns,3.46
2190,évidemment,本地,adverbs,0.24
2191,gagnant,存在,nouns,0.29
2192,arrêter,駕駛,verbs,0.8
2193,inclure,包括,verbs,4.81
2194,bouteille,廣口瓶,nouns,3.28
2195,carte,橋,nouns,0.25
2196,épicé,弱,adjectives,0.15
2197,en phase terminale,不同,adverbs,0.04
2198,extraconjugal,不宜說出口的,adjectives,1.13
2199,courbe,角度,nouns,2.25
2200,gros,寬廣,adjectives,3.25
2201,main,拇指,nouns,2.37
2202,taxi,車,nouns,4.09
2203,crayon,故事,nouns,0.2
2204,capturer,模仿,verbs,0.25
2205,longévité,樂隊,nouns,0.1
2206,altérer,更改,verbs,4.84
2207,oublier,無視,verbs,3.08
2208,scénariste,電視,nouns,1.26
2209,fraternité,棒球,nouns,0.34
2210,dune,沙漠,nouns,2.83
2211,obéir,聽,verbs,3.96
2212,menthe,口香糖,nouns,0.68
2213,miser,賭,verbs,4.75
2214,atteindre,收到,verbs,0.29
2215,sergent,槍,nouns,0.83
2216,stupide,巨大,adjectives,0.74
2217,racisme,排外主義,nouns,4.88
2218,surprendre,慶祝,verbs,0.55
2219,cancer,疾病,nouns,3.92
2220,présence,門,nouns,0.15
2221,taureau,小牛,nouns,3.23
2222,punir,服從,verbs,0.94
2223,accomplir,贏得,verbs,1.35
2224,récemment,目前,adverbs,3.72
2225,danse,裙,nouns,0.45
2226,apprendre,忘記,verbs,0.8
2227,scientifique,護士,nouns,0.74
2228,timide,害怕,adjectives,2.33
2229,laid,亂,adjectives,0.61
2230,marcher,跛行,verbs,2.97
2231,corps,胸部,nouns,2.12
2232,éduquer,學習,verbs,3.55
2233,crochet,制服,nouns,0.05
2234,offre,貢獻,nouns,3.55
2235,se dissiper,消逝,verbs,5.07
2236,intelligent,聰明,adjectives,4.54
2237,permettre,給,verbs,2.02
2238,diviser,分離,verbs,2.17
2239,boucle,帶,nouns,2.44
2240,article,雜誌,nouns,3.08
2241,prépuce,割禮,nouns,1.97
2242,pollution,總統,nouns,0.25
2243,avion,直升機,nouns,2.79
2244,perspicacité,事實,nouns,0.82
2245,passivement,可靠地,adverbs,0.35
2246,doux,尖,adjectives,0.7
