ID,HEB,RUS,PoS,score
1415,תולעת,вредоносные программы,nouns,1.35
1416,מטרייה,нагреватель,nouns,0.55
1417,חליל,музыка,nouns,1.15
1418,להשיג,приобретать,verbs,2.55
1419,חקר דגלים,флаг,nouns,1.35
1420,לא אמין,коварный,adjectives,2.1
1421,לעזוב,встретить,verbs,0.35
1422,למצוא,убегать,verbs,0.4
1423,להסתכל,искать,verbs,1.5
1424,חיבור,книга,nouns,1.7
1425,לדרוש,выговаривать,verbs,1.25
1426,לגחך,смеяться,verbs,4.35
1427,להשתתף,высказываться,verbs,0.6
1428,לשמור,отстаивать,verbs,4.15
1429,סגנון,мода,nouns,3.25
1430,להכות,привлекать,verbs,0.45
1431,סירה,якорь,nouns,1.15
1432,להעניש,подчиниться,verbs,0.5
1433,סוס,бык,nouns,1.2
1434,מילון,толкование,nouns,2.0
1435,חזק,слабый,adjectives,0.55
1436,חתן,невеста,nouns,1.35
1437,מרפק,лодыжка,nouns,1.25
1438,להביא,нести,verbs,2.1
1439,לחבק,выжимать,verbs,0.5
1440,מעונן,прогноз,nouns,1.25
1441,ניקוד,уровень,nouns,0.45
1442,לעזור,защищать,verbs,2.05
1443,הערה,задание,nouns,0.7
1444,סיפון,пол,nouns,1.75
1445,עריסה,колыбель,nouns,4.2
1446,זמר,актер,nouns,1.4
1447,יארד,дюйм,nouns,1.75
1448,דיאטה,яблоко,nouns,0.8
1449,ערמומי,умный,adjectives,2.15
1450,לדכא,огорчать,verbs,0.45
1451,אלים,мягкий,adjectives,0.35
1452,חוזה,условие,nouns,1.7
1453,חזק,могущественный,adjectives,4.55
1454,מלך,непотизм,nouns,0.75
1455,להיעלם,исчезать,verbs,4.95
1456,שיר,ритм,nouns,1.75
1457,להתייפח,плакать,verbs,4.6
1458,מעלית,автомобиль,nouns,0.8
1459,ספה,бейсбол,nouns,0.1
1460,ללמוד,забывать,verbs,0.55
1461,בענווה,гордо,adverbs,0.6
1462,רע,потрясающий,adjectives,0.45
1463,פרקליט,банкир,nouns,1.0
1464,סופית,иначе,adverbs,0.15
1465,משימה,остров,nouns,0.0
1466,פרספקטיבה,расстояние,nouns,1.3
1467,מחנה,домик,nouns,1.25
1468,לפזר,мазать,verbs,2.8
1469,להציל,защищать,verbs,1.8
1470,פעמון,башня,nouns,0.9
1471,טניס,статистика,nouns,0.1
1472,מספר,цифра,nouns,4.9
1473,טוב,известный,adjectives,0.5
1474,בוודאי,очевидно,adverbs,3.05
1475,לקבל,соглашаться,verbs,2.55
1476,תנועה,действие,nouns,2.55
1477,לקבל,ловить,verbs,0.75
1478,משוגע,несчастный,adjectives,0.7
1479,כביש,шоссе,nouns,4.4
1480,חודש,август,nouns,2.5
1481,לשמור,оставаться,verbs,0.95
1482,לאחרונה,реалистично,adverbs,0.1
1483,בלון,ванна,nouns,0.05
1484,עמוד,слово,nouns,1.0
1485,לשמור,занимать,verbs,0.65
1486,הצלחה,победа,nouns,4.15
1487,מטומטם,сообразительный,adjectives,0.65
1488,להטריד,обижать,verbs,1.15
1489,מבצע,песня,nouns,0.95
1490,מדריך,учитель,nouns,4.6
1491,מיומנות,ум,nouns,1.0
1492,כבד,большой,adjectives,1.6
1493,קערה,дорожка,nouns,0.0
1494,מפוחד,нервный,adjectives,1.25
1495,להתקדם,продвигать,verbs,1.7
1496,עצם,локоть,nouns,1.4
1497,קופסה,источник,nouns,0.0
1498,ענן,озеро,nouns,0.55
1499,לצעוד,стоять,verbs,0.75
1500,אבא,сын,nouns,1.45
1501,דירה,гостиница,nouns,1.2
1502,ספר,статья,nouns,1.5
1503,שוטר,шериф,nouns,4.4
1504,טרף,бог,nouns,0.2
1505,הופעה,камея,nouns,0.05
1506,כרגע,на днях,adverbs,0.7
1507,תמוה,ненормальный,adjectives,3.75
1508,מכונית,судно,nouns,1.1
1509,לנדוד,бродить,verbs,4.35
1510,בקר,мясо,nouns,2.55
1511,תחביר,заглавное слово,nouns,0.6
1512,זנב,миска,nouns,0.0
1513,עץ,одеяло,nouns,0.15
1514,חלק,аэропорт,nouns,0.1
1515,מטוס,джет,nouns,1.45
1516,כוס,ложка,nouns,1.15
1517,מועדון,марка,nouns,0.0
1518,בשקט,пассивно,adverbs,1.4
1519,ספר,текст,nouns,2.3
1520,בעדינות,любезно,adverbs,0.45
1521,מסך,фонология,nouns,0.15
1522,עץ,лист,nouns,1.3
1523,ארוך,короткий,adjectives,0.55
1524,לחפש,смотреть,verbs,1.5
1525,לדמיין,притворяться,verbs,1.55
1526,להכחיש,избежать,verbs,0.7
1527,לעזוב,странствовать,verbs,0.9
1528,ספרות,книга,nouns,2.1
1529,חשמלי,механический,adjectives,0.8
1530,חיסכון,бережливый человек,nouns,1.0
1531,חדר שינה,велосипед,nouns,0.15
1532,לסמן,оценивать,verbs,2.0
1533,ניטרלי,нерешительный,adjectives,1.0
1534,מלכה,пчела,nouns,1.3
1535,פרטי,личный,adjectives,4.6
1536,פה,нос,nouns,1.0
1537,מנהרה,дорожка,nouns,1.2
1538,רעיה,дыра,nouns,0.0
1539,כיסא,диван,nouns,1.65
1540,תקשורת,телевидение,nouns,2.05
1541,תקרה,собор,nouns,0.55
1542,דלת,пол,nouns,0.8
1543,מגמה,вулкан,nouns,1.65
1544,רופא,ортодонт,nouns,2.3
1545,להגן,защищать,verbs,4.15
1546,כדור,костюм,nouns,0.7
1547,בזהירות,опасно,adverbs,0.55
1548,באופן אמין,грубо,adverbs,0.25
1549,לקלוט,понять,verbs,3.2
1550,תסריטאי,телевидение,nouns,1.15
1551,דיאטה,салат,nouns,1.05
1552,מיטה,кроватка,nouns,4.15
1553,פחית,бутылка,nouns,1.45
1554,גאווה,радость,nouns,1.75
1555,נוחות,безопасность,nouns,0.75
1556,תפוח,сладость,nouns,1.0
1557,לגדול,расширяться,verbs,3.7
1558,פשתן,ткань,nouns,2.25
1559,צמיחה,удобрение,nouns,0.75
1560,לצוד,искать,verbs,1.75
1561,יציאה,проход,nouns,2.15
1562,נסיבות,ситуация,nouns,4.15
1563,עורלה,обрезание,nouns,2.25
1564,נמרצות,точно,adverbs,0.65
1565,להתרכבל,обнимать,verbs,3.15
1566,להתרחב,расти,verbs,3.7
1567,סרט,нигилизм,nouns,0.15
1568,להצטרף,жениться,verbs,0.55
1569,סמל,код,nouns,1.75
1570,להרהר,думать,verbs,4.85
1571,רב,наставник,nouns,1.7
1572,ספינת תותחים,берег,nouns,0.7
1573,מוטל,гостиница,nouns,4.3
1574,שחר,ружье,nouns,0.0
1575,קסדה,оружие,nouns,1.3
1576,קוף,кампания,nouns,0.0
1577,מפעל,автомобиль,nouns,0.65
1578,מלך,принц,nouns,1.8
1579,להתעורר,храпеть,verbs,0.6
1580,להשיג,получать,verbs,1.55
1581,כובע,пальто,nouns,0.9
1582,סמטה,шар,nouns,0.0
1583,להמיס,растворяться,verbs,1.85
1584,כדור,перчатка,nouns,0.55
1585,ליצור,разрушать,verbs,0.55
1586,לשלב,бить,verbs,0.1
1587,זרוע,мускул,nouns,1.25
1588,ליצור,нырять,verbs,0.1
1589,מנצח,присутствие,nouns,0.05
1590,עבריין,преступник,nouns,5.2
1591,לחלוטין,в принципе,adverbs,0.85
1592,פילוסוף,разгон,nouns,0.0
1593,כישלון,банкротство,nouns,2.15
1594,בנייה,разрушение,nouns,0.65
1595,הערה,оплата,nouns,0.0
1596,דרך,манера,nouns,4.15
1597,סביבה,меч,nouns,0.2
1598,חשמל,ящик,nouns,0.5
1599,להפוך,казаться,verbs,0.53
1600,להציל,выручать,verbs,5.0
1601,נדיב,приятный,adjectives,1.6
1602,טקס,праздник,nouns,3.5
1603,גלקסיה,астроном,nouns,1.5
1604,רגיל,холодный,adjectives,0.2
1605,לדעת,забывать,verbs,0.55
1606,נחש,ящерица,nouns,1.45
1607,שוטר,штурман,nouns,0.6
1608,איחוד,сумма,nouns,2.45
1609,נהר,поток,nouns,1.8
1610,אורח חיים,цивилизация,nouns,0.85
1611,אכסניה,мотель,nouns,4.3
1612,לצחוק,хихикать,verbs,4.35
1613,אישה,муж,nouns,1.2
1614,פרי הדר,апельсин,nouns,3.55
1615,כביש מהיר,дорога,nouns,4.4
1616,לעמוד,ходить,verbs,0.75
1617,להחזיר,заменять,verbs,2.0
1618,אינץ',метр,nouns,1.6
1619,אבק,метла,nouns,1.3
1620,להגן,сохранять,verbs,1.8
1621,מעולה,прекрасный,adjectives,4.75
1622,אקדח,народ,nouns,0.35
1623,מנהל,босс,nouns,5.05
1624,לקבוע,эвакуировать,verbs,0.2
1625,לחשוב,спрашивать,verbs,0.95
1626,עץ,бревно,nouns,2.5
1627,בזוי,презрительный,adjectives,3.8
1628,שמפניה,пиво,nouns,1.65
1629,גבר,дядя,nouns,1.8
1630,בלתי אפשרי,возможный,adjectives,0.65
1631,לנשל,отрекаться,verbs,2.7
1632,לשחרר,ловить,verbs,0.55
1633,באופן שגרתי,обычно,adverbs,4.35
1634,אגורה,сделка,nouns,0.35
1635,קליבר,зонтик,nouns,0.3
1636,בבגרות,праведно,adverbs,0.55
1637,אנטומיה,биология,nouns,2.25
1638,אור,яблоко,nouns,0.0
1639,אננס,смартфон,nouns,0.0
1640,ירח,планета,nouns,2.25
1641,חשוב,действительно,adverbs,0.5
1642,אב,бог,nouns,0.85
1643,טלפון סללורי,ананас,nouns,0.0
1644,לגלם,имитировать,verbs,4.4
1645,תיאוריה,химия,nouns,0.65
1646,עץ,ванна,nouns,0.1
1647,לקנות,воровать,verbs,0.35
1648,זעיר,огромный,adjectives,0.5
1649,עושר,слава,nouns,1.35
1650,בקר,корова,nouns,3.2
1651,באולינג,игрок в боулинг,nouns,2.45
1652,מקהלה,певец,nouns,1.6
1653,חדשות,сплетня,nouns,2.3
1654,מינט,музей,nouns,0.2
1655,גרון,нос,nouns,1.05
1656,לאחד,делить,verbs,0.55
1657,מנגינה,музыка,nouns,3.85
1658,ערפל,облако,nouns,1.98
1659,חופש,оазис,nouns,0.35
1660,תוקפני,изогнутый,adjectives,0.05
1661,בן,отец,nouns,1.3
1662,עובד,механик,nouns,1.85
1663,גבה,глаз,nouns,1.0
1664,עבודה,инструмент,nouns,0.8
1665,זריז,быстрый,adjectives,4.6
1666,תרשים,график,nouns,4.15
1667,חברה,культура,nouns,1.2
1668,נורמלי,необычный,adjectives,0.5
1669,לדעת,верить,verbs,0.7
1670,אכזרי,жесткий,adjectives,1.85
1671,לחלוק,соглашаться,verbs,0.55
1672,מלך,принцесса,nouns,1.45
1673,אטמוספירה,загрязнение,nouns,0.7
1674,גישה,уверенность,nouns,1.15
1675,תאונה,бедствие,nouns,3.95
1676,דם,вена,nouns,2.5
1677,מטריצה,молекула,nouns,0.6
1678,אסטרואיד,звезда,nouns,1.95
1679,צנוע,чистый,adjectives,0.8
1680,מסיבה,электорат,nouns,1.45
1681,לשנוא,наслаждаться,verbs,0.2
1682,מצפן,слон,nouns,0.0
1683,משרד,работник,nouns,1.05
1684,מוכר,популярный,adjectives,4.35
1685,לפתור,заканчивать,verbs,1.75
1686,פסיקה,разбирательство,nouns,1.8
1687,גף,нога,nouns,2.95
1688,מטבע,оплата,nouns,1.5
1689,הרבה,дважды,adverbs,0.75
1690,יען,плодовый сад,nouns,0.1
1691,כתף,голова,nouns,1.0
1692,פתיל,пряжа,nouns,4.0
1693,דשן,развитие,nouns,0.75
1694,נינוח,напряжённый,adjectives,0.55
1695,ארוך,узкий,adjectives,1.05
1696,ילדותי,безрассудный,adjectives,1.85
1697,מלאכותי,фальшивый,adjectives,3.75
1698,תפוז,цитрус,nouns,3.55
1699,שער,дверь,nouns,3.95
1700,גיבורה,герой,nouns,3.1
1701,באופן מסוכן,внимательно,adverbs,0.55
1702,לאפשר,разрешать,verbs,4.95
1703,מוח,нерв,nouns,0.85
1704,עכבר,палуба,nouns,0.45
1705,כבוד,почтение,nouns,4.2
1706,לחנוק,сокрушать,verbs,0.6
1707,נחמד,дружелюбный,adjectives,3.5
1708,לספק,понимать,verbs,0.35
1709,חודשי,еженедельный,adjectives,0.9
1710,להתכווץ,исчезать,verbs,1.35
1711,לתשאל,искать,verbs,1.35
1712,להתעלם,обращаться,verbs,0.35
1713,מפורסם,известный,adjectives,4.35
1714,סולטן,министерство,nouns,0.55
1715,מסודר,чистый,adjectives,3.4
1716,חוקי,нелегальный,adjectives,0.6
1717,ענן,буря,nouns,1.7
1718,חד,гладкий,adjectives,0.5
1719,דירה,дом,nouns,4.3
1720,להסכים,противоречить,verbs,0.55
1721,בנדיבות,любезно,adverbs,2.35
1722,השתקפות,образ,nouns,1.85
1723,לסיים לימודים,заканчивать,verbs,1.95
1724,אנשים,цент,nouns,0.65
1725,להתחנן,просить,verbs,4.25
1726,צריף,домик,nouns,3.5
1727,גמיש,свободный,adjectives,1.25
1728,שיר,исполнитель,nouns,0.95
1729,להלוות,задолжать,verbs,1.5
1730,מבצר,стена,nouns,1.0
1731,חיטה,злак,nouns,3.0
1732,יקר ערך,ленивый,adjectives,0.0
1733,איחוד,комбинация,nouns,2.75
1734,לגמרי,чисто,adverbs,1.5
1735,אלים,радикальный,adjectives,1.2
1736,נייד,гибкий,adjectives,1.05
1737,לחבוט,ущипнуть,verbs,0.6
1738,נייר,плакат,nouns,2.2
1739,טיפשי,ребячливый,adjectives,1.85
1740,אי,принцесса,nouns,0.3
1741,בישוף,мусульман,nouns,0.8
1742,יצירתי,инновационный,adjectives,3.3
1743,נוצרי,протестант,nouns,2.15
1744,זכוכית,значок,nouns,0.2
1745,קרב,воинственность,nouns,2.55
1746,שסתום,мотор,nouns,1.75
1747,לנסות,преуспевать,verbs,1.0
1748,פרפר,роза,nouns,0.55
1749,לשכוח,помнить,verbs,0.5
1750,ספרות,слово,nouns,1.3
1751,סימולציה,робототехника,nouns,1.05
1752,תיבה,лифт,nouns,0.65
1753,מיתוס,сатира,nouns,0.9
1754,לצייר,создавать,verbs,1.5
1755,חיה,человек,nouns,1.1
1756,להתחלף,изменять,verbs,2.3
1757,חלום,небо,nouns,0.6
1758,סמל,криптограмма,nouns,1.65
1759,להחליט,думать,verbs,1.35
1760,דינוזאור,слон,nouns,0.8
1761,להשוות,анализировать,verbs,2.6
1762,כועס,счастливый,adjectives,0.5
1763,לדעת,давать,verbs,0.2
1764,בגדים,пиджак,nouns,1.65
1765,בחור,друг,nouns,1.7
1766,תגמול,оплата,nouns,4.25
1767,נוירוזה,разум,nouns,0.7
1768,מכללה,профессия,nouns,0.95
1769,אח,сестра,nouns,2.15
1770,כבש,скот,nouns,2.9
1771,רעיה,солома,nouns,0.1
1772,נוזל,сопло,nouns,0.45
1773,רגיל,потрясающий,adjectives,0.5
1774,לווה,кредит,nouns,1.7
1775,נוקשה,ранимый,adjectives,0.3
1776,מצב,обстоятельство,nouns,4.15
1777,חורף,лето,nouns,0.95
1778,למסור,брать,verbs,0.7
1779,אחו,пастбище,nouns,2.15
1780,מכונית,такси,nouns,2.75
1781,מודרני,старинный,adjectives,0.55
1782,בהרס,мирно,adverbs,0.3
1783,שלג,погода,nouns,1.05
1784,פיקח,хитрый,adjectives,2.15
1785,כלי,работа,nouns,0.8
1786,לרדוף,убеждать,verbs,0.8
1787,התזה,вязкость,nouns,0.45
1788,לקשור,объединять,verbs,3.15
1789,להתפורר,умереть,verbs,0.65
1790,לנשום,задыхаться,verbs,0.75
1791,ייתכן,наверное,adverbs,4.0
1792,לצחוק,плакать,verbs,0.45
1793,קולונל,дантист,nouns,0.3
1794,אחר,противолежащий,adjectives,0.9
1795,חתול,кролик,nouns,0.8
1796,מכונית,гудок,nouns,1.1
1797,להבין,прощать,verbs,1.6
1798,מטוס,вертолет,nouns,2.15
1799,גאה,высокомерный,adjectives,3.2
1800,לתקשר,молиться,verbs,0.8
1801,ביצה,озеро,nouns,0.95
1802,תאגיד,предприятие,nouns,3.35
1803,מטומטם,интеллектуальный,adjectives,0.5
1804,לסדר,собирать,verbs,2.15
1805,שחר,день,nouns,1.55
1806,מתון,средний,adjectives,1.85
1807,בשמחה,безопасно,adverbs,0.35
1808,לערב,включают,verbs,2.8
1809,לברך,встречать,verbs,1.4
1810,יום,утро,nouns,1.65
1811,לקצור,получать,verbs,2.35
1812,שומרת,мать,nouns,0.8
1813,מאמנים,медаль,nouns,0.65
1814,עסק,промышленность,nouns,1.8
1815,לתת,отрекаться,verbs,0.45
1816,סמטה,улица,nouns,3.15
1817,ליקר,группа,nouns,0.15
1818,זעם,злость,nouns,4.7
1819,צפון,юг,nouns,0.95
1820,לפגוע,упускать,verbs,0.5
1821,אשמה,система,nouns,0.25
1822,דוד,кузен,nouns,2.25
1823,תינוק,взрослый,nouns,1.1
1824,חיל הים,остров,nouns,0.55
1825,בוודאי,явно,adverbs,3.2
1826,גבר,женщина,nouns,1.0
1827,לקבל,верить,verbs,1.15
1828,עט,алфавит,nouns,0.65
1829,כבל,часовня,nouns,0.0
1830,תרנגולת,ужин,nouns,0.7
1831,קוסם,кабель,nouns,0.15
1832,לשחוק,носить,verbs,0.25
1833,לבנות,разрушать,verbs,0.5
1834,היסטוריון,историограф,nouns,3.0
1835,ישר,нечестный,adjectives,0.5
1836,לרצות,занимать,verbs,0.1
1837,להונות,мошенничать,verbs,4.9
1838,לבלבל,учить,verbs,0.3
1839,מטומטם,дурацкий,adjectives,4.0
1840,בייסבול,братство,nouns,0.55
1841,אריה,кот,nouns,1.35
1842,וריד,сосуд,nouns,2.5
1843,בפתיחות,массивно,adverbs,0.45
1844,זריז,скоростной,adjectives,5.05
1845,בחור,бабник,nouns,1.25
1846,לשמור,коллекционировать,verbs,2.1
1847,להקשיב,понимать,verbs,1.2
1848,חדר שינה,ванная,nouns,0.9
1849,ברצינות,искренне,adverbs,0.75
1850,כדור,волейбол,nouns,1.65
1851,לבלוע,пить,verbs,1.7
1852,קוד,символ,nouns,1.75
1853,עתיק,современный,adjectives,0.55
1854,רחב,большой,adjectives,1.8
1855,לחקות,изображать,verbs,4.4
1856,לבשל,микшировать,verbs,0.85
1857,כביש,автомобиль,nouns,1.25
1858,אוויר,молекула,nouns,1.25
1859,להעניש,учить,verbs,0.5
1860,באופן אמין,пассивно,adverbs,0.5
1861,תחליף,обмен,nouns,4.25
1862,לבקש,молиться,verbs,2.2
1863,חדר,ванна,nouns,1.4
1864,תחבולן,стратег,nouns,2.65
1865,ענן,дымка,nouns,2.1
1866,מוח,разум,nouns,2.1
1867,בורות,ум,nouns,0.7
1868,פרווה,женщина,nouns,0.4
1869,עץ,лодка,nouns,0.85
1870,גשר,автомобиль,nouns,0.6
1871,לתקן,восстановить,verbs,3.85
1872,להיפגש,приветствовать,verbs,1.4
1873,גמיש,эластичный,adjectives,4.9
1874,להסכים,угождать,verbs,1.15
1875,לשיר,смеяться,verbs,0.45
1876,צריח,часовня,nouns,1.65
1877,בקבוק,контейнер,nouns,0.5
1878,שקופית,указатель,nouns,0.2
1879,גב,шея,nouns,1.5
1880,אופניים,кожа,nouns,0.1
1881,מעורבב,комбинированный,adjectives,3.65
1882,צר,тонкий,adjectives,2.85
1883,זנב,глава,nouns,0.3
1884,נקי,беспорядочный,adjectives,0.45
1885,ישן,смешанный,adjectives,0.0
1886,אסון,смерть,nouns,1.75
1887,שיפוע,сиденье,nouns,0.05
1888,ילד,брат,nouns,1.9
1889,חבר,друг,nouns,4.2
1890,לטייל,ходить,verbs,2.15
1891,הסכם,пакт,nouns,4.85
1892,מים,засуха,nouns,0.6
1893,יהלום,деньги,nouns,0.95
1894,טלפון,потерпевший,nouns,0.15
1895,להקטין,ограничивать,verbs,2.1
1896,להרוס,строить,verbs,0.5
1897,להרוג,защищать,verbs,0.4
1898,בערך,нетерпеливо,adverbs,0.55
1899,אסטרטג,комбинатор,nouns,2.65
1900,מצעד,оркестр,nouns,1.45
1901,דק,узкий,adjectives,2.85
1902,איריס,ацетилхолин,nouns,0.3
1903,רדאר,джойстик,nouns,0.35
1904,קשת,следопыт,nouns,0.4
1905,עין,бровь,nouns,1.0
1906,שקרן,правдивый,adjectives,0.5
1907,עושר,бедность,nouns,0.6
1908,קומביין,сахарный тростник,nouns,0.35
1909,כיסא,скамейка,nouns,2.15
1910,אמבטיה,кухня,nouns,1.1
1911,פרק,конец,nouns,0.3
1912,מולקולה,матрица,nouns,0.6
1913,רעיה,ванна,nouns,0.05
1914,אבא,родитель,nouns,3.6
1915,להקשיב,узнавать,verbs,1.15
1916,תוכנית,питание,nouns,0.5
1917,מוות,бедствие,nouns,1.75
1918,שמש,луч,nouns,1.5
1919,לצרוח,орать,verbs,4.8
1920,להקיא,закрыть,verbs,0.05
1921,פרוטסטנט,кристиан,nouns,2.15
1922,קוקטייל,алкоголь,nouns,2.1
1923,חולה,сумасшедший,adjectives,1.35
1924,לעולם לא,потом,adverbs,0.35
1925,לסלוח,принимать,verbs,1.4
1926,ליצור,строить,verbs,3.7
1927,מאה,спиртное,nouns,0.0
1928,פעמיים,всегда,adverbs,0.5
1929,להכות,наказать,verbs,1.4
1930,מועדון,общество,nouns,1.95
1931,להשיג,побеждать,verbs,1.1
1932,עומק,величина,nouns,1.55
1933,לשרוד,жить,verbs,2.25
1934,ויטמין,железо,nouns,1.25
1935,ברית מילה,крайняя плоть,nouns,2.25
1936,חד,тупой,adjectives,0.85
1937,גבר,муж,nouns,2.8
1938,רע,великолепный,adjectives,0.45
1939,נוירופסיכולוגיה,парапсихология,nouns,1.4
1940,ערך,темп,nouns,0.7
1941,שחקן,многогранник,nouns,0.6
1942,לשאת,приносить,verbs,2.1
1943,מטריצה,вектор,nouns,2.05
1944,לא סביר,дружелюбно,adverbs,0.0
1945,דשא,корень,nouns,1.0
1946,אף,голова,nouns,1.1
1947,ברזל,витамин,nouns,1.25
1948,לשמוע,слушать,verbs,3.35
1949,כתב יד,книга,nouns,1.55
1950,להכחיש,признавать,verbs,0.55
1951,טריק,игра,nouns,1.2
1952,רפוי,гибкий,adjectives,1.25
1953,מעיק,безопасный,adjectives,0.1
1954,קישוט,стена,nouns,0.9
1955,בנימוס,благоразумно,adverbs,0.5
1956,ערפל,дождь,nouns,2.0
1957,להודיע,изображать,verbs,0.45
1958,חייזר,чужеземец,nouns,2.7
1959,לחקור,обнаруживать,verbs,2.5
1960,נשיא,фотоаппарат,nouns,0.15
1961,מוח,кровь,nouns,1.0
1962,סנוברד,лыжи,nouns,2.45
1963,להריח,портить,verbs,0.05
1964,תלותי,неуверенный,adjectives,0.65
1965,בחשאיות,уверенно,adverbs,0.45
1966,יפה,элегантно,adverbs,2.8
1967,רכילות,новость,nouns,2.3
1968,רע,виноватый,adjectives,0.65
1969,גבר,победитель,nouns,0.85
1970,מתקפה,блицкриг,nouns,3.3
1971,פיכח,пьяный,adjectives,0.55
1972,נטייה,мнение,nouns,2.7
1973,לטפל,платить,verbs,0.3
1974,חמאה,картофель,nouns,0.8
1975,לקרוע,одевать,verbs,0.15
1976,לקלקל,нюхать,verbs,0.05
1977,בדרך כלל,повседневно,adverbs,4.35
1978,חייל,мир,nouns,0.7
1979,מציאות,фантазия,nouns,0.9
1980,ורד,бабочка,nouns,0.55
1981,חבר,возлюбленный,nouns,1.7
1982,מטר,ярд,nouns,2.35
1983,אדום,синий,adjectives,0.8
1984,עצום,крошечный,adjectives,0.5
1985,לזרוח,светиться,verbs,4.4
1986,למה,слог,nouns,0.95
1987,מתבייש,скромный,adjectives,1.2
1988,עוצמתי,мощный,adjectives,4.55
1989,לבנה,стена,nouns,1.35
1990,עורף,хвост,nouns,0.9
1991,מבולגן,порядоченный,adjectives,0.65
1992,מוזיאון,mинт,nouns,0.2
1993,רכב,автобус,nouns,1.9
1994,באופן אמין,ответственно,adverbs,2.75
1995,לחסוך,тратить,verbs,0.55
1996,אורז,курятина,nouns,0.85
1997,צבא,легион,nouns,2.35
1998,להסכים,признавать,verbs,3.45
1999,לשוטט,искать,verbs,1.3
2000,ניצחון,триумф,nouns,4.15
2001,מיטה,больница,nouns,1.0
2002,נוח,ранимый,adjectives,0.1
2003,חומץ,салат,nouns,0.85
2004,רך,агрессивный,adjectives,0.35
2005,לעשות,прекращать,verbs,0.45
2006,לחשוב,пытаться,verbs,0.4
2007,להאשים,презирать,verbs,0.55
2008,לתקוף,раздражать,verbs,0.45
2009,לחגוג,удивлять,verbs,0.75
2010,להתכחש,отрицать,verbs,2.7
2011,אצטילכולין,ирис,nouns,0.3
2012,התרמה,event,nouns,1.1
2013,חלון,крыша,nouns,1.05
2014,כבוש,псалом,nouns,0.25
2015,להשיג,становиться,verbs,0.6
2016,למצוא,приобретать,verbs,1.0
2017,ללמוד,поглощать,verbs,1.05
2018,חרק,пчела,nouns,1.95
2019,ללמוד,слушать,verbs,1.15
2020,יצירה,художник,nouns,1.35
2021,כינור,гитара,nouns,1.45
2022,צונאמי,море,nouns,1.1
2023,להמליץ,принимать,verbs,0.8
2024,לא בטוח,испуганный,adjectives,1.35
2025,תובנה,ум,nouns,2.1
2026,רציונלי,трезвый,adjectives,2.1
2027,הלילה,сегодня,adverbs,1.5
2028,גדר,прыжки,nouns,0.65
2029,בחירה,вена,nouns,0.0
2030,שמחה,гордость,nouns,1.75
2031,ראש,нос,nouns,1.1
2032,יד,палец,nouns,1.35
2033,גודל,размер,nouns,4.35
2034,מצוין,прекрасный,adjectives,4.85
2035,מורה,друг,nouns,1.4
2036,כבל,шнур,nouns,3.95
2037,לאחד,связывать,verbs,3.15
2038,בן,ребенок,nouns,3.3
2039,יוצא דופן,редкий,adjectives,4.05
2040,גבר,ребенок,nouns,1.35
2041,לבנות,делать,verbs,2.85
2042,לטגן,готовить,verbs,1.7
2043,לשחות,встретить,verbs,0.05
2044,לקחת,оставлять,verbs,0.2
2045,מעצר,клетка,nouns,1.15
2046,עידן,десятилетие,nouns,1.75
2047,בצורה יפה,любезно,adverbs,4.15
2048,ציקלון,тайфун,nouns,3.95
2049,להתגבר,доминировать,verbs,1.35
2050,לחשוב,размышлять,verbs,4.85
2051,אשם,честный,adjectives,0.3
2052,לעיתים,регулярно,adverbs,0.8
2053,במרץ,пассивно,adverbs,0.3
2054,צד,верх,nouns,0.45
2055,פשיטת רגל,провал,nouns,2.15
2056,חברה,клуб,nouns,1.95
2057,יין,спиртное,nouns,2.2
2058,פרה,скот,nouns,3.35
2059,באופן אידיאלי,механически,adverbs,0.2
2060,ארוע,сбор пожертвований,nouns,1.1
2061,עוינות,агрессивность,nouns,4.7
2062,להודיע,объявлять,verbs,4.85
2063,מציאות,иллюзия,nouns,0.8
2064,ציפור,ястреб,nouns,2.0
2065,לעגני,пренебрежительный,adjectives,3.8
2066,לשחרר,нажимать,verbs,0.45
2067,לעזוב,подождать,verbs,0.3
2068,כלב,лошадь,nouns,0.8
2069,משמעותי,незначительный,adjectives,0.5
2070,סמל,пистолет,nouns,0.6
2071,גברת,господин,nouns,1.5
2072,לחשוב,помнить,verbs,1.2
2073,הר,выступ,nouns,0.7
2074,לעשות,создавать,verbs,4.0
2075,אנציקלופדיה,словарь,nouns,2.15
2076,נוזקה,червяк,nouns,1.35
2077,פחמימה,сахароза,nouns,2.0
2078,נביא,священник,nouns,1.5
2079,סערה,снег,nouns,1.55
2080,להבין,читать,verbs,1.0
2081,להתאמן,повторять,verbs,1.25
2082,כומר,монах,nouns,3.5
2083,גס,невежливый,adjectives,3.7
2084,חוט,закат,nouns,0.0
2085,לשכנע,спорить,verbs,2.55
2086,גאה,сильный,adjectives,0.65
2087,לגיון,армия,nouns,2.35
2088,מחר,сегодня ночью,adverbs,0.75
2089,לחם,мясо,nouns,0.65
2090,צנזורה,свобода,nouns,0.85
2091,תשוקה,эмоция,nouns,2.7
2092,אמבטיה,комната,nouns,1.4
2093,גדול,тяжелый,adjectives,1.6
2094,זהירות,забота,nouns,2.15
2095,חוף,берег,nouns,3.35
