ID,CYM,FRA,PoS,score
1426,mynychu,apparaître,verbs,1.1
1427,cnoi,lire,verbs,0.0
1428,modur,voiture,nouns,5.5
1429,band,longévité,nouns,0.1
1430,oriel,avocat,nouns,0.05
1431,yn sicr,parfois,adverbs,0.65
1432,llun,émeute,nouns,0.15
1433,gwaith celf,artiste,nouns,1.9
1434,plaladdwr,parasite,nouns,1.5
1435,yn gyfrifol,sérieusement,adverbs,3.85
1436,ogleuo,puer,verbs,4.0
1437,hyblyg,modeste,adjectives,0.4
1438,crwt,fille,nouns,1.65
1439,arian,liquide,nouns,3.9
1440,gwely,meuble,nouns,2.5
1441,galaeth,application,nouns,0.1
1442,sigâr,boîte,nouns,0.7
1443,bacwn,haricot,nouns,0.75
1444,hyblyg,grand,adjectives,0.25
1445,gwych,merveilleux,adjectives,5.15
1446,yn anhygoel,fermement,adverbs,0.2
1447,ymwrthod,renier,verbs,2.5
1448,nawr,ici,adverbs,2.0
1449,bagiau,circumnavigation,nouns,0.5
1450,yn gadarn,calmement,adverbs,1.1
1451,ffôn,victime,nouns,0.1
1452,cymysgu,cuisiner,verbs,1.6
1453,weithiau,uniformément,adverbs,0.35
1454,diffiniad,dictionnaire,nouns,2.4
1455,hedfaniad,aviation,nouns,2.95
1456,chwerthin,pouffer,verbs,5.05
1457,allwedd,couronne,nouns,0.05
1458,gwydn,facile,adjectives,0.7
1459,yn wallgof,tristement,adverbs,0.45
1460,darlun,ampoule,nouns,0.15
1461,cul,svelte,adjectives,3.1
1462,ardderchog,génial,adjectives,5.15
1463,cleddyf,environnement,nouns,0.05
1464,byth,négatif,adjectives,1.0
1465,pledio,satisfaire,verbs,0.15
1466,coridor,couloir,nouns,4.75
1467,haint,inflexion,nouns,0.15
1468,darganfod,échapper,verbs,0.35
1469,yn wahanol,en phase terminale,adverbs,0.0
1470,ceisio,convaincre,verbs,0.5
1471,hyrwyddo,avancer,verbs,2.3
1472,cath,lapin,nouns,1.45
1473,barn,croyance,nouns,4.35
1474,niwtral,indécis,adjectives,3.3
1475,tlodi,richesse,nouns,1.15
1476,car,autoroute,nouns,1.55
1477,tristwch,bonheur,nouns,1.15
1478,gosod,donner,verbs,1.55
1479,cerddorfa,groupe,nouns,3.35
1480,ymholi,penser,verbs,1.15
1481,hawdd,flexible,adjectives,1.5
1482,rhythm,poème,nouns,1.7
1483,mynychu,débattre,verbs,0.55
1484,gorchuddio,déguiser,verbs,2.55
1485,creu,détruire,verbs,0.8
1486,carchar,choix,nouns,0.15
1487,diniwed,naïf,adjectives,5.1
1488,brawd,âme,nouns,0.3
1489,anhrefn,anarchie,nouns,4.35
1490,braich,poignet,nouns,1.9
1491,offeiriad,prophète,nouns,1.95
1492,lliain,tissu,nouns,2.65
1493,torf,attroupement,nouns,5.2
1494,proffesiwn,lycée,nouns,0.75
1495,mynd,entrer,verbs,2.5
1496,rhythm,arithmétique,nouns,0.1
1497,tarddu,découvrir,verbs,0.4
1498,coleddu,garder,verbs,1.75
1499,canolig,convenable,adjectives,2.05
1500,eirlithriad,neige,nouns,2.05
1501,dechrau,aller,verbs,0.85
1502,archeoleg,anthropologie,nouns,2.2
1503,cas,électricité,nouns,0.65
1504,maddau,accepter,verbs,1.55
1505,diwydiant,affaire,nouns,2.4
1506,tymer,médecin,nouns,0.0
1507,hapus,furieux,adjectives,0.65
1508,yn sylfaenol,pleinement,adverbs,0.7
1509,blanced,tempête,nouns,0.05
1510,mynd  ,envoyer,verbs,1.0
1511,cerflunwaith,statue,nouns,5.15
1512,llo,taureau,nouns,2.45
1513,eryr,faucon,nouns,3.15
1514,golau,clavier,nouns,0.1
1515,barnu,témoigner,verbs,1.35
1516,llyfn,tranchant,adjectives,1.0
1517,cosbi,obéir,verbs,1.0
1518,cwch,arbre,nouns,0.2
1519,bodloni,faire plaisir,verbs,4.1
1520,cebl,chapelle,nouns,0.05
1521,stumog,cours,nouns,0.1
1522,cau,vomir,verbs,0.05
1523,creu,devenir,verbs,0.6
1524,hysbysu,représenter,verbs,0.85
1525,yn llawn,au fond,adverbs,0.7
1526,yn dynn,incroyablement,adverbs,0.2
1527,gwrthod,éviter,verbs,1.8
1528,da,épicé,adjectives,0.15
1529,arian,perle,nouns,0.95
1530,eliffant,boussole,nouns,0.0
1531,traeth,île,nouns,1.85
1532,arogli,gâcher,verbs,0.1
1533,stopio,conduire,verbs,0.8
1534,rhagorol,génial,adjectives,5.15
1535,aloi,acier,nouns,2.85
1536,yn anhygoel,incroyablement,adverbs,4.7
1537,gwydn,sournois,adjectives,0.35
1538,diogel,légal,adjectives,1.5
1539,nodadwy,évident,adjectives,3.75
1540,clogwyn,colline,nouns,2.3
1541,ffurfdroad,infection,nouns,0.15
1542,cerdd,rythme,nouns,1.7
1543,madfall,gouvernement,nouns,0.0
1544,yn swyddogol,fortement,adverbs,0.3
1545,ffatri,voiture,nouns,0.6
1546,tynnu'n ôl,prendre sa retraite,verbs,0.85
1547,yn heddychlon,chaotiquement,adverbs,0.5
1548,perfformiwr,chanson,nouns,1.65
1549,dal gafael,garder,verbs,4.9
1550,post,vitesse,nouns,0.0
1551,cyfamod,accord,nouns,5.45
1552,deigryn,œil,nouns,1.35
1553,yn annheg,équitablement,adverbs,0.85
1554,cymeryd,recevoir,verbs,3.55
1555,sylweddoli,découvrir,verbs,3.35
1556,torri,briser,verbs,4.65
1557,planed,étoile,nouns,2.95
1558,yn wahanol,normal,adjectives,1.25
1559,lladrad,criminalité,nouns,2.4
1560,radar,manette,nouns,0.15
1561,yn ddelfrydol,mécaniquement,adverbs,0.15
1562,soffistigedig,mature,adjectives,1.8
1563,miliwnydd,dollar,nouns,1.35
1564,afal,citron,nouns,1.85
1565,ymddiried,dépendre,verbs,3.95
1566,yn arbennig,significativement,adverbs,1.75
1567,diddanu,apprécier,verbs,1.05
1568,gweddïo,communiquer,verbs,0.9
1569,deall,savoir,verbs,3.05
1570,trist,terrible,adjectives,2.4
1571,pleidlais,sortie,nouns,0.35
1572,treth,revenu,nouns,1.35
1573,dadl,critique,nouns,2.2
1574,osgoi,rejeter,verbs,1.8
1575,dyn,mari,nouns,4.1
1576,cyfarfod,nager,verbs,0.3
1577,glaw,bruine,nouns,4.25
1578,bywyd wedi marwolaeth,purgatoire,nouns,2.3
1579,mwsogl,herbe,nouns,2.1
1580,chwilio,chasser,verbs,2.2
1581,priodferch,princesse,nouns,1.65
1582,chwyrnu,réveiller,verbs,0.75
1583,yn beryglus,soigneusement,adverbs,0.45
1584,difetha,sentir,verbs,0.1
1585,niwl,pluie,nouns,2.55
1586,gwraig,mère,nouns,2.55
1587,teiffŵn,cyclone,nouns,4.45
1588,menyw,épouse,nouns,4.7
1589,gwin,liqueur,nouns,2.2
1590,meteor,gravité,nouns,1.0
1591,hongian,mettre,verbs,0.6
1592,amddiffyn,tuer,verbs,0.95
1593,tric,jeu,nouns,1.7
1594,nyrs,scientifique,nouns,0.9
1595,gwaed,virus,nouns,1.35
1596,cwpan,cuillère,nouns,1.45
1597,byth,honnêtement,adverbs,0.05
1598,gwythïen,choix,nouns,0.25
1599,mob,foule,nouns,5.2
1600,dioddefwr,téléphone,nouns,0.1
1601,cwningen,chat,nouns,1.45
1602,anghwrtais,critique,adjectives,0.85
1603,gwrthbrofi,permettre,verbs,0.25
1604,ciledrych,éblouir,verbs,0.15
1605,ffa,café,nouns,0.75
1606,diflas,sûr,adjectives,0.2
1607,castell,mur,nouns,1.0
1608,car,tuyau,nouns,0.1
1609,canser,maladie,nouns,3.65
1610,gynfad,côte,nouns,0.25
1611,yn ddibynadwy,raisonnablement,adverbs,3.85
1612,sinamon,bonbon,nouns,1.15
1613,sgôr,niveau,nouns,2.45
1614,mawr,vaste,adjectives,3.6
1615,nod,gagnant,nouns,0.7
1616,chwibanu,arrêter,verbs,0.3
1617,erydu,permettre,verbs,0.15
1618,menyn,pomme de terre,nouns,0.95
1619,log,bain,nouns,0.0
1620,dyffryn,dépression,nouns,0.9
1621,yn gain,admirablement,adverbs,3.3
1622,doler,personne,nouns,0.05
1623,bol,abdomen,nouns,4.85
1624,papur newydd,mot,nouns,1.3
1625,glo,houille,nouns,3.9
1626,anadlu,étouffer,verbs,1.55
1627,prysur,paresseux,adjectives,0.45
1628,braich,corps,nouns,1.65
1629,digon,abondance,nouns,5.05
1630,tagu,respirer,verbs,1.55
1631,meddwl,essayer,verbs,0.3
1632,car,vélo,nouns,1.65
1633,cyntedd,corridor,nouns,4.75
1634,awyrennu,vol,nouns,2.95
1635,maint,centime,nouns,0.05
1636,absenoldeb,présence,nouns,1.55
1637,papur lapio,port,nouns,0.45
1638,corff,nerf,nouns,0.95
1639,cystadlu,terminer,verbs,0.1
1640,dirprwy,officier,nouns,1.6
1641,barnu,accuser,verbs,2.9
1642,blanced,bois,nouns,0.15
1643,camera,président,nouns,0.05
1644,anobaith,misère,nouns,3.45
1645,pen-glin,os,nouns,2.2
1646,asgwrn,genou,nouns,2.2
1647,brawd,garçon,nouns,2.15
1648,stopio,siffler,verbs,0.3
1649,mynegi,dire,verbs,4.55
1650,bryn,falaise,nouns,2.3
1651,pennod,épisode,nouns,4.15
1652,canwr,employé,nouns,0.2
1653,clou,rapide,adjectives,4.75
1654,cywilydd,chagrin,nouns,1.85
1655,yn ddigynnwrf,fermement,adverbs,1.1
1656,perfedd,nerf,nouns,0.9
1657,ffa,bacon,nouns,0.75
1658,miniog,terne,adjectives,0.15
1659,rhosyn,papillon,nouns,0.55
1660,brawdgarwch,base-ball,nouns,0.2
1661,moleciwl,matrice,nouns,0.35
1662,ffwr,vison,nouns,3.15
1663,yn gyflym,instamment,adverbs,4.7
1664,ergyd,cadre,nouns,0.1
1665,i ffwrdd,à domicile,adverbs,1.1
1666,sgert,montre,nouns,0.35
1667,arllwys,goutter,verbs,1.95
1668,chwalu,se fracasser,verbs,5.15
1669,o ddifrif,sincèrement,adverbs,1.6
1670,rhybuddio,arrêter,verbs,1.35
1671,fel arfer,quotidiennement,adverbs,1.65
1672,perfformiad,saynète,nouns,3.3
1673,newydd,inutilisé,adjectives,4.4
1674,cofleidio,presser,verbs,2.8
1675,ofnus,incertain,adjectives,1.6
1676,yn fawr,incroyablement,adverbs,1.5
1677,hen,frais,adjectives,0.15
1678,cynhesu,réchauffage,nouns,3.45
1679,gwerthu,aller,verbs,0.2
1680,petrusgar,courroucé,adjectives,0.45
1681,gwerddon,liberté,nouns,0.55
1682,anodd,difficile,adjectives,5.55
1683,cymryd,porter,verbs,1.3
1684,yn angheuol,heureusement,adverbs,0.3
1685,yn annaturiol,naturellement,adverbs,0.8
1686,bargeinio,vendre,verbs,0.8
1687,anniben,propre,adjectives,0.75
1688,cwpan,cône,nouns,0.4
1689,digwydd,faire,verbs,1.25
1690,derbyn,nier,verbs,0.95
1691,troed,sable,nouns,0.35
1692,cynffon,bol,nouns,0.05
1693,unffurf,informe,adjectives,0.5
1694,dod â,restaurer,verbs,0.1
1695,glaswellt,lame,nouns,0.4
1696,raced,balle,nouns,1.6
1697,bathodyn,verre,nouns,0.25
1698,pryd bwyd,dîner,nouns,3.65
1699,brithyll,guitare,nouns,0.05
1700,bws,véhicule,nouns,3.5
1701,cyfathrebu,prier,verbs,0.9
1702,ethol,choisir,verbs,4.3
1703,cyfalaf,argent,nouns,3.75
1704,afal,jus,nouns,1.6
1705,cynhwysydd,souris,nouns,0.05
1706,yn obeithiol,éventuellement,adverbs,1.0
1707,braf,extraverti,adjectives,2.1
1708,yn weithredol,exactement,adverbs,0.65
1709,cymylog,prévision,nouns,0.5
1710,dod â,envoyer,verbs,1.65
1711,chwaer,frère,nouns,2.45
1712,twnnel,chemin,nouns,1.55
1713,yn annheg,déraisonnablement,adverbs,3.2
1714,terfysg,dessin,nouns,0.15
1715,cromlin,angle,nouns,1.95
1716,trafod syniadau,télescope,nouns,0.05
1717,twll,accord,nouns,0.0
1718,hurt,énorme,adjectives,0.65
1719,gwaelod,côté,nouns,1.7
1720,calendr,date,nouns,2.6
1721,allanfa,suffrage,nouns,0.35
1722,aderyn,poule,nouns,2.65
1723,llenyddiaeth,mot,nouns,1.8
1724,cysyniad,croyance,nouns,3.1
1725,banciwr,avocat,nouns,1.3
1726,yn feirniadol,principalement,adverbs,0.15
1727,iâr,dinde,nouns,2.7
1728,aflonydd,jeune,adjectives,0.75
1729,adeilad,pièce,nouns,1.35
1730,gwasgu,libérer,verbs,0.25
1731,dewin,câble,nouns,0.0
1732,argyhoeddi,essayer,verbs,0.5
1733,trwm,chargé,adjectives,4.2
1734,doniol,terne,adjectives,0.3
1735,cylchfordaith,bagage,nouns,0.5
1736,yn hawdd,approximativement,adverbs,0.3
1737,ymuno,participer,verbs,3.5
1738,yn gyfrifol,indépendamment,adverbs,0.75
1739,anghofio,retenir,verbs,0.75
1740,cyflymder,courrier,nouns,0.0
1741,yn gyfeillgar,improbable,adverbs,0.0
1742,gwahanu,attacher,verbs,0.8
1743,yn hanfodol,sévèrement,adverbs,0.15
1744,biolegydd,microscope,nouns,1.45
1745,dygnwch,groupe,nouns,0.1
1746,cydweithredu,rejoindre,verbs,2.0
1747,tymor,hiver,nouns,3.0
1748,gwyddoniaeth,psychologie,nouns,2.3
1749,gwybod,croire,verbs,2.5
1750,diflas,passionnant,adjectives,0.35
1751,rhesymol,sobre,adjectives,1.45
1752,yn gyfiawn,mûrement,adverbs,0.95
1753,sudd,pomme,nouns,1.6
1754,goddefol,violent,adjectives,0.35
1755,bachgen,condition,nouns,0.05
1756,cwmwl,lac,nouns,0.55
1757,nod,club,nouns,0.25
1758,symud,tisser,verbs,0.15
1759,machlud haul,table,nouns,0.0
1760,pobl,ballon,nouns,0.0
1761,llywodraeth,lézard,nouns,0.0
1762,yma,maintenant,adverbs,2.0
1763,gwn,canon,nouns,2.7
1764,llafn,herbe,nouns,0.4
1765,alcohol,cognac,nouns,2.95
1766,claf,session,nouns,0.1
1767,gwadu,accepter,verbs,0.95
1768,ymosodol,incurvé,adjectives,0.0
1769,injan,moteur,nouns,3.8
1770,gwraig,baignoire,nouns,0.05
1771,yn anarferol,étrangement,adverbs,3.2
1772,dosbarth,chaos,nouns,0.2
1773,athro,assistant,nouns,2.3
1774,damwain,urgence,nouns,2.35
1775,maes llafur,examen,nouns,1.1
1776,yn gadarnhaol,probablement,adverbs,1.15
1777,ymosod,blesser,verbs,2.8
1778,lefel,résultat,nouns,2.45
1779,dewis,chapitre,nouns,0.4
1780,gwybod,donner,verbs,0.3
1781,corfforaeth,affaire,nouns,2.5
1782,yn ofalus,actuellement,adverbs,0.15
1783,troi allan,quitter,verbs,1.1
1784,hawdd,vulnérable,adjectives,0.55
1785,cafflo,tromper,verbs,3.9
1786,gyrrwr,pilote,nouns,3.7
1787,buwch,chèvre,nouns,1.9
1788,ymwybyddiaeth,attention,nouns,2.9
1789,merch,gamin,nouns,1.65
1790,capel,câble,nouns,0.05
1791,brifo ,tomber,verbs,1.6
1792,cyfreithiwr,procureur,nouns,3.0
1793,busnes,société,nouns,2.5
1794,cais,candidat,nouns,2.3
1795,het,boîte,nouns,0.65
1796,dwys,stupide,adjectives,0.05
1797,raced,bruit,nouns,0.15
1798,priffordd,voiture,nouns,1.55
1799,llyfr,littérature,nouns,2.75
1800,cywilydd,contrarié,adjectives,0.8
1801,brest,corps,nouns,1.75
1802,dodrefn,lit,nouns,2.5
1803,ynys,péninsule,nouns,3.15
1804,estrys,verger,nouns,0.05
1805,gwallgof,content,adjectives,0.65
1806,noswaith,coucher de soleil,nouns,3.2
1807,cymeradwyo,permettre,verbs,3.1
1808,baw,boue,nouns,4.1
1809,myffin,persil,nouns,0.35
1810,tywod,pied,nouns,0.35
1811,dwyn,acheter,verbs,0.85
1812,damcaniaeth,théorie,nouns,4.95
1813,sudd,cuillère,nouns,0.55
1814,egluro,discuter,verbs,2.25
1815,germ,pathogène,nouns,4.0
1816,cymhwysedd,aptitude,nouns,5.05
1817,tenis,statistique,nouns,0.25
1818,cyfoeth,pauvreté,nouns,1.15
1819,offeryn,emploi,nouns,0.4
1820,llygredd,atmosphère,nouns,1.85
1821,hwyl,football,nouns,0.5
1822,ysgol feithrin,crèche,nouns,4.25
1823,dymuno,vouloir,verbs,5.15
1824,haematoleg,pathologie,nouns,2.2
1825,harddwch,sonnet,nouns,0.55
1826,heb ei ddatgelu,manifeste,adjectives,0.4
1827,ffantasi,réalité,nouns,1.25
1828,heliwm,air,nouns,2.7
1829,cartref,état,nouns,0.05
1830,rhoddi,emprunter,verbs,1.85
1831,carfan,armée,nouns,3.05
1832,byth,rarement,adverbs,3.3
1833,clymu,unir,verbs,3.5
1834,mawr,énorme,adjectives,4.2
1835,ymbarél,radiateur,nouns,0.25
1836,maes awyr,pièce,nouns,0.1
1837,digid,nombre,nouns,5.3
1838,athronydd,course,nouns,0.15
1839,gwartheg,yaourt,nouns,0.2
1840,cul,sale,adjectives,0.1
1841,ras,week-end,nouns,0.25
1842,gofyn,plaider,verbs,2.4
1843,stori,chanson,nouns,1.45
1844,blanced ,lit,nouns,1.75
1845,polyhedron,acteur,nouns,0.0
1846,duw,proie,nouns,0.05
1847,blwch,source,nouns,0.0
1848,etholi,rejeter,verbs,0.55
1849,yn amlwg,localement,adverbs,0.15
1850,llesteirio,décourager,verbs,2.55
1851,prynu,voler,verbs,0.85
1852,blwch  ,chapeau,nouns,0.65
1853,band,alcool,nouns,0.15
1854,derbyn,livrer,verbs,0.6
1855,gludedd,éclaboussure,nouns,0.3
1856,rhannu,détacher,verbs,1.35
1857,wythnos,week-end,nouns,2.3
1858,balchder,pauvre,adjectives,0.35
1859,car,klaxon,nouns,1.15
1860,hofrennydd,avion,nouns,3.2
1861,ceryddu,exiger,verbs,0.6
1862,yn hysbys,bon,adjectives,0.65
1863,pwrs,sac,nouns,2.2
1864,hebog,aigle,nouns,3.15
1865,yn drist,émotionnellement,adverbs,2.25
1866,danfon,aller,verbs,1.0
1867,gamblo,miser,verbs,5.65
1868,gwan,puissant,adjectives,0.7
1869,amddiffyn,sauver,verbs,3.15
1870,plesio,divertir,verbs,1.65
1871,ofnadwy,triste,adjectives,2.4
1872,gosod mewn trefn,arranger,verbs,5.4
1873,gwely,couverture,nouns,1.75
1874,metel,étain,nouns,3.15
1875,twll,femme,nouns,0.1
1876,onest,coupable,adjectives,0.65
1877,dod â,se plaindre,verbs,0.1
1878,gwydr,badge,nouns,0.25
1879,cadair,télescope,nouns,0.2
1880,car,pont,nouns,0.45
1881,ymbarél,calibre,nouns,0.05
1882,taith,promenade,nouns,3.45
1883,oeraidd,rugueux,adjectives,0.5
1884,pobl,dollar,nouns,0.05
1885,beirniadol,grossier,adjectives,0.85
1886,fisa,globalisation,nouns,0.7
1887,tad,homme,nouns,2.6
1888,ymdrechu,saisir,verbs,0.55
1889,cyfieithydd,étranger,nouns,0.95
1890,ehangu,croître,verbs,4.4
1891,cyflawni,réussir,verbs,4.5
1892,llyfr,thème,nouns,0.75
1893,dur,alliage,nouns,2.85
1894,ceffyl,chien,nouns,1.5
1895,cotwm,polyester,nouns,2.0
1896,dod â,venir,verbs,1.4
1897,gwerthu,rappeler,verbs,0.2
1898,bioleg gymdeithasol,mutant,nouns,0.35
1899,bag,porte-monnaie,nouns,2.2
1900,gwefus,hanche,nouns,0.65
1901,potel,pot,nouns,2.95
1902,machlud haul,chaîne,nouns,0.0
1903,darganfod,acquérir,verbs,2.2
1904,amddiffyn,protéger,verbs,4.9
1905,nerf,cerveau,nouns,1.55
1906,sgwrs,communication,nouns,4.25
1907,yn dawel,bruyamment,adverbs,0.55
1908,deinosor,éléphant,nouns,0.95
1909,priffordd,route,nouns,3.95
1910,mawr,facile,adjectives,0.2
1911,dichonadwy,impossible,adjectives,1.2
1912,person dan amheuaeth,homme,nouns,1.1
1913,gwarcheidwad,mère,nouns,1.75
1914,ofnadwy,mal,adjectives,3.7
1915,parch,honneur,nouns,3.25
1916,amgylchiad,situation,nouns,5.25
1917,yn ddwfn,surtout,adverbs,0.7
1918,ennill,faire,verbs,0.3
1919,diymadferth,nécessiteux,adjectives,1.6
1920,piano,harmonie,nouns,1.5
1921,gwyddonydd,infirmier,nouns,0.9
1922,stôl,chaise,nouns,3.55
1923,gitâr,truite,nouns,0.05
1924,plesio,satisfaire,verbs,4.1
1925,ebol,cheval,nouns,4.05
1926,croen,vélo,nouns,0.2
1927,anghefnogi,contrarier,verbs,1.55
1928,cornel,surface,nouns,1.0
1929,cwmni,affaire,nouns,3.95
1930,dod,apporter,verbs,1.4
1931,yn ofalus,dangereusement,adverbs,0.45
1932,anrhydedd,estime,nouns,3.25
1933,derbyn,pardonner,verbs,1.55
1934,brawdgarwch,homme,nouns,1.45
1935,côn,tasse,nouns,0.4
1936,dewis,décider,verbs,4.7
1937,reis,haricot,nouns,1.5
1938,canon,ballon,nouns,0.75
1939,dec,bateau,nouns,1.45
1940,ffwr,femme,nouns,0.3
1941,ymddangos,assister,verbs,1.1
1942,llenyddiaeth,livre,nouns,2.75
1943,twymyn,maladie,nouns,3.5
1944,hyfforddi,apprendre,verbs,4.25
1945,aderyn,dinde,nouns,3.1
1946,gofyn,aider,verbs,0.75
1947,anifail,personne,nouns,0.85
1948,harmoni,piano,nouns,1.5
1949,hawdd,dur,adjectives,0.7
1950,cyfarch,rencontrer,verbs,1.8
1951,byth,généreusement,adverbs,0.05
1952,swil,effrayé,adjectives,2.1
1953,priodi,joindre,verbs,3.15
1954,arbed,dépenser,verbs,0.3
1955,alcohol,whisky,nouns,2.9
1956,arestio,suspecter,verbs,0.85
1957,tâl,paiement,nouns,4.15
1958,bod yn ddyledus,entrer,verbs,0.25
1959,dysgu,confondre,verbs,0.5
1960,gwybod,comprendre,verbs,3.05
1961,strategydd,conspirateur,nouns,3.55
1962,brawd,sœur,nouns,2.45
1963,hurt,rare,adjectives,0.15
1964,salwch,cancer,nouns,3.65
1965,mêl,sucre,nouns,2.35
1966,peiriannydd,ouvrier,nouns,2.85
1967,gweiddi,débattre,verbs,1.95
1968,llawr,porte,nouns,0.4
1969,cael,mettre,verbs,0.4
1970,bacwn,petit déjeuner,nouns,1.15
1971,athro,rabbin,nouns,2.4
1972,gwely,hôpital,nouns,1.15
1973,awdur,roman,nouns,1.75
1974,parsel,camion,nouns,0.45
1975,dafad,agneau,nouns,4.05
1976,rhifyddeg,rythme,nouns,0.1
1977,synnwyr,intuition,nouns,3.9
1978,darllen,saisir,verbs,0.9
1979,colli,échouer,verbs,4.2
1980,arbed,collecter,verbs,2.5
1981,llac,flexible,adjectives,1.0
1982,nant,rivière,nouns,4.35
1983,stryd,voiture,nouns,1.0
1984,drôr,habit,nouns,1.0
1985,menyw,secrétaire,nouns,0.95
1986,disgyn,battre en retraite,verbs,0.6
1987,handlen,protéine,nouns,0.1
1988,emosiwn,passion,nouns,3.9
1989,gweithiwr,appareil photo,nouns,0.05
1990,crebachu,disparaître,verbs,1.95
1991,beio,pousser,verbs,0.25
1992,gwehyddu,bouger,verbs,0.15
1993,aros,obtenir,verbs,0.2
1994,chwilio,errer,verbs,2.0
1995,gair,indice,nouns,1.0
1996,yn greadigol,initialement,adverbs,0.85
1997,o ddifrif,grandement,adverbs,2.0
1998,awyrgylch,pollution,nouns,1.85
1999,dyrchafu,promouvoir,verbs,2.3
2000,dec,sol,nouns,2.3
2001,prawf,essai,nouns,5.1
2002,canon,pistolet,nouns,2.7
2003,drwg,terrible,adjectives,3.7
2004,dechrau,commencer,verbs,5.85
2005,anaeddfed,adulte,adjectives,0.75
2006,ewin,tête,nouns,0.65
2007,rhodio,errer,verbs,3.3
2008,yn dawel,passivement,adverbs,1.6
2009,ysgol,droit,nouns,1.0
2010,llygad,sourcil,nouns,1.75
2011,yn ddiogel,soigneusement,adverbs,1.8
2012,cân,interprète,nouns,1.65
2013,penderfynu,choisir,verbs,4.7
2014,dadlau,exiger,verbs,1.9
2015,therapi,comportementalisme,nouns,2.05
2016,clwb,société,nouns,3.65
2017,dewis,élection,nouns,3.35
2018,arbed,protéger,verbs,3.15
2019,yn hyfryd,élégamment,adverbs,3.3
2020,hir,étroit,adjectives,1.05
2021,arall,contraire,adjectives,1.75
2022,milwr,paix,nouns,0.8
2023,gwerthfawr,spécial,adjectives,2.7
2024,cyw iâr,riz,nouns,0.8
2025,denu,frapper,verbs,0.55
2026,siwr,certain,adjectives,5.95
2027,niweidio,attaque,verbs,2.8
2028,buan,vite,adjectives,4.75
2029,presenoldeb,porte,nouns,0.15
2030,angerdd,émotion,nouns,3.9
2031,disgybl,étudiant,nouns,5.3
2032,rasio,philosophe,nouns,0.15
2033,siarcol,charbon,nouns,3.9
2034,gwerthu,traiter,verbs,0.8
2035,sitrws,orange,nouns,3.8
2036,person,animal,nouns,0.85
2037,cwrtais,bon,adjectives,1.7
2038,cynfas,avion,nouns,0.05
2039,pla,pesticide,nouns,1.5
2040,ffotoffon,homophone,nouns,0.4
2041,treial,test,nouns,5.1
2042,diod,bière,nouns,3.0
2043,awyrennaeth,avionique,nouns,4.5
2044,portreadu,décider,verbs,0.75
2045,ffres,vieux,adjectives,0.15
2046,awst,mois,nouns,2.75
2047,plisman,copilote,nouns,0.45
2048,chwarae,combattre,verbs,0.8
2049,sgriptiwr,télévision,nouns,1.0
2050,môr,tsunami,nouns,1.85
2051,eisiau,désirer,verbs,5.15
2052,braisg,gros,adjectives,3.8
2053,gwartheg,vache,nouns,4.45
2054,ystafell wely,salle de bain,nouns,2.25
2055,cefnfor,mer,nouns,4.4
2056,cerdyn,pont,nouns,0.25
2057,disgleirio,briller,verbs,5.15
2058,cyffredin,incroyable,adjectives,0.65
2059,afal,confiserie,nouns,1.05
2060,credu,ressentir,verbs,2.9
2061,balch ,fou,adjectives,0.65
2062,artist,oeuvre,nouns,1.9
2063,clywed,parler,verbs,1.3
2064,cyrnol,dentiste,nouns,0.25
2065,yn ddyddiol,normalement,adverbs,1.65
2066,yn gyfforddus,facilement,adverbs,1.4
2067,car,taxi,nouns,4.05
2068,hen,mixte,adjectives,0.15
2069,pêl,sphère,nouns,3.5
2070,hurt,stupide,adjectives,5.65
2071,cul,blanc,adjectives,0.05
2072,hapus,fâché,adjectives,0.75
2073,atodi,rejoindre,verbs,1.5
2074,pobl,fête,nouns,1.1
2075,casglu,secouer,verbs,0.15
2076,pêl-fas,canapé,nouns,0.05
2077,gwn,gens,nouns,0.25
2078,hurt,idiot,adjectives,5.4
2079,dod yn,faire,verbs,0.6
2080,eira,glace,nouns,3.65
2081,blits,attaque,nouns,3.1
2082,meddwl,cerveau,nouns,3.95
2083,eglwys,cathédrale,nouns,4.05
2084,ymuno,marier,verbs,3.15
2085,camera,ouvrier,nouns,0.05
2086,yn debygol,positivement,adverbs,1.15
2087,offeryn,violon,nouns,2.9
2088,dadlau,différer,verbs,1.15
2089,cinio,poulet,nouns,1.25
2090,rhyddid,oasis,nouns,0.55
2091,jar,bouteille,nouns,2.95
2092,dal,imiter,verbs,0.25
2093,tanc,voiture,nouns,1.1
2094,log,formule,nouns,1.3
2095,llyfr,accident,nouns,0.3
2096,cystrawen,mot-clé,nouns,0.8
2097,fflat,meuble,nouns,1.3
2098,cyrraedd,laisser,verbs,0.25
2099,ystadegau,tennis,nouns,0.25
2100,rhad,abordable,adjectives,5.35
2101,yn sicr,certainement,adverbs,5.95
2102,rhuthro,se dépêcher,verbs,5.35
2103,lifft,voiture,nouns,0.45
2104,gwraig,femme,nouns,4.7
2105,llinyn,soleil couchant,nouns,0.0
2106,abdomen,ventre,nouns,4.85
2107,o bosibl,avec optimisme,adverbs,1.0
2108,disgyrchiant,météore,nouns,1.0
2109,colli,obtenir,verbs,0.75
2110,braf,généreux,adjectives,1.65
2111,meddyg,médecin,nouns,5.2
2112,cyfeillgar,généreux,adjectives,2.1
