ID,CYM,EST,PoS,score
1381,ceisio,mõtlema,verbs,0.6
1382,siwr,enesekindel,adjectives,3.95
1383,wedi'i ferwi,küpsetatud,adjectives,1.5
1384,mynd  ,saatma,verbs,0.9
1385,corfforaeth,äri,nouns,1.95
1386,nod,otsing,nouns,1.8
1387,byth,hiljem,adverbs,0.15
1388,brenin,onupojapoliitika,nouns,0.8
1389,dadansoddi,võrdlema,verbs,2.7
1390,tyfu,kahanema,verbs,0.35
1391,salwch,vähk,nouns,2.55
1392,benthyg,müüma,verbs,0.45
1393,erfyn,anuma,verbs,4.1
1394,camera,tööline,nouns,0.05
1395,arwyddluniau,eneseväärikus,nouns,0.05
1396,darganfod,asukohta määrama,verbs,2.1
1397,darostyngedig,tagasihoidlik,adjectives,2.25
1398,anrhydedd,austus,nouns,2.55
1399,mawr,ulatuslik,adjectives,3.9
1400,yn sicr,ilmselgelt,adverbs,2.65
1401,priodferch,peigmees,nouns,1.35
1402,sigâr,toru,nouns,0.75
1403,teledu,kommunikatsioon,nouns,1.55
1404,byd,maakera,nouns,4.2
1405,morgrugyn,kärbes,nouns,0.75
1406,anghrybwylladwy,abieluväline,adjectives,0.55
1407,llywydd,kaamera,nouns,0.2
1408,syml,raske,adjectives,0.25
1409,braich,kael,nouns,0.6
1410,braich,haru,nouns,0.9
1411,cymryd rhan,koostööd tegema,verbs,2.35
1412,car,tänav,nouns,0.75
1413,anwybyddu,printima,verbs,0.0
1414,rhyddid,tsensuur,nouns,0.25
1415,telesgop,ajurünnak,nouns,0.0
1416,chwaraewr,treener,nouns,0.9
1417,haul,taevas,nouns,1.1
1418,pêl-droed,lõbu,nouns,0.55
1419,awyr,päike,nouns,1.1
1420,sgriblo,kirjutama,verbs,2.8
1421,cythruddo,arvama,verbs,0.2
1422,treisgar,passiivne,adjectives,0.25
1423,paragraff,täht,nouns,0.8
1424,cotwm,sviiter,nouns,0.7
1425,planhigyn,põllumajandus,nouns,1.1
1426,bodloni,hoomama,verbs,0.4
1427,cymylog,prognoos,nouns,0.5
1428,cig,leib,nouns,0.45
1429,portreadu,imiteerima,verbs,2.75
1430,yfed,tõstma,verbs,0.4
1431,sylfaen,jalg,nouns,0.85
1432,blwch,lift,nouns,0.15
1433,gwybod,uskuma,verbs,1.9
1434,llac,paindlik,adjectives,1.3
1435,hapusrwydd,kurbus,nouns,0.7
1436,gŵr,mees,nouns,3.8
1437,myfyrdod,pilt,nouns,1.0
1438,wedi cyffroi,ehmunud,adjectives,2.0
1439,organ,neer,nouns,2.35
1440,bronceitus,paratsetamol,nouns,0.65
1441,cryptogram,sümbol,nouns,2.25
1442,yn wahanol,normaalne,adjectives,0.75
1443,llwyddo,läbi kukkuma,verbs,0.35
1444,mynd i mewn,võlgnema,verbs,0.15
1445,claf,sessioon,nouns,0.4
1446,cymysgu,segama,verbs,2.3
1447,perswadio,vaidlema,verbs,1.9
1448,gosod,andma,verbs,0.95
1449,yn onest,siiralt,adverbs,4.75
1450,gwan,võimas,adjectives,0.1
1451,amaethyddiaeth,taim,nouns,1.1
1452,canol,eine,nouns,0.15
1453,llygoden,kass,nouns,0.65
1454,treisgar,radikaalne,adjectives,1.2
1455,cystrawen,märksõna,nouns,0.65
1456,dosbarthu,võtma,verbs,0.5
1457,cath,hiir,nouns,0.65
1458,cwmwl,aken,nouns,0.15
1459,alaw,rütm,nouns,1.85
1460,glaswellt,tera,nouns,0.55
1461,paragraff,lehekülg,nouns,1.2
1462,troed,käsi,nouns,0.95
1463,caniatáu,kuluma,verbs,0.1
1464,oriel,advokaat,nouns,0.0
1465,gair,väljend,nouns,1.95
1466,arian parod,raha,nouns,4.2
1467,drwg,ebamoraalne,adjectives,3.35
1468,cosbi,lööma,verbs,1.4
1469,canlyn,veenma,verbs,0.35
1470,penderfynu,portreteerima,verbs,0.2
1471,cefnogwr,kriket,nouns,0.05
1472,gwerth,määr,nouns,2.2
1473,cymysgu,jooma,verbs,0.45
1474,oedran,ilu,nouns,0.6
1475,barnu,tunnistama,verbs,0.95
1476,perygl,ähvardus,nouns,3.2
1477,ysgwydd,käsi,nouns,1.65
1478,grawnfwyd,nisu,nouns,2.55
1479,dyn,kahtlusalune,nouns,0.8
1480,cael,omandama,verbs,3.77
1481,gwn,rahvas,nouns,0.1
1482,gorffen,võistlema,verbs,0.2
1483,gorffwyll,hull,adjectives,4.5
1484,llyfr nodiadau,relv,nouns,0.0
1485,milwr,poiss,nouns,0.6
1486,metel,alumiinium,nouns,2.8
1487,caffael,saama,verbs,3.7
1488,ffôn,putka,nouns,0.6
1489,gosod mewn trefn,organiseerima,verbs,5.65
1490,tymor,semester,nouns,4.3
1491,ymgeisydd,taotlus,nouns,1.6
1492,poen,lein,nouns,2.15
1493,yn debygol,positiivselt,adverbs,0.9
1494,llesteirio,heidutama,verbs,2.35
1495,actor,näitlejanna,nouns,4.3
1496,asgwrn,küünarnukk,nouns,1.4
1497,meddwl,proovima,verbs,0.6
1498,germ,haigusetekitaja,nouns,4.15
1499,bwlch,ava,nouns,2.15
1500,synnwyr,intuitsioon,nouns,3.55
1501,deall,rahuldama,verbs,0.4
1502,ymddiried,sõltuma,verbs,3.4
1503,damwain,raamat,nouns,0.05
1504,gaeaf,suvi,nouns,0.95
1505,parasetamol,bronhiit,nouns,0.65
1506,heicio,ronima,verbs,2.35
1507,cyw iâr,riis,nouns,0.5
1508,gŵr bonheddig,leedi,nouns,0.8
1509,chwilio,taotlema,verbs,1.15
1510,ymennydd,närv,nouns,1.35
1511,cell,ruum,nouns,1.9
1512,salwch,palavik,nouns,2.85
1513,ymgeisydd,võitja,nouns,1.0
1514,tanc,auto,nouns,0.9
1515,unffurf,vormimata,adjectives,0.3
1516,dynwared,jäädvustama,verbs,0.45
1517,bwthyn,metsamajake,nouns,3.35
1518,arogli,rikkuma,verbs,0.0
1519,gwerthu,laenama,verbs,0.45
1520,llafn,muru,nouns,0.55
1521,newynog,väsinud,adjectives,0.55
1522,yn ysgafn,säravalt,adverbs,0.3
1523,ewythr,mees,nouns,1.55
1524,llywodraeth,sisalik,nouns,0.0
1525,deall,lugema,verbs,0.85
1526,drwm,kitarr,nouns,1.1
1527,gwydr,märk,nouns,0.15
1528,gwawdlyd,põlglik,adjectives,4.6
1529,cath,lõvi,nouns,2.0
1530,dewis,valimine,nouns,3.0
1531,cenllysg,vihm,nouns,2.15
1532,ychwanegu,ühinema,verbs,1.35
1533,doniol,tõsine,adjectives,0.45
1534,coctel,alkohol,nouns,1.85
1535,fitamin,raud,nouns,0.8
1536,darganfod,kaduma,verbs,0.4
1537,gwythïen,valik,nouns,0.05
1538,drws,põrand,nouns,0.65
1539,cynorthwy-ydd,teenijanna,nouns,2.25
1540,yn arbennig,tähendusrikkalt,adverbs,1.3
1541,llymeitio,neelatama,verbs,2.45
1542,modryb,õepoeg,nouns,1.05
1543,tymor,talv,nouns,2.65
1544,sefyll,kõndima,verbs,0.7
1545,saethydd,rajaleidja,nouns,0.35
1546,dyn,onu,nouns,1.55
1547,cywilydd,süüdi,adjectives,2.0
1548,anghytuno,kaklema,verbs,1.35
1549,haearn,vitamiin,nouns,0.8
1550,gwisg unffurf,heegeldus,nouns,0.2
1551,boddi,päästma,verbs,0.45
1552,newyddiadurwr,luuletaja,nouns,0.9
1553,plismon,poliitik,nouns,0.35
1554,gwefus,puus,nouns,0.4
1555,mynegi,ütlema,verbs,3.6
1556,ffres,lai,adjectives,0.1
1557,lleng,armee,nouns,3.4
1558,log,puit,nouns,3.1
1559,yn hyderus,salaja,adverbs,0.55
1560,yn derfynol,põhiliselt,adverbs,0.4
1561,hela,otsima,verbs,2.3
1562,dadansoddi,hindama,verbs,3.5
1563,hawdd,haavatav,adjectives,0.3
1564,llyncu,jooma,verbs,2.5
1565,yn fecanyddol,ideaalselt,adverbs,0.2
1566,gwartheg,lammas,nouns,1.25
1567,pobl,õhupall,nouns,0.1
1568,pryd bynnag,vahepeal,adverbs,0.85
1569,creu,hävitama,verbs,0.35
1570,papur newydd,informatsioon,nouns,1.3
1571,plât,kauss,nouns,1.85
1572,derbyn,püüdma,verbs,1.8
1573,erydu,hajuma,verbs,2.0
1574,purdan,teispoolsus,nouns,1.55
1575,caban,hütt,nouns,3.95
1576,cwympo,haiget tegema,verbs,1.55
1577,cyfnewid,valuuta,nouns,0.95
1578,menyn,kartul,nouns,0.6
1579,nodyn,ülesanne,nouns,0.55
1580,newydd,vana,adjectives,0.35
1581,dillad,kalts,nouns,1.5
1582,to,aken,nouns,0.65
1583,benthyg,tahtma,verbs,0.4
1584,herwgipio,varastama,verbs,3.6
1585,meteor,gravitatsioon,nouns,0.7
1586,ffa,peekon,nouns,0.35
1587,anaeddfed,täiskasvanud,adjectives,0.25
1588,cerdded,seisma,verbs,0.7
1589,ynys,poolsaar,nouns,2.7
1590,methu,edu saavutama,verbs,0.35
1591,papur lapio,sadam,nouns,0.0
1592,fformiwla,võrrand,nouns,3.6
1593,yn ddarostyngedig,uhkelt,adverbs,0.35
1594,go fach,kääbuskasvu,adjectives,3.3
1595,dillad,nööp,nouns,0.5
1596,niwl,vihm,nouns,2.2
1597,bore,päev,nouns,1.4
1598,beirniadu,vihkama,verbs,1.05
1599,dur,sulam,nouns,2.75
1600,dan straen,lõdvestunud,adjectives,0.3
1601,rheoli,peatuma,verbs,0.5
1602,hedfan,sipelgas,nouns,0.75
1603,dant,suu,nouns,1.05
1604,arbed,uppuma,verbs,0.45
1605,archeoleg,antropoloogia,nouns,1.5
1606,testun,raamat,nouns,1.55
1607,baled,laul,nouns,3.7
1608,coroni,vesi,nouns,0.1
1609,cyfnod,kümnend,nouns,1.75
1610,chwipio,lööma,verbs,2.4
1611,bod yn ddyledus,sisenema,verbs,0.15
1612,rheol,tava,nouns,3.05
1613,mynnu,vaidlema,verbs,1.7
1614,nofio,kohtuma,verbs,0.0
1615,glân,plekitu,adjectives,3.7
1616,dewis,hääletama,verbs,3.6
1617,gwraidd,muru,nouns,0.75
1618,blwch,putka,nouns,0.6
1619,cymysg,kombineeritud,adjectives,3.35
1620,yn falch,rahumeelselt,adverbs,0.4
1621,trallod,meeleheide,nouns,2.85
1622,cerdd,rütm,nouns,1.25
1623,cymryd,omama,verbs,1.5
1624,ysgrifennydd,naine,nouns,0.8
1625,yn realistig,ideaalselt,adverbs,0.9
1626,cracio,murdma,verbs,2.2
1627,plesio,rahuldama,verbs,3.25
1628,ardderchog,suurepärane,adjectives,4.45
1629,sitrws,apelsin,nouns,3.25
1630,aderyn,kana,nouns,2.15
1631,sant,patune,nouns,0.75
1632,ffa,kohv,nouns,1.1
1633,llwy,tass,nouns,1.1
1634,marwolaeth,katastroof,nouns,1.7
1635,pen-blwydd,kuupäev,nouns,1.6
1636,myffin,petersell,nouns,0.25
1637,chwedl,satiir,nouns,0.65
1638,dis,kuubik,nouns,2.6
1639,soned,ilu,nouns,0.5
1640,busnes,tööstus,nouns,2.0
1641,yn bryderus,närviliselt,adverbs,4.05
1642,llygredd,president,nouns,0.05
1643,drewi,lõhnama,verbs,3.3
1644,tun,alumiinium,nouns,1.75
1645,atgoffa,müüma,verbs,0.0
1646,prawf,katse,nouns,4.35
1647,dirmygu,laadima,verbs,0.0
1648,concwest,teekond,nouns,0.7
1649,esgus,oletama,verbs,0.85
1650,gwaed,liha,nouns,1.0
1651,cyfamod,kokkulepe,nouns,5.05
1652,eira,ilm,nouns,1.25
1653,diflas,vaimustav,adjectives,0.1
1654,yn weithredol,passiivselt,adverbs,0.2
1655,morwr,kapten,nouns,1.35
1656,mamfwrdd,süsteemiplaat,nouns,3.05
1657,danfon,osalema,verbs,0.35
1658,synhwyrydd,radiaator,nouns,0.2
1659,corff,kõht,nouns,1.4
1660,coridor,uks,nouns,0.95
1661,brwydro,mängima,verbs,0.45
1662,darganfod,uurima,verbs,2.5
1663,gwerthfawr,eriline,adjectives,2.45
1664,cymysgu,raputama,verbs,2.05
1665,rhesymoli,vaidlema,verbs,0.85
1666,torf,paraad,nouns,1.8
1667,bwriadu,üritama,verbs,1.85
1668,credu,aktsepteerima,verbs,1.4
1669,gymnasteg,vehklemine,nouns,1.0
1670,chwarae,kaklema,verbs,0.45
1671,maddau,unustama,verbs,0.95
1672,palmwydd,sõrm,nouns,0.4
1673,ffôn,ohver,nouns,0.15
1674,mynachlog,tušš,nouns,0.1
1675,gorffwyll,haige,adjectives,0.8
1676,proffwyd,preester,nouns,1.45
1677,ymgyrch,ahv,nouns,0.05
1678,caethwas,teenija,nouns,2.1
1679,porth,väljapääs,nouns,2.65
1680,angor,paat,nouns,1.1
1681,anaml,napp,adjectives,1.1
1682,yn ddarostyngedig,kehvasti,adverbs,0.6
1683,morgrugyn,mesilane,nouns,1.0
1684,gwaed,keha,nouns,1.15
1685,ap,galaktika,nouns,0.1
1686,datgelwyd,kaetud,adjectives,0.25
1687,barn,valik,nouns,1.1
1688,gweithred,mäng,nouns,0.95
1689,log,valem,nouns,1.4
1690,top,põhi,nouns,0.6
1691,lens,kaamera,nouns,1.65
1692,ymwrthod,ära tõukama,verbs,2.0
1693,sychedig,näljane,adjectives,1.8
1694,canwr,koosseis,nouns,0.4
1695,cyffrous,nüri,adjectives,0.1
1696,corff,veri,nouns,1.15
1697,dinistrio,koostama,verbs,0.1
1698,ceunant,org,nouns,3.35
1699,trefnu,korratu,verbs,0.4
1700,ychwanegu,ehitama,verbs,1.0
1701,craig,miin,nouns,0.15
1702,dwyn,soetama,verbs,0.75
1703,plesio,nõustuma,verbs,0.8
1704,merch,teenijanna,nouns,2.3
1705,cyfrwys,kummaline,adjectives,0.5
1706,ymwybyddiaeth,tähelepanu,nouns,2.45
1707,cyfansoddiad,imperaator,nouns,0.45
1708,braf,helde,adjectives,1.55
1709,llawdriniaeth,süda,nouns,0.4
1710,blawd,leib,nouns,1.1
1711,yn derfynol,erinevalt,adverbs,0.1
1712,yn garedig,kenasti,adverbs,3.1
1713,rhad,taskukohane,adjectives,4.55
1714,digartref,miljardär,nouns,0.45
1715,fideo,film,nouns,4.55
1716,cwyno,tooma,verbs,0.05
1717,dimai,rahvas,nouns,0.05
1718,golchi,loputama,verbs,3.15
1719,teledu,stsenarist,nouns,0.75
1720,anhygoel,tavaline,adjectives,0.3
1721,disg,arvuti,nouns,0.7
1722,allbriodasol,ebakohane,adjectives,0.55
1723,mintys,muuseum,nouns,0.0
1724,canolig,halb,adjectives,0.95
1725,dal gafael,hoidma,verbs,4.25
1726,hyblyg,liigutatav,adjectives,1.85
1727,newyddiadur,artikkel,nouns,2.2
1728,pennod,ots,nouns,0.05
1729,bwrw,näpistama,verbs,1.3
1730,rhyfelwr,mees,nouns,1.05
1731,llun,mäss,nouns,0.05
1732,anaml,tavaliselt,adverbs,0.35
1733,gwddf,luu,nouns,0.55
1734,gorsedd,mõõk,nouns,0.65
1735,barn,mõte,nouns,2.65
1736,syml,kerge,adjectives,3.75
1737,portreadu,teesklema,verbs,0.85
1738,llawr,uks,nouns,0.65
1739,derbyn,andestama,verbs,1.75
1740,cwrw,alkohol,nouns,2.75
1741,clecian,krõmpsutama,verbs,1.35
1742,geiriadur,entsüklopeedia,nouns,1.9
1743,yn fuan,koheselt,adverbs,2.2
1744,ffrind,kutt,nouns,1.25
1745,nos,koidik,nouns,1.0
1746,darganfod,omandama,verbs,1.6
1747,ffens,käsipuu,nouns,0.15
1748,byddin,leegion,nouns,3.4
1749,hyfforddiant,stipendium,nouns,1.15
1750,gwaith celf,kunstnik,nouns,1.4
1751,anhawster,pingutus,nouns,1.75
1752,yn sicr,närviline,adjectives,0.15
1753,cytundeb,auk,nouns,0.05
1754,cyhuddo,valetama,verbs,0.55
1755,perfformio,au andma,verbs,0.15
1756,llawr,tekk,nouns,1.55
1757,plentyn,mees,nouns,0.7
1758,gyrru,peatuma,verbs,0.35
1759,gwesty,korter,nouns,0.65
1760,chwerthin,itsitama,verbs,4.3
1761,bachgen,vend,nouns,1.75
1762,colli,saama,verbs,0.15
1763,criced,toetaja,nouns,0.05
1764,cytundeb,seisund,nouns,0.1
1765,archwilio,järgima,verbs,0.65
1766,ciwb,mänguasi,nouns,0.4
1767,teclyn,pott,nouns,0.15
1768,rhaglen,toit,nouns,0.2
1769,rhannu,ühendama,verbs,0.6
1770,nerth,võimekus,nouns,2.4
1771,tarddu,avastama,verbs,0.4
1772,harbwr,ümbris,nouns,0.0
1773,yn enfawr,avatult,adverbs,0.45
1774,ffasiwn,moodus,nouns,0.55
1775,ffôl,loll,adjectives,4.75
1776,sychu,halvenema,verbs,0.35
1777,alcohol,õlu,nouns,2.75
1778,asgwrn,põlv,nouns,1.4
1779,ysgwydd,keha,nouns,0.85
1780,stêc,liha,nouns,3.65
1781,syfrdanu,tähistama,verbs,0.35
1782,mygu,põletama,verbs,1.05
1783,gyferbyn,muu,adjectives,0.75
1784,eirlithriad,lumi,nouns,1.4
1785,cysur,ohutus,nouns,1.25
1786,cerddoriaeth,flööt,nouns,1.2
1787,corff,selgroog,nouns,1.1
1788,benthyca,andma,verbs,2.45
1789,haf,talv,nouns,0.95
1790,yn wir,perfektselt,adverbs,0.7
1791,gadael,võtma,verbs,0.45
1792,aros,lahkuma,verbs,0.3
1793,calendr,puhkus,nouns,0.9
1794,unwaith,kaks korda,adverbs,0.7
1795,syth,kõver,adjectives,0.35
1796,chwilio,jahtima,verbs,2.3
1797,hwyl,jalgpall,nouns,0.55
1798,yn onest,mitte kunagi,adverbs,0.0
1799,cyfrwng,uudised,nouns,0.85
1800,microsgop,bioloog,nouns,1.0
1801,anferthedd,suurus,nouns,3.1
1802,gwalch,lind,nouns,2.3
1803,hanfodol,vajalik,adjectives,4.25
1804,dydd ,öö,nouns,0.65
1805,brawdgarwch,uks,nouns,0.15
1806,ffenestr,katus,nouns,0.65
1807,encilio,laskuma,verbs,0.85
1808,hysbysu,portreteerima,verbs,0.25
1809,blwch  ,müts,nouns,0.15
1810,tric,mäng,nouns,1.35
1811,digid,arv,nouns,5.0
1812,allwedd,lukk,nouns,1.3
1813,nam,süsteem,nouns,0.3
1814,danfon,saama,verbs,0.35
1815,cymysg,vana,adjectives,0.2
1816,atgyweirio,taastama,verbs,3.75
1817,newydd,kasutamata,adjectives,4.3
1818,hen,uus,adjectives,0.35
1819,darllen,hammustama,verbs,0.1
1820,prynu,varastama,verbs,0.35
1821,disgybl,üliõpilane,nouns,4.3
1822,twf,väetis,nouns,1.1
1823,seren,planeet,nouns,2.3
1824,amwys,ebaselge,adjectives,4.65
1825,gweithredu,algebra,nouns,0.9
1826,darllen,hoomama,verbs,0.85
1827,pren,palk,nouns,3.1
1828,esgob,moslem,nouns,0.6
1829,cangen,käsi,nouns,0.9
1830,confensiwn,reegel,nouns,3.05
1831,ofnadwy,halb,adjectives,3.05
1832,cau,oksendama,verbs,0.0
1833,esgus,portreteerima,verbs,0.85
1834,ymddygiadaeth,teraapia,nouns,1.4
1835,modur,auto,nouns,5.0
1836,crisial,klaas,nouns,2.2
1837,cyngres,parlament,nouns,2.6
1838,talu,ostma,verbs,2.55
1839,minc,karusnahk,nouns,2.8
1840,gwrthod,andma,verbs,0.15
1841,actor,laulja,nouns,1.55
1842,holi,vajama,verbs,0.4
1843,yn deg,ebaausalt,adverbs,0.3
1844,cenedlaethol,tuntud,adjectives,0.5
1845,drws,värav,nouns,2.6
1846,siarad,sosistama,verbs,2.2
1847,carped,maja,nouns,0.45
1848,afiechyd,oht,nouns,0.45
1849,car,tank,nouns,0.9
1850,wal,telliskivi,nouns,1.2
1851,gwartheg,jogurt,nouns,0.25
1852,llunio,tegema,verbs,3.3
1853,yn annheg,ausalt,adverbs,0.3
1854,glan y môr,rand,nouns,4.35
1855,sioe,matemaatik,nouns,0.05
1856,helmed,relv,nouns,0.7
1857,pont,kaart,nouns,0.15
1858,brawdgarwch,pesapall,nouns,0.1
1859,anonest,tõene,adjectives,0.35
1860,asgwrn,pahkluu,nouns,2.05
1861,cydio,kokku suruma,verbs,1.45
1862,enillydd,mees,nouns,0.35
1863,dysgu,unustama,verbs,0.4
1864,cymhwysedd,võime,nouns,4.05
1865,teiffŵn,tsüklon,nouns,3.45
1866,arolygu,eksamineerima,verbs,2.85
1867,tric,vann,nouns,0.0
1868,canlyn,uurima,verbs,0.65
1869,cadno,jahikoer,nouns,0.9
1870,llyn,soo,nouns,1.1
1871,bagiau,ümbermaailmareis,nouns,0.45
1872,sudd,piim,nouns,0.95
1873,garddwrn,käelaba,nouns,1.75
1874,erthygl,raamat,nouns,0.95
1875,gitâr,forell,nouns,0.0
1876,modern,iidne,adjectives,0.3
1877,siampên,viski,nouns,1.2
1878,diemwnt,raha,nouns,1.1
1879,cwmni,äri,nouns,4.1
1880,seren,heledus,nouns,1.25
1881,melys,elektriline,adjectives,0.1
1882,cyd-beilot,kokpit,nouns,0.55
1883,caled,kerge,adjectives,0.25
1884,gwaethygu,tüütama,verbs,1.15
1885,llosgi,lämmatama,verbs,1.05
1886,person,tegelane,nouns,2.8
1887,gwybod,aru saama,verbs,2.85
1888,sgrîn,fonoloogia,nouns,0.1
1889,plentyn,poiss,nouns,1.65
1890,cymysgu,süüa tegema,verbs,0.9
1891,pryderus,hirmul,adjectives,3.15
1892,doniol,nüri,adjectives,0.15
1893,ofnus,häbelik,adjectives,1.85
1894,barn,uskumus,nouns,3.7
1895,balchder,kartmatu,adjectives,1.45
1896,beio,lükkama,verbs,0.3
1897,canon,relv,nouns,2.35
1898,esgus,ette kujutama,verbs,1.7
1899,cymharu,analüüsima,verbs,2.7
1900,lladd,hävitama,verbs,2.95
1901,dymuno,soovima,verbs,4.6
1902,gwefrydd,ketas,nouns,0.15
1903,cyfnewid,asendus,nouns,3.25
1904,gorffen,lõpetama,verbs,1.5
1905,cyffredin,kummaline,adjectives,0.35
1906,cofleidio,pigistama,verbs,1.75
1907,hyfryd,imeline,adjectives,2.5
1908,ystlum,vampiir,nouns,1.0
1909,cwrw,karastusjook,nouns,2.0
1910,eglwys,koor,nouns,1.1
1911,alcohol,vein,nouns,2.2
1912,stori,teema,nouns,1.55
1913,meddu ar,võtma,verbs,1.5
1914,diangen,vajalik,adjectives,0.25
1915,acwsteg,heli,nouns,2.9
1916,eirfwrdd,suusatamine,nouns,1.95
1917,chwerthin,laulma,verbs,0.4
1918,anghefnogi,julgustama,verbs,0.05
1919,senedd,kongress,nouns,2.6
1920,cred,konseptsioon,nouns,2.6
1921,tun,metall,nouns,2.7
1922,tiwtora,harima,verbs,4.25
1923,sgleinio,informeerima,verbs,0.0
1924,gair,lehekülg,nouns,0.75
1925,casglu,kokku hoidma,verbs,2.05
1926,crosio,ülikond,nouns,0.2
1927,braich,põlv,nouns,0.85
1928,dyddiad,sünnipäev,nouns,1.6
1929,blin,õnnelik,adjectives,0.2
1930,ceiniog,tehing,nouns,0.5
1931,cod,sümbol,nouns,1.95
1932,cynllun,mõte,nouns,2.15
1933,aneglur,ebamäärane,adjectives,4.65
1934,tarian,käeturvis,nouns,2.0
1935,mewnwelediad,fakt,nouns,1.0
1936,mynychu,vaidlema,verbs,0.1
1937,merch,tita,nouns,1.3
1938,caban,maamaja,nouns,3.35
1939,pêl,võrkpall,nouns,2.35
1940,sarhau,haavama,verbs,2.95
1941,fformiwla,logaritm,nouns,1.4
1942,darllenydd,autor,nouns,0.7
1943,rhoi,eitama,verbs,0.15
1944,lluosi,lisama,verbs,1.5
1945,difetha,haistma,verbs,0.0
1946,ffug,päris,adjectives,0.3
1947,rhythm,luuletus,nouns,1.25
1948,yn hael,mitte kunagi,adverbs,0.1
1949,storm,orkaan,nouns,3.45
1950,cydymaith,semu,nouns,4.25
1951,clywed,rääkima,verbs,0.7
1952,corff,närv,nouns,0.5
1953,lleihau,leotama,verbs,0.25
1954,bawd,küüs,nouns,1.05
1955,planed,kuu,nouns,2.05
1956,datblygiad,korjandus,nouns,0.45
1957,yma,nüüd,adverbs,1.95
1958,pwyll,hool,nouns,3.4
1959,canolig,okei,adjectives,2.85
1960,myfyriwr,õpetaja,nouns,1.0
1961,disgwyl,lahkuma,verbs,0.1
1962,tynnu,lükkama,verbs,0.35
1963,trefnu,saama,verbs,0.35
1964,cinio,hommikusöök,nouns,1.25
1965,swyddog,asetäitja,nouns,0.75
1966,diymhongar,rikkumata,adjectives,1.2
1967,balŵn,rahvas,nouns,0.1
1968,pren,kivi,nouns,0.6
1969,ffuglen,biograafia,nouns,0.75
1970,losin,õun,nouns,0.5
1971,nendwr,palee,nouns,0.7
1972,egluro,defineerima,verbs,3.5
1973,rhan,peatükk,nouns,4.05
1974,bioleg gymdeithasol,mutant,nouns,0.45
1975,rhif,number,nouns,5.0
1976,hurt,hiiglasuur,adjectives,0.1
1977,targed,nool,nouns,0.7
1978,heulwen,õun,nouns,0.2
1979,llyfr,artikkel,nouns,0.95
1980,cyferbyn,ainulaadne,adjectives,0.55
1981,cofio,mõtlema,verbs,1.35
1982,esgus,valetama,verbs,2.0
1983,gwrthddadlau,arutlema,verbs,2.85
1984,medrydd,auto,nouns,0.65
1985,derwen,vaher,nouns,1.5
1986,negyddol,mitte kunagi,adjectives,0.65
1987,penderfynu,valima,verbs,3.9
1988,goruchafu,võitma,verbs,2.6
1989,bregus,jäik,adjectives,0.35
1990,symudol,paindlik,adjectives,1.85
1991,lladd,kägistama,verbs,2.0
1992,ffres,uus,adjectives,4.0
1993,gwrthod,vältima,verbs,1.65
1994,harmoni,klaver,nouns,1.1
1995,ergydio,mööda lööma,verbs,0.45
1996,diflas,terav,adjectives,0.45
1997,gaeaf,aastaeg,nouns,2.65
1998,datgan,kuulutama,verbs,3.5
1999,siryf,võmm,nouns,2.95
2000,dathliad,tseremoonia,nouns,2.8
2001,ceirios,maasikas,nouns,1.15
2002,yn uchel,pehmelt,adverbs,0.1
2003,cynhwysydd,pudel,nouns,1.75
2004,meddwl,otsustama,verbs,2.15
2005,cario ,võtma,verbs,0.9
2006,offeryn,töö,nouns,0.65
2007,gweriniaeth,hertsog,nouns,0.4
2008,diogelwch,mugavus,nouns,1.25
2009,gwraig,abikaasa (mees),nouns,2.7
2010,gwastraffu,muretsema,verbs,0.15
2011,gofyn,aitama,verbs,0.6
2012,cawl,õhtusöök,nouns,1.4
2013,collfarnu,tagasi lükkama,verbs,0.55
2014,talwrn,kaaspiloot,nouns,0.55
2015,cwmpawd,elevant,nouns,0.55
2016,diod,õlu,nouns,2.0
2017,te,sidrun,nouns,0.65
2018,dewis,tahtma,verbs,1.15
2019,clecs,uudised,nouns,2.5
2020,staff,vokalist,nouns,0.4
2021,llawysgrif,artikkel,nouns,1.2
2022,anwybyddu,küsima,verbs,0.1
2023,sblash,sisehõõrdumine,nouns,0.1
2024,rhodio,uitama,verbs,3.65
2025,erydu,lubama,verbs,0.1
2026,swil,kallis,adjectives,0.05
2027,gwerthfawr,püha,adjectives,2.05
2028,jîns,naine,nouns,0.2
2029,brawd,poiss,nouns,1.75
2030,clariffeio,seletama,verbs,4.25
2031,cymryd,jätma,verbs,0.45
2032,gwobr,makse,nouns,1.3
2033,tröedigaeth,kõrgus,nouns,0.1
2034,crynnu,külmuma,verbs,1.8
2035,goddefol,vägivaldne,adjectives,0.25
2036,tynnu'n ôl,tagasi lükkama,verbs,1.95
2037,dyfalu,ärritama,verbs,0.2
2038,stêc,kana,nouns,0.85
2039,car,veok,nouns,2.35
2040,tystio,kohut mõistma,verbs,0.95
2041,onest,süüdi,adjectives,0.45
2042,ymddengys,saama,verbs,0.9
2043,anwybyddu,unustama,verbs,1.3
2044,cymryd,varastama,verbs,2.2
2045,cae,kaer,nouns,0.9
2046,creu,teenima,verbs,0.35
2047,anghwrtais,kriitiline,adjectives,1.1
2048,plasty,skulptor,nouns,0.25
2049,difeddiannu,tähelepanuta jätma,verbs,1.0
